Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56)
0.0,0.17940429000985167,3.76,0.0,0.6621380965021458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9247462049665217e-21,0.17940429000985167,3.76,0.0,0.6621380965021456,1.0,9.113723561343505e-47,6.160516999827646e-33,4.951954888245972e-34,2.3979104617927695e-16,2.3979104617927695e-16,7.498347734085345e-35,2.591490546496726e-33,2.5908641518029004e-33,6.266850322536918e-46,5.900616673744232e-49,2.896712026911347e-19,2.737809351145993e-35,1.2220354695355241e-19,3.3759504104231305e-24,4.813858128325683e-31,1.6747103168703654e-19,6.703861055463008e-35,6.053391429303754e-35,9.310596724867535e-47,1.2723676225386056e-24,3.938769990503617e-52,4.7852217467778925e-54,2.177329634944761e-34,1.1516278401455786e-49,2.2268013103185245e-70,2.0299266046214477e-35,1.7352414649125188e-51,5.411287689584772e-65,7.734142255999743e-71,1.0719096155860225e-79,4.36723503238256e-19,4.132430713892695e-34,4.3672350323825085e-19,2.5223099312888737e-50,6.026152174678169e-66,4.563430417444928e-53,7.337856869851239e-34,2.863731583693402e-68,1.0621631780818707e-68,1.3396698843726483e-35,8.05798207658083e-70,1.1556665431705666e-81
5.3892893739062615e-21,0.17940429000985172,3.76,0.0,0.6621380965021452,1.0,1.0819812612712058e-45,3.7209522678958436e-32,2.9909807525398973e-33,6.714149293019752e-16,6.714149293019752e-16,4.529002031285364e-34,1.5652602901359545e-32,1.56488194768872e-32,7.440004812835325e-45,7.005212576055848e-48,8.110793675351815e-19,1.6536368480921798e-34,3.421699314691828e-19,9.452662704116498e-24,2.9075703095040002e-30,4.689188887229278e-19,4.049132077502858e-34,3.656248423300315e-34,1.105354043176148e-45,3.562629343150237e-24,4.67610773272032e-51,5.681015257811089e-53,1.3151070995006817e-33,1.3672125718185183e-48,4.981265459136158e-69,1.2260756691890823e-34,2.060078667141117e-50,1.2105025262990047e-63,2.4317380715715074e-69,4.423333199245408e-78,1.2228258090671123e-18,2.4959881511911777e-33,1.2228258090670818e-18,3.8117147681578575e-49,1.3480261368501676e-64,6.896256046788544e-52,4.4320655493901336e-33,8.076181263058184e-67,2.376016542842073e-67,8.091606101602761e-35,2.5335584925927862e-68,6.663418970025479e-80
1.231837571178574e-20,0.17940429000985175,3.76,0.0,0.6621380965021443,1.0,1.062295618429364e-44,1.7914783435497969e-31,1.4400284815609235e-32,1.5346626955473705e-15,1.5346626955473705e-15,2.180519520918741e-33,7.536054509991455e-32,7.53423295343935e-32,7.30464089203219e-44,6.87775945036808e-47,1.8538956972232933e-18,7.961549593132546e-34,7.8210270049738735e-19,2.1606093511230157e-23,1.3998699437100402e-29,1.0718146027916128e-18,1.9494827949334452e-33,1.7603262276428028e-33,1.0852431542501691e-44,8.143152784542063e-24,4.591030300913608e-50,5.577654468157062e-52,6.331674578330055e-33,1.3423374104665172e-47,9.842141132257171e-68,5.903026566205089e-34,2.022597451492632e-49,2.3917659059761735e-62,5.425073868045936e-68,1.7498393303441567e-76,2.795030420724808e-18,1.20171085159998e-32,2.79503042072466e-18,4.100468809078258e-48,2.6634724845116025e-63,7.418677560844736e-51,2.1338487777527176e-32,1.7567458305753848e-65,4.6946082956243574e-66,3.89576002374361e-34,5.6522296261656115e-67,2.9885727736294495e-78
2.61765483875447e-20,0.1794042900098518,3.76,0.0,0.6621380965021425,1.0,9.395884444444175e-44,7.823856589780261e-31,6.288982708681996e-32,3.261158228038157e-15,3.261158228038157e-15,9.522901620704518e-33,3.291192994855781e-31,3.2903974727860824e-31,6.4608721656999024e-43,6.0833004277466635e-46,3.9395283565995886e-18,3.477017875955413e-33,1.6619682385415723e-18,4.591298000436517e-23,6.11359982290058e-29,2.277606030916592e-18,8.51390354048764e-33,7.687807115228902e-33,9.598852799461222e-44,1.7304199667999966e-23,4.0607143093729505e-49,4.933372212294897e-51,2.765208636287561e-32,1.1872822380614308e-46,1.7513564281361749e-66,2.5780067878340228e-33,1.7889645406464552e-48,4.256033448838258e-61,1.0160562950641684e-66,6.245073118011355e-75,5.9394396440401304e-18,5.248187006643555e-32,5.939439644039487e-18,3.7690372840843365e-47,4.73950697714232e-62,6.819042803769398e-50,9.319078224710841e-32,3.2567107012589773e-64,8.353804630104768e-65,1.7013807531408113e-33,1.0586000545616481e-65,1.1244604969609389e-76
5.3892893739062615e-20,0.17940429000985195,3.76,0.0,0.6621380965021391,1.0,7.897807020927216e-43,3.266306113307854e-30,2.625526482296665e-31,6.7141492930197104e-15,6.714149293019712e-15,3.9756239671865657e-32,1.3740082884770092e-30,1.373676173282657e-30,5.430752359597165e-42,5.1133805908511537e-45,8.110793675352466e-18,1.451586517977608e-32,3.421699314581047e-18,9.452685250626599e-23,2.552307579572545e-28,4.689188887116987e-18,3.554387131651145e-32,3.209508135828671e-32,8.068414152207711e-43,3.56262934376128e-23,3.4132750533839995e-48,4.1467966026393142e-50,1.154420172364656e-31,9.979822601974024e-46,2.9539185997200923e-65,1.0762670857385977e-32,1.5037324895938967e-47,7.178433726259212e-60,1.7549845744876603e-65,2.1100724639284704e-73,1.2228258090670506e-17,2.191014764505758e-31,1.222825809066781e-17,3.2244907483632725e-46,7.993871256985427e-61,5.8338346837378066e-49,3.890531712394918e-31,5.597453602216114e-63,1.4089912526425658e-63,7.102929726831708e-33,1.828468339075663e-64,3.893809700217128e-75
1.0932558444209844e-19,0.17940429000985214,3.76,0.0,0.6621380965021322,1.0,6.47509936252763e-42,1.3343926242300204e-29,1.0726132370781554e-30,1.3620131422982744e-14,1.362013142298275e-14,1.6241721113869116e-31,5.613272189467405e-30,5.611915387343716e-30,4.452458899637682e-41,4.192258363729998e-44,1.6453324312859375e-17,5.930204566956291e-32,6.941161466464414e-18,1.9175499557259077e-22,1.0427009259722039e-27,9.51235459931953e-18,1.4520831200953197e-31,1.31118879716292e-31,6.614973395017376e-42,7.227048098762655e-23,2.798409110098169e-47,3.399794394119739e-49,4.716183081772543e-31,8.182061524342905e-45,4.851820170205723e-64,4.3969022224059033e-32,1.2328507466278392e-46,1.1790608040610101e-58,2.915933118923811e-64,6.937462121004445e-72,2.4805894983930175e-17,8.951010223518877e-31,2.480589498391916e-17,2.6660713062156228e-45,1.3129957540838984e-59,4.823527331141335e-48,1.5894091494370824e-30,9.277368847624173e-62,2.3142723634012975e-62,2.9017785562516426e-32,3.038027492636454e-63,1.2955224716037157e-73
2.2019096584817008e-19,0.1794042900098526,3.76,0.0,0.6621380965021183,1.0,5.243703344262373e-41,5.393828338159777e-29,4.335674202315078e-30,2.7432095682908515e-14,2.743209568290854e-14,6.565163351955141e-31,2.268974370049525e-29,2.2684259263601547e-29,3.6057166558977246e-40,3.3949995281560613e-43,3.3138385587877804e-17,2.397083501777193e-31,1.3980085769448814e-17,3.862128739553326e-22,4.21476385608151e-27,1.9158686022931607e-17,5.869552139699545e-31,5.300034759226381e-31,5.356976960030774e-41,1.4555885613080632e-22,2.266224250918179e-46,2.7532416465926057e-48,1.9063566066381705e-30,6.626045556293917e-44,7.865009575362648e-63,1.7772981786023706e-31,9.983944983822111e-46,1.911309104058925e-57,4.753706928662894e-63,2.250150098486729e-70,4.9961168770445187e-17,3.618141446686287e-30,4.996116877040065e-17,2.1680049091116687e-44,2.128422697273329e-58,3.922412317472506e-47,6.424645906683075e-30,1.5105790166708307e-60,3.751535229839841e-61,1.17294528784465e-31,4.952751572214173e-62,4.2266941962776905e-72
4.419217286603134e-19,0.17940429000985353,3.76,0.0,0.6621380965020905,1.0,4.2205886468768936e-40,2.1688346518530087e-28,1.7433555293258792e-29,5.5056024202758865e-14,5.505602420275896e-14,2.63982330512312e-30,9.123446169487453e-29,9.121240880805096e-29,2.902194455366167e-39,2.7325909942830588e-42,6.650850813793308e-17,9.638567333083687e-31,2.805793437228828e-17,7.751349997211842e-22,1.694738009138255e-26,3.845134886698376e-17,2.360121100272242e-30,2.1311206663188906e-30,4.3117611038612054e-40,2.9213560658977497e-22,1.824054434039954e-45,2.2160484047732634e-47,7.665376068316599e-30,5.3332179160138166e-43,1.2666355457463564e-61,7.146437806843638e-31,8.035947505740148e-45,3.078104976526354e-56,7.677249391777615e-62,7.249159700693069e-69,1.0027171634345789e-16,1.4548387625479403e-29,1.0027171634327878e-16,1.7485745003908324e-43,3.4277591353643543e-57,3.163567631416708e-46,2.5833218624574426e-29,2.438080622866011e-59,6.041731834270028e-60,4.716361414096184e-31,7.998707020756067e-61,1.3656528796098275e-70
8.853832542846002e-19,0.17940429000985536,3.76,0.0,0.6621380965020351,0.9999999999999999,3.3867565913984195e-39,8.697996988919914e-28,6.991635419950636e-29,1.1030388124245477e-13,1.1030388124245515e-13,1.058687211080435e-29,3.6589099866201044e-28,3.658025550598122e-28,2.3288282767355864e-38,2.1927322031741474e-41,1.3324875323811743e-16,3.865496596027062e-30,5.621363156544986e-17,1.5530047272543484e-21,6.796657405243274e-26,7.703667454240003e-17,9.465141203073933e-30,8.54674703922337e-30,3.459916740564361e-39,5.852891081981488e-22,1.463688808135824e-44,1.7782392845587717e-46,3.0741586438213743e-29,4.279571502262738e-42,2.0332305687277837e-60,2.8660411920632434e-30,6.448341785739012e-44,4.941040654211805e-55,1.2340954188073413e-60,2.327553378785224e-67,2.0089281148941392e-16,5.834554130354054e-29,2.0089281148869564e-16,1.4045501299865291e-42,5.502312536834749e-56,2.541149560899306e-45,1.0360276087392355e-28,3.9179301081448925e-58,9.698317635769152e-59,1.8914718712164663e-30,1.2857687931592476e-59,4.391184880282423e-69
