Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42)
0.0,0.8778243133730848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8057852916129224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.43804418498824e-23,0.8778243133730848,1.834715410429207e-25,6.362778986142039e-26,1.1908346496673917e-37,2.2537687592995445e-36,0.0,0.0,6.202980005065384e-21,8.862294841234786e-39,2.797432363622909e-51,3.2533318196931894e-51,4.3281636692363923e-51,1.0174529430638079e-61,5.595681577292019e-41,1.3602990419386028e-35,3.8758167947691263e-20,5.824302980245e-38,1.5703360183108494e-75,5.934260314152449e-74,9.536555631920708e-52,2.2531224891134424e-36,2.2572486147225343e-21,7.761143486292901e-55,1.4621149445577804e-38,8.002833236378866e-55,1.7711359467723676e-37,8.456767245748817e-18,1.5203929067654195e-37,1.2155889597289005e-21,7.47946483002123e-55,1.372233418204948e-58,3.5499188730578486e-53,1.3857570767690765e-39,3.76,0.0,0.8057852916129224,0.9999999999999996,7.07130709898959e-52,4.613422047389289e-19,8.456767245748817e-18,2.5327877109280652e-21,3.2972288330790516e-34,3.670375765677716e-21,5.377312191096063e-57,2.0887391845473854e-56,1.8216899036020931e-59,1.2104419666192214e-62,1.881077077035079e-71,3.875816794769127e-20,5.50794598952135e-38,1.802187838373225e-40,1.713924583906373e-56,3.1072159148920775e-55,7.881159331518649e-50,7.184422970305844e-39,2.257248614722549e-21,5.659402945508531e-40,3.4540404015099314e-72,4.029215029233495e-73,9.308538383050805e-89,3.8127325555508566e-92,6.340474285522641e-55,2.2896788131824423e-76,1.915068081564632e-54,8.968255615474798e-68,1.5536841982568875e-57,2.4436737149117224e-53,9.032022113517424e-55,6.649995103105886e-72,2.0632984658825665e-57,1.7224149658228774e-97,7.665602725485062e-93,3.7498752706119274e-39,1.2155889597288954e-21,3.4610454365268665e-57,6.550724570221722e-38,4.553641810971383e-16,4.856303679875982e-74,9.30125253887929e-39,4.2004315826847513e-75,-1.0783839563840477e-112,4.613422047389289e-19,8.02907975466478e-55,6.607427660708321e-75
2.082652371796707e-22,0.8778243133730848,5.1372031600613915e-25,1.7815781161202535e-25,7.192641283993963e-37,1.3612763306173789e-35,0.0,0.0,1.736834401418307e-20,5.35282608410581e-38,3.3211117038254016e-50,3.8623555363515684e-50,5.1383960791337525e-50,1.2079201340053733e-60,3.3797916726843736e-40,8.216206213309058e-35,1.0852287025353549e-19,3.5178790000680745e-37,3.5127788595353297e-74,1.7844872997295115e-72,1.132179884621625e-50,1.3608859834245174e-35,6.320296121223052e-21,9.214029546926828e-54,8.831174265128883e-38,9.500963618229096e-54,1.0697661118505156e-36,2.367894828809669e-17,9.183173156863092e-37,3.403649087240904e-21,8.879620646231739e-54,1.6291155140928813e-57,4.466414331894966e-52,8.369972743685222e-39,3.76,0.0,0.8057852916129224,0.9999999999999988,8.395055788431365e-51,1.291758173269001e-18,2.367894828809669e-17,7.091805590598083e-21,1.991526215179647e-33,1.0277052143897093e-20,6.392302862334404e-56,2.480637950512751e-55,2.1627102535711427e-58,1.4370368389066105e-61,5.484890097421831e-70,1.0852287025353556e-19,3.3267993776708926e-37,1.0885214543774717e-39,2.034771266013768e-55,3.6888867341596625e-54,9.35651235837764e-49,4.339391474064322e-38,6.32029612122314e-21,3.4182793790865466e-39,8.017413620087433e-71,1.1574694059419785e-71,4.97865648134491e-87,2.0096325089042162e-90,9.581711988028649e-54,5.164841420902125e-75,2.2893826865978005e-53,2.019621816524649e-66,2.347927560406197e-56,2.9011294343424776e-52,1.1189688540872217e-53,1.8754050189975035e-70,3.118056641641726e-56,9.078583558843588e-96,4.099935040515092e-91,2.2649246634494692e-38,3.403649087240873e-21,5.230331863684914e-56,3.956637640413185e-37,1.2750197070717207e-15,1.5268995778119348e-72,5.617956533483043e-38,1.32068289650122e-73,5.588389268882981e-111,1.291758173269001e-18,1.2133525416082413e-53,1.8633979271131674e-73
4.760348278392474e-22,0.8778243133730848,1.1742178702764204e-24,4.072178551134284e-25,3.462947161237151e-36,6.553959552049887e-35,0.0,0.0,3.969907203241841e-20,2.577155339831073e-37,3.260687165498642e-49,3.792083569071001e-49,5.044907815705077e-49,1.1859431504352369e-59,1.6272242026765107e-39,3.955749613957301e-34,2.4805227486522387e-19,1.6937073066553886e-36,6.940659072635662e-73,3.929926238363014e-71,1.1115809244566736e-49,6.552080198341866e-35,1.444639113422391e-20,9.046388847622686e-53,4.251830258773863e-37,9.32810242032352e-53,5.15046333321413e-36,5.4123310372792436e-17,4.4213025728737794e-36,7.77976934226484e-21,8.718064205915889e-53,1.5994752722595836e-56,4.495555355472776e-51,4.029781579244472e-38,3.76,0.0,0.8057852916129224,0.9999999999999971,8.242315555309499e-50,2.952590110329145e-18,5.4123310372792436e-17,1.6209841349936108e-20,9.58834144659238e-33,2.34904049003338e-20,6.279663207213869e-55,2.435893636186939e-54,2.1233617516826864e-57,1.4108915631675087e-60,1.1966327103865583e-68,2.48052274865224e-19,1.601710693752805e-36,5.240762233989983e-39,1.9977504950016444e-54,3.6217708703975454e-53,9.186279316814104e-48,2.0892301997643254e-37,1.4446391134224336e-20,1.645754376552972e-38,1.6121499599335322e-69,2.5154047597086626e-70,2.181546392399502e-85,8.769886967625286e-89,1.0307564128288933e-52,1.0242806139002422e-73,2.2546590373046634e-52,4.003409029752695e-65,2.5257933274237436e-55,2.848346082098834e-51,1.1190683056055251e-52,4.0794155560178926e-69,3.35426305001594e-55,3.9618264178744e-94,1.796508461714747e-89,1.0904637286937454e-37,7.779769342264694e-21,5.626552345273647e-55,1.9049507050193748e-36,2.9143307590198206e-15,3.4064289634701812e-71,2.7048042383060264e-37,2.946370891428616e-72,5.865241885628551e-109,2.9525901103291447e-18,1.3052686104546306e-52,4.0532956790974323e-72
1.0115740091584006e-21,0.8778243133730848,2.4952129961923607e-24,8.653379421170065e-25,1.512360005082109e-35,2.8622863243174594e-34,0.0,0.0,8.436052806888895e-20,1.1255114448368146e-36,2.8840408720776485e-48,3.354054972907791e-48,4.462163860989211e-48,1.0489532861811922e-58,7.106515603160775e-39,1.727579783261864e-33,5.271110840886003e-19,7.396864784912622e-36,1.2350531981974428e-71,7.323287224097576e-70,9.831807394284882e-49,2.861465561174046e-34,3.069858116022492e-20,8.001428488627856e-52,1.8568859795882132e-36,8.250600953377802e-52,2.2493426524009947e-35,1.1501203454218393e-16,1.9308989915920205e-35,1.6532009852312422e-20,7.7110290612017e-52,1.4147177648323542e-55,4.0201137848614013e-50,1.7599114874967244e-37,3.76,0.0,0.8057852916129223,0.9999999999999938,7.290234767510129e-49,6.274253984449433e-18,1.1501203454218393e-16,3.4445912868604126e-20,4.187480618008841e-32,4.991711041319901e-20,5.555745472094886e-54,2.154674660287308e-53,1.878089423108901e-56,1.247918092084368e-59,2.2216087266617636e-67,5.27111084088601e-19,6.995091406692078e-36,2.2887785547346573e-38,1.7669876890249027e-53,3.2034153196157474e-52,8.125160024413994e-47,9.124217172282075e-37,3.0698581160226777e-20,7.187441740786437e-38,2.8914926573645587e-68,4.662564668916741e-69,8.133593010603123e-84,3.264377359933844e-87,9.474425679648695e-52,1.825753691454119e-72,1.9969724094037638e-51,7.134383081539428e-64,2.3216392237746832e-54,2.519329853120586e-50,9.979280317566657e-52,7.562548927123332e-68,3.083145631598935e-54,1.4746936318699744e-92,6.69803251427421e-88,4.762341593675046e-37,1.6532009852311787e-20,5.1717709749400114e-54,8.319420204170203e-36,6.1929528629117606e-15,6.379864451783218e-70,1.1812590724375974e-36,5.5182265984582865e-71,4.6827733963519744e-107,6.274253984449432e-18,1.1997664825691707e-51,7.514125728875736e-71
2.082652371796707e-21,0.8778243133730848,5.137203317525752e-24,1.7815781161272516e-24,6.313805312577209e-35,1.1949481961869524e-33,0.0,0.0,1.7368344014182943e-19,4.6987887248226525e-36,2.424210129599129e-47,2.819285301776521e-47,3.7507176025031493e-47,8.817084412122384e-58,2.9668303722801466e-38,7.212305520357016e-33,1.0852287025353512e-18,3.088045440127225e-35,2.0830977380014725e-70,1.2620524265378766e-68,8.264226525732212e-48,1.1946055437279242e-33,6.320296121222412e-20,6.725682766924427e-51,7.75213343604384e-36,6.935127237315306e-51,9.390562789787884e-35,2.3678948288096686e-16,8.061123191669692e-35,3.403649087240645e-20,6.481584550296576e-51,1.189155524481318e-54,3.3965321674999277e-49,7.347284021029616e-37,3.76,0.0,0.8057852916129222,0.9999999999999872,6.127881591730969e-48,1.2917581732690012e-17,2.3678948288096686e-16,7.091805590590803e-20,1.7481907272971145e-31,1.0277052143889663e-19,4.670515508549184e-53,1.8111950683825224e-52,1.5786473235877113e-55,1.0489511594473884e-58,3.8221576762487755e-66,1.0852287025353549e-18,2.920312963644187e-35,9.555199919060766e-38,1.4852596216213496e-52,2.692663596388316e-51,6.8296865781293845e-46,3.809181058850445e-36,6.320296121223184e-20,3.000615441700167e-37,4.895130426844511e-67,8.015644071931009e-68,2.8049526650318085e-82,1.1248805967629929e-85,8.105570032806846e-51,3.0819242800636176e-71,1.679666774661286e-50,1.204160391536316e-62,1.986211234847582e-53,2.1176485425543156e-49,8.420400020487482e-51,1.299808936612348e-66,2.6376959992025597e-53,5.081686551458086e-91,2.309884958207711e-86,1.988183868476552e-36,3.40364908724038e-20,4.424558953598131e-53,3.4731941671213103e-35,1.2750197070678596e-14,1.1019629280218353e-68,4.931524096113149e-36,9.531364162785754e-70,3.3356003243192523e-105,1.2917581732690006e-17,1.026425390485521e-50,1.2914861225069251e-69
4.2248090970733206e-21,0.8778243133730849,1.0421184238198579e-23,3.6140584641600964e-24,2.5793954846000148e-34,4.881753283446812e-33,0.0,0.0,3.5232926428770814e-19,1.9196085117907926e-35,1.9875139288994463e-46,2.3114204245626124e-46,3.0750649040403487e-46,7.228778506862448e-57,1.2120470123676909e-37,2.946462136799458e-32,2.201463939428846e-18,1.2615673227341108e-34,3.4214942900516365e-69,2.0946577765863163e-67,6.775512209331033e-47,4.880353436319086e-33,1.2821172131621123e-19,5.514121080960851e-50,3.1669994545086545e-35,5.685836311891295e-50,3.8363513061474877e-34,4.803443795585327e-16,3.293231851769693e-34,6.904545291258997e-20,5.313994615176853e-50,9.749415447200635e-54,2.7916001927778296e-48,3.001605258564868e-36,3.76,0.0,0.805785291612922,0.9999999999999741,5.024007559937251e-47,2.6204237229171168e-17,4.803443795585327e-16,1.4386234198038744e-19,7.14192954159071e-31,2.0847734349016066e-19,3.8294002789031964e-52,1.484951493835001e-51,1.2942704538752159e-54,8.599948640521835e-58,6.33863230798295e-65,2.201463939428861e-18,1.1930431331142554e-34,3.903610945434948e-37,1.2177055734130944e-51,2.2076083001991354e-50,5.599389689019826e-45,1.5561747530552906e-35,1.2821172131624277e-19,1.2258493156017708e-36,8.054814487213407e-66,1.3288132037459534e-66,9.314138822250437e-81,3.733853228121721e-84,6.701841812127417e-50,5.064110963251197e-70,1.3775265106903189e-49,1.978510230708103e-61,1.6422378585369894e-52,1.7361762181142624e-48,6.9163717684964355e-50,2.1543379889578367e-65,2.180898060179922e-52,1.6867809609504085e-89,7.670214700009322e-85,8.122379831140241e-36,6.904545291257912e-20,3.6583109054944405e-52,1.41891314479963e-34,2.58646854861441e-14,1.8309278861587642e-67,2.0146885049308587e-35,1.5836504110036049e-68,2.250318823441171e-103,2.6204237229171153e-17,8.486683249181287e-50,2.1405434537466233e-68
8.509122547626547e-21,0.8778243133730849,2.0989147191568408e-23,7.279019160275206e-24,1.0426328958753298e-33,1.97328272971131e-32,0.0,0.0,7.096209125794567e-19,7.759364523653209e-35,1.6095403094195088e-45,1.871848187631098e-45,2.490267287606384e-45,5.854052253599618e-56,4.899287813634299e-37,1.191007105570245e-31,4.433934413215809e-18,5.0994568257567874e-34,5.54638968712822e-68,3.4130217793723797e-66,5.4869854541328145e-46,1.9727168890981361e-32,2.582292415241402e-19,4.465478214603652e-49,1.2801518154766226e-34,4.6045376606325176e-49,1.550714535925203e-33,9.674541729136639e-16,1.3311769687322578e-33,1.3906337699293874e-19,4.303410613982674e-49,7.89532939980239e-53,2.2634698718224366e-47,1.2132968370509933e-35,3.76,0.0,0.8057852916129215,0.9999999999999479,4.0685715782521666e-46,5.27775482221335e-17,9.674541729136639e-16,2.8975091412883224e-19,2.8868821103349593e-30,4.1989098759216387e-19,3.1012391744941696e-51,1.202561932852709e-50,1.0481337700090241e-53,6.964482895574511e-57,1.0324070777123094e-63,4.433934413215869e-18,4.822471095233218e-34,1.5779019575161154e-36,9.861295445009429e-51,1.7877784376079897e-49,4.534530944127592e-44,6.290307162765559e-35,2.582292415242677e-19,4.9550789300752155e-36,1.3068830762921736e-64,2.163908906506745e-65,3.0358574478747876e-79,1.216782613604477e-82,5.449826366363033e-49,8.210784819138441e-69,1.1157298950601849e-48,3.2077884611276105e-60,1.335440552975458e-51,1.4060005148246211e-47,5.606170904947577e-49,3.507780939342118e-64,1.77347008309975e-51,5.496857058819261e-88,2.5000355768970588e-83,3.2831957934205557e-35,1.3906337699289495e-19,2.974877672786014e-51,5.735473795937122e-34,5.209366231680245e-14,2.984874556779759e-66,8.143693057906157e-35,2.581749862648363e-67,1.478367700954599e-101,5.2777548222133425e-17,6.901229728387255e-49,3.485320050427795e-67
1.7077749448733e-20,0.877824313373085,4.212507754640477e-23,1.4608940552703098e-23,4.192381017769941e-33,7.934483068222222e-32,0.0,0.0,1.4242042091629179e-18,3.120006348035888e-34,1.2954980678696134e-44,1.5066262688375712e-44,2.0043837621711734e-44,4.7118505447380696e-55,1.9699820820115002e-36,4.7889871890982945e-31,8.898875360789625e-18,2.0504691614146668e-33,8.932289607889038e-67,5.510603643512359e-65,4.4164032504317096e-45,7.93220784782214e-32,5.182642819398174e-19,3.59420535493486e-48,5.14743414690491e-34,3.706132495002729e-48,6.235354946054454e-33,1.941673759623925e-15,5.352604043980754e-33,2.790992251535634e-19,3.4637592503919584e-48,6.3548479790857795e-52,1.8229398046617324e-46,4.878613219048458e-35,3.76,0.0,0.8057852916129205,0.9999999999998954,3.274740363934999e-45,1.0592417020805819e-16,1.941673759623926e-15,5.815280584236663e-19,1.1608025995929135e-29,8.427182757940711e-19,2.4961836565112526e-50,9.679303439827757e-50,8.436292440559918e-53,5.605656369183878e-56,1.6665821120363588e-62,8.898875360789866e-18,1.93909441739477e-33,6.344674372539833e-36,7.937228487490798e-50,1.4389596197900663e-48,3.649784999074947e-43,2.5293048443557846e-34,5.1826428194033e-19,1.992415444530296e-35,2.1056248460031437e-63,3.492807034946653e-64,9.80425278141311e-78,3.9292050682276086e-81,4.395482360642282e-48,1.3224534161748438e-67,8.98105674642873e-48,5.166474730296169e-59,1.0770811856461772e-50,1.1316715335910307e-46,4.514376727891802e-48,5.661572578405032e-63,1.4303678703855757e-50,1.775031825474912e-86,8.073824670359182e-82,1.3201585885093241e-34,2.790992251533872e-19,2.399346615653065e-50,2.3062087877869522e-33,1.0455161597702845e-13,4.820580382212899e-65,3.274543161318938e-34,4.169532924337572e-66,9.585622261157767e-100,1.0592417020805791e-16,5.566091731852285e-48,5.625320561934941e-66
3.42150032509459e-20,0.8778243133730854,8.439695604846431e-23,2.9268783338349574e-23,1.6813322970426794e-32,3.1820825889306885e-31,0.0,0.0,2.853370802329696e-18,1.2512620912568861e-33,1.039555611848246e-43,1.208972697247821e-43,1.6083917377607846e-43,3.7809633201785007e-54,7.90050924488539e-36,1.9205980555122277e-30,1.7828757255936808e-17,8.22329843205039e-33,1.4338303032230345e-65,8.856987266578477e-64,3.5438854731092625e-44,3.181170123643291e-31,1.0383343627704481e-18,2.884123442183938e-47,2.0643513175245835e-33,2.97393792317209e-47,2.5006562164358197e-32,3.890112933044444e-15,2.146633622702096e-32,5.591709214745211e-19,2.779448658495941e-47,5.0993652888551887e-51,1.4632350139713195e-45,1.956542102147679e-34,3.76,0.0,0.8057852916129183,0.9999999999997905,2.627772906158851e-44,2.1221741417990767e-16,3.8901129330444445e-15,1.1650823470051114e-18,4.6553376059876856e-29,1.6883728521894883e-18,2.0030447968310093e-49,7.767046938128559e-49,6.769593390437007e-52,4.498241794721931e-55,2.678376331600482e-61,1.782875725593778e-17,7.776635894927809e-33,2.5444981958989894e-35,6.369125992074003e-49,1.1546744723607882e-47,2.9287226062705175e-42,1.0143643684977067e-33,1.038334362772504e-18,7.990477061961071e-35,3.3807379845085606e-62,5.61305665872614e-63,3.1517608584436636e-76,1.263056403120065e-79,3.5306904537543885e-47,2.122936249753353e-66,7.207008993418226e-47,8.293680307037468e-58,8.651701825227877e-50,9.08095135490734e-46,3.6233195104498384e-47,9.0979951444777e-62,1.1489492602349482e-49,5.705900503675831e-85,2.5954823015224115e-80,5.294426395239266e-34,5.591709214738143e-19,1.927285684090479e-49,9.248928715882347e-33,2.0946752329311773e-13,7.748942173976383e-64,1.3132382652098847e-33,6.702402399844918e-65,6.174815318712489e-98,2.122174141799066e-16,4.470987552818193e-47,9.03973908635965e-65
