Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27)
0.0,0.14012750242855315,3.76,0.0,0.6183044154209957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5338449413787586e-21,0.14012750242855315,3.76,0.0,0.6183044154209955,1.0,2.0707641075343014e-46,5.675185348320456e-33,7.779070858861672e-34,2.3452043675143325e-16,2.3452043675143325e-16,6.467984765578811e-35,2.2966956819741176e-33,2.2960263482031534e-33,9.35352485981345e-46,1.2283273389838065e-48,2.934462280878523e-19,3.4220110783367316e-35,1.2599739670420518e-19,2.6358196943594713e-24,4.943931916470354e-31,1.674514672023585e-19,4.324313066142313e-35,6.222358764317402e-35,1.2732521340027283e-46,7.812578733702394e-25,4.102935157909063e-52,7.768439359426557e-54,5.1287474791581426e-34,1.7254052045729245e-49,7.778236434918338e-70,3.299421490207446e-35,1.925889304554286e-51,1.0566058120268472e-64,1.1029922926437958e-70,4.137346184319971e-79,3.1580516715757013e-19,6.816756114580455e-34,3.1580516715756575e-19,3.124809603519419e-50,9.772364080475069e-66,4.891163858446122e-53,6.65461090431961e-34,3.6637841777199915e-68,8.210509031963981e-69,1.2799289566500591e-35
7.094765835860524e-21,0.14012750242855318,3.76,0.0,0.618304415420995,1.0,2.458411148566981e-45,3.4278119503854907e-32,4.698558798811524e-33,6.56657222904013e-16,6.56657222904013e-16,3.90666279826328e-34,1.3872041919851592e-32,1.3867999143143615e-32,1.1104504818523722e-44,1.458270251422771e-47,8.216494386459952e-19,2.0668946913153926e-34,3.527927107709871e-19,7.380296736735958e-24,2.9861348775431984e-30,4.688641081658078e-19,2.611885091953192e-34,3.758304693648835e-34,1.5116049334877394e-45,2.1875220454771775e-24,4.87100461946376e-51,9.22269120757642e-53,3.097763477394669e-33,2.0484010588655348e-48,1.7399603775449462e-68,1.992850580081633e-34,2.2864157823633615e-50,2.3636027991429716e-63,3.467984246862237e-69,1.7073000770184985e-77,8.842544680411917e-19,4.11732069320657e-33,8.84254468041165e-19,4.722212272831044e-49,2.1860387553028418e-64,7.391526822800485e-52,4.0193849862090245e-33,1.0332457586624712e-66,1.8366580284142745e-67,7.730770898155507e-35
1.6216607624824055e-20,0.1401275024285532,3.76,0.0,0.6183044154209941,1.0,2.4136826439347386e-44,1.6503438992914923e-31,2.2621538058455837e-32,1.5009307952091712e-15,1.5009307952091712e-15,1.880889969610833e-33,6.678791044272618e-32,6.676844620569628e-32,1.0902468725625886e-43,1.4317383956275942e-46,1.8780558597623164e-18,9.951208215803313e-34,8.063833389014017e-19,1.6869257191606688e-23,1.4376954013022361e-29,1.071689390089522e-18,1.2575102396390376e-33,1.809461928665185e-33,1.4841026873926534e-44,5.000050389853081e-24,4.782381220040431e-50,9.054892917549723e-52,1.4914397669139146e-32,2.0111323064395355e-47,3.437868497625792e-67,9.594717693468293e-34,2.2448165733776452e-49,4.6700966228618195e-62,7.736882081427634e-68,6.753932787987338e-76,2.0211530698084157e-18,1.9823126781199584e-32,2.021153069808287e-18,5.0799404762246735e-48,4.319244201255637e-63,7.951467261110621e-51,1.9351608509761126e-32,2.2475352141891977e-65,3.6289267607981583e-66,3.7220334059220982e-34
3.446029120275112e-20,0.14012750242855326,3.76,0.0,0.6183044154209925,1.0,2.134874964593576e-43,7.207485392365992e-31,9.87941999166995e-32,3.189477939819483e-15,3.1894779398194833e-15,8.214340650017072e-33,2.9168035172354066e-31,2.9159534622126885e-31,9.643110139537564e-43,1.2663564034629967e-45,3.9908687019951025e-18,4.3459540694877546e-33,1.713564595149634e-18,3.5847203581819187e-23,6.278793533841473e-29,2.2773399539242137e-18,5.4918775940508794e-33,7.902395630700508e-33,1.312672020069505e-43,1.0625107079252994e-23,4.229962030359227e-49,8.008950242418846e-51,6.513509298269689e-32,1.7788237496841066e-46,6.117503306907545e-66,4.1902652925066665e-33,1.9855148374005273e-48,8.310200323175773e-61,1.4490323882017143e-66,2.4104344878462455e-74,4.294950273342787e-18,8.657280265516782e-32,4.2949502733422284e-18,4.669340494293452e-47,7.685864279135754e-62,7.308768329766967e-50,8.451355848485594e-32,4.1665515045552154e-64,6.457481278027416e-65,1.625509774928759e-33
7.094765835860525e-20,0.14012750242855332,3.76,0.0,0.6183044154209891,1.0,1.7944910437917978e-42,3.0089832716786187e-30,4.124463370192521e-31,6.566572229040086e-15,6.566572229040088e-15,3.4293255206686676e-32,1.217708051598126e-30,1.2173531698125268e-30,8.105615120473127e-42,1.0644488639507908e-44,8.216494386461246e-18,1.8143502737342304e-32,3.5279271075957104e-18,7.380319828412829e-23,2.621272702044291e-28,4.688641081542652e-18,2.2927507877137802e-32,3.2990946168567544e-32,1.1033799272890869e-42,2.1875220460645252e-23,3.555537960811159e-48,6.732005254619354e-50,2.7192619132146126e-31,1.495208543758993e-45,1.0318063480151769e-64,1.7493532740568787e-32,1.6689448570565652e-47,1.4016377992204285e-59,2.502843101999093e-65,8.144319634695289e-73,8.842544680411227e-18,3.6142440919502e-31,8.842544680408893e-18,3.9947190993255006e-46,1.2963333494053094e-60,6.25280518150204e-49,3.5282747014699803e-31,7.161237477730821e-63,1.0891486020698919e-63,6.786183328007278e-33
1.439223926703135e-19,0.14012750242855349,3.76,0.0,0.6183044154209824,1.0,1.471232176579025e-41,1.2292678471868535e-29,1.6849778650105785e-30,1.332076080748122e-14,1.3320760807481225e-14,1.400991370435201e-31,4.9747347235806866e-30,4.973284911221446e-30,6.645472999245726e-41,8.726994921592957e-44,1.666774575539582e-17,7.412212876121304e-32,7.156652132286315e-18,1.4971559537628297e-22,1.0708754287773253e-27,9.511243336575743e-18,9.366635074168959e-32,1.3477877977994724e-31,9.04617527795813e-42,4.437544723379946e-23,2.915044836766503e-47,5.519304639040587e-49,1.1109072187765752e-30,1.2258623008330758e-44,1.694745024925994e-63,7.146678924216219e-32,1.3683018271797445e-46,2.3021951434133336e-58,4.15851124810668e-64,2.6776751274808175e-71,1.793773349454689e-17,1.4765366414422828e-30,1.7937733494537352e-17,3.3029110015283005e-45,2.129231418304683e-59,5.169940240422776e-48,1.441415340319011e-30,1.1869225938734914e-61,1.788929849408256e-62,2.7723773171341625e-32
2.8987186129373e-19,0.14012750242855387,3.76,0.0,0.6183044154209688,1.0,1.1914419613411126e-40,4.968897181345103e-29,6.8109499380738e-30,2.6829137964363175e-14,2.68291379643632e-14,5.663031111316892e-31,2.0108673180331855e-29,2.010281277083249e-29,5.38167633139914e-40,7.067346774225342e-43,3.35702484932741e-17,2.9961349556162333e-31,1.4414102180861323e-17,3.0154202031073797e-22,4.328649701126176e-27,1.915644784582677e-17,3.786143656749046e-31,5.4479737714896925e-31,7.325827277972495e-41,8.937590082158674e-23,2.360678886354297e-46,4.469675995428909e-48,4.490464596245062e-30,9.927350737831278e-44,2.7472547168953534e-62,2.888801886552206e-31,1.1080862952117854e-45,3.731958219222497e-57,6.779422891558065e-63,8.684976732298356e-70,3.612811112281335e-17,5.9683971826062e-30,3.6128111122774796e-17,2.6858723729433733e-44,3.451575881486934e-58,4.2041095416264463e-47,5.8264312680533025e-30,1.932595754424775e-60,2.8999323761111362e-61,1.1206392380316472e-31
5.817707985405629e-19,0.14012750242855457,3.76,0.0,0.6183044154209417,1.0,9.589761443628268e-40,1.9979717026126012e-28,2.7386530168007985e-29,5.384589227812589e-14,5.3845892278125963e-14,2.2770798971302424e-30,8.085609073579835e-29,8.083252599632823e-29,4.3316413071284175e-39,5.688415563391888e-42,6.737525396906724e-17,1.2047326881732986e-30,2.892900227478653e-17,6.052013931802291e-22,1.740531006535282e-26,3.8446856861068254e-17,1.5223917124425772e-30,2.190606292501507e-30,5.896463125800313e-40,1.7937680816307663e-22,1.9000797419979397e-45,3.597584095911611e-47,1.8055960636998406e-29,7.990395532869272e-43,4.4243690283174034e-61,1.1615745330247833e-30,8.918842516205905e-45,6.010204210193991e-56,1.0948786088630016e-61,2.797981205825684e-68,7.250886637932681e-17,2.3998662571604884e-29,7.250886637917178e-17,2.1662533709590703e-43,5.558656543262873e-57,3.3907666469219154e-46,2.3427823873077756e-29,3.1192173389687347e-59,4.670251691792422e-60,4.506041088189901e-31
1.1655686730342288e-18,0.14012750242855598,3.76,0.0,0.6183044154208875,0.9999999999999999,7.69517962874451e-39,8.012760142141216e-28,1.0983223508699108e-28,1.0787940090564642e-13,1.0787940090564676e-13,9.132108789729841e-30,3.2426908994114777e-28,3.2417458246522074e-28,3.475869351752459e-38,4.564595298827798e-41,1.3498526492079979e-16,4.8315169094415014e-30,5.795880244973774e-17,1.2125462309215239e-21,6.98030780616555e-26,7.702767487850887e-17,6.105471674261271e-30,8.785311005900095e-30,4.731540312047894e-39,3.5937862350971815e-22,1.5246943298517016e-44,2.8868346718725904e-46,7.241247782643727e-29,6.411789196097729e-42,7.102092140067993e-60,4.658433403169369e-30,7.156809428651368e-44,9.647709254400948e-55,1.7599853898056914e-60,8.983731278619486e-67,1.4527037689227578e-16,9.624537057623185e-29,1.452703768916541e-16,1.7400525130991348e-42,8.92287478389113e-56,2.723648164227006e-45,9.39560520813086e-29,5.0124985250708496e-58,7.496788270055731e-59,1.8071240136318475e-30
2.3331644220215606e-18,0.1401275024285588,3.76,0.0,0.6183044154207792,0.9999999999999998,6.165507939041637e-38,3.2092834903381542e-27,4.399018237524858e-28,2.1594641816066805e-13,2.1594641816066941e-13,3.6576067611848147e-29,1.2987677569419906e-27,1.2983892154170622e-27,2.7849252450527564e-37,3.6572309511152636e-40,2.7020528682484986e-16,1.935126869616879e-29,1.1601840274804329e-16,2.4273402744132688e-21,2.7957640304352767e-25,1.5418931086122075e-16,2.4453732676459086e-29,3.518706796535567e-29,3.7909900314609025e-38,7.193822568576488e-22,1.2216108545302212e-43,2.312980713232535e-45,2.900276123543774e-28,5.137233820947102e-41,1.138186577883173e-58,1.8658031862933803e-29,5.73415661744506e-43,1.54614910796201e-53,2.8225375138137167e-59,2.8796349983322015e-65,2.9079339791786225e-16,3.8548349549157396e-28,2.907933979153723e-16,1.3948674639578653e-41,1.4299865531699548e-54,2.183341116621277e-44,3.7631428049016597e-28,8.037438075032666e-57,1.2014408738554981e-57,7.237921960562318e-30
4.668355919996225e-18,0.14012750242856445,3.76,0.0,0.6183044154205625,0.9999999999999996,4.936155275601073e-37,1.2845497595374154e-26,1.760753724322149e-27,4.320804526706335e-13,4.32080452670639e-13,1.4639958743983413e-28,5.198455863004071e-27,5.196940560916582e-27,2.229633549432843e-36,2.9280086486878898e-39,5.406453306352903e-16,7.74555056464787e-29,2.3213760313826677e-16,4.857345833432617e-21,1.1190342083072929e-24,3.085125826179671e-16,9.787865903851263e-29,1.4083997202997503e-28,3.0350971090692578e-37,1.4393895341721091e-21,9.780314746566538e-43,1.8517909691569038e-44,1.1608662797451756e-27,4.112910711010529e-40,1.8225814726572512e-57,7.468075161119098e-29,4.5908119027587877e-42,2.475853083401649e-52,4.5213156444899014e-58,9.22258584926757e-64,5.818394399677889e-16,1.5429385809431693e-27,5.818394399578229e-16,1.117025257514993e-40,2.2898415955014525e-53,1.7484436496086564e-43,1.5062378252748049e-27,1.2873869188731633e-55,1.9238707608402342e-56,2.897055038908169e-29
9.338738915945554e-18,0.14012750242857572,3.76,0.0,0.618304415420129,0.999999999999999,3.9504244694029245e-36,5.139872241591543e-26,7.045308481844642e-27,8.643485216902533e-13,8.64348521690275e-13,5.857890201193887e-28,2.0800595944968406e-26,2.0794531566615899e-26,1.7843844700505693e-35,2.3432970162127263e-38,1.0815254182655316e-15,3.09922913055254e-28,4.643760030931637e-16,9.71902683960866e-21,4.4775944347785364e-24,6.171591252967501e-16,3.9164212954058118e-28,5.635433408626435e-28,2.4290001146929536e-36,2.8794041312754897e-21,7.827224223919275e-42,1.4819955840518846e-43,4.6449771897757966e-27,3.291578560191942e-39,2.917317305858169e-56,2.9882028202923706e-28,3.674044757414689e-41,3.962977341133807e-51,7.238312364618999e-57,2.952468739279379e-62,1.1639315240626576e-15,6.17376409430247e-27,1.1639315240227799e-15,8.940729405706859e-40,3.665237723778786e-52,1.399463554859311e-42,6.02691326669052e-27,2.0609371664333825e-54,3.0794461323258433e-55,1.159199372682695e-28
1.8679504907844208e-17,0.14012750242859828,3.76,0.0,0.6183044154192623,0.9999999999999979,3.160939864037215e-35,2.0562835849341546e-25,2.818582232985007e-26,1.728884659728248e-12,1.7288846597283353e-12,2.343537331881527e-27,8.321593784104636e-26,8.319166680735093e-26,1.4277786853776749e-34,1.874993986791619e-37,2.1632855935634576e-15,1.2398934619113011e-27,9.288527997007574e-16,1.9449068404461392e-20,1.7913293309444895e-23,1.2344522073154773e-15,1.5668235444352017e-27,2.2545403223064772e-27,1.943569140942863e-35,5.7594334953806124e-21,6.262968591123035e-41,1.1858216528253987e-42,1.8582933166107945e-26,2.633762944187578e-38,4.668657483345823e-55,1.1954757034044041e-27,2.939794011786687e-40,6.34205397767122e-50,1.158466700713513e-55,9.449886444202838e-61,2.328115692232456e-15,2.4699076490625253e-26,2.32811569207292e-15,7.15439488700152e-39,5.865573396864268e-51,1.1198543455692572e-41,2.4111577556737612e-26,3.298394190256111e-53,4.9281163936351575e-54,4.637552301833639e-28
3.7361036891641517e-17,0.14012750242864339,3.76,0.0,0.6183044154175287,0.9999999999999958,2.5289921294041106e-34,8.225803763504087e-25,1.127524714171249e-25,3.45795693579926e-12,3.4579569357996085e-12,9.374910735487799e-27,3.328909185841076e-25,3.3279374997044926e-25,1.1423314023542327e-33,1.5001381683262774e-36,4.32680594430908e-15,4.959977495824375e-27,1.857806379707144e-15,3.8935869743779606e-20,7.165900440926541e-23,2.4690383579975782e-15,6.267804292015472e-27,9.018895268026346e-27,1.5550029471741296e-34,1.1519492903188467e-20,5.0108505880630305e-40,9.487474284870923e-42,7.433778058605439e-26,2.107210403331663e-37,7.470611895275875e-54,4.782291963134622e-27,2.3520585036223804e-39,1.0148318627379954e-48,1.8538162244986318e-54,3.0242814898635125e-59,4.656484028492296e-15,9.880434675992544e-26,4.656484027854101e-15,5.724240514048316e-38,9.385871359611507e-50,8.959968563795926e-41,9.64541597643337e-26,5.278146560166789e-52,7.88578839529868e-53,1.8551718851854085e-27
7.472410085923613e-17,0.1401275024287336,3.76,0.0,0.6183044154140616,0.9999999999999915,2.023289959313533e-33,3.2904553945229528e-24,4.510282876321066e-25,6.916101487921368e-12,6.916101487922761e-12,3.750115661879193e-26,1.3316184680523056e-24,1.3312291651374203e-24,9.139085037918981e-33,1.2001683919009608e-35,8.65384664639941e-15,1.9840717308830392e-26,3.7157134868847164e-15,7.801634525774814e-20,2.866476773195958e-22,4.938210605940365e-15,2.5072237636172753e-26,3.6077049152540606e-26,1.2440614130190074e-33,2.303961443722789e-20,4.008870733958982e-39,7.590340229983589e-41,2.973632080326647e-25,1.6858483272466805e-36,1.1953586982372787e-52,1.912994594910326e-26,1.8817361061401578e-38,1.6238135502426706e-47,2.96632183981455e-53,9.67820899759732e-58,9.313220700692952e-15,3.95233469191047e-25,9.313220698140066e-15,4.579682224321115e-37,1.5018155361343352e-48,7.1684278448944014e-40,3.858323386786477e-25,8.445607140449164e-51,1.261790320478199e-51,7.420989412236762e-27
1.494502287944254e-16,0.14012750242891403,3.76,0.0,0.6183044154071273,0.9999999999999828,1.6186707194179636e-32,1.3162089357906942e-23,1.8041502520268003e-24,1.3832390592085933e-11,1.3832390592091503e-11,1.500075803359491e-25,5.326587120344445e-24,5.32502497574855e-24,7.311441530132393e-32,9.601589172490764e-35,1.7307928052976407e-14,7.936448391856954e-26,7.431527489899074e-15,1.566047876020629e-19,1.1466140044529212e-21,9.876554888140289e-15,1.0029099314313355e-25,1.4431113338783294e-25,9.952727505300563e-33,4.607986837926785e-20,3.2071726422493075e-38,6.072417081366921e-40,1.1894769192534756e-24,1.3487106342678195e-35,1.9126225465325135e-51,7.652133817578282e-26,1.5054245764337834e-37,2.598167686070664e-46,4.746288488177068e-52,3.0971079886569223e-56,1.862669404381817e-14,1.5809660415105985e-24,1.8626694033606412e-14,3.663861634004857e-36,2.4029651141693515e-47,5.734922593343454e-39,1.5433607544166764e-24,1.3513429296507504e-49,2.0189158561262846e-50,2.96845608574073e-26
2.9890248466480386e-16,0.14012750242927494,3.76,0.0,0.6183044153932589,0.9999999999999655,1.2949524743265068e-31,5.2648892970467936e-23,7.216677587098945e-24,2.7664968800096428e-11,2.7664968800118727e-11,6.0003564074309725e-25,2.1306604249768252e-23,2.130031639739227e-23,5.84922257299793e-31,7.681385117702726e-34,3.461609087571576e-14,3.1746116509701715e-25,1.486315465056476e-14,3.154916373565965e-19,4.586502411729506e-21,1.9753242597797618e-14,4.011680708128846e-25,5.772504116751982e-25,7.96227644391564e-32,9.216041976132237e-20,2.5657684524723815e-37,4.8579925411295385e-39,4.757955174211381e-24,1.0789812482263491e-34,3.0602349524380343e-50,3.0608844675778863e-25,1.2043538887794483e-36,4.157120935832274e-45,7.594203084956941e-51,9.910873996339774e-55,3.7253640724964213e-14,6.3239284950767255e-24,3.725364068411677e-14,2.931135530972856e-35,3.8447903391531335e-46,4.588008785708251e-38,6.173505816833645e-24,2.1621852346779335e-48,3.2303064450583597e-49,1.1873944549505013e-25
