Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652)
0.0,0.13694477611864686,3.76,0.0,0.6385648686276388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5966926291864565e-19,0.13694477611864686,3.76,0.0,0.6385648686276386,1.0,2.954441843952723e-43,1.1338764451870918e-32,2.2117060483914772e-32,2.449488545963296e-16,2.449488545963296e-16,6.044478711626663e-36,3.285764001910402e-34,3.2586960185018534e-34,1.3913855745339525e-44,1.6109785272613854e-46,2.747414586408984e-19,3.072625903063594e-34,1.4044376404968503e-19,3.7928353000000793e-25,1.977670089412305e-30,1.3429807387063164e-19,3.843406504682581e-36,1.6918665961184114e-34,1.1348087581476962e-45,1.6161374823535767e-27,6.816936514137706e-52,2.0616800969630564e-52,1.6751827169932834e-31,5.937750587246122e-48,3.1041725063200654e-66,2.0292975594777647e-33,5.542495882422486e-51,4.653375533745522e-62,1.6092886352581494e-70,2.0617281296151713e-74,4.483636790017097e-20,1.9918256995170133e-32,4.483636790018051e-20,4.341850329318244e-49,2.775754331317605e-64,4.746399502191326e-53,1.1388651558123126e-33,2.6796120065268722e-67,6.849110827865947e-70,1.382054037247787e-35,1.2147227630359075e-70,7.25896335538948e-81,1.8307015652441626e-84,6.714885806582302e-69
7.270739361722078e-19,0.13694477611864692,3.76,0.0,0.6385648686276382,1.0,3.50751335720151e-42,6.848613728928323e-32,1.3358704532533207e-31,6.858567928697225e-16,6.858567928697225e-16,3.6508651293672964e-35,1.9846015150329158e-33,1.9682523951280183e-33,1.6518529541765777e-43,1.9125537088408377e-45,7.692760841964159e-19,1.855866045454202e-33,3.9324253933533345e-19,1.0619983896438644e-24,1.1945127339961055e-29,3.7603460683463696e-19,2.3214175288290872e-35,1.0218874240577234e-33,1.347244957643513e-44,4.525184996051964e-27,8.093067029423504e-51,2.447626611240015e-51,1.0118103610116414e-30,7.04929749713331e-47,6.943909728852037e-65,1.2256957259159703e-32,6.580051111516111e-50,1.0409414979005009e-60,5.059860978212377e-69,8.507778890869663e-73,1.2554183012041044e-19,1.2030627225077202e-31,1.2554183012046802e-19,6.56140421761137e-48,6.209251397806566e-63,7.172758976979348e-52,6.878745541103248e-33,7.556934596270799e-66,1.5321186957646655e-68,8.347606384742718e-35,3.819282722849735e-69,4.394675521504264e-79,1.0543903697182353e-82,1.5022028124216834e-67
1.6618832826793323e-18,0.13694477611864692,3.76,0.0,0.6385648686276373,1.0,3.443697413498141e-41,3.297312702601503e-31,6.4316411890954484e-31,1.5676726694165068e-15,1.5676726694165068e-15,1.7577343906582218e-34,9.555002585740954e-33,9.476288021096877e-33,1.6217990257223938e-42,1.8777565753140188e-44,1.758345335315054e-18,8.935196126165807e-33,8.98840089891493e-19,2.4274461315069464e-24,5.751064619877092e-29,8.595076727501217e-19,1.117662611562865e-34,4.919948061545388e-33,1.322733088405717e-43,1.0343280205296583e-26,7.945821200378282e-50,2.403094321408964e-50,4.87143134023195e-30,6.9210420843537076e-46,1.3719995471513133e-63,5.901197302832356e-32,6.460333200254284e-49,2.056724990137121e-59,1.1288271698293426e-67,3.365592728860022e-71,2.8695275456061626e-19,5.792229134187143e-31,2.8695275456089355e-19,7.0584592431867e-47,1.226843436538085e-61,7.716126904897228e-51,3.311819873097526e-32,1.643798338761538e-64,3.02720835878602e-67,4.019013139965687e-34,8.520609658342557e-68,1.9828281671172156e-77,4.728328974202207e-81,2.968196605367279e-66
3.5315019756935814e-18,0.13694477611864697,3.76,0.0,0.6385648686276355,1.0,3.0459113638322574e-40,1.440023085384962e-30,2.808866681842644e-30,3.3313044225100713e-15,3.3313044225100713e-15,7.67648777071015e-34,4.1729211795512373e-32,4.1385439427672943e-32,1.4344628718020964e-41,1.6608544307190378e-43,3.73648383758274e-18,3.9022348969495346e-32,1.9100351909432607e-18,5.158413705534576e-24,2.511641013415274e-28,1.826453804530987e-18,4.881126260958778e-34,2.1486705771045336e-32,1.16994243710835e-42,2.1979471351177453e-26,7.02798886756229e-49,2.1255097135814463e-49,2.1274820497708014e-29,6.121583345132484e-45,2.4413998871316586e-62,2.5772079004034796e-31,5.71409155431766e-48,3.659832232587857e-58,2.1141684329067646e-66,1.2011561397556896e-69,6.097746034399353e-19,2.5296186383779976e-30,6.097746034411464e-19,6.487940109706088e-46,2.1831023280461266e-60,7.092450198235842e-50,1.4463587478768023e-31,3.047325086668809e-63,5.386755531461085e-66,1.7552086269421136e-33,1.5958158903756434e-66,7.48447883312991e-76,1.7789155360288187e-79,5.281826464381488e-65
7.27073936172208e-18,0.13694477611864705,3.76,0.0,0.638564868627632,1.0,2.560272031607493e-39,6.011812912358159e-30,1.1726465472040828e-29,6.858567928697179e-15,6.858567928697179e-15,3.204782439154323e-33,1.742112881225419e-31,1.7277606283526291e-31,1.2057524763217257e-40,1.396048231028697e-42,7.692760842239749e-18,1.62910625385721e-31,3.932425392804593e-18,1.0620637214795633e-23,1.0485606812818866e-27,3.7603460678923e-18,2.037774128793331e-33,8.97027669292718e-32,9.834071125230479e-42,4.525185655250796e-26,5.907448110255426e-48,1.7866189866277473e-48,8.881818758202376e-29,5.145559654363285e-44,4.117777747534861e-61,1.0759335659151583e-30,4.803038250639832e-47,6.172841994460638e-57,3.6517004644479047e-65,4.058435121438695e-68,1.2554183011942031e-18,1.0560659858761725e-29,1.2554183011992589e-18,5.5505693580836826e-45,3.6821211068779203e-59,6.067740810471768e-49,6.03826305607337e-31,5.237573228715399e-62,9.085550548962768e-65,7.327650502224573e-33,2.756375101930487e-65,2.596280027345613e-74,6.159819717171426e-78,8.90863659230957e-64
1.4749214133779073e-17,0.13694477611864725,3.76,0.0,0.6385648686276248,1.0,2.0990656972542195e-38,2.456021735312898e-29,4.7906437719951455e-29,1.3913094941071318e-14,1.391309494107132e-14,1.3092581197447443e-32,7.117103094790713e-31,7.058465918352704e-31,9.88548728081214e-40,1.1445646986344602e-41,1.5605314852040335e-17,6.655430611519691e-31,7.977205795558442e-18,2.1546237678140383e-23,4.2837125194163856e-27,7.62813059381326e-18,8.324972225492284e-33,3.66465072211656e-31,8.062565654956128e-41,9.179663859346188e-26,4.843282872084939e-47,1.4647781895135273e-47,3.628512766138842e-28,4.218640685796231e-43,6.763462300054157e-60,4.395539684715621e-30,3.937820944225256e-46,1.0138911511369753e-55,6.067355778076959e-64,1.3343246737663533e-66,2.5467056966852594e-18,4.3143741381162317e-29,2.546705696705914e-18,4.589318082120179e-44,6.047894783182336e-58,5.016926009873674e-48,2.4668274820588627e-30,8.680893520009742e-61,1.4923044060226782e-63,2.9935843240773554e-32,4.5797584658692585e-64,8.645954244560233e-73,2.0494108231721554e-76,1.4632513658871527e-62
2.9706163677893066e-17,0.1369447761186476,3.76,0.0,0.6385648686276107,1.0,1.699877824596564e-37,9.927632538140933e-29,1.9364548096732026e-28,2.8022148965819283e-14,2.8022148965819286e-14,5.292230036921899e-32,2.8768497235821962e-30,2.8531447770312045e-30,8.005523890364589e-39,9.268981891057017e-41,3.143042287358775e-17,2.6902314645438947e-30,1.6066766597190893e-17,4.340205238411603e-23,1.731545090577565e-26,1.5363699642448515e-17,3.3650868784354073e-32,1.4813104147123482e-30,6.529274698558802e-40,1.8488624922868366e-25,3.922216037674972e-46,1.1862153569184746e-46,1.4667028724167174e-27,3.416364602241285e-42,1.0963863796534417e-58,1.7767474187702296e-29,3.1889494939201876e-45,1.643561246870173e-54,9.891323980067033e-63,4.327850088311451e-65,5.129280487597453e-18,1.7439390075067607e-28,5.12928048768094e-18,3.7319572458887834e-43,9.803897443883174e-57,4.0796818379509924e-47,9.971311094108558e-30,1.4134584718846346e-59,2.4190897503644007e-62,1.2100546459315646e-31,7.466162199848284e-63,2.8220611695700903e-71,6.686213663765951e-75,2.3719974365454113e-61
5.962006276612105e-17,0.13694477611864828,3.76,0.0,0.6385648686275825,1.0,1.3682095608844624e-36,3.991857380204532e-28,7.786399631201732e-28,5.624025701531396e-14,5.624025701531397e-14,2.127981926829512e-31,1.1567709209990162e-29,1.1472369643859622e-29,6.443542078580604e-38,7.460483352129922e-40,6.308063892446759e-17,1.0817302399759411e-29,3.224588818495478e-17,8.713213691317652e-23,6.962466649545652e-26,3.083483772689237e-17,1.3530866336591491e-31,5.956284028035027e-30,5.255328303483866e-39,3.7106565671352223e-25,3.1569406878133536e-45,9.547693210504113e-46,5.897547721268408e-27,2.7497874476596355e-41,1.7656964488664142e-57,7.144223223267768e-29,2.5667439824416617e-44,2.646904717374745e-53,1.5974523499614718e-61,1.394274550596775e-63,1.0294430069142161e-17,7.012302047739947e-28,1.0294430069477857e-17,3.009958716590989e-42,1.5788872595415603e-55,3.2904126922007914e-46,4.009420335397694e-29,2.2813276710588845e-58,3.895869467994691e-61,4.865576501858516e-31,1.2057871989962369e-61,9.120215737367258e-70,2.160316658861726e-73,3.8200312065129017e-60
1.19447860942577e-16,0.13694477611864975,3.76,0.0,0.638564868627526,0.9999999999999999,1.0979020083824291e-35,1.600913349592698e-27,3.122694515273735e-27,1.1267647311429829e-13,1.1267647311429834e-13,8.534155319869674e-31,4.6391872196744075e-29,4.6009333264485593e-29,5.1705366967269175e-37,5.986568595737994e-39,1.263810710573672e-16,4.33822207918686e-29,6.46041312984785e-17,1.746661264394522e-22,2.7922605275547724e-25,6.177711384447342e-17,5.4264825840023795e-31,2.388736297258632e-29,4.217069981727453e-38,7.434252165498914e-25,2.5332460777434575e-44,7.661422563259049e-45,2.3651803938272447e-26,2.2065312492126946e-40,2.8343337923006374e-56,2.8651530429830865e-28,2.059650393845152e-43,4.248868263868818e-52,2.567860842630145e-60,4.476723145418137e-62,2.0624729231112863e-17,2.8122467538413187e-27,2.0624729232459153e-17,2.4177625270854385e-41,2.5344630800520566e-54,2.6430408136499164e-45,1.6079568801024866e-28,3.6660323196466346e-57,6.253733305610824e-60,1.951313788017274e-30,1.9382677362626663e-60,2.9328927646963658e-68,6.946365773979823e-72,6.1319958729261675e-59
