Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78)
2.6938287793680022e-17,0.6958323628362199,8.390157612149832e-22,6.575946021325914e-24,2.3186674784969042e-32,1.2979170833909893e-28,0.0,0.0,7.457954420490935e-17,4.69808879747345e-30,7.194872061216366e-48,4.3230802789712353e-57,6.453524195126998e-38,1.202712679066873e-69,7.892628024082629e-51,7.964821082906887e-47,2.320643984539502e-46,4.758486160324151e-41,6.136464124867177e-70,3.86714683052512e-60,6.895541811863856e-39,1.2958956713579506e-28,3.9249282619052834e-52,6.7363388825344374e-71,2.383380418642426e-59,8.114154062296764e-52,7.3421394249558325e-31,2.1838688564985134e-13,6.192415345677417e-41,1.0869527766812807e-29,2.197640059839e-58,7.813903081440944e-56,2.3661849490502595e-41,1.4081357639412236e-42,3.76,0.0,0.8505847743222152,1.0,6.793467709676157e-42,7.892631762240456e-51,2.1838688564985149e-13,3.516187276787921e-17,1.0884191257986995e-25,3.941851023512748e-17,6.456715573706838e-45,4.1327202011198077e-44,1.3834203430620894e-54
5.3899979833922755e-17,0.6958323628362469,1.6789752038623336e-21,1.3157605309820647e-23,9.281247053099975e-32,5.195051690207284e-28,0.0,0.0,1.4922388384663147e-16,1.8804598762977088e-29,1.1521169524468962e-46,6.924423719159876e-56,5.166743373065226e-37,1.9266530530336918e-68,6.32125820599003e-50,6.37830120268198e-46,1.858405239595448e-45,3.809682293860468e-40,1.9653338888948986e-68,6.192473448536646e-59,5.52062623255135e-38,5.1869598854524e-28,3.1435209161011415e-51,2.1575138319226794e-69,3.816636579902037e-58,1.2993218474325878e-50,2.9387691863222616e-30,4.369635079509306e-13,4.957697532439111e-40,4.3506437895434515e-29,3.519087411483208e-57,1.2512425946073952e-54,1.8943867019173326e-40,1.1273668726144178e-41,3.76,0.0,0.8505847743219966,0.9999999999999999,5.439197255854946e-41,6.321264192882608e-50,4.369635079509312e-13,7.035429440400553e-17,4.356512999828608e-25,7.887126754660708e-17,5.169298412514204e-44,3.3086890277434525e-43,2.2152750109715885e-53
1.0782336391440823e-16,0.6958323628363012,3.3595385780417962e-21,2.6320923950701326e-23,3.7141355127324305e-31,2.0786980728176183e-27,0.0,0.0,2.985125631393759e-16,7.524288917869862e-29,1.844137435175076e-45,1.1085080767062939e-54,4.1349649739897614e-36,3.0850307992017886e-67,5.060776548864401e-49,5.1052212074402735e-45,1.487492079090513e-44,3.048903677075252e-39,6.291734470533782e-67,9.911990337068199e-58,4.418178814550033e-37,2.075459585741007e-27,2.5167232178038094e-50,6.907068452335194e-68,6.109207492256493e-57,2.0797611351807518e-49,1.1758904666094242e-29,8.741167525528636e-13,3.967664775066204e-39,1.7408242151192045e-28,5.632831651815571e-56,2.0028030222072795e-53,1.5160851041813354e-39,9.022369505292901e-41,3.76,0.0,0.8505847743215593,0.9999999999999998,4.353478855200716e-40,5.060786132610483e-49,8.741167525528659e-13,1.4073913734922973e-16,1.7431726576508453e-24,1.577767818426985e-16,4.137009775825339e-43,2.6479567939981604e-42,3.5458827007891265e-52
2.1567013207537919e-16,0.6958323628364096,6.723243281913116e-21,5.264756148825221e-23,1.4862383132449677e-30,8.316151538415827e-27,0.0,0.0,5.970899217620654e-16,3.0102055196269543e-28,2.9512202915922423e-44,1.774094303157133e-53,3.308600219739507e-35,4.939669584223763e-66,4.051579752042649e-48,4.085211319576101e-44,1.1903192903704095e-43,2.4395861787853017e-38,2.0137817084702125e-65,1.5862411575072723e-56,3.5352143234682815e-36,8.30318979106084e-27,2.0149005568231977e-49,2.2107496962263597e-66,9.776820713409912e-56,3.3282949263244924e-48,4.704327557664264e-29,1.7484232417558273e-12,3.1747346528568365e-38,6.964430430773588e-28,9.014364528108005e-55,3.2051368408978036e-52,1.213098428795815e-38,7.2192697215823805e-40,3.76,0.0,0.8505847743206847,0.9999999999999994,3.484193419682243e-39,4.0515950899505757e-48,1.7484232417558362e-12,2.8150882193156446e-16,6.973825681446453e-24,3.1558780912741025e-16,3.3102363618816096e-42,2.1187677422747058e-41,5.674566736719013e-51
4.313636683973211e-16,0.6958323628366265,1.346096451149207e-20,1.0530083758830914e-22,5.94817538700551e-30,3.3267358927788554e-26,0.0,0.0,1.194244639156247e-15,1.204180205450478e-27,4.7224328318804636e-43,2.838939303253183e-52,2.6471314926103605e-34,7.911843547920266e-65,3.24476768731955e-47,3.2685860536113225e-43,9.524151356615727e-43,1.9518542598352067e-37,6.444784235474661e-64,2.5382440392930856e-55,2.8284399913808553e-35,3.3215462192780005e-26,1.6137440861315814e-48,7.0752038515748215e-65,1.5644638822954018e-54,5.325813630644171e-47,1.881884170619967e-28,3.4970362201581444e-12,2.54002888813081e-37,2.7859989107020715e-27,1.442445051448092e-53,5.1287404423926587e-51,9.705708897381685e-38,5.775965504752785e-39,3.76,0.0,0.8505847743189355,0.9999999999999989,2.7888177366261277e-38,3.2447922315481925e-47,3.4970362201581803e-12,5.63048185863779e-16,2.7897572778969246e-23,6.312098584669496e-16,2.6484405146014984e-41,1.695175121669313e-40,9.080230365675123e-50
8.627507410412048e-16,0.6958323628370604,2.697765425628922e-20,2.1060739390262088e-22,2.3815576916357135e-29,1.3307521414849813e-25,0.0,0.0,2.3885540745398198e-15,4.8169168249817895e-27,7.556276812706317e-42,4.542624071357952e-51,2.1178057161889093e-33,1.268317011866679e-63,2.6009284026732123e-46,2.615040782156542e-42,7.620430933831307e-42,1.561557542007817e-36,2.0624402003498317e-62,4.061397000737965e-54,2.262859404186316e-34,1.3286725453946674e-25,1.293668446836159e-47,2.2642095339686294e-63,2.5032977115706984e-53,8.52173521238656e-46,7.527842975716503e-28,6.994262176948342e-12,2.0321195931352302e-36,1.1144449201238603e-26,2.3080294643048568e-52,8.206401379848948e-50,7.764935703240292e-37,4.620992341352032e-38,3.76,0.0,0.8505847743154371,0.9999999999999977,2.2330775367289647e-37,2.6009676777214013e-46,6.994262176948485e-12,1.1261268927983894e-15,1.1159482970248544e-22,1.2624539362264919e-15,2.1188529578870276e-40,1.3562044524361695e-39,1.4529107306884534e-48
1.7255248863289723e-15,0.6958323628379278,5.417602287479223e-20,4.2122052310305225e-22,9.543950695675258e-29,5.323145952316873e-25,0.0,0.0,4.777172947687806e-15,1.9268059321280136e-26,1.2090350224814504e-40,7.268488848661215e-50,1.69428476687111e-32,2.0368520912311044e-62,2.0887287263031543e-45,2.0921096119864072e-41,6.097542302935254e-41,1.249275693586273e-35,6.5999834050848e-61,6.498400357177224e-53,1.8103304766122006e-33,5.314798260372774e-25,1.0391139772328404e-46,7.2458007339902e-62,4.0054565401828686e-52,1.3635123001396855e-44,3.011198439802074e-27,1.3988714090470984e-11,1.6257342864152185e-35,4.457870446195412e-26,3.692941029364081e-51,1.3130573790807378e-48,6.212095966810372e-36,3.69688190612543e-37,3.76,0.0,0.8505847743084403,0.9999999999999952,1.789572395652329e-36,2.0887915743547947e-45,1.3988714090471562e-11,2.2522842229483456e-15,4.463883826933552e-22,2.5249420080674383e-15,1.6951225391387738e-39,1.0849892735127535e-38,2.3247162066775894e-47
3.451073176904507e-15,0.6958323628396627,1.0923271651824697e-19,8.4244684871127985e-22,3.831640145012337e-28,2.1293033109539257e-24,0.0,0.0,9.55441070350714e-15,7.70730213989216e-26,1.9344805869673584e-39,1.1629921245555456e-48,1.3554438656890076e-31,3.282942389223664e-61,1.6836818627898565e-44,1.6737316197910893e-40,4.879718647565331e-40,9.994324278711214e-35,2.1120226306453024e-59,1.039757244411726e-51,1.448281543117385e-32,2.125940889302196e-24,8.37938788931724e-46,2.3187726468741122e-60,6.409053182486871e-51,2.181647390570906e-43,1.2044916177550135e-26,2.7977617917285255e-11,1.300602902620045e-34,1.7831663736990644e-25,5.908780686806265e-50,2.100917768798806e-47,4.96973568175784e-35,2.9575408276632616e-36,3.76,0.0,0.8505847742944466,0.9999999999999905,1.4365837047692654e-35,1.6837824406076629e-44,2.7977617917287572e-11,4.5045985483712556e-15,1.7855715510901006e-21,5.049917817036825e-15,1.356114025893532e-38,8.68001653710613e-38,3.719592963049641e-46
6.902169758055578e-15,0.6958323628431324,2.21985928557463e-19,1.6848997761182535e-21,1.5438807341717143e-27,8.517442724491655e-24,0.0,0.0,1.910888625323924e-14,3.082936543431986e-25,3.095188466995067e-38,1.8608487146582074e-47,1.0843614725259698e-30,5.329309083371935e-60,1.3672322041784663e-43,1.3390238896811505e-39,3.9063781063593886e-39,7.995507056921951e-34,6.7585169855495e-58,1.6636220596060494e-50,1.1586320677394626e-31,8.503806481321634e-24,6.809715537515102e-45,7.4206656153334985e-59,1.02553146490657e-49,3.490657919729181e-42,4.8179908893738015e-26,5.5955425569989754e-11,1.040488557162732e-33,7.132702220754947e-25,9.454108905528905e-49,3.361487392733051e-46,3.975812022223385e-34,2.3660469258499042e-35,3.76,0.0,0.8505847742664592,0.9999999999999809,1.1571279044473916e-34,1.3673931920131438e-43,5.595542556999902e-11,9.009225859709557e-15,7.142321384261109e-21,1.0099868096125963e-14,1.0848974989687814e-37,6.944053371759654e-37,5.951385732086041e-45
1.3804362920357719e-14,0.6958323628500721,4.580516446572198e-19,3.3698067945826876e-21,6.265273884554964e-27,3.4071346822251666e-23,0.0,0.0,3.82178375050771e-14,1.2331777589782458e-24,4.952316807599762e-37,2.977516442240223e-46,8.674916645072158e-30,8.771912989050726e-59,1.1262318865746103e-42,1.071268200688406e-38,3.129230634917552e-38,6.396424925787241e-33,2.1627324779057444e-56,2.66180340996947e-49,9.26908337048746e-31,3.401530980261837e-23,5.617638491855954e-44,2.374968310986885e-57,1.6410995534635842e-48,5.585070111856953e-41,1.9272011870923986e-25,1.1191104087170255e-10,8.323934127735765e-33,2.8530885017939827e-24,1.512662137214413e-47,5.3783892151308003e-45,3.180658869874728e-33,1.8928434742187433e-34,3.76,0.0,0.8505847742104845,0.9999999999999618,9.382716966512636e-34,1.1264896668229848e-42,1.1191104087173961e-10,1.8018475124359985e-14,2.856934900985712e-20,2.019976329890881e-14,8.679203190913262e-37,5.555257477811238e-36,9.522244732497562e-44
