Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414),C2H2F3(66),C2H2F3(67),S(4446),CF2O(49),S(6032),S(2070),CFO2(332),C3H3(4381),S(4999),C3H3(8252),S(5941),S(7087),S(2403),S(5038),S(8410),S(2402),S(10418),CHO2(146),CFO(51),S(10885),S(4379),S(10215),S(4983),S(7380),S(7383),S(1043),S(5962),S(5940),S(1903),C3H7(348),CHFO2(336)
0.0,0.8510853923345888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6374683740573457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.805254036050501e-23,0.8510853923345888,1.7127211779811825e-25,7.481762417743231e-26,4.996539072589996e-37,2.4846059911406294e-36,0.0,0.0,5.973444460451728e-21,8.229297662067561e-39,3.9657681620823033e-51,4.260804069433544e-36,5.826174255815489e-51,1.3684982856476761e-61,6.20029331165334e-41,1.5472957769076588e-35,3.6169645194516945e-20,6.628383501547616e-38,2.5694773033688226e-75,1.9999269171633782e-72,1.2453950873552132e-51,2.4839803435196693e-36,2.1028469121701188e-21,8.515644607541558e-55,1.6631960206449991e-38,1.1105524819566602e-54,1.951599662024366e-37,7.906017789884354e-18,1.3657209753578484e-37,1.1322480165029398e-21,1.0066370691800788e-54,1.8842552820197715e-58,4.77481267448428e-53,1.5749025317825055e-39,3.76,0.0,0.6374683740573457,0.9999999999999993,1.640604174186578e-51,4.299237074887648e-19,7.906017789884354e-18,2.4393681861684103e-21,3.7530975108806586e-34,3.5342475464002675e-21,7.438000936242476e-57,3.73332409124634e-55,2.6047551508376982e-59,1.6772133986806503e-62,1.2647529177149304e-70,3.616964519451695e-20,9.542394031348522e-38,1.6194761751312482e-40,2.3797344405644173e-56,4.3166129875140216e-55,1.1846524747922134e-38,8.457453724757626e-39,2.1028469121701346e-21,6.425617187444819e-40,5.656284881863242e-72,2.387163394393643e-72,7.64489689552132e-88,2.663620986282553e-91,6.724925126784382e-55,3.7457528049683916e-76,2.0967022748326687e-54,1.1603966650252064e-67,1.6502763350885783e-57,3.2880543901278677e-53,9.843850132093734e-55,4.755203462321513e-72,1.2476698208230802e-57,1.2410580605273944e-96,6.295306419035407e-92,4.4075338429852465e-39,1.1322480165029366e-21,5.612307806400009e-57,7.219691016872547e-38,5.384000533195382e-16,6.088415177356611e-74,1.0606015143257467e-38,5.266260890253414e-75,9.25197305879218e-87,4.299237074887647e-19,8.52713519555152e-55,6.749861091939251e-75,1.6788964754862262e-38,1.0781159076367168e-74,9.02243100940103e-76,2.0877419058514423e-88,1.2258779599481011e-86,3.5510659369077973e-57,1.0938172197278929e-40,1.2551208671944669e-39,1.1012781446853898e-34,2.0010082318427925e-72,8.933424333400212e-79,1.843860157460191e-90,3.0396333024150074e-71,1.9824313088538082e-87,4.526193453308919e-74,3.2041310138961717e-75,7.50966190804516e-92,1.6048632066088665e-74,2.137146167452232e-76,1.387219250369032e-38,3.638641785825016e-37,7.895193288121825e-57,7.527190214563385e-72,1.755439521068156e-73,1.954500731999302e-75,2.199983841370608e-88,1.3499470863406666e-85,5.6486111640280405e-59,6.486821897601345e-88,1.4096462190015526e-75,7.19752928931746e-76,3.683045224271944e-55,8.86583096715e-42
2.4654711300941402e-22,0.8510853923345888,4.795619314269416e-25,2.09489347696971e-25,3.01790959984487e-36,1.5007020186495827e-35,0.0,0.0,1.6725644489264832e-20,4.970495787888806e-38,4.708159964344818e-50,2.573525657937996e-35,6.916834305947968e-50,1.624681164720944e-60,3.744977160238607e-40,9.34566649252211e-35,1.0127500654464741e-19,4.0035436349348935e-37,5.747817948568978e-74,6.2755838747747285e-71,1.4785330477081061e-50,1.5003241274858778e-35,5.8879713540762816e-21,1.0109773278073209e-53,1.0045703964695654e-37,1.3184479065789597e-53,1.178766195862724e-36,2.2136849811676186e-17,8.248954691161363e-37,3.1702944462082117e-21,1.1950795285346792e-53,2.2369878708138172e-57,6.007481994101698e-52,9.512411291966332e-39,3.76,0.0,0.6374683740573457,0.9999999999999984,1.9477252756504473e-50,1.2037863809685413e-18,2.2136849811676186e-17,6.83023092127097e-21,2.2668708965717815e-33,9.895893129920161e-21,8.83927416087762e-56,5.548152618674387e-54,3.0923653150986616e-58,1.9911879699579335e-61,3.594709672599928e-69,1.0127500654464745e-19,5.763605994934504e-37,9.781636097793208e-40,2.8252207278382732e-55,5.124682938776291e-54,7.155300947807606e-38,5.10830204975303e-38,5.887971354076381e-21,3.8810727812158555e-39,1.312906986401698e-70,6.752891114710558e-71,3.987579117507566e-86,1.3829288508399241e-89,1.0162692907224325e-53,8.449136436984157e-75,2.5060008446129805e-53,2.612654608379561e-66,2.4938975975863584e-56,3.903578171958652e-52,1.2182369857343952e-53,1.3410434596300577e-70,1.8854786332278313e-56,6.443452837840424e-95,3.2836325666552604e-90,2.6621504411628975e-38,3.170294446208192e-21,8.481319557038756e-56,4.36069337419006e-37,1.5075201492943344e-15,1.9142951464038273e-72,6.406033146527449e-38,1.6557966840696247e-73,4.428659758261232e-85,1.2037863809685405e-18,1.288577783064671e-53,1.9035663064103507e-73,1.0140534711936808e-37,3.040459358081218e-73,2.5444699035493354e-74,8.740467012470418e-87,5.092625882166404e-85,4.215825480296944e-56,6.606656007156907e-40,7.580930037852538e-39,6.651719993899732e-34,6.291490042230814e-71,1.9983712896842555e-77,1.0622296949930639e-88,9.557093444121242e-70,1.201085315637182e-85,1.4231076408155573e-72,1.0074300568651579e-73,4.3251807643433915e-90,5.0459466996911756e-73,6.719529493855345e-75,8.378804272228378e-38,2.1977396386383067e-36,9.37317347165596e-56,2.3666690385021883e-70,5.519382724560762e-72,6.145263021522818e-74,1.3371713765353297e-86,8.210384697542405e-84,8.536181191080363e-58,3.7704578946070046e-86,4.4321532559352324e-74,2.263018369030034e-74,5.565817942919556e-54,5.354961914087309e-41
5.635362583072321e-22,0.8510853923345888,1.0961415650534307e-24,4.788327947366904e-25,1.4529935623099392e-35,7.225234222246586e-35,0.0,0.0,3.8230044546891e-20,2.393079760129244e-37,4.622499373018431e-49,1.2390418233914773e-34,6.7909890383887255e-49,1.5951216017509975e-59,1.8030452950287752e-39,4.499536119247254e-34,2.3148572924490824e-19,1.9275339222502446e-36,1.135671967631342e-72,1.399261522871495e-69,1.4516325138212282e-49,7.223414838955164e-35,1.3458220237888408e-20,9.92583535455003e-53,4.836574028035441e-37,1.2944599729687211e-52,5.675251817166963e-36,5.0598513855259857e-17,3.9715165963405606e-36,7.246387305618678e-21,1.1733361678420723e-52,2.1962879567220724e-56,6.046652282852816e-51,4.5798165624235236e-38,3.76,0.0,0.6374683740573457,0.9999999999999966,1.9122882255118887e-49,2.7515117279280944e-18,5.0598513855259857e-17,1.5611956391473765e-20,1.0914007561638907e-32,2.2619184296957585e-20,8.682342709390903e-55,5.9362119264731675e-53,3.036102603888656e-57,1.9549606041238537e-60,7.823906236282695e-68,2.3148572924490844e-19,2.7749281843161436e-36,4.7094367172823584e-39,2.7738184639224983e-54,5.03144409824525e-53,3.444969396789716e-37,2.4594275431586544e-37,1.3458220237888882e-20,1.868569478107732e-38,2.6399953966997384e-69,1.4677142661255677e-69,1.7423952348683208e-84,6.033992656931047e-88,1.0932556479102236e-52,1.675599452277634e-73,2.467766355127444e-52,5.1784535949700075e-65,2.6828212324287147e-55,3.832556197129419e-51,1.2177958106309013e-52,2.917062445228623e-69,2.028311874315638e-55,2.8114048656454923e-93,1.4348018104714187e-88,1.2817108415398231e-37,7.246387305618582e-21,9.123816554734865e-55,2.0994861477050984e-36,3.4457603412424356e-15,4.2706871663983354e-71,3.084229203659178e-37,3.6939913169095023e-72,2.3022380351482544e-83,2.7515117279280906e-18,1.3861784139547737e-52,4.140670580625868e-72,4.882230950713947e-37,6.613663223228463e-72,5.53477782198109e-73,3.4717695544059135e-85,2.0211809753050017e-83,4.1391224560597485e-55,3.180820474969364e-39,3.6498914817984426e-38,3.2025168447450804e-33,1.403596818983301e-69,3.948444914052248e-76,4.763630903661602e-87,2.132134973885875e-68,5.419642034527199e-84,3.1748748616174465e-71,2.247521038216032e-72,1.9395925938983995e-88,1.1257229509870047e-71,1.4990900659983784e-73,4.034033580072284e-37,1.0581170313179102e-35,9.202637296627752e-55,5.27990843461654e-69,1.2313439237671062e-70,1.3709743750570218e-72,6.035996987112336e-85,3.706453134954937e-82,9.182834197140978e-57,1.69277194956928e-84,9.887890101578003e-73,5.048669492839362e-73,5.987452960193723e-53,2.5781836601402818e-40
1.1975145489028681e-21,0.8510853923345888,2.329300857781778e-24,1.0175196888186978e-24,6.345604622197235e-35,3.1554496087585566e-34,0.0,0.0,8.123884466214318e-20,1.045120803082577e-36,4.0885483476986594e-48,5.411221168182697e-34,6.0065529388801e-48,1.4108669925714639e-58,7.874372505799572e-39,1.965065636672502e-33,4.919071746454295e-19,8.418047046967517e-36,2.020867587717012e-71,2.620092620876549e-68,1.283952519259715e-48,3.154655036269946e-34,2.859871800551185e-20,8.779288964590175e-52,2.1122589462189234e-36,1.1449351867981156e-51,2.478531570771057e-35,1.075218419424272e-16,1.7344656387044015e-35,1.5398573024439296e-20,1.037802552847637e-51,1.942591825550737e-55,5.407159748228401e-50,2.0001262153637786e-37,3.76,0.0,0.6374683740573456,0.9999999999999927,1.6913972795005593e-48,5.846962421847201e-18,1.075218419424272e-16,3.317540733187009e-20,4.7664338388163173e-32,4.8065766631022983e-20,7.680979057829913e-54,5.444716673403388e-52,2.685398370457208e-56,1.72914130532058e-59,1.4508657164440103e-66,4.919071746454304e-19,1.2118840419812555e-35,2.056734742417391e-38,2.453411018845581e-53,4.450255325605158e-52,1.504508643083203e-36,1.0740966230433266e-36,2.859871800551393e-20,8.160533828042293e-38,4.734988901739524e-68,2.720192733062084e-68,6.488546003741331e-83,2.2457030039704954e-86,1.0048901177999007e-51,2.9866998688117184e-72,2.1856343198824043e-51,9.22799956489221e-64,2.4659749220005226e-54,3.389852554038568e-50,1.0857539634326978e-51,5.407742153890684e-68,1.8643680598594535e-54,1.046335227302922e-91,5.3430917206316245e-87,5.597567980588299e-37,1.5398573024438872e-20,8.386359309007301e-54,9.169007591413275e-36,7.322240725132676e-15,7.998524416559648e-70,1.3469639231936014e-36,6.918436914626545e-71,9.182301858107135e-82,5.8469624218471846e-18,1.2741314286083581e-51,7.67610399907433e-71,2.132198523867508e-36,1.2260616999276127e-70,1.026054529255168e-71,1.2412947567867305e-83,7.224214413289921e-82,3.6610069383145036e-54,1.3891478690550976e-38,1.5940035013338033e-37,1.398623243750412e-32,2.6287815028862215e-68,7.026046759953055e-75,1.7922269622633603e-85,3.9932528381392214e-67,2.045821417880497e-82,5.946189245600875e-70,4.20935816660593e-71,7.297232100492514e-87,2.108354501025707e-70,2.8076297861007354e-72,1.7617684479677816e-36,4.621075067997724e-35,8.139628472307274e-54,9.888684159249966e-68,2.30617089374193e-69,2.567683275807956e-71,2.2789493985467877e-83,1.3994645375368493e-80,8.440606690192155e-56,6.372582830018213e-83,1.8518923846244197e-71,9.455599213010196e-72,5.503500817723584e-52,1.125960548217547e-39
2.46547113009414e-21,0.8510853923345888,4.79561954513995e-24,2.0948934769929865e-24,2.6491650162943624e-34,1.3173380965117229e-33,0.0,0.0,1.672564448926469e-19,4.36317362042819e-36,3.436671239918875e-47,2.2590783176155525e-33,5.048869682924499e-47,1.1859187183699488e-57,3.287395513838447e-38,8.203762209162388e-33,1.0127500654464705e-18,3.514368932522384e-35,3.408488563027253e-70,4.525118179414438e-67,1.0792394563806022e-47,1.317006378134098e-33,5.887971354075554e-20,7.379521366580217e-51,8.81826530145776e-36,9.623870120240694e-51,1.0347381408054202e-34,2.2136849811676186e-16,7.241052611346715e-35,3.170294446207927e-20,8.723355779633307e-51,1.6328654793131544e-54,4.568422062519454e-49,8.350133223510808e-37,3.76,0.0,0.6374683740573455,0.9999999999999849,1.4217213277564878e-47,1.2037863809685413e-17,2.2136849811676186e-16,6.830230921262561e-20,1.9898923002670187e-31,9.895893129911603e-20,6.456938383485795e-53,4.653611701631004e-51,2.25723913790323e-55,1.4534487833619393e-58,2.49421919623078e-65,1.012750065446474e-18,5.059377315420924e-35,8.586462680552205e-38,2.0622397904444154e-52,3.740707749167683e-51,6.28102742222215e-36,4.484141964858468e-36,5.88797135407642e-20,3.406862232771877e-37,8.016055872635464e-67,4.67512487929956e-67,2.235901599632604e-81,7.736425005480628e-85,8.597045859682395e-51,5.041624124670366e-71,1.838316238027958e-50,1.5574943984649854e-62,2.109693463469419e-53,2.849375325600632e-49,9.160622519107436e-51,9.294527078446378e-67,1.5950061269022675e-53,3.604614320175735e-90,1.8411871193098945e-85,2.3368744435481108e-36,3.170294446207752e-20,7.174706952120372e-53,3.8278801771324514e-35,1.5075201492889293e-14,1.3815461837066223e-68,5.623309228954238e-36,1.1949879276245856e-69,3.2627317791703648e-80,1.2037863809685349e-17,1.0900442205868043e-50,1.319326043083322e-69,8.901509113027978e-36,2.107286802061047e-69,1.7635255777390093e-70,4.197673763603085e-82,2.442628169280891e-80,3.077296923869381e-53,5.79941889900335e-38,6.654650837836541e-37,5.838976723121637e-32,4.540566314445187e-67,1.1850454809242454e-73,6.205969531597271e-84,6.89735122603838e-66,7.096903252338699e-81,1.0270563208941683e-68,7.270619439363029e-70,2.526799795760981e-85,3.641658089785514e-69,4.849482247263278e-71,7.355036465448611e-36,1.9292078748443822e-34,6.841848180366908e-53,1.7080242743030027e-66,3.98333671473537e-68,4.435034321222943e-70,7.906492877434701e-82,4.855351872461234e-79,7.221116728774787e-55,2.2073693854434048e-81,3.198683561322864e-70,1.633219619901858e-70,4.708360818163803e-51,4.700663717288405e-39
5.001384292476684e-21,0.851085392334589,9.728257327462201e-24,4.249641053382659e-24,1.0822703492853346e-33,5.3817559611261203e-33,0.0,0.0,3.392916453536518e-19,1.7824987907944551e-35,2.8175907174792353e-46,9.229072046571813e-33,4.1393684122191265e-46,9.722878155109375e-57,1.3430083324772293e-37,3.351504544611358e-32,2.054435847048546e-18,1.4357343799707751e-34,5.598452700237429e-69,7.518203860915922e-66,8.848257112423033e-47,5.380400783277085e-33,1.1944170461123003e-19,6.050177468222656e-50,3.602549108556177e-35,7.890230174316401e-50,4.227242931932119e-34,4.490618104654311e-16,2.958206261463608e-34,6.431168733735421e-20,7.151934111099424e-50,1.3387217735172842e-53,3.7547716591967e-48,3.411301879942148e-36,3.76,0.0,0.6374683740573452,0.9999999999999694,1.1656130412827408e-46,2.4419666585361842e-17,4.490618104654311e-16,1.3855611297398816e-19,8.129359332451796e-31,2.0074526063515108e-19,5.294032005246957e-52,3.8459531354817045e-50,1.850621022133605e-54,1.1916273030046264e-57,4.134536227719208e-64,2.0544358470485597e-18,2.0669207167661617e-34,3.5078501743866325e-37,1.6907487754885491e-51,3.0668582168068625e-50,2.566004647238773e-35,1.831918306590605e-35,1.1944170461126544e-19,1.3918143852596742e-36,1.3190213191977767e-65,7.748722438935616e-66,7.421149134470412e-80,2.567448748794652e-83,7.108203507810233e-50,8.284213297970845e-70,1.5076238903323162e-49,2.559034194653166e-61,1.7443353530753605e-52,2.3360900439211906e-48,7.524043840298187e-50,1.5404997004160184e-65,1.3187819101169414e-52,1.1962453014355928e-88,6.1110579280844635e-84,9.546894605237175e-36,6.431168733734706e-20,5.93218645334281e-52,1.5638139530073393e-34,3.058112302830711e-14,2.2954596470007575e-67,2.297305304089401e-35,1.9854903142980486e-68,1.098852790214249e-78,2.4419666585361577e-17,9.012688427173172e-50,2.1866860760995188e-68,3.636556921762188e-35,3.492673333326402e-68,2.9229143143042645e-69,1.3806846315122487e-80,8.033596918194749e-79,2.52295394063723e-52,2.3692518506245377e-37,2.7186420031537548e-36,2.3854125125140884e-31,7.544218841363207e-66,1.9464407608861884e-72,2.0647748623293267e-82,1.1460052220676875e-64,2.3633935411356063e-79,1.7064694380918046e-67,1.2080242939807946e-68,8.406822078347253e-84,6.050669381778996e-68,8.057487283942267e-70,3.004772385062569e-35,7.881443653768075e-34,5.609360505297101e-52,2.8379078774186556e-65,6.61837352735333e-67,7.368875856258163e-69,2.633150915909515e-80,1.6170279176320966e-77,5.970558954070265e-54,7.345337639970727e-80,5.314660577482112e-69,2.7136188253322133e-69,3.892963775226202e-50,1.9203745680765272e-38
1.0073210617241772e-20,0.851085392334589,1.9593534522530328e-23,8.55913620632639e-24,4.374709791977804e-33,2.1753918063936062e-32,0.0,0.0,6.833620462756514e-19,7.205145109427706e-35,2.281758014011491e-45,3.7305384813975476e-32,3.35216786310126e-45,7.8738388126502535e-56,5.428654408430385e-37,1.3547317228785432e-31,4.137807410252672e-18,5.803467918025805e-34,9.075333082133994e-68,1.2256293174292132e-64,7.165548016197192e-46,2.1748440218077472e-32,2.405656867521277e-19,4.899590575208133e-49,1.4562079494822756e-34,6.389712963195077e-49,1.708719180886818e-33,9.044484351627694e-16,1.1957542685321976e-33,1.2952917308788404e-19,5.7918216695789486e-49,1.0841316008991928e-52,3.044422640204285e-47,1.3789027618970852e-35,3.76,0.0,0.6374683740573448,0.9999999999999384,9.43943661393182e-46,4.91832721367147e-17,9.044484351627694e-16,2.790637204961194e-19,3.2860170194432585e-30,4.0431791930661693e-19,4.2873416330329293e-51,3.126775756560321e-49,1.4986808846962036e-53,9.650142104440482e-57,6.732510968974595e-63,4.137807410252726e-18,8.354824009358702e-34,1.4179291261882051e-36,1.369212194016178e-50,2.483621297633069e-49,1.0372201056079579e-34,7.404906693748196e-35,2.405656867522707e-19,5.6259362771537816e-36,2.140094301111605e-64,1.2616911873982847e-64,2.4182540671832304e-78,8.365740311720566e-82,5.780272939831176e-49,1.3431747259008813e-68,1.2210968825892474e-48,4.1489801532160807e-60,1.4184645399444946e-51,1.891826284771937e-47,6.098595821304286e-49,2.5083044136428047e-64,1.0724115475312423e-51,3.897829430013528e-87,1.991348027317167e-82,3.859007441139469e-35,1.2952917308785506e-19,4.8239555047632855e-51,6.321186030347598e-34,6.159296609876106e-14,3.742178568716406e-66,9.286075346642709e-35,3.236850324165839e-67,3.606346943855636e-77,4.918327213671363e-17,7.328965392489103e-49,3.560451345813658e-67,1.4699544513190162e-34,5.6869131068901474e-67,4.759208244917058e-68,4.4791493191196386e-79,2.6061212116618222e-77,2.0431535131263038e-51,9.5768947910254e-37,1.0989185650105174e-35,9.64221877022796e-31,1.229898077394039e-64,3.155264351220743e-71,6.736354911039047e-81,1.8682777487541986e-63,7.714227492537444e-78,2.781975874736095e-66,1.9693844887760852e-67,2.742730144802892e-82,9.864118202390012e-67,1.3135737877523043e-68,1.2145770402165382e-34,3.1858055382952415e-33,4.542605569643432e-51,4.626506091159102e-64,1.0789619240752373e-65,1.2013127453928793e-67,8.594975065021782e-79,5.2782369519185854e-76,4.855159384938161e-53,2.396631508436356e-78,8.66423809231712e-68,4.423883567318878e-68,3.165693489303746e-49,7.762461536249863e-38
2.0216863266771948e-20,0.8510853923345891,3.9324095434361115e-23,1.7178126512871383e-23,1.7590515667019736e-32,8.747154776556446e-32,0.0,0.0,1.3715028481196102e-18,2.8971571591213524e-34,1.836557358145688e-44,1.5000331158710208e-31,2.698116329240275e-44,6.3375504849215966e-55,2.182838061539933e-36,5.447316674423102e-31,8.304550536660824e-18,2.333548925264221e-33,1.4615544156177312e-66,1.979372547595415e-63,5.767456432023372e-45,8.74495215857301e-32,4.828136510337171e-19,3.943616749670345e-48,5.855348118510092e-34,5.14299688524689e-48,6.870684674149006e-33,1.8152216845574443e-15,4.808075322582947e-33,2.5996414458886347e-19,4.661761956769141e-48,8.72603429719793e-52,2.4518986239755315e-46,5.544507359241385e-35,3.76,0.0,0.6374683740573438,0.9999999999998763,7.597679799367415e-45,9.871048323942042e-17,1.8152216845574447e-15,5.600789355380064e-19,1.3212929910848076e-29,8.114632366471319e-19,3.450864385929603e-50,2.52158365749001e-48,1.2062687589091672e-52,7.767330660416347e-56,1.0866713423038926e-61,8.304550536661043e-18,3.359437988312023e-33,5.701430653632163e-36,1.1020610925183251e-49,1.9990344904951287e-48,4.170616428541281e-34,2.9774804135704856e-34,4.828136510342923e-19,2.2621642332444958e-35,3.4480783483073294e-63,2.036388525486166e-63,7.808701729774805e-77,2.7012655196424443e-80,4.661999489902086e-48,2.1633566078455878e-67,9.829184895629872e-48,6.682344750727572e-59,1.1440430388915602e-50,1.5227063791194502e-46,4.9108494923702514e-48,4.0484134363403233e-63,8.649387638600201e-51,1.258594186020392e-85,6.430193996757245e-81,1.5516899195432585e-34,2.5996414458874685e-19,3.890694874646173e-50,2.5417211011785114e-33,1.236166522381422e-13,6.0436283843569285e-65,3.7338900552394326e-34,5.227521919526652e-66,1.1686266738324538e-75,9.871048323941614e-17,5.91107484298573e-48,5.74658277287032e-66,5.910622197808294e-34,9.178700682553401e-66,7.681381295486226e-67,1.4431668352953709e-77,8.39667598109106e-76,1.6445076977026144e-50,3.8508272747750874e-36,4.4187032176316936e-35,3.877093759489018e-30,1.9862886802150687e-63,5.081455966253532e-70,2.1765198851915186e-79,3.017273554662224e-62,2.4930591914655246e-76,4.492898468729111e-65,3.1805612098608875e-66,8.861765232223432e-81,1.5930577245222529e-65,2.121425175924639e-67,4.8837608596490375e-34,1.2809983952666135e-32,3.656284160140295e-50,7.471819695251667e-63,1.74252638941487e-64,1.9401232926759752e-66,2.7777363817689965e-77,1.705833112680833e-74,3.915861934215802e-52,7.743862699068634e-77,1.3992767662288722e-66,7.144583778010094e-67,2.5532464842395224e-48,3.121252037725958e-37
4.0504168565832304e-20,0.8510853923345895,7.87852433448008e-23,3.4416107128591516e-23,7.054583537680609e-32,3.5080002916632686e-31,0.0,0.0,2.7477844518073652e-18,1.1618895993285756e-33,1.4737216175707948e-43,6.015803700894707e-31,2.1650684331845786e-43,5.0854851391701296e-54,8.754156924956451e-36,2.1846176236320903e-30,1.6638036789476723e-17,9.358574895617655e-33,2.346118523933805e-65,3.1817659224335474e-62,4.628020564978806e-44,3.5071169431319677e-31,9.673095795960733e-19,3.16450408129684e-47,2.3482564823633257e-33,4.12693110578533e-47,2.755451853218859e-32,3.636768183346789e-15,1.9282532507791775e-32,5.208340875905014e-19,3.740770382785234e-47,7.002092977032046e-51,1.968086785712773e-45,2.22359543520837e-34,3.76,0.0,0.6374683740573419,0.9999999999997523,6.096659553908326e-44,1.9776490544483195e-16,3.63676818334679e-15,1.1221093656122793e-18,5.298975856940568e-29,1.6257538713184954e-18,2.769116870754515e-49,2.0253637180114088e-47,9.679547118593409e-52,6.232884764257308e-55,1.7462856306303744e-60,1.66380367894776e-17,1.3472848878493973e-32,2.2865286948394258e-35,8.843346213712656e-49,1.604099283812227e-47,1.6726037252205278e-33,1.1941028168897767e-33,9.673095795983798e-19,9.072290352733061e-35,5.536147064448551e-62,3.272434330266027e-62,2.5100877294133074e-75,8.683011037491363e-79,3.7447715044062357e-47,3.4728388410820933e-66,7.887595594415164e-47,1.0727075236465506e-57,9.189575845983036e-50,1.2218759724937566e-45,3.941514440338843e-47,6.505691709604861e-62,6.947658525197704e-50,4.045654557979059e-84,2.0669698507422415e-79,6.222970587586428e-34,5.208340875900338e-19,3.1252177088055885e-49,1.0193438427967797e-32,2.4766402451079727e-13,9.714956116948495e-64,1.4974569144634637e-33,8.40308880977899e-65,3.763113828112517e-74,1.9776490544481476e-16,4.748096270879563e-47,9.234604201787198e-65,2.3704238603601604e-33,1.474992558839963e-64,1.2343773531232966e-65,4.633944895706026e-76,2.6961100616516365e-74,1.3196138599293838e-49,1.544353969658084e-35,1.7720976215368855e-34,1.5548880048110782e-29,3.1929010416532007e-62,8.156862198554011e-69,6.99847033420719e-78,4.850179116262716e-61,8.017230938137421e-75,7.222203068326187e-64,5.112659252974489e-65,2.849446238772068e-79,2.560793765119898e-64,3.4101290116026786e-66,1.958606536244163e-33,5.137376505553803e-32,2.9339377736803125e-49,1.201073193725316e-61,2.8010602784807467e-63,3.118691529489874e-65,8.932766144169068e-76,5.485700646700482e-73,3.145433259326471e-51,2.4900467308586145e-75,2.2492965342138906e-65,1.148470975755578e-65,2.0509064276311916e-47,1.2517619849994084e-36
