Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293),S(2934)
0.0,0.306897617581623,3.76,0.0,0.8717778210413625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3353574534079637e-19,0.306897617581623,3.76,0.0,0.8717778210413621,1.0,2.390684641947786e-44,1.4597743044523601e-19,4.72456076177311e-33,3.354101140309232e-16,3.354101140309232e-16,6.317404114702691e-36,9.115883963828144e-24,3.860502917235613e-34,3.781007940889443e-45,1.1265254488767023e-44,1.8512824899901624e-19,9.38910921558788e-35,9.218878536578671e-20,6.705761197963359e-25,8.801365699972813e-31,9.29401342075973e-20,3.60712880730849e-36,1.0288175471852382e-34,3.4734923685482954e-46,2.229263662935434e-27,1.3306873355330282e-41,7.891962426696582e-53,1.2186754876317421e-32,9.942721048970942e-49,1.2988770761867997e-67,3.3885068134972204e-34,6.619349484056794e-42,1.216159138337504e-53,2.2390736996841777e-57,8.32874401340202e-67,9.16057738157112e-20,4.2826705204758384e-33,9.160577381570585e-20,1.430551935103815e-38,2.649354392634967e-65,2.12958604840807e-38,3.917273040009685e-22,4.789507703802107e-52,1.9657841874618444e-70,9.890861230346958e-36,7.31282300080251e-50,4.886583177005516e-52,6.410323867085737e-54,6.443548588521171e-67,1.528183626279604e-60,1.3090310339455925e-44,3.423806384227468e-52,9.347231087433925e-53,8.16615820206199e-56,2.1786169350225923e-74,5.995344410348348e-71,1.603343109664556e-79,1.6385113487749342e-22,1.4884093292058502e-50,3.7783745803055846e-69,4.81913958446903e-56,1.642488561577207e-59,9.562929351487906e-36,3.91727303988153e-22,4.298930075206543e-52,1.4597743044522614e-19,4.782334215823997e-37,1.180375057992478e-32,1.2117906201630639e-49,4.1331514621097235e-48,3.123914926329132e-43,1.6385113487004746e-22,1.4741861694189459e-69,1.4864161034662853e-40,8.872824552136805e-70,5.1149751750904474e-71,1.4883046762655765e-52,1.0672956153554051e-73,3.700596461752601e-68,6.39606140622573e-34,1.2616492590215698e-58,1.0598616409572036e-52,7.44638717519059e-77,2.575703347228035e-78,2.7501154000725593e-67,4.886083503088973e-84,9.152808227415308e-60,9.115883962242903e-24,2.803319596571041e-75,3.7231894138721705e-71,2.308570585892011e-65
3.7390008695422984e-19,0.30689761758162304,3.76,0.0,0.8717778210413616,1.0,2.838220806965071e-43,4.0873680524669253e-19,2.8536347001745246e-32,9.391483192865846e-16,9.391483192865846e-16,3.8157120820339565e-35,2.552447509997554e-23,2.3317437619972807e-33,4.488812628042319e-44,1.3374110128366852e-43,5.183590971975088e-19,5.671021966217446e-34,2.5812859902277017e-19,1.877615719593184e-24,5.316024882758497e-30,2.602323757798766e-19,2.178705799624885e-35,6.214057985336162e-34,4.12373013991957e-45,6.241938288670578e-27,8.037351506066871e-41,9.369337792516e-52,7.36079994512768e-32,1.1803998429290191e-47,2.905536064041973e-66,2.046658115343207e-33,3.99808709157302e-41,1.443824130093284e-52,2.6582282962543334e-56,1.8631067220933402e-65,2.564961666839741e-19,2.5867329943672525e-32,2.5649616668394204e-19,8.640533689594796e-38,5.9264997993225086e-64,1.286269973059562e-37,1.0968364512059894e-21,7.237888606564297e-51,4.397380608065142e-69,5.974080183072353e-35,8.699813481000673e-49,7.384604470385054e-51,9.687281429201344e-53,7.65829303513313e-66,1.8142596009831548e-59,1.5540816602975382e-43,5.1740562078448277e-51,1.412553561931816e-51,9.69486302278352e-55,4.8734789415082403e-73,1.3411345638014404e-69,3.586614405983774e-78,4.587831776565624e-22,1.806475303195215e-49,8.452072851253206e-68,7.282683823590781e-55,1.9499624428697128e-58,5.776009328294309e-35,1.0968364511285836e-21,6.496543127058483e-51,4.087368052466331e-19,2.8885298663578406e-36,7.129465349862874e-32,1.438637828171202e-48,4.906877414912728e-47,3.708711798653875e-42,4.587831776115889e-22,4.635077189587804e-68,8.977953264632353e-40,2.789758003185023e-68,1.608230044071771e-69,2.2491260265879234e-51,3.3557543855358564e-72,1.1635267371135439e-66,3.863221089343792e-33,1.4978300021263117e-57,1.601662910427763e-51,4.530000702294997e-75,1.5669260404579976e-76,8.646802836117645e-66,2.815063082181751e-82,2.047446588121663e-58,2.552447509040067e-23,8.814087905016724e-74,1.1706303237092416e-69,6.510525031559527e-64
8.546287701810968e-19,0.30689761758162304,3.76,0.0,0.8717778210413604,1.0,2.786582018787988e-42,9.342555548497322e-19,1.3739022696189698e-31,2.1466247297979054e-15,2.1466247297979058e-15,1.8371011116858381e-34,5.834165737729725e-23,1.1226342483125728e-32,4.407142856726293e-43,1.3130780629943902e-42,1.1848207935955481e-18,2.7303529598965052e-33,5.900082263310066e-19,4.291705255840651e-24,2.5594371455144704e-29,5.948168589188519e-19,1.0489530571810988e-34,2.9918014277206613e-33,4.0487027047148985e-44,1.4267287669946326e-26,3.869638770889598e-40,9.198871403118323e-51,3.543908317781045e-31,1.1589235654531386e-46,5.74084963651496e-65,9.853777813513211e-33,1.9249068346830602e-40,1.417555094873051e-51,2.6098643043186353e-55,3.6811849278813146e-64,5.862769524204308e-19,1.2454005873541436e-31,5.862769524202767e-19,4.160045029588719e-37,1.1709764890608914e-62,6.192836226086986e-37,2.5070547456291416e-21,7.7861849655598935e-50,8.688483108016632e-68,2.8762624456990777e-34,8.549429110142942e-48,7.944020508401125e-50,1.0421135309077021e-51,7.536987380046451e-65,1.7812508343680318e-58,1.5258066252387107e-42,5.566013562711863e-50,1.5195606634178303e-50,9.518474016445639e-54,9.629173147681544e-72,2.6498558999951904e-68,7.086545683979902e-77,1.0486472632130228e-21,1.7908886756496662e-48,1.6699871858968995e-66,7.834379115349115e-54,1.9144847373084522e-57,2.7808998554061025e-34,2.5070547452564667e-21,6.988684641493685e-50,9.342555548494462e-19,1.3907027899618344e-35,3.4325306680245934e-31,1.4124631589942687e-47,4.817601341432902e-46,3.641235232288624e-41,1.0486472629964953e-21,1.0340602249899187e-66,4.322498028423914e-39,6.223796634618576e-67,3.5878728379983114e-68,2.41950714547551e-50,7.486532753440957e-71,2.5957641449605852e-65,1.8599746569056183e-32,1.470578381886707e-56,1.7229958676945237e-50,2.0450588555046848e-73,7.073853153080614e-75,1.9290541466055517e-64,1.2624448808544907e-80,4.0454094290342374e-57,5.834165733119837e-23,1.9663757391423555e-72,2.6116118604353673e-68,1.4161803778113385e-62
1.816086136634831e-18,0.3068976175816232,3.76,0.0,0.8717778210413579,1.0,2.4647002387387177e-41,1.9852930540563192e-18,6.000192168437126e-31,4.56157755082054e-15,4.5615775508205415e-15,8.023103175352139e-34,1.2397602195204838e-22,4.902838704687282e-32,3.898067947464802e-42,1.1614026763196017e-41,2.517744186395844e-18,1.1924168703833287e-32,1.253767480924557e-18,9.119925674950672e-24,1.1177734438576699e-28,1.2639858251744703e-18,4.581053585444736e-34,1.3065982854481067e-32,3.5810316921420637e-43,3.0317986951719686e-26,1.6899729152531062e-39,8.136297580385929e-50,1.547717869031849e-30,1.0250547692333875e-45,1.0215535190995886e-63,4.3034036530002053e-32,8.406573893123289e-40,1.2538114319807895e-50,2.3083954213565887e-54,6.550471913238769e-63,1.2458385238930679e-18,5.438991561001936e-31,1.245838523892395e-18,1.8168009599446525e-36,2.0836900928809273e-61,2.7045742787051103e-36,5.327491334527888e-21,7.15684349880689e-49,1.5460691638982772e-66,1.2561393761653834e-33,7.565010921239731e-47,7.301923493095476e-49,9.578818759110532e-51,6.698453434882696e-64,1.5754961904583836e-57,1.3495587441071775e-41,5.116125403825501e-49,1.3967380469240311e-49,8.418982493560486e-53,1.7134599169544514e-70,4.715277001365091e-67,1.261012946157324e-75,2.228375434319235e-21,1.5908836010192457e-47,2.971653041570671e-65,7.201144493881758e-53,1.6933401542904101e-56,1.2144920276321637e-33,5.327491332900319e-21,6.4238052306264716e-49,1.9852930540550697e-18,6.073564454098688e-35,1.4990763230123314e-30,1.2493076832409365e-46,4.261113825492041e-45,3.220631320183e-40,2.228375433373602e-21,1.9366803654475183e-65,1.887748450930923e-38,1.1656482272756035e-65,6.719689038322264e-67,2.2239439102569503e-49,1.402155759555708e-69,4.861578964639879e-64,8.122997985650155e-32,1.3007099317221875e-55,1.5837300423844047e-49,7.72175311851314e-72,2.6709523544419805e-73,3.612904923527426e-63,4.749739958479716e-79,7.198589916282688e-56,1.2397602175072243e-22,3.6828087022740546e-71,4.891259998931275e-67,2.6253589931466267e-61
3.739000869542298e-18,0.30689761758162354,3.76,0.0,0.871777821041353,1.0,2.071729060255056e-40,4.087368052471521e-18,2.50496211677885e-30,9.391483192865784e-15,9.391483192865788e-15,3.349487616327118e-33,2.5524475118198146e-22,2.04683864653657e-31,3.276560985904102e-41,9.76228928765004e-41,5.1835909720133025e-18,4.978105706137708e-32,2.5812859900199687e-18,1.877653189963104e-23,4.666484093775689e-28,2.6023237575963753e-18,1.9124996937815276e-33,5.454790639881822e-32,3.0100729104584294e-42,6.241938759215431e-26,7.05530424510852e-39,6.839048362042193e-49,6.461417433079326e-30,8.616202976933184e-45,1.722999321754399e-62,1.7965863123890873e-31,3.5095791398114976e-39,1.0539040628800764e-49,1.9403454428404536e-53,1.1048328382892838e-61,2.5649616668372365e-18,2.2706719099541474e-30,2.564961666834429e-18,7.584786381096083e-36,3.5144478854453675e-60,1.1291065203701334e-35,1.096836451253515e-20,6.122829555658016e-48,2.6076716811776798e-65,5.244134623531827e-33,6.36009155500988e-46,6.246949305244602e-48,8.194881128482697e-50,5.684410030684835e-63,1.324299477978432e-56,1.1343855479139902e-40,4.376952995923625e-48,1.1949388055235188e-48,7.076662100007608e-52,2.8900006073094863e-69,7.953003891058561e-66,2.1268826639423826e-74,4.5878317765048215e-21,1.3399545452243905e-46,5.012127441093033e-64,6.16073131049007e-52,1.4233545740561468e-55,5.0702651420976804e-33,1.0968364505740364e-20,5.495700620913285e-48,4.087368052466305e-18,2.5355936012318633e-34,6.258348551733072e-30,1.0501184090070773e-45,3.5817229159645444e-44,2.7071346702652768e-39,4.5878317725569924e-21,3.3451337326309395e-64,7.880978176336846e-38,2.013367428441984e-64,1.1606592744759474e-65,1.9026308359053596e-48,2.4219135127298824e-68,8.397168671807377e-63,3.39119175735001e-31,1.0933250825491173e-54,1.3549143841065509e-48,2.679034868011757e-70,9.266774500724277e-72,6.240394787648763e-62,1.6447043145742353e-77,1.2141474003491827e-54,2.5524475034148522e-22,6.36115196694925e-70,8.448435336534198e-66,4.5123207471443946e-60
7.584830335357233e-18,0.306897617581624,3.76,0.0,0.8717778210413434,1.0,1.698528652629432e-39,8.291518049310039e-18,1.023358759993883e-29,1.9051294476956163e-14,1.9051294476956182e-14,1.3683749625170118e-32,5.177822099635706e-22,8.362003737310199e-31,2.6863226574135438e-40,8.003714563434924e-40,1.0515284543315693e-17,2.033718612561151e-31,5.2363230078440345e-18,3.809040589483294e-23,1.9064110157806653e-27,5.278999622082862e-18,7.813185283023037e-33,2.228459963889265e-31,2.467839632721102e-41,1.2662219718057817e-25,2.882321989570274e-38,5.607065040215344e-48,2.6396998512451285e-29,7.064083769047066e-44,2.8300315545400373e-61,7.339641297231078e-31,1.4337776122899442e-38,8.640542355964427e-49,1.5908124246629961e-52,1.814691275549141e-60,5.203207952721154e-18,9.27643565415336e-30,5.2032079527096824e-18,3.098632731403951e-35,5.772491156629844e-59,4.612768543162496e-35,2.2250110869388747e-20,5.062473592877336e-47,4.2831087573421806e-64,2.1424001052623204e-32,5.2148823741623956e-45,5.165098532887829e-47,6.7756862091546345e-49,4.748906396159567e-62,1.0857407214265558e-55,9.300379834816929e-40,3.6189493790049713e-47,9.879985122427815e-48,5.80187519664753e-51,4.7468347176649015e-68,1.306283286725605e-64,3.4934112170700716e-73,9.306744460768651e-21,1.0996584962186729e-45,8.23243516259917e-63,5.093812753263228e-51,1.1669523097414664e-54,2.0713687491978644e-32,2.2250110841629834e-20,4.543951552903013e-47,8.291518049288729e-18,1.035872720486014e-33,2.556739585751583e-29,8.609505578692343e-45,2.936512835694886e-43,2.2194725412856407e-38,9.306744444640485e-21,5.55798979298734e-63,3.2196367331610383e-37,3.345240068445486e-63,1.928453075630654e-64,1.5731319661096188e-47,4.0241722468991504e-67,1.3952021337480271e-61,1.385412484638646e-30,8.963739770935208e-54,1.1202693970543963e-47,8.92230465028948e-69,3.086222812748847e-70,1.0368509266886151e-60,5.472069451716534e-76,1.9942407317637397e-53,5.177822065298694e-22,1.0569201588342609e-68,1.4037201864233117e-64,7.478840265007401e-59
1.5276489266987103e-17,0.30689761758162504,3.76,0.0,0.8717778210413241,1.0,1.3755125409323586e-38,1.669981804301953e-17,4.136579732024698e-29,3.83709170451365e-14,3.837091704513656e-14,5.531190222408986e-32,1.0428571288136428e-21,3.380055606913998e-30,2.175453735072281e-39,6.481615552029789e-39,2.1178671686190356e-17,8.220615795719483e-31,1.054639704202514e-17,7.672080006860029e-23,7.706018133442937e-27,1.0632351349626547e-17,3.1582144140016374e-32,9.007791490802266e-31,1.9985205172877846e-40,2.5502784958766893e-25,1.1650806297462397e-37,4.540746634632e-47,1.0670088842123957e-28,5.720678184103941e-43,4.5876030871139876e-60,2.9668003626584036e-30,5.79555850321947e-38,6.997335393462552e-48,1.2882811459088782e-51,2.941692826272472e-59,1.0479700524471307e-17,3.749683608846671e-29,1.0479700524424934e-17,1.252516900378573e-34,9.357456761377281e-58,1.864554788129375e-34,4.481360358645222e-20,4.1167193360645745e-46,6.943104485465091e-63,8.659923762949198e-32,4.2233444363031493e-44,4.2001724180423536e-46,5.509875527894202e-48,3.989103612030486e-61,8.792609836330282e-55,7.53169154706857e-39,2.9428695330220914e-46,8.034239818675965e-47,4.698509044089252e-50,7.694823768582913e-67,2.1175415300860796e-63,5.662970302211048e-72,1.8744569828866935e-20,8.909639072019644e-45,1.3345134719906596e-61,4.1422055108784666e-50,9.45028615477593e-54,8.37280366741026e-32,4.481360347424626e-20,3.6950659438937064e-46,1.6699818042933387e-17,4.1871631580100136e-33,1.0334750172754462e-28,6.972201493074576e-44,2.3780642133626025e-42,1.7973863759221968e-37,1.8744569763674303e-20,9.060926340376433e-62,1.3014286436037407e-36,5.453585520592405e-62,3.143866311878087e-63,1.2792447852017395e-46,6.560829602616637e-66,2.2745316085171677e-60,5.600058770490206e-30,7.259069166786145e-53,9.109844407471709e-47,2.9123888402095594e-67,1.0073945284999897e-68,1.6903286962765234e-59,1.7852712518295347e-74,3.232750101716795e-52,1.0428571149340728e-21,1.7230637155969258e-67,2.28841824831087e-63,1.2177352245869909e-57
3.065980713024684e-17,0.30689761758162715,3.76,0.0,0.8717778210412854,1.0,1.1071321609619698e-37,3.351641803056832e-17,1.66330051943451e-28,7.701016218149544e-14,7.70101621814957e-14,2.224067132364411e-31,2.0930069716613636e-21,1.359105492997756e-29,1.7509944253390312e-38,5.216968065162681e-38,4.250544597301922e-17,3.3054734559710876e-30,2.116654510451924e-17,1.5399217314958034e-22,3.0985559981616646e-26,2.1339054798996737e-17,1.2699041259557016e-31,3.621993354149946e-30,1.6085831791004617e-39,5.118392873230198e-25,4.684737947569915e-37,3.6547879148433214e-46,4.290395787984847e-28,4.6044994890168255e-42,7.388193288685618e-59,1.1929373770007437e-29,2.3303687074135004e-37,5.632064556622253e-47,1.0369207438634731e-50,4.7375058292039e-58,2.1032685667900878e-17,1.5077312874035077e-28,2.1032685667714418e-17,5.036315428801659e-34,1.5069895134028095e-56,7.497292725873476e-34,8.994058903400434e-20,3.3202832367804194e-45,1.1181657720799848e-61,3.4821172550799034e-31,3.3993939081624885e-43,3.387591331458207e-45,4.443914271168616e-47,3.4414853815823456e-60,7.077057298903064e-54,6.062165152229193e-38,2.373530891161556e-45,6.479905473697614e-46,3.7817689782847775e-49,1.2392276899957887e-65,3.4102354530293533e-62,9.12003966548381e-71,3.7620220563345974e-20,7.172978037228822e-44,2.1491936309615418e-60,3.3408413481699604e-49,7.606418567104546e-53,3.3666675295629653e-31,8.994058858282908e-20,2.980204554976229e-45,3.351641803022195e-17,1.683639890028843e-32,4.1555575742224085e-28,5.6118353902036544e-43,1.9140729413246114e-41,1.4466928733565988e-36,3.7620220301209274e-20,1.4633420932647766e-60,5.232987324937269e-36,8.807554905331084e-61,5.077355986662351e-62,1.0317572570829102e-45,1.0597091952328181e-64,3.673374622275846e-59,2.2517590010031896e-29,5.842730872515381e-52,7.347419090158522e-46,9.412337468130608e-66,3.255725043266203e-67,2.729885353486354e-58,5.768223325909875e-73,5.206244178534688e-51,2.093006915852218e-21,2.7828077489972573e-66,3.6958017896402532e-62,1.965429532457963e-56
6.142644285676633e-17,0.30689761758163137,3.76,0.0,0.871777821041208,1.0,8.88403836242372e-37,6.71496180061852e-17,6.670579032532899e-28,1.5428865245420645e-13,1.5428865245420754e-13,8.919502904358183e-31,4.1933066779471396e-21,5.450620897557186e-29,1.4050627511983859e-37,4.1862882887566215e-37,8.51589945509951e-17,1.325642696833561e-29,4.240684120603501e-17,3.0857725824525014e-22,1.2426595407675962e-25,4.275246167486843e-17,5.092883526931522e-31,1.4525813433780134e-29,1.290786695286049e-38,1.0254626944799757e-24,1.878789428928579e-36,2.932737110716103e-45,1.7206405982675774e-27,3.694820856594254e-41,1.1859686289157159e-57,4.784212433150602e-29,9.345821786666194e-37,4.519377557071725e-46,8.32063593496504e-50,7.604746760892095e-57,4.2138655954477095e-17,6.046676811739305e-28,4.213865595372932e-17,2.0197877898470693e-33,2.4190517544440158e-55,3.0067496506627035e-33,1.8019455998280917e-19,2.6670320409722523e-44,1.79490433973293e-60,1.3964847589641643e-30,2.7278310540448636e-42,2.7210977667788196e-44,3.569593691704767e-46,3.131832582069473e-59,5.678892725258648e-53,4.8645130595055395e-37,1.906549089942432e-44,5.20501246822396e-45,3.034631659941615e-48,1.9892350308686534e-64,5.474183473150238e-61,1.4639685288140393e-69,7.537152202543402e-20,5.756552808279181e-43,3.4499344011500527e-59,2.6835495372661382e-48,6.1036816758854014e-52,1.3501842571004547e-30,1.8019455817339464e-19,2.393862382327976e-44,6.714961800479606e-17,6.752148985406327e-32,1.666564435996473e-27,4.503146181972427e-42,1.5359229519895586e-40,1.1608798393788896e-35,7.537152097414855e-20,2.352279898198993e-59,2.098661958687407e-35,1.4157886383031425e-59,8.161712695706234e-61,8.28763528604965e-45,1.7038806542622554e-63,5.9048424168671076e-58,9.030560712576155e-29,4.6884243369513164e-51,5.90184585807651e-45,3.0268666663019192e-64,1.0469923838609845e-65,4.388210956761673e-57,1.8547382845581155e-71,8.357174273146587e-50,4.1933064541274676e-21,4.473459793670218e-65,5.9408940989045704e-61,3.15839246952443e-55
