Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414),C2H2F3(66),C2H2F3(67),S(4446),CF2O(49),S(6032),S(2070),CFO2(332),C3H3(4381),S(4999),C3H3(8252),S(5941),S(7087),S(2403),S(5038),S(8410),S(2402),S(10418),CHO2(146),CFO(51)
0.0,0.45895814230215837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7244713073525073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4446480559510148e-20,0.45895814230215837,1.0372003311848988e-30,2.686486297710866e-35,2.1217165990729377e-39,1.048632220594801e-43,0.0,0.0,1.2524463747780279e-23,1.7519420104291212e-41,3.0065324277203583e-54,1.496368714615004e-52,5.095618350926983e-56,9.807734103407851e-74,1.5752570148608177e-51,4.97516189228108e-41,2.3911265675572877e-25,2.2008828406701853e-42,3.3476888671162956e-83,4.075881153055664e-87,2.309161253344841e-57,7.144081416647606e-44,2.360738531101527e-29,1.272500021534886e-59,4.374323592132818e-44,1.1752668577834257e-58,3.311208509424714e-45,1.5879546853401567e-20,1.7761585781417038e-45,7.254403906816766e-30,1.671177537854557e-59,1.817296771064773e-67,1.0817180874717088e-58,2.1425624174750404e-46,3.76,0.0,0.7244713073525073,0.9999999999999994,2.5890260040698277e-52,6.913958198359098e-26,1.5879546853401567e-20,7.671559947268347e-24,1.109297583571361e-36,4.852904837709837e-24,5.080208045974234e-63,6.573170523757319e-62,2.1071299436157058e-63,2.646977308803392e-69,1.220333079114769e-74,2.3911265675572803e-25,1.1078803121519654e-39,4.6152840497923367e-48,1.8432119860984113e-59,7.874292336294402e-58,4.8342100488436796e-42,2.0769640911361824e-37,2.360738531107605e-29,1.4034669503326222e-48,1.6851789835841475e-79,1.9913993433535503e-77,5.828698018342188e-89,2.3398120075961263e-101,3.30646720993406e-66,2.5430368110668788e-85,2.2376671032305916e-60,1.9180717602962653e-73,1.154396644765022e-66,9.07186204718959e-59,1.5519793955640537e-61,7.06846515963958e-81,2.7980878558064167e-66,1.8085395798827282e-106,1.6674892108867232e-93,1.0186240968317971e-39,7.254403906802792e-30,1.2410541461432096e-66,6.425327228680247e-46,5.099019508443571e-16,7.521386162869304e-87,1.7721917418090162e-40,2.045502502864701e-88,1.264343259850844e-97,6.913958198359011e-26,2.062780451503878e-64,3.630342838997137e-88,1.4971006702171006e-46,5.562757273943028e-80,2.689243333178128e-88,2.983486157520027e-98,4.9759163662371445e-95,1.1527429749602485e-81,2.998234802508123e-45,3.2833952163195413e-44,7.38122581902142e-40,8.144878926929079e-85,1.6133535061227074e-109,1.2498502920155552e-105,4.305686418139839e-84,1.936935539406757e-97,6.737688359438245e-84,4.2708449928281284e-88,2.1777512765980474e-98,1.2255061489891198e-83,4.6420073862170246e-89,1.011848870099737e-61,8.020153331362022e-64
4.045014556662841e-20,0.45895814230215837,2.9041610453286876e-30,7.52216391316764e-35,1.2815168258398649e-38,6.3337386809437565e-43,0.0,0.0,3.5068498493788247e-23,1.0581729742992766e-40,3.5693552981771005e-53,1.7764889379772044e-51,6.049518106219295e-55,1.164374192752527e-72,9.514552369737112e-51,3.004997782926262e-40,6.695154389160396e-25,1.3293332357656776e-41,7.488646088186472e-82,1.1800552831261063e-85,2.7414362399700624e-56,4.315025175653546e-43,6.610067887068155e-29,1.5107120255661343e-58,2.642091449648065e-43,1.3952768135603438e-57,1.9999699396922302e-44,4.4462731189524386e-20,1.0727997811975888e-44,2.031233093908693e-29,1.9840219729401992e-58,2.1574947266372578e-66,1.3051040723422412e-57,1.2941077001549244e-45,3.76,0.0,0.7244713073525073,0.9999999999999986,3.073691672031266e-51,1.935908295540552e-25,4.4462731189524386e-20,2.1480367852348473e-23,6.700157404770332e-36,1.3588133545586154e-23,6.031225787739105e-62,7.804097754131008e-61,2.501584669062925e-62,3.1425355084161074e-68,2.7303036686268825e-73,6.695154389160347e-25,6.691597085397835e-39,2.787631566078449e-47,2.1882612712560718e-58,9.348359861475565e-57,2.9198628694757377e-41,1.2544863110460471e-36,6.610067887104867e-29,8.476940379455209e-48,3.791482192909829e-78,4.454914344445122e-76,2.4056303849704337e-87,9.65579395736338e-100,4.996715235743679e-65,5.688868489699898e-84,2.656570211608802e-59,4.2906686611018117e-72,1.7445242095959857e-65,1.0770114621763888e-57,1.8427190272597672e-60,1.9934202704608627e-79,4.228470367694546e-65,7.463371198366254e-105,6.882090476558323e-92,6.152489544863368e-39,2.0312330939002527e-29,1.8754810258751164e-65,3.880897645973143e-45,1.4277254622981219e-15,2.3648441518137775e-85,1.0704038120526304e-39,6.431387149324864e-87,6.04025046377926e-96,1.935908295540499e-25,3.117243085793454e-63,1.0238112063671638e-86,9.042488048111185e-46,1.568786555391753e-78,7.584096479367531e-87,1.231238664504e-96,2.05333525756032e-93,3.251341489555928e-80,1.810933821221896e-44,1.9831707105092006e-43,4.4582603946887924e-39,2.5608802526878773e-83,8.352245165334887e-108,7.198497758648512e-104,1.3537767008468527e-82,1.1783324110225335e-95,2.1184370232209035e-82,1.342821999275669e-86,1.254273234453648e-96,3.853187413405229e-82,1.4595213942651908e-87,1.2012669785711523e-60,9.521526034992948e-63
9.245747558086495e-20,0.45895814230215837,6.638082945660144e-30,1.7193528262390037e-34,6.169951870101261e-38,3.049422600316418e-42,0.0,0.0,8.015656798581799e-23,5.09464736632919e-40,3.504414197712072e-52,1.7441673737126924e-50,5.939452749834247e-54,1.1431894870806564e-71,4.580847399181925e-50,1.4467770782580715e-39,1.5303210032366571e-24,6.400167300682181e-41,1.479630272546887e-80,2.568810118908303e-84,2.691558356895852e-55,2.0774988759587117e-42,1.5108726598936937e-28,1.4832260251008073e-57,1.2720533005919864e-42,1.3698910494319284e-56,9.628994345402614e-44,1.0162909986177002e-19,5.165069145236068e-44,4.64281850036272e-29,1.9479245381210035e-57,2.118241116443332e-65,1.2905120723808987e-56,6.230571510017422e-45,3.76,0.0,0.7244713073525073,0.9999999999999967,3.017768710342444e-50,4.424933246949853e-25,1.0162909986177002e-19,4.909798366249711e-23,3.2258373730244837e-35,3.105859096133323e-23,5.921494468076793e-61,7.662297748311492e-60,2.4560706622856805e-61,3.0854483974574115e-67,5.395044684392375e-72,1.530321003236634e-24,3.2217159477378624e-38,1.3421246016853167e-46,2.1484478952124245e-57,9.178275146647988e-56,1.4057882821649756e-40,6.03981157702091e-36,1.5108726599113689e-28,4.0812818907365194e-47,7.512352837510708e-77,8.802385323712131e-75,9.517203365327241e-86,3.81983609574758e-98,5.375232036934683e-64,1.1240419540660205e-82,2.608241569372707e-58,8.477656415370716e-71,1.87667953756598e-64,1.0574162400159403e-56,1.8092840896306642e-59,4.336124505705964e-78,4.5487954654270046e-64,2.952512742646365e-103,2.72270649105761e-90,2.962158873585835e-38,4.6428185003220834e-29,2.017556905162512e-64,1.8684851578756263e-44,3.2633724849413395e-15,5.275837212928633e-84,5.153533585180388e-39,1.434807093959703e-85,3.1450089827689353e-94,4.424933246949596e-25,3.3533772842242155e-62,2.2270102797852177e-85,4.3535687489911764e-45,3.412453423957211e-77,1.6497066421420902e-85,4.870695912331695e-95,8.122808096486295e-92,7.072600192306956e-79,8.718866813298474e-44,9.548113286840187e-43,2.1464604681712103e-38,5.713182969910129e-82,3.647038036004451e-106,3.228108534774017e-102,3.020201348441688e-81,5.319555757980339e-94,4.726116463746902e-81,2.9957620118991466e-85,5.624687634611424e-95,8.596249155761685e-81,3.25611194204973e-86,1.1794110429533615e-59,9.348290723035445e-62
1.9647213560933803e-19,0.45895814230215837,1.410592863449858e-29,3.6536293434070224e-34,2.6945800808196955e-37,1.331763026409692e-41,0.0,0.0,1.7033270696993285e-22,2.224966353246334e-39,3.099614671601148e-51,1.5426962899301168e-49,5.2533786950562945e-53,1.0111381550985554e-70,2.0005764088387953e-49,6.318455603018551e-39,3.251932131877876e-24,2.7951212076648593e-40,2.6329230136577935e-79,4.764904138918911e-83,2.3806528857423185e-54,9.072983399117534e-42,3.210604402241658e-28,1.311896622201069e-56,5.555390962006233e-42,1.2116531196994913e-55,4.205234806964786e-43,2.159618372062613e-19,2.255721394239956e-43,9.865989313270756e-29,1.7229171944217727e-56,1.8735602792862667e-64,1.1450784326560038e-55,2.7210542701933067e-44,3.76,0.0,0.7244713073525073,0.999999999999993,2.6691822491529964e-49,9.40298314976852e-25,2.159618372062613e-19,1.0433321528274797e-22,1.4088079311345608e-34,6.599950579280517e-23,5.237495284714645e-60,6.77729036606917e-59,2.172366686685118e-60,2.7292002163643717e-66,9.600540046630952e-71,3.2519321318777745e-24,1.4070079964329412e-37,5.8614107432946994e-46,1.900277838041863e-56,8.118080425898863e-55,6.13944676163089e-40,2.637744395739742e-35,3.210604402318851e-28,1.7824030260639932e-46,1.3384890730509536e-75,1.5663557202915103e-73,3.3967482824489213e-84,1.3632887367330282e-96,4.940762065429026e-63,2.0001868231958645e-81,2.30696218885874e-57,1.5085551385290923e-69,1.7249918185775315e-63,9.352726891876493e-56,1.6003276746997922e-58,8.038444056066336e-77,4.1811267211736107e-63,1.0537434764784087e-101,9.717506542277386e-89,1.2936526029753168e-37,9.865989313093281e-29,1.854482391460562e-63,8.160165578103158e-44,6.934666529170525e-15,9.8810592120786e-83,2.250683512097213e-38,2.687234893646242e-84,1.2550711285546252e-92,9.402983149767403e-25,3.082327625572761e-61,4.12849972858149e-84,1.9013178511755603e-44,6.326113539521524e-76,3.0582780873639216e-84,1.7383221129869738e-93,2.898975453830474e-90,1.3111578894758293e-77,3.807758207043662e-43,4.169911922434881e-42,9.37415679015495e-38,1.0700159412393165e-80,1.3577189868729473e-104,1.2144951108679531e-100,5.65650287348985e-80,2.0085630374532278e-92,8.851493087151517e-80,5.610730701070535e-84,2.1161480659121276e-93,1.6099823303409227e-79,6.098337305079548e-85,1.0431757110447515e-58,8.26845727850072e-61
4.0450145566628414e-19,0.45895814230215837,2.9041627564877545e-29,7.522196967037224e-34,1.1249341408258302e-36,5.559848989882288e-41,0.0,0.0,3.506849849383838e-22,9.288796539307346e-39,2.605412897195877e-50,1.29672918602379e-48,4.415781332989849e-52,8.499225449788979e-70,8.352012692482074e-49,2.637830835126849e-38,6.695154389160249e-24,1.166908082135684e-39,4.440809498661075e-78,8.194468233239077e-82,2.0010821955575556e-53,3.7877919670841246e-41,6.610067886834423e-28,1.1027281586608134e-55,2.319266368546618e-41,1.018467454683742e-54,1.7556027516928416e-42,4.446273118952438e-19,9.417192781307237e-43,2.0312330939086743e-28,1.448215715455515e-55,1.5748403053997485e-63,9.639486912185276e-55,1.1359865937452714e-43,3.76,0.0,0.7244713073525073,0.9999999999999857,2.2436085107057044e-48,1.935908295540613e-24,4.446273118952438e-19,2.14803678523064e-22,5.881495788085745e-34,1.3588133545566008e-22,4.402430562443322e-59,5.696750564421061e-58,1.8260050950855515e-59,2.2943194186230002e-65,1.6192994299846348e-69,6.695154389159826e-24,5.873981415029228e-37,2.447023603252263e-45,1.59729803182451e-55,6.823735747910258e-54,2.563098167536394e-39,1.1012063611175154e-34,6.6100678871566875e-28,7.44118176293763e-46,2.2589222182156812e-74,2.6419024912159295e-72,1.1477049417082467e-82,4.606270815336632e-95,4.226925110433443e-62,3.373619006024363e-80,1.9391415406577425e-56,2.544399916407856e-68,1.47576681835585e-62,7.861530492511012e-55,1.3451862644470762e-57,1.3816031501042837e-75,3.577041937807178e-62,3.5603813717306016e-100,3.283384387423105e-87,5.400744961392597e-37,2.0312330938345826e-28,1.5865487314707926e-62,3.4067084945575856e-43,1.4277254613399893e-14,1.7067072544639875e-81,9.396160615069266e-38,4.641530010089399e-83,4.4606901760697996e-91,1.9359082955401462e-24,2.636994714809407e-60,7.09583465632295e-83,7.937627753489654e-44,1.0872972847181787e-74,5.256398645203634e-83,5.8734062938229206e-92,9.794987583199248e-89,2.253559730647212e-76,1.5896640993623184e-42,1.7408561416307783e-41,3.913525929243131e-37,1.8481864443053976e-79,4.677578312246192e-103,4.205410977460209e-99,9.770202041094527e-79,6.968638248384351e-91,1.5288753097168131e-78,9.691141996566981e-83,7.327548893971104e-92,2.7808441013320666e-78,1.0533361139994974e-83,8.768520411135724e-58,6.950136554504537e-60
8.205600957801764e-19,0.45895814230215837,5.891305563644384e-29,1.5259390571474292e-33,4.595723022233584e-36,2.27138014475489e-40,0.0,0.0,7.113895408761708e-22,3.794776472280177e-38,2.1360749054081485e-49,1.063136931637106e-47,3.6203243270280736e-51,6.968178524888642e-69,3.412069704206676e-48,1.0776399663796938e-37,1.3581598903724744e-23,4.767200268309828e-39,7.294042936497198e-77,1.3587023973665758e-80,1.6406080842022835e-52,1.547436611152542e-40,1.340899485560729e-27,9.040831684984046e-55,9.47495987348473e-41,8.350011525600988e-54,7.172210079719244e-42,9.01958261273209e-19,3.847230526597992e-42,4.120501419071839e-28,1.1873347410309417e-54,1.291149230512397e-62,7.908769165591485e-54,4.640875898747678e-43,3.76,0.0,0.7244713073525073,0.999999999999971,1.839445810188698e-47,3.927128256668243e-24,9.01958261273209e-19,4.357446050029533e-22,2.402782937910774e-33,2.756449947810144e-22,3.6093786354774556e-58,4.670552094540807e-57,1.4970692995561282e-58,1.881451542620993e-64,2.659726755641097e-68,1.3581598903723002e-23,2.3997130713332262e-36,9.996889863654633e-45,1.3095614453100558e-54,5.594510837085737e-53,1.0471092331144919e-38,4.498787299940163e-34,1.3408994856923846e-27,3.039965546557184e-45,3.711377141538952e-73,4.339344462328142e-71,3.7734357951008214e-81,1.5144452753356558e-93,3.494903086770867e-61,5.541188707503496e-79,1.589825717752964e-55,4.1791854461690766e-67,1.2201925443531488e-61,6.445357664569931e-54,1.1028707133608428e-56,2.2899058993160148e-74,2.9575674473864026e-61,1.170578752959772e-98,1.0795144051390784e-85,2.2063805386934265e-36,4.120501418769149e-28,1.3117891753561135e-61,1.3917515772726393e-42,2.8962430764942644e-14,2.8357196298095308e-80,3.838638200426192e-37,7.711971529848227e-82,1.5024787511504674e-89,3.927128256666335e-24,2.180317652673606e-59,1.1760824350713275e-81,3.2427799357158514e-43,1.80211551138746e-73,8.712095289802505e-82,1.9310489125553732e-90,3.220378372673789e-87,3.7351219251283997e-75,6.494296571505293e-42,7.111965356899843e-41,1.5988030373016008e-36,3.0707894191345644e-78,1.5523228078578273e-101,1.39916672116665e-97,1.6233336817210651e-77,2.3208474890787576e-89,2.540249193354219e-77,1.610197737275079e-81,2.4379216716854626e-90,4.620414065396673e-77,1.750133705673758e-82,7.188962803568167e-57,5.698141856946328e-59
1.652677376007961e-18,0.45895814230215837,1.1865603262280984e-28,3.0734011209055198e-33,1.857664724866718e-35,9.181285094861123e-40,0.0,0.0,1.432798652755286e-21,1.5339093233556549e-37,1.7298488396707242e-48,8.609558506949132e-47,2.931832503228868e-50,5.643011631000881e-68,1.3792131286314745e-47,4.355993043344556e-37,2.735448793285269e-23,1.9269785694691238e-38,1.1823957921808076e-75,2.2127835765124935e-79,1.328606962208288e-51,6.25498619602672e-40,2.7006848791502388e-27,7.321499897876559e-54,3.829930272429373e-40,6.762055822076381e-53,2.8991219879809475e-41,1.8166201600291393e-18,1.5551120907747593e-41,8.299038069398035e-28,9.615344570065211e-54,1.045606122662588e-61,6.407014255897836e-53,1.8759162394954695e-42,3.76,0.0,0.7244713073525073,0.9999999999999416,1.489630907936654e-46,7.90956817892394e-24,1.8166201600291393e-18,8.77626457959761e-22,9.712432806940452e-33,5.551723134303005e-22,2.9229684290519896e-57,3.7823388850342784e-56,1.2123655329620596e-57,1.5243444542351523e-63,4.311549819710682e-67,2.735448793284567e-23,9.700023915436857e-36,4.040902719591152e-44,1.0605168339846191e-53,4.5305799204451154e-52,4.2325829373341043e-38,1.818481756045987e-33,2.700684879682412e-27,1.2288026760490883e-44,6.017174184290994e-72,7.034273711038263e-70,1.2239101698175511e-79,4.9120736869596914e-92,2.8419970156641884e-60,8.982513209265027e-78,1.2874822147833515e-54,6.774640455440366e-66,9.922403132809396e-61,5.219617732844736e-53,8.931355877168337e-56,3.728518137670282e-73,2.4050447301753512e-60,3.7967493342775673e-97,3.501394299936788e-84,8.918542907262072e-36,8.299038068174513e-28,1.06672517717631e-60,5.625682389869878e-42,5.833278300036414e-14,4.622938697068021e-79,1.5516389351559127e-36,1.2572459988674062e-80,4.931278504245836e-88,7.909568178916227e-24,1.772997879097682e-58,1.914945270347791e-80,1.3107834976062576e-42,2.9342779442167113e-72,1.4185388785887798e-80,6.263313162121816e-89,1.0445221270013212e-85,6.081687571703594e-74,2.625098534123004e-41,2.874770100498405e-40,6.462617503378461e-36,5.006161780273528e-77,5.058026265571574e-100,4.564788820030643e-96,2.6464436095371028e-76,7.575632748989087e-88,4.141247310944665e-76,2.6250287053898683e-80,7.953732334356492e-89,7.532441058868275e-76,2.85315964561092e-81,5.821808462881709e-56,4.614503010058541e-58
3.3169119364635303e-18,0.45895814230215837,2.381424699684756e-28,6.168418619904485e-33,7.469588155551043e-35,3.691757079963998e-39,0.0,0.0,2.875616876527679e-21,6.167781925464746e-37,1.3923328392757757e-47,6.929721697333842e-46,2.3597938621890124e-49,4.5419866904477953e-67,5.54575532934704e-47,1.751525643918009e-36,5.490026599110449e-23,7.748296076590774e-38,1.904211972107481e-74,3.571860479410794e-78,1.0693784693533197e-50,2.5151024389297135e-39,5.420255665669003e-27,5.892980073884274e-53,1.5399981178922914e-39,5.4426908111301626e-52,1.1657242005536142e-40,3.645943957540999e-18,6.253037320690562e-41,1.6656111370049902e-27,7.73926582586214e-53,8.415947739832667e-61,5.157836376881722e-52,7.54297669321785e-42,3.76,0.0,0.7244713073525073,0.9999999999998829,1.1989845496556886e-45,1.587444802343707e-23,3.645943957540999e-18,1.761390163861492e-21,3.905326514812034e-32,1.1142269507231834e-21,2.3526592963764943e-56,3.044357270726467e-55,9.758172544079491e-57,1.2280457737562445e-62,6.943632602948581e-66,5.490026599107626e-23,3.900336954140701e-35,1.6248292111603373e-43,8.535962477330076e-53,3.646604866826139e-51,1.7019029824990097e-37,7.312035161245417e-33,5.420255667808846e-27,4.940961493680246e-44,9.691171036927379e-71,1.1328488427655324e-68,3.942998169622412e-78,1.582491047902109e-90,2.2921734987838556e-59,1.4466066634882785e-76,1.0362777466106042e-53,1.0910350205696688e-64,8.002777600962986e-60,4.2012024299948936e-52,7.188741368353264e-55,6.017843306442446e-72,1.939755703611768e-59,1.223174206156293e-95,1.1280232525061478e-82,3.586106877806041e-35,1.6656111365130174e-27,8.603525089094805e-60,2.262062140366842e-41,1.1707348720055122e-13,7.466058350069892e-78,6.239071914696247e-36,2.030455644477702e-79,1.5980089791061887e-86,1.5874448023406053e-23,1.4299869307551214e-57,3.090729310711098e-79,5.270602793518127e-42,4.735936438150796e-71,2.289527491677919e-79,2.0178101359705926e-87,3.3650673621107e-84,9.815876187684791e-73,1.0555405951147875e-40,1.155932407838818e-39,2.598590074478327e-35,8.084964646802767e-76,1.633207400892235e-98,1.4748839556699792e-94,4.274013498623489e-75,2.4483135993892745e-86,6.688125468959841e-75,4.239428373293763e-79,2.569852115994354e-87,1.2164912430159151e-74,4.607860430823288e-80,4.685897933765923e-55,3.7141534751828306e-57
6.645381057374669e-18,0.45895814230215837,4.77117278151542e-28,1.2358827103834214e-32,2.9956389358113074e-34,1.4805618918966133e-38,0.0,0.0,5.7612533241291174e-21,2.4735564129280775e-36,1.117259416915298e-46,5.5606652375103646e-45,1.8935859596634482e-48,3.6446582729913157e-66,2.2240959263293987e-46,7.024401217433394e-36,1.099918221075916e-22,3.1074132780072426e-37,3.0566819346717527e-73,5.7402303828218935e-77,8.58108874511813e-50,1.0086685686655325e-38,1.085939723606551e-26,4.728745382334471e-52,6.176081233690603e-39,4.367416607176626e-51,4.6750754270172545e-40,7.304591552564721e-18,2.507747639526456e-40,3.337025797135153e-27,6.2102734229992105e-52,6.753268055980572e-60,4.139204168509903e-51,3.025071021858724e-41,3.76,0.0,0.7244713073525073,0.9999999999997654,9.621095916703092e-45,3.180420771247026e-23,7.304591552564721e-18,3.528917575617419e-21,1.566210602415175e-31,2.2323362252861894e-21,1.887860924824732e-55,2.442905734243791e-54,7.830318919385384e-56,9.872280409151682e-62,1.114607975087608e-64,1.099918221074784e-22,1.5642095654432491e-34,6.516291860571112e-43,6.849572903520405e-52,2.926170742943298e-50,6.8253921462970225e-37,2.932453138359205e-32,1.0859397244647231e-26,1.981546531217361e-43,1.5557034615803306e-69,1.8184738782736054e-67,1.2660153860483352e-76,5.081048601191419e-89,1.8411983869068414e-58,2.3221245480799303e-75,8.315476498255768e-53,1.7513528840006762e-63,6.4282661958595065e-59,3.371200338890829e-51,5.768515873573981e-54,9.670512640057232e-71,1.5581172695759061e-58,3.927357186288409e-94,3.621849998140913e-81,1.4381892505285958e-34,3.337025795162119e-27,6.910819371791616e-59,9.071880867168305e-41,2.345548945183016e-13,1.2001470761800611e-76,2.5021468870999786e-35,3.2638981404362917e-78,5.1458417044164496e-85,3.18042077123459e-23,1.1486432329210108e-56,4.966718968942749e-78,2.113747453669073e-41,7.61052273596466e-70,3.6792092874739786e-78,6.478765766689026e-86,1.0804525891105905e-82,1.577385590284629e-71,4.233190050075257e-40,4.63580591172955e-39,1.0421508446429285e-34,1.299634453774035e-74,5.249801501806005e-97,4.742398866353124e-93,6.870351872356381e-74,7.873409621241964e-85,1.07509663569863e-73,6.814757300141728e-78,8.263201803745088e-86,1.9554741441290553e-73,7.407001006897764e-79,3.760137979407241e-54,2.980374254616888e-56
