Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39)
1.352825416283175e-17,0.5721820083457951,3.76,0.0,1.0019034478577087,1.0,3.015159363263506e-38,1.5847021323109018e-27,1.333066852939889e-28,2.084548954228303e-13,2.0845489542283045e-13,2.7348708063288723e-30,1.377737639970457e-28,1.3758137847629165e-28,4.188423765418944e-38,4.443519027208698e-41,8.28904099916005e-17,4.691020394844241e-30,3.8458049939323155e-17,9.808669618114044e-22,8.762520998316645e-26,4.443334074567699e-17,1.8416663164341953e-30,1.2647892254163782e-29,4.8398660135443023e-39,1.1124887239545316e-23,5.2676442937524195e-45,1.0924573613437149e-46,7.134477329071635e-29,7.508924229980006e-42,2.537149034510162e-60,6.571715333238978e-30,3.205751240071211e-44,1.475296175935506e-54,6.4896101416051326e-62,1.7705388252656233e-66,1.5560258050953836e-16,1.1406296700430923e-28,1.5560258050822858e-16,3.2741111557209764e-42,4.227648894215007e-56,1.2563317711853031e-45,1.7353052832520246e-28
2.706826180451913e-17,0.572182008345816,3.76,0.0,1.0019034478574997,0.9999999999999999,2.4139608486412547e-37,6.3429383821306495e-27,5.335741512793465e-28,4.1709089848715124e-13,4.170908984871518e-13,1.0946610178259072e-29,5.5145416309833135e-28,5.506840612224124e-28,3.353285752479686e-37,3.5575173099650667e-40,1.6585283597994383e-16,1.8776306731526032e-29,7.694951252144379e-17,1.9627595168273656e-21,3.5072919750704347e-25,8.890528552331594e-17,7.37146479076616e-30,5.062453037497144e-29,3.874835655923663e-38,2.225943990411511e-23,4.2173183854280044e-44,8.746301546705014e-46,2.8556502228645896e-28,6.011705126084508e-41,4.062744124334666e-59,2.6303987692535095e-29,2.566550223838408e-43,2.3623960505790836e-53,1.0395459933674115e-60,5.670491622089082e-65,3.1134035005452166e-16,4.565491246871616e-28,3.113403500492792e-16,2.62194434317108e-41,6.769746340998431e-55,1.0060843421749721e-44,6.945743469078536e-28
5.414827708789389e-17,0.5721820083458574,3.76,0.0,1.001903447857082,0.9999999999999998,1.9319023501923635e-36,2.5380015587908203e-26,2.1349916404844127e-27,8.343629046156185e-13,8.343629046156207e-13,4.3800696723668083e-29,2.2065354214082213e-27,2.2034535432740617e-27,2.6836477326704878e-36,2.8470954316778075e-39,3.3177768796252213e-16,7.512968419965367e-29,1.53932437429937e-16,3.927065072106349e-21,1.4033736334568702e-24,1.7784917481794862e-16,2.9495460973363446e-29,2.0256406300303175e-28,3.101046165363446e-37,4.45285452775064e-23,3.3751364329866954e-43,6.999699492999684e-45,1.1426320490382645e-27,4.811191172308272e-40,6.503036468950166e-58,1.052502131019095e-28,2.0540202025364443e-42,3.7813721786657084e-52,1.6642409188573974e-59,1.8153205003938583e-63,6.2281588914263055e-16,1.8267911815149415e-27,6.2281588912165395e-16,2.0986181581970904e-40,1.083600256267805e-53,8.052752374034592e-44,2.7792021126046223e-27
1.0830830765464342e-16,0.5721820083459405,3.76,0.0,1.0019034478562465,0.9999999999999994,1.5458154345483453e-35,1.0153658882158306e-25,8.541356967832416e-27,1.6689069168718531e-12,1.6689069168718624e-12,1.7523128731674244e-28,8.827582229449707e-27,8.815248969294967e-27,2.1473259239584472e-35,2.2781095293047302e-38,6.636273919512452e-16,3.005676583225534e-28,3.078982862239312e-16,7.85775796363693e-21,5.614408335798555e-24,3.557369523646331e-16,1.1800105044634816e-28,8.103881537978997e-28,2.4813080879706206e-36,8.906675620142201e-23,2.700621940405538e-42,5.600823215178108e-44,4.571272187257783e-27,3.849683912440486e-39,1.040697562276565e-56,4.210693856394482e-28,1.6435282338444005e-41,6.051426575599421e-51,2.6635595848049922e-58,5.810246969691201e-62,1.2457669673114178e-15,7.308354260978603e-27,1.2457669672274977e-15,1.6793196992423813e-39,1.73411308499304e-52,6.443833262439729e-43,1.1118618158069592e-26
2.166283687881425e-16,0.5721820083461063,3.76,0.0,1.0019034478545754,0.9999999999999988,1.2367698190045693e-34,4.0617941055795214e-25,3.4168209978283646e-26,3.3379949413815253e-12,3.337994941381561e-12,7.009820288804573e-28,3.5313232619158695e-26,3.5263865634447017e-26,1.7180238492005887e-34,1.8226616483976949e-37,1.3273268000229568e-15,1.202368483375636e-27,6.158299797199506e-16,1.5727470870463608e-20,2.245946095691998e-23,7.115125032876787e-16,4.720426191999317e-28,3.241816437486363e-27,1.9852349507951643e-35,1.781431787587946e-22,2.1607026831857807e-41,4.481084211958698e-43,1.8286576559957455e-26,3.0800395347512855e-38,1.6652855181119845e-55,1.6844146092349735e-27,1.3149474223335128e-40,9.683267466346282e-50,4.262314720840948e-57,1.8594744446688452e-60,2.491669123619269e-15,2.923579628281676e-26,2.4916691232835616e-15,1.3436258418670988e-38,2.774862834820653e-51,5.1557190911830105e-42,4.447809230484978e-26
4.332684910551406e-16,0.5721820083464381,3.76,0.0,1.0019034478512334,0.9999999999999974,9.894629055622175e-34,1.6247837549510903e-24,1.3667841310223673e-25,6.6761709903896795e-12,6.676170990389825e-12,2.8040408764672083e-27,1.4125891735658954e-25,1.4106120194071059e-25,1.3744843228279642e-33,1.4582001050102134e-36,2.6547256165434427e-15,4.8096696411965735e-27,1.231693350344115e-15,3.150020517817936e-20,8.984149822227463e-23,1.423063588452477e-15,1.8882473269491728e-27,1.2967793412808106e-26,1.5882633536501976e-34,3.5629602671977986e-22,1.72864418942137e-40,3.5850378682747564e-42,7.314927974957552e-26,2.46414856992557e-37,2.66459242199748e-54,6.737932503670131e-27,1.0520078637502303e-39,1.549401579425024e-48,6.820199076572744e-56,5.950630710449612e-59,4.9834734361160795e-15,1.1694794377556384e-25,4.9834734347731945e-15,1.0749686988504574e-37,4.440005184630426e-50,4.1248360514013473e-41,1.779196088183274e-25
8.665487355891368e-16,0.5721820083471015,3.76,0.0,1.0019034478445494,0.9999999999999948,7.915892399805757e-33,6.499267246173549e-24,5.46724869202581e-25,1.3352523088361233e-11,1.3352523088361815e-11,1.1216381013082168e-26,5.650490775714978e-25,5.64256284245224e-25,1.0996135498969061e-32,1.1665902754458148e-35,5.309523251092667e-15,1.9239069991582684e-26,2.463420026120949e-15,6.317890776186321e-20,3.5937329410430776e-22,2.8461656920569057e-15,7.55314311150873e-27,5.187222899163011e-26,1.2706408358427235e-33,7.126017340913061e-22,1.3829481473954323e-39,2.8680988698277477e-41,2.9260304837909775e-25,1.9713655923716285e-36,4.263456512341913e-53,2.6952277546815414e-26,8.416262444677572e-39,2.479105506550122e-47,1.0912714876519544e-54,1.9042517013461935e-57,9.967082060634136e-15,4.678012925367604e-25,9.96708205526249e-15,8.600021511967342e-37,7.104185190671034e-49,3.2999727877325603e-40,7.116929146970815e-25
1.7331092246571291e-15,0.5721820083484286,3.76,0.0,1.0019034478311815,0.9999999999999895,6.33279110114145e-32,2.5997333428399865e-23,2.18692247233487e-24,2.67052272841253e-11,2.670522728412763e-11,4.486589492109852e-26,2.2602346002242554e-24,2.2570480699273816e-24,8.797012663916395e-32,9.332872989697558e-35,1.0619118526224118e-14,7.695706286241297e-26,4.926873115788674e-15,1.2706924873826257e-19,1.4375077173446884e-21,5.69236963236512e-15,3.021288086161171e-26,2.0749102663318224e-25,1.0165247218627824e-32,1.4252131951493491e-21,1.1063716009673432e-38,2.2945071245600016e-40,1.1704239104266047e-24,1.577111102050626e-35,6.821617840745518e-52,1.0781020037259476e-25,6.733089491971396e-38,3.966619033748245e-46,1.746066063807609e-53,6.093684439762949e-56,1.993429930776798e-14,1.8712242049973177e-24,1.993429928628118e-14,6.880125677989129e-36,1.1366828769150262e-47,2.6400192207363568e-39,2.846800617638821e-24
3.4662302027931138e-15,0.5721820083510825,3.76,0.0,1.0019034478044455,0.9999999999999788,5.0662661827045395e-31,1.0398986251227132e-22,8.747740374500047e-24,5.341063567493729e-11,5.341063567494662e-11,1.7946380823143792e-25,9.041106768504287e-24,9.028237984025715e-24,7.037651672202865e-31,7.466406736746292e-34,2.123830910061904e-14,3.078298175329545e-25,9.853778247580643e-15,2.569816734153652e-19,5.750059458298972e-21,1.1384776445379201e-14,1.2085214672362746e-25,8.299683276214716e-25,8.132245857714835e-32,2.8504363066595293e-21,8.851024572812979e-38,1.83561786840139e-39,4.68171793997447e-24,1.2616962262813602e-34,1.0914660114307764e-50,4.312429427612293e-25,5.386502962349919e-37,6.346630117426397e-45,2.793730970816511e-52,1.9499911453618567e-54,3.98687337944266e-14,7.484934888353925e-24,3.986873370847897e-14,5.504143447351407e-35,1.8187003028872126e-46,2.1120308309680413e-38,1.138726038647553e-23
6.932472159065083e-15,0.5721820083563903,3.76,0.0,1.0019034477509736,0.9999999999999576,4.0530301534343965e-30,4.1596050692003584e-22,3.499109841981705e-23,1.0682145245369674e-10,1.0682145245373405e-10,7.1785158451857015e-25,3.616549810931585e-23,3.611304205069052e-23,5.630137690077171e-30,5.9732455758274417e-33,4.2476690345936934e-14,1.2313224045787527e-24,1.9707584320992963e-14,5.253334895722091e-19,2.300029106664942e-20,2.276958580099976e-14,4.834098849972176e-25,3.319881750575212e-24,6.505815710938849e-31,5.700883320329304e-21,7.080839456387972e-37,1.468500693759098e-38,1.8726907271280866e-23,1.0093597482187909e-33,1.7463518660069817e-49,1.7249757407199187e-24,4.309214203940823e-36,1.015463826915474e-43,4.469989536171082e-51,6.239987770318836e-53,7.97376027373076e-14,2.993981567827183e-23,7.97376023935162e-14,4.403331147550726e-34,2.9099173729210314e-45,1.6896293394084428e-37,4.5549157361692304e-23
