Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527)
0.0,0.8273530413371706,3.76,0.0,0.824779838088515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.264382913443116e-21,0.8273530413371706,3.76,0.0,0.8247798380885146,1.0,4.637837798642609e-47,8.128056883244982e-18,1.725605156478909e-34,3.161218145382833e-16,3.161218145382833e-16,5.134181386533488e-35,1.920163282031514e-33,1.9195496646098193e-33,2.2373954709953418e-46,1.652067973192308e-46,1.8414954407450912e-19,1.0772512273492104e-35,7.750059395605435e-20,4.844243797174902e-24,3.818602701960196e-31,1.0665379436150423e-19,1.0160983857087884e-34,6.488595814601753e-35,3.854237460624689e-47,7.2231974914342045e-25,1.5178542139608398e-51,7.550595999030455e-55,1.7285827766236914e-35,3.960360695461155e-50,4.066816869160865e-72,6.203698859792627e-36,1.513711415716957e-50,2.2589253208162563e-64,4.10604002619619e-58,7.52517520160427e-80,9.516888845414902e-19,1.0106911375689247e-34,9.516888845414833e-19,1.298837022067542e-37,1.6260128596943383e-66,3.5813338977596436e-37,3.66898817900655e-20,1.5217204723191953e-50,3.906998451171199e-69,1.450171085225605e-35,5.960076744576411e-50,2.44196984801015e-52,1.8293946704478386e-53,9.773928722164495e-66,3.713616367527544e-61,1.9212101933491903e-46,1.3362102829438432e-52,7.2372920810783285e-53,3.573017726388571e-66,7.494573297989132e-84,6.73903181506723e-84,3.5406614188635976e-89,1.8979754980719335e-20,2.50737651664735e-50,1.1628286196717049e-69,7.701315035050695e-55,4.9605126800736275e-59,1.0055911227404723e-34,3.668988179005112e-20,3.3703016202331636e-52,8.128056883244975e-18,8.830937161189132e-36,1.3398442739695282e-32,9.742376430755433e-52,1.9993502681405536e-50,4.639409092175935e-45,1.8979754980712684e-20,3.073326060515006e-68,2.1883059467912424e-38,3.3759448856978197e-69,1.4455386171298608e-69,2.4121967152527048e-52,1.1317501115992604e-72,5.192057011328682e-68,1.6535617497108354e-35,6.165735001114083e-69
1.1940272157640724e-20,0.8273530413371707,3.76,0.0,0.8247798380885141,1.0,5.506041034822254e-46,2.275855927308597e-17,1.0422655145296194e-33,8.851410807071929e-16,8.851410807071929e-16,3.1010455574317755e-34,1.1597786223725129e-32,1.1594079974242475e-32,2.6562359430105992e-45,1.9613350980596202e-45,5.156187234086269e-19,6.50659741318925e-35,2.1700166307637038e-19,1.356388387963433e-23,2.3064360319794707e-30,2.986306242116199e-19,6.137234249683149e-34,3.91911187202493e-34,4.575750713253412e-46,2.0224952976493386e-24,2.2416309956958033e-50,8.964067571306807e-54,1.0440639970767047e-34,4.701740217641888e-49,9.097306664833246e-71,3.747034111306349e-35,2.264753495271415e-49,6.309376214008768e-63,4.8746907190901607e-57,3.858576936523339e-78,2.6647288767161686e-18,6.1045744709162955e-34,2.6647288767161254e-18,7.84497561330884e-37,3.6373257265859384e-65,2.1631256742357597e-36,1.0273166901218656e-19,2.2996215228440474e-49,8.73979925616029e-68,8.759033354757911e-35,7.12030538882555e-49,3.690304835088574e-51,2.7645812260294852e-52,1.160386108858236e-64,4.408805351638875e-60,2.280860741952838e-45,2.019280979584822e-51,1.0936995792924426e-51,9.993137085835597e-65,3.847939526554351e-82,3.455477386161107e-82,1.8178821554365385e-87,5.3143313946002717e-20,3.1014183348993185e-49,2.6012011099669667e-68,1.1638227281169732e-53,5.8891206550598064e-58,6.073770381351357e-34,1.0273166901209969e-19,5.0931998085599386e-51,2.275855927308592e-17,5.333886045358454e-35,8.092659414769946e-32,1.1566149298658276e-50,2.3736286383287363e-49,5.507906474186506e-44,5.314331394596258e-20,9.66302886645602e-67,1.3217367918616901e-37,1.0614510871727868e-67,4.545004698795025e-68,3.645311676079494e-51,3.558403434371237e-71,1.6324657972711765e-66,9.987512968249956e-35,1.7221429582839673e-67
2.729205064603594e-20,0.8273530413371709,3.76,0.0,0.8247798380885129,1.0,5.405863738537988e-45,5.2019564052768005e-17,5.018059795286035e-33,2.0231796130450105e-15,2.0231796130450113e-15,1.4930199471522621e-33,5.583834824529819e-32,5.582050424684101e-32,2.6079082175715307e-44,1.9256504299565738e-44,1.1785570820768673e-18,3.132646569131529e-34,4.960038013146751e-19,3.1003169034731594e-23,1.1104496657232927e-29,6.825842839094828e-19,2.9548141056442514e-33,1.886883662894394e-33,4.4924991841034553e-45,4.622846394852219e-24,2.393491823285275e-49,8.800974700301315e-53,5.0267187143616224e-34,4.616196426599776e-48,1.797474494745964e-69,1.8040356284150988e-34,2.428480955755994e-48,1.3677501143056043e-61,4.786000254503402e-56,1.6788884801306383e-76,6.090808861065506e-18,2.9390898280504144e-33,6.0908088610652945e-18,3.7770180602031456e-36,7.186742693770949e-64,1.0414518974519063e-35,2.348152434564413e-19,2.473827051446591e-48,1.7268370551362036e-66,4.217097515828942e-34,7.010258687721937e-48,3.969861545486293e-50,2.9740103280388803e-51,1.1393274845449812e-63,4.328591238318112e-59,2.2393626026347177e-44,2.172250332776445e-50,1.176552099036349e-50,2.1669782686050563e-63,1.6748015007322829e-80,1.5034976034894032e-80,7.912265108171017e-86,1.2147043187652379e-19,3.099616594552146e-48,5.139535057058966e-67,1.2519873826842488e-52,5.781973583848058e-57,2.9242589849276516e-33,2.34815243456023e-19,5.479031938216044e-50,5.2019564052767765e-17,2.568036526474121e-34,3.896267148694377e-31,1.1355713967891332e-49,2.3304426725206667e-48,5.407695237701491e-43,1.2147043187633052e-19,2.1557685838719775e-65,6.363593693265576e-37,2.3680389850954305e-66,1.0139655465731168e-66,3.921459956016217e-50,7.938602331047927e-70,3.6419413918808047e-65,4.8085575681538694e-34,3.7332706266978205e-66
5.799560762282637e-20,0.8273530413371714,3.76,0.0,0.8247798380885105,1.0,4.781425257435596e-44,1.1054157361213235e-16,2.1915185489817592e-32,4.2992566777206394e-15,4.299256677720641e-15,6.520410360363542e-33,2.438607368574938e-31,2.437828074053175e-31,2.306665291754283e-43,1.7032159980445865e-43,2.504433799413367e-18,1.3681090587335214e-33,1.0540080777819758e-18,6.588175930563976e-23,4.8496254314198855e-29,1.4504916032957355e-18,1.2904449498533574e-32,8.240516684629003e-33,3.9735646524041937e-44,9.823548590022155e-24,2.1935242766480134e-48,7.784362459138555e-52,2.1953001262500138e-33,4.082973462530165e-47,3.1985098264948113e-68,7.878697551806465e-34,2.2293516037702537e-47,2.532130676089721e-60,4.2331630253423754e-55,6.241309377856313e-75,1.2942968829764104e-17,1.2835777447125136e-32,1.294296882976318e-17,1.6495230180572565e-35,1.2788424636821422e-62,4.548294049983234e-35,4.989823923450013e-19,2.273872956834244e-47,3.072814276245643e-65,1.841717278229162e-33,6.208238977528223e-47,3.648986711253404e-49,2.733627868577388e-50,1.0078174562823918e-62,3.828589930944053e-58,1.9806908635957734e-43,1.9966723015979772e-49,1.0814540810905126e-49,4.012262203815732e-62,6.226934859101108e-79,5.589289463346349e-79,2.941790982336788e-84,2.5812466773738316e-19,2.763270029676831e-47,9.145528042658448e-66,1.1507921032002561e-51,5.114090160950512e-56,1.277100725878704e-32,4.989823923431743e-19,5.036174305611588e-49,1.1054157361213129e-16,1.12152901947135e-33,1.7016022279319886e-30,1.0044000405477495e-48,2.061250152391862e-47,4.783045197378264e-42,2.5812466773653917e-19,4.037515974110241e-64,2.779148552421387e-36,4.435074942965371e-65,1.8990452521314644e-65,3.604497307589382e-49,1.4868123645853919e-68,6.820953165480768e-64,2.1000234221273453e-33,6.911444150714733e-65
1.1940272157640724e-19,0.8273530413371719,3.76,0.0,0.8247798380885059,1.0,4.019076031569586e-43,2.275855927308621e-16,9.149158541933078e-32,8.851410807071873e-15,8.851410807071878e-15,2.722142970659467e-32,1.018070572488532e-30,1.0177452321749603e-30,1.938891167477189e-42,1.4316556728309039e-42,5.156187234086447e-18,5.711586007405729e-33,2.1700166306793415e-18,1.3563901969031066e-22,2.0246231525166896e-28,2.986306242030348e-18,5.38735364105675e-32,3.44025350097815e-32,3.340020515575379e-43,2.022495298341874e-23,1.8741235911884173e-47,6.543225697638318e-51,9.164945881100151e-33,3.4319852128021763e-46,5.394754332432129e-67,3.289201135344898e-33,1.9061734029994576e-46,4.349438453233524e-59,3.558228589943542e-54,2.1488748268995895e-73,2.6647288767160998e-17,5.358684411390254e-32,2.664728876715714e-17,6.886433891284218e-35,2.156954734356624e-61,1.8988232324378005e-34,1.027316690122323e-18,1.9453460709567635e-46,5.182750412845811e-64,7.688807093799954e-33,5.221469540283667e-46,3.121784962786289e-48,2.338676194754473e-49,8.472914445339227e-62,3.2181605274586456e-57,1.664890019020208e-42,1.7081951911932192e-48,9.25206734892968e-49,6.892299296275088e-61,2.1440662654074338e-77,1.924385205187586e-77,1.0129212806065352e-82,5.314331394583709e-19,2.331296418789314e-46,1.5425269826011566e-64,9.845268727651555e-51,4.2987009354091145e-55,5.331644132754721e-32,1.0273166901146956e-18,4.308553148677443e-48,2.2758559273085775e-16,4.6821628828654406e-33,7.10385434050263e-30,8.442587537642427e-48,1.7326049526750127e-46,4.0204376882054387e-41,5.314331394548473e-19,6.973804786134239e-63,1.1602398129855658e-35,7.660489038152085e-64,3.280128417784417e-64,3.083723334273434e-48,2.5680986371121664e-67,1.1781500341941323e-62,8.767184396918112e-33,1.1871780727387922e-63
2.42216949483569e-19,0.8273530413371731,3.76,0.0,0.8247798380884965,1.0,3.295081353351839e-42,4.616736309683258e-16,3.7377297950715872e-31,1.795571906577424e-14,1.7955719065774254e-14,1.1120842246418017e-31,4.1591504784207944e-30,4.157821355521583e-30,1.5896201230593962e-41,1.173757817574196e-41,1.045969410343292e-17,2.333369248487666e-32,4.4020337363251334e-18,2.7515385983107063e-22,8.271246196023804e-28,6.0579355193480035e-18,2.200909747405005e-31,1.4054558078905991e-31,2.738350614206281e-42,4.1027761782438753e-23,1.5485909735539019e-46,5.364531764605694e-50,3.744179437004985e-32,2.81374882916833e-45,8.860900210235218e-66,1.3437459877273334e-32,1.575637274183056e-45,7.206799366334202e-58,2.9172507770485933e-53,7.129210449757314e-72,5.405592864195357e-17,2.189197431619637e-31,5.405592864193782e-17,2.8133329435175394e-34,3.5428046274948134e-60,7.75731247459636e-34,2.083985285677774e-18,1.608449705077873e-45,8.512683129000902e-63,3.141128577386016e-32,4.282098114038556e-45,2.581152188116995e-47,1.933662704098307e-48,6.949233434295005e-61,2.638442434548018e-56,1.3649774302592495e-41,1.4123688173357552e-47,7.64978820152086e-48,1.142056297012101e-59,7.113495524877019e-76,6.384432886350302e-76,3.3606289011359547e-81,1.0780500828974217e-18,1.9147605213798013e-45,2.533605215158476e-63,8.140258575171406e-50,3.5243347566733477e-54,2.17815059548785e-31,2.0839852856466134e-18,3.562395063464933e-47,4.616736309683078e-16,1.912816312864714e-32,2.9021562911179987e-29,6.92174334369367e-47,1.420494219704732e-45,3.296197720939371e-40,1.0780500828830276e-18,1.1587080954802248e-61,4.7399582129609896e-35,1.2728017107282024e-62,5.449982437663755e-63,2.5496820860106846e-47,4.2669343658917083e-66,1.957513902481001e-61,3.581680892302395e-32,1.9670939528731596e-62
4.878454052978925e-19,0.827353041337176,3.76,0.0,0.8247798380884778,1.0,2.668442311215763e-41,9.2984970744327e-16,1.5108501451340295e-30,3.6164335583178566e-14,3.6164335583178636e-14,4.495222241269558e-31,1.6811951237314817e-29,1.68065786974168e-29,1.28731558977039e-40,9.505395123802381e-41,2.106670784212712e-17,9.431851576032953e-32,8.866067947020949e-18,5.5418481759826315e-22,3.34336995805983e-27,1.220119407337703e-17,8.896429094305787e-31,5.681077088814331e-31,2.2175873239145828e-41,8.263337942938615e-23,1.2589045120326652e-45,4.344336928321073e-49,1.5134571925182438e-31,2.278646753063735e-44,1.436390114703293e-64,5.431636128477807e-32,1.2811144435138595e-44,1.1732760047550282e-56,2.3624653139202146e-52,2.3226130622076474e-70,1.0887320839153385e-16,8.849086041160673e-31,1.0887320839147017e-16,1.137194157193062e-33,5.74303896898891e-59,3.135629730440595e-33,4.197322476791904e-18,1.3079645696368209e-44,1.3799426230923709e-61,1.269694393280999e-31,3.4682415143126874e-44,2.098950111366237e-46,1.572422398673477e-47,5.631923131872964e-60,2.1366790914661527e-55,1.1053941193346554e-40,1.148514866231456e-46,6.220680720986453e-47,1.8593127005723793e-58,2.3175327282092318e-74,2.0799732760973283e-74,1.0948720737950566e-79,2.171283969763826e-18,1.5519881462200043e-44,4.1070832806503666e-62,6.619523087108344e-49,2.854097681970114e-53,8.80443296322545e-31,4.197322476665949e-18,2.8968805042971832e-46,9.298497074431976e-16,7.731909369625388e-32,1.173097974327103e-28,5.6054072191395624e-46,1.1503530477864224e-44,2.669346373359925e-39,2.171283969705642e-18,1.8889866386410133e-60,1.91596689507919e-34,2.0749880264283987e-61,8.884846920461497e-62,2.073359128085748e-46,6.956180167074988e-65,3.191241711858103e-60,1.4477726828018812e-31,3.202453692811748e-61
9.791023169265395e-19,0.8273530413371816,3.76,0.0,0.8247798380884402,1.0,2.147794522131861e-40,1.8662018603932258e-15,6.075061990480706e-30,7.258156861798558e-14,7.258156861798587e-14,1.8075090911398192e-30,6.760011661001093e-29,6.757851376179601e-29,1.036143580739677e-39,7.650768945997617e-40,4.2280735319520526e-17,3.7925060359331906e-31,1.779413636602951e-17,1.1122518430753376e-21,1.3443543552822375e-26,2.4487711179009945e-17,3.577215010985598e-30,2.2843361113448242e-30,1.784907204017433e-40,1.6584461491891043e-22,1.0151993621412802e-44,3.4967003416271844e-48,6.085544805258928e-31,1.834053144392853e-43,2.3132620189450687e-63,2.1840369977236404e-31,1.033198531443742e-43,1.893541282888417e-55,1.9015176142102034e-51,7.49904108604797e-69,2.1850776789067496e-16,3.558178577455848e-30,2.185077678904189e-16,4.572607691257574e-33,9.24898720510199e-58,1.260822923169875e-32,8.423996859033078e-18,1.0549208024900245e-43,2.222355066884393e-60,5.105385312006154e-31,2.791737206622231e-43,1.6928793346407515e-45,1.2682156313119368e-46,4.539909275860843e-59,1.719785222476013e-54,8.897173654323957e-40,9.263188474268563e-46,5.01720436107388e-46,3.000755667457613e-57,7.482702342830449e-73,6.715627887430517e-73,3.535053468124265e-78,4.357751743449845e-18,1.2497204963437088e-43,6.6143311586735e-61,5.3388851845299945e-48,2.2972261498933004e-52,3.54022377116652e-30,8.423996858526618e-18,2.336439075753996e-45,1.866201860392934e-15,3.1089667513619505e-31,4.71697535980724e-28,4.511719391143352e-45,9.25904211102325e-44,2.148522187952682e-38,4.357751743215889e-18,3.0507184677421696e-59,7.704018617738025e-34,3.3511112032423756e-60,1.434905164652714e-60,1.6722392490556274e-45,1.1234250300232406e-63,5.153863888292549e-59,5.82143028205168e-31,5.168415835740433e-60
1.9616161401838334e-18,0.8273530413371928,3.76,0.0,0.8247798380883653,1.0,1.723469841968916e-39,3.738906166293405e-15,2.4363715771850383e-29,1.4541603468759312e-13,1.4541603468759433e-13,7.248919872689943e-30,2.711067033093561e-28,2.7102006541115714e-28,8.314399695585317e-39,6.139260250028502e-39,8.47087902743274e-17,1.5209645443879515e-30,3.565027319451438e-17,2.228406333800233e-21,5.391462240432638e-26,4.906074538057523e-17,1.4346232143227192e-29,9.161209502533232e-30,1.4322756216850886e-39,3.322670866804768e-22,8.154024106446385e-44,2.8058818625301464e-47,2.4405756482762626e-30,1.4717121433253522e-42,3.713297916977492e-62,8.758965192617228e-31,8.298946498371404e-43,3.042765526561661e-54,1.52584813157393e-50,2.4104142218666634e-67,4.377768868888795e-16,1.4269887529858894e-29,4.3777688688785247e-16,1.833820199713785e-32,1.4846672785237298e-56,5.0564638352194e-32,1.6877345623567083e-17,8.473697547416552e-43,3.5673721035928278e-59,2.047487853902261e-30,2.2402711179050034e-42,1.3598127927225063e-44,1.0186997665960713e-45,3.6539807864414835e-58,1.3800193372151832e-53,7.139421710940747e-39,7.440696736377063e-45,4.030091390032917e-45,4.82198834428757e-56,2.4051728279453122e-71,2.158601983443586e-71,1.1362760045186812e-76,8.730687290634723e-18,1.0030400075105292e-42,1.0617466843047415e-59,4.288482931021302e-47,1.8433793664997948e-51,1.419788072581083e-29,1.6877345621535954e-17,1.876754930404497e-44,3.738906166292237e-15,1.2468347192394226e-30,1.891718090970567e-27,3.62037067607573e-44,7.429798176629336e-43,1.7240537446835586e-37,8.730687289696457e-18,4.903940839160175e-58,3.089656036295132e-33,5.386813379774503e-59,2.3065681883207764e-59,1.343233504569742e-44,1.8058731658358085e-62,8.284685674130667e-58,2.334653912824469e-30,8.305220380422673e-59
