Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175)
0.0,0.7047925553207254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7924992244477207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3891784301605326e-20,0.7047925553207254,1.1684696707601661e-24,1.4076730735515842e-26,2.831725428768975e-34,3.318358547241884e-34,0.0,0.0,9.044962540134973e-20,8.53335553305705e-36,2.287411840256417e-49,2.8674302835426047e-52,2.527634835777818e-46,5.899935366580805e-60,1.1771641288710044e-40,2.8986607457747612e-39,1.9847884205928058e-19,3.4203079367463066e-35,1.2995092549548303e-83,5.8364821107220866e-71,2.7845000112127793e-47,3.314503128142012e-34,1.4882342806428407e-43,2.5146808973374263e-50,4.850371512433045e-36,6.793080762243909e-63,1.8612433765955164e-36,2.524875332764094e-16,2.5099691452313498e-49,2.5328162477388045e-35,4.1232173206471658e-50,6.383506505009366e-67,9.400827173437304e-50,5.482944654866634e-51,3.76,0.0,0.7924992244477204,1.0,1.262308471438353e-46,3.380164281706e-33,2.524875332764094e-16,4.2025499139424073e-20,2.2663938470256303e-31,4.842529473114653e-20,3.2663417324446917e-53,1.996920254398398e-52,1.1480598598600531e-65,4.481768064582771e-73,2.476343119601278e-65,1.9847884205928375e-19,2.4891398078216475e-34,1.3817040497768819e-38,1.1571039875379316e-59
6.689699604449492e-20,0.7047925553207257,3.271715804808729e-24,3.9414846075223504e-26,1.710362159003819e-33,2.004288562965553e-33,0.0,0.0,2.5325895112378663e-19,5.154146741966579e-35,2.7156153445691557e-48,3.4042132326146785e-51,3.0008080800029674e-45,7.004403267188683e-59,7.110071338375571e-40,1.7507910904436934e-38,5.557407577659742e-19,2.065865993795186e-34,5.393720907231271e-82,1.305597702245285e-69,3.305758413310433e-46,2.0019598893968763e-33,8.988935066745639e-43,2.9854291613147875e-49,2.9296243935050535e-35,1.5195861707060857e-61,1.1241909994634728e-35,7.069650931739458e-16,2.9939406785533345e-48,1.5298210136354146e-34,4.895083603062127e-49,1.4279926043916572e-65,1.1160670477374515e-48,6.51840269866029e-50,3.76,0.0,0.79249922444772,1.0,1.498612617332507e-45,2.041619226150387e-32,7.069650931739458e-16,1.1767139759002832e-19,1.3689018836002032e-30,1.3559082524684597e-19,3.877800904751014e-52,2.370743726016385e-51,2.56820301840031e-64,1.4091395880437865e-71,5.5394820784562577e-64,5.557407577659933e-19,1.5034404439242704e-33,8.34549246066271e-38,1.373713854001969e-58
1.529074195302741e-19,0.7047925553207258,7.478210979626907e-24,9.009107681775548e-26,8.234657547270561e-33,9.64978666185124e-33,0.0,0.0,5.788776025686904e-19,2.4814997890131734e-34,2.666207252944433e-47,3.3422767384752476e-50,2.9462111687936225e-44,6.876964663236837e-58,3.423193286748937e-39,8.429305448649067e-38,1.2702645891793164e-18,9.946255480064522e-34,2.139130432803066e-80,2.5796410476276057e-68,3.2456132130653494e-45,9.6385750966235e-33,4.327785305534019e-42,2.9311120539234715e-48,1.4104880358087715e-34,3.002447329380597e-60,5.412495739136458e-35,1.6159202129690182e-15,2.9456495749403655e-47,7.36542964844211e-34,4.806022108914481e-48,2.8214994884347904e-64,1.0957616162391005e-47,6.403772431979339e-49,3.76,0.0,0.7924992244477191,1.0,1.4713467544034953e-44,9.829517731200507e-32,1.6159202129690182e-15,2.6896319448980055e-19,6.590673307101372e-30,3.0992188627678777e-19,3.8072479233146755e-51,2.327610248510032e-50,5.074370898008521e-63,3.14371290645419e-70,1.0945084495776762e-62,1.2702645891794087e-18,7.238418561145293e-33,4.017995376766399e-37,1.3487204078647178e-57
3.2492826650183247e-19,0.7047925553207259,1.5891212956147477e-23,1.914435385552859e-25,3.5962912949606627e-32,4.214315361684765e-32,0.0,0.0,1.2301149054586182e-18,1.0837361526984359e-33,2.3582301245540884e-46,2.9562059250748607e-49,2.6058904145282775e-43,6.082597365425676e-57,1.4949984436579674e-38,3.6812991470678754e-37,2.6993122520058196e-18,4.343791079674281e-33,7.643480457920508e-79,4.5903334146338916e-67,2.870708131550969e-44,4.209418972726439e-32,1.8900575543893482e-41,2.5925354178916285e-47,6.159971820720143e-34,5.342695518431861e-59,2.3637790882728848e-34,3.4338304525591586e-15,2.6078483823267684e-46,3.2166766346465394e-33,4.2508721288272573e-47,5.020729286634333e-63,9.691888876316829e-47,5.665639271722642e-48,3.76,0.0,0.7924992244477174,1.0,1.3013895418840822e-43,4.292808637766064e-31,3.4338304525591586e-15,5.715467882835998e-19,2.878320185671752e-29,6.585840083308427e-19,3.3674676724330595e-50,2.0587449054394004e-49,9.029600092499848e-62,5.887826360451087e-69,1.947619420337927e-61,2.6993122520062233e-18,3.1612075559334353e-32,1.7547641432322378e-36,1.192927926972166e-56
6.689699604449492e-19,0.7047925553207263,3.2717263416725455e-23,3.941484630402128e-25,1.5013808227149688e-31,1.7593937077664608e-31,0.0,0.0,2.532589511238954e-18,4.524385103628567e-33,1.982234517393038e-45,2.4848692047496232e-48,2.1904079102811526e-42,5.112789589523524e-56,6.24132421120019e-38,1.5368699273503138e-36,5.557407577658106e-18,1.813447268068717e-32,2.5840615355985446e-77,7.742268241262637e-66,2.413003157700561e-43,1.7573495585283686e-31,7.890618317585441e-41,2.17918223068861e-46,2.5716669758291594e-33,9.011237630095437e-58,9.868312382678602e-34,7.069650931739421e-15,2.1930269499372552e-45,1.3428991745675462e-32,3.573114158473669e-46,8.468211145154294e-62,8.146617164160484e-46,4.762935683283289e-47,3.76,0.0,0.7924992244477137,1.0,1.093896324696288e-42,1.792163102160024e-30,7.069650931739421e-15,1.1767139758482175e-18,1.2016420176472715e-28,1.355908252415639e-18,2.83055948378145e-49,1.7304991416737552e-48,1.5229763302354792e-60,1.016975586658987e-67,3.2849449149069375e-60,5.5574075776597866e-18,1.3197419261069863e-31,7.325794872056819e-36,1.002727801900394e-55
1.3570533483311825e-18,0.7047925553207273,6.636955036802876e-23,7.995583160495312e-25,6.133630550962126e-31,7.187697398627108e-31,0.0,0.0,5.1375387228015464e-18,1.8483589418837457e-32,1.6251556243335466e-44,2.0372459034537954e-47,1.795828743783785e-41,4.1917738070605595e-55,2.5497845896372046e-37,6.278615121274494e-36,1.1273598228959787e-17,7.408523803359294e-32,8.498279264650293e-76,1.2716698835657187e-64,1.9783257761788032e-42,7.179346355574674e-31,3.2235751180218237e-40,1.7866252533196295e-45,1.0506098710258423e-32,1.4800985452968224e-56,4.031527603414836e-33,1.434129189009988e-14,1.798363285940749e-44,5.486181305391288e-32,2.929454865473737e-45,1.3909076104023436e-60,6.679089181225073e-45,3.905190949344027e-46,3.76,0.0,0.7924992244477064,1.0,8.968422976469309e-42,7.321571040742253e-30,1.434129189009988e-14,2.3870483508855303e-18,4.909099728024322e-28,2.7505567404919752e-18,2.3206636799278434e-48,1.4187677486423287e-47,2.5014950517704247e-59,1.68972015666045e-66,5.395531961430152e-59,1.1273598228966657e-17,5.3915763893335715e-31,2.99282624009683e-35,8.220968342281543e-55
2.7332201241036493e-18,0.7047925553207292,1.3367486839122472e-22,1.610378038226026e-24,2.4793115383658872e-30,2.9053822312386698e-30,0.0,0.0,1.0347437145934414e-17,7.471362370269014e-32,1.3160931681068585e-43,1.649814551664247e-46,1.4543086767237986e-40,3.394607107762468e-54,1.0306636986533017e-36,2.5379166182274545e-35,2.27059795315516e-17,2.994643773442928e-31,2.756792521396246e-74,2.061431681497132e-63,1.6020995050858803e-41,2.902006584751248e-30,1.303020660435968e-39,1.4468554514552267e-44,4.2467330765300744e-32,2.399303570582966e-55,1.6296079158699633e-32,2.888457380682053e-14,1.456515712576242e-43,2.217602200189659e-31,2.37234850113273e-44,2.2547222830492736e-59,5.408899678603036e-44,3.1626240148539355e-45,3.76,0.0,0.7924992244476918,1.0,7.262861452110873e-41,2.959496076515661e-29,2.888457380682054e-14,4.807717100592464e-18,1.9843365996571965e-27,5.539853716271622e-18,1.8793336151498297e-47,1.1489549067974519e-46,4.0550327693455454e-58,2.7546703489236422e-65,8.746389878283533e-58,2.2705979531579355e-17,2.179361380458276e-30,1.2097482174711076e-34,6.657553306061632e-54
5.4855536756485826e-18,0.7047925553207328,2.682884809199729e-22,3.2320175472104558e-24,9.96920266255822e-30,1.1682414339909573e-29,0.0,0.0,2.0767233992230873e-17,3.004201948844585e-31,1.0593062928232533e-42,1.3279142816090652e-45,1.1705541449887072e-39,2.7322751240361805e-53,4.144253401838219e-36,1.0204851098570684e-34,4.5570742136689e-17,1.2041330903961934e-30,8.882011205203977e-73,3.3198721734961537e-62,1.289509061162714e-40,1.1668840842041513e-29,5.2393892266801006e-39,1.164555140796705e-43,1.7075926920831178e-31,3.864004471443939e-54,6.552581756865264e-32,5.797113764026077e-14,1.1723922730859831e-42,8.916880913742651e-31,1.9094724630861847e-43,3.6311616126126024e-58,4.353553061872303e-43,2.545594548545699e-44,3.76,0.0,0.7924992244476627,1.0,5.8457827572757124e-40,1.190000356028916e-28,5.797113764026079e-14,9.64905459853557e-18,7.978930191625036e-27,1.1118447666338813e-17,1.5126511916011825e-46,9.247788656619043e-46,6.530506463436461e-57,4.4488000692149215e-64,1.4085791308948026e-56,4.5570742136800614e-17,8.763116259025569e-30,4.8643443761883564e-34,5.3585780939357305e-53
1.099022077873845e-17,0.7047925553207403,5.375276119068868e-22,6.475296823705135e-24,3.998096159893092e-29,4.685170796575669e-29,0.0,0.0,4.160682768494669e-17,1.2048193477068337e-30,8.50026609019077e-42,1.0655675815620858e-44,9.392959823580998e-39,2.1924787136640928e-52,1.662030970232052e-35,4.092601712289039e-34,9.130026734677894e-17,4.829112254309577e-30,2.8519296910644953e-71,5.329130081946857e-61,1.03474981107919e-39,4.6797270790349853e-29,2.1012297862690974e-38,9.344821591855127e-43,6.84821043331569e-31,6.202582954292348e-53,2.6278783558145273e-31,1.1614426530713693e-13,9.407956327141995e-42,3.576068064032671e-30,1.53223139680116e-42,5.828819272946588e-57,3.493452169577869e-42,2.0426951382100897e-43,3.76,0.0,0.7924992244476045,1.0,4.690872517724439e-39,4.772433668332392e-28,1.1614426530713695e-13,1.933172958853872e-17,3.19990787217211e-26,2.22756355605048e-17,1.2138073174931906e-45,7.420767989199161e-45,1.0482910120844271e-55,7.151316492856384e-63,2.261081461478584e-55,9.130026734722657e-17,3.514401559822239e-29,1.9508196582893394e-33,4.299921447590387e-52
