Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383)
0.0,0.2374160015912059,3.76,0.0,0.5885306109803392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.273353721317596e-21,0.23741600159120593,3.76,0.0,0.588530610980339,1.0,2.2606493686724404e-46,7.675186001268117e-18,5.695840399756233e-34,2.9358209968658477e-16,2.9358209968658477e-16,1.4810035214886637e-34,4.988685898274561e-33,4.98766430898631e-33,1.0780020892965052e-45,8.259490106966445e-46,3.5024834074324844e-19,3.326836125073294e-35,1.452554249399737e-19,5.1793419227307265e-24,8.440911993554914e-31,2.0499809514352041e-19,1.8452672185503277e-34,1.0792025078114995e-34,1.756518838135404e-46,2.918256765849348e-24,1.0024474913261074e-51,7.998127822971896e-54,1.6176807560773248e-34,2.061043011718159e-49,2.4702662217419056e-70,2.2980947104883632e-35,4.141623104639809e-51,1.1045823064955425e-64,8.602956401294287e-57,1.6151695826682332e-79,7.393187770663994e-19,4.365013752881324e-34,7.393187770663909e-19,1.927022047437713e-37,2.2222298376876595e-65,1.0292112144538415e-50,5.265528524604655e-20,2.178981594633198e-50,5.139771082799628e-68,2.5550877186893574e-35,2.624703376619449e-49,5.465765257988865e-61,7.560239550236464e-53,1.5605700602155188e-64,1.5459252614602454e-59,9.601165801774875e-46,1.0151586682038833e-65,4.644219932598003e-53,2.3587220824555372e-66,1.0964112173103713e-83,1.6856500967168268e-83,6.959379544292237e-89,2.3957578288846803e-34,1.1532815757801026e-49,1.5898312076812464e-68,2.5954252933406386e-55,1.2533906609749704e-67,2.0388233309524333e-48,5.265528524600953e-20,6.6590783907962305e-52,7.675186001268107e-18,2.0024321699762558e-35,3.578916364609324e-32,1.7039126703936036e-50,3.297134130787023e-49
6.365390419689269e-21,0.23741600159120593,3.76,0.0,0.5885306109803383,1.0,2.683842930599913e-45,2.1490520803550744e-17,3.4402876015271544e-33,8.220298791224369e-16,8.220298791224369e-16,8.945261269612722e-34,3.013166282641052e-32,3.012549242627329e-32,1.2798041095896212e-44,9.805666656723402e-45,9.806953540810998e-19,2.0094090195442688e-34,4.0671518983058566e-19,1.4502160114395987e-23,5.098310844095126e-30,5.739946664004997e-19,1.1145414000051767e-33,6.5183831472075255e-34,2.085339164634121e-45,8.171118944458142e-24,1.1905883361189929e-50,9.49537735151341e-53,9.77079176665194e-34,2.4468702635056668e-48,5.525886727405375e-69,1.388049205131157e-34,4.917447070859568e-50,2.471230070764985e-63,1.0213429839591171e-55,6.665894326489986e-78,2.0700925757859115e-18,2.6364683067403085e-33,2.0700925757858595e-18,1.1639213166627687e-36,4.971039257630048e-64,1.2248698709794355e-49,1.474347986889342e-19,3.2928668792685114e-49,1.1497462321379182e-66,1.5432729820867904e-34,3.134665446981128e-48,1.2296757720862885e-59,1.1425034008516351e-51,1.852755437437042e-63,1.835322470467113e-58,1.139850403985929e-44,2.8629098697212013e-64,7.01834516214067e-52,5.514617757784699e-65,4.7237157788580573e-82,6.956771311646285e-82,2.9983395322329327e-87,1.4470377286470429e-33,1.422994369075459e-48,3.5563888190688205e-67,3.922206705262033e-54,2.8143720679319704e-66,2.424444256191005e-47,1.474347986887106e-19,1.00631992644706e-50,2.1490520803550682e-17,1.2094690306656915e-34,2.1616654842224083e-31,2.0228851223117857e-49,3.9143576400654724e-48
1.4549463816432617e-20,0.237416001591206,3.76,0.0,0.5885306109803372,1.0,2.635012904317463e-44,4.912119040811608e-17,1.6563503883606967e-32,1.8789254379941385e-15,1.878925437994139e-15,4.306758240220824e-33,1.4507098593430696e-31,1.4504127810526153e-31,1.2565192767146828e-43,9.627261671130765e-44,2.2415893807568177e-18,9.674439451713125e-34,9.29634719606447e-19,3.3147807420726307e-23,2.4546172077077054e-29,1.3119878089090278e-18,5.3660370715560346e-33,3.138320892754945e-33,2.0473983577299124e-44,1.8676843301995604e-23,1.1691381935576946e-49,9.322617790707636e-52,4.704215638590212e-33,2.402351734439681e-47,1.0918220981874132e-67,6.682859418042951e-34,4.8282031026149344e-49,4.883039995883666e-62,1.002760598126984e-54,2.6371306458271752e-76,4.731640173224909e-18,1.269345999337872e-32,4.731640173224658e-18,5.6037801141017526e-36,9.821935880955294e-63,1.2038948419468046e-48,3.3699382557472514e-19,3.542312447474799e-48,2.2717048058936066e-65,7.430195085924939e-34,3.0857912452936214e-47,2.4363870209850744e-58,1.2290530232786671e-50,1.8191450194194573e-62,1.8019304849411684e-57,1.119111885852449e-43,6.227454304380011e-63,7.550015460020965e-51,1.1112782715534083e-63,1.90684779083772e-80,2.7522060691902794e-80,1.2103558683217224e-85,6.966863766407092e-33,1.42068724960379e-47,7.026825006664613e-66,4.219330997363293e-53,5.570085897429656e-65,2.3820660152716025e-46,3.369938255736486e-19,1.0825530559473778e-49,4.912119040811578e-17,5.823072750291438e-34,1.0407488788259563e-30,1.986080608674333e-48,3.8431395428302214e-47
3.0917610609919305e-20,0.2374160015912061,3.76,0.0,0.588530610980335,1.0,2.33063907338901e-43,1.0438252961724706e-16,7.233717308843449e-32,3.992716555737534e-15,3.992716555737534e-15,1.8808744720134542e-32,6.33563109209858e-31,6.334333672406378e-31,1.111377075702771e-42,8.515203923125996e-43,4.763377434108318e-18,4.225081878843067e-33,1.9754737791367194e-18,7.043914572538619e-23,1.0719958231628083e-28,2.7879740939043617e-18,2.3434893675709864e-32,1.3705871849610125e-32,1.810900661362577e-43,3.968829201835002e-23,1.0341734900623467e-48,8.24574986089941e-51,2.0544545601328006e-32,2.1248529033210455e-46,1.94283908792081e-66,2.9185802822611086e-33,4.270580088981104e-48,8.689357330433426e-61,8.869303931312894e-54,9.412008859750227e-75,1.0054735368102797e-17,5.543567466159108e-32,1.0054735368101703e-17,2.44731800040249e-35,1.7477610114844862e-61,1.0653517471722417e-47,7.161118793463693e-19,3.2559941648745345e-47,4.042377325364924e-64,3.244961402710982e-33,2.7325873586054566e-46,4.3409021707431763e-57,1.1297114756850134e-49,1.609188802716378e-61,1.593787107933446e-56,9.898417894946788e-43,1.154465075242849e-61,6.939764960871673e-50,1.995136329478913e-62,6.8679983334884e-79,9.822716954901756e-79,4.35940515363526e-84,3.042612442694334e-32,1.2659476030542718e-46,1.2503859668040269e-64,3.87829212134419e-52,9.919319538362187e-64,2.1075983739726013e-45,7.16111879341668e-19,9.950527660340636e-49,1.0438252961724576e-16,2.5430888558703438e-33,4.5452237830286786e-30,1.7566658068024423e-47,3.39921340344441e-46
6.365390419689268e-20,0.23741600159120632,3.76,0.0,0.5885306109803307,1.0,1.9590425728562795e-42,2.1490520803551031e-16,3.019934580988484e-31,8.220298791224292e-15,8.220298791224295e-15,7.852280668438559e-32,2.6450012644260715e-30,2.6444596166189303e-30,9.341793996321739e-42,7.157541976995414e-42,9.806953540811581e-18,1.7638885135138465e-32,4.067151898111462e-18,1.45021997102703e-22,4.475371538814822e-28,5.7399466638081404e-18,9.783606792862464e-32,5.721931696780245e-32,1.5221711208240113e-42,8.171118945617676e-23,8.693184359840509e-48,6.931049602300732e-50,8.576943367953356e-32,1.786066897194365e-45,3.2768820932011263e-65,1.2184498154477287e-32,3.5897152222319633e-47,1.4656070817896843e-59,7.455184369758985e-53,3.180149720808307e-73,2.070092575785815e-17,2.31433029177752e-31,2.0700925757853577e-17,1.0217070896918174e-34,2.947854403551578e-60,8.9569866410172e-47,1.474347986889907e-18,2.7855710773859503e-46,6.818060205516701e-63,1.354707508427046e-32,2.29818891817857e-45,7.325951082388626e-56,9.66491952138454e-49,1.3529156081121833e-60,1.33967409745892e-55,8.32021666507268e-42,1.984230497236903e-60,5.937115031173993e-49,3.3793908669313295e-61,2.3307061023479204e-77,3.3189206520244854e-77,1.4793964268566336e-82,1.2702308008843696e-31,1.0678186520512779e-45,2.1089586968107185e-63,3.317960575670726e-51,1.6736607670122673e-62,1.7718361916979334e-44,1.47434798687028e-18,8.512885910618586e-48,2.1490520803550494e-16,1.0616895365218587e-32,1.897541456493217e-29,1.4765834578024918e-46,2.857243683536284e-45
1.2912649137083946e-19,0.23741600159120665,3.76,0.0,0.588530610980322,1.0,1.6061414618063754e-41,4.35950564872042e-16,1.2337418148274107e-30,1.6675463262197682e-14,1.667546326219769e-14,3.207912865573437e-31,1.0805693212927583e-29,1.0803480399789205e-29,7.658967133591714e-41,5.868185353198769e-41,1.989410575421914e-17,7.206060120353642e-32,8.250508135717744e-18,2.941883989293244e-22,1.8283353013097342e-27,1.1643891803268148e-17,3.996922606160723e-31,2.337595800327933e-31,1.2479678505546362e-41,1.657569843523021e-22,7.127330287939976e-47,5.682493221188547e-49,3.5039612242429695e-31,1.4643255518729686e-44,5.3822886782451265e-64,4.977765066255782e-32,2.943079482053161e-46,2.4072800282280613e-58,6.112210569331856e-52,1.0455708207860615e-71,4.199330653736716e-17,9.454794389289734e-31,4.199330653734848e-17,4.174006836817762e-34,4.84185970825084e-59,7.344299869291087e-46,2.9908202019779807e-18,2.303163846336312e-45,1.1198684360906621e-61,5.534422202003199e-32,1.8847053167362722e-44,1.2036400802071334e-54,7.991142364416896e-48,1.109686479436064e-59,1.0983457653926978e-54,6.821416308262737e-41,3.2887165325772373e-59,4.908921520304276e-48,5.562179438248147e-60,7.679261751391678e-76,1.0911959797189987e-75,4.874347900209379e-81,5.18930728775961e-31,8.769399619108366e-45,3.463971003948577e-62,2.7433539898225666e-50,2.7494963041809763e-61,1.4527669043659752e-43,2.990820201897797e-18,7.038618698259911e-47,4.3595056487201995e-16,4.337348177459154e-32,7.752076002206642e-29,1.2105923303345e-45,2.342540999104558e-44
2.6007166571873297e-19,0.2374160015912075,3.76,0.0,0.5885306109803046,1.0,1.3006949981404244e-40,8.78041278545126e-16,4.986981677553058e-30,3.358579220414394e-14,3.3585792204143986e-14,1.2966896694951756e-30,4.3678339689476036e-29,4.366939510365274e-29,6.202430160071315e-40,4.752208641919131e-40,4.006841018103841e-17,2.9128047156355757e-31,1.6617220609557475e-17,5.9252399887051855e-22,7.390423612963026e-27,2.3451782080797947e-17,1.615620022742956e-30,9.448935975626258e-31,1.0106367211267702e-40,3.3384857422644e-22,5.771949723481549e-46,4.601830340470583e-48,1.416357150086687e-30,1.1858487970072294e-43,8.72492188697677e-63,2.012092227208147e-31,2.3833876782290766e-45,3.902317468837078e-57,4.9498265883773575e-51,3.391295387464567e-70,8.457806809637838e-17,3.8217790613066455e-30,8.457806809630289e-17,1.687200300564396e-33,7.848863232320472e-58,5.947931980950665e-45,6.023764632158119e-18,1.8728945154552518e-44,1.8153549933074324e-60,2.237101941769458e-31,1.5264871513104729e-43,1.9514325516102007e-53,6.498264261956795e-47,8.994376602983565e-59,8.894688783174373e-54,5.524159783460079e-40,5.3548223291369166e-58,3.9918534549769134e-47,9.02578298017235e-59,2.493388702368692e-74,3.539279998304054e-74,1.582657862100265e-79,2.0976009756319714e-30,7.107582003698685e-44,5.615246307751109e-61,2.2308499411225066e-49,4.457457206676075e-60,1.1765316047504623e-42,6.023764631834005e-18,5.723687837979075e-46,8.780412785450369e-16,1.7532254815614807e-31,3.1335130650432445e-28,9.803690561757374e-45,1.8970504354694646e-43
5.219620144145201e-19,0.23741600159120899,3.76,0.0,0.5885306109802697,1.0,1.0469124929571727e-39,1.7622227058913765e-15,2.0052434019579154e-29,6.740645008803437e-14,6.740645008803458e-14,5.213932123451233e-30,1.7562868317890744e-28,1.7559271706041746e-28,4.9922553932670184e-39,3.824990947671625e-39,8.041701903469356e-17,1.1712259651764756e-30,3.335064555174564e-17,1.1892063839047076e-21,2.971656830029988e-26,4.7067562630296705e-17,6.496337054208804e-30,3.7993755989051074e-30,8.134483565642086e-40,6.700317543022647e-22,4.645788403117731e-45,3.703953410401635e-47,5.695109804658569e-30,9.544742781789897e-43,1.4051217727767762e-61,8.09053434905739e-31,1.9183599938299004e-44,6.284572230283922e-56,3.9840510628179263e-50,1.0925528232404559e-68,1.6974759121437367e-16,1.5367205517559973e-29,1.6974759121407008e-16,6.78415820678583e-33,1.2640352253692488e-56,4.787543946431654e-44,1.2089653492534365e-17,1.5105572473783276e-43,2.923573252437343e-59,8.995288515909003e-31,1.2287311161259346e-42,3.1429459563024805e-52,5.241085550715201e-46,7.25209001270496e-58,7.159219368675572e-53,4.446324384555743e-39,8.642704828102031e-57,3.219574426214603e-46,1.4543160099983485e-57,8.037016423733257e-73,1.140228117147178e-72,5.101429720573046e-78,8.434361267450369e-30,5.723155007565597e-43,9.043181191684452e-60,1.7992613553998282e-48,7.178922636039425e-59,9.469922874975662e-42,1.2089653491231118e-17,4.6163616074138943e-45,1.7622227058910184e-15,7.049642551713421e-31,1.259971821698243e-27,7.890863071461473e-44,1.526911229991419e-42
1.0457427118060941e-18,0.2374160015912121,3.76,0.0,0.5885306109802,0.9999999999999999,8.400813442286418e-39,3.530585560584207e-15,8.041922932593612e-29,1.3504776585580696e-13,1.3504776585580774e-13,2.0910199746186798e-29,7.043495740483301e-28,7.042053311616636e-28,4.0059705522421263e-38,3.0693143457361196e-38,1.6111423674207018e-16,4.6971399639736055e-30,6.681749541415677e-17,2.382615894580263e-21,1.1917672990583954e-25,9.429912370705078e-17,2.605321714762183e-29,1.5237195472188624e-29,6.52741076944677e-39,1.3423981157641099e-21,3.7279610523077515e-44,2.9721893485391972e-46,2.2839937499235907e-29,7.659054972815831e-42,2.2555316338487813e-60,3.244666130749444e-30,1.5393639761288173e-43,1.0088138450628938e-54,3.1969500700337245e-49,3.5079609300405784e-67,3.400866374502556e-16,6.162936727603503e-29,3.400866374490382e-16,2.7207508730065197e-32,2.0290564734806376e-55,3.841754800244638e-43,2.4221431213350718e-17,1.2133617169135042e-42,4.6929825439437905e-58,3.6075130184878264e-30,9.86011896866398e-42,5.0453034667346306e-51,4.209924949095452e-45,5.839620281994462e-57,5.7448226964170486e-52,3.5678952985361813e-38,1.388859463863035e-55,2.5861372670285433e-45,2.335093063338972e-56,2.5811955294716705e-71,3.6610364287243345e-71,1.6383925197049784e-76,3.3825561044972916e-29,4.5934126685648156e-42,1.4516308965089351e-58,1.4452646647491708e-47,1.15240213956958e-57,7.599085848464411e-41,2.4221431208124114e-17,3.708112709665378e-44,3.5305855605827703e-15,2.8272219662167597e-30,5.053050540663246e-27,6.331920674566932e-43,1.2252501003453805e-41
2.093304106589242e-18,0.23741600159121828,3.76,0.0,0.5885306109800607,0.9999999999999998,6.730873665593437e-38,7.0673112699711875e-15,3.2209638367591384e-28,2.7033039739131893e-13,2.7033039739132206e-13,8.374986555096664e-29,2.8210721853111934e-27,2.8204944400475525e-27,3.2096512825290144e-37,2.4591865057494552e-37,3.2250867215708895e-16,1.8813060007851384e-29,1.3375119505111815e-16,4.769613878359865e-21,4.773285418383425e-25,1.8876224577158544e-16,1.0434876146943738e-28,6.102825874488818e-29,5.229871781038458e-38,2.6871308439285845e-21,2.9869087483236664e-43,2.381368323253721e-45,9.147888233768618e-29,6.136564230426768e-41,3.614731805129021e-59,1.2995588601933988e-29,1.2333647807670064e-42,1.6167332397781897e-53,2.561450402947788e-48,1.1244382485341205e-65,6.80764729921585e-16,2.468389261766705e-28,6.807647299167088e-16,1.0897194878806383e-31,3.251781007043896e-54,3.07809975233574e-42,4.8484986655238885e-17,9.72659595442867e-42,7.521008791253032e-57,1.444886875790583e-29,7.900224076020977e-41,8.08578422315871e-50,3.37477595060387e-44,4.711291405398155e-56,4.602849036175478e-51,2.858657987920875e-37,2.2270075260112868e-54,2.0731091189854437e-44,3.742712814460707e-55,8.274820289883535e-70,1.1735049140033912e-69,5.25237375919898e-75,1.354786773872428e-28,3.680696179222904e-41,2.3263946155108643e-57,1.158558670688941e-46,1.8468691504167242e-56,6.088543604488615e-40,4.8484986634305204e-17,2.972511338063628e-43,7.067311269965434e-15,1.132363457642137e-29,2.023855873017833e-26,5.073241828901391e-42,9.816910791764839e-41
4.188426896155539e-18,0.2374160015912306,3.76,0.0,0.588530610979782,0.9999999999999994,5.388791614299078e-37,1.414076268875043e-14,1.2892249573092835e-27,5.408956604622103e-13,5.408956604622229e-13,3.3521771699788073e-28,1.1291640837627204e-26,1.1289328180013155e-26,2.56967263123028e-36,1.9688444946141553e-36,6.452975429881889e-16,7.530126828072779e-29,2.676185939735975e-16,9.544325695631306e-21,1.9105581189727193e-24,3.7768848954476046e-16,4.176669867575397e-28,2.442720797447241e-28,4.187077410511697e-37,5.376596321220683e-21,2.3913445145250884e-42,1.906542641548658e-44,3.6615392907225993e-28,4.912982671262835e-40,5.7882805487684654e-58,5.201622181110533e-29,9.874419052630389e-42,2.5888801545597335e-52,2.0507177910237186e-47,3.601230827412121e-64,1.3621209148625059e-15,9.879989855111787e-28,1.3621209148429882e-15,4.361717862945719e-31,5.207086321854586e-53,2.4643597706985966e-41,9.701209754003711e-17,7.789165361103136e-41,1.2043413221639975e-55,5.783312983802312e-29,6.325034989002085e-40,1.2947904370358346e-48,2.7025578558023495e-43,3.823919675228865e-55,3.685078022203263e-50,2.2886645758998045e-36,3.5670823617809303e-53,1.6601686604729941e-43,5.993597229079096e-54,2.650344366517488e-68,3.758376307038261e-68,1.682284172824649e-73,5.42267777314137e-28,2.9469454749872634e-40,3.7252628549795552e-56,9.277868156461522e-46,2.95741373563389e-55,4.874548035827028e-39,9.701209745624779e-17,2.380419929642935e-42,1.4140762688727397e-14,4.5324048549714926e-29,8.100697809376028e-26,4.061678234222642e-41,7.859497729994691e-40
8.378672475288133e-18,0.23741600159125534,3.76,0.0,0.5885306109792247,0.9999999999999988,4.312671091205189e-36,2.8287665526330027e-14,5.158579244184542e-27,1.0820261866034624e-12,1.0820261866035127e-12,1.3413074800420835e-27,4.5181272754974125e-26,4.517201774440155e-26,2.056519080569115e-35,1.5756739666685591e-35,1.2908752846546365e-15,3.013031575668578e-28,5.353533904127825e-16,1.9096612729009254e-20,7.644721073388367e-24,7.555409756675331e-16,1.671211984747734e-27,9.77406502361395e-28,3.350934466301028e-36,1.075552735965755e-20,1.9138029260759122e-41,1.525813564965641e-43,1.4650926448560247e-27,3.931879281789856e-39,9.265018511348467e-57,2.081326408871666e-28,7.902536833866459e-41,4.1438946580438004e-51,1.6411974832791097e-46,1.152878667707888e-62,2.7248332847373952e-15,3.9532828703010996e-27,2.7248332846592984e-15,1.74525530162764e-30,8.334729055989301e-52,1.972240113741099e-40,1.9406631931372098e-16,6.2344892700023055e-40,1.9277304390043792e-54,2.3140785023366e-28,5.0619711012851076e-39,2.072517089369758e-47,2.1631416957741863e-42,3.143564542317245e-54,2.9491824906377438e-49,1.8316272312063163e-35,5.7104297994472795e-52,1.3288078029447867e-42,9.593963223759324e-53,8.484947194231987e-67,1.2031863761077863e-66,5.385750077914195e-72,2.169777446884982e-27,2.3585122121067462e-39,5.962847915375952e-55,7.426058841420922e-45,4.733801676412341e-54,3.901124327176215e-38,1.9406631897845462e-16,1.9053008144309103e-41,2.8287665526237876e-14,1.8135523151127323e-28,3.2413342858482287e-25,3.2505770509333107e-40,6.289986837084363e-39
1.6759163633553317e-17,0.2374160015913048,3.76,0.0,0.5885306109781099,0.9999999999999974,3.4507921760739924e-35,5.65814712015737e-14,2.0637677015368056e-26,2.164287238883844e-12,2.1642872388840455e-12,5.366103093139654e-27,1.8075452218895727e-25,1.807174851764622e-25,1.6455277209485825e-34,1.2607785716080875e-34,2.5820307680045268e-15,1.2054088270997785e-27,1.0708229776680585e-15,3.8212640390994446e-20,3.058386207936255e-23,1.5112459422187697e-15,6.685936177072923e-27,3.910262492456754e-27,2.6812566964885487e-35,2.151338977194261e-20,1.5313333241989671e-40,1.2208826995995994e-42,5.861324518353428e-27,3.1461007978418286e-38,1.482704615651679e-55,8.32666086394241e-28,6.32323033807132e-40,6.631580895000983e-50,1.3132073346355344e-45,3.6899875946832087e-61,5.450258024459366e-15,1.581570570426824e-26,5.4502580241469305e-15,6.982157779638056e-30,1.3338279539236618e-50,1.5780930539710013e-39,3.8817476287743857e-16,4.988854516854128e-39,3.084996317501152e-53,9.25782082608761e-28,4.050354265251745e-38,3.3167094048355755e-46,1.730951688800277e-41,2.6485811629301796e-53,2.359794240370582e-48,1.465580070940344e-34,9.139166798239551e-51,1.0633154575504806e-41,1.5353708316060627e-51,2.7157985361037136e-65,3.851006115875123e-65,1.7238306680801074e-70,8.680522670876014e-27,1.8871921811410086e-38,9.542502102857814e-54,5.942357907847523e-44,7.575635629113778e-53,3.121493950652778e-37,3.8817476153615474e-16,1.5246267833039268e-40,5.658147120120502e-14,7.255390175217455e-28,1.2967447752280748e-24,2.6009555756584848e-39,5.032945124632262e-38
3.3520145950083686e-17,0.2374160015914036,3.76,0.0,0.5885306109758803,0.9999999999999949,2.7608959592194287e-34,1.131690825523989e-13,8.255743445945837e-26,4.328809343436117e-12,4.3288093434369225e-12,2.1466157438632976e-26,7.230770206415182e-25,7.229287729773599e-25,1.3165471719030998e-33,1.008718624793738e-33,5.1643417347722814e-15,4.822027730001475e-27,2.1417621296862344e-15,7.649051009499431e-20,1.2234540365232492e-22,3.0226558525440082e-15,2.674592140061323e-26,1.56423232312477e-26,2.1452090275369234e-34,4.302911593816307e-20,1.2251830577007984e-39,9.767989364811106e-42,2.3447205654438985e-26,2.5171195917319937e-37,2.372568763704341e-54,3.330935380620817e-27,5.0590646344105976e-39,1.0611609046893463e-48,1.0506656088466312e-44,1.1809201624285374e-59,1.0901107503792075e-14,6.32679716289811e-26,1.0901107502542228e-14,2.7930905213548594e-29,2.1343416758266506e-49,1.2625948086700523e-38,7.763916500702732e-16,3.991588915461834e-38,4.936496262024105e-52,3.703429702832018e-27,3.240594356215722e-37,5.3072806973893325e-45,1.384936802454724e-40,2.332289400376813e-52,1.8880149073379478e-47,1.1725753803447545e-33,1.4624650443353977e-49,8.507600646718256e-41,2.4568627834194807e-50,8.691540300815646e-64,1.232451504956891e-63,5.516883358956994e-69,3.4724916706104346e-26,1.5099067167587007e-37,1.5269569753143555e-52,4.7544983189579525e-43,1.212226207249136e-51,2.497432985160593e-36,7.763916447047013e-16,1.2198560409387402e-39,1.1316908255092402e-13,2.9023922701118807e-27,5.187401240003347e-24,2.0809621259376466e-38,4.026738385781134e-37
