Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32)
1.451802023064728e-17,0.4500928921599709,3.76,0.0,1.0006062351234442,0.9999999999999999,7.580881789466175e-38,2.3676392261426565e-27,2.4627162158988543e-28,2.4578626255417707e-13,2.4578626255417727e-13,4.365826838338443e-30,2.166149146917949e-28,2.163079229008238e-28,8.982618930647872e-38,1.1378286716716185e-40,1.121687683983629e-16,8.618761251840763e-30,5.205515526317407e-17,1.1510186080292952e-21,1.3605033988726655e-25,6.011476388418498e-17,2.6678141890040437e-30,1.8930711730257313e-29,1.0351264177660077e-38,1.4939262790407976e-23,1.106958025509219e-44,2.7312239393071676e-46,1.6169371189396263e-28,1.6251557971546963e-41,1.0827382872650017e-59,1.2138680644114868e-29,6.742124626330277e-44,4.23479346592022e-54,7.787790182533603e-50,8.294248224952912e-66,1.711343066252515e-16,2.1516043631455673e-28,1.711343066233366e-16,9.84288242466002e-33,1.5224673860815021e-55,3.4503241564801588e-43,2.5921801461277895e-28,1.2401470502122263e-48,1.0228181823898826e-59,2.701000718246347e-30,5.1293235293316394e-42,3.750537899534658e-51,7.091771685326161e-54,1.4658015587306775e-58,5.719423012101081e-53,3.953571914196291e-51,1.590313503972137e-69,3.216946332403342e-72,3.325309709140526e-56,6.196296651401988e-72,6.7572930744031e-70,3.6807753836470016e-77,2.0570392714472117e-29
2.9048653858540994e-17,0.45009289215999004,3.76,0.0,1.000606235123198,0.9999999999999998,6.0693149666228744e-37,9.476727150351037e-27,9.857282947103564e-28,4.917860666048447e-13,4.917860666048457e-13,1.7474684315767933e-29,8.670242963862622e-28,8.65795406098836e-28,7.191556958993683e-37,9.109548555848245e-40,2.24434990117823e-16,3.4497506147864034e-29,1.0415553641920993e-16,2.3033058779212066e-21,5.445559164087188e-25,1.202817559253408e-16,1.0678209288397429e-29,7.577218178855915e-29,8.28730535199818e-38,2.9891510386800115e-23,8.862394975903838e-44,2.1866398661949076e-45,6.471962315055101e-28,1.3011128007090193e-40,1.733791966064568e-58,4.8586356838571785e-29,5.397799196057631e-43,6.781187073249628e-53,6.2349674495705154e-49,2.656392752766696e-64,3.4241729640034456e-16,8.612024695352171e-28,3.4241729639268e-16,3.939718101705747e-32,2.4379313805939193e-54,2.7623627565785724e-42,1.037547600090617e-27,9.928717033236827e-48,1.637841729662098e-58,1.081104187458234e-29,4.1065776648196135e-41,6.005747221987389e-50,1.135607457678071e-52,1.248684647280912e-57,4.5790160693538845e-52,6.330866187158698e-50,5.093285327071085e-68,1.0302890336283176e-70,5.3248280905928e-55,1.9844833557589854e-70,2.1641532442678347e-68,1.178839216157289e-75,8.233517888352722e-29
5.810992111432843e-17,0.45009289216002846,3.76,0.0,1.0006062351227054,0.9999999999999996,4.857296617045931e-36,3.791925260921693e-26,3.9441971972795826e-27,9.837856747059366e-13,9.837856747059404e-13,6.992149340611312e-29,3.4692275201854755e-27,3.464309373372619e-27,5.755431224334026e-36,7.290408538110361e-39,4.489674335676545e-16,1.380349596776814e-28,2.0835629833342186e-16,4.608686704786771e-21,2.1789329780928012e-24,2.4061573960293104e-16,4.2726746228949456e-29,3.0318742506321845e-28,6.632362959843324e-37,5.979602187400405e-23,7.092609432494929e-43,1.7499764793282442e-44,2.5896279217887827e-27,1.0412856732065568e-39,2.775196278525345e-57,1.9440871359372613e-28,4.3198798495486264e-42,1.0854315525817597e-51,4.989868883483212e-48,8.504031988899017e-63,6.84983275947512e-16,3.4459316462841644e-27,6.849832759168437e-16,1.5764004148516322e-31,3.902277690877353e-53,2.2107319070215318e-41,4.1515418686740274e-27,7.945991176882443e-47,2.6216134180063166e-57,4.325824945709558e-29,3.2865101935311403e-40,9.613106748354693e-49,1.8177114865641687e-51,1.119616298086725e-56,3.664604520954931e-51,1.0133508850279493e-48,1.6305368088759267e-66,3.29831160325651e-69,8.523192707428545e-54,6.353017639962929e-69,6.928202954484062e-67,3.773872085287576e-74,3.2944796235188173e-28
1.1623245562590331e-16,0.45009289216010545,3.76,0.0,1.0006062351217202,0.9999999999999991,3.8865753748794727e-35,1.5170170196382557e-25,1.577935747915762e-26,1.9677848909071455e-12,1.967784890907161e-12,2.7973145826043364e-28,1.3879176972881918e-26,1.3859493302167462e-26,4.6052194245594474e-35,5.833436283822868e-38,8.980323205109627e-16,5.522297217071898e-28,4.1675782057040653e-16,9.222673506816204e-21,8.71715071254629e-24,4.812837053392255e-16,1.7093480741139622e-28,1.2129471246209077e-27,5.306898050842936e-36,1.1960511002635612e-22,5.675165143772992e-42,1.4002471010856352e-43,1.0360197820658793e-26,8.33186742901202e-39,4.441217591725829e-56,7.77761442357647e-28,3.4565602065555164e-41,1.7370438637834333e-50,3.992653226224595e-47,2.7218623901449165e-61,1.3701152350297723e-15,1.378597044090223e-26,1.3701152349070788e-15,6.306628166691389e-31,6.244914095120189e-52,1.7689222285812103e-40,1.660887079623396e-26,6.358000232180552e-46,4.195435028674335e-56,1.7306116530552134e-28,2.62970747284965e-39,1.5384100456630749e-47,2.9089301535489855e-50,1.0883621903573161e-55,2.9322404127355714e-50,1.621691332786466e-47,5.2188148856919025e-65,1.0556816583782559e-67,1.3639883196115152e-52,2.0333930972025364e-67,2.217491004576731e-65,1.207892987752419e-72,1.3180063752843463e-27
2.3247752464905307e-16,0.45009289216025933,3.76,0.0,1.00060623511975,0.9999999999999982,3.1095556696282734e-34,6.068561943811936e-25,6.312256996128362e-26,3.9357833233056654e-12,3.935783323305727e-12,1.1190165357172144e-27,5.552128920632135e-26,5.544248506263623e-26,3.6845253476808373e-34,4.667194998584921e-37,1.7961620945721597e-15,2.2090986657960276e-27,8.3356085867861955e-16,1.8463547703838994e-20,3.4871440437959425e-23,9.626196303362714e-16,6.837948816559126e-28,4.852183378778958e-27,4.2459215510958627e-35,2.3922354704496294e-22,4.540563179082102e-41,1.120304101300541e-42,4.1444163004114746e-26,6.666126787776581e-38,7.106671120400139e-55,3.1112989432091404e-27,2.76551070741113e-40,2.7795529045874105e-49,3.1944258418189308e-46,8.710875037800985e-60,2.7403791531459958e-15,5.514836979373641e-26,2.7403791526551807e-15,2.522856592944314e-30,9.992876870512127e-51,1.4152723987759892e-39,6.644089021198376e-26,5.08688317376385e-45,6.713379064160315e-55,6.923009965682443e-28,2.103965705486268e-38,2.4617064528505634e-46,4.654761673824286e-49,1.1788000201553696e-54,2.3460150896749983e-49,2.5949700937246926e-46,1.6701963208358392e-63,3.3785365612058115e-66,2.1826033161812986e-51,6.507541887804352e-66,7.09671651592814e-64,3.865663872846178e-71,5.272454596930531e-27
4.649676626953525e-16,0.45009289216056714,3.76,0.0,1.0006062351158094,0.9999999999999964,2.4877628590043865e-33,2.4275235537336776e-24,2.5250057869030765e-25,7.871780188087108e-12,7.871780188087358e-12,4.476245370054462e-27,2.2209469744661054e-25,2.217789636022097e-25,2.947760197035987e-33,3.733937825518057e-36,3.592421643392876e-15,8.836754235295585e-27,1.6671669094320211e-15,3.699689846790589e-20,1.3949143541212943e-22,1.925291454428191e-15,2.7352908590574226e-27,1.9409523331339248e-26,3.396898484332595e-34,4.784614639547921e-22,3.632622944344793e-40,8.962859187186637e-42,1.6578338941390726e-25,5.333154516953389e-37,1.1371252356947542e-53,1.2445701976680352e-26,2.212513561768493e-39,4.4475107868973374e-48,2.555661953335976e-45,2.7876263697107606e-58,5.480906989185252e-15,2.206024555467358e-25,5.4809069872219134e-15,1.0091837120452892e-29,1.598940924970545e-49,1.1322716407677103e-38,2.65774375278463e-25,4.069699776789997e-44,1.07419532242214e-53,2.7693166320153715e-27,1.6832524253922751e-37,3.938930563563483e-45,7.447997281351194e-48,1.4359519519885476e-53,1.876901207980842e-48,4.152163316050884e-45,5.344909127085292e-62,1.0811886045219237e-64,3.492342882381717e-50,2.0825228230793835e-64,2.2710682257801846e-62,1.237077444005246e-69,2.1090676717733754e-26
9.299479387879515e-16,0.4500928921611826,3.76,0.0,1.0006062351079283,0.9999999999999929,1.9902578883527922e-32,9.710291767990801e-24,1.0100230599377773e-24,1.574377391758762e-11,1.5743773917588616e-11,1.790532246390756e-26,8.884008927104357e-25,8.871338960128585e-25,2.3582641078069062e-32,2.9872284786837833e-35,7.184940743827601e-15,3.534773610920306e-26,3.334378909086736e-15,7.427000946145005e-20,5.579770754323974e-22,3.850634999003349e-15,1.0941386300661812e-26,7.763967320602468e-26,2.7175832716506573e-33,9.569414694009542e-22,2.9061672637391755e-39,7.170458980734785e-41,6.631469824051567e-25,4.2666247475738175e-36,1.819446711492233e-52,4.9783819038484796e-26,1.7700528062538504e-38,7.116198008111987e-47,2.0445780264218783e-44,8.920637830533464e-57,1.0961962660490998e-14,8.824277751855697e-25,1.0961962652637485e-14,4.03681706459376e-29,2.558368303030989e-48,9.058385978894293e-38,1.0631191302910186e-24,3.2558371702118096e-43,1.718756342289316e-52,1.107749159186193e-26,1.346633830933366e-36,6.302448850496705e-44,1.1917098020944873e-46,1.9373937893236906e-52,1.5015566661342265e-47,6.643630192359137e-44,1.710415859700972e-60,3.459894972213067e-63,5.587890554491222e-49,6.664247952591226e-63,7.267606614824698e-61,3.958751770538592e-68,8.436442442447029e-26
1.8599084909731492e-15,0.45009289216241366,3.76,0.0,1.0006062350921663,0.9999999999999857,1.5922257843015523e-31,3.884156215856297e-23,4.040134907432989e-24,3.1487761376339125e-11,3.148776137634313e-11,7.162183201275622e-26,3.553671947884907e-24,3.548571624215827e-24,1.886633636418671e-31,2.389822847778558e-34,1.4369978955870222e-14,1.41392382873618e-25,6.6688025009878765e-15,1.4964186919278003e-19,2.2319308595890858e-21,7.701321673718987e-15,4.3765992500280696e-26,3.1056185437435928e-25,2.1740923874664144e-32,1.9139181678876194e-21,2.3249612882487571e-38,5.7364375590551516e-40,2.6526143770755488e-24,3.4133400867866714e-35,2.9111519594109574e-51,1.9913728808385593e-25,1.4160589597731978e-37,1.1386060876230486e-45,1.6356817277056928e-43,2.8546409891588986e-55,2.1924074000011446e-14,3.529747006542663e-24,2.1924073968597074e-14,1.6147433214385375e-28,4.0934341697393273e-47,7.246790661372555e-37,4.25251977935195e-24,2.6047007586614367e-42,2.750045488786757e-51,4.431041464548901e-26,1.077319733748756e-35,1.0084045330147287e-42,1.9067597065932035e-45,2.811712420591595e-51,1.2012596838844171e-46,1.0629943254553217e-42,5.473402612890202e-59,1.1071812689484158e-61,8.940738049693142e-48,2.1325872315078077e-61,2.3256629517784677e-59,1.266817159599658e-66,3.374611397391558e-25
3.7198295953435446e-15,0.4500928921648755,3.76,0.0,1.000606235060642,0.9999999999999714,1.2737891095910229e-30,1.5536703862673358e-22,1.6160634381163887e-23,6.297573629284412e-11,6.297573629286012e-11,2.864872938473643e-25,1.421501791288369e-23,1.419435823059378e-23,1.5093158009487102e-30,1.911888347662368e-33,2.874005542464811e-14,5.6557240908458e-25,1.3337648055157535e-14,3.0368813869320946e-19,8.927767674994813e-21,1.540269336541197e-14,1.750648771186844e-25,1.2422537547125159e-24,1.7392841799044714e-31,3.827938323944935e-21,1.8599798833101846e-37,4.589180951075103e-39,1.0610507185179415e-23,2.7306879203603335e-34,4.657873401521229e-50,7.965530934001846e-25,1.1328537446677372e-36,1.8217810931025358e-44,1.3085529781361448e-42,9.134907178712572e-54,4.384829666668812e-14,1.411905983395926e-23,4.384829654102999e-14,6.459006694480756e-28,6.549513381891889e-46,5.797460058247429e-36,1.7010165629756536e-23,2.0837731481162e-41,4.400101949421112e-50,1.7724254031347958e-25,8.61860714767673e-35,1.6134571731138552e-41,3.050834215539464e-44,4.268229122429427e-50,9.610136009698074e-46,1.7008016638609296e-41,1.7515003073599847e-57,3.543005449748554e-60,1.4305270151318317e-46,6.824323114848628e-60,7.442159311788998e-58,4.0538412088873665e-65,1.349851498298895e-24
7.439671804084337e-15,0.4500928921697994,3.76,0.0,1.0006062349975935,0.9999999999999426,1.0190357887850539e-29,6.214697330215358e-22,6.464280235348164e-23,1.2595168612186195e-10,1.2595168612192598e-10,1.145940158945602e-24,5.6862278829211e-23,5.677757361480066e-23,1.207456120191999e-29,1.529545175407479e-32,5.748020854097448e-14,2.2622953971608887e-24,2.6675332644970648e-14,6.24990870331574e-19,3.5711152139201183e-20,3.080543011784802e-14,7.002614228585682e-25,4.969027805999801e-24,1.3914313907963929e-30,7.656245742048374e-21,1.4879880265246802e-36,3.671361528607147e-38,4.244210234855754e-23,2.1845562532133838e-33,7.452623221817156e-49,3.18621959324386e-24,9.062854519170921e-36,2.9148582801425538e-43,1.046845218176043e-41,2.9231773390442065e-52,8.769674195058462e-14,5.647638291867963e-23,8.769674144795082e-14,2.5836096934547522e-27,1.04791813466781e-44,4.63797070252468e-35,6.804083550881219e-23,1.6670237463565446e-40,7.040189314710235e-49,7.089718060924507e-25,6.894903191424938e-34,2.5815386025658573e-40,4.8813479849029875e-43,6.6447162486301835e-49,7.688134038678868e-45,2.721291088096018e-40,5.604819166364877e-56,1.1337668201934468e-58,2.2888499631351463e-45,2.18379001980271e-58,2.3814917453742716e-56,1.297233234020955e-63,5.3994203137436944e-24
