Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50)
0.0,0.5625159178761358,3.76,0.0,0.5263390132314018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5241412810664504e-20,0.5625159178761358,3.76,0.0,0.5263390132314015,1.0,1.31952929837055e-46,1.713646518622352e-18,4.632804585545659e-34,2.872227588019094e-16,2.872227588019094e-16,2.7860122866966855e-35,1.224778211413652e-33,1.2242414461540709e-33,7.4766127047988e-46,5.235077745114321e-49,1.4278223953478574e-19,1.2629655065629826e-35,6.366301899984465e-20,2.2127095093240593e-24,5.009372088904921e-31,7.912143324345445e-20,2.672701509983421e-35,7.534634817687783e-35,9.042294864458383e-47,1.2836106458115244e-25,2.0488752000399993e-52,2.4483697020617584e-54,1.4702917076010524e-34,1.3834369700433013e-49,1.0526416751540423e-70,2.1592299031517132e-35,1.093344363134901e-51,9.872216742222112e-65,8.793891527226452e-58,2.4181037111483884e-79,3.672127792604751e-19,3.6611736349835556e-34,3.6721277926047063e-19,3.918868665545956e-38,5.901739111143634e-66,2.673571829319528e-51,6.828577575268281e-21,5.674396933207901e-56,1.3874494137087595e-69,1.3094350300506042e-35,4.946735628077438e-50,1.3713056248980509e-61,1.053325533507026e-53,4.5647571759756855e-66,6.669331850874693e-61,6.629230661084697e-62,6.728990005560938e-66,1.9610019984686584e-53,1.0162784905313291e-66,1.3303532818271133e-84,2.0473212514519058e-83,7.606643044767507e-90,6.020665914456144e-35,1.6389933678027473e-50,1.4864361813617511e-69,1.514745611163643e-56,2.9653997875952752e-68,5.28383647352723e-49,6.828577575267672e-21,6.990082951589142e-53,1.713646518622347e-18,3.1770267018302196e-36
4.267595586986061e-20,0.5625159178761359,3.76,0.0,0.5263390132314009,1.0,1.5665451831055594e-45,4.7982102521426e-18,2.7982139697374166e-33,8.042237246453458e-16,8.042237246453458e-16,1.6827514210739352e-34,7.397660397639016e-33,7.394418334767904e-33,8.876234631149775e-45,6.215084401255173e-48,3.9979027069740782e-19,7.628311659640524e-35,1.782564531987674e-19,6.195588241061355e-24,3.0256607416883263e-30,2.215400130808657e-19,1.614311712032099e-34,4.550919429884751e-34,1.0735012463081773e-45,3.5941098086966806e-25,2.433805422186432e-51,2.9067045103383845e-53,8.880561913838601e-34,1.6424163708298098e-48,2.3547173216714533e-69,1.3041748614987715e-34,1.2981641347452807e-50,2.2086156103534688e-63,1.044010802108768e-56,9.97943175643604e-78,1.0281957819293262e-18,2.2113488755300568e-33,1.0281957819292992e-18,2.366996674025389e-37,1.3201954321544569e-64,3.179532226512554e-50,1.912001721075315e-20,7.811678727159358e-55,3.1036688404935964e-68,7.908987581492698e-35,5.899509608978505e-49,3.080946649198218e-60,1.5917855463005632e-52,5.419828848721638e-65,7.917830773507525e-60,1.4829323864327996e-60,1.8976828454076122e-64,2.963466220084903e-52,2.2856014404142047e-65,5.518550548626208e-83,8.449225158547183e-82,3.155375697670357e-88,3.636482212334342e-34,2.0139919058320275e-49,3.3250982848376506e-68,2.289083575353786e-55,6.653685343468256e-67,6.304242765293667e-48,1.9120017210749467e-20,1.0563413356917585e-51,4.7982102521425674e-18,1.9189241279054995e-35
9.754504198825283e-20,0.5625159178761359,3.76,0.0,0.5263390132313999,1.0,1.5380433503528016e-44,1.0967337719183152e-17,1.3472195735784353e-32,1.8382256563322164e-15,1.8382256563322164e-15,8.101723728351023e-34,3.5616550398417386e-32,3.5600941254120156e-32,8.714739808484355e-44,6.102006767088607e-47,9.138063330226835e-19,3.6727036930853223e-34,4.0744332159342286e-19,1.41613521643519e-23,1.4567254034381838e-29,5.063771727524616e-19,7.772215991063466e-34,2.1910718049856026e-33,1.0539698894002719e-44,8.215108136164646e-25,2.390129647428127e-50,2.8538197248802314e-52,4.275608285596235e-33,1.612534132265122e-47,4.652524623898486e-68,6.2790405582922465e-34,1.2746090933639523e-49,4.364083597284984e-62,1.0250159964024907e-55,3.94797809065003e-76,2.3501617872670135e-18,1.0646692930532028e-32,2.3501617872668825e-18,1.139607007993195e-36,2.608483701755133e-63,3.124079530228571e-49,4.3702896481730744e-20,8.140626322415936e-54,6.132326615898441e-67,3.8078370673677365e-34,5.803893049313363e-48,6.100342400451644e-59,1.7123702535585477e-51,5.322382930101861e-64,7.773773205819781e-59,2.9300245044198032e-59,4.1278746945427257e-63,3.1879617288673144e-51,4.526956689180977e-64,2.1885403171146777e-81,3.3426107440279354e-80,1.2513552008187314e-86,1.7508096479280946e-33,2.0072248205002372e-48,6.569833902249786e-67,2.4624916707740933e-54,1.3164425303319036e-65,6.203246181120141e-47,4.3702896481713e-20,1.1363638054531836e-50,1.0967337719182996e-17,9.238793648922971e-35
2.0728321422503725e-19,0.5625159178761361,3.76,0.0,0.5263390132313978,1.0,1.3603819257392393e-43,2.3305592653264487e-17,5.883661824694487e-32,3.90622951970595e-15,3.90622951970595e-15,3.538235602696422e-33,1.5554683295812052e-31,1.5547866366115145e-31,7.708088674176046e-43,5.3971559049221154e-46,1.9418384576733604e-18,1.6039661933351628e-33,8.658170583699732e-19,3.0092905850196814e-23,6.36190255275046e-29,1.0760514920827466e-18,3.394330917711676e-33,9.56898621848411e-33,9.322244313441077e-44,1.7457104797891193e-24,2.1142828983194808e-49,2.524171228367366e-51,1.8672704685421264e-32,1.4262681785994073e-46,8.27891898508204e-67,2.7422219769273103e-33,1.1274026653659104e-48,7.765841335381235e-61,9.066150408677855e-55,1.40904037452236e-74,4.994093797942326e-18,4.6496905164289585e-32,4.994093797941755e-18,4.9769632057804025e-36,4.641657375721025e-62,2.7641644964677856e-48,9.286865502371739e-20,7.387375866271268e-53,1.0912147564087154e-65,1.662982488144201e-33,5.138132014950629e-47,1.0865710700406055e-57,1.5739632787698395e-50,4.709655914804579e-63,6.87581436588451e-58,5.2138220584946325e-58,7.652384003001277e-62,2.930286066264706e-50,8.064448376059452e-63,7.819690941548793e-80,1.1929836960453833e-78,4.471112938613069e-85,7.646245711403203e-33,1.7872325432359646e-47,1.169066846948094e-65,2.263454127198193e-53,2.3439989264995004e-64,5.4921431593785506e-46,9.286865502363987e-20,1.0445141156956559e-49,2.3305592653263806e-17,4.03482391132509e-34
4.2675955869860613e-19,0.5625159178761365,3.76,0.0,0.5263390132313935,1.0,1.143482977967448e-42,4.798210252142807e-17,2.4563129922026616e-31,8.042237246453382e-15,8.042237246453383e-15,1.477143713139051e-32,6.4937740866879896e-31,6.4909281474714815e-31,6.479112979735014e-42,4.5366347563195845e-45,3.997902706975219e-18,6.696243115798512e-33,1.782564531872031e-18,6.195611657894193e-23,2.6559690813944796e-28,2.21540013069169e-18,1.4170663406226667e-32,3.9948633803566265e-32,7.83590805278381e-43,3.594109814850674e-24,1.7772774436348484e-48,2.1217180104897782e-50,7.795486632699892e-32,1.198864343181902e-45,1.3963606941562614e-65,1.14482369458321e-32,9.476599249227564e-48,1.3098376714494953e-59,7.620645694809944e-54,4.760885263669538e-73,1.0281957819292707e-17,1.9411542612681425e-31,1.0281957819290323e-17,2.0777841669537662e-35,7.828833600348902e-61,2.3238240808123667e-47,1.9120017210781648e-19,6.283710680676741e-52,1.8404931820019025e-64,6.94262452914771e-33,4.320754932829824e-46,1.8334990707947202e-56,1.3465587231830236e-49,3.962229314760165e-62,5.779536274289415e-57,8.793872972667626e-57,1.3152492908556334e-60,2.5069214228053307e-49,1.3609147054505414e-61,2.64355296154657e-78,4.030869945685768e-77,1.5115205880503143e-83,3.1921570678841575e-32,1.506980911626704e-46,1.9718021338013884e-64,1.9364327141568554e-52,3.954684852873918e-63,4.6186349907063346e-45,1.9120017210749285e-19,8.936038171923428e-49,4.798210252142523e-17,1.68445955731102e-33
8.657122476457438e-19,0.5625159178761375,3.76,0.0,0.5263390132313852,1.0,9.374964320320917e-42,9.733512225775893e-17,1.0034840052487782e-30,1.6314252699948118e-14,1.6314252699948118e-14,6.034614042744724e-32,2.6529186053247374e-30,2.6517559419958976e-30,5.311968273030437e-41,3.719407281422966e-44,8.110031205580945e-18,2.735633805837018e-32,3.616059478671978e-18,1.2568295146465323e-22,1.085050031824165e-27,4.494097407703068e-18,5.789178378933887e-32,1.6320320400661635e-31,6.424350847262482e-42,7.290908495838762e-24,1.4571573395751372e-47,1.73951261432894e-49,3.184710649484766e-31,9.829014208150939e-45,2.29352663348354e-64,4.67697833884846e-32,7.769528623425601e-47,2.151424314803155e-58,6.24786576025536e-53,1.5652839294325427e-71,2.085768586199249e-17,7.930248540318608e-31,2.0857685861982757e-17,8.488426288385758e-35,1.2858882688188013e-59,1.905361510743773e-46,3.8786320627651786e-19,5.181283329580349e-51,3.023015578148267e-63,2.8362886523379087e-32,3.543150292984251e-45,3.0121974952619058e-55,1.1133607931705477e-48,3.254181443079406e-61,4.738413023960792e-56,1.4443962766074977e-55,2.1799292437607334e-59,2.0727711114708814e-48,2.2358935563241807e-60,8.693778600415074e-77,1.325269481900108e-75,4.9708954326862363e-82,1.3041003197683114e-31,1.2373860174008134e-45,3.23869099805349e-63,1.6010801050398537e-51,6.496542576156969e-62,3.7874946625597653e-44,3.878632062751957e-19,7.388489173428609e-48,9.733512225774727e-17,6.881566917237713e-33
1.7436176255400194e-18,0.5625159178761392,3.76,0.0,0.5263390132313686,1.0,7.592089174820578e-41,1.9604116173043536e-16,4.0562427958562285e-30,3.285828360693706e-14,3.2858283606937064e-14,2.4392874767649674e-31,1.072352120253088e-29,1.0718821496712568e-29,4.301769629813783e-40,3.0120724716023803e-43,1.6334288202800445e-17,1.1057869233413054e-31,7.28304937145519e-18,2.5313827494895994e-22,4.385945712701233e-27,9.051491960899793e-18,2.3400784618681124e-31,6.596934445486212e-31,5.202605878602638e-41,1.4684505901274857e-23,1.1800589168045007e-46,1.4087024158465635e-48,1.2873109633096181e-30,7.959790539220564e-44,3.717905508696795e-63,1.8905094227722878e-31,6.291981676715044e-46,3.487561123573127e-57,5.0596836789147284e-52,5.0769753346126934e-70,4.200914194738815e-17,3.2055332537616184e-30,4.200914194734881e-17,3.4311576257231173e-34,2.0844802935567904e-58,1.5430710396095536e-45,7.811892746159334e-19,4.207712613576359e-50,4.900438522941726e-62,1.146473221564973e-31,2.8696279124296727e-44,4.883437338293135e-54,9.053665083240301e-48,2.644563206210555e-60,3.83728972076414e-55,2.3414286077830632e-54,3.5494496636453315e-58,1.6855430441178369e-47,3.624951671344509e-59,2.8201852618166667e-75,4.2984920134955825e-74,1.6125147282813634e-80,5.271382000345426e-31,1.0028140542408073e-44,5.250057907022649e-62,1.3019718977930962e-50,1.0531948833583911e-60,3.067553903957406e-43,7.811892746105889e-19,6.008196702047906e-47,1.9604116173038823e-16,2.7816393747384696e-32
3.49942838132857e-18,0.5625159178761426,3.76,0.0,0.5263390132313353,1.0,6.1107738741547815e-40,3.9345324067584714e-16,1.6309973909056434e-29,6.594634542091281e-14,6.594634542091287e-14,9.808267624204355e-31,4.3118807396167754e-29,4.309990980631978e-29,3.4624384435821374e-39,2.4243780051509102e-42,3.2782802197271645e-17,4.4463205844841575e-31,1.46170291537549e-17,5.080555367691067e-22,1.7635694805800412e-26,1.8166281063989112e-17,9.409352575621001e-31,2.6525983262111416e-30,4.187509827494282e-40,2.9471700885986766e-23,9.49820120081319e-46,1.1338462599866456e-47,5.176220762623816e-30,6.4067319105741585e-43,5.987572208490696e-62,7.601655239410143e-31,5.0643406173139554e-45,5.616617348572788e-56,4.072473606358299e-51,1.635617540390898e-68,8.431205411816382e-17,1.2889308228897198e-29,8.431205411800565e-17,1.3796533918892172e-33,3.3569912425314954e-57,1.242021737981586e-44,1.5678414113028156e-18,3.3914366661001026e-49,7.892005169670715e-61,4.609918399674197e-31,2.3098432100485552e-43,7.865053409746495e-53,7.302108906112466e-47,2.1434532836666748e-59,3.088584607645356e-54,3.7707985906347984e-53,5.728826067285772e-57,1.3594515280408566e-46,5.8382513386886986e-58,9.086210792003303e-74,1.3848184139881842e-72,5.1952788085804843e-79,2.119599518071144e-30,8.074502902050021e-44,8.455057164327391e-61,1.050087738962158e-49,1.696199974975455e-59,2.4691710748825066e-42,1.5678414112813257e-18,4.845828320043102e-46,3.9345324067565766e-16,1.1184849584897234e-31
7.011049892905671e-18,0.5625159178761499,3.76,0.0,0.5263390132312685,1.0,4.903511206042244e-39,7.882773985669063e-16,6.541029040566677e-29,1.3212246904885589e-13,1.321224690488561e-13,3.9335539738364346e-30,1.729257052495201e-28,1.7284991522060719e-28,2.778388794083781e-38,1.9454107237775167e-41,6.567983018634278e-17,1.7831734209304163e-30,2.9284988705287444e-17,1.01791651981551e-21,7.072702389589493e-26,3.639585925695123e-17,3.773571227076876e-30,1.063810569212935e-29,3.360212916266904e-39,5.904609155076954e-23,7.621732432929424e-45,9.098402186994489e-47,2.0758960356573224e-29,5.140998873918977e-42,9.611379452680784e-61,3.048603741794093e-30,4.063816950791088e-44,9.015920873059002e-55,3.2679035921262815e-50,5.2516285906292236e-67,1.6891787845965262e-16,5.169189088185181e-29,1.6891787845901828e-16,5.5330271774889364e-33,5.38871437583607e-56,9.96653785086235e-44,3.1411456847087834e-18,2.72329442132759e-48,1.2668416114665557e-59,1.848783461496519e-30,1.853550479078661e-42,1.2625494982116803e-51,5.865451019169416e-46,1.7438648098931905e-58,2.47839464133079e-53,6.052966843612718e-52,9.206069695189536e-56,1.091985397419224e-45,9.37198949457923e-57,2.917489213694437e-72,4.446364622744676e-71,1.668150809441521e-77,8.500542082423049e-30,6.480472414420093e-43,1.357224168640675e-59,8.434879576472975e-49,2.7228264187718398e-58,1.9814089752378189e-41,3.1411456846226003e-18,3.892432862974203e-45,7.882773985661462e-16,4.485624938182763e-31
