Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414)
0.0,0.8168058815781644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8949649230573191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2517995625983102e-22,0.8168058815781644,8.617249324589824e-26,6.855632925112548e-27,8.899414424727855e-38,6.6241545442910915e-37,0.0,0.0,3.5756043635014235e-21,5.0962734405076876e-39,1.8567828482094366e-51,2.1591694771427936e-51,2.2918976305266115e-51,5.245500778234403e-63,4.5563554558417934e-42,5.1147409744111266e-36,1.6303486970812758e-20,2.715483005458983e-38,1.3601384852818531e-76,5.409056608393853e-75,3.533332897991352e-52,6.621365446904238e-37,4.722774482194031e-22,3.388729551685308e-55,5.579313579263495e-39,3.934564039478172e-55,2.686540072168469e-38,7.119065719682566e-18,3.144922350076079e-38,2.377385350189288e-22,3.8383931645486404e-55,1.884186556791051e-59,9.769043575184035e-54,3.68355108567658e-40,3.76,0.0,0.8949649230573191,0.9999999999999996,5.953493092366191e-52,1.119810096203613e-19,7.119065719682566e-18,1.535728263183885e-21,1.6303502705456439e-34,2.0399622728104652e-21,1.1438521685214414e-57,4.859918316014571e-56,6.694961408079471e-60,3.2178522845732814e-63,2.5056882431755737e-71,1.630348697081276e-20,5.85907282392473e-38,4.314061533581452e-41,1.0548489269085212e-56,2.3395370904825657e-55,5.203756404448499e-50,1.1925159376271963e-38,4.722774482194087e-22,1.0082667971164003e-40,6.473585479453526e-73,3.005945939793444e-73,2.6179486646171085e-88,9.466281296806769e-93,7.342978411639671e-56,3.4499013704520317e-77,4.6105426548379386e-55,1.7395179939118236e-68,3.218173416873524e-58,1.1007869913490634e-53,1.7930532838564887e-55,9.313852747556154e-73,2.718766409674813e-58,4.5412514724446194e-98,2.0850016429872444e-92,3.3820273319921963e-39,2.3773853501892564e-22,9.29944217056362e-58,1.679368522747026e-38,4.6086723920827665e-16,3.1009286549550205e-75,9.405590381151748e-39,4.2448324590735714e-76,-4.7753253186208886e-114,1.119810096203613e-19,1.4840031204589514e-55,4.796717649484115e-76,2.4405131685102704e-39,4.710538382609904e-75
3.505038775275269e-22,0.8168058815781644,2.4128298161918565e-25,1.919577219033547e-26,5.375246312537399e-37,4.000989344754797e-36,0.0,0.0,1.0011692217803983e-20,3.078149158066643e-38,2.204372597531335e-50,2.5633660032773785e-50,2.720940890635762e-50,6.227458523919877e-62,2.7520386953284266e-41,3.089303548544253e-35,4.564976351827572e-20,1.640151735297286e-37,3.0425753860796467e-75,1.670612479388558e-73,4.1947728164953277e-51,3.999304729930152e-36,1.3223768550143124e-21,4.023099723760745e-54,3.3699054018751024e-38,4.671114427668425e-54,1.622670203589771e-37,1.9933384015111186e-17,1.899533099445944e-37,6.656678980529973e-22,4.556940364954733e-54,2.2369062802223082e-58,1.2503306200901577e-52,2.2248648557486545e-39,3.76,0.0,0.8949649230573191,0.9999999999999988,7.0679869995078e-51,3.135468269370117e-19,1.9933384015111186e-17,4.300039136914628e-21,9.847315634095266e-34,5.7118943638690475e-21,1.3598439893557116e-56,7.171097098561068e-55,7.948258183707461e-59,3.8202346064114053e-62,6.99762850781815e-70,4.5649763518275734e-20,3.5388799856505354e-37,2.60569316628341e-40,1.2523166460260725e-55,2.7774984338206674e-54,6.177899603359783e-49,7.202796263267628e-38,1.3223768550143459e-21,6.089931454581195e-40,1.5088694933433248e-71,8.32233400794515e-72,1.3421843034209744e-86,4.812206022913028e-91,1.1096695190082624e-54,7.74035132700787e-76,5.505655351403717e-54,3.913175294056577e-67,4.863303667580066e-57,1.3068543161290593e-52,2.21528229790497e-54,2.6266554964547887e-71,4.1085997983005655e-57,2.3085557045259038e-96,1.0689500965571695e-90,2.042744508523187e-38,6.6566789805297845e-22,1.4053317008163583e-56,1.014338587738866e-37,1.2904282697827032e-15,9.749815839764208e-74,5.680976590215604e-38,1.334643242451757e-74,2.4746637419418233e-112,3.135468269370117e-19,2.2425869665450365e-54,1.3527495036867112e-74,1.4740699537802035e-38,1.3284471925102714e-73
8.011517200629186e-22,0.8168058815781644,5.515039604884428e-25,4.387605072086263e-26,2.5879497147135193e-36,1.926304141484313e-35,0.0,0.0,2.2883867926409086e-20,1.4819963164996346e-37,2.164266088067516e-49,2.516727942599345e-49,2.6714359117596904e-49,6.114155707109989e-61,1.3249881665587672e-40,1.4873666753586536e-34,1.043423166132016e-19,7.89662457987562e-37,6.01161624526509e-74,3.7081216461229976e-72,4.1184528258987027e-50,1.9254930719597396e-35,3.022575668604065e-21,3.949903165444228e-53,1.62246438884975e-37,4.586127844415563e-53,7.812458529866144e-37,4.5562020605968423e-17,9.145434194021122e-37,1.5215266241211214e-21,4.474031072601428e-53,2.196207850595562e-57,1.2672603880421038e-51,1.0711766557147495e-38,3.76,0.0,0.8949649230573191,0.9999999999999971,6.939391548819584e-50,7.166784615703125e-19,4.5562020605968423e-17,9.82866088437511e-21,4.741058586746098e-33,1.3055758545985189e-20,1.3359191143682634e-55,7.654711733926439e-54,7.803647017363722e-58,3.750729741184145e-61,1.5151553523612088e-68,1.0434231661320167e-19,1.7038183771973087e-36,1.254529093965799e-39,1.2295319092054269e-54,2.726964432665747e-53,6.065498465020587e-48,3.467836346618928e-37,3.022575668604226e-21,2.9320398460116963e-39,3.039849251173666e-70,1.797458085101455e-70,5.833154118744161e-85,2.0859124628819754e-89,1.193731356870046e-53,1.5314018749658733e-74,5.4195156569221935e-53,7.752931822341236e-66,5.2317201603459885e-56,1.283077317114764e-51,2.2129115114839647e-53,5.713549438118373e-70,4.419844176880109e-56,1.0006730993034774e-94,4.6456739529515156e-89,9.834935481431799e-38,1.5215266241210313e-21,1.5117917147871274e-55,4.883603664143285e-37,2.949550330929667e-15,2.1751302801897357e-72,2.73514568283885e-37,2.977515655286047e-73,2.5972602722351833e-110,7.166784615703124e-19,2.412459453156317e-53,2.942524408298897e-73,7.097012294027873e-38,2.889662812875139e-72
1.702447405133702e-21,0.8168058815781644,1.1719459267176861e-24,9.323660778224223e-26,1.1302256319431845e-35,8.41267627129581e-35,0.0,0.0,4.8628219343619216e-20,6.47226726944475e-37,1.9142688453858203e-48,2.226017364242714e-48,2.3628548150223e-48,5.407901482328468e-60,5.786571428918804e-40,6.495721037501075e-34,2.2172742280305317e-19,3.4486634169338324e-36,1.0697349909647439e-72,6.931206846990554e-71,3.642724884513126e-49,8.409134117568253e-35,6.422973295783304e-21,3.493644618605133e-52,7.085728245663867e-37,4.056378142140003e-52,3.4119058916541985e-36,9.68192937876829e-17,3.9940513845965016e-36,3.2332440762573172e-21,3.957229816926345e-52,1.9425209725891144e-56,1.136635483013729e-50,4.6781098788092556e-38,3.76,0.0,0.8949649230573191,0.9999999999999938,6.137813238869184e-49,1.5229417308369145e-18,9.68192937876829e-17,2.0885904379292058e-20,2.070544843592311e-32,2.7743486910213365e-20,1.1819294853475091e-54,7.0143863525963065e-53,6.902237413493755e-57,3.3174793060035403e-60,2.8038035556383804e-67,2.2172742280305356e-19,7.441022486384371e-36,5.4788581476516465e-39,1.0875070496874032e-53,2.4119691588023682e-52,5.364864702720594e-47,1.5144952407855473e-36,6.4229732957840076e-21,1.2804988323349386e-38,5.456785146381415e-69,3.3227874917645504e-69,2.1675140908964294e-83,7.742724605943675e-88,1.0972446067555075e-52,2.726713889235654e-73,4.799072384989252e-52,1.3813096833555328e-64,4.808852173372672e-55,1.1348673565976484e-50,1.97236051173836e-52,1.0591957740016686e-68,4.062598270648789e-55,3.7144110151730037e-93,1.7262639645284824e-87,4.295174711628528e-37,3.2332440762569245e-21,1.3895970446696276e-54,2.132798023883486e-36,6.2677944532160416e-15,4.073778288464865e-71,1.1945099784061902e-36,5.576557294302981e-72,2.0736367819713008e-108,1.522941730836914e-18,2.2174610576370875e-52,5.454943428469981e-72,3.099451724008048e-37,5.356947853237053e-71
3.505038775275269e-21,0.8168058815781644,2.41282989313909e-24,1.9195772190630256e-25,4.718469528015429e-35,3.5121267394246465e-34,0.0,0.0,1.0011692217803921e-19,2.702044178157163e-36,1.6090583079065094e-47,1.8711017223392032e-47,1.9861218463425477e-47,4.545667046405341e-59,2.4157796626870724e-39,2.7118356646318273e-33,4.564976351827556e-19,1.439749089495184e-35,1.8042644182250048e-71,1.1961346787993896e-69,3.061929756072866e-48,3.5106479599485086e-34,1.3223768550140721e-20,2.93661880981702e-51,2.9581520597248104e-36,3.409630243586397e-51,1.4244035462639412e-35,1.9933384015111185e-16,1.667437830010229e-35,6.6566789805295005e-21,3.326290102109641e-51,1.6328059231298723e-55,9.616584394131705e-50,1.9530187856257215e-37,3.76,0.0,0.894964923057319,0.9999999999999871,5.15920185828381e-48,3.1354682693701187e-18,1.9933384015111185e-16,4.3000391369109904e-20,8.644117134427091e-32,5.711894363865331e-20,9.936114728077514e-54,5.992709489751003e-52,5.801746437256114e-56,2.7885434770249593e-59,4.815368335144211e-66,4.564976351827571e-19,3.1064804112448575e-35,2.287315425107755e-38,9.141152024793487e-53,2.0274054100159518e-51,4.509492039975119e-46,6.322719501290463e-36,1.3223768550143657e-20,5.345830558285143e-38,9.241692462978813e-68,5.703930698838086e-68,7.461546318118025e-82,2.664061189144195e-86,9.387157964217634e-52,4.600357464602972e-72,4.036118786814185e-51,2.331154119365049e-63,4.11407427806308e-54,9.539243941047355e-50,1.663861044300352e-51,1.8204869098190342e-67,3.4756383529311957e-54,1.2780279204693237e-91,5.9425673783232604e-86,1.793150891420856e-36,6.656678980527861e-21,1.1888295277667088e-53,8.904011907557595e-36,1.2904282697758577e-14,7.036438916215024e-70,4.9868440200859176e-36,9.632115934029297e-71,1.4770784192176148e-106,3.135468269370117e-18,1.8970827852606805e-51,9.3756533078093e-71,1.2939600819441487e-36,9.207224653635351e-70
7.110221515558404e-21,0.8168058815781644,4.894597961833565e-24,3.8939995015962773e-25,1.9276487620746797e-34,1.4348183709467735e-33,0.0,0.0,2.0309432784687802e-19,1.1038732123077147e-35,1.3192032160333054e-46,1.534042239318016e-46,1.6283426867092432e-46,3.726812482278113e-58,9.86924817156946e-39,1.1078733540205406e-32,9.26038059942157e-19,5.881844809151408e-35,2.963509725490116e-70,1.9865594016379033e-68,2.510355008032347e-47,1.4342142412611458e-33,2.6825359058851313e-20,2.407617523322817e-50,1.2085016385222005e-35,2.795420874873961e-50,5.819153257921643e-35,4.0436293287796973e-16,6.81202760715787e-35,1.3503548789073027e-20,2.7270935916919406e-50,1.338672945760279e-54,7.909119516055784e-49,7.978718993618884e-37,3.76,0.0,0.8949649230573188,0.9999999999999738,4.2298253892851026e-47,6.36052134643653e-18,4.0436293287796973e-16,8.722936534868136e-20,3.5314039000076794e-31,1.158698570954676e-19,8.146738616608825e-53,4.9516641744498164e-51,4.756622256365506e-55,2.286220070716748e-58,7.978376328559053e-65,9.260380599421639e-19,1.269098609953363e-34,9.344429844223007e-38,7.494468715097302e-52,1.6621894458041571e-50,3.69715402638953e-45,2.583037221530447e-35,2.6825359058863302e-20,2.183946213203984e-37,1.5209894998464428e-66,9.448354949379912e-67,2.4753331729996647e-80,8.835737307793177e-85,7.761483478065304e-51,7.55719753728501e-71,3.3099331953078566e-50,3.8300251661886474e-62,3.4015961715101933e-53,7.820848519656869e-49,1.3665107829046352e-50,3.0173235448320843e-66,2.873725002459033e-53,4.238761116015053e-90,1.971418997776333e-84,7.325606482176464e-36,1.3503548789066327e-20,9.829472432776812e-53,3.637579394971058e-35,2.6177259186722786e-14,1.1691148498152085e-68,2.0372884989183647e-35,1.6003904684798936e-69,9.964915009364676e-105,6.3605213464365225e-18,1.5685440153379355e-50,1.5539457229584501e-69,5.286249143520009e-36,1.526029963753484e-68
1.4320586996124673e-20,0.8168058815781646,9.858134642629181e-24,7.8428440668709585e-25,7.791864500913768e-34,5.7997652632340745e-33,0.0,0.0,4.0904913918455102e-19,4.462032018289517e-35,1.0683249669976095e-45,1.2423071783571337e-45,1.3186741255913927e-45,3.018069372287213e-57,3.9893079066496454e-38,4.478201230657071e-32,1.865118909460948e-18,2.3775357144693846e-34,4.803976973555652e-69,3.2379278635523845e-67,2.0329505708532725e-46,5.797323274305288e-33,5.402854007625551e-20,1.949751092085512e-49,4.884956845692142e-35,2.2638043006523294e-49,2.3521947871084813e-34,8.144211183316852e-16,2.7535304737636517e-34,2.719728840615673e-20,2.2084710952268154e-49,1.0840920589160815e-53,6.414928112956587e-48,3.225125785961945e-36,3.76,0.0,0.8949649230573183,0.9999999999999473,3.425422265890954e-46,1.281062750056936e-17,8.144211183316852e-16,1.7568731330756738e-19,1.4274499186715782e-30,2.333716840088338e-19,6.597644174359577e-52,4.0253358260640067e-50,3.852036027527571e-54,1.8514462016076507e-57,1.2988599938252136e-63,1.8651189094609754e-18,5.129899492841407e-34,3.7771679476240866e-37,6.069215072755134e-51,1.3460841083798118e-49,2.994051185736527e-44,1.0441049441513935e-34,5.4028540076303973e-20,8.827859776635532e-37,2.468018617851493e-65,1.5379878052412293e-65,8.06415179036675e-79,2.8781608760534228e-83,6.311509363412338e-50,1.2251425435774172e-69,2.6808204281820616e-49,6.2095131766507596e-61,2.7661215144115334e-52,6.333525900316248e-48,1.1075840710809722e-49,4.912929202678264e-65,2.3368654463823793e-52,1.380737790888857e-88,6.422497873757071e-83,2.961127266461301e-35,2.7197288406129653e-20,7.993163738769466e-52,1.4703677513212827e-34,5.2723212164167783e-14,1.9059522745562222e-67,8.235045847031479e-35,2.609040381297784e-68,6.546542813341759e-103,1.281062750056933e-17,1.2755136597406844e-49,2.5301977321118284e-68,2.1367864236628476e-35,2.4847441985359822e-67
2.874131795725721e-20,0.8168058815781647,1.9785210177847082e-23,1.5740533198253049e-24,3.133074446022766e-33,2.3320601041703455e-32,0.0,0.0,8.209587618598787e-19,1.7941634498244043e-34,8.598808756106796e-45,9.999168957883417e-45,1.0613836584354195e-44,2.4292047969176666e-56,1.604083163649526e-37,1.8006650189999468e-31,3.74328060849848e-18,9.559966540085472e-34,7.736656824744296e-68,5.228731206387798e-66,1.6362954821250248e-45,2.331078191043756e-32,1.0843490211099598e-19,1.5693293034203517e-48,1.9642196628300947e-34,1.8221066476863123e-48,9.45807178568433e-34,1.6345374892391154e-15,1.1071824930330676e-33,5.45847676403107e-20,1.777569670079316e-48,8.725716028924461e-53,5.16725396455207e-47,1.296808893916771e-35,3.76,0.0,0.8949649230573175,0.9999999999998942,2.7570778446183272e-45,2.5710839808835053e-17,1.6345374892391154e-15,3.526032092243117e-19,5.739713341433344e-30,4.683753378345161e-19,5.310439510225296e-51,3.24607188309553e-49,3.100453715420626e-53,1.4902144955113722e-56,2.0961990490968055e-62,3.7432806084985895e-18,2.062710023953798e-33,1.5187826191596268e-36,4.885032300406039e-50,1.083445597088419e-48,2.4098728708068874e-43,4.198300059003571e-34,1.0843490211119082e-19,3.549643589773222e-36,3.9766103210956564e-64,2.4819760618399627e-64,2.6036522023846352e-77,9.292081905610894e-82,5.090460911346246e-49,1.973125126113385e-68,2.1578975967046424e-48,1.000093110142436e-59,2.2309772110371835e-51,5.097772648725619e-47,8.918587766277867e-49,7.929487540560302e-64,1.8847666412715892e-51,4.457682945613346e-87,2.0736155727733186e-81,1.1906562503292285e-34,5.458476764020185e-20,6.446776127854082e-51,5.912284058805519e-34,1.0581511811712405e-13,3.0781180144813804e-66,3.311275716041801e-34,4.213607184823083e-67,4.2447279340161873e-101,2.571083980883493e-17,1.0287478623368905e-48,4.083749305917446e-67,8.591924230267284e-35,4.010387154214476e-66
5.758277987952228e-20,0.8168058815781648,3.9639369942789576e-23,3.1535911464348107e-24,1.2565029830911405e-32,9.352604058046167e-32,0.0,0.0,1.6447780072104605e-18,7.195397893011439e-34,6.900002492699153e-44,8.023703368888309e-44,8.516935423274112e-44,1.9492838635514937e-55,6.433090929959005e-37,7.221472093281817e-31,7.499604006573343e-18,3.833974162547286e-33,1.2419047637830172e-66,8.404608456423328e-65,1.3130240741150976e-44,9.348666146286023e-32,2.1724762618020524e-19,1.2592879330851136e-47,7.877399366648943e-34,1.462125832497031e-47,3.793109808664174e-33,3.274770231053973e-15,4.4402969965333496e-33,1.0935972610856498e-19,1.4263877128075313e-47,7.001837586798237e-52,4.1479794695200535e-46,5.200783676560153e-35,3.76,0.0,0.8949649230573158,0.9999999999997881,2.2123813356509005e-44,5.1511264425366585e-17,3.274770231053974e-15,7.064350010536896e-19,2.3018817648548523e-29,9.383826454816816e-19,4.2613258430276817e-50,2.6072191065994826e-48,2.4879188483242618e-52,1.1958185610420274e-55,3.368403923145743e-61,7.499604006573787e-18,8.272389765660784e-33,6.090997595024441e-36,3.919930772607412e-49,8.693968586328072e-48,1.9337712102659292e-42,1.6837060971995505e-33,2.172476261809866e-19,1.4235658411294925e-35,6.384893834324112e-63,3.9881961585104917e-63,8.368869125283185e-76,2.98664561339965e-80,4.0889350190270736e-48,3.167359563452723e-67,1.7316329185200983e-47,1.6054270406654227e-58,1.7920422216997745e-50,4.090641503855371e-46,7.158118984478835e-48,1.2742473604840078e-62,1.5139470642756462e-50,1.4327810892060472e-85,6.665182595653588e-80,4.77506409781173e-34,1.0935972610812842e-19,5.178401177090569e-50,2.3710903408408842e-33,2.1199893001530174e-13,4.947984808439897e-65,1.3279696625572045e-33,6.773250486240743e-66,2.7343463534286278e-99,5.151126442536608e-17,8.263461837017626e-48,6.562475475710882e-66,3.44574589954075e-34,6.444584495213763e-65
