Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47)
5.289471727666714e-17,0.6737219468304966,6.019943291015039e-22,2.1493284376747928e-24,2.6338517232423355e-28,9.411918642731802e-29,0.0,0.0,7.35342808940682e-17,6.820886804914094e-30,1.371930039494506e-40,4.690936143819038e-44,9.480321499375498e-38,2.2365735280347806e-52,8.534891634968064e-36,3.8472997306645857e-34,9.968719243605445e-17,1.7335982947879928e-29,1.0475149078302828e-69,2.1584990382304552e-60,9.458592036128898e-39,9.38632715233875e-29,1.8282408459642542e-38,9.967397797792811e-42,1.937727421478605e-30,1.47813804117191e-51,5.682786305910606e-31,2.278863427364609e-13,8.161878324353438e-41,9.074494874462339e-30,1.5587563958935832e-41,1.4838563559947422e-55,3.5485893804685113e-41,1.9879868527286053e-42,3.76,0.0,0.9254059885703768,1.0,1.5014514484464808e-37,1.8416028759254786e-27,2.2788634273646097e-13,3.5691865694879003e-17,1.2450339763498698e-25,3.784301694637578e-17,5.853126826487188e-45,4.0940475055661344e-44,2.5438620530534886e-54,5.623868375045405e-62,6.884920884574877e-54,9.96871924376693e-17,2.4602803894577478e-28
1.0583538999840523e-16,0.6737219468305237,1.2047538647564546e-21,4.300528138590112e-24,1.0542270998840538e-27,3.7672220392305087e-28,0.0,0.0,1.471324490939088e-16,2.730132296477369e-29,1.0983783852457642e-39,3.755601199398614e-43,7.5900216349337e-37,1.7906187494162994e-51,3.416180907878572e-35,1.5399225249717836e-33,1.9946099407116264e-16,6.938911067699369e-29,3.354879039133799e-68,3.4564108029617132e-59,7.572624853514854e-38,3.756977006114226e-28,7.317739548410936e-38,7.979978832181535e-41,7.75595953824409e-30,2.36694673859915e-50,2.2745954987023478e-30,4.559706753449026e-13,6.5345056127202844e-40,3.632162834658746e-29,1.2479529045946734e-40,2.3761035116205452e-54,2.8410291985816314e-40,1.591600853789875e-41,3.76,0.0,0.9254059885701486,0.9999999999999999,1.2020741151135682e-36,7.371210859185853e-27,4.55970675344903e-13,7.1414740708018e-17,4.983380550449962e-25,7.571891215054142e-17,4.686060406820632e-44,3.277727355674029e-43,4.073493709806115e-53,9.00866788366792e-61,1.1024843793961375e-52,1.9946099407762624e-16,9.847533233540015e-28
2.1171673544188143e-16,0.6737219468305778,2.4109998156573703e-21,8.602939262905332e-24,4.218281666095484e-27,1.5073809318273245e-27,0.0,0.0,2.9432878551458064e-16,1.0924085348782159e-28,8.790367862328794e-39,3.00562235434171e-42,6.074324061025021e-36,1.4330391963768668e-50,1.366917338871418e-34,6.16169592153701e-33,3.990085973301007e-16,2.7764682629055534e-28,1.074014557618836e-66,5.532508337862489e-58,6.060401351253224e-37,1.503280169543572e-27,2.9280583072353456e-37,6.386408327212959e-40,3.103394066952197e-29,3.788656246859651e-49,9.101344788533447e-30,9.121393405615602e-13,5.229606537537755e-39,1.4533382475897445e-28,9.987415976535366e-40,3.8033130158819143e-53,2.2736868044808104e-39,1.2737654422914691e-40,3.76,0.0,0.925405988569692,0.9999999999999998,9.620246423160529e-36,2.9494444882552366e-26,9.12139340561562e-13,1.4286049036825265e-16,1.9940013298481826e-24,1.5147070218799868e-16,3.750272505184242e-43,2.623178044902649e-42,6.520242786363003e-52,1.4422273211825044e-59,1.764692991500409e-51,3.9900859735596357e-16,3.940295993997799e-27
4.234794263288338e-16,0.6737219468306859,4.826399235786186e-21,1.7207808401877508e-23,1.687587402190501e-26,6.030516578590273e-27,0.0,0.0,5.887214584398873e-16,4.370345473931815e-28,7.033633989617536e-38,2.4049545281115927e-41,4.860382135908757e-35,1.146649071858382e-49,5.468559419002442e-34,2.465079577893412e-32,7.981038038028639e-16,1.1107680985611086e-27,3.437572056651418e-65,8.853814814815916e-57,4.849241856907612e-36,6.014099540878013e-27,1.1714214343372454e-36,5.110096953268341e-39,1.2415597005780367e-28,6.063083468696667e-48,3.6411305561010566e-29,1.8244766709939728e-12,4.1844862311512857e-38,5.814299368258494e-28,7.991450148713315e-39,6.086538898069826e-52,1.81929489382766e-38,1.019206304087911e-39,3.76,0.0,0.925405988568779,0.9999999999999994,7.69765903615073e-35,1.1799698515159243e-25,1.82447667099398e-12,2.8575198822454867e-16,7.977303689409151e-24,3.029742807794173e-16,3.0007877861497195e-42,2.0989409757502711e-41,1.0434511228583565e-50,2.308241523775234e-58,2.824083304732375e-50,7.981038039063321e-16,1.5763749742478207e-26
8.470048081027385e-16,0.6737219468309023,9.668828149055139e-21,3.441773424441608e-23,6.750899465922667e-26,2.412411999035763e-26,0.0,0.0,1.177506804626352e-15,1.7482804670085512e-27,5.627448092252219e-37,1.924146282474723e-40,3.888674884858801e-34,9.174063358893476e-49,2.187601781220066e-33,9.861120689678179e-32,1.5962942165679383e-15,4.443434010652685e-27,1.1001391834962712e-63,1.4167545647361535e-55,3.8797618220907624e-35,2.4058355940994084e-26,4.6861266810980026e-36,4.088465688011439e-38,4.966642936151771e-28,9.701920433148407e-47,1.4565707570427087e-28,3.649151331855189e-12,3.3479094361473523e-37,2.3259090488844355e-27,6.393767046558523e-38,9.739452326136703e-51,1.4555741070159587e-37,8.154426397669418e-39,3.76,0.0,0.9254059885669529,0.9999999999999989,6.158712345487388e-34,4.7202635453829135e-25,3.6491513318552145e-12,5.71534978080448e-16,3.191181140852489e-23,6.0598143202827e-16,2.4008581474502225e-41,1.6793121984014826e-40,1.6696916267842953e-49,3.6937454855013775e-57,4.518992919628417e-49,1.5962942169818446e-15,6.306013086727769e-26
1.694055571650548e-15,0.6737219468313348,1.9400206265265415e-20,6.883833621368838e-23,2.700470038939274e-25,9.650113012222474e-26,0.0,0.0,2.3550774983426865e-15,6.99340643639864e-27,4.5021827871717065e-36,1.53939006606145e-39,3.1110875571989236e-33,7.339598750461951e-48,8.75076307069863e-33,3.94460867912586e-31,3.1926750413762792e-15,1.7774459332051695e-26,3.5206314193383245e-62,2.2669228533449043e-54,3.103956779134371e-34,9.623733875954788e-26,1.8745746188875905e-35,3.2709277565922586e-37,1.9867379700764168e-27,1.552386218885119e-45,5.826520090003875e-28,7.298500653563178e-12,2.6784557625122944e-36,9.304014912352404e-27,5.11525628644768e-37,1.5583914266974712e-49,1.1645145606973339e-36,6.523851650264474e-38,3.76,0.0,0.9254059885633008,0.9999999999999977,4.9272044075982884e-33,1.8881822483812935e-24,7.298500653563281e-12,1.143100934365477e-15,1.2765243692813499e-22,1.2119957107900402e-15,1.920777660450055e-40,1.3435135049893133e-39,2.6716424352047512e-48,5.910493528791954e-56,7.230756272289447e-48,3.192675043031972e-15,2.522507876207709e-25
3.388157098746167e-15,0.6737219468322,3.904904363739212e-20,1.3768254149555978e-22,1.0802102882615251e-24,3.860181623018336e-25,0.0,0.0,4.7102188911489756e-15,2.797419491934222e-26,3.6018486641388083e-35,1.231541225157677e-38,2.488929060615598e-32,5.87181779923492e-47,3.5003763434327096e-32,1.5778754904077976e-30,6.3854366881057285e-15,7.1099284179825e-26,1.1266319605641084e-60,3.627169606730057e-53,2.4832243198119817e-33,3.8495717957820543e-25,7.498832411319172e-35,2.6168042057757725e-36,7.947113202170899e-27,2.483881092658114e-44,2.3306554365619844e-27,1.4597199296921384e-11,2.142815938785677e-35,3.721681789790303e-26,4.092301875746787e-36,2.493489024107546e-48,9.316337517430479e-36,5.219205743656593e-37,3.76,0.0,0.9254059885559965,0.9999999999999953,3.941858096403246e-32,7.552882653746734e-24,1.459719929692181e-11,2.2862327532284653e-15,5.1062011294409865e-22,2.4240241733698477e-15,1.5366585386624952e-39,1.0748362643660353e-38,4.27473643667919e-47,9.457361404234828e-55,1.1569503716969057e-46,6.385436694728635e-15,1.0090236790836508e-24
6.776360152937405e-15,0.6737219468339307,7.909104278860362e-20,2.753829590849773e-22,4.32088747305308e-24,1.5441346637787078e-24,0.0,0.0,9.420501698256034e-15,1.1189791825009086e-25,2.8815402363593324e-34,9.85244577998093e-38,1.991166780437202e-31,4.6975090713666375e-46,1.4001647003079515e-31,6.311565499998065e-30,1.2770959970015698e-14,2.8440003242416717e-25,3.605271022407991e-59,5.803547720846029e-52,1.9866029609195026e-32,1.5398443228078292e-24,2.9998685845474157e-34,2.0934680313453192e-35,3.178877327733645e-26,3.974260201582133e-43,9.322716447010583e-27,2.919459658340673e-11,1.7142733499541581e-34,1.4886879451315365e-25,3.273879894654861e-35,3.989631019048413e-47,7.453158308839907e-35,4.175414696605933e-36,3.76,0.0,0.925405988541388,0.9999999999999907,3.1535255143004892e-31,3.0211837914403535e-23,2.9194596583408426e-11,4.572496016126249e-15,2.0425010420928544e-21,4.848080718754597e-15,1.2293413189780453e-38,8.598791336766527e-38,6.8396647197958264e-46,1.5132783380085974e-53,1.8511439588445886e-45,1.2770959996507594e-14,4.03613577335551e-24
1.3552766261319881e-14,0.6737219468373918,1.6215233750392738e-19,5.508318355854456e-22,1.7283656726567808e-23,6.17694053073713e-24,0.0,0.0,1.8841067398448054e-14,4.475939518766973e-25,2.3052892405224108e-33,7.882001876464099e-37,1.5929427182893776e-30,3.758028088736807e-45,5.600686645447917e-31,2.5246385079543125e-29,2.5542006487639925e-14,1.1376059369391852e-24,1.1536951016033201e-57,9.285743564616809e-51,1.5892916846718722e-31,6.1594081425652296e-24,1.200197624676578e-33,1.6747840777400505e-34,1.2715571662588736e-25,6.358856488993015e-42,3.729105438079468e-26,5.838939115545312e-11,1.3714270270128492e-33,5.954782751977555e-25,2.6191187212959463e-34,6.383443332218405e-46,5.962561774824844e-34,3.340352328712078e-35,3.76,0.0,0.925405988512171,0.9999999999999812,2.5228379600885062e-30,1.2084796606908632e-22,5.838939115545992e-11,9.145021042609728e-15,8.170044226536923e-21,9.696192290425185e-15,9.83478728413048e-38,6.879072564785771e-37,1.0943531369027664e-44,2.4215010641491502e-52,2.9618486072289376e-44,2.5542006593608052e-14,1.6144625203463875e-23
2.7105578478084834e-14,0.673721946844314,3.401841028667323e-19,1.1019218596242254e-21,6.9134954126934e-23,2.471078864335752e-23,0.0,0.0,3.7682199142743496e-14,1.7903803790356454e-24,1.844306259911527e-32,6.305617779313899e-36,1.2743577019778194e-29,3.0064290416080814e-44,2.2402798416109082e-30,1.0098575449583887e-28,5.108409933810552e-14,4.550435488723691e-24,3.69184140327622e-56,1.4857263091581348e-49,1.271436936277186e-30,2.4637691410704657e-23,4.802755427076286e-33,1.3398307807231355e-33,5.086239741504527e-25,1.0174201886833772e-40,1.4916458823261976e-25,1.1677898029584879e-10,1.0971451323197522e-32,2.3819197054030315e-24,2.0953000158394993e-33,1.0213519771677702e-44,4.770063166303258e-33,2.672290940563459e-34,3.76,0.0,0.9254059884537371,0.9999999999999624,2.0182804814321696e-29,4.833930915812523e-22,1.1677898029587595e-10,1.8290065098333753e-14,3.268024804145167e-20,1.9392409357375108e-14,7.867850567889127e-37,5.5032722602187556e-36,1.7509700220376588e-43,3.8751675479599445e-51,4.738971051296965e-43,5.108409976197911e-14,6.457866499938108e-23
