Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270)
0.0,0.41935061346220054,3.76,0.0,0.6052889997274363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.934779835673057e-20,0.41935061346220054,3.76,0.0,0.6052889997274361,1.0,9.463507222979625e-46,6.167312428887658e-19,9.421976834076677e-34,2.9154684788374405e-16,2.9154684788374405e-16,1.4918587252945567e-35,7.432099512146155e-34,7.42510941019198e-34,1.1700219846790666e-45,1.7310733383390638e-45,1.4228389706621908e-19,2.1140583894343606e-35,6.611450342847973e-20,1.3441218192824318e-24,5.114303305309286e-31,7.617073775854109e-20,9.310551512542357e-36,7.10192243168564e-35,1.2518194978705507e-46,2.793044649745919e-26,1.520016243536393e-52,4.0972973902717515e-54,6.733786014046565e-34,2.279668090732615e-49,6.618919157379637e-70,4.992556854416441e-35,9.282705209513644e-52,2.3767424220655087e-64,1.071082714691445e-57,1.9578327919979334e-78,1.997943705318582e-19,8.210982761976162e-34,1.9979437053185415e-19,2.1881086307687838e-38,7.790302784750238e-66,2.864744132304316e-51,2.2199748326205825e-21,1.2569258441583572e-51,4.508127498808532e-70,1.0066730580662028e-35,4.314208076816817e-50,1.1668262914777795e-61,7.016316256198607e-54,1.8320941689368564e-66,7.818100382077808e-61,2.0122759339299348e-45,5.932429570897608e-66,1.198757737223045e-53,1.8496016637266875e-66,1.285687030772936e-84,1.590266097423213e-82,8.210885667010709e-90,4.600023366675902e-35,1.201280977260738e-50,1.261831117315903e-69,1.710196034813106e-56,4.456219681997149e-68,7.166401846308883e-49,2.219974832609132e-21,4.333406171325785e-53,6.167312428887604e-19,1.3120510555060527e-36,1.0864641312826943e-32,1.4533355324949069e-52
8.21738353988456e-20,0.41935061346220054,3.76,0.0,0.6052889997274354,1.0,1.1235075775344842e-44,1.7268474800885605e-18,5.6908740079159e-33,8.163311740744828e-16,8.163311740744828e-16,9.01082669952992e-35,4.48898810686919e-33,4.484766083751827e-33,1.389050101613417e-44,2.055130267269765e-44,3.9839491178543785e-19,1.2768912672184154e-34,1.8512060959892685e-19,3.763542726221393e-24,3.089039196396149e-30,2.1327806572309133e-19,5.623573113589145e-35,4.289561148790909e-34,1.4861601078707074e-45,7.820525022564074e-26,1.80539388262689e-51,4.864311461830454e-53,4.067206752440863e-33,2.7064219573087174e-48,1.4806257398342215e-68,3.0155043400565163e-34,1.1021297765470273e-50,5.317080205210535e-63,1.27158939887744e-56,8.079648605154488e-77,5.59424237489198e-19,4.959433588233558e-33,5.594242374891735e-19,1.3216176130364006e-37,1.7426595715804753e-64,3.40588235504124e-50,6.215929531339526e-21,1.8994630727121166e-50,1.0084500889777855e-68,6.080305270702071e-35,5.140293693723875e-49,2.619162372284327e-60,1.0603057126943125e-52,2.1755600260728638e-65,9.28164877364403e-60,2.388973988750094e-44,1.6730400578654084e-64,1.8115626924906304e-52,4.140962440415351e-65,5.309774611432942e-83,6.562762309447729e-81,3.3910237257272303e-88,2.7784141134766205e-34,1.4704416247088483e-49,2.822665744348657e-68,2.584448261771873e-55,9.993616060458998e-67,8.54387330203015e-48,6.215929531270364e-21,6.548643406411842e-52,1.7268474800885278e-18,7.924788375256741e-36,6.562243352912906e-32,1.7253999441696304e-51
1.8782590948307566e-19,0.41935061346220065,3.76,0.0,0.6052889997274344,1.0,1.10306640196788e-43,3.947079954488215e-18,2.7399108635498793e-32,1.8658998264559586e-15,1.8658998264559586e-15,4.338325171282767e-34,2.1612545404314722e-32,2.1592218164776364e-32,1.3637776273306139e-43,2.0177390831431258e-43,9.106169412239738e-19,6.147681796476048e-34,4.2313282193655517e-19,8.602391069021645e-24,1.4872394011679488e-29,4.874927216488971e-19,2.707508379867654e-34,2.06523904321336e-33,1.4591208067141632e-44,1.787548578130239e-25,1.7729103830439416e-50,4.775809838410175e-52,1.9581849728198484e-32,2.6571811265299e-47,2.9254669551575683e-67,1.4518355332477783e-33,1.0821156791991038e-49,1.0506042419897489e-61,1.2484540122311915e-55,3.1963493966358597e-75,1.2786839714038583e-18,2.3877537871826018e-32,1.278683971403741e-18,6.363019899041575e-37,3.4432016495103126e-63,3.3460442924969185e-49,1.4207838928784997e-20,2.043354572899736e-49,1.9925274374627268e-67,2.9274052528298275e-34,5.054862462485642e-48,5.183718961321383e-59,1.140628501357586e-51,2.137032106443956e-64,9.112777805461246e-59,2.3455088285530096e-43,3.639227563514729e-63,1.948796478245885e-51,8.184990048987233e-64,2.1013229793461436e-81,2.5962615915548775e-79,1.3419846603371631e-86,1.3376867950359155e-33,1.463091911965251e-48,5.577111883737125e-67,2.7802315359482946e-54,1.9768009626195654e-65,8.404165854808882e-47,1.420783892845201e-20,7.04473174574932e-51,3.947079954488059e-18,3.8154444694118736e-35,3.159437693718229e-31,1.6940078966502637e-50
3.991300576515358e-19,0.4193506134622008,3.76,0.0,0.6052889997274323,1.0,9.75649740769811e-43,8.387544903287789e-18,1.1965910581347981e-31,3.965037131218904e-15,3.965037131218904e-15,1.8946605791878253e-33,9.438766404185792e-32,9.429888950879852e-32,1.2062458673218725e-42,1.7846673688370315e-42,1.935061000101438e-18,2.684854154582598e-33,8.991572465987489e-19,1.828011387031149e-23,6.495165197577544e-29,1.0359220334873292e-18,1.1824400421138907e-33,9.01944148905891e-33,1.2905758295167492e-43,3.7985407351187046e-25,1.5682637019794762e-49,4.2241497181243104e-51,8.551908237168579e-32,2.3502466147628194e-46,5.205712139680783e-66,6.34054720493814e-33,9.571342063862545e-49,1.8695255971842506e-60,1.1042434355106611e-54,1.1407741541023595e-73,2.717203439233101e-18,1.0427948107709035e-31,2.717203439232589e-18,2.778897961860897e-36,6.126993363317962e-62,2.9603837233754156e-48,3.0191657723706267e-20,1.8781944843474606e-48,3.545596114691951e-66,1.2784747837164968e-33,4.474182145574529e-47,9.231207347810924e-58,1.0484341060312349e-50,1.8920563030841084e-63,8.060148770127391e-58,2.0745759967693902e-42,6.746514574950391e-62,1.7912797115713545e-50,1.4567318427949697e-62,7.500831249561455e-80,9.26603369362203e-78,4.790315708561622e-85,5.842029675746217e-33,1.3017942496581067e-47,9.924172729484215e-66,2.5555118304451837e-53,3.5194346205263744e-64,7.439640720563787e-46,3.019165772225202e-20,6.475322176289467e-50,8.387544903287107e-18,1.6663048404929653e-34,1.3798094466754474e-30,1.4983308005267694e-49
8.2173835398845605e-19,0.4193506134622011,3.76,0.0,0.6052889997274281,1.0,8.200923945211618e-42,1.726847480088798e-17,4.99553211929099e-31,8.163311740744762e-15,8.163311740744762e-15,7.909834944085387e-33,3.9404991827240515e-31,3.9367930092262217e-31,1.0139223333363253e-41,1.5001204577237393e-41,3.983949117857935e-18,1.1208737580789616e-32,1.851206095870884e-18,3.763566393564848e-23,2.7116036123262584e-28,2.132780657111477e-18,4.936454412139045e-33,3.765439274016056e-32,1.084806747728368e-42,7.820525070058844e-25,1.3182774467736953e-48,3.550652362830044e-50,3.5702533440439858e-31,1.9755238926326104e-45,8.780194406715575e-65,2.64705364405793e-32,8.045349759762727e-48,3.153253361078321e-59,9.281831431780391e-54,3.8544497814157706e-72,5.594242374891275e-18,4.353463060399137e-31,5.5942423748891356e-18,1.1601351967367212e-35,1.033406983922057e-60,2.4887161000400976e-47,6.215929531367012e-20,1.6068347688141354e-47,5.9801660828514694e-65,5.337380553618774e-33,3.762093806059303e-46,1.5575425304287351e-56,8.96957451552625e-50,1.5935426030839007e-62,6.775040701891885e-57,1.7438061277926393e-41,1.1595534812364067e-60,1.53247750616145e-49,2.457199035144241e-61,2.534582257834728e-78,3.130809144651807e-76,1.6186804902642903e-83,2.4389323890726024e-32,1.0972918328054436e-46,1.6738568248074615e-64,2.1862942716270436e-52,5.937524509994311e-63,6.255944806956106e-45,6.215929530759892e-20,5.539774453428485e-49,1.726847480088514e-17,6.956494696295589e-34,5.760432823578675e-30,1.2594373189932689e-48
1.6669549466622966e-18,0.4193506134622018,3.76,0.0,0.6052889997274197,1.0,6.723612930828488e-41,3.503033459609256e-17,2.0408378717461393e-30,1.655986095979636e-14,1.6559860959796364e-14,3.231425658582708e-32,1.6098225008341614e-30,1.6083083986364847e-30,8.312747874977759e-41,1.2298893846045406e-40,8.081725353377206e-18,4.579135033857712e-32,3.7553037942061455e-18,7.634718191735172e-23,1.1077785530172915e-27,4.326497904148904e-18,2.016702699982813e-32,1.5383048070162614e-31,8.893901130382286e-42,1.5864493823791965e-24,1.0808263038572036e-47,2.9110393294656136e-49,1.4585649852755762e-30,1.6196538432124818e-44,1.4421495679163436e-63,1.0814077847639137e-31,6.596087704035572e-47,5.1792482409248194e-58,7.6098061919670585e-53,1.2672638410419447e-70,1.1348320246206374e-17,1.7785317101745553e-30,1.1348320246197638e-17,4.739530824531133e-35,1.697374071527669e-59,2.040533211031308e-46,1.2609457049408311e-19,1.32856199926046e-46,9.822440749057115e-64,2.1804941104835454e-32,3.08489882285678e-45,2.558719366221224e-55,7.416217672475119e-49,1.3116568770948751e-61,5.554587698463381e-56,1.4296776197732286e-40,1.921874857503328e-59,1.2670820372932143e-48,4.036124359511946e-60,8.33350886293002e-77,1.0293456771597176e-74,5.322095256666323e-82,9.96383461367147e-32,9.008419774585698e-46,2.7493149898588325e-63,1.8076705445005992e-51,9.753601704586512e-62,5.129987819562629e-44,1.260945704692803e-19,4.580392651222372e-48,3.503033459608095e-17,2.84195506827044e-33,2.3533247665153302e-29,1.0325628060219681e-47
3.3573881320099776e-18,0.41935061346220315,3.76,0.0,0.6052889997274028,1.0,5.444956075393207e-40,7.055405418651853e-17,8.249392986100795e-30,3.335295939789909e-14,3.3352959397899095e-14,1.306193911077586e-31,6.507160012590869e-30,6.501039693473846e-30,6.731878751577468e-40,9.959963105296495e-40,1.6277277824440858e-17,1.8509595947584876e-31,7.563499190040629e-18,1.5377188928487474e-22,4.47781802932113e-27,8.713932397380291e-18,8.151834757020266e-32,6.218073986345672e-31,7.202511725138416e-41,3.1952431666669616e-24,8.7529026077560805e-47,2.3574351244729768e-48,5.895752872823332e-30,1.311637674442805e-43,2.337786596314888e-62,4.371223167700384e-31,5.3416923680227625e-46,8.395800675966692e-57,6.1626183510892316e-52,4.1103480255570304e-69,2.285647598883158e-17,7.18910953527835e-30,2.285647598879627e-17,1.9157941403340667e-34,2.75151650603529e-58,1.6525299087424996e-45,2.5396512085685022e-19,1.080364529575724e-45,1.5922599734064369e-62,8.813905824708639e-32,2.498433307451177e-44,4.148154939692532e-54,6.030745059615258e-48,1.0705946299682756e-60,4.498249131168202e-55,1.1577900031937547e-39,3.1292749918460388e-58,1.0303700695440713e-47,6.5428661331534365e-59,2.703011043006351e-75,3.338664633733231e-73,1.726245509269688e-80,4.0275412590714615e-31,7.300102049038564e-45,4.456758492275838e-62,1.4699679291284521e-50,1.5811974471823633e-60,4.154790589598023e-43,2.5396512075659324e-19,3.724699241884991e-47,7.055405418647159e-17,1.1487636775479469e-32,9.512514968804929e-29,8.361961311750466e-47
6.7382545027053396e-18,0.41935061346220576,3.76,0.0,0.605288999727369,1.0,4.3825743540872424e-39,1.4160149336743762e-16,3.3170446428711416e-29,6.693915627410266e-14,6.69391562741027e-14,5.252148218307086e-31,2.616500482448147e-29,2.614039467970537e-29,5.4184016791015955e-39,8.016644801793927e-39,3.2668382766668597e-17,7.442627122388009e-31,1.5179889978365446e-17,3.086279896363836e-22,1.8005109350072018e-26,1.748880138046919e-17,3.2778169032646732e-31,2.5002602039241746e-30,5.79720804042208e-40,6.41283086940709e-24,7.045133842960769e-46,1.8974688831015354e-47,2.370656297979959e-29,1.0557201100451625e-42,3.764933244317819e-61,1.7576496099566556e-30,4.2994625405457356e-45,1.3521191023450601e-55,4.9602113834857394e-51,1.3242046692271019e-67,4.587278747406204e-17,2.890709325281224e-29,4.5872787473920046e-17,7.703323998542754e-34,4.431232480338492e-57,1.3301210897919026e-44,5.097062215901487e-19,8.713531224388034e-45,2.5642856012192178e-61,3.544032766442108e-31,2.0110372756900356e-43,6.680763988426616e-53,4.864014391560024e-47,8.751990998463391e-60,3.62058224046553e-54,9.318901197118394e-39,5.050662452943523e-57,8.310307887793356e-47,1.053719213272541e-57,8.70820226090546e-74,1.0755963390580397e-71,5.561388691478846e-79,1.619456626676528e-30,5.877694598054949e-44,7.177473502947322e-61,1.1855828129316622e-49,2.5465472863246157e-59,3.344294087128679e-42,5.097062211870197e-19,3.0041048866060777e-46,1.4160149336724888e-16,4.619128222965332e-32,3.8249404300222066e-28,6.730433935633842e-46
1.3499987244096064e-17,0.419350613462211,3.76,0.0,0.6052889997273017,1.0,3.516739920903681e-38,2.836963717295445e-16,1.3302832644968982e-28,1.3411155002650233e-13,1.3411155002650243e-13,2.1063463037953142e-30,1.0493337681652666e-28,1.0483467422974162e-28,4.3479261077717084e-38,6.432852578683364e-38,6.545059265152578e-17,2.9848263557313185e-30,3.041267154163852e-17,6.183669328052278e-22,7.220854144178819e-26,3.503853933315149e-17,1.3145511825853e-30,1.0027161703267776e-29,4.6518943565028245e-39,1.2848006811546032e-23,5.653290745647562e-45,1.5225992846140108e-46,9.50739204305484e-29,8.471489009876481e-42,6.043551666951274e-60,7.048961060417051e-30,3.45004943822236e-44,2.1704516365230748e-54,3.9802572501994028e-50,4.251745558063132e-66,9.190541044444312e-17,1.159303729570913e-28,9.190541044387368e-17,3.089377479001521e-33,7.113109410678219e-56,1.0673468980113806e-43,1.0211884230878034e-18,6.999182103455095e-44,4.116246295761688e-60,1.4213156495157686e-30,1.6137630559313853e-42,1.0724336378671017e-51,3.9070409114751125e-46,7.2394418791669355e-59,2.9052892330670754e-53,7.477831321777253e-38,8.116278972601628e-56,6.675291228969637e-46,1.6914613445672069e-56,2.796035879643383e-72,3.453515944849785e-70,1.785654703212282e-77,6.494745394046994e-30,4.71725415731605e-43,1.1521438861987354e-59,9.5232527262365e-49,4.087834616850319e-58,2.6836482098811776e-41,1.0211884214710763e-18,2.4130604336761043e-45,2.836963717287876e-16,1.8524770129739805e-31,1.5339721859792204e-27,5.4007493618021707e-45
