Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293),S(2934),C2H3F(191),S(5865),S(2726),S(9381),S(2727),S(5643),S(5886)
0.0,0.24169503188979735,3.76,0.0,0.71195576590519,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4121900112104016e-20,0.24169503188979735,3.76,0.0,0.7119557659051897,1.0,1.6857104697280796e-45,1.0435324189383532e-18,1.6254390135077625e-33,3.4820797122562815e-16,3.4820797122562815e-16,3.620385292532918e-35,1.861730544144052e-22,1.595424076566697e-33,2.099188983703083e-45,2.7339852842369266e-45,2.508230480645949e-19,4.954927911368422e-35,1.1402031916924474e-19,2.0719275472213677e-24,7.520821472261351e-31,1.3680480082142417e-19,2.2237205866457265e-35,9.87930753986861e-35,2.437745000011974e-46,9.025654197298083e-26,1.442511629221603e-39,8.842252871487779e-52,1.3584229508113426e-33,3.9392399009460764e-49,1.9324701087322734e-67,7.795276570919723e-35,8.247737544145013e-40,1.677019926300014e-52,4.614998817779219e-57,1.6180543801569007e-66,2.692038087035477e-19,1.4482747949752655e-33,2.6920380870354074e-19,5.104685500038571e-38,2.1584269572827464e-65,1.683266424444871e-37,4.956474156830535e-21,3.3904587927520555e-51,2.4887654135337044e-69,1.5643782478154445e-35,1.214813609739469e-49,2.3010638391856213e-51,2.240756797191002e-53,1.0444098952203434e-65,5.21390043120563e-60,3.177007316448224e-45,5.9411642743143704e-52,1.7938938384336897e-52,2.1724496465643054e-54,2.4632565897717714e-72,1.5032419488709892e-70,1.775216659690087e-77,2.353013508813483e-21,3.7111465062048535e-50,3.801719397896959e-69,4.022537696579097e-55,1.0758316726096418e-58,4.64978955169754e-35,4.9564741568092024e-21,2.000150072846552e-51,1.0435324189383442e-18,2.846102928972485e-36,2.0312324279208254e-32,4.353362966163463e-50,1.1708894108643638e-48,7.619166451737866e-44,2.3530135088024213e-21,1.2660479785575553e-68,2.902633808308566e-39,1.080740474105007e-68,5.0982229519681906e-70,1.079075412875515e-51,1.304298302397399e-72,7.415309712427149e-68,2.168366649514411e-34,2.9194276661392767e-57,5.984809371339422e-52,1.1018291782169467e-76,1.0784052053456933e-67,1.8179931956720976e-66,5.097823229885912e-83,1.7237737013585655e-60,1.8617305440734617e-22,3.500512984958787e-74,1.3697275123484807e-71,1.6015975862809135e-65,3.738195290083499e-38,1.4336831590743167e-69,1.5066148307166354e-68,1.3217133264478292e-70,3.1441986426681455e-68,9.019941548679744e-70,6.374495845263079e-70
3.9541320313891245e-20,0.2416950318897974,3.76,0.0,0.711955765905189,1.0,2.0012754696998742e-44,2.921890773027417e-18,9.81765164178098e-33,9.749823194317581e-16,9.749823194317581e-16,2.1867127164272463e-34,5.212845523655074e-22,9.636361422455341e-33,2.4921571662941287e-44,3.245787329434089e-44,7.023045345808984e-19,2.992776458466626e-34,3.192568936727137e-19,5.801399521636655e-24,4.5425761692322235e-30,3.8305344229880817e-19,1.3431272343376169e-34,5.9671017541642385e-34,2.894090864012261e-45,2.5271831757562927e-25,8.71277024026949e-39,1.0497522608779806e-50,8.204874622818732e-33,4.676665610390267e-48,4.3228583342633984e-66,4.708347048821292e-34,4.981633476677805e-39,1.9909580565084818e-51,5.4789265964524095e-56,3.619522926217875e-65,7.537706643699252e-19,8.747579761650503e-33,7.537706643698828e-19,3.08323004216568e-37,4.8283147659774054e-64,1.0166929203301335e-36,1.3878127639128805e-20,5.123649133253959e-50,5.567268683118638e-68,9.448844616777572e-35,1.448085513466739e-48,3.4773673622524645e-50,3.386231672043659e-52,1.240105224311727e-64,6.189942591972447e-59,3.7717430921174283e-44,8.978287451344313e-51,2.710932368640163e-51,2.5791322203845165e-53,5.510206461020481e-71,3.362692109810309e-69,3.971088660771439e-76,6.5884378246740986e-21,4.551469662519097e-49,8.504294263469263e-68,6.078858970690515e-54,1.277227363201431e-57,2.808472889224013e-34,1.3878127638999945e-20,3.022626745644686e-50,2.921890773027362e-18,1.7190461690994568e-35,1.2268643864542753e-31,5.168312514269211e-49,1.3900799085396548e-47,9.045474410830533e-43,6.588437824607285e-21,3.98065741264344e-67,1.753190820211267e-38,3.398020968813704e-67,1.6029628690248145e-68,1.6306987639073869e-50,4.100922753770665e-71,2.33149201853631e-66,1.309693456304607e-33,3.465944525695658e-56,9.044243920938973e-51,6.702964523851244e-75,3.390678510535678e-66,5.716061486089914e-65,2.937397270377339e-81,3.8560128186630585e-59,5.2128455232287105e-22,1.1006173049800356e-72,4.3066424580237594e-70,4.516751080175833e-64,2.2578699551290223e-37,4.5077292414427445e-68,4.737038086150489e-67,4.1556781720580187e-69,9.885863604352396e-67,2.8360139419698877e-68,2.004243485568839e-68
9.03801607174657e-20,0.24169503188979743,3.76,0.0,0.7119557659051878,1.0,1.964864123608041e-43,6.678607481205656e-18,4.726776651571716e-32,2.228531015844016e-15,2.2285310158440162e-15,1.0528080426746183e-33,1.1915075482884037e-21,4.6394932146446934e-32,2.446814686275464e-43,3.186733247250542e-43,1.6052675076136378e-18,1.4408930366260888e-33,7.29730042674965e-19,1.3260353028134546e-23,2.1870548841131532e-29,8.755507252488589e-19,6.466579466019663e-34,2.87290263271919e-33,2.8414355720078984e-44,5.7764186898605805e-25,4.1948238174323436e-38,1.0306529946228356e-49,3.950293940836722e-32,4.591578028502708e-47,8.541239603851979e-65,2.2668664268021243e-33,2.398442077854583e-38,1.9547344261081112e-50,5.379242621956699e-55,7.151567360339493e-64,1.7229043757026465e-18,4.2115831037879217e-32,1.7229043757024418e-18,1.484442543620723e-36,9.539936335277295e-63,4.894938761767154e-36,3.172143460373855e-20,5.5117837342120905e-49,1.0999984767525289e-66,4.549211944605748e-34,1.424306233797932e-47,3.740793020419857e-49,3.6427535105484876e-51,1.2179276811000548e-63,6.077322342741348e-58,3.703119746745353e-43,9.65843193746884e-50,2.91629733526201e-50,2.532207307981119e-52,1.0887239417608418e-69,6.644112946301739e-68,7.846202014866542e-75,1.5059286456380714e-20,4.5324594407150054e-48,1.6803052462011894e-66,6.539359094516153e-53,1.2539894021773205e-56,1.3521588016316938e-33,3.172143460311815e-20,3.2516039074068507e-49,6.67860748120539e-18,8.276467317453101e-35,5.906823900245213e-31,5.0742798759639726e-48,1.3647886971840982e-46,8.880900414060408e-42,1.5059286456059044e-20,8.880627713814955e-66,8.440859114454632e-38,7.580797855292197e-66,3.576121993350616e-67,1.7542313170998056e-49,9.148934033039312e-70,5.201430438127983e-65,6.305610216756446e-33,3.4028848890575364e-55,9.729384895254012e-50,3.026038591228109e-73,7.5644172364774255e-65,1.2752218735247304e-63,1.3173262784918188e-79,7.61883153452547e-58,1.191507548083128e-21,2.4554167306711316e-71,9.60788242900414e-69,9.824912251368176e-63,1.0870671902341652e-36,1.0056495967828023e-66,1.0568071386119344e-65,9.271089396183917e-68,2.20548178807901e-65,6.326991095609975e-67,4.471356962439489e-67
1.9205784152461462e-19,0.24169503188979755,3.76,0.0,0.7119557659051853,1.0,1.7379000660412255e-42,1.4192040897562584e-17,2.064307547455706e-31,4.735628408668523e-15,4.7356284086685246e-15,4.597889317445946e-33,2.5319535402169633e-21,2.02618857722807e-31,2.1641798815495077e-42,2.8186294685018487e-42,3.4111934536796443e-18,6.292758447439469e-33,1.5506763406607222e-18,2.817829827179956e-23,9.551443269560626e-29,1.8605452911300903e-18,2.8241251450957234e-33,1.2546720576928923e-32,2.5132175851996247e-43,1.2274889726274434e-24,1.8319897687556139e-37,9.116009018754377e-49,1.7251971474036554e-31,4.0611987681952855e-46,1.519867951579728e-63,9.900001244847627e-33,1.0474626681222847e-37,1.7289404632421626e-49,4.757879181079459e-54,1.2725832010622055e-62,3.661171798367954e-18,1.8393089896184323e-31,3.661171798367061e-18,6.482950587194896e-36,1.6975806985818864e-61,2.1377483585091718e-35,6.74080485330109e-20,5.066277326884918e-48,1.957388521904419e-65,1.986760374682665e-33,1.2608023173187086e-46,3.43843323024739e-48,3.3483180680229347e-50,1.0779281401195076e-62,5.375322788815128e-57,3.2753675022214007e-42,8.877762951825644e-49,2.6805796848883964e-49,2.239708687505353e-51,1.93732608400674e-68,1.1822843992202716e-66,1.3961897288813912e-73,3.2000983719735484e-20,4.0342466403862817e-47,2.990013435547173e-65,6.010797655041267e-52,1.109139430817254e-55,5.9052327306357176e-33,6.740804853030145e-20,2.9887841875681584e-48,1.4192040897561422e-17,3.6145507197961974e-34,2.5796651833059502e-30,4.488143089063953e-47,1.2071401467739757e-45,7.855055840704654e-41,3.2000983718330675e-20,1.6632432876877965e-64,3.686344936441608e-37,1.4197995395080056e-64,6.697680758801988e-66,1.6124408077245156e-48,1.7134944526368822e-68,9.741703557042726e-64,2.753825644850793e-32,3.00981314962946e-54,8.942980939638411e-49,1.1425745940468323e-71,1.4167316315289325e-63,2.388349437529717e-62,4.956261510146972e-78,1.3557303638010374e-56,2.53195353932047e-21,4.598724046573591e-70,1.7994500514324137e-67,1.821372565252346e-61,4.7475080171441715e-36,1.8834703973801502e-65,1.9792828115152153e-64,1.7363724379661318e-66,4.130623303702541e-64,1.184975410034687e-65,8.374356733789004e-66
3.9541320313891245e-19,0.2416950318897978,3.76,0.0,0.7119557659051803,1.0,1.460809721986679e-41,2.921890773027824e-17,8.618077652325776e-31,9.749823194317502e-15,9.749823194317508e-15,1.9195282784371798e-32,5.212845524405151e-21,8.458938453851911e-31,1.8191235923806813e-41,2.369227903295299e-41,7.023045345813765e-18,2.627102778608951e-32,3.1925689365572537e-18,5.80143416818065e-23,3.9875395444028076e-28,3.830534422817073e-18,1.1790166550896347e-32,5.238008858804548e-32,2.1125108130672973e-42,2.527183183192325e-24,7.64819665492937e-37,7.662554859418481e-48,7.202358484060989e-31,3.413682270168908e-45,2.563479448039671e-62,4.133055637703256e-32,4.372950446040277e-37,1.4532786358534686e-48,3.999284135328208e-53,2.1463975731521974e-61,7.537706643698029e-18,7.678752962957456e-31,7.537706643694304e-18,2.706504254043632e-35,2.8632179697566345e-60,8.924678577584383e-35,1.3878127639176704e-19,4.3343063360764497e-47,3.3014218577019856e-64,8.294333469530942e-33,1.0601845668045849e-45,2.9416520076772365e-47,2.864556602545463e-49,9.07215735220982e-62,4.518282691738909e-56,2.7531437795384586e-41,7.595113114318038e-48,2.2932923563159164e-48,1.8826101043043858e-50,3.2675836060085e-67,1.9940954448797757e-65,2.3548780573405134e-72,6.58843782462112e-20,3.4010733738971325e-46,5.0430947802581326e-64,5.142363968295764e-51,9.322985316353371e-55,2.465318420291894e-32,1.3878127638045562e-19,2.556967795392653e-47,2.9218907730273376e-17,1.5090037729422343e-33,1.0769594331454733e-29,3.7725547025904395e-46,1.0146740287695533e-44,6.602647732468014e-40,6.588437824034637e-20,2.8728391625099707e-63,1.538976445065942e-36,2.4523506236564425e-63,1.1568578061055037e-64,1.3794770584951035e-47,2.9596368005076444e-67,1.6826370303823185e-62,1.1496679975432835e-31,2.529929309974813e-53,7.65090846824474e-48,3.9641220446847704e-70,2.447051577759003e-62,4.125279712625438e-61,1.716224484542833e-76,2.286637414554989e-55,5.212845520662468e-21,7.943153054366949e-69,3.108102489423037e-66,3.1304736280837295e-60,1.9819911416665865e-35,3.253226725476375e-64,3.41871884404364e-63,2.999151578475416e-65,7.134624543776257e-63,2.0467503382413357e-64,1.4464618694583784e-64
8.021239263675082e-19,0.24169503188979824,3.76,0.0,0.7119557659051702,1.0,1.197660068726438e-40,5.92726413957167e-17,3.520765923110803e-30,1.9778212765615313e-14,1.9778212765615344e-14,7.841899328018054e-32,1.0574629494105802e-20,3.455752366717868e-30,1.4914274279585782e-40,1.942436177601232e-40,1.424674913009045e-17,1.0732572053152432e-31,6.476354128050385e-18,1.1768704019252805e-22,1.6290400140166958e-27,7.770512685889122e-18,4.816667739921971e-32,2.139897531353093e-31,1.731963997059674e-41,5.1265716174505345e-24,3.124537886646317e-36,6.282225423204002e-47,2.9423984474095666e-30,2.798742970945845e-44,4.2105226881954084e-61,1.6884880861995332e-31,1.786492943122541e-36,1.1914856291031328e-47,3.2788547605553293e-52,3.525464458768166e-60,1.5290776334356018e-17,3.1370211369070365e-30,1.5290776334340802e-17,1.1056952996752842e-34,4.702844106417876e-59,3.646022401921668e-34,2.8152773211012484e-19,3.583688068916932e-46,5.422595372601486e-63,3.3885058595708933e-32,8.693642288075835e-45,2.4322147643955175e-46,2.3684707959697327e-48,7.456797501983949e-61,3.704361134231192e-55,2.2571936710914497e-40,6.27978639801005e-47,1.896138468117556e-47,1.5434775058301203e-49,5.367015884143207e-66,3.2753077537235255e-64,3.867894307376225e-71,1.3365116729822724e-19,2.7924031395499942e-45,8.283298618149587e-63,4.2518060145169416e-50,7.643546787042952e-54,1.0071630160405338e-31,2.815277320639141e-19,2.1141504198504685e-46,5.927264139569685e-17,6.164772788280207e-33,4.3997306870039667e-29,3.092968282069937e-45,8.318910724075564e-44,5.4132495192583527e-39,1.3365116727426757e-19,4.773265243507977e-62,6.287220933308216e-36,4.074617233780917e-62,1.9221365955292424e-63,1.1405783080611982e-46,4.917484962013843e-66,2.795726591817073e-61,4.696768897266484e-31,2.0741889049051862e-52,6.325919062842814e-47,1.320218149313157e-68,4.065812797084659e-61,6.854213940810603e-60,5.710035834334459e-75,3.755808814127006e-54,1.0574629478815716e-20,1.3197670543667841e-67,5.16415882893688e-65,5.1885301083398055e-59,8.097080516516992e-35,5.40528486053557e-63,5.680252490724178e-62,4.9831351944988207e-64,1.1854285387151313e-61,3.40070629865938e-63,2.4033180272479767e-63
1.6155453728246995e-18,0.2416950318897991,3.76,0.0,0.7119557659051501,1.0,9.698961754702648e-40,1.1938010872662239e-16,1.42314987928442e-29,3.983499190821037e-14,3.983499190821049e-14,3.1698210765902024e-31,2.1298197438804198e-20,1.3968703593168886e-29,1.2077965990386714e-39,1.5730351772895824e-39,2.8694156698677565e-17,4.338277222952651e-31,1.3043924509836923e-17,2.3703488397680123e-22,6.584840197071104e-27,1.5650469210825548e-17,1.9469741125451258e-31,8.649807966038986e-31,1.402589348985018e-40,1.0325348538480742e-23,1.2629881697099848e-35,5.087509021172751e-46,1.1893644969424931e-29,2.2664946199661184e-43,6.825438712043147e-60,6.8251388097339945e-31,7.221290112196666e-36,9.648959538530397e-47,2.6553015948940682e-51,5.7149298090634735e-59,3.0796915715663374e-17,1.2680341001900276e-29,3.079691571560186e-17,4.4693971935404585e-34,7.623512934374268e-58,1.4737805480313432e-33,5.670206435502234e-19,2.9141955313996416e-45,8.790260961799352e-62,1.3696882458491108e-31,7.040978645568839e-44,1.9778366578716046e-45,1.9260011197925894e-47,6.069311657325433e-60,2.99988768919876e-54,1.8279340580778145e-39,5.1066180068169934e-46,1.5419083119855886e-46,1.2499481012696974e-48,8.700164026454378e-65,5.309415003644629e-63,6.270023438472281e-70,2.6918474539851797e-19,2.2629552039091965e-44,1.3427584975717212e-61,3.457498107044692e-49,6.189942609343667e-53,4.07111394228333e-31,5.6702064336343155e-19,1.7191920110496313e-45,1.1938010872654212e-16,2.4918997272631056e-32,1.7784414888390842e-28,2.50476591958061e-44,6.736869580196602e-43,4.383789797341133e-38,2.691847453016691e-19,7.781627083120713e-61,2.541395224905567e-35,6.642654453647847e-61,3.1335679307636144e-62,9.274993372631064e-46,8.01675513799377e-65,4.557739949201068e-60,1.8985090830452835e-30,1.6797319597787968e-51,5.144132302937681e-46,4.309411924813552e-67,6.628301023562862e-60,1.1174098636188876e-58,1.8629102676022135e-73,6.088327918262056e-53,2.1298197376999225e-20,2.1515543505182436e-66,8.418882443919439e-64,8.448175963410344e-58,3.2729694019325266e-34,8.811978546246618e-62,9.260245181847629e-61,8.123768015276336e-63,1.9325477049285993e-60,5.544009560541784e-62,3.918014942334349e-62
3.242388265739082e-18,0.2416950318898009,3.76,0.0,0.7119557659051098,1.0,7.806568216925111e-39,2.395950433885485e-16,5.722423079909946e-29,7.994855019339822e-14,7.994855019339867e-14,1.2745711030807419e-30,4.274533334938938e-20,5.616754277924576e-29,9.721397787883698e-39,1.2661155610211346e-38,5.758897183598681e-17,1.7444021909168882e-30,2.6179065268611095e-17,4.757403585966642e-22,2.6477352815212805e-26,3.141038225586769e-17,7.828697276937445e-31,3.4780497432288315e-30,1.1289259305257702e-39,2.072290259059635e-23,5.078419873037207e-35,4.094869856710538e-45,4.7823823288052795e-29,1.8242720503742164e-42,1.0992158599362542e-58,2.744358296777919e-30,2.9036489940872806e-35,7.766322077991145e-46,2.1372177291797417e-50,9.203718272236902e-58,6.180919447824354e-17,5.098709346694306e-29,6.180919447799619e-17,1.7971249598555798e-33,1.2277432491945854e-56,5.926006750673861e-33,1.1380064664439505e-18,2.3504042342155555e-44,1.4156444893657905e-60,5.507456194380627e-31,5.667448497385752e-43,1.5951969269436563e-44,1.5533896822594901e-46,4.934375362451817e-59,2.4145705976444544e-53,1.4712805200513647e-38,4.1186724224533525e-45,1.2436049130538604e-45,1.0060669744327924e-47,1.4011345946544474e-63,8.550649158314213e-62,1.0097679734905063e-68,5.402519015841337e-19,1.822060234366257e-43,2.1624714757514622e-60,2.788597589890427e-48,4.982204725451931e-52,1.6369770107308433e-30,1.1380064656928694e-18,1.3865906402026154e-44,2.395950433882258e-16,1.0019819205622396e-31,7.151035003988372e-28,2.0160535445548137e-43,5.4224187221097666e-42,3.5284553917611352e-37,5.402519011947087e-19,1.2567348609839312e-59,1.021883842189466e-34,1.0727904628883652e-59,5.060721088116015e-61,7.480618154943996e-45,1.294712469879936e-63,7.360762190946983e-59,7.633821522628747e-30,1.3519944268544232e-50,4.1489290278207015e-45,1.3927274679451034e-65,1.070472387800841e-58,1.8046199139782543e-57,6.019078952322265e-72,9.80506436096145e-52,4.2745333100874305e-20,3.4747691236625955e-65,1.3596518236860875e-62,1.363538984166868e-56,1.3160465982395722e-33,1.4231368890550382e-60,1.4955320704901918e-59,1.311990694700223e-61,3.1210697059055297e-59,8.953590248347805e-61,6.327604570834779e-61
6.4960740515678474e-18,0.24169503188980443,3.76,0.0,0.7119557659050292,0.9999999999999999,6.264279363438521e-38,4.800249127128601e-16,2.294947602858096e-28,1.601756667637648e-13,1.601756667637666e-13,5.111600105501575e-30,8.563960525531327e-20,2.252569680683565e-28,7.800809491514435e-38,1.0159779995370123e-37,1.1537860211114536e-16,6.995832988557963e-30,5.244934676696381e-17,9.531904560416249e-22,1.0618602703104022e-25,6.293020832662918e-17,3.1396577562392818e-30,1.3948535092761795e-29,9.058919618902216e-39,4.151801153504879e-23,2.0366734996460143e-34,3.2858751631835244e-44,1.917949208522044e-28,1.4638634312227593e-41,1.7644848852119716e-57,1.1006104209795133e-29,1.1644931157937262e-34,6.231984363109879e-45,1.7149826297393317e-49,1.4774006130900372e-56,1.2383375200326572e-16,2.044810493370431e-28,1.2383375200227373e-16,7.207274916565978e-33,1.9707997969021103e-55,2.3765937431319898e-32,2.2799781122855266e-18,1.8879724869360656e-43,2.2724231170885024e-59,2.208736260062259e-30,4.547872954599607e-42,1.2813489399283738e-43,1.2477670777213981e-45,4.0385902099592975e-58,1.937540841944799e-52,1.1806102216337172e-37,3.3083416727511805e-44,9.989310962575921e-45,8.073053863010082e-47,2.2491313266949412e-62,1.3725685502256466e-60,1.620901317634163e-67,1.0823862138955026e-18,1.4623432156752428e-42,3.4712466299818574e-59,2.2399534115005304e-47,3.9979061668200745e-51,6.565009968478936e-30,2.2799781092733544e-18,1.1137850104636285e-43,4.800249127115658e-16,4.018395648845063e-31,2.8678848713006216e-27,1.6177560394248243e-42,4.351149515735367e-41,2.831363208269524e-36,1.082386212333734e-18,2.0201646119483997e-58,4.098211253630677e-34,1.724479318658003e-58,8.13496298390102e-60,6.008839299785663e-44,2.0812265430441965e-62,1.1832210238274051e-57,3.061503860918218e-29,1.084890401570077e-49,3.332645369784601e-44,4.4788028136257365e-64,1.720753105428567e-57,2.90087380410021e-56,1.9354000077380937e-70,1.5739299605063683e-50,8.563960425865668e-20,5.585599849638165e-64,2.1856007899433128e-61,2.1911705240764484e-55,5.27793544921967e-33,2.2876509849659103e-59,2.404024124893101e-58,2.1089866922710295e-60,5.017028399021672e-58,1.4392634822226621e-59,1.0171439457357568e-59
