Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729)
0.0,0.6417256944616498,3.76,0.0,0.5809453502055548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.866605787920208e-20,0.6417256944616498,3.76,0.0,0.5809453502055545,1.0,9.886087307477247e-46,4.882146111264945e-19,8.44025314755807e-34,3.0618575559886447e-16,3.0618575559886447e-16,1.0024098967425963e-35,5.486294230777711e-34,5.479843869399307e-34,1.1280869844616956e-45,1.8268089214735383e-45,1.108535931566282e-19,1.6201780329871042e-35,5.2420072570361533e-20,1.1323688655780982e-24,5.06015730558418e-31,5.843465295412903e-20,7.151912381942945e-36,7.378757982374806e-35,1.144296576796442e-46,1.226973824422676e-26,1.1293539569074256e-52,2.99799588286e-54,5.442713059946489e-34,2.2727493461788563e-49,4.410436277118219e-70,4.846854476405503e-35,1.4707273485271036e-51,5.10948651113263e-64,5.201208896126115e-58,4.2404015531009025e-78,1.8838004504745454e-19,7.216631250007076e-34,1.883800450474506e-19,1.6368662842011477e-38,6.00295158596566e-66,3.8135672599768533e-38,1.3893344658437457e-21,1.1024120662448382e-51,2.3374951369604378e-70,9.534115774083883e-36,3.107871381695797e-50,1.0450744833239381e-61,4.541538023740188e-54,7.051376099406318e-67,2.745713968140169e-61,2.1239503913131187e-45,7.42270805890498e-66,1.2616606971602306e-53,3.522745520059107e-66,1.839790558148173e-84,3.068237138858513e-82,1.0698017234994996e-89,6.1510471044574415e-22,8.030169824784853e-51,9.290377817581042e-70,2.491813513913671e-56,1.06557391525089e-59,9.526327712406416e-36,1.389334465834329e-21,2.618797410162429e-53,4.882146111264894e-19,9.595730340972155e-37,8.860640742149104e-33,9.795740183358586e-51,2.951426386292679e-49,5.081181438193773e-44,6.15104710442083e-22,1.7905972645012605e-69,4.7182285100780145e-40,5.188159416224301e-70,-1.4323310163443607e-104
1.642649620617658e-19,0.6417256944616501,3.76,0.0,0.5809453502055539,1.0,1.1736762851676482e-44,1.3670009111542006e-18,5.097912901274409e-33,8.5732011567682e-16,8.5732011567682e-16,6.054555775247785e-35,3.313721717049714e-33,3.309825697113237e-33,1.3392648687526578e-44,2.1687875515510045e-44,3.1039006083858574e-19,9.785875319242798e-35,1.4677620319621027e-19,3.170634437250382e-24,3.0563350125595797e-30,1.6361702827075338e-19,4.3197550787063923e-35,4.4567698214101945e-34,1.358508895971301e-45,3.435526711501214e-26,1.3414850279264517e-51,3.559220712230184e-53,3.2873986881666806e-33,2.6982080237723385e-48,9.865969534537368e-69,2.927500103735641e-34,1.9866323612371566e-50,1.2934195554770198e-62,6.174875201455303e-57,1.9745576485299954e-76,5.274641261328684e-19,4.358845275004238e-33,5.274641261328443e-19,9.886672356969908e-38,1.3428362578231663e-64,2.3033946249272327e-37,3.890136504364289e-21,1.6659632379922696e-50,5.228883126540377e-69,5.758605927527636e-35,3.701735011818633e-49,2.3451183524465143e-60,6.863172262030159e-53,8.374470176335918e-66,3.2597116229815885e-60,2.521553911029169e-44,2.0933224359388985e-64,1.9066216455475033e-52,8.902943256166184e-65,8.553357862336844e-83,1.4287352350647372e-80,4.973607975396699e-88,1.7222931892469736e-21,9.815408387135264e-50,2.078220365009515e-68,3.7656285942102704e-55,1.265049355666746e-58,5.753901938290387e-35,3.890136504307411e-21,3.9575266464787706e-52,1.3670009111541696e-18,5.7958211259473337e-36,5.351827008191722e-32,1.162950274964499e-49,3.5039334056715185e-48,6.032378602706089e-43,1.7222931892248607e-21,5.6299242957481415e-68,2.849810020068719e-39,1.6312403308389148e-68,7.422612312845493e-103
3.754627704268933e-19,0.6417256944616501,3.76,0.0,0.5809453502055528,1.0,1.1523223366235965e-43,3.1245735112096766e-18,2.454425615533885e-32,1.959588835832729e-15,1.959588835832729e-15,2.915007978111224e-34,1.5954143648001237e-32,1.593538597215403e-32,1.3148981902207614e-43,2.129328478797412e-43,7.094629962026081e-19,4.711477719927536e-34,3.3548846444469966e-19,7.247172035121779e-24,1.471493744443983e-29,3.7398177890077057e-19,2.079776120688261e-34,2.1457428213583126e-33,1.3337920899094865e-44,7.852632498129178e-26,1.317391706772031e-50,3.494464001367729e-52,1.5827409577709412e-32,2.649116637871354e-47,1.949349324251036e-67,1.4094652817187959e-33,2.0559102887946073e-49,2.7006361664712088e-61,6.062529089245167e-56,8.266058034314304e-75,1.205632288303678e-18,2.0985963675020012e-32,1.2056322883035625e-18,4.760007155038113e-37,2.6532181575426327e-63,1.1089853590530877e-36,8.891740581412572e-21,1.7921665831976493e-49,1.0331391935808674e-67,2.7725208670750494e-34,3.639674435067629e-48,4.640624622030355e-59,7.383087536550037e-52,8.228620445618508e-65,3.20040420127546e-59,2.4756765961474995e-43,4.553433536977536e-63,2.0510565621558758e-51,1.857662331804204e-63,3.5781942195181704e-81,5.981090689459977e-79,2.0806489810133133e-86,3.936670146844992e-21,9.760392842745604e-49,4.106213266223536e-67,4.050891432842286e-54,1.2420329664030718e-57,2.770256098763153e-34,8.89174058113873e-21,4.257326574664297e-51,3.1245735112095268e-18,2.7904383831549293e-35,2.576674327717454e-31,1.1417914770003971e-48,3.4401825954437807e-47,5.922625082134227e-42,3.9366701467385286e-21,1.2560051404852093e-66,1.3720608507030755e-38,3.63920744281963e-67,7.790339227192241e-101
7.978583871571482e-19,0.6417256944616505,3.76,0.0,0.5809453502055506,1.0,1.0192160571767578e-42,6.639718711320883e-18,1.071912149971339e-31,4.1641262761445385e-15,4.164126276144539e-15,1.273060567192976e-33,6.967593698817339e-32,6.959401714075995e-32,1.1630125586339281e-42,1.8833669255282982e-42,1.5076088669310814e-18,2.0576261018946916e-33,7.129129869288459e-19,1.540027304897188e-23,6.426399777886315e-29,7.947112801478787e-19,9.082928725266349e-34,9.371022638481099e-33,1.1797239988047228e-43,1.6686844121268643e-25,1.1653426501061138e-49,3.0908138360360616e-51,6.91224558549656e-32,2.3431136658636375e-46,3.468762969285571e-66,6.155505184829101e-33,1.8602974071155874e-48,4.923352240438859e-60,5.3622383233833654e-55,3.0245282448612153e-73,2.5619686126452253e-18,9.165121687508399e-32,2.5619686126447215e-18,2.0788201815307362e-36,4.721259948110361e-62,4.843230418639391e-36,1.889494873553794e-20,1.6473096189254283e-48,1.8384160016380447e-66,1.2108327032791578e-33,3.2213513332227293e-47,8.263477612280502e-58,6.7863294429264e-51,7.289712795411952e-64,2.830721272612602e-58,2.1897079374973205e-42,8.441298376407721e-62,1.885274346544773e-50,3.3856186537056298e-62,1.3088676708998227e-79,2.1884648820861624e-77,7.610805961018037e-85,8.365424062023263e-21,8.682030685131529e-48,7.306787237540382e-66,3.7234671830052107e-53,1.0985641063156518e-56,1.2098436194708263e-33,1.8894948734341996e-20,3.91321659612223e-50,6.639718711320227e-18,1.2186577533036947e-34,1.1253013741501127e-30,1.0099016325225884e-47,3.0428025463324704e-46,5.238494810848935e-41,8.365424061558312e-21,2.3523586243785487e-65,5.992150207513717e-38,6.815832778216714e-66,6.219768400920657e-99
1.6426496206176582e-18,0.6417256944616508,3.76,0.0,0.5809453502055462,1.0,8.567125085451935e-42,1.3670009111544313e-17,4.475022220918466e-31,8.573201156768125e-15,8.573201156768126e-15,5.314777257498154e-33,2.9088332243150243e-31,2.9054132195005013e-31,9.775821323378028e-42,1.583083382124535e-41,3.103900608389744e-18,8.590183930907247e-33,1.467762031845809e-18,3.170657834910134e-23,2.6828954032356975e-28,1.6361702825903902e-18,3.791943945085023e-33,3.9122174830337106e-32,9.916291046896282e-43,3.435526756708178e-25,9.795901184327568e-49,2.598015265318324e-50,2.8857264638116965e-31,1.9695282192767672e-45,5.850575753144498e-65,2.5698022432048996e-32,1.5802921368302567e-47,8.398119979871305e-59,4.507284409737901e-54,1.0338768084022177e-71,5.274641261328035e-18,3.8262578887532222e-31,5.27464126132593e-18,8.678665044169421e-36,7.963094968470918e-61,2.0219533598616367e-35,3.890136504390388e-20,1.409307971481904e-47,3.100757319154721e-65,5.0549881831538186e-33,2.7085727197560384e-46,1.3942149811513566e-56,5.805847720137174e-50,6.146942376122484e-63,2.3793917933970587e-57,1.8405815022311422e-41,1.4508435147912358e-60,1.6128918953068212e-49,5.7743455819381695e-61,4.473512269172333e-78,7.480846278898872e-76,2.6012586831610247e-83,1.7222931892308756e-20,7.317226957212573e-47,1.2323965078150977e-64,3.185504651547815e-52,9.234093468621563e-56,5.0508589530747874e-33,3.8901365038911036e-20,3.347839187457112e-49,1.3670009111541574e-17,5.087656226785509e-34,4.697911720562046e-30,8.48883175784699e-47,2.5576588819427933e-45,4.403270526960609e-40,1.7222931890367668e-20,4.063114536905387e-64,2.5016047557865204e-37,1.177265613508333e-64,4.430434643590882e-97
3.332232087538678e-18,0.6417256944616521,3.76,0.0,0.5809453502055373,1.0,7.023846750810033e-41,2.7730589911995246e-17,1.828192594537423e-30,1.7391350918015162e-14,1.739135091801517e-14,2.1712599200140077e-32,1.1883532951693656e-30,1.1869561014407915e-30,8.014808951161133e-41,1.2979074022852922e-40,6.2964840913139305e-18,3.50937042657953e-32,2.977460121474415e-18,6.431960203907714e-23,1.0960503128620928e-27,3.319088287268593e-18,1.5491328297297924e-32,1.5982684946735169e-31,8.129974517166593e-42,6.969211525684487e-25,8.03146823188035e-48,2.1300098810050104e-49,1.1789134191524122e-30,1.6147382279296177e-44,9.609588244000678e-64,1.0498480668504507e-31,1.3022248078002515e-46,1.386918651296097e-57,3.6953440774906646e-53,3.4183088428853704e-70,1.0699986558692513e-17,1.5631511952760828e-30,1.0699986558683911e-17,3.545517850738633e-35,1.3079407371508128e-59,8.260339216132427e-35,7.891419766109656e-20,1.1652430492308383e-46,5.093003286078891e-64,2.0651276129049115e-32,2.2209829743408642e-45,2.290368842888134e-55,4.8003871772517524e-49,5.0716122609482836e-62,1.9507691490475913e-56,1.5090199859566016e-40,2.4046667259121406e-59,1.3335702092979285e-48,9.53552766611892e-60,1.4789833861831563e-76,2.47339361490456e-74,8.599995184198535e-82,3.4937947552595537e-20,6.006847483453943e-46,2.0242151025589468e-63,2.633836986497662e-51,7.570668087618592e-55,2.0634406877815912e-32,7.891419764069916e-20,2.7680581845405324e-48,2.7730589911984054e-17,2.0784735747776843e-33,1.9192502265289503e-29,6.9596571898783565e-46,2.0969232772526937e-44,3.6100672049428405e-39,3.493794754466557e-20,6.750925583941133e-63,1.02198716797947e-36,1.9560444205588182e-63,2.988951650679371e-95
6.711397021380718e-18,0.6417256944616542,3.76,0.0,0.5809453502055196,1.0,5.688093207341872e-40,5.585175151291339e-17,7.389846777346478e-30,3.50276504405087e-14,3.502765044050873e-14,8.776579698047573e-32,4.803514102444048e-30,4.797866339781702e-30,6.490600086350644e-40,1.051079064487914e-39,1.2681651057189755e-17,1.4185436364324905e-31,5.996856299910352e-18,1.2954730177789589e-22,4.430410607300939e-27,6.684924295797718e-18,6.261842583430859e-32,6.460456799374783e-31,6.583864147583565e-41,1.403658138289189e-24,6.5041696293534e-47,1.7249372275353296e-48,4.765356530226785e-30,1.3076568817045016e-43,1.5577556652949646e-62,4.243653741817365e-31,1.0572105789125312e-45,2.2542701431271456e-56,2.9925854417856048e-52,1.1117845458546042e-68,2.15506771534169e-17,6.318507057677494e-30,2.1550677153382128e-17,1.4331550051038015e-34,2.120228289522589e-58,3.338961177740475e-34,1.5893986289732501e-19,9.475562819398556e-46,8.255978053242383e-63,8.347575995918814e-32,1.798741801012751e-44,3.7130796034729616e-54,3.9035951429955947e-48,4.158916787164366e-61,1.5797834340425585e-55,1.2220436174188788e-39,3.915376393899846e-58,1.084437146806632e-47,1.5498387998661675e-58,4.810154451142156e-75,8.044565071311236e-73,2.7970094840464053e-80,7.036797887203224e-20,4.867589522794885e-45,3.281340357408722e-62,2.1417927217997915e-50,6.130923885881472e-54,8.340757175641866e-32,1.589398628148755e-19,2.2509389505967177e-47,5.585175151286814e-17,8.401522508591878e-33,7.757916274062129e-29,5.636110900364917e-45,1.698142834050986e-43,2.923526007793882e-38,7.036797883997805e-20,1.1005712586119008e-61,4.1310355337529054e-36,3.1888460733011154e-62,1.9636420416952068e-93
1.3469726889064798e-17,0.6417256944616583,3.76,0.0,0.5809453502054842,1.0,4.578272271040663e-39,1.1209407471481482e-16,2.971424893378259e-29,7.030024948549361e-14,7.030024948549374e-14,3.529024052967586e-31,1.9314719599342303e-29,1.9292009532867496e-29,5.224199618425113e-39,8.459998722606223e-39,2.5451984989051208e-17,5.7039015723067425e-31,1.2035648653497123e-17,2.6000931069099817e-22,1.781448619014872e-26,1.3416596309546849e-17,2.5178593627227235e-31,2.5977212671252202e-30,5.299266648822167e-40,2.8171322374326233e-24,5.235152893695563e-46,1.3883795495431604e-47,1.9161289003755476e-29,1.0525160216697874e-42,2.5087174773645125e-61,1.7063545047897087e-30,8.519876559031099e-45,3.6352426450777635e-55,2.408693111903922e-51,3.5866649943595214e-67,4.325205834284739e-17,2.5406438980869914e-29,4.3252058342707576e-17,5.76265325821022e-34,3.414562270251323e-57,1.3425816003590585e-33,3.1899119337715464e-19,7.642384634526542e-45,1.3295998955555652e-61,3.3565235932297616e-31,1.4478366968840397e-43,5.980034536543876e-53,3.1483909216736825e-47,3.430834631450636e-60,1.2715471458314723e-54,9.836071938447549e-39,6.319433285096046e-57,8.746378452994337e-47,2.499237127336283e-57,1.5517525789698436e-73,2.5952114501395877e-71,9.023133917445705e-79,1.412280415063583e-19,3.9190932836801303e-44,5.284498926663674e-61,1.7274337865199633e-49,4.934701864535114e-53,3.3537817762200765e-31,3.1899119304562853e-19,1.8154638186749054e-46,1.1209407471463291e-16,3.3782152494722787e-32,3.1194240106089203e-28,4.536432490558633e-44,1.3668130842687522e-42,2.353108052638009e-37,1.412280413774698e-19,1.7774255349187048e-60,1.6610712184360115e-35,5.149994886393083e-61,1.273239797746019e-91
2.6986386624432957e-17,0.6417256944616669,3.76,0.0,0.5809453502054135,1.0,3.6737751757719275e-38,2.2457872111887823e-16,1.1916742872309769e-28,1.4084544757545486e-13,1.4084544757545542e-13,1.4152964503550057e-30,7.746066960375887e-29,7.736958677638501e-29,4.1920911843165767e-38,6.78861617233059e-38,5.099265285321329e-17,2.2875196437500506e-30,2.411323334753025e-17,5.209597662590313e-22,7.144405730390764e-26,2.6879940323808623e-17,1.0097742188727932e-30,1.041802415819544e-29,4.2523277488996175e-39,5.644080946527618e-24,4.200893019392612e-45,1.1140871557123404e-46,7.684533887035175e-29,8.445778217590446e-42,4.0270471525794637e-60,6.843244745678339e-30,6.840871858448458e-44,5.839216695670233e-54,1.9328245269946506e-50,1.1523873877310364e-65,8.665482072163523e-17,1.018911836207332e-28,8.665482072107455e-17,2.3110817096482365e-33,5.4811285684524325e-56,5.384352670250011e-33,6.390938543663042e-19,6.138778926917e-44,2.134302557078038e-60,1.3461160844655211e-30,1.1618188754362671e-42,9.599467201132975e-52,2.528958839514595e-46,2.886837809379222e-59,1.0203365053862215e-53,7.892831087437105e-38,1.0155159638527215e-55,7.025566821368604e-46,4.0144441027500664e-56,4.985707712448549e-72,8.338355902645813e-70,2.8990904214030293e-77,2.829481667568209e-19,3.1453187041319175e-43,8.482795737554031e-60,1.3875693449765176e-48,3.95978898278565e-52,1.3450164937219302e-30,6.390938530367361e-19,1.4582792830254406e-45,2.245787211181487e-16,1.3548154094130497e-31,1.2510285457886607e-27,3.640201551463147e-43,1.0967814153654089e-41,1.888220987460022e-36,2.8294816623992057e-19,2.8571596758144995e-59,6.661638512320106e-35,8.278466240450868e-60,8.202267748567702e-90
