Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57)
8.74720237173445e-18,0.18841647777341594,3.76,0.0,0.6873636243725909,0.9999999999999999,2.3308703370769767e-37,3.116199042603902e-27,6.933661910925072e-28,2.370052769033894e-13,2.3700527690339e-13,1.385724774801409e-29,5.928731179383429e-28,5.924250030147765e-28,3.5405110848640202e-37,6.648148534263878e-40,2.0070452233581863e-16,2.0737973917797017e-29,9.109119789681081e-17,1.4304610888864949e-21,2.662716443007923e-25,1.0961475437032397e-16,7.037996132402879e-30,3.4674828426386476e-29,4.099180072713103e-38,7.859922110545065e-23,6.211022406265079e-44,2.142196133837851e-45,6.95879139603495e-28,6.792434478576204e-41,2.4765438090608632e-58,3.3197447106879283e-29,3.521260602695866e-43,3.0228121923056008e-53,1.043580455529441e-48,1.3619895635672002e-64,1.7556271966052652e-16,6.253134708474189e-28,1.7556271965834337e-16,1.755163637105229e-41,1.638776133578008e-54,1.204804015557596e-44,3.4792304454896422e-28,5.75191293397309e-57,1.678486337689905e-58,5.534005791307045e-30,4.7509952297030275e-59,4.343060956312323e-68,8.26186611553283e-71,2.3692075123240135e-57,1.378285591764013e-51,2.5719880557321586e-50,4.8934035418186544e-86,8.45487678031084e-89,2.722227145352372e-55
1.750200439800559e-17,0.1884164777734241,3.76,0.0,0.6873636243723533,0.9999999999999997,1.866113551257612e-36,1.247291721929645e-26,2.7752717489622193e-27,4.742164662974618e-13,4.742164662974644e-13,5.546510090519567e-29,2.3730378253143662e-27,2.3712439153050273e-27,2.8345616488333215e-36,5.322561598919904e-39,4.015834187222175e-16,8.300594039223496e-29,1.8226153644999975e-16,2.862689263742196e-21,1.065780499925015e-24,2.1932474284101002e-16,2.817032611031055e-29,1.3878967894623624e-28,3.2818365340687893e-37,1.572667410556365e-22,4.97259448795813e-43,1.715059464864773e-44,2.7853300595701067e-27,5.438077667674743e-40,3.9656967888677125e-57,1.3287630331058737e-28,2.8191495561209535e-42,4.840437943197379e-52,8.354989050778982e-48,4.3620339145755455e-63,3.5127796991820773e-16,2.5028834973105246e-27,3.5127796990946937e-16,1.4055544084381103e-40,2.6241768815605422e-53,9.648203427276796e-44,1.3925988918106317e-27,9.213056944955977e-56,2.6877650493653885e-57,2.2150445170291654e-29,7.610438792509621e-58,1.3914565150585432e-66,2.646976406774673e-69,2.006189390162531e-56,1.1034665322608277e-50,4.118531941954348e-49,3.1356205750905426e-84,5.41798906468121e-87,4.359110229666577e-54
3.501160845054788e-17,0.18841647777344056,3.76,0.0,0.6873636243718781,0.9999999999999992,1.4934580112495565e-35,4.9907915602639613e-26,1.1104702115950499e-26,9.486388450852751e-13,9.48638845085285e-13,2.2193262531849844e-28,9.49524457989761e-27,9.488064342497227e-27,2.2685107980163603e-35,4.259667574633634e-38,8.033412115207833e-16,3.3213188182345543e-28,3.646022127678363e-16,5.7287191588672306e-21,4.264510233406407e-24,4.3874471898745783e-16,1.1271799825782957e-28,5.553394979525148e-28,2.6264666426546146e-36,3.1460181420041397e-22,3.979586856021313e-42,1.3725688308197573e-43,1.11449482009029e-26,4.352114867133914e-39,6.347697492230657e-56,5.316782913546806e-28,2.256176436828695e-41,7.747853016508095e-51,6.68653047732839e-47,1.396437927151518e-61,7.027084704274802e-16,1.0014794145850768e-26,7.027084703925153e-16,1.1250132026154932e-39,4.20039167471227e-52,7.722473067772869e-43,5.572209511243069e-27,1.4748892648865444e-54,4.3021744833307585e-56,8.863063273003236e-29,1.2183783920833187e-56,4.455345980520464e-65,8.475414921592802e-68,1.7806401816432175e-55,8.83108595342985e-50,6.59233328234161e-48,2.008027618976069e-82,3.469712525782801e-85,6.977415209434762e-53
7.003081655563245e-17,0.1884164777734734,3.76,0.0,0.6873636243709278,0.9999999999999984,1.1949933498768124e-34,1.9966416048080438e-25,4.4426040701730145e-26,1.8974836026595753e-12,1.8974836026596144e-12,8.878748155534804e-28,3.798717928432925e-26,3.7958435570797485e-26,1.8151533009904934e-34,3.4083823089275765e-37,1.606856797220988e-15,1.3287437986690332e-27,7.292835622493449e-16,1.1467073130708683e-20,1.7060817738450322e-23,8.775846681006563e-16,4.509453927250108e-28,2.2217196090862782e-27,2.1015723634834248e-35,6.292720934684828e-22,3.1842741114801195e-41,1.0982636336069678e-42,4.458704917559565e-26,3.4823531163964996e-38,1.01583825637351e-54,2.1270593632262698e-27,1.8052839332736254e-40,1.2399087259160928e-49,5.350240275571337e-46,4.469540879348854e-60,1.4055694714216654e-15,4.006569782475446e-26,1.405569471281783e-15,9.002384850364374e-39,6.721993176308373e-51,6.179542798085573e-42,2.229246644944182e-26,2.360463121593942e-53,6.884879859255561e-55,3.545802417852479e-28,1.949972184764795e-55,1.4261405004895176e-63,2.712947558521854e-66,1.7049621279536376e-54,7.066210569928683e-49,1.0549879512077084e-46,1.2855315813942533e-80,2.221320245014809e-83,1.1166135938199063e-51
1.400692327658016e-16,0.1884164777735391,3.76,0.0,0.6873636243690271,0.9999999999999969,9.560855048228685e-34,7.987216426162167e-25,1.777186360549632e-25,3.795173117802869e-12,3.795173117803027e-12,3.5517867137587134e-27,1.5196122816177411e-25,1.518460992308141e-25,1.4522605163164402e-33,2.7269664428646464e-36,3.213887969033688e-15,5.3154077687227995e-27,1.4586462485957032e-15,2.2968957800251934e-20,6.824882449405748e-23,1.7552645536082658e-15,1.803928393590562e-27,8.887601733877742e-27,1.6814175242785643e-34,1.2586131839258088e-21,2.5476611516204518e-40,8.786943766912854e-42,1.7836270578452108e-25,2.786146991577728e-37,1.6255065431184509e-53,8.508929835996603e-27,1.4443642648614394e-39,1.9840557677979902e-48,4.280598592482714e-45,1.4304033865454196e-58,2.811291473312596e-15,1.6027583470479142e-25,2.8112914727530205e-15,7.202819634434025e-38,1.0756279934217047e-49,4.944259782723199e-41,8.917712312075448e-26,3.777253281423655e-52,1.101692850569662e-53,1.4184363854678009e-27,3.1204090512755036e-54,4.564337469969872e-62,8.682736265066802e-65,1.8124286368137377e-53,5.653505303923565e-48,1.688152439395359e-45,8.228663066459228e-79,1.4218704917995257e-81,1.78676348924394e-50
2.8014606518613986e-16,0.1884164777736705,3.76,0.0,0.6873636243652257,0.9999999999999937,7.649047979643802e-33,3.195016575868724e-24,7.109035536838142e-25,7.59055214806823e-12,7.590552148068858e-12,1.4207712197937562e-26,6.078708012911278e-25,6.0740910902653295e-25,1.1618635594311975e-32,2.1816794275157476e-35,6.427950314308248e-15,2.126249625772129e-26,2.9173715708217884e-15,4.607343403873837e-20,2.730064017329074e-22,3.510624273748334e-15,7.216007332987196e-27,3.555185367386936e-26,1.3451978709419864e-33,2.5172974925822705e-21,2.038225648930729e-39,7.029889443592123e-41,7.134798047719853e-25,2.229023368101818e-36,2.6009426994728218e-52,3.4037103664794304e-26,1.1555462462270149e-38,3.1746506405929093e-47,3.4246413852841435e-44,4.5775311049794684e-57,5.622735476704699e-15,6.411294265132772e-25,5.622735474466308e-15,5.7626203531464e-37,1.7210912689700042e-48,3.955657627636584e-40,3.567230076236779e-25,6.044015031149902e-51,1.762798238562057e-52,5.67397629375488e-27,4.993017597683787e-53,1.460698115504626e-60,2.778684400523569e-63,2.167372081026481e-52,4.523019102228816e-47,2.7011812703147484e-44,5.266748181591362e-77,9.100694698565089e-80,2.85896694549842e-49
5.602997300268164e-16,0.1884164777739332,3.76,0.0,0.6873636243576229,0.9999999999999872,6.119384959188966e-32,1.2780326314023291e-23,2.8436727301965565e-24,1.5181310208514047e-11,1.5181310208516564e-11,5.683190285219827e-26,2.431541909048306e-24,2.4296858398168834e-24,9.295128958415678e-32,1.7453892994541596e-34,1.2856075011454016e-14,8.505171545880625e-26,5.8348220134074516e-15,9.268521408097945e-20,1.092047785085619e-21,7.021343510527885e-15,2.8864617681966243e-26,1.4221030895799066e-25,1.0761838295822437e-32,5.034674621318879e-21,1.6306191752193126e-38,5.624046183287849e-40,2.8539768828770535e-24,1.7832609572339614e-35,4.161613965731871e-51,1.3615117939260548e-25,9.244589058804512e-38,5.0795700210309925e-46,2.7397780405709185e-43,1.4648482465486767e-55,1.1245623481929871e-14,2.5645698819998458e-24,1.1245623472976126e-14,4.610242019895122e-36,2.753812674921863e-47,3.164625335307427e-39,1.4269210611158165e-24,9.670751637204479e-50,2.8205489695519873e-51,2.269636594308487e-26,7.989119433213566e-52,4.674410538874699e-59,8.89212496912457e-62,2.881740061940235e-51,3.618501401202519e-46,4.3219998809569064e-43,3.3708484221505016e-75,5.824678419224393e-78,4.5744632860815983e-48
1.1206070597081696e-15,0.18841647777445872,3.76,0.0,0.6873636243424173,0.9999999999999744,4.89556819058981e-31,5.112182524271318e-23,1.1374811916765883e-23,3.036282632906608e-11,3.036282632907614e-11,2.2732910638634406e-25,9.726340450553679e-24,9.718841996562603e-24,7.436191187597067e-31,1.3963349380340062e-33,2.5712324432132135e-14,3.402103229735212e-25,1.1669722091112895e-14,1.8752008416788204e-19,4.368235259006877e-21,1.4042781170084756e-14,1.1545965401681614e-25,5.688470302828114e-25,8.609572633958863e-32,1.0069462928138414e-20,1.3045107451921014e-37,4.499292163228294e-39,1.1416020456022062e-23,1.4266255938124223e-34,6.658666412203152e-50,5.44610215426596e-25,7.3957584770549015e-37,8.127414791693184e-45,2.1918482874820773e-42,4.687574690935563e-54,2.249139948614408e-14,1.0258383877858962e-23,2.249139945032875e-14,3.6882517112547854e-35,4.406145464570883e-46,2.5317388574322504e-38,5.7077423048060535e-24,1.5473463897261914e-48,4.51293592165434e-50,9.078637936531243e-26,1.2782826591497807e-50,1.4958398553777862e-57,2.8455340850791477e-60,4.141915052278149e-50,2.894835846778243e-45,6.915287533513908e-42,2.157384916778303e-73,3.727871908708267e-76,7.319233812186381e-47
2.241221719070876e-15,0.18841647777550968,3.76,0.0,0.687363624312006,0.9999999999999486,3.916481189559382e-30,2.0448834063587633e-22,4.5499521372264494e-23,6.072585856881166e-11,6.072585856885191e-11,9.093145102672575e-25,3.8906150677380994e-23,3.887556389366914e-23,5.9489878810587835e-30,1.1170856622953297e-32,5.1424823379034696e-14,1.3608482162146755e-24,2.333951901666146e-14,3.836350622821508e-19,1.7473027369439585e-20,2.808565323319042e-14,4.618410352826224e-25,2.275399757078961e-24,6.887698689755489e-31,2.0139175768375346e-20,1.0436146660102225e-36,3.5994580005951103e-38,4.5664288441379805e-23,1.1413070826223999e-33,1.0653932068729224e-48,2.178451604188174e-24,5.9166410230738084e-36,1.3003944464406448e-43,1.7534887828502833e-41,1.500032930121965e-52,4.498295146962796e-14,4.1033744188381865e-23,4.4982951326365906e-14,2.9506242865125883e-34,7.049842869769076e-45,2.0254047542230188e-37,2.283108532909674e-23,2.475774870982867e-47,7.22074397674546e-49,3.631473010444048e-25,2.045271885759092e-49,4.786734590306518e-56,9.105798900616154e-59,6.251936125490583e-49,2.3158830120029917e-44,1.1064529733678048e-40,1.3807403498469143e-71,2.385866602766265e-74,1.171084690965615e-45
4.4824510377962886e-15,0.18841647777761167,3.76,0.0,0.6873636242511836,0.9999999999998972,3.133199682731328e-29,8.179554393754194e-22,1.8199888659809904e-22,1.21451923042869e-10,1.2145192304303002e-10,3.637214969424937e-24,1.556297264231293e-22,1.555026364459845e-22,4.759203833126102e-29,8.936889144865241e-32,1.0284982169502497e-13,5.4434067296362284e-24,4.667909994831897e-14,8.016459537188062e-19,6.989226691048915e-20,5.617138433537635e-14,1.84736940057658e-24,9.101622676218678e-24,5.510174838326292e-30,4.027914658894123e-20,8.348940132541889e-36,2.8795796016774415e-37,1.8265741313921038e-22,9.130481112435105e-33,1.7046339333712314e-47,8.713825875527986e-24,4.733325473785175e-35,2.080637127145265e-42,1.4027947846962502e-40,4.8001158588904474e-51,8.99660553368176e-14,1.6413539391873238e-22,8.996605476376792e-14,2.3605080829617364e-33,1.1279673425027089e-43,1.6203264427056566e-36,9.132457344600983e-23,3.9612554956337015e-46,1.155322899016113e-47,1.4525923904642741e-24,3.2724532535770664e-48,1.5317635445680813e-54,2.913872117120901e-57,9.702909427578317e-48,1.8527128541718655e-43,1.7703301719177997e-39,8.83679055570747e-70,1.526968521085198e-72,1.8737409355058703e-44
