Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725)
0.0,0.10365589703397797,3.76,0.0,0.6638218060985216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5871414212650893e-16,0.10365589703397797,3.76,0.0,0.6638218060985213,1.0,1.0210033118171978e-37,1.3395425116568494e-21,1.1419583974116853e-29,3.1224869129446226e-16,3.122486912944624e-16,1.1213352367175996e-36,1.0775820975531646e-34,4.098250991909087e-35,2.354878532720461e-42,6.2246172764715155e-40,9.950182008727342e-19,1.0505425890644123e-31,6.080341655182478e-19,2.7969236027817405e-26,6.711723457412375e-27,3.869840468193713e-19,5.730780498773177e-36,3.4684887952361144e-33,1.0647741189002186e-43,2.5883082875620822e-30,2.711368612753424e-48,1.0609210497279142e-48,3.075502036792962e-27,1.5741433633419152e-44,4.3323933682509195e-59,5.8643070680770234e-30,3.4879778333939705e-47,5.098033576932111e-55,1.6828206725073175e-54,3.320265586958791e-64,4.625241136184608e-21,5.551805005125219e-30,4.625241141559432e-21,7.021996783169411e-39,1.1927893719554514e-60,3.957480960119858e-39,7.750911511998038e-25,1.3609394670416463e-52,4.733297519565472e-69,7.049814873917674e-35,1.09063064417678e-45,1.7223412923109106e-52,3.518940845628072e-53,5.265989157037663e-66,1.564381393032293e-57,7.2318559101154074e-40,3.1097344473582786e-52,1.7069294696627906e-52,8.474639924760023e-58,4.328162305681793e-77,1.294135963683369e-68,6.950306989824818e-82,2.474056788498338e-25,7.662261238734098e-47,3.895856160872559e-64,9.103104294567036e-54,6.067922490219121e-58,4.545789930628188e-36,7.750910056107619e-25,3.6791123588538566e-52,1.3395425114673971e-21,2.4428100577553627e-37,1.2958052100695644e-31,1.667963348720671e-44,7.123753886644174e-43,1.7344935882920673e-38,2.4740563209304446e-25,3.5063081720499983e-68,4.428504548822643e-42,1.3446228315479592e-69,9.656881853032711e-70,4.983492190059947e-53,7.568638860427838e-72,6.900548923223946e-64
7.24399597954225e-16,0.10365589703397798,3.76,0.0,0.6638218060985207,1.0,1.212135115556729e-36,3.7507190332530004e-21,6.89742862150099e-29,8.742963356244939e-16,8.742963356244942e-16,6.77284449644304e-36,6.516490912781868e-34,2.475343525967735e-34,2.795711696635969e-41,7.38986357684331e-39,2.78605098400607e-18,6.345277278926327e-31,1.7024956400674332e-18,7.849708705883486e-26,4.0538809296811776e-26,1.0835553227494462e-18,3.461391388861983e-35,2.0949674157980586e-32,1.2640998001847301e-42,7.247502769737844e-30,3.218950623314049e-47,1.2595255311490838e-47,1.857603204627672e-26,1.868822981764e-43,9.691390798725092e-58,3.542041429389907e-29,4.140954084059185e-46,1.140416769229864e-53,1.997844685199956e-53,1.3701251541329098e-62,1.2950675163277181e-20,3.3532902191974653e-29,1.2950675195741111e-20,4.241286550362454e-38,2.6682190446738487e-59,2.390318283836947e-38,2.1702552752269958e-24,2.0566276759958523e-51,1.0588197185811199e-67,4.258088167771011e-34,1.2947979684531732e-44,2.655168213524663e-51,5.3178506794760315e-52,9.54001095800055e-65,1.8572301571692188e-56,8.585923873182253e-39,4.699430696507321e-51,2.5795118141995692e-51,1.8957547620760223e-56,1.7860390586621246e-75,5.3403160270486525e-67,2.8680809240088288e-80,6.9273590071023505e-25,9.096868802664056e-46,8.714874313945006e-63,1.3758511044388622e-52,7.203944942259187e-57,2.7456571178710147e-35,2.17025439586931e-24,5.559957496046101e-51,3.750719032108709e-21,1.4754572748852607e-36,7.826661089887172e-31,1.9803045558823386e-43,8.457308080351523e-42,2.059187545582415e-37,6.927356182992789e-25,1.1024396168260529e-66,2.6748162512643227e-41,4.2277056041498485e-68,3.0363614501591412e-68,7.53105290998791e-52,2.3870690714674457e-70,2.1696429701927835e-62
1.655770509609657e-15,0.10365589703397801,3.76,0.0,0.6638218060985196,1.0,1.1900814099329181e-35,8.573072078900592e-21,3.3208148713748027e-28,1.998391624284555e-15,1.9983916242845562e-15,3.260812368559966e-35,3.1454513046830457e-33,1.1917712787291392e-33,2.7448461157645014e-40,7.255407530728622e-38,6.3681166365223996e-18,3.054977910465216e-30,3.891418495631166e-18,1.8028569380700242e-25,1.9517691235216757e-25,2.4766978412304236e-18,1.6665109204333826e-34,1.0086368168676637e-31,1.241100608291868e-41,1.6566850322346558e-29,3.160390690542661e-46,1.2366097643686159e-46,8.943559539064794e-26,1.83482144480522e-42,1.9148555639703897e-56,1.705340435803878e-28,4.0656248677705266e-45,2.2532780752538585e-52,1.9614957225517497e-52,5.4200953752704434e-61,2.960154314530344e-20,1.6144648896431623e-28,2.960154330160328e-20,2.041997390301915e-37,5.271937928882868e-58,1.1508351390897173e-37,4.960583730751558e-24,2.2124178829064257e-50,2.092049304882715e-66,2.0500861412220132e-33,1.271240847266954e-43,3.0015849480633833e-50,5.720776773488014e-51,1.6331169638826337e-63,1.823432310362192e-55,8.430271309844905e-38,5.055433095208502e-50,2.7749210990191416e-50,3.745703105340165e-55,7.065414445186827e-74,2.1125784436377432e-65,1.1345877490564013e-78,1.583396344153839e-24,8.931461374795489e-45,1.7219122694144814e-61,1.4805004039449892e-51,7.073103265988052e-56,1.3219157114840392e-34,4.9605794970241274e-24,5.981378516540547e-50,8.573072073391323e-21,7.103691647967627e-36,3.7681979824844204e-30,1.9444833299712262e-42,8.303408675370767e-41,2.0217156749838205e-36,1.5833949844671815e-24,2.4594831953063224e-65,1.2878083784610336e-40,9.431758837835122e-67,6.774655628310153e-67,8.10156190386645e-51,5.360241547739408e-69,4.840354019652023e-61
3.5185123329205213e-15,0.10365589703397805,3.76,0.0,0.6638218060985174,1.0,1.052613468676528e-34,1.821777818001694e-20,1.4502870114711895e-27,4.246582201604671e-15,4.2465822016046765e-15,1.42406423453233e-34,1.3807665803493544e-32,5.204777625971769e-33,2.4277849379432426e-39,6.417318057237035e-37,1.3532248286553666e-17,1.334189151626567e-29,8.269263832620111e-18,3.86794525746653e-25,8.52388819267736e-25,5.2629827446756935e-18,7.278090731073186e-34,4.40498361381411e-31,1.0977393057550752e-40,3.520938242060092e-29,2.7953318158403705e-45,1.093767561901898e-45,3.905887190000303e-25,1.622878716908142e-41,3.4073833660948804e-55,7.447669360664337e-28,3.596003494298466e-44,4.0095931022624845e-51,1.734920688549764e-51,1.9343960952276168e-59,6.29032788207204e-20,7.050792296087431e-28,6.290327950332284e-20,8.917943347671924e-37,9.381084424091557e-57,5.0259974701842435e-37,1.0541241471681391e-23,2.0335901076654618e-49,3.722689837651864e-65,8.953264640703585e-33,1.12439828585643e-42,3.0333214066513567e-49,5.258522379738498e-50,2.683395207271242e-62,1.6127922941103215e-54,7.457476285737284e-37,4.646813987428899e-49,2.550630565249944e-49,6.6652871271778e-54,2.52159957896442e-72,7.539624378178205e-64,4.049268449538352e-77,3.364717229932253e-24,7.899816572357891e-44,3.064050750127198e-60,1.3616132493392146e-50,6.256484265806543e-55,5.7731532083571055e-34,1.0541222981892777e-23,5.49835161678424e-49,1.8217778155956504e-20,3.102368773364705e-35,1.6456689294472322e-29,1.72024451640161e-41,7.344223712113248e-40,1.7881724016920975e-35,3.3647112918280364e-24,4.6063438003767206e-64,5.6241930855316846e-40,1.766456620142393e-65,1.2690776805432083e-65,7.446729029890752e-50,1.017013931591712e-67,9.065447029251184e-60
7.24399597954225e-15,0.10365589703397814,3.76,0.0,0.6638218060985128,1.0,8.847849422440297e-34,3.7507190421534276e-20,6.0546620439020416e-27,8.742963356244871e-15,8.742963356244896e-15,5.945035786958414e-34,5.823476116590399e-32,2.1728916555329432e-32,2.0406989078662007e-38,5.394129480749608e-36,2.7860512966610435e-17,5.569977378852331e-29,1.7024953010044208e-17,8.11538660989497e-25,3.558555238707369e-24,1.0835552017499548e-17,3.038459368289008e-33,1.8389953187058246e-30,9.227158161528029e-40,7.250981570930927e-29,2.3496451431568253e-44,9.193779262610902e-45,1.6306308228535823e-24,1.3641272256600184e-40,5.747050756663975e-54,3.1092550532803592e-27,3.0226588973386985e-43,6.76276798133894e-50,1.4583052665024274e-50,6.535890327894234e-58,1.295067490170121e-19,2.9435669593379526e-27,1.295067518667429e-19,3.7230693557064666e-36,1.5822409946786334e-55,2.0982533908065452e-36,2.1702560273063837e-23,1.739777844869596e-48,6.278860114785564e-64,3.7378116218957776e-32,9.451244785010228e-42,3.0667157952037257e-48,4.4990223123604205e-49,4.33963448700771e-61,1.3556273420205082e-53,6.270134991962978e-36,3.975447195937371e-48,2.1821181459112012e-48,1.1241986256450216e-52,8.519919276507675e-71,2.54745097065911e-62,1.3681569566991727e-75,6.927358997053913e-24,6.640287353066723e-43,5.167968996026176e-59,1.166221179662301e-49,5.259632531482708e-54,2.4101778180323982e-33,2.1702483081931156e-23,4.7047021243401554e-48,3.750719032108669e-20,1.29517789263569e-34,6.870326037779176e-29,1.446593333608926e-40,6.173183103280111e-39,1.503046096033184e-34,6.927334206676491e-24,7.956327130242507e-63,2.3479861894690936e-39,3.051088874927324e-64,2.1929101296346667e-64,6.3708298085812516e-49,1.8019244898836948e-66,1.565830409077964e-58
1.4694963272785707e-14,0.10365589703397832,3.76,0.0,0.6638218060985038,1.0,7.253999833626807e-33,7.608601506170755e-20,2.4735263994285884e-26,1.773572566552515e-14,1.773572566552525e-14,2.4286168406676075e-33,2.427334245605247e-31,8.876966939324729e-32,1.6730872458722333e-37,4.422411898349639e-35,5.651704784669937e-17,2.275517753599454e-28,3.453632537867943e-17,1.707932797651623e-24,1.4537856919133668e-23,2.198068842688093e-17,1.2413095963151887e-32,7.512907140121706e-30,7.564978231359539e-39,1.4717232761572076e-28,1.9263803818835897e-43,7.537622034993525e-44,6.661657408718048e-24,1.1183937171479798e-39,9.439550346332978e-53,1.270231898939262e-26,2.4781581881971097e-42,1.1107866089183089e-48,1.1956065857589945e-49,2.148857598078022e-56,2.6271368479142674e-19,1.2025431252888853e-26,2.6271369643350676e-19,1.5209982193282686e-35,2.598782989169216e-54,8.572036538253952e-36,4.402521115391936e-23,1.438481249362608e-47,1.031304522416761e-62,1.5270179110802352e-31,7.748699886645686e-41,3.316339105770274e-47,3.720285369534737e-48,6.975190775345384e-60,1.1113895170110965e-52,5.143385231984768e-35,3.286976614988704e-47,1.8042174766657858e-47,1.8464995305387042e-51,2.801162962739904e-69,8.375336480581382e-61,4.498200525530189e-74,1.4052642513556583e-23,5.444114309580046e-42,8.488403131994745e-58,9.66457804066592e-49,4.313280521268475e-53,9.846362794357278e-33,4.4024895803732404e-23,3.891174477047084e-47,7.608601465134636e-20,5.291224297616996e-34,2.806737819833127e-28,1.1870281515550796e-39,5.061018190105539e-38,1.2322542956605802e-33,1.4052541237092725e-23,1.3219602162293667e-61,9.592259384138064e-39,5.069344571710842e-63,3.646521647425674e-63,5.267519237427835e-48,3.144430630598515e-65,2.6016502332796395e-57
2.959689785927262e-14,0.10365589703397865,3.76,0.0,0.6638218060984857,0.9999999999999999,5.874474404794994e-32,1.5324366497060833e-19,9.998384304091426e-26,3.5721250284085214e-14,3.5721250284085625e-14,9.815853119100454e-33,1.0201790772557863e-30,3.58820835304019e-31,1.3549077892761106e-36,3.5813492347581646e-34,1.1383013968676628e-16,9.198008608845793e-28,6.955904617111586e-17,3.6883443814600755e-24,5.876432299908704e-23,4.4270952700581644e-17,5.017570254915468e-32,3.036846252914466e-29,6.126309820534681e-38,2.9674528442259816e-28,1.560031233075998e-42,6.104172003837202e-43,2.692747170602849e-23,9.057039052628339e-39,1.5301925090599176e-51,5.134478465010108e-26,2.0068755306473172e-41,1.8006318923081975e-47,9.682329217152949e-49,6.969763717730635e-55,5.291275378675823e-19,4.8608713899009115e-26,5.291275849267293e-19,6.14814148738889e-35,4.212568702449049e-53,3.46494354697803e-35,8.86705660279893e-23,1.1697484468699392e-46,1.6717886289496935e-61,6.172449751395412e-31,6.275095030683143e-40,3.9668245218612305e-46,3.0259359066713906e-47,1.1182322810256807e-58,8.999742579468279e-52,4.169700084265981e-34,2.6729147877138336e-46,1.4671596811811487e-46,2.9932535898191338e-50,9.085499840780207e-68,2.7164379068478463e-59,1.45897969783591e-72,2.8303209475599625e-23,4.4087861146954744e-41,1.37600625257113e-56,7.894913983887675e-48,3.4948139600657995e-52,3.9800572599878996e-32,8.866929133839409e-23,3.166248764559721e-46,1.532436633118628e-19,2.138797460543384e-33,1.1345165478682935e-27,9.629438603469492e-39,4.09833273651492e-37,9.978568904455559e-33,2.830280010250126e-23,2.155143678741226e-60,3.87732009050674e-38,8.264033221922947e-62,5.954428165719665e-62,4.2834493265865977e-47,5.616954494564435e-64,4.241345164785604e-56
5.940076703224645e-14,0.10365589703397933,3.76,0.0,0.6638218060984497,0.9999999999999998,4.728283668975895e-31,3.0755896730262716e-19,4.020302425481896e-25,7.169229952120341e-14,7.169229952120505e-14,3.9461038190155587e-32,4.4158268087538876e-30,1.442799890617074e-30,1.0905450228497209e-35,2.8825257704950024e-33,2.2845641168635607e-16,3.6984804356530894e-27,1.3960439197679507e-16,8.399659557246579e-24,2.362886048588295e-22,8.885144706776105e-17,2.0175416433253893e-31,1.22110981227508e-28,4.9309779664286095e-37,5.968937433812423e-28,1.2556461846254273e-41,4.913185186063536e-42,1.0827407770669347e-22,7.289887771351778e-38,2.4643301821165893e-50,2.0645496297957856e-25,1.6153056996761424e-40,2.8998580280001083e-46,7.793176235055614e-48,2.2453988445970737e-53,1.0619551701292093e-18,1.9545348520851338e-25,1.0619553593519542e-18,2.472159548377474e-34,6.783662883341342e-52,1.3932299746281326e-34,1.779614882255353e-22,9.434437216803374e-46,2.692362618883313e-60,2.4819142588015662e-30,5.050737343554666e-39,5.248155226075769e-45,2.441594244734821e-46,1.7904170890277713e-57,7.242845706167371e-51,3.363305197935201e-33,2.1558025981992845e-45,1.1833174228358827e-45,4.820535951314461e-49,2.927010808424367e-66,8.750833517958345e-58,4.700290752148561e-71,5.680434311583881e-23,3.5485734701843923e-40,2.2160141226830208e-55,6.425346554893256e-47,2.8158400788763477e-51,1.6003635102358266e-31,1.7795636280524382e-22,2.5569372783996936e-45,3.0755896063288437e-19,8.60001052150666e-33,4.56174661138283e-27,7.77729103076027e-38,3.2983550967999806e-36,8.03074176376934e-32,5.680269706521232e-23,3.4806108618929814e-59,1.5590336370088934e-37,1.3345538296175712e-60,9.647673775425588e-61,3.4547411934829366e-46,1.0656491297789265e-62,6.84977944832582e-55
1.190085053781941e-13,0.10365589703398072,3.76,0.0,0.6638218060983775,0.9999999999999996,3.794142806456415e-30,6.161895820235336e-19,1.612317933869794e-24,1.4363439799543195e-13,1.4363439799543856e-13,1.5819167686322384e-31,2.0225847206814305e-29,5.786249555731525e-30,8.750894634232405e-35,2.3129560656717152e-32,4.577093089625584e-16,1.483257379358425e-26,2.7969470047251936e-16,2.0824248071443276e-23,9.47621757967225e-22,1.7801229908144143e-16,8.091234025555957e-31,4.897254975110433e-28,3.9567845848828183e-36,1.2012873487326027e-27,1.0075726247502038e-40,3.942548180778812e-41,4.342266625635702e-22,5.849667485594835e-37,3.955803155444572e-49,8.279754745062487e-25,1.2961772279141369e-39,4.654900570984923e-45,6.253525648272452e-47,7.209482221535819e-52,2.1276101390898073e-18,7.8385577014611735e-25,2.127610897957523e-18,9.914617058151156e-34,1.0887518698014025e-50,5.587406467368944e-34,3.5654418241801593e-22,7.57824139431592e-45,4.321833681133806e-59,9.953581117208134e-30,4.0528904484836476e-38,7.507002751208133e-44,1.9629359430603285e-45,2.864252211858773e-56,5.810435432839901e-50,2.710340380478499e-32,1.7316578666481879e-44,9.505048870346255e-45,7.738005444033818e-48,9.39799110315134e-65,2.8093665437756763e-56,1.5091603089001847e-69,1.1380660926094792e-22,2.8475036567529282e-39,3.5571885371001694e-54,5.254063951764324e-46,2.264204056791272e-50,6.4181733833108755e-31,3.565236275953544e-22,2.059080956135002e-44,6.161895552748818e-19,3.4489888643098815e-32,1.8293886021004084e-26,6.283593068753084e-37,2.64617730613574e-35,6.442754831644579e-31,1.1380000802692381e-22,5.595134820662903e-58,6.2522640253962e-37,2.1449678335041046e-59,1.560883491570649e-59,2.775010513303922e-45,2.2225963688607284e-61,1.1010806512684227e-53
