Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293),S(2934),C2H3F(191),S(5865),S(2726),S(9381),S(2727),S(5643),S(5886),S(2074),S(5582)
0.0,0.22072036216491797,3.76,0.0,0.6325956304182715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.565766370494086e-21,0.22072036216491797,3.76,0.0,0.6325956304182712,1.0,8.677001149376316e-46,2.5246849452436945e-18,1.2563393448689768e-33,3.5177175096296963e-16,3.5177175096296963e-16,8.165174312618989e-35,6.784283859723361e-22,3.1718802833977596e-33,2.126249303653718e-45,2.134425023600036e-45,3.130061156302722e-19,4.793773122943237e-35,1.3683611821205365e-19,3.296993285084798e-24,9.128608236101713e-31,1.7617329440972826e-19,6.526634506483003e-35,1.1784227912558946e-34,2.761687002888296e-46,4.565678421744903e-25,5.5510389929547196e-39,1.7235241528846382e-51,6.9753333974249335e-34,3.8605610458511135e-49,1.9214842679373476e-67,5.505377452247204e-35,3.294362080626477e-39,3.112006527774935e-52,8.55277232666721e-57,1.5553919133687041e-66,4.3250170614715937e-19,1.082469717273271e-33,4.325017061471509e-19,1.0045347044606318e-37,3.179543387753207e-65,4.663400789107365e-37,1.456151379024389e-20,9.899531842462888e-51,1.2985467449744074e-68,2.2412785528408456e-35,2.1194280822694423e-49,5.546956320325258e-51,4.785407057647253e-53,4.5725360560301954e-65,1.216849494290626e-59,2.480503566752268e-45,9.482515799603869e-52,2.9959782673172692e-52,5.718191205447214e-54,1.3124340160981895e-71,1.5540044917326902e-70,9.246425798840512e-77,7.29103487746519e-21,7.584127604468506e-50,8.833923371922648e-69,1.7231443116642862e-54,3.2693403907860396e-58,1.059798444071249e-34,1.4561513790212133e-20,4.8056310416936194e-51,2.5246849452436837e-18,7.4718050665348e-36,3.0539408121858193e-32,4.062189423217131e-50,9.604342726587396e-49,5.967371339906093e-44,7.291034877451111e-21,5.051583339119913e-68,1.2622992951716325e-38,3.996512165982464e-68,2.1822643706845443e-69,3.2114816293996717e-51,6.157727368279422e-72,1.5639545350054636e-67,1.643175194224502e-34,6.796229210203991e-57,1.5683159509495238e-51,1.5448854704045948e-76,4.647700823603567e-67,5.18791621374608e-66,2.011978934300153e-82,1.3842066814427243e-60,6.78428385956658e-22,1.659689285873348e-73,1.3543492593100642e-71,2.060540775744402e-65,1.8969588614819977e-37,6.747919995181814e-69,3.730397604408112e-68,5.5740898375631944e-70,1.0016826990882022e-67,4.0500338470927297e-69,2.890437287662428e-69,1.4213848024228643e-69,4.121331973420386e-66
1.8384145837383442e-20,0.220720362164918,3.76,0.0,0.6325956304182705,1.0,1.0301335764808517e-44,7.069117846682374e-18,7.588289643174053e-33,9.849609026963145e-16,9.849609026963145e-16,4.931765284518479e-34,1.899599480732821e-21,1.9158156911714746e-32,2.524283187570334e-44,2.5339893880559864e-44,8.764171237647795e-19,2.895438966257749e-34,3.8314113099234263e-19,9.231584107848723e-24,5.513679374589234e-30,4.932852243458214e-19,3.94208724192213e-34,7.117673659251903e-34,3.278674809827901e-45,1.2783899581621044e-24,3.352827551689784e-38,2.0461678742740908e-50,4.213101372009647e-33,4.583258073621703e-48,4.298283447898483e-66,3.325247981147196e-34,1.9897946967012838e-38,3.694574149779152e-51,1.015385130619122e-55,3.4793494945132544e-65,1.211004777212038e-18,6.53811709233051e-33,1.2110047772119864e-18,6.067389615109164e-37,7.11251137635263e-64,2.8166940765602146e-36,4.077223861268682e-20,1.4960134721728396e-49,2.9047971275686528e-67,1.3537322459130817e-34,2.5283794316116836e-48,8.382559053249432e-50,7.231707145722545e-52,5.42891385621349e-64,1.4446437196500582e-58,2.944853836945866e-44,1.432997787636199e-50,4.5275223575688213e-51,6.788636599071973e-53,2.935862396635937e-70,3.4762458877473904e-69,2.0683884665077694e-75,2.041489765689241e-20,9.326290328374455e-49,1.9761133409172417e-67,2.6040156841737705e-53,3.881360913888352e-57,6.401182602187689e-34,4.0772238612494994e-20,7.262269409574491e-50,7.069117846682311e-18,4.5129702601872216e-35,1.844580250552516e-31,4.822631283508814e-49,1.1402275684824027e-47,7.0844632544584805e-43,2.0414897656807364e-20,1.5882986272226183e-66,7.624287742822511e-38,1.2565673691288075e-66,6.861388346786333e-68,4.853191038292316e-50,1.936088028145595e-70,4.917323290770423e-66,9.924778173104015e-34,8.06848331925906e-56,2.3700390649395463e-50,9.398291830646095e-75,1.4613115021660219e-65,1.6311638642592104e-64,1.159258854923519e-80,3.096414977976129e-59,1.899599480638125e-21,5.21832868297527e-72,4.258290769842728e-70,5.811040512437665e-64,1.1457631523087055e-36,2.1216540132035543e-67,1.1728966931882439e-66,1.75258303027572e-68,3.149450675170133e-66,1.2733954420666895e-67,9.087997302078779e-68,4.469061240455035e-68,1.29581271375786e-64
4.202090477116215e-20,0.2207203621649181,3.76,0.0,0.6325956304182692,1.0,1.0113912540274091e-43,1.615798364955985e-17,3.6534348151271325e-32,2.251339206163001e-15,2.2513392061630016e-15,2.374432689654516e-33,4.341941670294908e-21,9.223827864109092e-32,2.4783562086036395e-43,2.4878858075466197e-43,2.0032391400338633e-18,1.3940292241519423e-33,8.757511565472902e-19,2.1100777391821713e-23,2.6545992750340785e-29,1.127509084212337e-18,1.8979453144948385e-33,3.426853477071587e-33,3.219022370563232e-44,2.922034190431456e-24,1.6142421390687808e-37,2.008939752507452e-49,2.0284269519186505e-32,4.49986995500457e-47,8.492683769875929e-65,1.6009637630983146e-33,9.5800049304948e-38,3.627354808785659e-50,9.969111423876193e-55,6.87460828054698e-64,2.7680109193417626e-18,3.147821937830597e-32,2.768010919341513e-18,2.9211869208171643e-36,1.40531239176319e-62,1.3561169493814707e-35,9.319368825758837e-20,1.609341725162812e-48,5.739389627630692e-66,6.517638031619344e-34,2.4877214381977703e-47,9.017574051970979e-49,7.77954054626175e-51,5.330984791769136e-63,1.4183597706285347e-57,2.891274965148922e-43,1.5415536285102088e-49,4.870501949608758e-50,6.665123668956741e-52,5.800769360557309e-69,6.868476076307838e-68,4.08678706060321e-74,4.6662623215706346e-20,9.297887067347359e-48,3.90446698037171e-66,2.8012812458608298e-52,3.8107431655329225e-56,3.08189387535521e-33,9.319368825666481e-20,7.812417958732371e-49,1.6157983649559545e-17,2.1728009133486157e-34,8.880859881720575e-31,4.734887992524741e-48,1.119482188155064e-46,6.955568032932633e-42,4.6662623215296905e-20,3.5434068654920297e-65,3.6707663503378407e-37,2.8033326765951354e-65,1.5307379983103857e-66,5.220841455087942e-49,4.319305980878349e-69,1.0970277760072959e-64,4.778353464786887e-33,7.921684770211206e-55,2.5495798746733068e-49,4.242838159221204e-73,3.260105574751193e-64,3.6390368509471305e-63,5.19886402151863e-79,6.117994205307586e-58,4.341941669838987e-21,1.1641804317856064e-70,9.500012471985623e-69,1.2640271573949895e-62,5.516356368793332e-36,4.73329339141818e-66,2.6166680015486155e-65,3.909916330627253e-67,7.02625120528379e-65,2.8408751818572096e-66,2.0274822049396978e-66,9.97022978505213e-67,2.8908868818462846e-63
8.929442263871957e-20,0.2207203621649182,3.76,0.0,0.6325956304182666,1.0,8.94564110588731e-43,3.4335715255315284e-17,1.5955509682400195e-31,4.784095813096365e-15,4.784095813096367e-15,1.0369771372323555e-32,9.226626049583558e-21,4.028287959903177e-31,2.192078002497814e-42,2.200506822337971e-42,4.256883172572308e-18,6.088091866138414e-33,1.8609712076346643e-18,4.483921051354828e-23,1.1593332459598078e-28,2.395956803922685e-18,8.288825823332362e-33,1.496596944997748e-32,2.8471888324906497e-43,6.209322656146659e-24,7.049819520199783e-37,1.7768844604585243e-48,8.858673414186957e-32,3.980084015747742e-46,1.5112277004489605e-63,6.991829364197167e-33,4.183839842424896e-37,3.2083542498948305e-49,8.817566157717881e-54,1.2232998126046147e-62,5.882023203601078e-18,1.3747365409369764e-31,5.882023203599992e-18,1.2757590749166116e-35,2.5006783151014123e-61,5.922519001226523e-35,1.9803658754745421e-19,1.4792618389516512e-47,1.021293720122134e-64,2.846423762064645e-33,2.20248358528338e-46,8.288703980409729e-48,7.150738059887053e-50,4.716698742415395e-62,1.2545231548056252e-56,2.5572999734381245e-42,1.4169533709036565e-48,4.476830405278996e-49,5.895226404927396e-51,1.0322159142945492e-67,1.2222086195271618e-66,7.272219232526515e-73,9.915807433317226e-20,8.279984266969651e-47,6.9477904163218404e-65,2.5748600847860487e-51,3.370559181950644e-55,1.3459440239663726e-32,1.9803658754342093e-19,7.180958037992436e-48,3.433571525531394e-17,9.48919243450222e-34,3.8785048313563426e-30,4.1879548094879237e-47,9.901693176227328e-46,6.152121154779576e-41,9.91580743313841e-20,6.636408903923163e-64,1.6031201048459812e-36,5.250331851459757e-64,2.866902870369443e-65,4.7988527687531816e-48,8.089582429484523e-68,2.0546116140231546e-63,2.086832496646555e-32,7.006640472418823e-54,2.3435031581632296e-48,1.602014954954301e-71,6.105816938831267e-63,6.815513281752528e-62,1.9559956821409384e-77,1.0886643802942665e-56,9.22662604759243e-21,2.1803811387271677e-69,1.7792472021111962e-67,2.3432925219100684e-61,2.409137753672608e-35,8.864934678342259e-65,4.900729574652119e-64,7.322840566711228e-66,1.3159390897281096e-63,5.320644809840155e-65,3.797249783482327e-65,1.8673136961869528e-65,5.414311189087043e-62
1.8384145837383442e-19,0.22072036216491836,3.76,0.0,0.6325956304182615,1.0,7.519350365496887e-42,7.069117846682803e-17,6.661111208803085e-31,9.849609026963051e-15,9.849609026963059e-15,4.329175416318283e-32,1.899599480881876e-20,1.6817309262467117e-30,1.8425736446836668e-41,1.849658574602025e-41,8.764171237650309e-18,2.541658509784956e-32,3.83141130971933e-18,9.231626297212373e-23,4.839988086555142e-28,4.932852243252651e-18,3.460421615426317e-32,6.247997640163614e-32,2.393233769698127e-42,1.2783899592283062e-23,2.94316087329685e-36,1.4935784541414226e-47,3.6983217668262623e-31,3.345500433207399e-45,2.5489064019339813e-62,2.918951125040366e-32,1.74667077517243e-36,2.6968150648984518e-48,7.411695653600646e-53,2.0632739351235078e-61,1.2110047772119184e-17,5.739254440982183e-31,1.2110047772114647e-17,5.326043005305211e-35,4.2177594835974926e-60,2.472535097538876e-34,4.0772238612743693e-19,1.2655394670919418e-46,1.7225611388867021e-63,1.1883258886773112e-32,1.8521615632040613e-45,7.091160702957042e-47,6.1176069609674926e-49,3.9671980444041815e-61,1.0545023024693305e-55,2.1495647323892932e-41,1.2122334408032282e-47,3.8300226651846644e-48,4.955293007141332e-50,1.740983011223399e-66,2.061433478177754e-65,1.2265660714043597e-71,2.0414897656745616e-19,6.982071875956636e-46,1.1718464150877925e-63,2.2028470153609017e-50,2.833158096186196e-54,5.619051350428741e-32,4.077223861105988e-19,6.143460776773509e-47,7.069117846682243e-17,3.96155104627946e-33,1.6191994185132377e-29,3.520228362264262e-46,8.322969735244834e-45,5.1712285219373075e-40,2.041489765599909e-19,1.1462746027652085e-62,6.692710862801988e-36,9.068642604742754e-63,4.951861793190346e-64,4.105519576456884e-47,1.3972743134145948e-66,3.548830617324324e-62,8.712114879611252e-32,5.889503504532866e-53,2.0049162900131389e-47,5.5581340815280966e-70,1.0546280353073227e-61,1.1772104295566259e-60,6.773092318755959e-76,1.8361915991460646e-55,1.8995994800506186e-20,3.766066306427876e-68,3.0732070906521257e-66,4.027520518273009e-60,1.005767587989179e-34,1.5311970103084263e-63,8.464791614871369e-63,1.2648386011177292e-64,2.2729575265898896e-62,9.190090757974478e-64,6.558804689676404e-64,3.225320042448365e-64,9.3518761351799e-61
3.729355298440641e-19,0.22072036216491878,3.76,0.0,0.6325956304182513,1.0,6.164817730761163e-41,1.4340210488986113e-16,2.7212812765139098e-30,1.9980635454696264e-14,1.9980635454696295e-14,1.768609413227171e-31,3.8534732329920756e-20,6.87041956895961e-30,1.5106531979001198e-40,1.516461851027737e-40,1.7778747367810754e-17,1.0383504335223787e-31,7.772291513528331e-18,1.8727111274976377e-22,1.9772930581812405e-27,1.000664312154965e-17,1.4136951407176118e-31,2.5525109035549655e-31,1.9621176374813096e-41,2.5933053483379837e-23,1.2023772493798171e-35,1.2245258545957842e-46,1.5108851148022867e-30,2.7428433816335723e-44,4.186586417231725e-61,1.192486777547088e-31,7.135720041317113e-36,2.21101192493367e-47,6.076555892319784e-52,3.388933633755945e-60,2.4566096909153284e-17,2.3446727064020028e-30,2.4566096909134746e-17,2.1758623531551458e-34,6.927682611535201e-59,1.0101112638076592e-33,8.270939832884063e-19,1.0463724341643771e-45,2.8293118578395518e-62,4.8546989962659877e-32,1.5188487792500255e-44,5.863108780896113e-46,5.058155741272881e-48,3.256695238095771e-60,8.645446981798326e-55,1.7623430648067697e-40,1.0022980511531036e-46,3.166736804938101e-47,4.062648593057457e-49,2.8595698235025167e-65,3.385910676616815e-64,2.0146384713530447e-70,4.1413078103343223e-19,5.733177016890639e-45,1.9247612871835616e-62,1.821356515660838e-49,2.322794199677231e-53,2.295565821764743e-31,8.270939832196172e-19,5.079532170056829e-46,1.4340210488983823e-16,1.618422864633993e-32,6.614957955915247e-29,2.8860958973829194e-45,6.823673439728244e-44,4.239685571861505e-39,4.141307810029341e-19,1.904552397964687e-61,2.734190765145883e-35,1.5067685309723301e-61,8.22759254038563e-63,3.394522978078369e-46,2.3215925766309795e-65,5.896435147678569e-61,3.559183197556599e-31,4.828570811186915e-52,1.6577035581833324e-46,1.8510907091382209e-68,1.7522802541850615e-60,1.9559527353102117e-59,2.2534676855616653e-74,3.0159502128676317e-54,3.853473229596118e-20,6.257375865875387e-67,5.1061795997729916e-65,6.675319413787767e-59,4.108888769203859e-34,2.544106733551931e-62,1.4064377869887534e-61,2.1015482510317388e-63,3.776552925465353e-61,1.5269473243453689e-62,1.0897552080607868e-62,5.358917490618903e-63,1.553828206818269e-59
7.511236727845235e-19,0.22072036216491966,3.76,0.0,0.6325956304182309,1.0,4.992429233860784e-40,2.888239577359576e-16,1.0999854023285923e-29,4.0242688310162024e-14,4.024268831016217e-14,7.1490020095889645e-31,7.761220738265115e-20,2.777133438293259e-29,1.2233661261220492e-39,1.2280701237352327e-39,3.58078996281494e-17,4.197178470249842e-31,1.5654051919705003e-17,3.7718379174700026e-22,7.992534682328489e-27,2.0154224876691927e-17,5.71438178950209e-31,1.0317657186826358e-30,1.5889737341491609e-40,5.2231361340869295e-23,4.860201082855026e-35,9.9165278451218e-46,6.107239202046878e-30,2.221225683249317e-43,6.786636988650373e-60,4.820222216577436e-31,2.884372131126868e-35,1.790534781209432e-46,4.9209525064778606e-51,5.493607458383116e-59,4.947819518321304e-17,9.47754196018689e-30,4.947819518313811e-17,8.795183529867064e-34,1.1230072029860294e-57,4.0830312282104416e-33,1.6658371776143615e-18,8.50892657907345e-45,4.5864364925110387e-61,1.9623469541117407e-31,1.2301366875351471e-43,4.767782690113419e-45,4.1132082500005177e-47,2.644072436226246e-59,7.001307118580477e-54,1.4271911477622319e-39,8.150521294541163e-46,2.575137777920737e-46,3.290038161303439e-48,4.635485910229602e-64,5.488707111093671e-63,3.265815830354873e-69,8.340943899550176e-19,4.646406846738613e-44,3.120121090565219e-61,1.4810968774916533e-48,1.8810589981574936e-52,9.279044080839097e-31,1.6658371773363056e-18,4.130591202030442e-45,2.888239577358651e-16,6.541923982413219e-32,2.6738717694777027e-28,2.337235289259088e-44,5.5259876641334e-43,3.433407292683511e-38,8.340943898317397e-19,3.1049010977249845e-60,1.1052036231509892e-34,2.4564129906137955e-60,1.341305273539174e-61,2.7603697098232184e-45,3.784783166316406e-64,9.612677473267749e-60,1.4386787548365274e-30,3.9103018472062033e-51,1.348017000339803e-45,6.042268376871514e-67,2.856659067757755e-59,3.188696615310437e-58,7.3519786109651e-73,4.888985253174422e-53,7.761220724538111e-20,1.0201103152671754e-65,8.324361660003225e-64,1.0869026820418659e-57,1.6608785346858886e-33,4.147536074866709e-61,2.2928485593971205e-60,3.426054046095477e-62,6.156734421515827e-60,2.4893095201732752e-61,1.776576027029229e-61,8.73638803504732e-62,2.5331321432484653e-58
1.5074999586654422e-18,0.22072036216492133,3.76,0.0,0.63259563041819,1.0,4.018341381829325e-39,5.796676634282718e-16,4.422992930221605e-29,8.076679402109094e-14,8.076679402109153e-14,2.8745822535464813e-30,1.5576715753021749e-19,1.1166731412304143e-28,9.846714887762645e-39,9.884576750171715e-39,7.186620414889776e-17,1.687667003027201e-30,3.141757272629303e-17,7.570210675092937e-22,3.2137630426759504e-26,4.044938838116961e-17,2.2977277850481666e-30,4.148684578752555e-30,1.2789442988044421e-39,1.0482797735703187e-22,1.9542654772872556e-34,7.981684319868948e-45,2.4556940211378576e-29,1.787835671800878e-42,1.0929669630733135e-58,1.9381901527763602e-30,1.159793348060046e-34,1.441178164991775e-45,3.960810689644106e-50,8.847285450024738e-58,9.93023917312988e-17,3.8108779384452774e-29,9.930239173099749e-17,3.536504621134201e-33,1.8085684743737244e-56,1.6417688966302022e-32,3.343323566282337e-18,6.862757432148689e-44,7.386314732637441e-60,7.890510794220558e-31,9.901743782638359e-43,3.8453894788192737e-44,3.3174514727675002e-46,2.138991142995272e-58,5.635261076022364e-53,1.1487276662376561e-38,6.573690696978029e-45,2.0769419086317993e-45,2.648108938050319e-47,7.465307151467025e-63,8.839393580514767e-62,5.259495881578453e-68,1.6740216077567216e-18,3.741243083717812e-43,5.024859150396584e-60,1.1945582998591112e-47,1.5140399828757458e-51,3.731062814081456e-30,3.3433235651642863e-18,3.331471447477084e-44,5.796676634278999e-16,2.6304788609090924e-31,1.0751520780849592e-27,1.881210302864855e-43,4.447795617263154e-42,2.7635048812994384e-37,1.6740216072610256e-18,5.01442358206131e-59,4.443975159504613e-34,3.967113529585237e-59,2.1662117150179451e-60,2.2263381703950419e-44,6.112439208532255e-63,1.5524499793383927e-58,5.7848639973314296e-30,3.1473511395996197e-50,1.0872245416384211e-44,1.9527567297007982e-65,4.6135120273274864e-58,5.149753550437279e-57,2.3754300003079987e-71,7.873560005447308e-52,1.5576715697826077e-19,1.6474812752201997e-64,1.3443866895175787e-62,1.7542652803989033e-56,6.678319529381005e-33,6.698281838868372e-60,3.7029565480533533e-59,5.533086414975404e-61,9.943142537073695e-59,4.020241523990061e-60,2.8691750222706224e-60,1.4109290026891007e-60,4.091015178152247e-57
3.0202525304272796e-18,0.2207203621649247,3.76,0.0,0.6325956304181082,0.9999999999999999,3.224465897256028e-38,1.1613550748133856e-15,1.7738179934855557e-28,1.6181500544293825e-13,1.6181500544294072e-13,1.1528360428356813e-29,3.1207705799377247e-19,4.478358740357033e-28,7.901368572645531e-38,7.931750329081042e-38,1.4398281319067877e-16,6.768299509665298e-30,6.294461431640783e-17,1.5167432901051291e-21,1.2888627186619416e-25,8.10397153668975e-17,9.214916103946353e-30,1.6638080726458686e-29,1.0262722546447905e-38,2.1002121059409203e-22,7.837478612971458e-34,6.404798984438266e-44,9.848431349598363e-29,1.434625532108379e-41,1.7544540252615718e-57,7.773009386142568e-30,4.65129005648279e-34,1.1564547152860815e-44,3.1783011340725517e-49,1.4201852515119201e-56,1.9895078482733527e-16,1.5283324989966352e-28,1.9895078482612674e-16,1.4182965322409967e-32,2.903152920722082e-55,6.584227555246971e-32,6.698296343682547e-18,5.512539937769747e-43,1.1856671460347337e-58,3.164447739314357e-30,7.945739053025834e-42,3.0888259785920517e-43,2.6647574464333055e-45,1.7337569891980485e-57,4.521942128452722e-52,9.217817164561804e-38,5.280345860479688e-44,1.6683126899049567e-44,2.1249406490761895e-46,1.198347128496878e-61,1.418918428058978e-60,8.442656226413213e-67,3.3538760431942608e-18,3.002675814283879e-42,8.066012807422529e-59,9.59534208179163e-47,1.2149218199661845e-50,1.4963230642250676e-29,6.698296339198665e-18,2.676019043952231e-43,1.1613550748118944e-15,1.0549396742732893e-30,4.311840704180298e-27,1.5095528051086257e-42,3.569075862617256e-41,2.2175386156902262e-36,3.353876041206298e-18,8.06053950652492e-58,1.7822328001557267e-33,6.377019097293265e-58,3.4821224363889368e-59,1.7883158889728143e-43,9.825581283957506e-62,2.4955179998719756e-57,2.3199891969142477e-29,2.525551115429611e-49,8.733178705740347e-44,6.279772991242591e-64,7.416085848768574e-57,8.278078425649427e-56,7.638056824249082e-70,1.2638807456511182e-50,3.1207705578017903e-19,2.6482792910981304e-63,2.161062525149706e-61,2.819057186365983e-55,2.678304818001841e-32,1.0767292422980887e-58,5.9523945023725746e-58,8.89427474480668e-60,1.59833112304533e-57,6.462420832949655e-59,4.612115028778818e-59,2.2680271686271786e-59,6.576187417690604e-56
