Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293),S(2934),C2H3F(191),S(5865)
0.0,0.3784556816010969,3.76,0.0,0.7132251356436003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1191571532496596e-18,0.3784556816010969,3.76,0.0,0.7132251356436,1.0,9.820594106093198e-43,2.863307061834862e-20,2.6771146717116194e-32,3.3911645855988233e-16,3.3911645855988233e-16,2.2454901384721465e-36,6.333347795993575e-25,1.8611073867683877e-34,2.3472178718632514e-44,1.7889969389851335e-43,1.8392114901219911e-19,3.2060806327638237e-34,9.90547307456533e-20,2.2893244867182824e-25,3.599018844110634e-30,8.48666471915869e-20,2.371947088826394e-36,2.3634783557350867e-34,1.656081056546305e-45,1.255501357829878e-28,1.0943779573399647e-41,8.143223252969254e-52,2.3278604354058597e-31,1.1085710903302627e-47,1.7323347477866815e-65,3.586479960031375e-33,5.1543254539880625e-42,1.407004350056477e-52,4.7790566328405067e-57,1.1691233204139392e-64,3.596332476270242e-20,2.2948068024447462e-32,3.5963324762706876e-20,6.59847853848249e-39,2.6602533487388548e-64,6.505742736352072e-39,3.9811487575630974e-23,2.100508596682665e-52,2.0962198854858698e-70,1.3565608515596198e-35,2.0940499370370604e-49,2.829444284945026e-52,4.957274870892595e-54,2.1734071674797953e-67,2.165421202338726e-60,2.079269216975959e-43,5.012104142013299e-52,1.2728106439423174e-52,5.6690235093500125e-55,6.99613099919898e-74,6.151563866527836e-69,5.2755163648676535e-79,1.4863136617533386e-23,2.8739079235781396e-50,4.9858967149587184e-68,4.231288347619688e-56,1.2820956601862156e-59,3.431858167376208e-36,3.981148755881335e-23,2.5493835052366234e-52,2.863307061833231e-20,2.287411289692467e-37,1.525627524175267e-32,1.3784074890923804e-48,5.383214423680253e-47,4.956804879881193e-42,1.4863136610509584e-23,1.4158045043819018e-69,2.2952047515144894e-41,3.251549871381827e-70,4.530742512645114e-71,6.40302456487333e-53,7.944813462654163e-74,1.5066178807262662e-67,3.504462793321102e-33,9.448484648163706e-58,5.309510653361667e-53,6.73195358417334e-76,3.810190394761805e-77,1.8684593674324977e-67,4.139338721630917e-84,3.3313053861774304e-58,6.333347787630569e-25,2.0212178572251967e-75,4.9456076476489116e-70,1.6432020716534448e-64,1.2598313245412772e-40,7.099677443326998e-80
5.933640029099047e-18,0.37845568160109694,3.76,0.0,0.7132251356435994,1.0,1.165900932297804e-41,8.017259773142893e-20,1.6169772617844667e-31,9.4952608396767e-16,9.4952608396767e-16,1.3562760307954956e-35,1.773337383492872e-24,1.124108861530155e-33,2.786617057278682e-43,2.123897164572522e-42,5.149792172388889e-19,1.9364727022041683e-33,2.7735324608102975e-19,6.410177822851634e-25,2.1738073817990886e-29,2.3762661213089985e-19,1.4326560416389938e-35,1.4275409273950027e-33,1.9660994302071406e-44,3.515404249113491e-28,6.610042856018095e-41,9.667634639278866e-51,1.406027702843734e-30,1.316095598416783e-46,3.875163533440708e-64,2.166233895817061e-32,3.11321257600253e-41,1.670395565266891e-51,5.673696034411342e-56,2.615282103943564e-63,1.0069730933548729e-19,1.386063308675703e-31,1.0069730933551417e-19,3.9854810413950717e-38,5.950880303614024e-63,3.9294686091817743e-38,1.114721652168254e-22,3.17428203554064e-51,4.6891600685642e-69,8.193627542990383e-35,2.4875627393980747e-48,4.2758561985846195e-51,7.491433795109119e-53,2.615355504553354e-66,2.5707880473678964e-59,2.4685087161843107e-42,7.574291779410691e-51,1.9234714451183727e-51,6.730264712326713e-54,1.5650065204433505e-72,1.3760802275929384e-67,1.1801119097076207e-77,4.16167825289859e-23,3.441976067385042e-49,1.1153251609386907e-66,6.394324255041087e-55,1.5221041727658905e-58,2.0728423330908154e-35,1.1147216511524699e-22,3.8526283514782554e-51,8.017259773133043e-20,1.3815964189743485e-36,9.214790239395751e-32,1.6364454666136773e-47,6.390952148003007e-46,5.884718719180241e-41,4.161678248656214e-23,4.451515917004749e-68,1.3863036693067008e-40,1.022339300185669e-68,1.4245380353120985e-69,9.676250716369235e-52,2.498098453146337e-72,4.7370476757774774e-66,2.116695527125963e-32,1.121724105079139e-56,8.023732414735867e-52,4.095375884100911e-74,2.3179247545018593e-75,5.874735203188598e-66,2.3852217899087486e-82,7.451996851726687e-57,1.7733373784416154e-24,6.35506349168124e-74,1.5549781767430578e-68,4.6340835230583795e-63,7.609381191374476e-40,4.319080252761553e-78
1.356260578079782e-17,0.378455681601097,3.76,0.0,0.7132251356435981,1.0,1.1446884490755146e-40,1.8325165195780072e-19,7.785049466397118e-31,2.170345334783243e-15,2.170345334783243e-15,6.52988513005179e-35,4.0533425937385855e-24,5.4121002795532005e-33,2.7359171507684518e-42,2.0852548277701186e-41,1.1770953537111949e-18,9.323282480299482e-33,6.3395027672458445e-19,1.4652161535280077e-24,1.0465946798017706e-28,5.431465419873518e-19,6.897622134124052e-35,6.872995066442786e-33,1.9303280791240106e-43,8.035211820441072e-28,3.1824510904647464e-40,9.491741003042776e-50,6.769418144039158e-30,1.2921504628167102e-45,7.65667010400248e-63,1.04294837231429e-31,1.4988778446567455e-40,1.6400042731006729e-50,5.570468410938478e-55,5.16735672930944e-62,2.301652784807392e-19,6.673298181495468e-31,2.3016527848086854e-19,1.9188375650994874e-37,1.175793655244421e-61,1.891869982368866e-37,2.54793520519449e-22,3.4147455061149524e-50,9.264990238852843e-68,3.944878955690784e-34,2.4429640553661516e-47,4.599771050343991e-50,8.058942651400945e-52,2.6420909199136634e-65,2.5240149408911185e-58,2.4235971348575715e-41,8.148077461588854e-50,2.0691828076191466e-50,6.607813808600062e-53,3.092189160092729e-71,2.7189026269113357e-66,2.3317022715824736e-76,9.512407435146055e-23,3.392530139962559e-48,2.203694607342051e-65,6.878725144483467e-54,1.4944113369074917e-57,9.979843550663782e-35,2.547935200303927e-22,4.144481776333479e-50,1.8325165195732646e-19,6.651792030427141e-36,4.436524830367388e-31,1.6066720655320076e-46,6.274674683292125e-45,5.777651661923915e-40,9.512407414720845e-23,9.931087259875561e-67,6.674455408283344e-40,2.280782718441957e-67,3.1780668106674744e-68,1.0409268953723972e-50,5.573696745730134e-71,1.0568092779615197e-64,1.0190977802378034e-31,1.1013153942669407e-55,8.631564987464023e-51,1.8488484366566574e-72,1.0464220333818941e-73,1.3106211057753832e-64,1.0696998557923546e-80,1.4723889815826952e-55,4.053342569418958e-24,1.4177944524611118e-72,3.469070785392072e-67,1.0080136812549119e-61,3.6635894784837786e-39,1.9498392821783457e-76
2.882053728419537e-17,0.37845568160109716,3.76,0.0,0.7132251356435957,1.0,1.0124639701071035e-39,3.894097604113891e-19,3.399935634168812e-30,4.611983836414381e-15,4.611983836414382e-15,2.8517722768135815e-34,8.613353024064769e-24,2.3636063799876065e-32,2.419887735699229e-41,1.8443842751631088e-40,2.5013276267315117e-18,4.071722403839747e-32,1.347144337902902e-18,3.1137237120783635e-24,4.570753931342618e-28,1.1541864016115602e-18,3.0123728026199075e-34,3.001617520014221e-32,1.7073533252456188e-42,1.7074834118145824e-27,1.3898599960226541e-39,8.39533740156819e-49,2.9563827507736576e-29,1.142892451135175e-44,1.362463529436088e-61,4.554829548590563e-31,6.545993353563918e-40,1.4505652102987303e-49,4.927016225562367e-54,9.195035225449431e-61,4.891012167699716e-19,2.914404639090514e-30,4.891012167705363e-19,8.380067806442913e-37,2.092261944764112e-60,8.262293219756524e-37,5.4143623120563535e-22,3.138738610644152e-49,1.6486555580665118e-66,1.7228322808146364e-33,2.1610362381138775e-46,4.227982217013467e-49,7.407556783619591e-51,2.469107104877094e-64,2.2324626163945054e-57,2.1436453565893144e-40,7.489486977329116e-49,1.9019354889753577e-49,5.844536489832955e-52,5.50238540189364e-70,4.838141905974342e-65,4.1491396236061805e-75,2.0213865799468854e-22,3.0058879027576504e-47,3.921356944620618e-64,6.322738850256713e-53,1.3217906760864801e-56,4.358459872499338e-34,5.4143622906979785e-22,3.809492787494688e-49,3.8940976040931786e-19,2.905012337910916e-35,1.9375469454371586e-30,1.4210836070711253e-45,5.549878639443285e-44,5.110267336224553e-39,2.0213865710266604e-22,1.8599827819117893e-65,2.9149100249985702e-39,4.271653531915521e-66,5.952170444618819e-67,9.567911501012094e-50,1.0441086019080285e-69,1.979286818116878e-63,4.45066774689808e-31,9.741010229733757e-55,7.9338949404935405e-50,6.980899907331205e-71,3.95109049287383e-72,2.454648277477306e-63,4.02461320139661e-79,2.6200374538150216e-54,8.613352917854546e-24,2.655427573502329e-71,6.49718569783866e-66,1.8686869614075078e-60,1.599985768442426e-38,7.362222125832424e-75
5.933640029099048e-17,0.3784556816010975,3.76,0.0,0.7132251356435908,1.0,8.51036972546953e-39,8.017259773219445e-19,1.4194061999270505e-29,9.495260839676624e-15,9.495260839676629e-15,1.1905586922765056e-33,1.7733373924056255e-23,9.867591353771779e-32,2.0340614495411827e-40,1.5503161069487544e-39,5.149792173074962e-18,1.6998639516981e-31,2.773532459824367e-18,6.411182093437508e-24,1.90819979053736e-27,2.376266120505195e-18,1.2576063463249264e-33,1.253116231618338e-31,1.4351333448340834e-41,3.5154107333819094e-27,5.802391841610723e-39,7.056786900855885e-48,1.2342316008795817e-28,9.606699694675105e-44,2.2979938635288128e-60,1.9015516742242806e-30,2.7328233798964574e-39,1.2192874677382976e-48,4.141454011968853e-53,1.550877093772722e-59,1.0069730933433508e-18,1.2167065666433223e-29,1.0069730933457081e-18,3.498513377179164e-36,3.5289054384277753e-59,3.449344748944322e-36,1.1147216529017644e-21,2.6852566505591053e-48,2.7806987321319225e-65,7.192485628974357e-33,1.8165851272186674e-45,3.6171280662650396e-48,6.337320876105963e-50,2.2978426820610228e-63,1.8765193193646388e-56,1.8018649995706338e-39,6.407413789902846e-48,1.627145853386849e-48,4.912685091587792e-51,9.280577247864483e-69,8.160233319369145e-64,6.998130472368466e-74,4.1616782527425897e-22,2.52870487332177e-46,6.613942095866924e-63,5.409245348659883e-52,1.1110460062639384e-55,1.8195712002812622e-33,1.114721643985063e-21,3.259101290087459e-48,8.017259773132978e-19,1.2127854657962753e-34,8.088877040788388e-30,1.1945070042245855e-44,4.665007301632649e-43,4.295487395917042e-38,4.161678215502406e-22,3.2126578752672215e-64,1.216917550770627e-38,7.378218912683855e-65,1.0280904681469832e-65,8.185549682764449e-49,1.8041877209235536e-68,3.418725763887046e-62,1.8580661724611013e-30,8.187906521482328e-54,6.78761352412752e-49,2.421998470772208e-69,1.3708168390449705e-70,4.239794456297665e-62,1.3936212591506128e-77,4.419075884139206e-53,1.7733373480649336e-23,4.586782543591543e-70,1.1222272717101057e-64,3.211795034558153e-59,6.679625559192891e-38,2.554296863707028e-73
1.2036812630458066e-16,0.3784556816010982,3.76,0.0,0.713225135643581,1.0,6.977315278139253e-38,1.6263584111565714e-18,5.798737471858552e-29,1.9261814846200976e-14,1.926181484620099e-14,4.863819942805695e-33,3.5973415881396504e-23,4.031233034828964e-31,1.6676464667067282e-39,1.2710427961744668e-38,1.0446721266973134e-17,6.944498895541984e-31,5.62630870192662e-18,1.300787191318767e-23,7.795618771931895e-27,4.820425556873334e-18,5.137732270834455e-33,5.119388720374064e-31,1.176609021903954e-40,7.131276824674394e-27,2.370466356030044e-38,5.785580185242377e-47,5.042238800805116e-28,7.876152819620526e-43,3.774461753215361e-59,7.768459047678824e-30,1.1164475310738773e-38,9.996455411031206e-48,3.3954142141168945e-52,2.5473203017054888e-58,2.0427168464697653e-18,4.9706433262583473e-29,2.042716846479397e-18,1.4292568927288067e-35,5.7962373099569795e-58,1.4091698574419216e-35,2.261292497589048e-21,2.2202220034976587e-47,4.567306545930008e-64,2.938365061836639e-32,1.4893876087375585e-44,2.990711874785048e-47,5.2398196041732115e-49,2.24864210937061e-62,1.5384838704265593e-55,1.4772809279559705e-38,5.297773628727876e-47,1.345355657405848e-47,4.027716069914199e-50,1.5243376069712895e-67,1.340320719600661e-62,1.149445046652939e-72,8.442261598058578e-22,2.0740107476705912e-45,1.0863421234923337e-61,4.472483784688771e-51,9.109047729989917e-55,7.433542064341972e-33,2.261292461161414e-21,2.694687982851443e-47,1.6263584111212461e-18,4.954624349936702e-34,3.304570164242014e-29,9.79330004547516e-44,3.8246546696039655e-42,3.521699733917033e-37,8.442261445920278e-22,5.33787965603767e-63,4.971505228153141e-38,1.2259020148595102e-63,1.708191155433074e-64,6.767970695466681e-48,3.0001766978241345e-67,5.680263986271134e-61,7.590806584122986e-30,6.712941251650843e-53,5.61212907172778e-48,8.06626611591443e-68,4.565392416003584e-69,7.044481850388007e-61,4.6367093894123585e-76,7.25834463914863e-52,3.597341406993341e-23,7.621645133030449e-69,1.8645974494696464e-63,5.3233144114464775e-58,2.7288449376249246e-37,8.506875008760955e-72
2.42431578331761e-16,0.37845568160109955,3.76,0.0,0.7132251356435615,1.0,5.650410815105714e-37,3.2756232788798876e-18,2.343942403451637e-28,3.879492285924914e-14,3.8794922859249205e-14,1.9660331521262234e-32,7.245350042551258e-23,1.6294888426969246e-30,1.350503341434307e-38,1.029323386937596e-37,2.1040579459614564e-17,2.8070774872948072e-30,1.1331861179168415e-17,2.6208343780800564e-23,3.151113746674335e-26,9.708744423933092e-18,2.076753528537146e-32,2.069338798997456e-30,9.528484894882819e-40,1.436305480030929e-26,9.581803703550023e-38,4.6853127232452145e-46,2.0381535347604875e-27,6.378312752456499e-42,6.118564933854562e-58,3.140135351975803e-29,4.5128595105293425e-38,8.095388910065353e-47,2.7496944610184426e-51,4.129316039519094e-57,4.1142043526412214e-18,2.0092135061771726e-28,4.114204352680152e-18,5.777285076745784e-35,9.395948934730355e-57,5.696089694010333e-35,4.5544341921437145e-21,1.8054476109389977e-46,7.403802442930476e-63,1.1877341362862621e-31,1.206161201836563e-43,2.4319979465939085e-46,4.260934528720734e-48,2.4117611873340716e-61,1.245904057953398e-54,1.196345477862074e-37,4.30806153168763e-46,1.094020877354714e-46,3.261748931232701e-49,2.471016972492859e-66,2.1727174714512747e-61,1.863300002718769e-71,1.7003428287588875e-21,1.6799170650622855e-44,1.7610078763235033e-60,3.636974137713886e-50,7.376777527126623e-54,3.00475655430085e-32,4.554434044897395e-21,2.1912755339563345e-46,3.2756232787370965e-18,2.0027383798768882e-33,1.3357600631922266e-28,7.930884375456843e-43,3.097304246451165e-41,2.8519631746772426e-36,1.7003427672621547e-21,8.702092833876902e-62,2.009561870703473e-37,1.9985293841783717e-62,2.7847940081799767e-63,5.503601247548694e-47,4.899170025918468e-66,9.260263916372494e-60,3.0683253858822704e-29,5.436315154526815e-52,4.563688450187587e-47,2.6329635954939715e-66,1.490220124557824e-67,1.1484283187765915e-59,1.5127360556014037e-74,1.176608694626309e-50,7.245349310327956e-23,1.242728326337642e-67,3.039764616180327e-62,8.667637281584151e-57,1.1030427105103138e-36,2.7767856815438862e-70
4.865584823861219e-16,0.3784556816011022,3.76,0.0,0.7132251356435224,1.0,4.5479422046710825e-36,6.574153014542769e-18,9.424889342021256e-28,7.786113888534332e-14,7.786113888534359e-14,7.905327732414661e-32,1.4541367203153864e-22,6.552102937985185e-30,1.0870025739477028e-37,8.284889732261616e-37,4.222829586427776e-17,1.1287135122547973e-29,2.2742966105801178e-17,5.263765642835742e-23,1.26704897669808e-25,1.9485382135346532e-17,8.350534594438379e-32,8.320720508954343e-30,7.669353569071795e-39,2.882679392712756e-26,3.852800875593116e-37,3.771147112270137e-45,8.195325665831344e-27,5.133820997528898e-41,9.853759490241871e-57,1.2626346125478693e-28,1.8146010295245416e-37,6.515873507293621e-46,2.2131933176126156e-50,6.650136371860205e-56,8.25717936465864e-18,8.0789591395511e-28,8.257179364815182e-18,2.3230210790196774e-34,1.5131881197644393e-55,2.2903724715908257e-34,9.140717601973452e-21,1.4561588833922567e-45,1.1923601106493221e-61,4.7758267064853155e-31,9.708300586432176e-43,1.9614956084759306e-45,3.4365984593489355e-47,2.8921774313230134e-60,1.0028118672474278e-53,9.62931100086274e-37,3.4746076955593457e-45,8.82367470978487e-46,2.6253393574734364e-48,3.979496732440351e-65,3.499093948230919e-60,3.000787370329518e-70,3.412576166224274e-21,1.3522749755593455e-43,2.8360504435701134e-59,2.9333910843043993e-49,5.937527868343111e-53,1.2081993949094509e-31,9.140717009902487e-21,1.7673431324843195e-45,6.574153013968614e-18,8.05292294188873e-33,5.371032202055597e-28,6.383491618404024e-42,2.4929794889422366e-40,2.2955071508053181e-35,3.412575918948624e-21,1.4053908931190837e-60,8.080359656728558e-37,3.227629319184412e-61,4.4974862581234895e-62,4.438853590367511e-46,7.938415999355863e-65,1.4955350941448358e-58,1.2337601410891605e-28,4.3756214523475756e-51,3.680777312423627e-46,8.509283299820714e-65,4.8161339483912e-66,1.8547147495317967e-58,4.8876638673410134e-73,1.8948912255679145e-49,1.45413642589085e-22,2.0076807956538165e-66,4.909228535001774e-61,1.3989601287770567e-55,4.435285873508576e-36,8.974091461769212e-69
9.748122904948435e-16,0.37845568160110765,3.76,0.0,0.7132251356434443,1.0,3.6494372095511266e-35,1.317121248673353e-17,3.779802187147372e-27,1.5599357093752312e-13,1.5599357093752418e-13,3.170385902054385e-31,2.9133402531517913e-22,2.6276863032526694e-29,8.722510983324591e-37,6.648101641099353e-36,8.460372875112551e-17,4.5266460183219056e-29,4.556517584766337e-17,1.0560975737184111e-22,5.0814330841252135e-25,3.9038657467349093e-17,3.3489378552509317e-31,3.3369812466624426e-29,6.154173185949188e-38,5.775500490974816e-26,1.5451452702776582e-36,3.0261077695401013e-44,3.2866920918268057e-26,4.119568023626579e-40,1.5817463978127712e-55,5.063729510098461e-28,7.27736227891567e-37,5.2285785026282165e-45,1.7759482511220187e-49,1.0674942269653005e-54,1.6543129387391514e-17,3.2400239549447286e-27,1.6543129388019318e-17,9.316354799425685e-34,2.4290004794747735e-54,9.185416865768919e-34,1.8313284504514535e-20,1.16966599284427e-44,1.9140038172580843e-60,1.915320099673749e-30,7.790326127733037e-42,1.5755818061221942e-44,2.76046341376704e-46,3.8469956885240614e-59,8.046931923704317e-53,7.727046920847506e-36,2.7909938583560085e-44,7.087655375121046e-45,2.1066695795247965e-47,6.387973823373797e-64,5.616818926631875e-59,4.816928811711451e-69,6.837042839392356e-21,1.0851680949096162e-42,4.552494020834094e-58,2.3563229960962356e-48,4.764581331770959e-52,4.845419952566172e-31,1.8313282130045272e-20,1.4196261643631253e-44,1.3171212484430914e-17,3.2295822755093036e-32,2.1540239272177872e-27,5.122391574490645e-41,2.0004583506554423e-39,1.841998434228402e-34,6.837041847706466e-21,2.259126666482355e-59,3.240585431459103e-36,5.188316730752075e-60,7.229695138206873e-61,3.565528281826937e-45,1.284514273605999e-63,2.4040289789764945e-57,4.947929965733991e-28,3.5111639661824876e-50,2.9565960828855965e-45,2.7364579398328744e-63,1.5487965090872695e-64,2.9813996207774683e-57,1.571600010302778e-71,3.041717489973228e-48,2.913339072371566e-22,3.2294462079369706e-65,7.891443291696623e-60,2.2480913446724375e-54,1.7787477260522814e-35,2.8859332994514205e-67
