Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414),C2H2F3(66),C2H2F3(67),S(4446),CF2O(49),S(6032),S(2070),CFO2(332),C3H3(4381),S(4999),C3H3(8252),S(5941),S(7087),S(2403),S(5038),S(8410),S(2402),S(10418),CHO2(146),CFO(51),S(10885),S(4379)
0.0,0.8261406127701115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7670703067448669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1392182324590284e-22,0.8261406127701115,1.185864549990881e-25,1.8757377250421124e-26,1.133863771803529e-37,1.235710878472397e-36,0.0,0.0,4.543013347003033e-21,6.581185905350268e-39,2.877381292517603e-51,1.4076056857455603e-49,3.8522710255492206e-51,2.1917433978529176e-62,1.4032680962122485e-41,8.722249977175103e-36,2.3347356640325597e-20,4.2445547855391376e-38,5.256953295456611e-76,1.84755540002516e-74,6.559988868373092e-52,1.2353361557012046e-36,8.927935555243436e-22,5.525715260218589e-55,9.473236373801348e-39,6.852068091824895e-55,6.537424298218277e-38,7.770451005940096e-18,6.05836485336967e-38,4.61567517829776e-22,6.5129078989412415e-55,5.420036940122769e-59,2.12764958591636e-53,7.212376013055195e-40,3.76,0.0,0.7670703067448669,0.9999999999999994,7.866261556926997e-52,1.9865407932940904e-19,7.770451005940096e-18,1.912617034494785e-21,2.490912567644076e-34,2.6305148989627025e-21,2.793685063379919e-57,1.2439709646836518e-55,1.3183958146769236e-59,7.174919514055908e-63,5.681733321064575e-71,2.3347356640325603e-20,9.441832527424059e-38,7.860355493344915e-41,1.6795917839278692e-56,3.4515660192422634e-55,1.1812205427155667e-38,1.1346024505481483e-38,8.92793555524353e-22,2.319171023719961e-40,1.8598221029232249e-72,7.899769945896814e-73,5.030184287636087e-88,4.344243469655118e-92,2.0212923420025634e-55,1.0818370808012008e-76,9.577475354365493e-55,4.454212858163502e-68,7.033540952332376e-58,1.9728443404886403e-53,4.01675245706681e-55,2.1373252424558736e-72,5.682531541878628e-58,2.0710414919974974e-97,4.074306794049847e-92,4.090352728351005e-39,4.615675178297723e-22,2.166815362743633e-57,3.317414324925496e-38,5.146641236105901e-16,1.2302841572208368e-74,1.083670818543497e-38,1.4000625883729498e-75,2.294725653754059e-87,1.98654079329409e-19,3.39544534161088e-55,1.6162486171895353e-75,5.73524585036168e-39,7.865890678294287e-75,2.6053134060036976e-76,5.033538530224215e-89,3.648332923958794e-87,8.927747658615816e-73,8.29295812239687e-41,9.561110658773397e-40,5.592453693642095e-35,5.5731470757388096e-73,1.0260091983830102e-94,3.2954914447953036e-91,5.450536791929739e-72,5.045842452203686e-88,1.097920183201338e-74,2.8361470556675e-76,3.026865221979856e-92,4.1180795991202836e-75,1.7505987734856034e-77,6.521569861586038e-58,2.5015320085611065e-56,8.215903051998728e-76,6.353215523197777e-73
3.1898110508852794e-22,0.8261406127701115,3.3204207499230367e-25,5.252065630130281e-26,6.8485371816967815e-37,7.463693705978319e-36,0.0,0.0,1.2720437371608488e-20,3.9750362868315613e-38,3.416027070965741e-50,1.671109470117307e-48,4.573416229498945e-50,2.6020377619309953e-61,8.475739301121935e-41,5.268238986213655e-35,6.537259859291166e-20,2.5637110904657333e-37,1.1759594243910712e-74,5.6519858760857505e-73,7.788018784532523e-51,7.46143038043526e-36,2.4998219554681344e-21,6.560129156931414e-54,5.721834769775927e-38,8.134775238614451e-54,3.9486042761238734e-37,2.175726281663227e-17,3.659252371435263e-37,1.2923890499233655e-21,7.732124257632078e-54,6.434667855313627e-58,2.7035304155415257e-52,4.356275111885337e-39,3.76,0.0,0.7670703067448669,0.9999999999999986,9.338825720778173e-51,5.562314221223453e-19,2.175726281663227e-17,5.355327696585013e-21,1.5045111908569433e-33,7.365441717095177e-21,3.3206348012182186e-56,1.8404954018598172e-54,1.565199511193672e-58,8.518065369160007e-62,1.5970363063169282e-69,6.537259859291168e-20,5.7028668465641255e-37,4.747654717980662e-40,1.9940113658794647e-55,4.097699178044081e-54,7.134572078047581e-38,6.852998801310109e-38,2.4998219554681904e-21,1.4007792983264707e-39,4.328877264667675e-71,2.1996217199840986e-71,2.5953168348797705e-86,2.220752184822671e-90,3.054573050029985e-54,2.4309474715866657e-75,1.1440933158008057e-53,1.002351042857499e-66,1.0629087087166674e-56,2.3421608010272114e-52,4.966024237291256e-54,6.027599155764333e-71,8.587441666086953e-57,1.0587044558218778e-95,2.102133124436887e-90,2.470573047923857e-38,1.2923890499233424e-21,3.2744913761804443e-56,2.0037182522544077e-37,1.4410595461091795e-15,3.8682102357677154e-73,6.545371744002658e-38,4.4020207878577035e-74,1.0987597553359687e-85,5.562314221223449e-19,5.131083982656529e-54,4.5580740334323806e-74,3.4640884936184553e-38,2.2183070255301428e-73,7.347400655080405e-75,2.113583559434802e-87,1.515023234312095e-85,2.5176623705937914e-71,5.008946705928303e-40,5.774910837896856e-39,3.3778420309598136e-34,1.7522866109654841e-71,5.310701248129496e-93,1.898034343039965e-89,1.713735975971401e-70,3.0696308925179933e-86,3.4520367232142524e-73,8.917300126547438e-75,1.7433193923605843e-90,1.2947901152369507e-73,5.5041626396412815e-76,7.742407739719688e-57,2.969818800563736e-55,1.8378646491193457e-74,1.9975526119417755e-71
7.290996687737782e-22,0.8261406127701115,7.589533189581627e-25,1.2004721440356085e-25,3.297275848409864e-36,3.5934472346052906e-35,0.0,0.0,2.907528542081936e-20,1.9138088612758555e-37,3.353875635252572e-49,1.6407051873055753e-47,4.490207203893159e-49,2.5546961045373934e-60,4.080703623785154e-40,2.5364302933623606e-34,1.494230824980837e-19,1.234316531634922e-36,2.323497656528044e-73,1.2510492896690224e-71,7.646323024975644e-50,3.5923575407790817e-35,5.7138787553556024e-21,6.440773707310499e-53,2.754817137501299e-37,7.986770567830885e-53,1.9010829859219265e-36,4.973088643801662e-17,1.7617724993598738e-36,2.9540321141105156e-21,7.591445447018501e-53,6.317595057406715e-57,2.732158811884747e-51,2.09735894459645e-38,3.76,0.0,0.7670703067448669,0.9999999999999967,9.16891447131694e-50,1.2713861077082177e-18,4.973088643801662e-17,1.224074902076393e-20,7.243573746707797e-33,1.683529535335856e-20,3.261959399318258e-55,1.9663599195093764e-53,1.5367221616150392e-57,8.363088941421059e-61,3.4646878170777652e-68,1.4942308249808384e-19,2.745684898974909e-36,2.285791377465192e-39,1.9577321833472493e-54,4.023145352027746e-53,3.434989338285207e-37,3.2994239261929564e-37,5.713878755355873e-21,6.744149336971865e-39,8.715622943784213e-70,4.759065126098968e-70,1.130208895309513e-84,9.643657853714047e-89,3.2859689437166303e-53,4.8127987312119e-74,1.1263692545620303e-52,1.9862245860558265e-65,1.1434286855395282e-55,2.2995473632707553e-51,4.9621433867280925e-53,1.311134475613665e-69,9.237977877001138e-56,4.597443879690973e-94,9.15437192265971e-89,1.189474573404247e-37,2.9540321141104035e-21,3.522548398913566e-55,9.647040856874461e-37,3.2938503911044676e-15,8.629764246051005e-72,3.151314740324391e-37,9.820666222880269e-73,5.710466922013696e-84,1.2713861077082162e-18,5.519747097978094e-53,9.914802296745649e-73,1.6678094932851767e-37,4.825302319395641e-72,1.5982201297884595e-73,8.395431291776719e-86,6.011377514616018e-84,5.476384420860387e-70,2.4115922219939033e-39,2.780370979567889e-38,1.6262855341111044e-33,3.9092550359120964e-70,2.318824595050152e-91,8.51158264892783e-88,3.823250689907908e-69,1.3857780464002225e-84,7.701304033215774e-72,1.9894006042331963e-73,7.817775872160657e-89,2.8886055207886447e-72,1.22794840654697e-74,7.601541830803394e-56,2.9157857091787977e-54,3.631310839975952e-73,4.456429992026492e-70
1.5493367961442788e-21,0.8261406127701115,1.6127758228075929e-24,2.5510033061005557e-25,1.440006990195856e-35,1.5693528156677565e-34,0.0,0.0,6.1784981519241e-20,8.358106099794814e-37,2.9664650180326815e-48,1.4511851577773977e-46,3.9715374336928294e-48,2.2595997734505083e-59,1.7821504821894886e-39,1.1077257471010738e-33,3.1752405030842756e-19,5.3905845776361616e-36,4.134539935939869e-72,2.3359283370320515e-70,6.763086123737855e-49,1.5688769177405078e-34,1.2141992355130084e-20,5.6967914046743524e-52,1.2031010194726344e-36,7.064208119947338e-52,8.302528858737738e-36,1.056781336807853e-16,7.69412336377921e-36,6.2773182424846975e-21,6.714547527504656e-52,5.587841283788156e-56,2.4474679199074307e-50,9.159717536580087e-38,3.76,0.0,0.7670703067448668,0.999999999999993,8.109801015301739e-49,2.7016954788799633e-18,1.056781336807853e-16,2.6011591669115618e-20,3.1634589609067604e-32,3.5775002625879044e-20,2.8858573613248095e-54,1.802508199550292e-52,1.3592133491565156e-56,7.397060726422155e-60,6.416476573571101e-67,3.175240503084281e-19,1.1991127309828477e-35,9.982651476553067e-39,1.7315919455602183e-53,3.558426503195827e-52,1.5001500893193866e-36,1.4409451121950555e-36,1.2141992355131268e-20,2.9453472001183757e-38,1.5640847488835683e-68,8.803889125354135e-69,4.203104254819141e-83,3.5822711577303616e-87,3.0203710906054324e-52,8.572008727240101e-73,9.974886808078134e-52,3.5390449220374333e-64,1.0510079574268455e-54,2.0339236012642737e-50,4.423301193110482e-52,2.430622349135099e-68,8.49129323239814e-55,1.7077846248984116e-92,3.40439539433794e-87,5.19474796500345e-37,6.277318242484206e-21,3.237828860259751e-54,4.2131161926462004e-36,6.99943208108748e-15,1.6162593358345144e-70,1.3762619395501398e-36,1.8393020961248406e-71,2.2773727769767886e-82,2.701695478879955e-18,5.0735844499145684e-52,1.8380369298055955e-71,7.283762229959329e-37,8.945297280339076e-71,2.96283076874822e-72,3.0016481869375894e-84,2.1483717613484304e-82,1.0152233980999165e-68,1.0532056815453257e-38,1.2142610536606927e-37,7.102416190925284e-33,7.32160203662632e-69,8.632350091208972e-90,3.20227012245643e-86,7.160525414846384e-68,5.232434085728851e-83,1.4423690134381977e-70,3.7259271604981495e-72,2.941242672726131e-87,5.410038452269685e-71,2.299811465777141e-73,6.72347766479203e-55,2.578979439546099e-53,6.461723619534774e-72,8.346400172403557e-69
3.18981105088528e-21,0.8261406127701115,3.3204208941773e-24,5.252065630309594e-25,6.011745718150677e-35,6.55173907773096e-34,0.0,0.0,1.2720437371608387e-19,3.4893447670166885e-36,2.493492590615744e-47,1.2198085655782252e-45,3.3383165207903257e-47,1.8993297606850858e-58,7.440127446116738e-39,4.624536937896759e-33,6.537259859291139e-19,2.2504629472941612e-35,6.973505919535461e-71,4.0292076930556567e-69,5.684781393510104e-48,6.549752297527587e-34,2.4998219554677237e-20,4.788496433060171e-51,5.022709925388244e-36,5.937892575285154e-51,3.4661423629158057e-35,2.1757262816632265e-16,3.2121450452563556e-35,1.292389049923259e-20,5.643981778706072e-51,4.696917291717872e-55,2.0694974040557913e-49,3.8240017621218556e-37,3.76,0.0,0.7670703067448666,0.9999999999999856,6.816776405566431e-48,5.562314221223454e-18,2.1757262816632265e-16,5.355327696579438e-20,1.3206818433637943e-31,7.365441717089494e-20,2.4260110542053385e-53,1.540208389718136e-51,1.1425007187691193e-55,6.21768073549704e-59,1.1023962670790639e-65,6.537259859291164e-19,5.006059606040166e-35,4.1675604825759776e-38,1.455507366486872e-52,2.9910718872150873e-51,6.262831318113489e-36,6.0156621927964464e-36,2.499821955468218e-20,1.229624476770946e-37,2.648605977202561e-67,1.5117843259171226e-67,1.447441810353417e-81,1.2329822860630038e-85,2.5839908703212687e-51,1.4464367387349103e-71,8.389361566871853e-51,5.972847865544291e-63,8.991594351002665e-54,1.7096353399473063e-49,3.731667111704883e-51,4.177618791469066e-67,7.264480132758651e-54,5.878025694912772e-91,1.1723868678931938e-85,2.1687050165696084e-36,1.2923890499230541e-20,2.7700307579830875e-53,1.7588930750672364e-35,1.441059546102325e-14,2.7916860673450035e-69,5.7456226799167065e-36,3.1769369689214925e-70,8.091843209418046e-81,5.5623142212234216e-18,4.340552934019664e-51,3.159115616570801e-70,3.0408273498617574e-36,1.5374680491594449e-69,5.092349084980142e-71,1.0150576839681096e-82,7.2636092287768315e-81,1.744905047602179e-67,4.3969263965031306e-38,5.069300871249897e-37,2.96511894836888e-32,1.2646246764433543e-67,2.9739674224790405e-88,1.108844474174991e-84,1.236802695723741e-66,1.815374428769379e-81,2.491333778872692e-69,6.435612597113278e-71,1.0184589557214906e-85,9.344496044745938e-70,3.972352384402024e-72,5.651488097461154e-54,2.1677876141068096e-52,1.0898641349695532e-70,1.4416330694692874e-67
6.470759560367282e-21,0.8261406127701116,6.735711291600103e-24,1.065419027904425e-24,2.4559942843182657e-34,2.6765991912658816e-33,0.0,0.0,2.5804315810976786e-19,1.4255111918424687e-35,2.0443158762764636e-46,1.0000727597922403e-44,2.7369535781987914e-46,1.5571852904804628e-57,3.0395348271190666e-38,1.8892742340547813e-32,1.3261298571704825e-18,9.193875447680287e-35,1.1454004414644247e-69,6.690223619818862e-68,4.660727246424657e-47,2.6757875266948682e-33,5.0710673953764306e-20,3.9258986845905035e-50,2.051940891509825e-35,4.868243085576701e-50,1.4160322526916734e-34,4.413616171373973e-16,1.3122660606990778e-34,2.6217035012726494e-20,4.627277257198284e-50,3.8508165715390694e-54,1.70157502491335e-48,1.562229493931799e-36,3.76,0.0,0.7670703067448664,0.9999999999999707,5.588805149594097e-47,1.128355170591044e-17,4.413616171373973e-16,1.0863664755905353e-19,5.395416258010507e-31,1.494132462608264e-19,1.9890994935715925e-52,1.272740864661315e-50,9.366911163231883e-55,5.0976393220768484e-58,1.8268385886296364e-64,1.3261298571704921e-18,2.045138692770102e-34,1.7025844412842874e-37,1.1933128771001508e-51,2.4522614460872073e-50,2.55857094488173e-35,2.457594291976985e-35,5.07106739537845e-20,5.023417204172856e-37,4.35877258606104e-66,2.5046182986381616e-66,4.802703755412664e-80,4.09003835845604e-84,2.13649354778387e-50,2.3762960306442166e-70,6.880042717909617e-50,9.813402278635414e-62,7.434424089824213e-53,1.4016623434959436e-48,3.0648644836672504e-50,6.924096774793809e-66,6.006412655036185e-53,1.949853687348971e-89,3.8900540062778845e-84,8.859867623699682e-36,2.6217035012718128e-20,2.290314997875458e-52,7.185652124291676e-35,2.923292222077375e-14,4.63842815409505e-68,2.3472743397971812e-35,5.278528288952861e-69,2.725197416702416e-79,1.1283551705910306e-17,3.5888510003576717e-50,5.23600226352939e-69,1.242277192171737e-35,2.5482405389180316e-68,8.440195153258887e-70,3.33868467549117e-81,2.388876102681256e-79,2.8920485615712947e-66,1.796287901150688e-37,2.0709748131060644e-36,1.2113478398575183e-31,2.1011928139721355e-66,9.86950092198395e-87,3.689195409389851e-83,2.054966176894194e-65,6.045954751622088e-80,4.139388334643811e-68,1.0692866582828701e-69,3.3884770962887477e-84,1.5526019937094177e-68,6.600122898212546e-71,4.633431391292751e-53,1.7772832582557333e-51,1.790105114334962e-69,2.395294906369831e-66
1.3032656579331287e-20,0.8261406127701116,1.356629310517927e-23,2.1458439577779885e-24,9.927521577087213e-34,1.0819241882737193e-32,0.0,0.0,5.197207268971289e-19,5.762144157057448e-35,1.6555399990813328e-45,8.09884849519995e-44,2.2164559686830206e-45,1.261049020986255e-56,1.2286285751020214e-37,7.636748523005386e-32,2.6709375996532016e-18,3.7163114533783493e-34,1.856743474814221e-68,1.0903279965378117e-66,3.7743777616685025e-46,1.0815961004517391e-32,1.0213558275190948e-19,3.1792945405768015e-49,8.294273160600456e-35,3.942429468424263e-49,5.723828769459718e-34,8.889395950795464e-16,5.304389230636412e-34,5.280332403970678e-20,3.7472890931413214e-49,3.1184910987919567e-53,1.3799246885208556e-47,6.314781393478387e-36,3.76,0.0,0.767070306744866,0.999999999999941,4.525959309731406e-46,2.2726026675284413e-17,8.889395950795464e-16,2.1880338874517817e-19,2.1809135167680135e-30,3.009309044402881e-19,1.6108678456178863e-51,1.0346817046506037e-49,7.585567515018923e-54,4.128215062563137e-57,2.974310250813844e-63,2.670937599653241e-18,8.266777585720598e-34,6.882118531518429e-37,9.663757066063481e-51,1.985904898207264e-49,1.0342152841761634e-34,9.933989063656815e-35,1.0213558275199109e-19,2.0305455514385155e-36,7.072496388280968e-65,4.077300127520566e-65,1.5647693481387724e-78,1.3324017709273047e-82,1.737361042083728e-49,3.8524962504984857e-69,5.5724097647208876e-49,1.5910331500685792e-60,6.045550202101845e-52,1.1351025062980746e-47,2.4841681728033496e-49,1.1274096642806891e-64,4.88431501909775e-52,6.351990566975987e-88,1.2674188502156285e-82,3.581300150587684e-35,5.280332403967295e-20,1.862446119736077e-51,2.904555477302332e-34,5.887757573979068e-14,7.56180857000883e-67,9.488058178334843e-35,8.605333342674273e-68,8.94380411719181e-78,2.2726026675283883e-17,2.9183931992854408e-49,8.525472188773654e-68,5.021483033792435e-35,4.149149129406571e-67,1.37426698296608e-68,1.0831184748863708e-79,7.7494792532228145e-78,4.708948526305553e-65,7.26088289820622e-37,8.371211314846551e-36,4.896461646559849e-31,3.4254746004573632e-65,3.2158311783525095e-85,1.2036019515042159e-81,3.3501135150215354e-64,1.9735003207710766e-78,6.748247713136523e-67,1.7432071270179881e-68,1.1054924429633928e-82,2.5311331062528336e-67,1.075986610900789e-69,3.752272871243402e-52,1.4392900617155265e-50,2.9018375311718208e-68,3.904935238603215e-65
2.6156450617259293e-20,0.8261406127701117,2.7227460807271835e-23,4.3066938180316425e-24,3.991812763458419e-33,4.350369576494404e-32,0.0,0.0,1.0430758644718235e-18,2.316932822722048e-34,1.3325226199859205e-44,6.5186578528801095e-43,1.783996591204319e-44,1.015001960875343e-55,4.9402614634356615e-37,3.0707029934560322e-31,5.3605530846185706e-18,1.4943124904756e-33,2.990228127730459e-67,1.7606054773363847e-65,3.037947586034606e-45,4.3490503495911884e-32,2.0498540034808395e-19,2.5589728386276034e-48,3.335090758335312e-34,3.1732102197980693e-48,2.3015263738876156e-33,1.7840955509638432e-15,2.1328715800868313e-33,1.0597590209363726e-19,3.016144268939478e-48,2.510032938898377e-52,1.1114604091365163e-46,2.5391458249000816e-35,3.76,0.0,0.7670703067448651,0.9999999999998818,3.642885802078452e-45,4.561097661403242e-17,1.7840955509638436e-15,4.39136871115853e-19,8.769357330831854e-30,6.039662207976065e-19,1.2965839623203057e-50,8.343929060022791e-49,6.105524667899754e-53,3.322770090161822e-56,4.8003784690458045e-62,5.360553084618727e-18,3.3240349086093594e-33,2.7672695928794063e-36,7.778232414712599e-50,1.5984290318895962e-48,4.1585341730421195e-34,3.994413311197229e-34,2.0498540034841213e-19,8.164734355543323e-36,1.139542558581597e-63,6.580130356121086e-64,5.052359688670574e-77,4.301806246813493e-81,1.401244609135475e-48,6.20466189039009e-68,4.4854688569804826e-48,2.562500436876888e-59,4.8759552531683524e-51,9.13629248730328e-47,2.0003380464029352e-48,1.819643743522055e-63,3.93937700936428e-51,2.0508102975817353e-86,4.092268240729678e-81,1.4400250394150578e-34,1.0597590209350121e-19,1.5021302673962858e-50,1.1679089827006521e-33,1.181668827758881e-13,1.2212341039228078e-65,3.8151064635099542e-34,1.3897636334203786e-66,2.8982027323352844e-76,4.5610976614030274e-17,2.3537895102807103e-48,1.3760146363484372e-66,2.0191162426032043e-34,6.696743423055157e-66,2.2180724512560698e-67,3.489769452261296e-78,2.4967926882783034e-76,7.600259645166138e-64,2.9195690788692594e-36,3.366027251684408e-35,1.9688456926605823e-30,5.53215062964197e-64,1.0383720812651998e-83,3.888839719643205e-80,5.4104422753699e-63,6.3780120086720765e-77,1.0898438082184182e-65,2.8152841664736553e-67,3.571847749612255e-81,4.087786727586575e-66,1.7377212506829046e-68,3.020155648351541e-51,1.158465857073845e-49,4.6733198851847885e-67,6.306480840958886e-64
5.240403869311531e-20,0.8261406127701121,5.454981251119388e-23,8.628393540565063e-24,1.6008954564468554e-32,1.744692775369849e-31,0.0,0.0,2.089786139621102e-18,9.291936892647518e-34,1.0692654831935258e-43,5.230812396281493e-42,1.4315449123787432e-43,8.144751510121575e-55,1.9812658054307498e-36,1.2314892409206222e-30,1.0739784054549023e-17,5.9928614344336356e-33,4.799978386274902e-66,2.8299004293462803e-64,2.437761614536169e-44,1.744163706216686e-31,4.1068503553996937e-19,2.0534145445144374e-47,1.3375205596695918e-33,2.5463013595855933e-47,9.230150142130169e-33,3.574407462732433e-15,8.553768986272445e-33,2.123210582013777e-19,2.4202658256865286e-47,2.0141433571075192e-51,8.921875513362834e-46,1.0183110418576132e-34,3.76,0.0,0.7670703067448632,0.9999999999997632,2.9231864353048334e-44,9.138087649152857e-17,3.5744074627324344e-15,8.798038358509044e-19,3.5169045087314653e-29,1.2100368535058226e-18,1.0404339200319004e-49,6.701837358135425e-48,4.899299037253805e-52,2.666351388847158e-55,7.713946379016083e-61,1.0739784054549649e-17,1.3330866694471717e-32,1.1097988759124917e-35,6.241541656969552e-49,1.2826386325326178e-47,1.667758199828848e-33,1.601938392269482e-33,4.1068503554128555e-19,3.2744236531193975e-35,1.8296491332184423e-62,1.0573577571195512e-62,1.6240069080213588e-75,1.382707531015845e-79,1.125555868408471e-47,9.960125249820888e-67,3.599429662260013e-47,4.113533151975132e-58,3.9166324252897726e-50,7.331299337063551e-46,1.605490417161311e-47,2.924118646184313e-62,3.164321846431551e-50,6.591814426664573e-85,1.3153995958069527e-79,5.775144474947146e-34,2.1232105820083223e-19,1.2065927202574321e-49,4.683837380500441e-33,2.3674549684033743e-13,1.9630981545588534e-64,1.5300283266724888e-33,2.2340044510437167e-65,9.332530681362493e-75,9.138087649151997e-17,1.8906916071864725e-47,2.211218570821615e-65,8.097559204650338e-34,1.0761486902190267e-64,3.5643828837978575e-66,1.1205492601851934e-76,8.016989259174881e-75,1.2213411410966238e-62,1.1708777815641612e-35,1.3499274771013108e-34,7.895951815323931e-30,8.892770564470159e-63,3.3377537604047174e-82,1.250432551770926e-78,8.697127939627657e-62,2.0510730766023396e-75,1.751892091594576e-64,4.525487074063476e-66,1.1485057286923173e-79,6.570997776159963e-65,2.7933361582836085e-67,2.423484706989415e-50,9.295958926700591e-49,7.501713399631102e-66,1.0137483764001828e-62
