Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293),S(2934),C2H3F(191),S(5865),S(2726),S(9381),S(2727),S(5643),S(5886),S(2074)
0.0,0.12590715294335686,3.76,0.0,0.7190676485685301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9621083316785336e-21,0.12590715294335686,3.76,0.0,0.7190676485685298,1.0,1.0469092364633147e-45,3.4071658072338567e-18,1.6490441859677783e-33,3.4998287199432803e-16,3.4998287199432803e-16,1.3731710662389864e-34,1.3649952681126896e-21,4.7899817856068724e-33,2.5393890502239998e-45,2.2950395300145275e-45,4.656368792115361e-19,8.433250740881679e-35,1.995531161753492e-19,3.9848312093887284e-24,9.912903414947901e-31,2.6608774786549245e-19,1.0026316346649942e-34,1.2134515610904363e-34,3.55109802080726e-46,1.1537893709881588e-24,8.760940083986516e-39,2.157399433309639e-51,1.1603189187916807e-33,4.626891119364754e-49,3.1456917803874165e-67,6.847531672522529e-35,5.426836784017285e-39,3.8530453673865466e-52,2.3885109570982574e-56,2.1510565931466306e-66,4.647949902136373e-19,1.456954454835278e-33,4.64794990213627e-19,1.6015170968280898e-37,5.210003197781685e-65,8.498965862793003e-37,2.4712523287217236e-20,1.5133118177151194e-50,3.5838453720352277e-68,2.516150640011066e-35,3.668670090270114e-49,1.0456195237782939e-50,8.878234439819876e-53,1.5806734244772398e-64,5.261397161345788e-59,2.6659918780434627e-45,8.938795075529324e-52,2.9629495971268147e-52,8.541719309416432e-54,2.656216641578389e-71,2.3507758120970823e-70,2.1282502679974403e-76,1.2801922909610043e-20,1.4198317060308388e-49,1.6747935656010789e-68,6.383542279212438e-54,9.420497757120195e-58,2.1462251180956916e-34,2.4712523287174613e-20,9.249689706705483e-51,3.407165807233843e-18,1.1631601110359251e-35,4.109609918243542e-32,8.234809726912219e-50,1.8117801736214294e-48,6.422807351053007e-44,1.2801922909587506e-20,1.0265721733606428e-67,2.7200714825211347e-38,1.5308365919832986e-67,4.436846305037604e-69,6.924305652159174e-51,2.2693308062051264e-71,2.0930984831147965e-67,2.1637226873641707e-34,9.468351505083134e-57,3.166708894847546e-51,2.4962212252156528e-76,8.180469788728058e-67,1.0055699579202067e-65,4.535299003879507e-82,2.918278826324865e-60,1.3649952680866406e-21,6.121702825985648e-73,2.933947517111787e-71,3.5636355604162607e-65,4.7545293447770275e-37,2.0771942001516026e-68,6.71046467632921e-68,1.603184289979392e-69,2.3879272380198874e-67,1.2512474609938638e-68,8.889554401484818e-69,4.316358676191307e-69
8.293903328699895e-21,0.12590715294335686,3.76,0.0,0.7190676485685291,1.0,1.242890645562969e-44,9.540064260254836e-18,9.960226883409557e-33,9.799520415841178e-16,9.79952041584118e-16,8.293953239669886e-34,3.8219867507310534e-21,2.8931489985056156e-32,3.0147627107077117e-44,2.7246709301293136e-44,1.3037832617923194e-18,5.093683447492556e-34,5.587487252894767e-19,1.1157530526117419e-23,5.9873936626150854e-30,7.450456940218698e-19,6.0558950733852405e-34,7.3292474290576355e-34,4.21586357030128e-45,3.2306102388488745e-24,5.291607810654224e-38,2.5612646071927705e-50,7.008326269452862e-33,5.493045136898772e-48,7.036786684904132e-66,4.135909130194486e-34,3.277809417544415e-38,4.5743354601585384e-51,2.8356402082614013e-55,4.811827556579534e-65,1.301425972598174e-18,8.800004907205004e-33,1.3014259725981117e-18,9.673163265132832e-37,1.1654568752887149e-63,5.1333753810313e-36,6.919506520421313e-20,2.2869084735041294e-49,8.016918745413099e-67,1.5197549865638407e-34,4.3781971643486045e-48,1.5801399252292583e-49,1.3416787885707555e-51,1.876659820420935e-63,6.246330710064902e-58,3.165065559684052e-44,1.350830711814034e-50,4.47760943117716e-51,1.0140729164081974e-52,5.941850378512074e-70,5.258591460521366e-69,4.760810722005088e-75,3.5845384146892444e-20,1.748167555078506e-48,3.746446262714825e-67,9.646809092891757e-53,1.1184014940839272e-56,1.2963199713293239e-33,6.919506520395574e-20,1.3978130541700748e-49,9.540064260254759e-18,7.025487070657269e-35,2.482204390610793e-31,9.776366108168958e-49,2.1509454220936195e-47,7.62515688693871e-43,3.5845384146756323e-20,3.2277071647710487e-66,1.6429231754403956e-37,4.813195178896594e-66,1.395015468349184e-67,1.0464010701443614e-49,7.135139182037697e-70,6.581036526658662e-66,1.306888503166501e-33,1.12408269080261e-55,4.785530481676706e-50,1.5185730354667138e-74,2.5720705891098183e-65,3.161672838891164e-64,2.612873216180105e-80,6.528073003097665e-59,3.8219867505737185e-21,1.92476131912173e-71,9.224800430543292e-70,1.0049987087912583e-63,2.8717357241896758e-36,6.531030916345044e-67,2.109877461676963e-66,5.040667916971602e-68,7.508025304709825e-66,3.934122216956574e-67,2.795018136622501e-67,1.3571322295455081e-67
1.8957493322742618e-20,0.12590715294335694,3.76,0.0,0.7190676485685279,1.0,1.2202774060873959e-43,2.1805861166296937e-17,4.7954204930405566e-32,2.2398903807636956e-15,2.239890380763696e-15,3.993181460002583e-33,8.73596971602987e-21,1.3929267032530755e-31,2.959911919939e-43,2.6750980763080616e-43,2.9800760269539587e-18,2.452389315448422e-33,1.2771399435117279e-18,2.5502941718890714e-23,2.882672313046677e-29,1.7029615863285864e-18,2.9156527936187997e-33,3.5287171397580865e-33,4.139159853049527e-44,7.384251974898424e-24,2.547681376312647e-37,2.5146647793650075e-49,3.3742074157728704e-32,5.393104288697259e-47,1.3903504688741912e-64,1.991262210355868e-33,1.578124136787922e-37,4.491109680213934e-50,2.784048371576202e-54,9.507360389389941e-64,2.9746879373672064e-18,4.2368235546608704e-32,2.9746879373669064e-18,4.657211718004516e-36,2.302746389107238e-62,2.4714992727566927e-35,1.5816014903822444e-19,2.460148905314077e-48,1.5840080482553677e-65,7.3169660611095245e-34,4.308509744307786e-47,1.6998423228429494e-48,1.443316816508665e-50,1.842694291875701e-62,6.132684531605535e-57,3.1074801394670983e-43,1.4531620378387966e-49,4.81680790105407e-50,9.956228026873915e-52,1.1740095060366398e-68,1.0390090577068899e-67,9.4065597315083e-74,8.193230662139455e-20,1.7437673987679922e-47,7.402346534658264e-66,1.0377597014266181e-51,1.0980532196809401e-55,6.24122264341516e-33,1.5816014903698522e-19,1.503703479151517e-48,2.180586116629656e-17,3.382469602892881e-34,1.1950745642127609e-30,9.598494218863061e-48,2.1118109702809346e-46,7.486424247669968e-42,8.193230662073917e-20,7.200837129557408e-65,7.909967871135814e-37,1.0737973669843745e-64,3.112202774463484e-66,1.1256705212259995e-48,1.5918103174217638e-68,1.468193046860548e-64,6.29210557483314e-33,1.1036310518010285e-54,5.148055315428618e-49,6.855564494226884e-73,5.738147994973055e-64,7.053518180160182e-63,1.1717656569727127e-78,1.2898372178705448e-57,8.735969715272374e-21,4.294036638368415e-70,2.0580022329275477e-68,2.18608900544337e-62,1.3826171333776859e-35,1.4570370702819521e-65,4.707020552822816e-65,1.1245452834951936e-66,1.6749991438981466e-64,8.776810250248429e-66,6.235531708692829e-66,3.02768734842979e-66
4.0284673310828065e-20,0.12590715294335697,3.76,0.0,0.7190676485685253,1.0,1.0793215465264839e-42,4.633745497838172e-17,2.0942861164335447e-31,4.759767059122842e-15,4.759767059122845e-15,1.7439272534824426e-32,1.8563935646875867e-20,6.083276867706228e-31,2.6180085785151683e-42,2.3660939539609828e-42,6.3326615572775315e-18,1.071022844092005e-32,2.7139223799322168e-18,5.419381434170095e-23,1.2589387336775385e-28,3.618793370917871e-18,1.273342176037964e-32,1.5410834826955223e-32,3.661040015524277e-43,1.5691535448309997e-23,1.1126393905518814e-36,2.2241925195532576e-48,1.4736050267896544e-31,4.770139668348261e-46,2.4740543729867986e-63,8.696365223962222e-33,6.892082715651564e-37,3.9723356519327664e-49,2.462459256293208e-53,1.6917839836175286e-62,6.321211866905105e-18,1.8503321576406815e-31,6.321211866903795e-18,2.0339267134105034e-35,4.097614163495558e-61,1.0793686644264156e-34,3.360903167063252e-19,2.261299649006442e-47,2.8186576914742548e-64,3.195511312769977e-33,3.814787523631891e-46,1.5624479147419007e-47,1.3266568160916648e-49,1.630159842459904e-61,5.424290018163818e-56,2.7485310000689297e-42,1.335706270546516e-48,4.4274763239879744e-49,8.806170938849537e-51,2.089087188851491e-67,1.8488611039793238e-66,1.673847048732496e-72,1.7410615157014793e-19,1.5532266913940645e-46,1.3172080218076189e-64,9.538799560858331e-51,9.712156391006158e-55,2.725705899974179e-32,3.3609031670091317e-19,1.3821625559191984e-47,4.633745497838008e-17,1.4772133410160452e-33,5.2192045960405336e-30,8.489759438523198e-47,1.8678728876031225e-45,6.621657465135038e-41,1.7410615156728566e-19,1.348637101486984e-63,3.454490782764964e-36,2.0111036286126003e-63,5.828811378246964e-65,1.0346851449158865e-47,2.981284616621589e-67,2.7497630886761206e-63,2.7479278129299006e-32,9.761491675411871e-54,4.7319497657559396e-48,2.588530693786275e-71,1.07469161417226e-62,1.3210458923362581e-61,4.408564131373451e-77,2.2951964130945526e-56,1.856393564356768e-20,8.042255455000316e-69,3.854410427893872e-67,4.052638595053717e-61,6.038252267004258e-35,2.728869179207317e-64,8.815728559449754e-64,2.1061488597513587e-65,3.137088020800414e-63,1.6437994250227513e-64,1.1678460789292208e-64,5.670523323159227e-65
8.293903328699895e-20,0.12590715294335708,3.76,0.0,0.7190676485685202,1.0,9.072347939263163e-42,9.540064260255362e-17,8.743232276291361e-31,9.799520415841098e-15,9.799520415841112e-15,7.280552987429476e-32,3.82198675095613e-20,2.5396483427157142e-30,2.2005939591735327e-41,1.988844536116868e-41,1.3037832617925845e-17,4.471309542815754e-32,5.587487252677134e-18,1.11575760536376e-22,5.255821390417772e-28,7.450456939999842e-18,5.315952927114556e-32,6.43372017789751e-32,3.0773247272502194e-42,3.2306102400383045e-23,4.645050431499623e-36,1.8695678301310646e-47,6.15201090675147e-31,4.0095898136529116e-45,4.172854314640746e-62,3.630561292644194e-32,2.8773088628380833e-36,3.338987466597514e-48,2.0698453791792436e-52,2.8534409645716243e-61,1.3014259725980239e-17,7.724772519535553e-31,1.3014259725974769e-17,8.491243651315353e-35,6.911225204407662e-60,4.506151699118183e-34,6.91950652042839e-19,1.934589060970177e-46,4.7540781898800757e-63,1.334063069294198e-32,3.2081286355117633e-45,1.3367070725769052e-46,1.1349828373153858e-48,1.3707818725831225e-60,4.559442598932324e-55,2.310305930101238e-41,1.1427248359021724e-47,3.7877992095593996e-48,7.402117285326267e-50,3.5235508912199185e-66,3.118374486509813e-65,2.8231877143404926e-71,3.5845384146665136e-19,1.3098960416314088e-45,2.2216638695483082e-63,8.160643854364831e-50,8.163652670670893e-54,1.1379285576077211e-31,6.919506520202448e-19,1.1824691636293324e-46,9.540064260254678e-17,6.167074908716246e-33,2.178915178536837e-29,7.136154356860127e-46,1.5700597096262585e-44,5.565902082771569e-40,3.584538414547021e-19,2.329435211595759e-62,1.4421818999994978e-35,3.4736813912672825e-62,1.0067822187408394e-63,8.851949252666318e-47,5.149427993486498e-66,4.74953191782855e-62,1.1472057688201476e-31,8.205121934700816e-53,4.0482826476392947e-47,8.98081543937213e-70,1.8562625066496904e-61,2.2817782580656037e-60,1.5265625738074805e-75,3.8711842224024915e-55,3.821986749575026e-20,1.3890996543654647e-67,6.657535521605559e-66,6.965448759933873e-60,2.520851457824468e-34,4.713442885193952e-63,1.522697876982768e-62,3.637848391615812e-64,5.418539417327837e-62,2.839254722652565e-63,2.0171636780486288e-63,9.79441888189259e-64
1.6824775323934073e-19,0.1259071529433573,3.76,0.0,0.71906764856851,1.0,7.438058969895423e-41,1.9352701785090678e-16,3.571895670512684e-30,1.9879027129277463e-14,1.9879027129277526e-14,2.9743434514313396e-31,7.753173123890594e-20,1.0375292146785423e-29,1.804179882835175e-40,1.6305749115549352e-40,2.6448174739227165e-17,1.8266758434781794e-31,1.1334616997782727e-17,2.2634045672194443e-22,2.147174531132535e-27,1.5113784077777395e-17,2.171740226051989e-31,2.628384620227623e-31,2.5229767355171235e-41,6.553523632552876e-23,1.8976546650795728e-35,1.5327846613338605e-46,2.5132971902820884e-30,3.287303978330595e-44,6.853925739496494e-61,1.4832027502873304e-31,1.1754745547236933e-35,2.7375036581925813e-47,1.696984296582825e-51,4.6867853521795364e-60,2.640035544412784e-17,3.1558216273504834e-30,2.6400355444105513e-17,3.4689500957364245e-34,1.1351708144106776e-58,1.840910000614398e-33,1.4036713227171163e-18,1.5995554915472137e-45,7.808587733816325e-62,5.450082931953703e-32,2.6308423940868624e-44,1.1052152523717747e-45,9.384257586782155e-48,1.124726002802252e-59,3.7381065136285396e-54,1.8941284058292115e-40,9.44826992456078e-47,3.1318256353074894e-47,6.068702966976085e-49,5.7874429187950846e-65,5.121939456107224e-64,4.63709433780595e-70,7.271492212556451e-19,1.0756491939502574e-44,3.649089614948558e-62,6.74737815646962e-49,6.693055723774743e-53,4.648809454743987e-31,1.4036713226248122e-18,9.776883703616203e-46,1.9352701785087878e-16,2.5194513269114406e-32,8.901579466331052e-29,5.850650493977537e-45,1.2872298086545925e-43,4.563262802690158e-39,7.271492212068282e-19,3.8703914474987685e-61,5.891783633718845e-35,5.771573581535434e-61,1.672783732238203e-62,7.318962820787189e-46,8.555852329958754e-65,7.891418316486675e-61,4.686709889566112e-31,6.727054706988168e-52,3.347198376488465e-46,2.990986500091252e-68,3.084207917874123e-60,3.7912087025456403e-59,5.078998638313736e-74,6.358431705655075e-54,7.753173118248333e-20,2.308009922200265e-66,1.1061594946026549e-64,1.1544719296693307e-58,1.0298500735388062e-33,7.831455849088389e-62,2.5299852965598408e-61,6.044339506729994e-63,9.002984283298633e-61,4.717464186242863e-62,3.351547618675305e-62,1.6273573462496578e-62
3.388651931440243e-19,0.1259071529433578,3.76,0.0,0.7190676485684896,1.0,6.023533000316652e-40,3.897797683476504e-16,1.4438173405307306e-29,4.003804055614964e-14,4.003804055614988e-14,1.2022771766851433e-30,1.5615545871349027e-19,4.193858972333641e-29,1.4610716459516477e-39,1.3204818387546294e-39,5.3268858981848534e-17,7.383715819679476e-31,2.282887648645696e-17,4.558730642779539e-22,8.679222757844215e-27,3.0440438351786906e-17,8.778521225517483e-31,1.0624350881032868e-30,2.043171972992367e-40,1.3199350425981856e-22,7.670623561478704e-35,1.2412887583263394e-45,1.0159149082352241e-29,2.6621439905769697e-43,1.1110508971011165e-59,5.995342659927509e-31,4.751456092226425e-35,2.216901436898915e-46,1.37426188056656e-50,7.597481021630352e-59,5.3172546880412424e-17,1.275633559021359e-29,5.317254688032218e-17,1.4022050938242049e-33,1.8401608056426746e-57,7.441252553941376e-33,2.827112664070667e-18,1.3007318995111729e-44,1.2658057312994784e-60,2.2030106602841307e-31,2.130773586578618e-43,8.987426876263597e-45,7.63112242578083e-47,9.12251457380229e-59,3.027215573481931e-53,1.5339143265030786e-39,7.683176189765468e-46,2.5467485945702953e-46,4.914593003396274e-48,9.381694367284734e-64,8.302884571617078e-63,7.516929875603126e-69,1.4645399808175795e-18,8.717736533655049e-44,5.915331633574443e-61,5.486855869469975e-48,5.4202101146167746e-52,1.879123109652378e-30,2.8271126636975605e-18,7.950399456209384e-45,3.8977976834753716e-16,1.0184025088998992e-31,3.5981607438911855e-28,4.738008464757942e-44,1.042432072234206e-42,3.6954485242995927e-38,1.464539980620254e-18,6.309714908117443e-60,2.3815531461470454e-34,9.409121596922488e-60,2.7270597313630025e-61,5.951659013602088e-45,1.394820097426267e-63,1.2865003546222372e-59,1.8944430713346967e-30,5.447743332366449e-51,2.721886126521127e-45,9.763078085436817e-67,5.028037321069132e-59,6.1806270364585015e-58,1.6570307389231491e-72,1.0307291785063601e-52,1.5615545848542104e-19,3.762638915431009e-65,1.803319190684026e-63,1.879758164936007e-57,4.1628186533542e-33,1.2767249590882675e-60,4.124514568971737e-60,9.853798893610156e-62,1.4677136618652233e-59,7.690657249764153e-61,5.463868500045097e-61,2.6530031989260283e-61
6.8010007295339135e-19,0.12590715294335875,3.76,0.0,0.7190676485684487,1.0,4.848263397066947e-39,7.822852693412867e-16,5.805526031404338e-29,8.035606740989168e-14,8.035606740989264e-14,4.834303632944377e-30,3.134029137262392e-19,1.6863322474763237e-28,1.175997571119013e-38,1.0628386629395059e-38,1.0691022746716618e-16,2.9689596563319824e-30,4.581739545765757e-17,9.149511401294607e-22,3.4898772977862774e-26,6.109374689362368e-17,3.5298047757854734e-30,4.272004764507817e-30,1.6445225557787348e-39,2.6491004046439177e-22,3.0843239945073934e-34,9.990971815005384e-45,4.08494916251013e-29,2.1427250846093367e-42,1.789313215277561e-58,2.4107009147194017e-30,1.910539596877786e-34,1.7843551423524835e-45,1.106125519408208e-49,1.2235508963071866e-57,1.0671692975293907e-16,5.129266436419631e-29,1.0671692975257615e-16,5.6382050222038044e-33,2.9635222409271253e-56,2.992094920320195e-32,5.6739953467977594e-18,1.049087374718831e-43,2.0385411403627417e-59,8.858208971943627e-31,1.7151314998521734e-42,7.248685383856949e-44,6.154776702491296e-46,7.365439079921174e-58,2.436566458221533e-52,1.2346277536289929e-38,6.196759939231882e-45,2.054045003795935e-45,3.955692007434594e-47,1.5108929550779262e-62,1.3371539619311643e-61,1.2105784243092256e-67,2.9393214998772367e-18,7.019529184010156e-43,9.526459611518847e-60,4.425348050265291e-47,4.362656744961915e-51,7.555871376886928e-30,5.673995345297513e-18,6.412285187364019e-44,7.822852693408314e-16,4.094951697327629e-31,1.4468046095026545e-27,3.813561420123983e-43,8.390400204685806e-42,2.9744184628393517e-37,2.9393214990837983e-18,1.0190206470543713e-58,9.576120455198165e-34,1.5195756476738436e-58,4.4042089410599695e-60,4.800228604892848e-44,2.2526389230312414e-62,2.0777015088751003e-58,7.617472268624296e-30,4.3848178090044e-50,2.195299761077989e-44,3.155258131796259e-65,8.120293707483021e-58,9.981729172006702e-57,5.3538765182819025e-71,1.659957562114243e-51,3.1340291280918293e-19,6.07667264383911e-64,2.91236542046245e-62,3.0339371807953816e-56,1.6738510695607492e-32,2.0619142190618855e-59,6.6611020468686635e-59,1.5913911485941975e-60,2.3703614846869768e-58,1.242043200020345e-59,8.824162205064775e-60,4.284607255226636e-60
1.3625698325721256e-18,0.12590715294336063,3.76,0.0,0.7190676485683671,0.9999999999999999,3.8904260478107384e-38,1.5672962713291562e-15,2.3282756023239683e-28,1.609921211173666e-13,1.609921211173705e-13,1.9387719631426837e-29,6.278978240060582e-19,6.762946542613821e-28,9.436639890784163e-38,8.528610914242092e-38,2.1419296443810122e-16,1.1906856121559484e-29,9.179443337546748e-17,1.8331587347903947e-21,1.399596884560771e-25,1.2240036395256803e-16,1.4156095897430244e-29,1.7132649829264268e-29,1.3196257825515026e-38,5.307431142175129e-22,1.2369518692055085e-33,8.017125657962254e-44,1.638247316425039e-28,1.7194019358054255e-41,2.872243974911976e-57,9.667988877454143e-30,7.6621182920497544e-34,1.431832626767708e-44,8.87596067727092e-49,1.9640701626245348e-56,2.138056954978223e-16,2.0570652530502404e-28,2.1380569549636686e-16,2.2611723977357988e-32,4.7571094935796234e-55,1.1999638847150435e-31,1.1367760712331903e-17,8.426840213716287e-43,3.2723101040933176e-58,3.55253798992269e-30,1.3763248027721877e-41,5.822538337426383e-43,4.943851374146379e-45,5.946965536141219e-57,1.9551911377499782e-51,9.907111082271752e-38,4.977574577475294e-44,1.6499206507618208e-44,3.1741937125742332e-46,2.4253178032214775e-61,2.1464282375367343e-60,1.9432466061164788e-66,5.888884537739705e-18,5.633823887686072e-42,1.5292078670073081e-58,3.554680241285012e-46,3.5007574431334183e-50,3.0302423665875975e-29,1.1367760706315246e-17,5.15069618414899e-43,1.5672962713273304e-15,1.6422587818280397e-30,5.8023335806351995e-27,3.060142886416293e-42,6.732767742374624e-41,2.3867834840301478e-36,5.888884534557664e-18,1.6380459413035098e-57,3.8404526042308655e-33,2.442673461364999e-57,7.0796378555301255e-59,3.855804657887867e-43,3.62105365677394e-61,3.339844493087366e-57,3.054947079028007e-29,3.5185401971545534e-49,1.7633841422816733e-43,1.014683728697398e-63,1.305313498337771e-56,1.6045338112648562e-55,1.7215073844512468e-69,2.664599498662243e-50,6.278978203282527e-19,9.768076193737662e-63,4.6815427100587725e-61,4.875455539906037e-55,6.712891419389844e-32,3.3144668860731866e-58,1.0707526998087087e-57,2.558114777546196e-59,3.810286858571702e-57,1.99654816846058e-58,1.4184582969651232e-58,6.8873810338256705e-59
