Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655)
0.0,0.4985786146518806,3.76,0.0,0.6850248012396215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2248535220386268e-21,0.4985786146518806,3.76,0.0,0.6850248012396212,1.0,1.2684641195606622e-47,1.2530787553888651e-32,2.0776609377263686e-34,2.6219685143286296e-16,2.6219685143286296e-16,1.8885986849712897e-34,5.864606773303188e-33,5.863957678240879e-33,3.2709445709134763e-46,9.472482485635727e-50,3.473522891226918e-19,1.9746801217142047e-35,1.3704132341915728e-19,8.580785703517822e-24,6.805557021504082e-31,2.1031954648789062e-19,5.734143426318638e-34,1.0043572827690598e-34,9.338756821672985e-47,1.1605220382827251e-23,8.191371781868196e-52,2.5725294830285253e-54,1.498468722823109e-35,7.040359693282018e-50,9.685552734952064e-72,6.759968131271345e-36,2.788669725555348e-51,1.6726680200126058e-65,2.7653671578139015e-57,3.4952409409205213e-81,1.6490192747999226e-18,9.732838430931437e-35,1.6490192747999119e-18,2.56594832455545e-50,7.005031881105271e-66,7.08644231368049e-53,1.5856699293371104e-33,4.04112958641177e-68,1.4467867654642677e-67,2.839380314052192e-35,4.08435024757539e-69,7.36679962776404e-81,6.274635623008769e-84,2.2447961626323794e-64,4.7594106762429054e-60,5.488954354411179e-63,3.3757681524331895e-101,3.815311544832885e-105,5.5940173198478356e-67,4.09770594902375e-84,3.499698806090602e-85
3.429589861708155e-21,0.49857861465188064,3.76,0.0,0.6850248012396208,1.0,1.505920603152676e-46,7.568595682548685e-32,1.2549072064077271e-33,7.341511840120161e-16,7.341511840120161e-16,1.1407136057165522e-33,3.5422224911051675e-32,3.541830437657366e-32,3.883265710781895e-45,1.1245767522263801e-48,9.725864095435375e-19,1.1927067935153773e-34,3.837157055725715e-19,2.4026202176249857e-23,4.110556440980513e-30,5.888947301650031e-19,3.463422629496978e-33,6.066317987925954e-34,1.1086972098689089e-45,3.2494617072002695e-23,9.724796579419611e-51,3.0541070022671187e-53,9.050751085818997e-35,8.358315027846757e-49,2.1666194046043236e-70,4.0830207512783676e-35,3.31070869817393e-50,3.7426186712647484e-64,3.2830438897497558e-56,1.4426697166775765e-79,4.617253969439777e-18,5.878634412282576e-34,4.6172539694397105e-18,3.8776611080614774e-49,1.5669976116663535e-64,1.0709031624405188e-51,9.577446373196131e-33,1.1396632014398938e-66,3.2364041228726916e-66,1.7149857096868222e-34,1.2841850674411288e-67,4.243312684853261e-79,3.613868857505924e-82,2.665044111445117e-63,5.650372355106131e-59,1.2278572287744526e-61,3.5339943356917018e-99,4.3396415698512773e-103,1.251359298378779e-65,1.6909298334386818e-82,1.4445097120300212e-83
7.839062541047212e-21,0.49857861465188075,3.76,0.0,0.6850248012396198,1.0,1.4785217783812437e-45,3.643953020670725e-31,6.041838007223282e-33,1.6780598491703208e-15,1.678059849170321e-15,5.492044975804906e-33,1.7054276497216294e-31,1.7052388928322592e-31,3.812613440851066e-44,1.1041177154263973e-47,2.223054650385228e-18,5.742369793944863e-34,8.770644698751241e-19,5.491704394731376e-23,1.9790559818414568e-29,1.3460450975148644e-18,1.6674889083742405e-32,2.9206709782936726e-33,1.088525495133868e-44,7.427341045069916e-23,9.54786294890092e-50,2.9985403654665346e-52,4.35754704592073e-34,8.206243258434795e-48,4.280874836930239e-69,1.9657987325594214e-34,3.2504734320905713e-49,7.395603625482025e-63,3.2233119591264527e-55,5.707708046324207e-78,1.0553723358719453e-17,2.8303094157148435e-33,1.0553723358719135e-17,4.171410872241144e-48,3.096123218930403e-63,1.1520287540405006e-50,4.6111281545122924e-32,2.4790163967059374e-65,6.394589166056175e-65,8.256917953253241e-34,2.864946242551417e-66,1.902902835520314e-77,1.620610479254128e-80,2.6166028102012464e-62,5.547569085035814e-58,2.4260390645064994e-60,3.1747010899587483e-97,3.928661021679284e-101,2.4724751015112983e-64,6.689150264320836e-81,5.714987714133963e-82
1.6658007899725327e-20,0.4985786146518809,3.76,0.0,0.685024801239618,1.0,1.307735769406162e-44,1.5914100193437604e-30,2.638629391237989e-32,3.565877179486925e-15,3.565877179486926e-15,2.398520329818879e-32,7.44805060256069e-31,7.447226251363966e-31,3.3722134669845414e-43,9.765802478094542e-47,4.723991132068607e-18,2.507843754576991e-33,1.8637619984631265e-18,1.1669876279184088e-22,8.643057417186897e-29,2.8603458321971336e-18,7.282362151432737e-32,1.2755337491179942e-32,9.627884732864937e-44,1.5783099720947438e-22,8.444976652140835e-49,2.652174995924876e-51,1.9030552779348474e-33,7.258329229271105e-47,7.617588046152464e-68,8.585159526566988e-34,2.8750069402233235e-48,1.3160751417618018e-61,2.850982924974804e-54,2.0371470982028925e-76,2.2426662137278688e-17,1.2360704807282727e-32,2.2426662137277295e-17,3.834245262368847e-47,5.509385842712899e-62,1.058912902026939e-49,2.013800810258103e-31,4.595678604854807e-64,1.1378829759404583e-63,3.6060129988354e-33,5.365727242599151e-65,7.159243561696318e-76,6.097141662063837e-79,2.314438593627764e-61,4.9067620324486553e-57,4.317006967248251e-59,2.393983945565344e-95,2.977575442348765e-99,4.3996373392719066e-63,2.3873102158617744e-79,2.0397452959533573e-80
3.4295898617081556e-20,0.4985786146518812,3.76,0.0,0.6850248012396142,1.0,1.099230711350031e-43,6.643823561070879e-30,1.101575829475472e-31,7.341511840120111e-15,7.341511840120113e-15,1.0013350226865848e-31,3.1094145116244266e-30,3.1090703610015577e-30,2.8345486319202435e-42,8.208747926984658e-46,9.725864095435359e-18,1.0469754005328269e-32,3.83715705557072e-18,2.4026234169049247e-22,3.608306332690504e-28,5.888947301491862e-18,3.0402428446414024e-31,5.325102313253152e-32,8.092817241539885e-43,3.2494617073255384e-22,7.098511724047751e-48,2.229312889705439e-50,7.944881167953617e-33,6.1010630642346005e-46,1.2848175650249466e-66,3.584135103067211e-33,2.4166165653867166e-47,2.2198076093149693e-60,2.3964229330053223e-53,6.883233762811008e-75,4.6172539694396683e-17,5.160350936079668e-32,4.6172539694390865e-17,3.2802775466437628e-46,9.292384492010066e-61,9.0592228160999e-49,8.407221965345114e-31,7.898797320680828e-63,1.9192059553943667e-62,1.5054394425006762e-32,9.267959449612643e-64,2.479027716593887e-74,2.1112465787673358e-77,1.945564780853233e-60,4.124429144469543e-56,7.281263297045207e-58,1.6598845723849597e-93,2.0704213505107791e-97,7.4206314370944925e-62,8.066181660220328e-78,6.892012707944164e-79
6.9571680051794e-20,0.4985786146518819,3.76,0.0,0.6850248012396065,1.0,9.012157501375452e-43,2.714218707321748e-29,4.500296700033143e-31,1.4892781161386393e-14,1.489278116138641e-14,4.090780294873909e-31,1.270297285879381e-29,1.2701566889361987e-29,2.323934233343021e-41,6.730028507082457e-45,1.9729610022168836e-17,4.2772361308374546e-32,7.78394716951226e-18,4.873900643261846e-22,1.4741108729919228e-27,1.1946150239802066e-17,1.2420384027204689e-30,2.175478048778912e-31,6.634980522026308e-42,6.591765178008292e-22,5.819788785238045e-47,1.8277253965546625e-49,3.2457431919989496e-32,5.002020110580388e-45,2.110316708729988e-65,1.4642361369934126e-32,1.981288266070802e-46,3.6460847565269057e-59,1.964732306181069e-52,2.263084893303963e-73,9.366429480863073e-17,2.108171735493319e-31,9.366429480860695e-17,2.7121969098353006e-45,1.52627694298039e-59,7.490340612186878e-48,3.434624493741144e-30,1.3091677288288527e-61,3.1523015447453115e-61,6.150211335366667e-32,1.539885324008565e-62,8.2478967565962e-73,7.02425035076722e-76,1.5953206260431227e-59,3.381456202780835e-55,1.1959496877422447e-56,1.1051803206116304e-91,1.3805637759163428e-95,1.2188409417860138e-60,2.6519840521935025e-76,2.265971254434787e-77
1.4012324292121892e-19,0.49857861465188325,3.76,0.0,0.6850248012395913,1.0,7.298278804503804e-42,1.0971305981225927e-28,1.8190918807447093e-30,2.9995319803918596e-14,2.999531980391865e-14,1.6535588008359122e-30,5.134744734070716e-29,5.134176417256197e-29,1.881982197685e-40,5.450151983162428e-44,3.9737101875635696e-17,1.7289272312063134e-31,1.5677527396300753e-17,9.816477689511255e-22,5.958591838291058e-27,2.4060556115305478e-17,5.020517808676989e-30,8.793630102219603e-31,5.373179250205419e-41,1.3276372120258459e-21,4.713015846255867e-46,1.4801394133740945e-48,1.311981293013784e-31,4.050765571379803e-44,3.420914324931301e-64,5.918676576473078e-32,1.6044986061401198e-45,5.910495997532151e-58,1.5910911605539226e-51,7.340307100486351e-72,1.8864780503709113e-16,8.521567222523892e-31,1.8864780503699503e-16,2.2055134839250489e-44,2.4741606957888063e-58,6.091020588821252e-47,1.388330135291074e-29,2.1316402666981574e-60,5.110016645912369e-60,2.48601375513954e-31,2.5104017252839646e-61,2.6908832138483632e-71,2.291665388321419e-74,1.2923030303442864e-58,2.738390907446517e-54,1.9386859846161927e-55,7.213534351101871e-90,9.017715742760421e-94,1.9757936899502854e-59,8.601646704130163e-75,7.349669001914541e-76
2.812263686600687e-19,0.498578614651886,3.76,0.0,0.6850248012395609,1.0,5.874289724042685e-41,4.411513881491708e-28,7.314488454251985e-30,6.020039708898158e-14,6.02003970889818e-14,6.648887209576251e-30,2.064658275335835e-28,2.0644297564454795e-28,1.5147830028258182e-39,4.3867566477145795e-43,7.975208558256902e-17,6.951940355697164e-31,3.1464687845499405e-17,1.9701722156152305e-21,2.3959235710217728e-26,4.828936786184432e-17,2.0187281298501904e-29,3.535879988345288e-30,4.324802116566009e-40,2.6645586008297404e-21,3.7934451757864634e-45,1.1913449695258651e-47,5.275419074880149e-31,3.260408540008073e-43,5.509277060547235e-63,2.3798738197360925e-31,1.2914400662987134e-44,9.518700072016013e-57,1.2806485876288983e-50,2.3647850163342233e-70,3.786148254939812e-16,3.426484700962108e-30,3.786148254935948e-16,1.7788265247942555e-43,3.984559524765859e-57,4.912628766322717e-46,5.582414413027054e-29,3.440475984205641e-59,8.229524275157573e-59,9.996151970279888e-31,4.0543054924791543e-60,8.694251840673246e-70,7.404374324895137e-73,1.0407551773921021e-57,2.2040952437988006e-53,3.122194014908316e-54,4.662110100979429e-88,5.830344860333568e-92,3.181954826995874e-58,2.771135064140927e-73,2.367801087072823e-74
5.634326201377683e-19,0.4985786146518917,3.76,0.0,0.6850248012395,0.9999999999999999,4.713747563744823e-40,1.769214376256972e-27,2.9334370253404816e-29,1.2061055165910183e-13,1.2061055165910276e-13,2.6665011478422695e-29,8.28020313465545e-28,8.2792866620822e-28,1.215517962610827e-38,3.520096037555853e-42,1.5978205299643404e-16,2.788039015765488e-30,6.303900872638332e-17,3.9472572586003134e-21,9.608725120270326e-26,9.674699133705007e-17,8.096002699089055e-29,1.4180460214507016e-29,3.4703813319734735e-39,5.338401379852979e-21,3.044000850106871e-44,9.559793104389819e-47,2.1156789968734425e-30,2.6162725192309115e-42,8.843609806716483e-62,9.544358438687779e-31,1.0362993209145953e-43,1.5279644506716033e-55,1.0276398388404373e-49,7.592840458549808e-69,7.585488664076382e-16,1.3741736183593224e-29,7.585488664060885e-16,1.428850201122845e-42,6.396100478686038e-56,3.946090583819618e-45,2.2387978592103477e-28,5.528752543354723e-58,1.32102090261756e-57,4.0089040286826196e-30,6.517177670297372e-59,2.795583999748007e-68,2.380831134900682e-71,8.36099030818448e-57,1.7686476350898325e-52,5.011812858006639e-53,2.9983786632246205e-86,3.7504207584093563e-90,5.107742192920626e-57,8.897533529292098e-72,7.6025244451826e-73
