Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159)
0.0,0.0656954505477796,3.76,0.0,0.7370813790879502,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.790580913421985e-16,0.0656954505477796,3.76,0.0,0.7370813790879499,1.0,4.504757372115811e-37,1.1840255107327248e-21,2.713177770173689e-29,3.1424203309114405e-16,3.142420330911441e-16,1.4943631848174075e-36,1.5328450503961073e-34,3.5463217073915104e-35,3.5202725148879166e-42,1.6863056813225216e-39,1.5965181483382436e-18,2.9706977531642505e-31,9.798266922197522e-19,2.706607009768102e-26,1.8686384896847217e-26,6.166914348514185e-19,8.097822358473776e-36,5.139739290821729e-33,1.6023215167581921e-43,3.0623234651288537e-30,1.0569686387104724e-47,3.847681536146383e-48,1.0946435131726178e-26,3.650351737246766e-44,3.8871150739251295e-58,1.4952157914800207e-29,1.3736450812636922e-46,3.4221288093647354e-54,5.486170784497446e-54,4.3174774406175963e-63,4.232050776805961e-21,1.2174474875919601e-29,4.232050786869842e-21,1.0499871566673572e-38,3.86977514573257e-60,5.713892652314588e-39,7.276115832261648e-25,1.721964689114272e-52,9.267020941866954e-69,1.0026788355587194e-34,4.7496952631379385e-45,3.909402294144531e-52,6.661500856741584e-53,1.5848387410833762e-65,7.503598506740774e-57,1.958528584430033e-39,4.164157757302201e-52,2.3327653548948214e-52,5.562994061611602e-57,2.9127799235277954e-76,1.792112170312876e-67,6.11912737782471e-81,2.3285150868207455e-25,3.2571953893429505e-46,1.3004167780871016e-63,3.770296566327942e-53,1.818433512854595e-57,7.620164287550979e-36,7.276113502715322e-25,7.704246877591584e-52,1.1840255104224538e-21,3.2908396834133043e-37,2.0685722072130708e-31,7.228560544405559e-44,3.088148656402638e-42,4.696897572085597e-38,2.3285142556572064e-25,7.961655437966177e-68,6.134668111695627e-42,2.907341864128628e-69,2.1747025819055836e-69,1.0271961483885377e-52,2.75449936302705e-71,2.3759014581734699e-63,1.821181369254872e-30
7.813626557581558e-16,0.06569545054777962,3.76,0.0,0.7370813790879494,1.0,5.348047810622775e-36,3.3152714310569052e-21,1.638759326311251e-28,8.798776926552027e-16,8.798776926552034e-16,9.025907989254881e-36,9.280486525170945e-34,2.1419782035704077e-34,4.17926728395819e-41,2.0019811601230096e-38,4.4702508756086485e-18,1.7943014630944155e-30,2.7435146652452344e-18,7.606634908315511e-26,1.1286576274854587e-25,1.7267359944975846e-18,4.891084626259918e-35,3.104403027139896e-32,1.9022760195240364e-42,8.574848275707836e-30,1.2548348806196935e-46,4.567967918601789e-47,6.61164665370435e-26,4.33369749617918e-43,8.69532124320491e-57,9.031103184197202e-29,1.6307949051442782e-45,7.655180789830044e-53,6.513181856307834e-53,1.781622678203409e-61,1.1849742135526829e-20,7.353382804584653e-29,1.1849742196312667e-20,6.341923633356613e-38,8.656515763263354e-59,3.4511906752294233e-38,2.0373125175887087e-24,2.6021820936463985e-51,2.0729954538280523e-67,6.056180130875025e-34,5.63884055656414e-44,6.304883363080702e-51,1.0066974703020698e-51,2.906552138569248e-64,8.908240605239242e-56,2.3252702788994672e-38,6.292875201839274e-51,3.5252750036128256e-51,1.2444220427144243e-55,1.2019691691365484e-74,7.395205117434314e-66,2.5250800354049673e-79,6.519842242083378e-25,3.8669875943609583e-45,2.9089802546049253e-62,5.698643719669593e-52,2.1588835589462996e-56,4.602579229084237e-35,2.0373111105430724e-24,1.1643251747153463e-50,3.3152714291828674e-21,1.987667168783967e-36,1.2494169681330334e-30,8.582509491653843e-43,3.666240490787832e-41,5.576143537063543e-37,6.519837221857337e-25,2.503272343796557e-66,3.705338372085477e-41,9.141135439414151e-68,6.837941108123636e-68,1.5522986843678988e-51,8.681467202280164e-70,7.47021419675674e-62,1.0999935454168357e-29
1.7859717845900706e-15,0.06569545054777963,3.76,0.0,0.7370813790879482,1.0,5.250744754123555e-35,7.577763275726369e-21,7.88992025256027e-28,2.0111490117833184e-15,2.0111490117833208e-15,4.345539671574186e-35,4.4906670358285156e-33,1.0312701909683702e-33,4.103228881621905e-40,1.965554973448147e-37,1.021771657119571e-17,8.63878936894972e-30,6.270890319415942e-18,1.7519231817762398e-25,5.434000423741487e-25,3.946825021444369e-18,2.354846624420481e-34,1.4946369289955517e-31,1.8676656959021984e-41,1.960126901460187e-29,1.2320049615524277e-45,4.484858834945179e-46,3.1832230875185936e-25,4.25484971746628e-42,1.7180490818515888e-55,4.34808722711073e-28,1.6011255206611824e-44,1.5125361227315282e-51,6.3946803593579834e-52,7.047928806754889e-60,2.7085124694849136e-20,3.5403372632112455e-28,2.7085124987506767e-20,3.053364427224768e-37,1.7103745282511052e-57,1.6615992531403494e-37,4.656714724535582e-24,2.7992910825215376e-50,4.095889371226974e-66,2.9157899999544134e-33,5.536247869323641e-43,7.883865842805163e-50,1.0829910013484009e-50,5.02468594480367e-63,8.746096638182849e-55,2.2831868611071923e-37,6.769587979460905e-50,3.7923299797196563e-50,2.4587705314926048e-54,4.754875023030332e-73,2.9254631378970685e-64,9.988974951198225e-78,1.4902496548549801e-24,3.796651061838136e-44,5.747654511432782e-61,6.132501830518761e-51,2.1196879056827513e-55,2.2159437739249597e-34,4.656707950220039e-24,1.252692637350062e-49,7.577763266703685e-21,9.569761799400193e-36,6.0153983032281576e-30,8.42797363865848e-42,3.5995163323532903e-40,5.4746627025925765e-36,1.4902472378340147e-24,5.5846651158371275e-65,1.7839597358140356e-40,2.039330304307286e-66,1.5257792832870153e-66,1.6698917692327665e-50,1.9466558155204157e-68,1.666563630552481e-60,5.29599539759656e-29
3.7951900422539e-15,0.06569545054777966,3.76,0.0,0.737081379087946,1.0,4.644223738845888e-34,1.6102746981149712e-20,3.445735041579013e-27,4.273691650039544e-15,4.2736916500395534e-15,1.8977704939370885e-34,1.9809719603474126e-32,4.5038268991297165e-33,3.6292585523040833e-39,1.7385075549525566e-36,2.1712648926554716e-17,3.7727864593582424e-29,1.3325640460236531e-17,3.779458999400656e-25,2.3731705674958828e-24,8.387002705955786e-18,1.0284233181714034e-33,6.527476579315254e-31,1.6519288364515386e-40,4.1659601558113265e-29,1.0896944867693495e-44,3.966808352856859e-45,1.3901970046489576e-24,3.7633660653480186e-41,3.057177021212083e-54,1.8989237508493785e-27,1.416177767269516e-43,2.691478004070132e-50,5.656021987169524e-51,2.5153564864877686e-58,5.7555889181016e-20,1.5461582775120755e-27,5.755589045912874e-20,1.3334855074616066e-36,3.0434946627158957e-56,7.25663612353205e-37,9.895520491316443e-24,2.5730241446597755e-49,7.288415149659599e-65,1.2734020655138093e-32,4.896748411632789e-42,9.326501688317785e-49,9.955153693064974e-50,8.30609311350242e-62,7.735704577338034e-54,2.0198491030030195e-36,6.222417646066672e-49,3.485804609197807e-49,4.375252088179269e-53,1.6969816515130009e-71,1.0440707169588847e-62,3.564995279903302e-76,3.1667805145247305e-24,3.358102508470855e-43,1.0227643153595906e-59,5.640805888874428e-50,1.874987997887094e-54,9.67760863594265e-34,9.89549090613158e-24,1.151751466915874e-48,1.6102746941745275e-20,4.1793663979700344e-35,2.627076705317012e-29,7.457320006258102e-41,3.183695282138043e-39,4.842227196030423e-35,3.166769958774723e-24,1.0459468062375853e-63,7.79101040751409e-40,3.819414734536223e-65,2.858625474017458e-65,1.5349176412657681e-49,3.682995419661848e-67,3.1212890003679627e-59,2.3129003139505267e-28
7.813626557581558e-15,0.06569545054777971,3.76,0.0,0.7370813790879415,1.0,3.903748990674413e-33,3.3152714456334047e-20,1.4385261998588055e-26,8.798776926551963e-15,8.79877692655201e-15,7.922476874484807e-34,8.435473103952444e-32,1.880258266927828e-32,3.050608934822389e-38,1.4613143642409723e-35,4.4702517494011215e-17,1.575064230283319e-28,2.743513607179606e-17,8.014596303943428e-25,9.90751844267544e-24,1.7267356597450242e-17,4.2934643221973286e-33,2.7250966839397282e-30,1.3885451833197973e-39,8.579828366619723e-29,9.159535610813327e-44,3.334343966749464e-44,5.8037975931192525e-24,3.1633353908153458e-40,5.156377495882457e-53,7.927631387455355e-27,1.1903825883742902e-42,4.539570521490185e-49,4.754226653219496e-50,8.4988200567196e-57,1.1849741562343893e-19,6.454906293645151e-27,1.1849742095930786e-19,5.567048201111026e-36,5.133212792707818e-55,3.0294990938482386e-36,2.037313743642639e-23,2.2012734128479288e-48,1.2292973580791737e-63,5.316202685318712e-32,4.1160113105860844e-41,1.1554632335012341e-47,8.517876036838546e-49,1.347772216301095e-60,6.502125874296601e-53,1.6984713404398584e-35,5.3234092931446016e-48,2.9821792266851644e-48,7.37950135508545e-52,5.733716913655816e-70,3.527633872517104e-61,1.2045311887921064e-74,6.519842227370104e-24,2.8226902171103305e-42,1.7250411864269722e-58,4.832641789926321e-49,1.5762894487981095e-53,4.040211096937087e-33,2.037301392436157e-23,9.85882478957021e-48,3.31527142918283e-20,1.7448032001772256e-34,1.0967479862329422e-28,6.273159421595088e-40,2.6760269031529844e-38,4.0700996702002725e-34,6.519798159321739e-24,1.8066158924957077e-62,3.252584747951977e-39,6.597002008187389e-64,4.9410415142189494e-64,1.3131533446386735e-48,6.489795565237873e-66,5.391249717497059e-58,9.655903394760893e-28
1.5850499588236874e-14,0.06569545054777982,3.76,0.0,0.7370813790879324,1.0,3.200527805645354e-32,6.725264966405334e-20,5.876846041063566e-26,1.7848947479576695e-14,1.7848947479576875e-14,3.23631137694016e-33,3.5812551614229787e-31,7.681461951351402e-32,2.5010709604356173e-37,1.198063983949869e-34,9.06822700558699e-17,6.434652545100881e-28,5.565410861460168e-17,1.7205133001035796e-24,4.047543318441582e-23,3.5028058470327606e-17,1.7540197893202147e-32,1.1132939414153018e-29,1.1384123482691912e-38,1.7416413803092458e-28,7.509534012383036e-43,2.7337007822733083e-43,2.371039676321895e-23,2.593492577154758e-39,8.469370787527023e-52,3.238694893982206e-26,9.7594700749659e-42,7.456254019874371e-48,3.89780121887832e-49,2.7942244751415238e-55,2.403804583886422e-19,2.6370397142432835e-26,2.403804801874067e-19,2.2743279495693476e-35,8.431035559237943e-54,1.237646254862358e-35,4.132839297283739e-23,1.8200536647521798e-47,2.019123331519878e-62,2.17184204095072e-31,3.374553257789433e-40,1.547233880407264e-46,7.044453668820334e-48,2.1700433295990294e-59,5.330507788376656e-52,1.3936022993576942e-34,4.401497735862965e-47,2.4657234455805183e-47,1.2120846535602726e-50,1.885119672562471e-68,1.1597787813995532e-59,3.960232723936206e-73,1.3225965627084436e-23,2.314212555527575e-41,2.8333842714783536e-57,4.006990481332869e-48,1.2927457608273141e-52,1.650558058294343e-32,4.132788838786105e-23,8.160320414759172e-47,6.725264899199366e-20,7.128090388126636e-34,4.4805339608498075e-28,5.151039642490203e-39,2.1938688107159077e-37,3.3367757801186186e-33,1.322578559579029e-23,3.0017289419493346e-61,1.328779863871546e-38,1.0960728018647055e-62,8.221159669097335e-63,1.0857389038886273e-47,1.1209416011415229e-64,8.95763931046535e-57,3.9447515025367496e-27
3.1924245649547505e-14,0.06569545054778005,3.76,0.0,0.7370813790879142,0.9999999999999999,2.591868012944066e-31,1.3545252110889439e-19,2.375512816316979e-25,3.594928858562571e-14,3.594928858562644e-14,1.3079433521144002e-32,1.5568151075608101e-30,3.104964415278796e-31,2.0254279711401926e-36,9.7020736981585e-34,1.8264183688730392e-16,2.6009904372844905e-27,1.1209197897906443e-16,3.84672500339113e-24,1.636080721665989e-22,7.054943857565191e-17,7.090024562851286e-32,4.5001365937714683e-29,9.219144009186135e-38,3.5125318385266777e-28,6.081403928883789e-42,2.2138284842827202e-42,9.58411327277695e-23,2.1002760771005574e-38,1.3729232092365375e-50,1.3091312882396317e-25,7.903461672241334e-41,1.2086893550530817e-46,3.1565388164733096e-48,9.062988126115585e-54,4.841465034404855e-19,1.0659335139823007e-25,4.841465915545678e-19,9.19325469186495e-35,1.3666158200040301e-52,5.002739992365494e-35,8.323899063040946e-23,1.4800357141643354e-46,3.273081811030371e-61,8.778931003225097e-31,2.7327982167826942e-39,2.221014471879103e-45,5.73121290869463e-47,3.481708110412985e-58,4.316252496567547e-51,1.1303451825144305e-33,3.57922484049139e-46,2.005085342041494e-46,1.9648390022039874e-49,6.114332960898724e-67,3.761519099309133e-58,1.2844902945960255e-71,2.6638212322608194e-23,1.8741087418957147e-40,4.593034575293217e-56,3.2767459792694317e-47,1.0475605682423435e-51,6.671819543674891e-32,8.323695103431262e-23,6.650239323475992e-46,1.3545251839232171e-19,2.8812881033518065e-33,1.8110715931076848e-27,4.184279031793572e-38,1.7764903402441436e-36,2.7019843113436594e-32,2.663748461592229e-23,4.89360712708258e-60,5.371082981146377e-38,1.786780922887822e-61,1.3440201415262583e-61,8.829021203664142e-47,1.9664894889065077e-63,1.4603203972262488e-55,1.5945315487669574e-26
6.407173777216877e-14,0.06569545054778048,3.76,0.0,0.7370813790878777,0.9999999999999997,2.0861570275657593e-30,2.718522681161859e-19,9.551813929041798e-25,7.214997079772195e-14,7.214997079772489e-14,5.257370497558031e-32,7.138184170694829e-30,1.2484882557582383e-30,1.6302339793607953e-35,7.808816926034209e-33,3.665612173805103e-16,1.0458476172960409e-26,2.2496742082423856e-16,9.251562094796739e-24,6.578600563925038e-22,1.4159210422470463e-16,2.850864582045146e-31,1.8095048195998345e-28,7.420346061123007e-37,7.068876355862724e-28,4.894824344944844e-41,1.7818925722069644e-41,3.853723203692275e-22,1.6904825681888912e-37,2.2110560035353022e-49,5.2639515301363515e-25,6.361376610489808e-40,1.946551790046163e-45,2.5406543669342607e-47,2.919754392108635e-52,9.716784316299722e-19,4.286070964798158e-25,9.71678785932747e-19,3.6966135073482e-34,2.2005983880486013e-51,2.011560405446233e-34,1.6706053228443887e-22,1.1937001355460102e-45,5.271184084661447e-60,3.529968118636847e-30,2.1995896913269695e-38,3.344526183845259e-44,4.626915701897922e-46,5.575914738329493e-57,3.473241164822167e-50,9.126486202413394e-33,2.8867744677774774e-45,1.6171739446461127e-45,3.1643044891843647e-48,1.9698088106979345e-65,1.2116973877666981e-56,4.1381453174828636e-70,5.346270529804208e-23,1.5084442161532884e-39,7.39692954806898e-55,2.672378746113025e-46,8.442327934002699e-51,2.6827092710763348e-31,1.670523312953806e-22,5.3868921405769296e-45,2.718522571929671e-19,1.1585532740816553e-32,7.281982921894877e-27,3.388525510052122e-37,1.4296140516165942e-35,2.1744327654742664e-31,5.345977929053859e-23,7.903289850930602e-59,2.159642457105948e-37,2.8853511606098107e-60,2.1827516087591566e-60,7.120881501544596e-46,3.6250889703430403e-62,2.358418469063487e-54,6.411540586531912e-26
1.283667220174113e-13,0.06569545054778135,3.76,0.0,0.737081379087805,0.9999999999999993,1.6740034756899496e-29,5.44651778601205e-19,3.830689660769658e-24,1.4455133522190735e-13,1.4455133522191909e-13,2.1069885663644377e-31,3.567203245619176e-29,5.006961980480826e-30,1.308149411414603e-34,6.265672905869769e-32,7.344009656840483e-16,4.1943231451707877e-26,4.507171089863208e-16,2.4670860852138874e-23,2.638306596045286e-21,2.8367705727743285e-16,1.1433217096396445e-30,7.257081544032613e-28,5.954323348960115e-36,1.4241980689667619e-27,3.927758315632547e-40,1.4298739169395415e-40,1.5455100802409365e-21,1.356502045030171e-36,3.5492522172244126e-48,2.11107374153179e-24,5.104576749695501e-39,3.124630049317231e-44,2.0387108142600635e-46,9.374667552519285e-51,1.9467416403525776e-18,1.7189055036200684e-24,1.946743061264571e-18,1.4825444312943867e-33,3.5315034364913825e-50,8.0671017769829e-34,3.3470500094711854e-22,9.588413728757671e-45,8.461375246966504e-59,1.4156739529791687e-29,1.7650256704839882e-37,5.181752049028809e-43,3.723795334052191e-45,8.918140139013134e-56,2.7856871503994385e-49,7.369122863791057e-32,2.3188141899927796e-44,1.2990020212180115e-44,5.079383125875637e-47,6.324610629023867e-64,3.8896965520982074e-55,1.3286643874916798e-68,1.0711168958650334e-22,1.2104287696731703e-38,1.1873674654008735e-53,2.1940953435985785e-45,6.791526551735711e-50,1.0758863857916784e-30,3.346721124129621e-22,4.3643694593856087e-44,5.446517347942149e-19,4.6463168054007763e-32,2.9201952854555006e-26,2.7522071659859083e-36,1.1467582826475436e-34,1.7442689901679418e-30,1.0709995554173191e-22,1.2704633142409612e-57,8.660760132744506e-37,4.637138053544494e-59,3.547784815069581e-59,5.719808663360461e-45,7.271374810197422e-61,3.79107957171079e-53,2.571314024208686e-25
