Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747)
0.0,0.8858221807596209,3.76,0.0,0.66004610033791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.068745594711076e-19,0.8858221807596209,3.76,0.0,0.6600461003379098,1.0,5.857519143653361e-40,9.834298708461142e-50,5.2707552626741544e-33,2.903069840028068e-16,1.2188567809566242e-16,4.20274736522866e-31,1.9189280876596473e-28,1.6842130590606216e-16,1.070971074211238e-20,3.5712991297960986e-30,1.3783985025211605e-21,9.616316885772141e-31,7.498801396383095e-35,6.895140970577524e-44,6.975575823969796e-37,3.1996483192387776e-43,7.196475437122443e-43,1.742963837671248e-30,6.918536234510114e-60,4.968660905754265e-59,1.2056192954321944e-69,2.2838385361484957e-88,1.0709710294068664e-20,4.396822587072497e-31,5.450252083506576e-48,3.0544771910279966e-49,8.345570586020761e-47,1.7407926370220792e-41,7.483535557728594e-43,1.273774738514889e-75,1.355365614687864e-72,2.123230287511725e-86,5.102074131692774e-90,4.1450377007038245e-64,2.6012892669919557e-46,-4.847503298913801e-91,1.616797519795689e-92,2.91371394487916e-77,5.952232959967902e-48,-2.9503603298319715e-101,1.308646484693164e-91,1.2219605929297154e-77,3.617956877932431e-43,2.5477409324625753e-58,5.2148950072803244e-90,3.363826981802496e-103,1.55106390367018e-85
1.4192487665191012e-18,0.8858221807596212,3.76,0.0,0.6600461003379091,0.9999999999999997,6.954108838370953e-39,1.1675279436857576e-48,3.1835361785598056e-32,8.1285955520929815e-16,3.412798986678112e-16,2.5384594084543312e-30,1.1590325649434452e-27,4.715796565349512e-16,2.998719152788259e-20,2.157064674450577e-29,3.8595164203008005e-21,5.8082553985108085e-30,4.529276047755089e-34,8.186827832742058e-43,4.2132481820096535e-36,3.7986224842948737e-42,8.543673325508124e-42,1.052750157952035e-29,1.5482676230076406e-58,1.35474050712063e-57,5.5382920010320145e-68,1.911176731099273e-86,2.998718882169854e-20,2.6556808423491645e-30,6.470539272274934e-47,3.6262753221549926e-48,9.907861383123689e-46,2.066669016713597e-40,8.8844535916221e-42,7.749471662420388e-74,6.682033478136006e-71,1.9175756955605952e-84,4.724712574366606e-88,9.272303542682322e-63,3.088250616393714e-45,5.701313682345634e-89,1.8451880685089543e-90,1.772554417152788e-75,7.066531328086225e-47,5.7018237147445495e-98,1.1743934319951197e-89,7.434120747948495e-76,4.2952384050785696e-42,5.699804098814217e-57,5.951556665275293e-88,6.94384636596703e-101,1.1968703953195018e-83
3.2439971806150885e-18,0.8858221807596212,3.76,0.0,0.6600461003379081,0.9999999999999992,6.827612511471157e-38,1.1462858604912701e-47,1.5327356302425699e-31,1.8579646976280395e-15,7.800683398119354e-16,1.2221589335928274e-29,5.5802428788695255e-27,1.077896357784638e-15,6.854215889929475e-20,1.0385337870253075e-28,8.821754708826287e-21,2.7964249496391426e-29,2.1806514524429384e-33,8.038277706330217e-42,2.0284980151253154e-35,3.7295100799579046e-41,8.388236883439885e-41,5.068538839927e-29,3.0596762161007157e-57,2.8918358304393854e-56,2.2965560550452508e-66,1.587869021354987e-84,6.854214587018341e-20,1.278596007956737e-29,6.3528138246166e-46,3.5602986166605283e-47,9.727597023605245e-45,2.0290678916399774e-39,8.722809596297213e-41,3.4984886299236084e-72,3.407080605836881e-69,1.945518293762665e-82,4.7233346548415896e-86,1.8320533668932884e-61,3.032062765330485e-44,5.667549414256669e-87,1.6705771691819748e-88,8.00215829463025e-74,6.938047847976526e-46,1.3968991132281811e-95,1.196014098437691e-87,3.356109668882847e-74,4.2170905356135354e-41,1.1262440101849535e-55,5.388358442962268e-86,1.2582020956185387e-98,1.3044079029937277e-81
6.893494008807063e-18,0.8858221807596213,3.76,0.0,0.660046100337906,0.9999999999999983,6.038956755023919e-37,1.0138768659193952e-46,6.693859182117741e-31,3.948174982488556e-15,1.6576452220994895e-15,5.33748915161185e-29,2.4370386712815293e-26,2.290529760251647e-15,1.4565211684160598e-19,4.53554989567394e-28,1.8746241097742084e-20,1.2212722437248624e-28,9.52347783864965e-33,7.109925091006158e-41,8.858987088841848e-35,3.2987094292140427e-40,7.419303605468005e-40,2.2135640738207923e-28,5.444987275850932e-56,5.321633175302674e-55,8.369659427650178e-65,1.1602850161979205e-82,1.4565205994005377e-19,5.58396468182127e-29,5.618991879782708e-45,3.1490438105406847e-46,8.603949343296746e-44,1.7946875643110604e-38,7.715226974034225e-40,1.3209633284811313e-70,1.3495715883524023e-67,1.5433878431959642e-80,3.7259359839723577e-84,3.260044895244061e-60,2.681825173719799e-43,4.444586365996722e-85,1.266179687832417e-86,3.0214629832651783e-72,6.136776823067099e-45,2.3984084071672927e-93,9.501577057881355e-86,1.2672016386024776e-72,3.729968820082267e-40,2.004138733401439e-54,4.083995739274265e-84,1.909312421865599e-96,1.0670866536840321e-79
1.4192487665191012e-17,0.8858221807596217,3.76,0.0,0.6600461003379018,0.9999999999999966,5.0761113125237284e-36,8.522246024991223e-46,2.7945544389392466e-30,8.128595552301727e-15,3.412798986671821e-15,2.228296651038544e-28,1.0174156720355438e-25,4.715796565056203e-15,2.998721255241761e-19,1.8935027993674987e-27,3.859525312303299e-20,5.098571205922493e-28,3.9758645588114934e-32,5.9763836800717025e-40,3.6984554930630773e-34,2.7727640354717016e-39,6.236372943668277e-39,9.241194267137692e-28,9.184136905510737e-55,9.118759673667311e-54,2.8562400088926594e-63,7.930096510666329e-81,2.9987188797139673e-19,2.331195332281101e-28,4.723101236603253e-44,2.6469610722368437e-45,7.232137744651364e-43,1.5085430234231423e-37,6.485114274053916e-39,4.583036356470035e-69,4.781547888146373e-66,1.0946526700224253e-78,2.6362719320688506e-82,5.498551388014039e-59,2.2542356418578732e-42,3.1404030527976478e-83,8.804329187287238e-85,1.04828605784606e-70,5.15858651585758e-44,3.5321832275268465e-91,6.74310559152612e-84,4.3965088082735314e-71,3.135263537998731e-39,3.380311056850258e-53,2.8397899246081034e-82,2.656858974965105e-94,7.679900118749923e-78
2.8790474977958914e-17,0.8858221807596226,3.76,0.0,0.6600461003378935,0.999999999999993,4.161704444971859e-35,6.987052282565384e-45,1.1416666717897064e-29,1.6489436692296607e-14,6.923106515805379e-15,9.103318885998378e-28,4.156474994642076e-25,9.566330174147471e-15,6.083125140811068e-19,7.735576773450221e-27,7.829343416345198e-20,2.0829326968719806e-27,1.6242704270376863e-31,4.8998255834753435e-39,1.5109420119070853e-33,2.2732794764514474e-38,5.112955804581631e-38,3.775329390784098e-27,1.508527047035092e-53,1.5093275964795352e-52,9.436604602278739e-62,5.243676365347321e-79,6.083115436004919e-19,9.523693567845002e-28,3.872283738384034e-43,2.170138618437728e-44,5.929343297858928e-42,1.2367946925681557e-36,5.316890341002867e-38,1.526342602815927e-67,1.608223760339223e-64,7.367142850920292e-77,1.7722607953085015e-80,9.031414447526636e-58,1.8481585600393142e-41,2.11044130627388e-81,5.870788300875793e-83,3.4912315010849896e-69,4.229740429150978e-43,4.842202824987173e-89,4.539462368449932e-82,1.464220634510256e-69,2.570478468564261e-38,5.552201548751546e-52,1.893591823214746e-80,3.54432535240378e-92,5.205686334240567e-76
5.798644960349471e-17,0.885822180759624,3.76,0.0,0.6600461003378767,0.999999999999986,3.3702568390479057e-34,5.658296250099146e-44,4.614799219456915e-29,3.321111897376054e-14,1.3943721574028071e-14,3.6797070361625675e-27,1.6801136490044928e-24,1.9267397390258635e-14,1.22519477596213e-18,3.126843815715376e-26,1.5769042420363837e-19,8.419546968551562e-27,6.565560970700937e-31,3.968015833470293e-38,6.107487504094751e-33,1.840960653638157e-37,4.140604356790449e-37,1.5260485020093842e-26,2.445411221461689e-52,2.4559957947395243e-51,3.0681400452248413e-60,3.4109873574707673e-77,1.2251908531243188e-18,3.8496291988930104e-27,3.1358757457951395e-42,1.7574345320466054e-43,4.80173565171135e-41,1.0015883751250328e-35,4.305758636216917e-37,4.98223669483569e-66,5.274669930134012e-63,4.833800800853498e-75,1.162206270681885e-78,1.4640398217180893e-56,1.496686695445323e-40,1.383850610429941e-79,3.8347553685432197e-81,1.1395969265002259e-67,3.426032979547665e-42,6.411913859511446e-87,2.978878054984839e-80,4.779459517733191e-68,2.081640100657434e-37,9.000382342205058e-51,1.2368801755018937e-78,4.630976255937001e-90,3.427657589094296e-74
1.163783988545663e-16,0.8858221807596273,3.76,0.0,0.6600461003378433,0.999999999999972,2.712676181085885e-33,4.5542893404740004e-43,1.8555904657289884e-28,6.66544835425851e-14,2.798495169029576e-14,1.4795940095880807e-26,6.755663087379206e-24,3.866953181419547e-14,2.4589652387928228e-18,1.257290148075773e-25,3.164869161214026e-19,3.385462785846557e-26,2.639983355687817e-30,3.193808363930448e-37,2.4558085907823498e-32,1.4817652857264115e-36,3.3327186723575745e-36,6.136173907971994e-26,3.938278299457236e-51,3.962777649749632e-50,9.896307512855715e-59,2.2008270281027948e-75,2.458949465234519e-18,1.5479189599487747e-26,2.524025580977639e-41,1.4145362275845386e-42,3.86485414412189e-40,8.061654074220984e-35,3.465653953607736e-36,1.610172834494671e-64,1.7087029959522895e-61,3.13217689212401e-73,7.52879991242636e-77,2.357818588392673e-55,1.204663623913367e-39,8.964425012000033e-78,2.4793390710700567e-79,3.6829856274292433e-66,2.758663274076263e-41,8.34691000177564e-85,1.9303633603170492e-78,1.5446386921836517e-66,1.675485039787623e-36,1.4494857784531375e-49,7.996978334169425e-77,5.988709067160852e-88,2.2249217710967305e-72
2.331622973567095e-16,0.8858221807596336,3.76,0.0,0.6600461003377764,0.9999999999999439,2.1767519048495807e-32,3.654530790255012e-42,7.441747670291792e-28,1.3354121270382106e-13,5.6067411922120364e-14,5.93383369721663e-26,2.7093230515051056e-23,7.74738006289272e-14,4.92652992072877e-18,5.042295847674039e-25,6.340899473064791e-19,1.357721979851081e-25,1.0587515347223559e-29,2.5628316787415916e-36,9.849008960396703e-32,1.1890233101909514e-35,2.674296852835516e-35,2.460880183736409e-25,6.321823299863981e-50,6.367123123944899e-49,3.179402263260854e-57,1.4142534149082991e-73,4.926466661705105e-18,6.207847275734639e-26,2.0253715161688184e-40,1.1350762749185162e-41,3.1013013285544647e-39,6.4689688371682196e-34,2.7809767589957223e-35,5.178074512914554e-63,5.50136265735006e-60,2.0170109695439685e-71,4.847644318108953e-75,3.7849094450451384e-54,9.666666311339778e-39,5.772045278189004e-76,1.5948575529264077e-77,1.1843963793258748e-64,2.2154090748403023e-40,1.0774323502427899e-82,1.2431265546660764e-76,4.9673267751634e-65,1.3444712071019647e-35,2.3267472459810394e-48,5.144130236279952e-75,7.704811121882721e-86,1.4340204514538846e-70
