Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520),CO3(1196),C2HO2(133),CO3(268),CH3O2(53),C2HO3(631),CO3(131),C2O2(813),C2HO3(230)
0.0,0.9412149272706613,3.76,0.0,0.8753585750140164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9971382827146076e-19,0.9412149272706613,3.76,0.0,0.875358575014016,1.0,3.5265532425582883e-40,8.5894159875724e-50,6.350177299896933e-33,3.4028854776866785e-16,1.2652343090907604e-16,2.5620436993947736e-31,1.4731065935896994e-28,2.1376511685851437e-16,1.5820792912569435e-20,2.6154316690003242e-30,1.5537016373288793e-21,7.328144870009351e-31,9.290102767151348e-35,6.100126080804458e-44,7.518848381912234e-37,1.5556031305223651e-43,3.515876195180857e-43,1.5821897441447077e-30,5.27924504785403e-60,4.070669835678361e-59,6.173134387159998e-70,1.3034555467863345e-88,1.58207924455957e-20,3.628574922188727e-31,2.6274518228064148e-48,2.4534826742727214e-49,3.8076260598990666e-47,8.043764157084506e-42,3.5299519491881794e-43,5.835703300865159e-76,6.509086478109874e-73,7.868887196083587e-87,2.065809249629647e-90,2.5784118672764725e-64,1.133571950629875e-46,-3.3422573588558353e-91,1.0472701255359699e-92,6.870162220529534e-75,2.6636707077326945e-48,-1.5835000419546525e-92,7.767644614198822e-92,6.436018245968347e-78,1.7018112005448068e-43,1.9518388483961814e-58,3.2450264873927982e-90,1.1667964965886177e-103,2.624913047134126e-86,1.1348843494595669e-60,1.0496162644588502e-117,-1.1133753454414324e-96,4.7663537661936795e-111,-1.1920509445754149e-95,3.1267618620125623e-104,1.6087623120154304e-47,6.877088232550827e-70,2.2384941056870202e-66,-3.3459307347866853e-97,3.267618474192495e-114,4.0582527844056045e-77,9.03615180009104e-75,3.2423154432586736e-103,3.3734610589661724e-74,1.8400612214311057e-63,3.4644165404513964e-105,3.319129262796461e-64,2.4992618020391176e-103,6.510518811490132e-96
8.391987191600901e-19,0.9412149272706615,3.76,0.0,0.8753585750140154,0.9999999999999997,4.18676954933883e-39,1.0197354669320369e-48,3.8355070890656916e-32,9.52807933753775e-16,3.5426560654537727e-16,1.547474394378895e-30,8.89756382526517e-28,5.985423272018899e-16,4.4298221666721456e-20,1.5797207281026535e-29,4.350365055675418e-21,4.426199501248674e-30,5.6112220749002266e-34,7.242950402802586e-43,4.541384682824712e-36,1.8468120364729534e-42,4.174061223743409e-42,9.55642605462497e-30,1.1814373226178503e-58,1.1017870276228202e-57,2.8445497414915484e-68,1.0942780810729106e-86,4.42982188462001e-20,2.1916592528870893e-30,3.1193108035372565e-47,2.912774631498989e-48,4.520413653882481e-46,9.549556801980724e-41,4.190759002244283e-42,3.550472919822762e-74,3.1941777957329185e-71,7.070519803028938e-85,1.8979552706998047e-88,5.767821930153477e-63,1.345776619419155e-45,4.223069809186298e-89,1.1955560361781383e-90,4.179454941325224e-73,3.162325323310239e-47,1.999023436333669e-90,6.938889375707749e-90,3.9156299854585325e-76,2.020390257183787e-42,4.3666926724560015e-57,3.70449887972038e-88,2.4092795148607295e-101,2.0255005028469644e-84,2.538690896671781e-59,1.6739773027582322e-115,1.4056851268530522e-94,5.078977776975728e-109,1.504928272998183e-93,6.456347519870783e-102,1.909922615210991e-46,2.162505300744484e-68,5.007445157660331e-65,4.22403217868906e-95,3.482066362740192e-112,2.4690616119269787e-75,3.728793373182226e-73,3.455101050326586e-101,1.3920681566022926e-72,5.785445118271722e-62,3.6917781232875907e-103,7.424759392788725e-63,2.6634413582410886e-101,5.023808092022008e-94
1.918168500937349e-18,0.9412149272706615,3.76,0.0,0.8753585750140142,0.9999999999999992,4.1106151259924315e-38,1.0011823301600187e-47,1.8466315587019454e-31,2.1778467057300094e-15,8.097499578178376e-16,7.450423077006785e-30,4.283793974133923e-27,1.3680967478808396e-15,1.0125308522113366e-19,7.605675293849812e-29,9.943693776986717e-21,2.1310245278432239e-29,2.7015618898893288e-33,7.11155758177639e-42,2.1864814922520968e-35,1.8132110086789188e-41,4.098123759698602e-41,4.6010077759592077e-29,2.3347664371276075e-57,2.345997710964319e-56,1.1809463561988812e-66,9.098440569342758e-85,1.0125307164153744e-19,1.0551895872001217e-29,3.0625578431177298e-46,2.8597794068954995e-47,4.438168921686289e-45,9.375811485036641e-40,4.114512141294755e-41,1.6028578047878984e-72,1.6331714076492373e-69,7.19500798885367e-83,1.906164324247111e-86,1.1396262941943685e-61,1.3212914645114143e-44,4.185285908464025e-87,1.0824276479693013e-88,1.886805741316264e-71,3.104822500112102e-46,1.9812110749820277e-88,7.0856149706956e-88,1.7676984816795798e-74,1.983631134995333e-41,8.628337937036139e-56,3.3539640913141735e-86,4.365571858525265e-99,2.2074895282554864e-82,5.016025415784594e-58,7.672433824810297e-113,1.393313529161591e-92,1.1558549761941017e-106,1.491593316811183e-91,1.1698788758311996e-99,1.8751733458826172e-45,4.825554493539584e-67,9.89396891688734e-64,4.186497482605396e-93,7.924401349397844e-110,1.1146546728073373e-73,1.4750735854668123e-71,7.863022599033706e-99,5.5068831911575e-71,1.2907008672210157e-60,8.40164567075547e-101,1.4670073368572637e-61,6.061371509262201e-99,5.47519220214641e-92
4.076108064491866e-18,0.9412149272706619,3.76,0.0,0.8753585750140117,0.9999999999999983,3.6358004527877013e-37,8.855344361338128e-47,8.064725169752249e-31,4.627924249706559e-15,1.7207186603621885e-15,3.2537954973703716e-29,1.8708453738331626e-26,2.9072055892075334e-15,2.1516283651439077e-19,3.3215982200405088e-28,2.1130358758082198e-20,9.306743981238248e-29,1.1798430567522276e-32,6.290245413568479e-41,9.548941365860767e-35,1.60376460290161e-40,3.624746318311165e-40,2.0093809750497202e-28,4.1549553129783515e-56,4.312718086479022e-55,4.306069344018155e-65,6.650271768832992e-83,2.151627772087263e-19,4.6082901493985957e-29,2.7087977279950858e-45,2.5294425014667197e-46,3.925510133876179e-44,8.292799060819565e-39,3.6392395751091463e-40,6.0520901516361506e-71,6.475570604271408e-68,5.714285171901827e-81,1.5063249287991056e-84,2.0279062307672812e-60,1.168667335821555e-43,3.278742255318929e-85,8.20405551820497e-87,7.1242194611491e-70,2.7462385915194792e-45,1.552095539386084e-86,5.634762923393524e-86,6.674484205176134e-73,1.754499274521047e-40,1.5354063228642972e-54,2.5420736189164553e-84,6.624738088391989e-97,1.805863495599972e-80,8.925749257808484e-57,2.6278702678174028e-110,1.091777871566305e-90,1.9533420730149668e-104,1.1686447338731473e-89,1.7752869691582957e-97,1.6585695826900222e-44,9.041958250935904e-66,1.7606150544025556e-62,3.2798989601223137e-91,1.3391941052042933e-107,4.208719436873497e-72,5.264432886012283e-70,1.3288172761719566e-96,1.9653674890537967e-69,2.4173397926049878e-59,1.419842274353873e-98,2.610461169527438e-60,1.0243445869647997e-96,4.479047832429791e-90
8.391987191600902e-18,0.9412149272706622,3.76,0.0,0.8753585750140068,0.9999999999999966,3.056112496125724e-36,7.443450562923264e-46,3.3668640034001814e-30,9.528079337755983e-15,3.5426560654486128e-15,1.358395568644217e-28,7.810411158980786e-26,5.985423271736101e-15,4.429824358386356e-19,1.38670187127306e-27,4.350371887416468e-20,3.8853824067726226e-28,4.925612534840699e-32,5.287391054666519e-40,3.986496925973744e-34,1.3480607822777195e-39,3.046818584255546e-39,8.388770023328698e-28,7.00823349611216e-55,7.386455354416777e-54,1.4698428801891462e-63,4.545769875845148e-81,4.4298218824916075e-19,1.923870422141471e-28,2.27690770452675e-44,2.1261488362383734e-45,3.299627769172338e-43,6.970597255586147e-38,3.059000448848279e-39,2.0997518582313375e-69,2.2952691468499093e-66,4.0548202949475356e-79,1.0666049825561651e-82,3.4203639915269655e-59,9.823353109106728e-43,2.3155446667978167e-83,5.704662433453637e-85,2.471722677461542e-68,2.30847700390001e-44,1.096142467932835e-84,4.0006065391092875e-84,2.3156872470881664e-71,1.474762355943101e-39,2.5897189320155383e-53,1.767622357051167e-82,9.2185104341024e-95,1.2996930704496354e-78,1.5054580858473135e-55,7.753900849373685e-108,7.713979820437529e-89,2.860121928128733e-102,8.255053908804452e-88,2.4703631072777642e-95,1.3941276603357628e-43,1.563235273154897e-64,2.969656620278762e-61,2.316610008674331e-89,1.9608879386662455e-105,1.460195633652883e-70,1.7787329095880349e-68,1.9456819916247836e-94,6.640532499651279e-68,4.175353256823448e-58,2.0789626844720825e-96,4.402924300217702e-59,1.4998658334901125e-94,3.2236042002507114e-88
1.7023745445818973e-17,0.9412149272706634,3.76,0.0,0.875358575013997,0.9999999999999929,2.5055869171934536e-35,6.102590572217723e-45,1.3754738030158285e-29,1.932838951424012e-14,7.18653087561235e-15,5.549489128076307e-28,3.1908078057827735e-25,1.2141858636293953e-14,8.986220214380482e-19,5.665129615446408e-27,8.825055972189572e-20,1.5873054886241123e-27,2.012273460069035e-31,4.33494681995805e-39,1.6286156038598145e-33,1.1052216748481122e-38,2.497966311901803e-38,3.427086273300056e-27,1.151128145427191e-53,1.2223196510864578e-52,4.856707712254027e-62,3.006010859382878e-79,8.986210099542567e-19,7.859638410885612e-28,1.8667464959578845e-43,1.7431452780376993e-44,2.7052341542321665e-42,5.714916720677401e-37,2.5079538857112165e-38,6.993051393182987e-68,7.721402755021002e-65,2.7295486383128946e-77,7.172892714565122e-81,5.6179677026348824e-58,8.053778342521071e-42,1.5557525438079533e-81,3.8039106783173e-83,8.231868455614725e-67,1.8927896224192425e-43,7.36471391581285e-83,2.6937437784111125e-82,7.712203242704396e-70,1.2090992794708954e-38,4.253646492934314e-52,1.178663541923318e-80,1.2297766556741195e-92,8.809742795846962e-77,2.4727194661137275e-54,2.128827796141516e-105,5.18750489580215e-87,3.9109745162720593e-100,5.548639216497313e-86,3.2955405817790598e-93,1.1429900688134174e-42,2.6021971803412334e-63,4.878070694446852e-60,1.5567885660256239e-87,2.681381652538575e-103,4.863027880124075e-69,5.8480847649300794e-67,2.660556037320805e-92,2.183261764873118e-66,6.937411759287148e-57,2.8428061189993615e-94,7.231816334273021e-58,2.0509394742099805e-92,2.185065174771842e-86
3.4287261954255116e-17,0.9412149272706654,3.76,0.0,0.8753585750139774,0.9999999999999856,2.0290897459550435e-34,4.94203620564847e-44,5.559885027569611e-29,3.892900986874957e-14,1.447428049590338e-14,2.2431922315209513e-27,1.2897755316428345e-24,2.4454729363412524e-14,1.8099027404405644e-18,2.289935969500417e-26,1.7774472387962194e-19,6.416142561619554e-27,8.133931228648193e-31,3.510561973128923e-38,6.583137060072587e-33,8.950371656978004e-38,2.0229180234161734e-37,1.385283066018271e-26,1.866047326711707e-52,1.9887504362427038e-51,1.5791596661694466e-60,1.955452603310039e-77,1.809898651861357e-18,3.1769915048083605e-27,1.5117397027040916e-42,1.4116442492951246e-43,2.190768681445133e-41,4.6280876402201674e-36,2.031006890760537e-37,2.2826486074469396e-66,2.5327118322133504e-63,1.7911294991764667e-75,4.7046130070618256e-79,9.106996688501187e-57,6.522158448009628e-41,1.0200148301071061e-79,2.484686862914546e-81,2.687018938225209e-65,1.5330903981763627e-42,4.828620367135176e-81,1.7678524142356363e-80,2.517391283084486e-68,9.791599423927476e-38,6.895364547869742e-51,7.698944920413553e-79,1.6068144574824512e-90,5.800730198015871e-75,4.008384939356012e-53,5.642228063437349e-103,3.407273303707944e-85,5.172639293173798e-98,3.640900906867875e-84,4.305929408542566e-91,9.256229645730074e-42,4.25807942112459e-62,7.908862181064993e-59,1.0211097532015815e-85,3.546470860621653e-101,1.5873512453434994e-67,1.8968123535667257e-65,3.518840314887531e-90,7.081356973233302e-65,1.1309731794809366e-55,3.759883444412998e-92,1.1723085755908935e-56,2.712563667109256e-90,1.4387467169175728e-84
6.881429497112739e-17,0.9412149272706695,3.76,0.0,0.8753585750139382,0.999999999999971,1.6331881534139105e-33,3.977780910979065e-43,2.23560531345969e-28,7.813025058393315e-14,2.9049779736339665e-14,9.019777281693688e-27,5.186130685686825e-24,4.9080470809661137e-14,3.632470369660356e-18,9.207731828832179e-26,3.567349820441298e-19,2.5799026953884504e-26,3.2706181079764576e-30,2.825609542201594e-37,2.6470604268435846e-32,7.204037751715985e-37,1.628220467917805e-36,5.570162281136289e-26,3.005226823456828e-51,3.2086938717594735e-50,5.09373434659275e-59,1.2617092088921572e-75,3.632453929663191e-18,1.2774543066008673e-26,1.2167796176057105e-41,1.1362141166692144e-42,1.7633211073309395e-40,3.7250874234495794e-35,1.6347323448499023e-36,7.377126098881404e-65,8.204971604047793e-62,1.160666249713327e-73,3.0479147147031287e-77,1.4666628990831496e-55,5.249600434002875e-40,6.607144110377089e-78,1.606460264512944e-79,8.683980703393164e-64,1.234383535507973e-41,3.1277489677633466e-79,1.1456519098359886e-78,8.135773357688606e-67,7.88113103184565e-37,1.1104788249731192e-49,4.977709583243782e-77,2.0779125289509708e-88,3.765303480350187e-73,6.4553807857176724e-52,1.4695865002270543e-100,2.2150020800072498e-83,6.729749606460226e-96,2.362257304131925e-82,5.568393891199168e-89,7.450218455272155e-41,6.927977301295936e-61,1.2741163944834063e-57,6.619607828220601e-84,4.614281375639348e-99,5.129901855808981e-66,6.110834164236508e-64,4.5781077453235665e-88,2.2813533293569488e-63,1.8265246232518653e-54,4.891711289556044e-90,1.8879667685277084e-55,3.529119607329948e-88,9.339049811235753e-83
1.3786836100487194e-16,0.9412149272706777,3.76,0.0,0.8753585750138598,0.9999999999999418,1.3105307178475712e-32,3.191919030650943e-42,8.965777182921905e-28,1.5653273203895898e-13,5.820077821662914e-14,3.6173340916531405e-26,2.079870359794952e-23,9.833195367020423e-14,7.27763039295897e-18,3.692712297666288e-25,7.147232177693557e-19,1.0346563622644725e-25,1.3116642517639878e-29,2.2673752486623672e-36,1.0615976195840277e-31,5.780786565102448e-36,1.3065443998964975e-35,2.233884206043567e-25,4.824066407628597e-50,5.155369963360985e-49,1.6364950335001416e-57,8.10781180284094e-74,7.277564461217392e-18,5.1231630882466726e-26,9.763889913393537e-41,9.117402957317484e-42,1.4149539458610119e-39,2.9891478285256685e-34,1.3117718501563716e-35,2.372373219768382e-63,2.6417437665032266e-60,7.474474567902519e-72,1.9625731038800446e-75,2.354348037823243e-54,4.2124735796465464e-39,4.2540816753610793e-76,1.0333703913492006e-77,2.7926379273003313e-62,9.911875030711143e-41,2.013847402647393e-77,7.378006679912501e-77,2.616342880881455e-65,6.324111261505273e-36,1.7825657452094003e-48,3.201957896211533e-75,2.6733615977186005e-86,2.4268369284950125e-71,1.0362317136598006e-50,3.7947199791080226e-98,1.4363780470142982e-81,8.684396657984516e-94,1.5259398150920296e-80,7.1641292932520065e-87,5.978330410028218e-40,1.13010224555213e-59,2.0465826286920504e-56,4.269018985041397e-82,5.955067395082074e-97,1.6496074522440162e-64,1.962061015961149e-62,5.907805167104509e-86,7.324946151682286e-62,2.9360847281853498e-53,6.312493446009071e-88,3.030604617464261e-54,4.554141812004942e-86,6.019291200810998e-81
