Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520),CO3(1196),C2HO2(133),CO3(268),CH3O2(53),C2HO3(631),CO3(131),C2O2(813),C2HO3(230),C2HO2(812),S(1029),CH2O3(220),CH3OH(25),S(758),S(1428)
0.0,0.5991833454659614,3.76,0.0,0.7121820518609672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5991833454659614,3.76,0.0,0.7121820518609671,0.9999999999999999,6.16336984034001e-36,8.810631774641274e-51,2.824037982379355e-35,1.887565845304803e-16,1.8565939797815944e-16,3.0307329543788168e-27,2.0932539843078203e-27,3.097186548452107e-18,7.78847957121178e-24,6.284909359417352e-28,1.659220435019985e-24,5.142326907773703e-29,1.2822878339433701e-35,1.2116934956391978e-42,1.3992616041601089e-36,1.2173032633156493e-39,3.2372937396678586e-39,2.1724981445276797e-28,2.716476946942961e-59,2.919051982465719e-58,8.157493733919938e-66,5.4219697950169765e-87,7.785638573954537e-24,8.966575689893797e-31,1.5885475017476024e-44,4.1645370843286407e-48,5.4910736868650015e-43,9.108729597892344e-38,3.7584934671754225e-39,6.858459363491855e-73,9.388027321389746e-69,4.2388225204764395e-82,1.5043776643551249e-86,2.3299095318560142e-62,4.4018556556612914e-42,-2.3962227976024544e-89,1.6452645779427838e-91,2.057144226778765e-66,5.913550322660784e-44,-8.685290109945293e-91,2.072657725567843e-89,1.2167598891100408e-75,9.226905211924127e-39,2.2499295293058792e-57,1.2538269724570304e-88,2.2613331648472785e-98,5.741694994732321e-76,1.1774227331307997e-55,2.9543390318830088e-105,1.5943638689395898e-93,2.789930887493249e-105,1.9547533393623865e-92,7.370238752265156e-102,1.6508686762907244e-44,4.448155561257371e-69,9.020982449881871e-64,4.573804074261862e-95,7.963071761005304e-107,7.807187456854327e-70,3.1841942568706604e-68,1.9274267378651309e-90,1.0756981468522295e-67,3.377629929179121e-60,3.696618470877442e-93,5.657000203957212e-61,8.973801365669654e-97,4.868433935867389e-92,1.927771428829493e-96,1.9587923645294328e-97,1.189790289242053e-79,3.273969848869959e-39,1.0637286112322929e-88,1.2811145200306208e-80
2.8e-15,0.5991833454659614,3.76,0.0,0.7121820518609666,0.9999999999999994,7.317153166514228e-35,1.0459980627500026e-49,1.7057188264912594e-34,5.285184366832286e-16,5.198463143399436e-16,1.830562682251962e-26,1.264325403645753e-26,8.67212231991743e-18,2.181694404919475e-23,3.796085261980823e-27,4.6507296367996944e-24,3.1059653627609553e-28,7.745032116052792e-35,1.438535960071022e-41,8.45483895298937e-36,1.445182102218061e-38,3.843314274231227e-38,1.3121888792660624e-27,6.081260087514993e-58,9.001081156769998e-57,3.408320810826313e-64,4.139152687030931e-85,2.179978442578792e-23,5.415810376123556e-30,1.8859418406215994e-43,4.944144440540927e-47,6.518975083089204e-42,1.0813862027205165e-36,4.462275375861456e-38,4.172334573008376e-71,5.2536306027993604e-67,4.333193947296685e-80,1.5919680792287844e-84,5.2624481836583304e-61,5.225880650761363e-41,1.3674257125332077e-87,1.8718928102437173e-89,1.2514605137909282e-64,7.026555283011881e-43,4.960475296774971e-89,2.108509127588014e-87,7.402128489932369e-74,1.0954181288694786e-37,5.033047192982963e-56,1.426538343268512e-86,4.653637819915533e-96,4.189022719519456e-74,2.6338319189887324e-54,4.711137303804374e-103,4.430711057019246e-91,2.994230291866765e-103,5.006283407115334e-90,1.5167545883004983e-99,1.959903940540497e-43,2.6321243452666025e-67,2.019601738665739e-62,1.8210721865032343e-92,8.766438586653192e-105,4.741111729876709e-68,1.3139739529764082e-66,2.0538194841887438e-88,4.438870037658979e-66,1.0619786952789595e-58,3.9390229932612186e-91,1.2654438258174133e-59,9.562280086115087e-95,5.041622840539518e-90,2.0541895527936176e-94,2.5919554371092362e-95,9.180721068636454e-78,3.886856902024798e-38,1.1334838037261292e-86,9.885455692028148e-79
6.4e-15,0.5991833454659612,3.76,0.0,0.712182051860966,0.9999999999999988,7.184024558784993e-34,1.0269668005463956e-48,8.212300729771302e-34,1.2080421409802603e-15,1.188220147067901e-15,8.813371098440962e-26,6.087182543224388e-26,1.982199379985419e-17,4.991067800415994e-23,1.8276516550576798e-26,1.0653397715062942e-23,1.4953885304773836e-27,3.728913000113702e-34,1.4123690048278557e-40,4.073906754407733e-35,1.4188876545511472e-37,3.773386930320966e-37,6.317624603856361e-27,1.2019568999540263e-56,1.9969644140575602e-55,1.356339558052027e-62,3.442580818490606e-83,4.9828061804322947e-23,2.6074781997633085e-29,1.8516675317713556e-42,4.854202570633252e-46,6.400309936466161e-41,1.0617067790179408e-35,4.38149497086804e-37,1.8835898903148177e-69,2.4866105175669457e-65,4.093608813673038e-78,1.4750555043117805e-82,1.0600603056287242e-59,5.13079556296031e-40,1.4408448272586388e-85,1.69462308337897e-87,5.649684014059541e-63,6.911398031444504e-42,5.239322542242375e-87,1.9974329297958264e-85,3.341659470729285e-72,1.0754878920412857e-36,9.944495878275537e-55,1.291448116390241e-84,8.431236832804145e-94,3.9894282598187456e-72,5.203940412373719e-53,2.159259480343318e-100,7.988140335548868e-89,6.962622138926283e-101,9.080052735297367e-88,2.7480642503427785e-97,1.9242297382029468e-42,1.1700495434537156e-65,3.997501805661299e-61,3.2131921253346525e-90,2.1905937434599637e-102,2.1319597487572626e-66,5.19800078692244e-65,4.6739950491274545e-86,1.7559479368694552e-64,2.36920519409862e-57,8.964236711536597e-89,2.500284331166538e-58,2.1761495218977247e-92,1.1018756487016356e-87,4.674851122051889e-92,4.925508986779463e-93,1.0005034521072862e-75,3.816138937921259e-37,2.579532979210083e-84,1.0773175982747729e-76
1.36e-14,0.5991833454659614,3.76,0.0,0.7121820518609646,0.9999999999999974,6.354188396098547e-33,9.083399710364635e-48,3.586526457201452e-33,2.5670895495404626e-15,2.524967812541371e-15,3.849030508072056e-25,2.658432515489996e-25,4.2121736507752205e-17,1.062453659084245e-22,7.981835024297524e-26,2.273733256823565e-23,6.530753785065107e-27,1.6285259982937785e-33,1.2492266833351065e-39,1.7820340468455855e-34,1.254988811093256e-36,3.337514777054005e-36,2.7590726431055447e-26,2.139127327896487e-55,3.73203959124861e-54,4.853897693839426e-61,2.5237082470096574e-81,1.058845592609252e-22,1.1387530347316043e-28,1.6378477138884506e-41,4.293508760350629e-45,5.660897670064973e-40,9.390594266156057e-35,3.876105883915554e-36,7.112066597647507e-68,9.574594096898615e-64,3.156454956944385e-76,1.1280405642696995e-80,1.9583499247978183e-58,4.5381215892958534e-39,1.1746170579031552e-83,1.2843672340414955e-85,2.133207911032901e-61,6.135617439230799e-41,4.290433304847635e-85,1.5419431821803294e-83,1.2617355799825794e-70,9.512566428602318e-36,1.7695732144228654e-53,9.78804170943571e-83,1.2793280420089718e-91,3.084191804614288e-70,9.259892171346028e-52,7.395493092964107e-98,1.208183625625298e-86,1.2278122580764234e-98,1.3786509142855537e-85,4.1700690931844136e-95,1.7019317103684077e-41,4.384006472299203e-64,7.138756533396382e-60,4.791163638888453e-88,4.3759248971391987e-100,7.986994671489687e-65,1.855163937647672e-63,7.898785188021348e-84,6.266675083262425e-63,4.437218327967424e-56,1.5148966262437794e-86,4.4490529388352963e-57,3.6775906515423064e-90,1.825669538709843e-85,7.900279040642875e-90,7.624869436828032e-91,8.18438453729429e-74,3.375331287750677e-36,4.3592589436125964e-82,8.812973963217396e-75
2.8e-14,0.5991833454659614,3.76,0.0,0.712182051860962,0.9999999999999948,5.341078152991283e-32,7.635135788585406e-47,1.4973033358800894e-32,5.285184366525428e-15,5.198463143558534e-15,1.6068943028215413e-24,1.1098432223571262e-24,8.67212209156462e-17,2.195036216809881e-22,3.3322590664167888e-25,4.7219597043813275e-23,2.726460477471808e-26,6.798873299158562e-33,1.0500511457214621e-38,7.463442738765055e-34,1.0548916100092067e-35,2.8053768348725495e-35,1.1518585158283692e-25,3.608137678079548e-54,6.439939837793809e-53,1.6421815613857699e-59,1.7283799637325837e-79,2.1799732497273145e-22,4.754059729845127e-28,1.3768253432628802e-40,3.608988996456845e-44,4.758150659669449e-39,7.893222430740047e-34,3.2593171398570777e-35,2.467499055198962e-66,3.3510644762289264e-62,2.2112734968265306e-74,7.873520145144045e-79,3.545919065160162e-57,3.814549528464606e-38,8.742914735656486e-82,8.930578552758215e-84,7.401052602077906e-60,5.1953142826526735e-40,3.2199364554545582e-83,1.0807827356920386e-81,4.377467391810446e-69,7.995881588694762e-35,2.9846459694788603e-52,6.805995945715878e-81,1.7799861108036735e-89,2.162383864354729e-68,1.5617345808299527e-50,2.182046431074263e-95,1.6780873273455733e-84,1.947881270235257e-96,1.9188638449271484e-83,5.802690659347193e-93,1.4305295515856447e-40,1.5152058108345508e-62,1.2126325903609704e-58,6.602825681912327e-86,8.384454062997627e-98,2.7284177697849086e-63,6.268409226608568e-62,1.1565386181489296e-81,2.1172473142160664e-61,7.664050241034855e-55,2.2180844983112016e-84,7.503743739081664e-56,5.384785688387228e-88,2.6476893672462097e-83,1.1567711534784066e-87,1.0698930524488876e-88,5.890000059128445e-72,2.8371686762187615e-35,6.382804565551836e-80,6.342706559661428e-73
5.68e-14,0.5991833454659614,3.76,0.0,0.7121820518609565,0.9999999999999895,4.378938418189542e-31,6.259730882167273e-46,6.116965664571796e-32,1.0721373999953597e-14,1.0545453805873752e-14,6.564686187306959e-24,4.534071520462905e-24,1.7592018569982627e-16,4.483756529758336e-22,1.361336611919328e-24,9.744170493307593e-23,1.1138475200186105e-25,2.777641505403568e-32,8.608956063027442e-38,3.0685041925434306e-33,8.648604246311357e-35,2.300008508751973e-34,4.705717877584074e-25,5.926316388172099e-53,1.0695126639737818e-51,5.402632501789421e-58,1.1441360693117158e-77,4.422219395945354e-22,1.9421803273211657e-27,1.1289942373235825e-39,2.958926521773097e-43,3.9007325507470864e-38,6.471114543293025e-33,2.6741801130338695e-34,8.217753882345704e-65,1.1206877821896673e-60,1.479632601656749e-72,5.2591059246862855e-77,6.621965783359188e-56,3.12737339045539e-37,6.4144841759137625e-80,5.954777386320351e-82,2.464835131897879e-58,4.321677389039899e-39,2.3964690778943916e-81,7.233797472861087e-80,1.4578264780015816e-67,6.555500799296474e-34,4.902289858322271e-51,4.53825209283454e-79,2.3739689194286316e-87,1.44732798914309e-66,2.5648857627291305e-49,5.990233756309987e-93,2.2363929980420486e-82,3.0740610814150375e-94,2.5600484173563224e-81,7.740887665554906e-91,1.1727581421331784e-39,5.0366524119633487e-61,2.0199284140715007e-57,8.76378822583959e-84,1.6872313844888293e-95,8.8153555534076e-62,2.061066287865272e-60,1.5814208015211783e-79,6.960253246737483e-60,1.2733465683408163e-53,3.0328846939005055e-82,1.232415186502778e-54,7.36319213785199e-86,3.603416333245432e-81,1.5817765202074438e-85,1.432661459492166e-86,3.991988850093892e-70,2.326081229164707e-34,8.727642330679737e-78,4.2992675191191694e-71
1.144e-13,0.5991833454659614,3.76,0.0,0.7121820518609456,0.9999999999999788,3.5461776092389806e-30,5.0692685003974856e-45,2.472569647648569e-31,2.1593753264642887e-14,2.123943513162776e-14,2.653550020596419e-23,1.8327440600161135e-23,3.5431809914175666e-16,9.15541793713046e-22,5.502740683792008e-24,2.0291623535346015e-22,4.502345340554152e-25,1.1228317146605998e-31,6.971755128147691e-37,1.2560571956394e-32,7.003808051857148e-34,1.8625920838608858e-33,1.9021264026573765e-24,9.606081427921806e-52,1.743180304399837e-50,1.752893502213235e-56,7.44684713934156e-76,8.906675016611826e-22,7.85053717032262e-27,9.145958841789136e-39,2.396311438831562e-42,3.158449862454441e-37,5.240110163332546e-32,2.1688513456217065e-33,2.682380275333255e-63,3.665558490382029e-59,9.680828415122712e-71,3.437724829622056e-75,1.3320877275831716e-54,2.5325879215781433e-36,4.895042201640308e-78,3.8893917845767175e-80,8.045473164856352e-57,3.6006135825898905e-38,1.8699157023028318e-79,4.733695988121796e-78,4.758242926540389e-66,5.308804762934177e-33,7.94681726653054e-50,2.9643314916205043e-77,3.100302822421115e-85,9.47072240207837e-65,4.156921735708888e-48,1.587347628790013e-90,2.9205515524581114e-80,5.151141932742662e-92,3.345059322924263e-79,1.0114062658927425e-88,9.496062055893274e-39,1.6424811509479632e-59,3.3657306182264097e-56,1.142099351133987e-81,3.661226942247677e-93,2.715166107004302e-60,6.685994073149012e-59,2.0914536182430535e-77,2.2570273629349777e-58,2.0757235697121304e-52,4.0108618231424784e-80,1.9975486032636885e-53,9.738402650117713e-84,4.754502319486663e-79,2.0920239277985916e-83,1.875187567269719e-84,2.6279325494729044e-68,1.8837191603382767e-33,1.1542340969600493e-75,2.830812214925939e-69
2.296e-13,0.5991833454659614,3.76,0.0,0.7121820518609239,0.9999999999999574,2.8542718356585294e-29,4.0801498925191887e-44,9.942048160920153e-31,4.333851178535339e-14,4.2627397787630067e-14,1.0669799106498387e-22,7.369382115373375e-23,7.111138615199133e-16,1.887562380966738e-21,2.2126281803970212e-23,4.339865458771009e-22,1.810369701431039e-24,4.515376502502e-31,5.6114721553038835e-36,5.176958083758805e-32,5.6371840571497446e-33,1.4991529087833885e-32,7.648366595125e-24,1.546751001598849e-50,2.81491561051214e-49,5.648074812219017e-55,4.806279504103496e-74,1.7875439573288256e-21,3.1566131986061565e-26,7.366404320054221e-38,1.9289144898261903e-41,2.5414478026518987e-36,4.217107193739292e-31,1.75088032806443e-32,8.668786192802517e-62,1.1858599577510675e-57,6.263733198536863e-69,2.2230235073808688e-73,2.978303974394839e-53,2.0383824866486354e-35,4.0578667856625443e-76,2.5143830369157974e-78,2.600054984498405e-55,3.0603318013304485e-37,1.5959897295848106e-77,3.063342907235966e-76,1.5375586238576394e-64,4.272972238018888e-32,1.2798081031966446e-48,1.9165514736546912e-75,4.005409832126099e-83,6.128444648084041e-63,6.691797820792927e-47,4.1328773559080704e-88,3.7758413956132015e-78,9.523495379273529e-90,4.325858604152696e-77,1.3079157285264788e-86,7.641265586154293e-38,5.305676359488532e-58,5.714542517100497e-55,1.4750116130173654e-79,8.479932204818105e-91,7.884357776648155e-59,2.1546095366361073e-57,2.7207086532282927e-75,7.268003498644901e-57,3.351805952594501e-51,5.217152457167774e-78,3.2161870246227318e-52,1.2669606630593978e-81,6.1778405505288856e-77,2.721710377393655e-81,2.4268287129320176e-82,1.7050753617758627e-66,1.5161782803898324e-32,1.5014816793473695e-73,1.8374849070368808e-67
4.600000000000001e-13,0.5991833454659615,3.76,0.0,0.7121820518608803,0.9999999999999146,2.2903727240784196e-28,3.274001683067497e-43,3.987169370750365e-30,8.68280287921025e-14,8.54033231176118e-14,4.279059586548689e-22,2.9554509151943246e-22,1.4247051282535283e-15,3.982356724104664e-21,8.873631459923627e-23,9.766120945794157e-22,7.260363672357144e-24,1.811284667004064e-30,4.5028476420081947e-35,2.1775814526294303e-31,4.52334078575589e-32,1.202938496365978e-31,3.0673370770565987e-23,2.4819491192177145e-49,4.524603264279497e-48,1.8136162142956004e-53,3.089038980559972e-72,3.5812381967389615e-21,1.2659003500137874e-25,5.9189976412456495e-37,1.5480804421125514e-40,2.0381532535447636e-35,3.3830174571889736e-30,1.4133132786697554e-31,2.787620943998996e-60,3.81564910636315e-56,4.030115509867572e-67,1.4295656713472597e-71,7.45494489764711e-52,1.6355698997053207e-34,3.7530917374566215e-74,1.6170416846010165e-76,8.36072528177327e-54,2.7160006087976427e-36,1.5223417722722082e-75,1.9714754572675656e-74,4.943122786889875e-63,3.4287659370826045e-31,2.054367649277951e-47,1.2328158202624933e-73,5.143303062727238e-81,3.9436601951825e-61,1.0732847745522762e-45,1.0663723779539718e-85,4.857226610289654e-76,1.9558814360491864e-87,5.56551483884702e-75,1.6826596847499057e-84,6.128440897487831e-37,1.7058100792177432e-56,1.0117012926227841e-53,1.8964430971085504e-77,2.0516331583274925e-88,2.10693310961875e-57,6.922020896276703e-56,3.510079349917084e-73,2.3314795571491257e-55,5.386345392801192e-50,6.729650425228528e-76,5.160114905601383e-51,1.6348624654252564e-79,7.965667361215672e-75,3.5120421289474306e-79,3.1228866493915e-80,1.0980167256209954e-64,1.2166331233677686e-31,1.937044559059812e-71,1.1842833418525362e-65
