Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520)
0.0,0.8170788176707199,3.76,0.0,0.5622619217476634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.223704784120768e-18,0.8170788176707198,3.76,0.0,0.5622619217476631,0.9999999999999999,6.36587713036808e-39,2.1936096123719284e-49,5.1919799680769285e-33,3.2349636380581757e-16,1.7795240723514747e-16,2.7172693340236085e-30,6.143780398250774e-28,1.4554395656778867e-16,5.898230050826745e-21,1.3466219986522912e-29,9.301901241239803e-22,3.192445358852629e-30,1.1486613483008377e-34,2.7876091643739963e-43,1.594916210666586e-36,3.533630845422909e-42,8.026149453806049e-42,6.230966732372094e-30,3.898789447467285e-59,2.3015043827026057e-58,2.326948594638534e-68,2.8641256151922443e-87,5.89822890594473e-21,1.1425360880823611e-30,5.881047208898524e-47,1.4018130436113102e-48,1.050622897997268e-45,2.1129028551290774e-40,8.845838666982828e-42,2.5143632025175994e-74,2.5774317686877745e-71,7.863230237177628e-85,1.454941502590785e-88,3.6372821148979674e-63,3.75038911595973e-45,-8.684829912765624e-90,2.3530368251366977e-91,7.418745661937377e-76,7.937001494051885e-47,-3.9423648852679357e-91,2.1382503271804802e-90,1.6000722573080292e-76,4.582325458182777e-42,1.5391884218126436e-57,8.558405095963487e-89,2.6129528272932865e-101,4.469323021082578e-83,5.79089100892142e-59,9.382513825482875e-114,-3.3986769727670164e-95,1.8637079508951043e-108,-3.0272771629050065e-94,2.1708919707272805e-102,2.6577269742888176e-46,2.7253712672858265e-69,4.693029060939076e-65,-8.450867312958335e-96,2.519427023222466e-111,8.957720528649182e-75
6.226373395538151e-18,0.8170788176707199,3.76,0.0,0.5622619217476625,0.9999999999999994,7.557606600570111e-38,2.6042533355358475e-48,3.1359559003160434e-32,9.057898186599522e-16,4.982667402582948e-16,1.6412306774299772e-29,3.710843360510861e-27,4.0752307838425367e-16,1.6515047847415228e-20,8.133596872483876e-29,2.604534304767749e-21,1.9282369961578266e-29,6.937914564696711e-34,3.3097193134665674e-42,9.633297117563089e-36,4.195126538057836e-41,9.52865095400725e-41,3.7635039063403565e-29,8.724515120572566e-58,6.418296670943039e-57,1.0472590948273089e-66,2.3482973234179072e-85,1.6515040932327865e-20,6.900917969090302e-30,6.981979248537405e-46,1.6642324459152482e-47,1.2472994949686986e-44,2.5084382589606e-39,1.0501780627433404e-40,1.5296401133573838e-72,1.2896450896664482e-69,7.214438254701206e-83,1.3787555486758995e-86,8.136468401216662e-62,4.4524619505483434e-44,8.439531301038148e-88,2.6829695174395296e-89,4.513185447614532e-74,9.422949111184306e-46,3.825942145923631e-89,1.947195367600387e-88,9.73412616790963e-75,5.440136781945881e-41,3.4433709938654256e-56,9.758427849927366e-87,5.388921907555014e-99,3.4487298639873364e-81,1.2953991503708884e-57,1.4962527851898035e-111,3.303724488970151e-93,1.9859255965220818e-106,2.9407604561376982e-92,4.477222105969301e-100,3.155253442957665e-45,8.578054325387176e-68,1.0498268272086573e-63,8.204435614535253e-94,2.684685414642163e-109,5.449513493004218e-73
1.4231710618372914e-17,0.81707881767072,3.76,0.0,0.5622619217476614,0.9999999999999988,7.420119308437888e-37,2.5568713752495643e-47,1.509827774113135e-31,2.070376728382874e-15,1.1388954063041163e-15,7.901819218536425e-29,1.7866113397624136e-26,9.314813219949652e-16,3.774869826099354e-20,3.915976773016923e-28,5.9532304949377025e-21,9.283631094705619e-29,3.340307231634252e-33,3.2496202352706425e-41,4.638021056702752e-35,4.1188001083772954e-40,9.355288775605575e-40,1.8119651257552075e-28,1.7240948231031944e-56,1.3804311519584653e-55,4.306832453364727e-65,1.9387510564527762e-83,3.77486649678246e-20,3.32249493975274e-29,6.854948633304605e-45,1.6339532850146357e-46,1.224606020351268e-43,2.462799534927651e-38,1.0310712532408395e-39,6.905530881447219e-71,6.518138515761692e-68,7.252605256038365e-81,1.3600604429393248e-84,1.607633011488455e-60,4.3714535290135795e-43,8.467160284892434e-86,2.4290254295293843e-87,2.0374680883817917e-72,9.251805847545226e-45,3.8387387142879178e-87,1.9661648956972274e-86,4.394442316269785e-73,5.341158547809334e-40,6.803779282754656e-55,8.834789015517596e-85,9.764288015286892e-97,3.7585944941718514e-79,2.559490407119698e-56,6.857859290460732e-109,3.319409384815799e-91,4.5195030814986764e-104,2.9530634627848615e-90,8.112366605558223e-98,3.097846496385167e-44,1.9179838930476687e-66,2.0743457551716263e-62,8.234557764409234e-92,6.109813519220765e-107,2.460159375735645e-71
3.024238506404244e-17,0.8170788176707202,3.76,0.0,0.5622619217476591,0.9999999999999974,6.563017984110515e-36,2.261523788820792e-46,6.593814553220121e-31,4.399550547887325e-15,2.4201527383938677e-15,3.450932049245614e-28,7.802601105273054e-26,1.9793978091275125e-15,8.021605836975558e-20,1.7102099392556715e-27,1.265065419080726e-20,4.054405596610221e-28,1.4587999438334314e-32,2.8742992346651112e-40,2.0255484180772064e-34,3.643032045797058e-39,8.27464806498007e-39,7.913327749920318e-28,3.068161085210069e-55,2.5481560179691562e-54,1.5640004521439558e-63,1.4130632777232994e-81,8.021591296973988e-20,1.4510208273274602e-28,6.063124444372182e-44,1.445213178049954e-45,1.083150120855125e-42,2.1783182582011737e-37,9.119712094676161e-39,2.607397434168121e-69,2.57363712252471e-66,5.73337989075053e-79,1.0672822927535673e-82,2.8607097678365863e-59,3.866501111436736e-42,6.660923740814473e-84,1.8410177488943678e-85,7.693095181446734e-71,8.183648563055817e-44,3.0199252216220035e-85,1.5569352679348406e-84,1.6592565418461635e-71,4.7241942412264416e-39,1.2107171446897944e-53,6.696102680778532e-83,1.481712408756111e-94,3.0747636464184225e-77,4.5544763528221935e-55,2.348876624698031e-106,2.61886723323382e-89,7.63776410977432e-102,2.3271574200444332e-88,1.2310377818099127e-95,2.740010065236435e-43,3.6082240746138754e-65,3.691419306827095e-61,6.482440366294001e-90,1.0325641331253208e-104,9.28899650983867e-70
6.226373395538151e-17,0.8170788176707204,3.76,0.0,0.5622619217476544,0.9999999999999949,5.516614638442027e-35,1.900947033471355e-45,2.7527877734605643e-30,9.057898187130663e-15,4.982667402565804e-15,1.4406961964313855e-27,3.2574323666976727e-25,4.0752307830371086e-15,1.6515101571370123e-19,7.139789845559803e-27,2.604562684466494e-20,1.6926345210442233e-27,6.090202750785227e-32,2.4160403064527872e-39,8.456289040487932e-34,3.0621879333182085e-38,6.955340698801796e-38,3.30365856133064e-27,5.1750855240714065e-54,4.3725107636805725e-53,5.3283769115374105e-62,9.64644759947932e-80,1.6515040869725777e-19,6.057726298178377e-28,5.096421439669523e-43,1.2147887590584914e-44,9.104528808359837e-42,1.831007682037981e-36,7.665673617467744e-38,9.046273500698539e-68,9.106059167607545e-65,4.060346644691809e-77,7.534596715483967e-81,4.825047003945665e-58,3.2500271081327535e-41,4.713152160730748e-82,1.2801402126753252e-83,2.669094427210389e-69,6.879743114790665e-43,2.1368757090803525e-83,1.103407591068818e-82,5.756729767152752e-70,3.970969900994255e-38,2.042068204543676e-52,4.656093422556908e-81,2.0618325648057046e-92,2.2129296962871326e-75,7.681789816911813e-54,6.930699075387391e-104,1.8637224992242336e-87,1.1183379946188384e-99,1.6523379553443378e-86,1.713017549912733e-93,2.3031434252242615e-42,6.287802134844393e-64,6.226900708156402e-60,4.5930745104373503e-88,1.5119967067291393e-102,3.2227162406362503e-68
1.2630643173805964e-16,0.8170788176707213,3.76,0.0,0.5622619217476451,0.9999999999999898,4.5228550031525275e-34,1.5585112643865796e-44,1.1246036242522962e-29,1.8374593466555072e-14,1.010769673087941e-14,5.885714030440009e-27,1.3307674089975712e-24,8.266896729434304e-15,3.350218789072785e-19,2.916837121331342e-26,5.2836073200854214e-20,6.914964275497538e-27,2.4880466651643323e-31,1.980823220328814e-38,3.45468888671072e-33,2.5105666604098653e-37,5.702408667730186e-37,1.3496523179522036e-26,8.500240869784682e-53,7.242252069279528e-52,1.75898257476749e-60,6.37500718451625e-78,3.3501939904704287e-19,2.4747788336568516e-27,4.178354231228733e-42,9.95957222841609e-44,7.464441798499501e-41,1.5011706118631347e-35,6.2847923723065515e-37,3.0127868395234563e-66,3.0608039063386465e-63,2.7307697598056444e-75,5.0599250134521945e-79,7.925290858910986e-57,2.664568499293126e-40,3.1695781744413745e-80,8.536051048594594e-82,8.889214344667073e-68,5.6418941528465095e-42,1.4370580478970874e-81,7.4234042713123285e-81,1.9172310490660254e-68,3.255641019717527e-37,3.3541165642815194e-51,3.104711009816598e-79,2.750530575237315e-90,1.499995762671604e-73,1.2617362025259613e-52,1.9028194120488313e-101,1.2676673141530408e-85,1.5292355837441128e-97,1.118819131822805e-84,2.2852136097060836e-91,1.8882559126138118e-41,1.0631704559787075e-62,1.0230273794174622e-58,3.097137025057788e-86,2.0677882047694671e-100,1.0732535535088853e-66
2.543918273034159e-16,0.8170788176707225,3.76,0.0,0.5622619217476265,0.9999999999999796,3.6627256516953524e-33,1.2621228872813528e-43,4.5458276379922366e-29,3.700798402915484e-14,2.0357755387385557e-14,2.3790996997487217e-26,5.379174636959584e-24,1.6650228616540713e-14,6.747673993171742e-19,1.1790322037388743e-25,1.0641897010712559e-19,2.79513909180785e-26,1.0057083419723658e-30,1.6041249550926242e-37,1.3964557557882048e-32,2.0331219450201478e-36,4.6179583969421944e-36,5.455510459389619e-26,1.3779373362398414e-51,1.178860628763066e-50,5.716707942601703e-59,4.1457689478245924e-76,6.747573753256104e-19,1.000345158409191e-26,3.3837396235123646e-41,8.065519870088739e-43,6.044896891944867e-40,1.2156867026695751e-34,5.089604004591041e-36,9.834238003291663e-65,1.0035818212838912e-61,1.7911406112896575e-73,3.3165047206848073e-77,1.2847680453192073e-55,2.1578365209960418e-39,2.0790780092564244e-78,5.5756803841093774e-80,2.9015977404252027e-66,4.571325154499182e-41,9.426496756650121e-80,4.8698743262778496e-79,6.258160939881211e-67,2.6365024719246846e-36,5.43717820312177e-50,2.0279727446456e-77,3.5937880240050735e-88,9.87664510065006e-72,2.0453284916445876e-51,5.0432180399382284e-99,8.503054899824495e-84,2.0225683149318535e-95,7.438887120867381e-83,2.9858404434227342e-89,1.529158242173947e-40,1.7933704437091618e-61,1.6592049156120826e-57,2.0424479858176156e-84,2.7355370538150373e-98,3.502981127109531e-65
5.105626184341283e-16,0.8170788176707251,3.76,0.0,0.5622619217475892,0.999999999999959,2.9480804158217424e-32,1.015866395658785e-42,1.82785728396887e-28,7.427476516935818e-14,4.085787269991361e-14,9.566255128810199e-26,2.1629424617561067e-23,3.341689236800158e-14,1.35427361622791e-18,4.740836660311853e-25,2.1359278069521703e-19,1.1239131119335134e-25,4.043909810324028e-30,1.2911405008208801e-36,5.615209990864217e-32,1.6364333748301036e-35,3.716934608041607e-35,2.1936367610208736e-25,2.2191343722867454e-50,1.902419282968227e-49,1.843559143762939e-57,2.674555200586309e-74,1.3542333101987353e-18,4.0223437688643884e-26,2.723528085510782e-40,6.49183217264488e-42,4.8654563287557545e-39,9.784901320376958e-34,4.096582162481072e-35,3.1782556958591123e-63,3.2505697172296976e-60,1.1604218219652378e-71,2.1479066362905063e-75,2.0692217887926726e-54,1.7368143449917255e-38,1.347070025077814e-76,3.6049219414443594e-78,9.377527955995199e-65,3.68322018312445e-40,6.107752631052817e-78,3.155283836123028e-77,2.022529378823012e-65,2.1220865051453086e-35,8.756416434809999e-49,1.3111737284585504e-75,4.647374007121016e-86,6.41101401949697e-70,3.2939376297152165e-50,1.313566863457472e-96,5.75262635057822e-82,2.6314372857447383e-93,4.949364317347449e-81,3.8612630789282715e-87,1.2307990200948643e-39,3.0905332706882363e-60,2.674782858197443e-56,1.337439808240735e-82,3.5608019584410257e-96,1.1319108751219998e-63
1.0229042006955534e-15,0.8170788176707302,3.76,0.0,0.5622619217475147,0.9999999999999181,2.365648932591343e-31,8.151689559661998e-42,7.330525109600195e-28,1.4880832750978002e-13,8.185810732303272e-14,3.8364960657861706e-25,8.674366660908866e-23,6.695021977991555e-14,2.713346754412995e-18,1.9012875597774406e-24,4.279724689734139e-19,4.507394073476497e-25,1.6217893438264182e-29,1.0360594123280624e-35,2.2520488612406564e-31,1.3131346534977273e-34,2.9826058039367343e-34,8.7974645357606e-25,3.56220729950909e-49,3.056929765173262e-48,5.922240454006872e-56,1.7185550594051712e-72,2.713185109208948e-18,1.6131396617370539e-25,2.1854598595977634e-39,5.209286632620169e-41,3.90421814105495e-38,7.851762445993956e-33,3.2872910372344255e-34,1.022079329147956e-61,1.0464805809878344e-58,7.472094861415562e-70,1.3828237496526051e-73,3.322016550723764e-53,1.3936837866377446e-37,8.67482302908256e-75,2.3188974945302076e-76,3.0157145487860134e-63,2.9616828613940996e-39,3.933458082515844e-76,2.0318055014715903e-75,6.50415113473732e-64,1.7028406881065685e-34,1.40559944450571e-47,8.434244480839892e-74,5.97896020922925e-84,4.1320660295649174e-68,5.287496657174829e-49,3.391848936048582e-94,4.0179454306456245e-80,3.395783217195665e-91,3.354149811426369e-79,4.96778380709175e-85,9.876377907004126e-39,5.592397660949752e-59,4.302237266716814e-55,8.794410716934519e-81,4.5996544269112073e-94,3.6388208282768997e-62
