Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213)
0.0,0.7788489711520717,3.76,0.0,0.6318401570265593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.907517153799637e-18,0.7788489711520717,3.76,0.0,0.631840157026559,0.9999999999999998,2.3131774571825144e-38,1.3461662440888282e-49,2.3658628559905572e-33,2.8843743532461545e-16,1.95237189046309e-16,8.231907823374542e-30,8.4897338437228e-28,9.32002462741491e-17,2.3911655915139108e-21,2.3785338710291857e-29,3.6219072974577806e-22,4.887777952058756e-30,1.0005181850139575e-34,4.0202575517930886e-43,2.046019962259046e-36,1.023422476970928e-41,2.3825277140008887e-41,1.2835082875655163e-29,4.48435273550095e-59,2.3048987049123946e-58,6.393393407861542e-68,2.9230771350439177e-87,2.3911639185599315e-21,1.2833044211554996e-30,1.6241108244018495e-46,2.1011655066755862e-48,3.3453563245445804e-45,6.4942135076495135e-40,2.6963816603174535e-41,5.6523819128885976e-74,6.362247399039004e-71,2.1903756742206865e-84,3.1266718645840065e-88,6.213346399146949e-63,1.3688695727948932e-44,-1.1594411637073966e-89,3.1262494163647106e-91,2.0647549220625766e-75,2.679541313727738e-46,-2.406147405836353e-98,3.319327442827287e-90,2.4949922637234205e-76,1.5870778706666187e-41,1.9718928219168946e-57,1.285685007676838e-88,1.0886165450675046e-100,8.122399194382605e-82,2.241210532502111e-59
1.6541048030638984e-17,0.7788489711520717,3.76,0.0,0.6318401570265584,0.9999999999999994,2.746211574990298e-37,1.5981685674350746e-48,1.4289811645093674e-32,8.076248189142616e-16,5.46664129329535e-16,4.9720723233536624e-29,5.127799241500807e-27,2.609606895596166e-16,6.6952690716564204e-21,1.4366344583030206e-28,1.0141367326597942e-21,2.95221788112687e-29,6.043129875250231e-34,4.7731237999672326e-42,1.2357970396083728e-35,1.2150071633292641e-40,2.828537511239663e-40,7.752390056858823e-29,1.0034611970840814e-57,6.593863421615749e-57,2.8096610248074115e-66,2.341068275455025e-85,6.695258967014386e-21,7.751158694640552e-30,1.9281443803163287e-45,2.4945036893684193e-47,3.9716069448484034e-44,7.709930187833276e-39,3.201145103970286e-40,3.4386419348094837e-72,3.2411999480839543e-69,2.0470559250980226e-82,3.0358340700144784e-86,1.3899065149562226e-61,1.6251219499164508e-43,9.450120837890934e-88,3.5620188410102344e-89,1.2560915013340896e-73,3.181247620073395e-45,1.0269081689014775e-95,3.0770055980204045e-88,1.5178283086601486e-74,1.884178846531321e-40,4.411287306210197e-56,1.464897281252738e-86,2.2435319179234322e-98,6.267607081168853e-80,5.0134985235365645e-58
3.7808109784317675e-17,0.7788489711520717,3.76,0.0,0.6318401570265574,0.9999999999999988,2.69625000691133e-36,1.5690913813171192e-47,6.879929177586596e-32,1.845999586114908e-15,1.249518009895466e-15,2.3938387920904742e-28,2.4688146015929395e-26,5.964815760985482e-16,1.530349769361132e-20,6.9167764999737655e-28,2.3180394959742873e-21,1.4213658255836438e-28,2.9095069374497202e-33,4.686401331086366e-41,5.949840505427633e-35,1.1929012350323601e-39,2.7770751636253353e-39,3.732442100185143e-28,1.982965848317818e-56,1.4299713465220955e-55,1.1439260854282138e-64,1.9203034597412416e-83,1.530344904410961e-20,3.731849243012163e-29,1.893063606640782e-44,2.4491185131699364e-46,3.899347072571286e-43,7.569654990326723e-38,3.142904933474293e-39,1.5523676449924453e-70,1.6208436560184166e-67,2.036006242232777e-80,2.9531742058479983e-84,2.7462433781542467e-60,1.5955543526422115e-42,9.577184094873924e-86,3.2248161137341516e-87,5.670600942351956e-72,3.1235714897628995e-44,2.569649465875318e-93,3.075040045045004e-86,6.852195555428498e-73,1.8498979613219018e-39,8.716193620036205e-55,1.3262210794048138e-84,4.065010468801602e-96,6.83074473231242e-78,9.905829147071547e-57
8.034223329167506e-17,0.7788489711520719,3.76,0.0,0.6318401570265553,0.9999999999999973,2.3848038668732203e-35,1.387843565819878e-46,3.0046458192195937e-31,3.922749120601616e-15,2.6552257710252438e-15,1.0454522905234957e-27,1.0781961979857533e-25,1.2675233490483976e-15,3.252004158420062e-20,3.020738019328658e-27,4.925888052549098e-21,6.2074779694053105e-28,1.2706581516752745e-32,4.145116594158999e-40,2.5984601580091145e-34,1.0551076281955212e-38,2.456291628495569e-38,1.630055525150964e-27,3.528822879350251e-55,2.648445790776052e-54,4.1358941984930617e-63,1.3960537605883895e-81,3.251982911904531e-20,1.6297966007025052e-28,1.6743933579330747e-43,2.166217586874486e-45,3.448928011784956e-42,6.695273782048254e-37,2.779866823957972e-38,5.861445088063788e-69,6.374742196759236e-66,1.6028762542212545e-78,2.3046167729846963e-82,4.8868718537479685e-59,1.4112497298128274e-41,7.559755509223674e-84,2.4441540681796327e-85,2.1411136572254767e-70,2.763125995182416e-43,4.444536668099382e-91,2.4253596586002847e-84,2.5872575220883905e-71,1.636213791613295e-38,1.5510190134395785e-53,1.0051701212613522e-82,6.168537915752786e-94,5.587973218960702e-76,1.7626896958888768e-55
1.6541048030638985e-16,0.7788489711520722,3.76,0.0,0.6318401570265512,0.9999999999999946,2.0045718485263687e-34,1.1665661550902904e-45,1.2543804791466189e-30,8.076248189916698e-15,5.466641293276462e-15,4.3645575005475406e-27,4.501256882438437e-25,2.6096068944360417e-15,6.69534759520971e-20,1.2610986612291076e-26,1.0141757285481874e-20,2.591499843442943e-27,5.304747924872418e-32,3.484239166539144e-39,1.084813053159798e-33,8.86881528067238e-38,2.0646611403685e-37,6.805160940157117e-27,5.952070646180272e-54,4.551540861286221e-53,1.4061321495981162e-61,9.519366004263951e-80,6.695258895189774e-20,6.804079913481578e-28,1.407428567878874e-42,1.8208364015648672e-44,2.899031277148197e-41,5.627780473650735e-36,2.3366506162166124e-37,2.0336076083403224e-67,2.251750171502422e-64,1.133138949974038e-76,1.6230600435506494e-80,8.242687757306749e-58,1.1862403883082224e-40,5.357468068862162e-82,1.699523000230284e-83,7.428536228809374e-69,2.3231835220269046e-42,6.567091833239699e-89,1.7159492012703813e-82,8.976396193715421e-70,1.3753362714575267e-37,2.6160354083232286e-52,6.989370795222713e-81,8.583605105062628e-92,4.021704773762651e-74,2.9730349117893917e-54
3.355469743358194e-16,0.7788489711520725,3.76,0.0,0.6318401570265428,0.9999999999999889,1.643469312378284e-33,9.564214381318577e-45,5.124553520480046e-30,1.6383246329913506e-14,1.108947233774555e-14,1.783064138970776e-26,1.8389103082128594e-24,5.293773983163111e-15,1.3582173103476055e-19,5.151999529790596e-26,2.0574184230478896e-20,1.0587122328889499e-26,2.167162838505356e-31,2.856597300342404e-38,4.431873192496989e-33,7.27119046002105e-37,1.6927339312629236e-36,2.780130290762135e-26,9.776449554120784e-53,7.544297134578465e-52,4.6371710675833665e-60,6.28756601162949e-78,1.3581810734952673e-19,2.7796886004624345e-27,1.1538950728535715e-41,1.492831684688568e-43,2.376800123520217e-40,4.6139935290252414e-35,1.9157356330818986e-36,6.772762289679088e-66,7.562903125951768e-63,7.614610807349949e-75,1.0887563426440157e-78,1.3539506440869762e-56,9.725514681740677e-40,3.605646132821606e-80,1.1332505393065952e-81,2.4740249102564852e-67,1.905685955518406e-41,9.016781576296322e-87,1.153531503558323e-80,2.9895142109671357e-68,1.1275837538000882e-36,4.296858105482645e-51,4.660548731745607e-79,1.1450658669320043e-89,2.7260422651843394e-72,4.8832223822834285e-53
6.758199623946785e-16,0.7788489711520732,3.76,0.0,0.6318401570265262,0.9999999999999777,1.3309241380204222e-32,7.745349151227238e-44,2.0714264423917087e-29,3.2997242615373747e-14,2.2335134426550333e-14,7.207430240072899e-26,7.43316947693338e-24,1.0662108152424374e-14,2.7356378658756086e-19,2.0825205932782084e-25,4.144179203698964e-20,4.2794840241464933e-26,8.760020483608872e-31,2.3133495551713974e-37,1.7914808138904897e-32,5.8883983288260645e-36,1.3708197827590465e-35,1.1237731138025284e-25,1.5848165361234825e-51,1.2284662965787845e-50,1.5063305834553344e-58,4.08780519002105e-76,2.7354913907248133e-19,1.1235945305467763e-26,9.34454308155189e-41,1.2089337901740531e-42,1.924792954284857e-39,3.7365300964440265e-34,1.5514258010473573e-35,2.210742307016558e-64,2.478810782759314e-61,4.9925186262318903e-73,7.132323627475423e-77,2.1950934051411354e-55,7.875972777549722e-39,2.3661116410970385e-78,7.402295782808941e-80,8.075708957986106e-66,1.544893169156794e-40,1.194889576018641e-84,7.564479171609112e-79,9.758270360747177e-67,9.13146532724643e-36,6.965401796605425e-50,3.0442318307162265e-77,1.4961066521067892e-87,1.7949483947557244e-70,7.915925625236313e-52
1.3563659385123968e-15,0.778848971152075,3.76,0.0,0.631840157026493,0.9999999999999551,1.07124356454645e-31,6.2341314326966395e-43,8.32911441797419e-29,6.622523520816066e-14,4.4826458603626315e-14,2.8980759220359313e-25,2.988844750125296e-23,2.139877645817539e-14,5.490700792429877e-19,8.373723793017901e-25,8.31880233160045e-20,1.7207616280866856e-25,3.522367148650529e-30,1.8619861738275943e-36,7.203841997670578e-32,4.739494893456711e-35,1.1033549442769285e-34,4.518642263794902e-25,2.5523058859562295e-50,1.9828235804924867e-49,4.856499125044522e-57,2.6368108437287607e-74,5.490111822291789e-19,4.517923826692914e-26,7.521303827219546e-40,9.730550692844067e-42,1.5492385555228035e-38,3.007482095069737e-33,1.2487440534269754e-34,7.144736380379408e-63,8.027314317074128e-60,3.2338577424329868e-71,4.617952087274697e-75,3.536035521229523e-54,6.339266213792377e-38,1.533499383049282e-76,4.785905094596323e-78,2.609981035650516e-64,1.2460711017916732e-39,1.5560720439878993e-82,4.9002538206831665e-77,3.1537033178185224e-65,7.349797301413132e-35,1.1217572501093469e-48,1.968229369305355e-75,1.934685248973845e-85,1.1651160282007684e-68,1.2748391906168303e-50
2.7174578907478332e-15,0.7788489711520779,3.76,0.0,0.6318401570264265,0.9999999999999102,8.596055064289107e-31,5.002498834830878e-42,3.3403472481415562e-28,1.3268122048120023e-13,8.980910695564399e-14,1.1622580017327603e-24,1.1986604207139512e-22,4.2872112938591397e-14,1.1001713907526044e-18,3.358237829141473e-24,1.6672454853742075e-19,6.901023147138813e-25,1.4126279234641558e-29,1.494127113541619e-35,2.8893647762472087e-31,3.8031455902230136e-34,8.853727314981604e-34,1.812177647819163e-24,4.097016408689472e-49,3.186409798136356e-48,1.5599058732930494e-55,1.694191009250729e-72,1.0999351873857389e-18,1.8118892323040811e-25,6.035376816104568e-39,7.808153802750668e-41,1.24316273446891e-37,2.413311129293353e-32,1.002073121354131e-33,2.2976396581315836e-61,2.5840589044929303e-58,2.0821161908702128e-69,2.9726430169090853e-73,5.679026394427073e-53,5.08685889964156e-37,9.87859064852047e-75,3.0785716496547736e-76,8.393638757070784e-63,1.0040769677141566e-38,2.008979116115913e-80,3.1551644789746366e-75,1.0141830872526638e-63,5.897748796727419e-34,1.8006694059730744e-47,1.2660812202982087e-73,2.488936123383565e-83,7.509474835492601e-67,2.0464113453222844e-49
