Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15)
0.0,0.7122255767380339,3.76,0.0,0.6109116598255988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.518802486887908e-17,0.7122255767380339,3.76,0.0,0.6109116598255986,0.9999999999999999,1.0058441894593712e-37,5.591910140425411e-50,6.078064709166908e-34,2.1869486287991368e-16,1.8269194529527716e-16,3.868895865378409e-29,1.0513713997893156e-27,3.6002917580014955e-17,4.708721217899239e-22,5.113947433855314e-29,8.21820219318336e-23,8.311110021176497e-30,5.141961639872909e-35,4.701965655059878e-43,1.79636722839398e-36,7.305707590632273e-43,9.666282297671596e-41,2.5397375940480234e-29,3.5265521879755727e-59,1.7844652408963133e-58,2.6010720870727856e-68,3.8299921917802615e-88,4.708702862565896e-22,1.169491873042085e-30,5.425331848073282e-46,2.414235649086313e-48,1.3232393428694752e-44,2.6610062105060984e-39,1.1117403125497276e-40
7.052646963286143e-17,0.712225576738034,3.76,0.0,0.6109116598255981,0.9999999999999994,1.1941394516292534e-36,6.638715714690804e-49,3.671151078738792e-33,6.123456160694666e-16,5.115374468267286e-16,2.3368131001450243e-28,6.350283254273535e-27,1.0080816921482325e-16,1.3184478836327744e-21,3.088824251040241e-28,2.301129290353436e-22,5.01991044319882e-29,3.105744906486088e-34,5.582366862311123e-42,1.0850098634334178e-35,8.673336050448771e-42,1.1475810779493703e-39,1.5340015067931006e-28,7.891521312833856e-58,5.297639002364436e-57,1.413941787206112e-66,3.5351199026276915e-86,1.3184367970114373e-21,7.063730875521843e-30,6.440954423077539e-45,2.8661805692787545e-47,1.5709497257948545e-43,3.1591464009908643e-38,1.3198596596331841e-39
1.612033591608261e-16,0.712225576738034,3.76,0.0,0.6109116598255974,0.9999999999999988,1.1724137335633984e-35,6.517930445375944e-48,1.767501209028701e-32,1.3996471224714045e-15,1.169228449889442e-15,1.125074913836739e-27,3.057388029906421e-26,2.3041867244756545e-16,3.013623177802418e-21,1.4871359152525728e-27,5.259878137471941e-22,2.4168707797700605e-28,1.4952825564150543e-33,5.480885561278187e-41,5.223895602284215e-35,8.515532764070593e-41,1.1267019172026209e-38,7.385556923312956e-28,1.559478027471169e-56,1.162184569804949e-55,6.242758299918178e-65,3.3089852216866205e-84,3.0135698004930762e-21,3.400882310327823e-29,6.323768206553425e-44,2.8140330891088778e-46,1.5423677096633107e-42,3.101668305387812e-37,1.2958493460872533e-38
3.425571382167555e-16,0.712225576738034,3.76,0.0,0.6109116598255958,0.9999999999999974,1.0369868839247981e-34,5.765035646849311e-47,7.719142093872568e-32,2.9742501353666086e-15,2.48461045601411e-15,4.9134977096057854e-27,1.3352416770288205e-25,4.896396787655524e-16,6.4040688480774246e-21,6.494713256366537e-27,1.117789865190149e-21,1.0555109578215659e-27,6.530292423718828e-33,4.8478148332308686e-40,2.281447530847962e-34,7.531892290135736e-40,9.965550739953005e-38,3.225466744256283e-27,2.775208441310596e-55,2.1623936115486403e-54,2.3347170920187524e-63,2.5467986743870065e-82,6.40383573534413e-21,1.4852546204022554e-28,5.593303071411706e-43,2.4889804153219748e-45,1.3642066893154745e-41,2.7433898422695722e-36,1.1461699519604322e-37
7.052646963286142e-16,0.712225576738034,3.76,0.0,0.6109116598255927,0.9999999999999948,8.716500434519383e-34,4.845859798761594e-46,3.2225898307078176e-31,6.12345616152233e-15,5.115374468260414e-15,2.0512885523413173e-26,5.574371155350435e-25,1.0080816908115356e-15,1.3185340516369877e-20,2.7114149432633485e-26,2.3016030961525394e-21,4.406550399416358e-27,2.7262690835043015e-32,4.074893794663045e-39,9.524887081758857e-34,6.33100929310505e-39,8.376645550015399e-37,1.346568872198004e-26,4.680955700841483e-54,3.723978740895083e-53,8.062835761780668e-62,1.7835094374913036e-80,1.3184367316597357e-20,6.200645385618357e-28,4.701511125142843e-42,2.0921380374341704e-44,1.1466977821530228e-40,2.305983372993878e-35,9.634347989369538e-37
1.4306798125523317e-15,0.712225576738034,3.76,0.0,0.6109116598255864,0.9999999999999896,7.146314014495681e-33,3.972928585237545e-45,1.3165330621460887e-30,1.242186821529503e-14,1.0376902492740889e-14,8.380182899827321e-26,2.2773125014381103e-24,2.044965712543542e-15,2.6749405163921083e-20,1.1077014816749566e-25,4.670066070378948e-21,1.8002195617329267e-26,1.1137703223362256e-31,3.340849419249985e-38,3.891466316846318e-33,5.190543909971451e-38,6.86767955658255e-36,5.501173216804037e-26,7.688607484788671e-53,6.178744816272944e-52,2.679153104091389e-60,1.193330370221241e-78,2.674542932530837e-20,2.5331657319717534e-27,3.854587583276822e-41,1.7152612071445342e-43,9.401318930522382e-40,1.8905827015670604e-34,7.898982790864754e-36
2.881510044999767e-15,0.7122255767380344,3.76,0.0,0.6109116598255738,0.999999999999979,5.787270491051077e-32,3.2173804887244343e-44,5.321636856105329e-30,2.501869232868545e-14,2.08999585416533e-14,3.387403790023193e-25,9.205261219324345e-24,4.118733746567711e-15,5.3883619702861e-20,4.47750654415911e-25,9.41033806800393e-21,7.276774824885375e-26,4.502041322870229e-31,2.7055085707382687e-37,1.573186236509803e-32,4.203437012819138e-37,5.561624036552055e-35,2.223662169835535e-25,1.2463642897377359e-51,1.006599000093204e-50,8.735334525888866e-59,7.807867708928973e-77,5.386754872754948e-20,1.0239459046465362e-26,3.1215525898727566e-40,1.3890630652515314e-42,7.61342810133859e-39,1.53103999035421e-33,6.397063814870864e-35
5.783170509894637e-15,0.712225576738035,3.76,0.0,0.6109116598255486,0.9999999999999579,4.6580988047358525e-31,2.589627586699479e-43,2.139806551976939e-29,5.021234057884639e-14,4.1946070639283987e-14,1.3620600645504842e-24,3.7013950320418183e-23,8.266269776856675e-15,1.0817638975586936e-19,1.8003857280225213e-24,1.8904266259667805e-20,2.925958771491462e-25,1.8102539130389032e-30,2.177629480230366e-36,6.327267408093314e-32,3.3832917674192495e-36,4.476477379439881e-34,8.941247779956815e-25,2.0072309501538954e-50,1.6251074709419694e-49,2.8215230638985846e-57,5.052350191572099e-75,1.0811176907131439e-19,4.11723995158083e-26,2.5125093726748576e-39,1.1180389109824694e-41,6.127943310100549e-38,1.2323095165122476e-32,5.149336467721404e-34
1.1586491439684378e-14,0.712225576738036,3.76,0.0,0.6109116598254982,0.9999999999999158,3.737830921102703e-30,2.0780128303666135e-42,8.581579541017278e-29,1.0059963717268865e-13,8.40382948337688e-14,5.462469244389396e-24,1.484424942318992e-22,1.6561341686397112e-14,2.1685929376062817e-19,7.220352327634897e-24,3.794565942645307e-20,1.1734400283343889e-24,7.259951090083638e-30,1.7474107943266877e-35,2.538764263558464e-31,2.714878520923881e-35,3.592088775570117e-33,3.5858402630445924e-24,3.2220286530640013e-49,2.6118708883442465e-48,9.071050763968863e-56,3.25132808960646e-73,2.166001359160262e-19,1.651196168532781e-25,2.016150246119295e-38,8.971559914504871e-41,4.9172789862208105e-37,9.888432918760397e-32,4.1326970405289655e-33
