Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20)
0.0,0.6624808409279984,3.76,0.0,0.8450751409596093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8858890997334863e-16,0.6624808409279982,3.76,0.0,0.8450751409596091,0.9999999999999998,1.0986750956854885e-36,1.6114039495093154e-50,1.00549446942776e-34,2.1104701901383815e-16,2.0088789921598182e-16,4.445888736939919e-28,1.45669337365493e-27,1.0159119791072939e-17,5.0518332897322855e-23,1.9628400433906916e-28,7.942354717333554e-24,2.1730437989713356e-29,2.854518001253521e-35,8.710993110600749e-43,2.001836925490012e-36,3.6172400237563476e-42,6.3447903269072356e-40,1.039469416189793e-28,2.9627397120438005e-59,2.040092338300875e-58,7.899602804789938e-68,3.4060846459020714e-88,5.051534310649162e-23,9.996007148258168e-31,3.3774669881701854e-45,3.5719016962829484e-48,1.0274294845609835e-43,1.7540943789876317e-38,7.351600101574272e-40,2.7684746708524484e-73
5.280489479253761e-16,0.6624808409279984,3.76,0.0,0.8450751409596088,0.9999999999999994,1.304347380170239e-35,1.913058726168853e-49,6.073186514107624e-34,5.909316532466209e-16,5.62486117805046e-16,2.685316786374696e-27,8.798427972306154e-27,2.844553540060374e-17,1.4146101492046597e-22,1.1855553873029177e-27,2.2242747306975712e-23,1.3125184438144282e-28,1.724129253862598e-34,1.0341855130410729e-41,1.2091610806351137e-35,4.294387352450842e-41,7.532534815956686e-39,6.278395273704493e-28,6.630804872242839e-58,6.241680908288116e-57,4.4197368715304337e-66,2.901553927542525e-86,1.4144295658385318e-22,6.0375880563969656e-30,4.0097334999309763e-44,4.2405621141560486e-47,1.2197641541356608e-42,2.0824599593952633e-37,8.727899780050429e-39,1.6841984124077353e-71
1.2069690238294311e-15,0.6624808409279984,3.76,0.0,0.845075140959608,0.9999999999999987,1.280616125813509e-34,1.8782523105239e-48,2.923977795241849e-33,1.3507009217436832e-15,1.285682554984362e-15,1.2928644285966075e-26,4.2360643237340527e-26,6.501836656206336e-17,3.233851101985392e-22,5.707938862604237e-27,5.08601488799612e-23,6.319211205941377e-28,8.300943942779325e-34,1.0153766540682384e-40,5.822100699119481e-35,4.216254960052725e-40,7.395486736671337e-38,3.0227770621570583e-27,1.310424499430888e-56,1.3816211767384249e-55,1.9701748296214193e-64,2.9390798009200058e-84,3.232981670812842e-22,2.906838486986991e-29,3.936790065290882e-43,4.163409864979305e-46,1.1975714044054006e-41,2.0445696573997537e-36,8.569273510501991e-38,7.603275747220404e-70
2.5648091756375413e-15,0.6624808409279982,3.76,0.0,0.8450751409596065,0.9999999999999972,1.132690511870446e-33,1.6612927358772603e-47,1.2769778502573776e-32,2.870239458863796e-15,2.7320754293477446e-15,5.646278529489988e-26,1.8500005774587727e-25,1.3816402865457468e-16,6.873882256813457e-22,2.492806872077757e-26,1.0816141760021026e-22,2.7597654578425105e-27,3.625243586554832e-33,8.980919938348768e-40,2.5431102315901797e-34,3.7292297504492284e-39,6.541223154651335e-37,1.3201261584340466e-26,2.33206268411984e-55,2.579761459676211e-54,7.39598735758997e-63,2.3379515950499387e-82,6.8700852224699e-22,1.2694925030447813e-28,3.482063908255518e-42,3.6824903380330093e-45,1.059237855525614e-40,1.808395364399224e-35,7.57972734720562e-37,2.870851510892514e-68
5.280489479253762e-15,0.6624808409279984,3.76,0.0,0.8450751409596035,0.9999999999999943,9.520946421834167e-33,1.3964163719051704e-46,5.331130543663183e-32,5.909316533607972e-15,5.6248611780935096e-15,2.3572100585442103e-25,7.72338820337144e-25,2.844553519179657e-16,1.4160141563496964e-21,1.0406978062801638e-25,2.2302981733360727e-22,1.1521476720479551e-26,1.5134705724416566e-32,7.549015430784554e-39,1.0620705915325643e-33,3.1346422843982046e-38,5.498290319613993e-36,5.511266843495215e-26,3.9335403917506854e-54,4.449816612754419e-53,2.558502165599988e-61,1.6620723142329036e-80,1.414428969261873e-21,5.299879346951258e-28,2.926914264572266e-41,3.0953574648447674e-44,8.903524177866005e-40,1.5200596430212066e-34,6.371725543644631e-36,9.960312377005821e-67
1.0711850086486203e-14,0.6624808409279984,3.76,0.0,0.8450751409595973,0.9999999999999886,7.805847127330063e-32,1.1448660619074013e-45,2.177940281080595e-31,1.1987470685112122e-14,1.1410432675661041e-14,9.629971571612794e-25,3.155256061099026e-24,5.770379947582214e-16,2.875744816466124e-21,4.2515901769093745e-25,4.538300659382901e-22,4.7068985189102843e-26,6.183043489604874e-32,6.189143048576511e-38,4.341944999196625e-33,2.5699690928242296e-37,4.507827510320341e-35,2.25153233327588e-25,6.460951151871047e-53,7.388634316494139e-52,8.508372876305714e-60,1.1201109273555969e-78,2.8692688100262964e-21,2.1651720478894525e-27,2.3997099209922777e-40,2.5377650756038368e-43,7.299633542154407e-39,1.2462275094743903e-33,5.224758623343528e-35,3.3171964430613164e-65
2.1574571300951086e-14,0.6624808409279984,3.76,0.0,0.8450751409595852,0.999999999999977,6.3213773123462415e-31,9.271414944432798e-45,8.803578824702518e-31,2.414377899618364e-14,2.2981575671100122e-14,3.8925879486959575e-24,1.2754049255200775e-23,1.1622032656926274e-15,5.805121331568094e-21,1.7185607806895334e-24,9.196843594295585e-22,1.9026031062606798e-25,2.4993031188447893e-31,5.012129653572654e-37,1.7575411912355695e-32,2.0812275390923537e-36,3.6505505909232196e-34,9.101053676099732e-25,1.0473421458745501e-51,1.204151365925517e-50,2.77523650412237e-58,7.354649797418241e-77,5.778944278499943e-21,8.751958694565388e-27,1.9434263028311784e-39,2.055154451324425e-42,5.911410620928237e-38,1.0092124080519323e-32,4.2324942634486074e-34,1.0827859230821965e-63
4.330001372988085e-14,0.6624808409279986,3.76,0.0,0.8450751409595609,0.9999999999999539,5.087994252356851e-30,7.462429668870591e-44,3.539877097724117e-30,4.845639565057952e-14,4.612386166319433e-14,1.5651920672808083e-23,5.1283469295800937e-23,2.3325337485770217e-15,1.1703535139250199e-20,6.910257749209302e-24,1.8684081293824746e-21,7.650279133097223e-25,1.004973332936094e-30,4.0341976632725965e-36,7.086759424394471e-32,1.6751528843867664e-35,2.9382726565104463e-33,3.659493652014906e-24,1.686662925337303e-50,1.94440112188339e-49,8.965790609597155e-57,4.767371471279492e-75,1.1598278363275806e-20,3.519113721041532e-26,1.5643657213824168e-38,1.654177555007591e-41,4.757982331435918e-37,8.122778966865888e-32,3.408851538576277e-33,3.4993624899112305e-62
8.675089858774037e-14,0.6624808409279987,3.76,0.0,0.8450751409595123,0.9999999999999076,4.0827946902458147e-29,5.988111107757575e-43,1.4196464518021242e-29,9.708162908838266e-14,9.240843365224698e-14,6.277116816809633e-23,2.056696344032655e-22,4.673194478408167e-15,2.36590058485406e-20,2.7713227752587175e-23,3.833916383911991e-21,3.0681006684071544e-24,4.0305091833205734e-30,3.237188169016977e-35,2.857959618500615e-31,1.3442045289347122e-34,2.3577658418721872e-32,1.46762062669991e-23,2.707284951339024e-49,3.125318862198288e-48,2.8827306451154457e-55,3.070587388388378e-73,2.3236879124536718e-20,1.411313674671802e-25,1.2555090398416416e-37,1.3273900949296174e-40,3.817924655114164e-36,6.517632642872965e-31,2.7388740662639223e-32,1.1253332009981918e-60
