Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31)
4.3136063615241167e-13,0.6242410275693969,3.76,0.0,0.8476201429134675,0.9999999999998673,4.855939877249806e-28,1.0491721905348885e-42,1.1121213967392483e-29,1.3565557323263246e-13,1.327544201321517e-13,5.68314761263559e-22,5.560397276123738e-22,2.9011514678983787e-15,9.675339419190355e-22,1.3901388323405437e-22,1.921372136054982e-21,1.218359944002118e-23,2.1184377138929375e-33
8.630960426229401e-13,0.6242410275693971,3.76,0.0,0.8476201429133318,0.9999999999997344,3.887702114850386e-27,8.39976733550792e-42,4.451383865939292e-29,2.7142900584374407e-13,2.656241788605762e-13,2.2747321151775852e-21,2.2256065155611733e-21,5.804820448577037e-15,3.872655497895783e-21,5.564182042036256e-22,4.703571377116354e-21,4.876576019632727e-23,1.6964683054923273e-32
1e-12,0.6242410275693978,3.76,0.0,0.8476201429132887,0.9999999999996922,8.204356359929075e-27,1.7726368015564327e-41,6.569614126145502e-29,3.144829691150924e-13,3.077573825944506e-13,3.357173292263652e-21,3.2846791215310653e-21,6.725576876500047e-15,5.715490551180062e-21,8.211952071056003e-22,5.994646989695117e-21,7.197088356987535e-23,3.5803929207262855e-32
1.726566855563997e-12,0.6242410275693978,3.76,0.0,0.8476201429130602,0.9999999999994686,3.111339391803065e-26,6.722383367717489e-41,1.7811333715592657e-28,5.429758725559759e-13,5.313636971105852e-13,9.10182740918108e-21,8.905313235227262e-21,1.1612149298463196e-14,1.549565246644276e-20,2.2264007110947974e-21,1.2846550806785921e-20,1.9512344866379395e-22,1.3578622409741108e-31
3.453508481446111e-12,0.624241027569399,3.76,0.0,0.8476201429125171,0.9999999999989372,2.4895380698879823e-25,5.3789546858967706e-40,7.12569333532051e-28,1.0860696119408697e-12,1.0628427367832265e-12,3.6412724098952655e-20,3.5626957207347265e-20,2.322677055248771e-14,6.199258887073482e-20,8.907077600467734e-21,3.94467509800215e-20,7.805959487488242e-22,1.0865649097213115e-30
6.907391733210339e-12,0.6242410275694017,3.76,0.0,0.8476201429114308,0.9999999999978743,1.9918096994609764e-24,4.3036149468864234e-39,2.8505093472830546e-27,2.1722571145555453e-12,2.1258008288188745e-12,1.4565865207472727e-19,1.4251867094591066e-19,4.645586727864012e-14,2.479896478790871e-19,3.563141019325369e-20,1.3390345678017306e-19,3.1224386987821166e-21,8.69362005804298e-30
1e-11,0.6242410275694069,3.76,0.0,0.8476201429104583,0.9999999999969225,8.234212550733646e-24,1.779175603881412e-38,6.67923778921325e-27,3.1448298254828476e-12,3.077573897434421e-12,3.412887994516504e-19,3.3394324914291744e-19,6.725494751668939e-14,5.810795595106796e-19,8.34912888780785e-20,2.9235948152022553e-19,7.315701855476537e-21,3.5940539232237067e-29
1.3815158236738794e-11,0.6242410275694069,3.76,0.0,0.8476201429092585,0.9999999999957483,1.5935076223259828e-23,3.4431235774338893e-38,1.1402501646562164e-26,4.344632215189789e-12,4.251717063650605e-12,5.826255300471052e-19,5.700918309290862e-19,9.291347761211507e-14,9.919918414127891e-19,1.4253304089514625e-19,4.87836811914691e-19,1.2488669490230683e-20,6.955336670523977e-29
2.7630691243795705e-11,0.6242410275694171,3.76,0.0,0.8476201429049137,0.9999999999914965,1.2748111020479428e-22,2.754673319849006e-37,4.5610936835283304e-26,8.689382798280502e-12,8.503549736347567e-12,2.330287277115994e-18,2.2803653159237587e-18,1.8582636587379226e-13,3.9679911774133706e-18,5.701565627149824e-19,1.8557410722322006e-18,4.994295031363673e-20,5.564446047838071e-28
5.5261757257909523e-11,0.6242410275694379,3.76,0.0,0.8476201428962242,0.9999999999829928,1.019820577361614e-21,2.2039393258086987e-36,1.824456216105739e-25,1.7378885493371545e-11,1.7007215893809626e-11,9.319146503120074e-18,9.121166832045615e-18,3.7164281333634117e-13,1.587167083801451e-17,2.2807517751901956e-18,7.231362034840701e-18,1.9967195330164885e-19,4.451628254916795e-27
9.999999999999999e-11,0.6242410275694793,3.76,0.0,0.8476201428821547,0.9999999999692243,6.798607866422629e-21,1.469589670512981e-35,6.2555306713022715e-25,3.144831074731375e-11,3.077574560616768e-11,3.1939066151245674e-17,3.1271319215114107e-17,6.724732878632946e-13,5.4416392247448906e-17,7.820695948352874e-18,2.4481385773321352e-17,6.839581379974229e-19,2.967902053506804e-26
1.1052388928613717e-10,0.6242410275694793,3.76,0.0,0.8476201428788451,0.9999999999659854,8.157966524937816e-21,1.7634411236981018e-35,7.297863452541501e-25,3.475789701214861e-11,3.4014551456479354e-11,3.726000670339284e-17,3.6481755232780276e-17,7.43238396499071e-13,6.348336394359592e-17,9.123870940402651e-18,2.8539152213848425e-17,7.978779944371387e-19,3.561332342811586e-26
2.2104815334259245e-10,0.6242410275695619,3.76,0.0,0.8476201428440869,0.9999999999319705,6.525358245043318e-20,1.4112037220912987e-34,2.9191539841858803e-24,6.951594466758704e-11,6.802923556858692e-11,1.489064233539744e-16,1.459026125137037e-16,1.4862803515991098e-12,2.5390496852184647e-16,3.650209756642162e-17,1.1335932229670597e-16,3.185027597432996e-18,2.8490796527150553e-25
3.3157241739904776e-10,0.6242410275696447,3.76,0.0,0.8476201428093286,0.9999999998979555,1.8656761982786494e-19,4.036014952438538e-34,6.2032085932871426e-24,1.0427401704426558e-10,1.0204393266324753e-10,3.162298039826647e-16,3.1000689220063764e-16,2.229173131274916e-12,5.395056793197909e-16,7.75765706958591e-17,2.403624876354456e-16,6.758676417031363e-18,8.458218970716759e-25
4.42096681455503e-10,0.6242410275697275,3.76,0.0,0.8476201427745702,0.9999999998639404,3.9349281447638604e-19,8.515106410011715e-34,1.058195095433334e-23,1.3903211424539306e-10,1.3605864273624717e-10,5.391425545713993e-16,5.287783377549653e-16,2.9719167713050176e-12,9.20266388773909e-16,1.323515334640734e-16,4.095270625754594e-16,1.1514601258429614e-17,1.8430035126458924e-24
6.631452095684136e-10,0.6242410275698929,3.76,0.0,0.8476201427050531,0.9999999997959098,1.0746035779113867e-18,2.3269427014832207e-33,2.1908603246345876e-23,2.08548367228688e-10,2.0408809332853962e-10,1.115161724090137e-15,1.0945713022829373e-15,4.4570541406452366e-12,1.9050632440296006e-15,2.740687729668941e-16,8.46739534425331e-16,2.378814255347092e-17,5.349679977648634e-24
8.841937376813242e-10,0.6242410275700582,3.76,0.0,0.847620142635536,0.9999999997278787,2.2481564024970654e-18,4.871025034670943e-33,3.726081937153026e-23,2.78064712355566e-10,2.721175916118102e-10,1.89487718071676e-15,1.861259919827812e-15,5.941643367204078e-12,3.2396386921045e-15,4.662026301423315e-16,1.4388153601690407e-15,4.037447723950944e-17,1.1699161830962391e-23
9.999999999999999e-10,0.6242410275702235,3.76,0.0,0.847620142599116,0.9999999996922375,3.1306123353539144e-18,6.785335542828581e-33,4.7025481651399295e-23,3.1448403140671865e-10,3.077579394446048e-10,2.3902534763602e-15,2.3488028271496966e-15,6.71917819153829e-12,4.0883634821223784e-15,5.88434687364575e-16,1.815177590533373e-15,5.089739855347327e-17,1.6582669979016919e-23
1.1052422657942347e-09,0.6242410275702235,3.76,0.0,0.8476201425660183,0.9999999996598472,4.0921756400419006e-18,8.871786032820184e-33,5.692614490181053e-23,3.475811568942934e-10,3.4014714096441105e-10,2.8922562544801967e-15,2.84308525399253e-15,7.425645536570182e-12,4.948849302813736e-15,7.123823187042951e-16,2.1966721233328378e-15,6.155377015643358e-17,2.1949245955710118e-23
1.5473393220200557e-09,0.6242410275705541,3.76,0.0,0.8476201424269817,0.9999999995237827,1.0800891600494506e-17,2.345198658925258e-32,1.0946708502314382e-22,4.866143550833797e-10,4.762063958948857e-10,5.549750755443012e-15,5.46492377065575e-15,1.0391853442226775e-11,9.513844233917008e-15,1.3704618069156803e-15,4.219166683085946e-15,1.177928764944141e-16,6.005730164543387e-23
1.9894363782458768e-09,0.6242410275708847,3.76,0.0,0.8476201422879436,0.999999999387716,2.2386095554117294e-17,4.867309694077672e-32,1.7952593006418636e-22,6.256479673303872e-10,6.122658578205785e-10,9.08256732191212e-15,8.958907436392042e-15,1.3355680589196878e-11,1.5598506864597672e-14,2.248465978498796e-15,6.9128146769877216e-15,1.9227254753120662e-16,1.2660839808197537e-22
2.873630490697519e-09,0.6242410275715455,3.76,0.0,0.8476201420098628,0.999999999115577,6.72151750614197e-17,1.4659110404495556e-31,3.7219022438172687e-22,9.037164671640172e-10,8.84385401183955e-10,1.874556904862657e-14,1.8557582687155405e-14,1.9276205311684234e-11,3.231990869697835e-14,4.665482406975188e-15,1.4306205397981718e-14,3.9462591528363525e-16,3.8619692090934288e-22
3.757824603149161e-09,0.6242410275722057,3.76,0.0,0.8476201417317759,0.9999999988434299,1.4817592541507392e-16,3.2402181299810807e-31,6.3491694901756e-22,1.1817867015739385e-09,1.1565057691324593e-09,3.1842869088963777e-14,3.1631664697256e-14,2.5187235983282683e-11,5.5104258679636004e-14,7.965180795823229e-15,2.4367088285871093e-14,6.668405547369227e-16,8.569827366089932e-22
5.526212828052445e-09,0.6242410275735246,3.76,0.0,0.8476201411755838,0.9999999982991131,4.7462850666987995e-16,1.0442338112558024e-30,1.3705567531741065e-21,1.7379326351428804e-09,1.7007489676646203e-09,6.81197299988297e-14,6.816294254509845e-14,3.6980908555121896e-11,1.1881127888366773e-13,1.722260335676154e-14,5.2434763857770156e-14,1.4108850760575539e-15,2.762470193099194e-21
7.117762230465401e-09,0.6242410275747101,3.76,0.0,0.8476201406749897,0.9999999978092017,9.996616105565016e-16,2.2094615616784548e-30,2.272246968816595e-21,2.2384704053040688e-09,2.190570645121898e-09,1.120940384685499e-13,1.1284435680816487e-13,4.7562922678460274e-11,1.9678617897432446e-13,2.859190683146689e-14,8.67101750895674e-14,2.3006578165568353e-15,5.83419974040294e-21
8.709311632878357e-09,0.6242410275758942,3.76,0.0,0.8476201401743758,0.9999999973192655,1.8116519094811388e-15,4.0225394320733885e-30,3.400943039806828e-21,2.739014574952452e-09,2.6803949606250473e-09,1.6653828684436158e-13,1.6865561320598098e-13,5.811445690146058e-11,2.94252534349823e-13,4.28502289358767e-14,1.2945752549900478e-13,3.387773081967515e-15,1.0593610917042802e-20
9.999999999999999e-09,0.6242410275770768,3.76,0.0,0.8476201397683814,0.9999999969219274,2.7246192685720456e-15,6.07235240481604e-30,4.48296954898036e-21,3.14494248778499e-09,3.0776264975677155e-09,2.1821470849700395e-13,2.2205556085583954e-13,6.664905528438481e-11,3.875677465554557e-13,5.6541599583665266e-14,1.7030128939480348e-13,4.407390642404791e-15,1.5952945505629336e-20
1.0300861035291313e-08,0.6242410275770768,3.76,0.0,0.8476201396737417,0.9999999968293051,2.9701879876162523e-15,6.624754175881483e-30,4.756647713742186e-21,3.239565410238589e-09,3.1702219023807164e-09,2.3122902626630765e-13,2.3555078671508364e-13,6.863560892097817e-11,4.1115688221474054e-13,6.000703448971126e-14,1.80617132736157e-13,4.6628285244103166e-15,1.7395239864309214e-20
1.1892410437704269e-08,0.624241027578258,3.76,0.0,0.8476201391730878,0.9999999963393206,4.537119520514337e-15,1.0165122490547391e-29,6.339364018793043e-21,3.740123183297357e-09,3.6600514581367454e-09,3.059382847476841e-13,3.134820817227182e-13,7.912647979951383e-11,5.474436839571271e-13,8.007172926715205e-14,2.4012713934617435e-13,6.11648545506095e-15,2.660859338159018e-20
1.507550924253018e-08,0.6242410275806164,3.76,0.0,0.8476201381717193,0.9999999953592803,9.116734350321588e-15,2.0605783119629e-29,1.0185843112669132e-20,4.74126049166699e-09,4.639718367892691e-09,4.846200476014722e-13,5.022818963896165e-13,1.0001773687042786e-10,8.779663156189976e-13,1.2895621403005325e-13,3.83978224448466e-13,9.52842544719156e-15,5.359639847468479e-20
1.8258608047356092e-08,0.6242410275829695,3.76,0.0,0.8476201371702705,0.9999999943791466,1.6040347316590838e-14,3.656948500954622e-29,1.4940406754678818e-20,5.742428585610746e-09,5.619395592641928e-09,7.008449404599305e-13,7.346742407274656e-13,1.2078902327773157e-10,1.2853796426948699e-12,1.8957142249987743e-13,5.605223804438347e-13,1.3556415851440824e-14,9.451043245784443e-20
2.1441706852182004e-08,0.6242410275853175,3.76,0.0,0.8476201361687405,0.9999999933989214,2.582092856632082e-14,5.93780109822377e-29,2.060308469703805e-20,6.7436295856945616e-09,6.599083030334719e-09,9.528529777187393e-13,1.0102581856676547e-12,1.4144116732496391e-10,1.7692211649806035e-12,2.6198241513362845e-13,7.692495370351868e-13,1.813601068064389e-14,1.5246889114535912e-19
