Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520),CO3(1196),C2HO2(133),CO3(268),CH3O2(53),C2HO3(631),CO3(131),C2O2(813),C2HO3(230),C2HO2(812)
0.0,0.8160316757481225,3.76,0.0,0.6842958453714261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1564774766428204e-18,0.8160316757481225,3.76,0.0,0.6842958453714257,0.9999999999999998,1.2651285265424562e-38,1.906416100545096e-49,4.213678798295298e-33,3.443092168298347e-16,2.0514509769311156e-16,4.4412971170466096e-30,7.558898783103905e-28,1.3916411913264623e-16,4.7221610899429475e-21,1.7833215563292416e-29,6.385761385245136e-22,4.005842334516187e-30,1.3733404990779488e-34,3.9300779668893776e-43,2.2214229326768486e-36,5.517319691926184e-42,1.2646665525362872e-41,1.0186852569789091e-29,4.912676232664081e-59,2.7029271275048775e-58,4.006163136223952e-68,3.2608217936859656e-87,4.722159416294975e-21,1.29691535939414e-30,9.023906705689038e-47,1.9783899126155405e-48,1.706583873869748e-45,3.384639320650372e-40,1.4111334704201787e-41,3.86046354563759e-74,4.0589777017900116e-71,1.2645421389874012e-84,2.1082542703282568e-88,5.153175185873102e-63,6.424592143524603e-45,-1.2783705631375838e-89,3.4459321475887356e-91,7.661268468728705e-72,1.3188725309149924e-46,-5.728360439395852e-91,3.134228806459825e-90,2.0917693255437572e-76,7.685347339083891e-42,2.0477480904570366e-57,1.314498377268275e-88,5.6931879451837844e-101,6.416503410976969e-80,9.324552527826357e-59,3.280055648453087e-113,-5.245203804170766e-95,3.655103759491331e-108,-4.439857831477936e-94,3.463842417838979e-102,3.724638547885193e-46,3.7183942724660973e-69,7.273709216192751e-65,-1.2367195087748131e-95,8.339055065821218e-109,2.1664149485155796e-74,4.241453010860277e-72,3.9633257073029114e-99,1.5798633366663005e-71,5.27138993090333e-62,7.805273918722793e-101,1.5614917543016932e-62,3.2733368557844627e-100,5.380534775207026e-94,2.806550122281722e-102
8.838136934599898e-18,0.8160316757481225,3.76,0.0,0.6842958453714251,0.9999999999999994,1.5019664258383786e-37,2.2632971985715137e-48,2.545061993678714e-32,9.640658071289035e-16,5.74406273540573e-16,2.6825434580275334e-29,4.565574864935975e-27,3.8965953356370635e-16,1.3222056469396989e-20,1.0771262201253248e-28,1.7880155920676412e-21,2.419528769086016e-29,8.294976645464569e-34,4.6661162871611114e-42,1.3417400384926265e-35,6.550161934568936e-41,1.5014127873212222e-40,6.152858952129771e-29,1.0993157006877942e-57,7.605372303407711e-57,1.7821441223085255e-66,2.64339770021192e-85,1.3222046360563244e-20,7.833368765961367e-30,1.0713182054103612e-45,2.348744504497406e-47,2.0260563527584265e-44,4.018243777098806e-39,1.675297876136788e-40,2.3485390014480493e-72,2.0427828350820076e-69,1.1671585219017063e-82,2.014378832076088e-86,1.1527471027272487e-61,7.627275774330915e-44,1.1633995166167617e-87,3.927776108093599e-89,4.66072346529361e-70,1.5657996237870028e-45,5.2051637047125544e-89,2.870625645183121e-88,1.272532991993919e-74,9.124044356539068e-41,4.58103793523061e-56,1.4983044150544789e-86,1.1737605686923276e-98,3.905979221428827e-78,2.085865085169328e-57,5.2307974289902494e-111,4.780817224608184e-93,3.8948041383927507e-106,4.042417193300944e-92,7.141381837580188e-100,4.421890841788198e-45,1.1710586654394573e-67,1.6271335597529868e-63,1.1245803022529516e-93,8.885911661457752e-107,1.317948791214982e-72,1.7502474873407018e-70,4.223258936588958e-97,6.519350226675644e-70,1.6574089629491357e-60,8.31717983948986e-99,3.492994575913702e-61,3.488063906811669e-98,4.151870194443255e-92,2.9906166744784394e-100
2.020145585051405e-17,0.8160316757481226,3.76,0.0,0.6842958453714238,0.9999999999999987,1.4746421020685137e-36,2.2221186186711176e-47,1.2253377938068024e-31,2.203578987748507e-15,1.3129286252349378e-15,1.2915292006342274e-28,2.1981277660384354e-26,8.906503623950144e-16,3.022186889853202e-20,5.18589908734238e-28,4.086904115949905e-21,1.1648989494345922e-28,3.9936742168748385e-33,4.5813642474621406e-41,6.459906527704901e-35,6.430987821482917e-40,1.4740962640685473e-39,2.9623367272603836e-28,2.1723952999503803e-56,1.640539326913198e-55,7.2933733732977675e-65,2.1738564664471673e-83,3.0221820228849036e-20,3.771429857949266e-29,1.0518265696790755e-44,2.306011282372379e-46,1.989194094253373e-43,3.94513551658036e-38,1.6448178552889877e-39,1.060243194452445e-70,1.0289190394280756e-67,1.1692675711106653e-80,1.977661165899715e-84,2.2776422915315158e-60,7.488504545261582e-43,1.1713811467437576e-85,3.5559815999496404e-87,2.104073345576667e-68,1.5373837027957958e-44,5.24133346508782e-87,2.8889150298990003e-86,5.744813960738687e-73,8.958040844706551e-40,9.051655341644824e-55,1.356478285575441e-84,2.1267376263262306e-96,1.7707383315862546e-76,4.121317836042319e-56,2.3974594357574645e-108,4.8258415874277e-91,8.863665092361459e-104,4.076995677299985e-90,1.293948387660613e-97,4.3414385604055207e-44,2.6216980435388126e-66,3.215088320541916e-62,1.1330506484103596e-91,2.0222263200398796e-104,5.949809513117125e-71,6.923805208306132e-69,9.611152692047916e-95,2.5789900522235896e-68,3.697587938279423e-59,1.8927961954273587e-96,6.901568580829908e-60,7.938016199027583e-96,4.524947257018023e-90,6.805946371283858e-98
4.292809368234236e-17,0.8160316757481226,3.76,0.0,0.6842958453714214,0.9999999999999972,1.304305255585475e-35,1.965438767521686e-46,5.351372066214498e-31,4.6826053490735766e-15,2.7899733286214364e-15,5.640447328285621e-28,9.599801453630757e-26,1.892632019934382e-15,6.422158043770987e-20,2.2648183781263166e-27,8.684719630898463e-21,5.087419749927162e-28,1.74414248043961e-32,4.052221827124522e-40,2.8212159736298658e-34,5.688135885592963e-39,1.303821563363744e-38,1.2937302763277771e-27,3.8659327572947004e-55,3.031892603336999e-54,2.642918491246025e-63,1.581848924215729e-81,6.42213678844176e-20,1.6470824990226844e-28,9.30328694264025e-44,2.0396408642715163e-45,1.7594195654334148e-42,3.489427595321279e-37,1.4548235952155145e-38,4.0032769304233724e-69,4.057483601395202e-66,9.231033008145605e-79,1.54902488803077e-82,4.052970854609002e-59,6.623497396103603e-42,9.226096814167699e-84,2.6951587502103285e-85,7.94458049934007e-67,1.3599271740651265e-43,4.128338295111832e-85,2.2847031964859677e-84,2.1691310910321625e-71,7.923285663848099e-39,1.610717754075986e-53,1.0281055496291693e-82,3.2272755343055217e-94,6.741566533556644e-75,7.333664623785252e-55,8.21150366601405e-106,3.8202568902725804e-89,1.497921137039611e-101,3.2217912800990513e-88,1.96353969564345e-95,3.839953082207826e-43,4.9444985425065174e-65,5.721602006541081e-61,8.935135505946219e-90,3.4174755886364883e-102,2.246501976716646e-69,2.4710570411805906e-67,1.624242479890205e-92,9.204231837058482e-67,6.925172612002413e-58,3.198742141299639e-94,1.2280972249723167e-58,1.341489420098885e-93,3.7017480488120864e-88,1.1501749918389923e-95
8.838136934599898e-17,0.8160316757481231,3.76,0.0,0.6842958453714164,0.9999999999999942,1.0963475603879377e-34,1.6520697341868695e-45,2.2340924919976864e-30,9.64065807206717e-15,5.744062735385507e-15,2.354775722130896e-27,4.007728133981598e-25,3.896595334520122e-15,1.3222135023969663e-19,9.455170905951257e-27,1.7880504529531595e-20,2.123897592342778e-27,7.281451743617868e-32,3.4061592227832544e-39,1.1778063695512018e-33,4.781220924373791e-38,1.0959406255681976e-37,5.401069232183192e-27,6.52068041274452e-54,5.20540304232511e-53,8.995102140169273e-62,1.0790579232757665e-79,1.3222046287154275e-19,6.876245168836803e-28,7.819973323479435e-43,1.7144410435063683e-44,1.478898016371261e-41,2.9330739931258005e-36,1.2228682863874992e-37,1.3889227878934211e-67,1.4348506856268284e-64,6.533631336283166e-77,1.092665124010922e-80,6.836021491231578e-58,5.567448540055011e-41,6.531820923886699e-82,1.874059645114841e-83,2.7563439650241524e-65,1.1433172390000211e-42,2.9228025139215444e-83,1.6182971188442145e-82,7.525721248825527e-70,6.659998986125203e-38,2.7167301567926634e-52,7.148859869574845e-81,4.490810910022151e-92,2.3774521500803855e-73,1.2369296407069952e-53,2.422921817428218e-103,2.7319122170031354e-87,2.1932894695900287e-99,2.2959476648315055e-86,2.7323077296000744e-93,3.2277116722344584e-42,8.659131041238095e-64,9.652086858585697e-60,6.34107233928438e-88,5.003944405095359e-100,7.79392958864774e-68,8.349144213419281e-66,2.3782487788814852e-90,3.1099015915441814e-65,1.1961512660028462e-56,4.683662894217102e-92,2.071365374353276e-57,1.964235846473012e-91,2.6642618770498513e-86,1.6841096270656116e-93
1.792879206733122e-16,0.8160316757481236,3.76,0.0,0.6842958453714065,0.9999999999999883,8.988521286780541e-34,1.3544666204872518e-44,9.126996766191067e-30,1.9556763519428164e-14,1.1652241548877943e-14,9.620027128437219e-27,1.6372877113210917e-24,7.904521961719623e-15,2.682222767381937e-19,3.8627458359733255e-26,3.6272689801741305e-20,8.676814616651609e-27,2.974710807289609e-31,2.792584120403312e-38,4.811757936469579e-33,3.91993374468623e-37,8.985183487722462e-37,2.2065130137565048e-26,1.0710413424056754e-52,8.624028326298021e-52,2.96797567986907e-60,7.128539921536277e-78,2.6821865154974514e-19,2.809170488614001e-27,6.411286729753994e-42,1.4056023487826895e-43,1.2124897132627103e-40,2.404711015020751e-35,1.0025835913027754e-36,4.6256928150931823e-66,4.821738022939739e-63,4.3930022927441925e-75,7.335115308782077e-79,1.1228493025565955e-56,4.564530492296173e-40,4.393808982628891e-80,1.2496333727457152e-81,9.179775736441353e-64,9.377156020779569e-42,1.9661358169562704e-81,1.0884676616386548e-80,2.506379008227835e-68,5.460269502910026e-37,4.462252809534341e-51,4.766899941653341e-79,5.990831523103443e-90,8.174136651135807e-72,2.0316603561192082e-52,6.652116440173245e-101,1.8743722187490683e-85,2.999146138280448e-97,1.5646027494772076e-84,3.644973301295032e-91,2.6462725997050507e-41,1.4781902888815211e-62,1.5859392515453758e-58,4.285929062427078e-86,6.842490816364699e-98,2.5955510199756046e-66,2.745016578016197e-64,3.25205376409826e-88,1.022467391966645e-63,1.9874229654572273e-55,6.404511693450506e-90,3.4022235252566214e-56,2.685926235256448e-89,1.8060413343793028e-84,2.302877482786267e-91
3.611010233279386e-16,0.8160316757481249,3.76,0.0,0.6842958453713867,0.9999999999999766,7.279138217755407e-33,1.0968822486270954e-43,3.689277996723839e-29,3.938897441964538e-14,2.3468599175719997e-14,3.888568743276387e-26,6.618178706037484e-24,1.5920375208230708e-14,5.402296773132767e-19,1.561383631955772e-25,7.305952224592922e-20,3.507307150852418e-26,1.2024258170494471e-30,2.261510612340621e-37,1.9450174684286918e-32,3.174463915531614e-36,7.276434486545629e-36,8.919078391551898e-26,1.7362180078669251e-51,1.4039590072620347e-50,9.643615402627819e-59,4.634976798735469e-76,5.40215023721958e-19,1.1355116026537099e-26,5.192026438315444e-41,1.1382932233566495e-42,9.819052302534647e-40,1.9473969158607723e-34,8.119218910659848e-36,1.5099031515571817e-64,1.5807701955693912e-61,2.8810476142295835e-73,4.806888555309e-77,1.8202866425598365e-55,3.696474825265342e-39,2.8825166469589714e-78,8.16250262051113e-80,2.9964313745295005e-62,7.599614827537076e-41,1.2898947856598868e-79,7.139654204786803e-79,8.181237693998293e-67,4.4218677358257696e-36,7.233516370905745e-50,3.1137005722892696e-77,7.827479982563967e-88,2.8354257170387265e-70,3.2934080374841273e-51,1.7630714827302346e-98,1.2777779104531796e-83,3.966679988988997e-95,1.0528999511021999e-82,4.762489354501176e-89,2.143019448932258e-40,2.538495192858062e-61,2.5727598268432995e-57,2.8385268596609406e-84,9.049902321991803e-96,8.471312267056622e-65,8.903399551712727e-63,4.301151518171146e-86,3.316347109887549e-62,3.240000233378864e-54,8.470576447034476e-88,5.515149902112197e-55,3.552394399521143e-87,1.1893339604958243e-82,3.0457758520164137e-89
7.247272286371915e-16,0.8160316757481273,3.76,0.0,0.684295845371347,0.9999999999999529,5.858883959002751e-32,8.828663608041192e-43,1.4834424369115076e-28,7.905339624206078e-14,4.710131442883282e-14,1.5635763625553262e-25,2.661140547554138e-23,3.195208166970121e-14,1.084266668775754e-18,6.278254952663982e-25,1.466430347333369e-19,1.4102727414384982e-25,4.834902509574525e-30,1.820261920649405e-36,7.821054682634838e-32,2.555084631434534e-35,5.856707329124418e-35,3.5863221928023707e-25,2.79613561596657e-50,2.2658212705527345e-49,3.1095589046148145e-57,2.989893082726683e-74,1.0842077473296177e-18,4.565842022737289e-26,4.1789949289692206e-40,9.161974131871948e-42,7.903221487153764e-39,1.5674337968583963e-33,6.535113379309194e-35,4.879745837287833e-63,5.119762564919077e-60,1.8664196033081225e-71,3.112860922752854e-75,2.9318360739352047e-54,2.9752440250292376e-38,1.867796520791163e-76,5.2774145769612925e-78,9.68394637118748e-61,6.126088637840235e-40,8.358536275930067e-78,4.625639846834614e-77,2.644034371423136e-65,3.5591037273763957e-35,1.1649364900087047e-48,2.0131443124308207e-75,1.0122203716696171e-85,1.0244624022969297e-68,5.303929054444326e-50,4.592130437393711e-96,8.90312282857019e-82,5.160817040530955e-93,7.165337547367258e-81,6.158809056802747e-87,1.7248873455244256e-39,4.515290149099433e-60,4.149418510724486e-56,1.87399184890094e-82,1.1774309427151414e-93,2.7371364910111464e-63,2.8683513921850875e-61,5.595913581889456e-84,1.0684045160845007e-60,5.232606466946804e-53,1.102044319464275e-85,8.881975531785008e-54,4.62176218627955e-85,7.7220838709666265e-81,3.9626376164551337e-87
1.4519796392556972e-15,0.816031675748132,3.76,0.0,0.6842958453712676,0.9999999999999056,4.7013854918369185e-31,7.084448148697036e-42,5.94926750115651e-28,1.5838223997481537e-13,9.436674493277339e-14,6.270640327356076e-25,1.0672363801154537e-22,6.401549446643551e-14,2.1724294129496054e-18,2.5178610704926747e-24,2.9384945010394265e-19,5.65582414649312e-25,1.9390131021716318e-29,1.4606461267668934e-35,3.1367731922024643e-31,2.0502943427826993e-34,4.6996384637312715e-34,1.4382756007653082e-24,4.488421561368472e-49,3.6409819548848005e-48,9.988533707926373e-56,1.9210935333630682e-72,2.1721931115978787e-18,1.8311067110612208e-25,3.3533808168325024e-39,7.351907203837012e-41,6.34182781581302e-38,1.2577658480592402e-32,5.2441126408309124e-34,1.5692529644572014e-61,1.6481958431174693e-58,1.201772160870862e-69,2.003972061431577e-73,4.707275279214615e-53,2.3874451527047554e-37,1.2029151917375578e-74,3.3947418629924843e-76,3.1142107034636495e-59,4.9306574036607184e-39,5.3835788495480916e-76,2.978534207632656e-75,8.502816891025212e-64,2.8559564037659512e-34,1.8699818323783908e-47,1.2949733139731764e-73,1.3022341592825882e-83,3.989789773522585e-67,8.513970952145489e-49,1.1857640103819318e-93,6.536752437835434e-80,6.659909777253014e-91,5.0561629373321605e-79,7.923735621544197e-85,1.3841116268631383e-38,8.594372293255994e-59,6.680217012634578e-55,1.2515893491790706e-80,1.5194479760935144e-91,8.798073532506573e-62,9.209691650396311e-60,7.221223608813943e-82,3.430417179247057e-59,8.411253842399256e-52,1.422127479517767e-83,1.4257526992760243e-52,5.9641385194086816e-83,4.979684028827336e-79,5.113573179173607e-85
