Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199)
2.216023411248711e-14,0.7975851763899419,3.76,0.0,0.8949041319181615,0.9999999999993389,3.9629368443221816e-28,8.849719820308016e-40,9.914761130743802e-27,9.233343165057747e-13,6.610980727845052e-13,6.963230375394888e-23,5.256813179473237e-21,2.6223620997832843e-13,5.610329800037433e-18,1.6221801792427806e-22,6.436814396502561e-19,3.135078616896376e-23,6.968073630696042e-28,5.013056345794064e-33,1.6590788591016686e-29,2.973218897862237e-33,2.804064518045284e-31,1.222812897366865e-22,6.8148271979673216e-46,5.097350489879128e-45,5.492931143037022e-52,2.426845949765623e-68,5.595988972994303e-18,7.31933313284235e-24,1.6278578595128317e-36,2.5130210914502967e-38,3.474292114707734e-35,7.643853998611532e-30,3.1937321397351085e-31,2.5037602876174274e-57,3.04989105338e-54,1.379559253393373e-64,1.465685568021923e-68,1.013570883851729e-49,2.856772002183286e-41,1.126601782865832e-72
4.4325278347421036e-14,0.7975851763899787,3.76,0.0,0.8949041319172379,0.9999999999986776,3.170951429304977e-27,7.081142357458296e-39,3.9665465147964646e-26,1.846869081269758e-12,1.3223396436859345e-12,2.7857434000523328e-22,2.1030674638708567e-20,5.245293025900923e-13,1.1250546615637929e-17,6.489778737428094e-22,1.2977564575194514e-18,1.2542339826036684e-22,2.7877155880362662e-27,4.011205860420168e-32,6.647913594377534e-29,2.3790264834628818e-32,2.2436723358892833e-30,4.892047797050805e-22,1.0905591068111623e-44,8.157994681546731e-44,1.7582372219196045e-50,1.5536942832288688e-66,1.1193173972951336e-17,2.9282022067020915e-23,1.3025568023178633e-35,2.010795499715272e-37,2.779865720880987e-34,6.116085300774776e-29,2.556908213380752e-30,8.014475216911783e-56,9.763259427230432e-53,8.83227901161008e-63,9.383704151868892e-67,1.6224370384684246e-48,4.5716197036249085e-40,1.4426209422221992e-70
8.865536681728889e-14,0.7975851763900527,3.76,0.0,0.8949041319153909,0.9999999999973551,2.5370017621651632e-26,5.665486851921676e-38,1.5867448984905512e-25,3.6939386959876e-12,2.6448227840246992e-12,1.1143863151875382e-21,8.412953622079689e-20,1.0491153719440725e-12,2.2616997254291407e-17,2.596124146367513e-21,2.6366713936784377e-18,5.017331380370929e-22,1.115202913213032e-26,3.2092679035734583e-31,2.6677968111303814e-28,1.903401307181729e-31,1.7950997974121843e-29,1.9569783474603272e-21,1.7449593972408236e-43,1.3054565560454919e-42,5.627152100011621e-49,9.945576601741732e-65,2.238748803522049e-17,1.1713700877974311e-22,1.042181480793401e-34,1.6087840390980504e-36,2.223950398614281e-33,4.89307799214744e-28,2.04802045947005e-29,2.5650091034358765e-54,3.1248238592665983e-51,5.6534487394782344e-61,6.006439866480649e-65,2.5974230823776384e-47,7.314869777033969e-39,1.8469181987757964e-68
1.773155437570246e-13,0.7975851763902007,3.76,0.0,0.8949041319116967,0.9999999999947101,2.0296973606892673e-25,4.532660771644672e-37,6.347215155414051e-25,7.38807826618279e-12,5.289789058845848e-12,4.45771276743095e-21,3.3653176739680386e-19,2.098287047174062e-12,4.569396640945308e-17,1.0384930161317335e-20,5.437560740571941e-18,2.00700392446375e-21,4.4612005702256565e-26,2.567533806167154e-30,1.0738943828894197e-27,1.5227923858317533e-30,1.4361344082376287e-28,7.828231664718154e-21,2.79171624565554e-42,2.088868160138592e-41,1.8008117490795524e-47,6.366161061295615e-63,4.4775892411459895e-17,4.685622029607068e-22,8.338441008992873e-34,1.2870801665668807e-35,1.778999472648507e-32,3.914240531329076e-27,1.6421732263507836e-28,8.208544085920222e-53,1.0000387780337344e-49,3.618201588270141e-59,3.844153575186321e-63,4.16011950612258e-46,1.17028962595705e-37,2.364282980544424e-66
3.5463589763649604e-13,0.7975851763904966,3.76,0.0,0.8949041319043084,0.9999999999894201,1.623795787279147e-24,3.6263044813184115e-36,2.538919549227036e-24,1.4776358769611146e-11,1.057972158506259e-11,1.7831102809519332e-20,1.3461538886545995e-18,4.196628543723908e-12,9.322417501555459e-17,4.154065387502779e-20,1.1531576315807885e-17,8.028096681772691e-21,1.7846824558859279e-25,2.05407194478147e-29,4.349523925170074e-27,1.218261306371259e-29,1.1489130281397103e-27,3.131356167001117e-20,4.465705236235944e-41,3.3422856312608283e-40,5.771262786999062e-46,4.266144899306677e-61,8.955180618898805e-17,1.874247758082832e-21,6.671859897033205e-33,1.0296755116133173e-34,1.4228410017270541e-31,3.130814602945886e-26,1.319654640636464e-27,2.6267432960588886e-51,3.5708550610876216e-48,2.5792208507638287e-57,2.7403443494177847e-61,6.66925960313743e-45,1.872034127814506e-36,3.0308408332838636e-64
7.092766053954389e-13,0.7975851763910886,3.76,0.0,0.8949041318895318,0.9999999999788403,1.2990510172239253e-23,2.9012216781682525e-35,1.0155636165350618e-23,2.955292522861948e-11,2.115958654379355e-11,7.132424849771329e-20,5.384665781654274e-18,8.39330412119707e-12,1.9378966368576266e-16,1.6616501046193141e-19,2.568854685727575e-17,3.2112054605636784e-20,7.14012982507748e-25,1.6432708846930568e-28,1.782914936947004e-26,9.74618181777779e-29,9.191065008745421e-27,1.2525550431401209e-19,7.1415278914285686e-40,5.3476906485293264e-39,1.8469006577003756e-44,2.7332102455786335e-59,1.7910005399019585e-16,7.49675381669065e-21,5.33906724780554e-32,8.237292913744363e-34,1.1376589995378172e-30,2.5036385310427867e-25,1.0651464414224732e-26,8.405203058036833e-50,1.1464127871260412e-46,1.6580161279768456e-55,1.761661798705074e-59,1.0712222256931236e-43,2.993767506914112e-35,3.879750173011508e-62
1e-12,0.7975851763922726,3.76,0.0,0.8949041318774184,0.9999999999701672,5.0262948605459965e-23,1.1226378964367429e-34,2.264315510260348e-23,4.166630262075611e-11,2.9832629805559844e-11,1.590260231416833e-19,1.2005967442243806e-17,1.1833595750071227e-11,2.8525585566821033e-16,3.70494048506332e-19,4.052211346492965e-17,7.159685396724035e-20,1.5924425648494116e-24,6.3581201898311145e-28,4.1165855523402994e-26,3.77098679898249e-28,3.555987964311288e-26,2.7927733012633487e-19,5.1001495571592445e-39,3.8226254317838435e-38,2.5314084286342406e-43,7.335644829662417e-58,2.5250304678110145e-16,1.6714196043172737e-20,2.0667889627125707e-31,3.187044927570115e-33,4.39773407290089e-30,9.680272223731678e-25,4.1829146312547534e-26,1.1519220130393086e-48,1.5715143424398446e-45,4.444715023911608e-54,4.722927030975454e-58,7.711542133916151e-43,2.1380390308433245e-34,2.0583973454301397e-60
1.4185580209133245e-12,0.7975851763922726,3.76,0.0,0.8949041318599784,0.9999999999576805,1.039245333102013e-22,2.321220955857652e-34,4.062158858781918e-23,5.910607995524026e-11,4.231931608644298e-11,2.8529133892576974e-19,2.153873628837018e-17,1.6786625613749265e-11,4.169408490576308e-16,6.646690594142639e-19,6.187818042620948e-17,1.2844360171326161e-19,2.8571283600766958e-24,1.314614630223737e-27,7.476399631187304e-26,7.796952840529843e-28,7.35233840325804e-26,5.010244333381354e-19,1.1414722656617596e-38,8.556192387624159e-38,5.910007508826694e-43,1.7503358642079652e-57,3.5818223174475436e-16,2.998466016060954e-20,4.273698236989278e-31,6.589539304828803e-33,9.091303961185007e-30,2.001255937701542e-24,8.671603561767963e-26,2.6893474653621888e-48,3.6689922805501565e-45,1.0605118906961299e-53,1.1268954143768435e-57,1.727169178337121e-42,4.7851835654451905e-34,4.9660398995002616e-60
2.8371208519490956e-12,0.7975851763946403,3.76,0.0,0.8949041318008716,0.999999999915361,8.313960971192181e-22,1.8573499498776586e-33,1.6247746677644745e-22,1.1821247664287984e-10,8.463877367247306e-11,1.141111412380458e-18,8.615487313319099e-17,3.3573149950173176e-11,9.513234295272982e-16,2.6587280895052397e-18,1.6575969689077696e-16,5.137335579751584e-19,1.1437037632840853e-23,1.0516790217709735e-26,3.266331861499496e-25,6.2375185703996985e-27,5.880996744268364e-25,2.0041017719508658e-18,1.8225985355366669e-37,1.3689370732667564e-36,1.8911240554345198e-41,1.121555253903703e-55,7.16289325201193e-16,1.1991888814333835e-19,3.4228185829914e-30,5.271113042675986e-32,7.257077245804088e-29,1.5983485304287768e-23,7.17733158423288e-25,8.603755986908115e-47,1.1741273414215587e-43,6.776952563092227e-52,7.202294965052521e-56,2.805701773031827e-41,7.64075484025856e-33,6.3562862855881156e-58
4.255683682984867e-12,0.7975851763970079,3.76,0.0,0.8949041317417649,0.9999999998730413,2.3772717285095607e-21,5.3116164753958956e-33,3.452512156776947e-22,1.7731896056489868e-10,1.269582297592154e-10,2.42478007812274e-18,1.8307881484690687e-16,5.035955563881255e-11,1.5737855973433004e-15,5.649867636783868e-18,3.0114294207166525e-16,1.0916227406807995e-18,2.4318346253077256e-23,3.0071604716936884e-26,7.4063625486568105e-25,1.7835317113288895e-26,1.6814524950883448e-24,4.258717903889028e-18,6.702076616386312e-37,5.185600191011167e-36,8.82583440635857e-41,6.149780918069391e-55,1.0743391659447485e-15,2.547983732333594e-19,9.793426925986234e-30,1.5072091336042945e-31,2.072452065414778e-28,4.5659178786157053e-23,2.091622761577186e-24,4.024748344399373e-46,5.263516061699263e-43,3.666247461419887e-51,3.896569097552561e-55,1.0411401438301457e-40,2.8095572744975084e-32,4.1997256017442376e-57
