Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19)
2.9013629927670457e-16,0.8756565971377258,3.76,0.0,0.6347290429792541,0.9999999999999392,6.121260115988886e-34,4.6525608868713574e-42,8.182144742303762e-28,1.4024633691781708e-13,6.08498221180778e-14,8.011858405378692e-26,6.422068349016235e-25,7.939651464900805e-14,7.572799782349349e-23,6.422068354139896e-25
5.805246717934411e-16,0.8756565971377386,3.76,0.0,0.6347290429791138,0.9999999999998782,4.900730079450296e-33,3.7248786696953074e-41,3.274990226881991e-27,2.806145213679299e-13,1.2175251114967319e-13,3.2068312526282836e-25,2.5705009780495837e-24,1.5886200961493904e-13,3.0310934391062158e-22,2.570500982151425e-24
1.1613014168269142e-15,0.8756565971377643,3.76,0.0,0.634729042978833,0.9999999999997564,3.9220734930015026e-32,2.981036609435068e-40,1.3104226791860622e-26,5.613508907186236e-13,2.4355788920071425e-13,1.283150162084186e-24,1.0285352137811624e-23,3.1779299910385277e-13,1.2128321919153708e-21,1.0285352170638012e-23
2.3228549068938604e-15,0.8756565971378162,3.76,0.0,0.6347290429782716,0.9999999999995128,3.1382546905306955e-31,2.38528478293903e-39,5.242544022361738e-26,1.1228236312218837e-12,4.87168645254198e-13,5.133435800830558e-24,4.1148105914631235e-23,6.356549763098876e-13,4.852118501105186e-21,4.1148106177288976e-23
4.645961887027753e-15,0.875656597137919,3.76,0.0,0.6347290429771486,0.9999999999990256,2.510842131584387e-30,1.9084131304918801e-38,2.0971882879911195e-25,2.245769119435894e-12,9.743901571667713e-13,2.053541131866293e-23,1.6460581900490125e-22,1.271378923634786e-12,1.9410053491072846e-20,1.646058211063497e-22
9.292175847295537e-15,0.8756565971381254,3.76,0.0,0.6347290429749027,0.9999999999980511,2.008769054413089e-29,1.526809568527291e-37,8.389094568362902e-25,4.491660124693873e-12,1.9488331802143423e-12,8.214496315509491e-23,6.584500649915524e-22,2.542826789935899e-12,7.764337230829436e-20,6.584500818038862e-22
1.8584603767831103e-14,0.875656597138538,3.76,0.0,0.634729042970411,0.9999999999961022,1.6070533720291126e-28,1.2214871830197996e-36,3.355706148761516e-24,8.983442250529663e-12,3.897719223199179e-12,3.2858634074643624e-22,2.6338538174660035e-21,5.085722409143392e-12,3.1057980009935496e-19,2.6338539519676587e-21
3.716945960890224e-14,0.8756565971393637,3.76,0.0,0.6347290429614274,0.9999999999922045,1.2856579297413573e-27,9.77218200681797e-36,1.3422961534464338e-23,1.7967006963480536e-11,7.795491296727636e-12,1.314357157328517e-21,1.0535522214633129e-20,1.0171513193979497e-11,1.242331774767733e-18,1.0535523290658302e-20
7.433917129104451e-14,0.8756565971410147,3.76,0.0,0.6347290429434602,0.9999999999844089,1.0285324055048778e-26,7.818061708106945e-35,5.369212238087025e-23,3.59341382344991e-11,1.5591035394019676e-11,5.2574427619297175e-21,4.214230137954915e-20,2.0343092949336512e-11,4.969351868127871e-18,4.214230998779806e-20
1.4867859465532906e-13,0.8756565971443171,3.76,0.0,0.634729042907526,0.9999999999688178,8.228282992148685e-26,6.254899463998769e-34,2.147690609144033e-22,7.186840815700097e-11,3.118212338954421e-11,2.1029723664164467e-20,1.6856961960537642e-19,4.068624520279244e-11,1.9877453972369497e-17,1.6856968847155527e-19
