Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603)
0.0,0.5430863500374519,3.76,0.0,0.8428201222995777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5430863500374519,3.76,0.0,0.8428201222995777,1.0,7.313559972880872e-38,6.73629150909781e-55,1.3391946453470513e-38,1.3008697319380353e-17,1.2979107928442952e-17,3.4910112801753204e-28,2.801898233467183e-29,2.95893912581958e-20,2.339961749671417e-26,2.078684472199109e-29,5.708503915366177e-27,9.625994712639307e-31,2.1031268015436698e-38,7.57111734931131e-46,4.442231567627258e-39,8.574329545980178e-44,1.110505606332432e-41,5.166768388558343e-30,4.059076541891397e-64,1.0393450476385417e-62,2.763605656794355e-72,2.0642240794072886e-94,2.3383369396066387e-26,2.933699966905231e-33,5.862600901326357e-47,1.7742448191647414e-51,2.3501983948944658e-45,3.078323657163234e-40,1.2911021239343382e-41,2.6638429578824656e-78,2.6430566957846774e-73,7.475677754264659e-88,6.522103265244473e-93
3.0000000000000002e-15,0.5430863500374519,3.76,0.0,0.8428201222995777,1.0,6.179212139551321e-37,5.691478457231059e-54,6.723303362617139e-38,3.2123517869415174e-17,3.205045019065632e-17,1.7526301476706596e-27,1.406667274054812e-28,7.306768036938957e-20,5.782416853270393e-26,1.043584449726377e-28,1.4117414562404813e-26,4.8326421998818874e-30,1.0558678876178642e-37,6.397035413996885e-45,2.237486314898006e-38,7.244433508853658e-43,9.38263790414109e-41,2.593928619557663e-29,5.193162327747121e-63,3.646908823632079e-61,1.4898498594094764e-70,1.6011083969781686e-92,5.774259643563871e-26,1.4728368469808637e-32,4.953353710066268e-46,1.4990781499955573e-50,1.985676948749844e-44,2.600865875529551e-39,1.0908807706480968e-40,1.2290953892167601e-76,1.2858159764690204e-71,4.9552623228039156e-86,4.323181524766634e-91
7e-15,0.5430863500374519,3.76,0.0,0.8428201222995777,1.0,9.656884293438604e-36,8.894649551631914e-53,4.137837066193735e-37,8.415830713929175e-17,8.396688190452632e-17,1.0786512250066373e-26,8.657293656428672e-28,1.9142524467730731e-19,1.517780246329446e-25,6.42271081011285e-28,3.713071059203122e-26,2.974235788490555e-29,6.498311817392856e-37,9.99702929591592e-44,1.3773856051104296e-37,1.132161447730208e-41,1.4663194089410626e-39,1.5964259877967278e-28,2.200403192118839e-61,8.519907776440129e-60,9.225618559837628e-69,3.312041926450895e-90,1.512759914842182e-25,9.06452594520889e-32,7.741547814527364e-45,2.3427550188314363e-49,3.1032126826391252e-43,4.064609977490727e-38,1.7050824643703394e-39,9.224962398082147e-75,9.405441454098077e-70,1.0690520219980525e-83,9.326805969308954e-89
1.5e-14,0.5430863500374519,3.76,0.0,0.8428201222995776,0.9999999999999999,9.546135989453317e-35,8.792636361013162e-52,1.9639687026732376e-36,1.8822788565668084e-16,1.877997453325537e-16,5.1196747332081945e-26,4.109069452711276e-27,4.28140371172641e-19,3.4072537381135574e-25,3.0484544258120813e-27,8.368176461137879e-26,1.4116814443401318e-28,3.084381429571859e-36,9.882371784780896e-43,6.564619757268423e-37,1.119177428843659e-40,1.4495014594813837e-38,7.577224008027789e-28,4.4696337188623357e-60,1.8122573497176782e-58,3.9472160707695225e-67,2.2363905878518124e-88,3.3834254013405107e-25,4.302351371531377e-31,7.653484613418876e-44,2.3159151189328642e-48,3.0676123927158076e-42,4.017949274747905e-37,1.685942587274274e-38,4.117067530509061e-73,4.012569973629308e-68,9.186190262202387e-82,8.014298440544267e-87
3.1e-14,0.5430863500374519,3.76,0.0,0.8428201222995774,0.9999999999999997,8.375399061570958e-34,7.71429732915964e-51,8.49266890962468e-36,3.9636704260200293e-16,3.954654721897577e-16,2.213870947525015e-25,1.7768608589713364e-26,9.015706156813013e-19,7.227786200054189e-25,1.3182253456274942e-26,1.7888172040203418e-25,6.104450860684311e-28,1.333801833022149e-35,8.670401763198826e-42,2.8636747219879384e-36,9.819216087818655e-40,1.271731793166198e-37,3.276574712207766e-27,7.90553699973085e-59,3.32254825512753e-57,1.4537591849311826e-65,1.7612267047690605e-86,7.1247467164692e-25,1.8604359392603354e-30,6.71611111313932e-43,2.031946185397602e-47,2.691380589204991e-41,3.525107868818437e-36,1.4798984879178779e-37,1.5283594623233764e-71,1.5027465785406413e-66,6.89233296898401e-80,6.01295967432742e-85
6.300000000000001e-14,0.5430863500374519,3.76,0.0,0.8428201222995769,0.9999999999999992,7.000082369959842e-33,6.447520849513391e-50,3.526335509958319e-35,8.126453561348223e-16,8.107969259087625e-16,9.192472485988349e-25,7.377912047910444e-26,1.8484310707705942e-18,1.5035193031466827e-24,5.473558128038364e-26,3.776730222838358e-25,2.5347000260419447e-27,5.538576221176344e-35,7.246644716942825e-41,1.2099418548567766e-35,8.206810852092371e-39,1.0628968791675377e-36,1.3605050163965772e-26,1.325914400760761e-57,5.67742780260941e-56,4.9798957723519956e-64,1.2447521479662812e-84,1.460735071545527e-24,7.724895040548163e-30,5.615349820810155e-42,1.6983746741361383e-46,2.2493976917254848e-40,2.9461185191950993e-35,1.2380872775203893e-36,5.249594732977245e-70,5.1858515553464664e-65,4.762368634392225e-78,4.154597732707006e-83
1.2700000000000001e-13,0.5430863500374519,3.76,0.0,0.8428201222995761,0.9999999999999984,5.721076171418503e-32,5.269444269272817e-49,1.4365758991860488e-34,1.6452019817691632e-15,1.6414598333651604e-15,3.744884992153118e-24,3.005658608308441e-25,3.742151845237087e-18,3.131537427675147e-24,2.2298515917923344e-25,8.088211815906025e-25,1.0326010793289453e-26,2.2566172598643654e-34,5.922589200119325e-40,5.099421690127067e-35,6.707318573744298e-38,8.686836269106696e-36,5.542508437937752e-26,2.1705923976344896e-56,9.382008070892616e-55,1.6478020009791537e-62,8.359003579292958e-83,2.9572404189946745e-24,3.1469829716319756e-29,4.592760039015971e-41,1.3882110256284379e-45,1.8383483220796823e-39,2.4076043853297873e-34,1.0138361017272478e-35,1.7390896078065744e-68,1.721852914254578e-63,3.16417726075418e-76,2.760162418554934e-81
2.55e-13,0.5430863500374519,3.76,0.0,0.8428201222995745,0.9999999999999968,4.625508735727285e-31,4.2603134473129554e-48,5.798552640151006e-34,3.310315227312657e-15,3.3027856483515077e-15,1.5115827021427057e-23,1.2132020647174731e-24,7.529592851321802e-18,6.653720671582925e-24,9.000560295626218e-25,1.805379677106405e-24,4.1679809160885755e-26,9.110843232379693e-34,4.7884331022793516e-39,2.19581355269679e-34,5.422887199439366e-37,7.023203629391692e-35,2.2371748602661234e-25,3.511928595157313e-55,1.5253276462244367e-53,5.361140625706582e-61,5.477960792671649e-81,5.950189305784317e-24,1.270220568859093e-28,3.718771139914316e-40,1.1226182066516148e-44,1.4862214889198227e-38,1.946200481009922e-33,8.228638356429771e-35,5.6612208787098354e-67,5.61136459802055e-62,2.062739295082656e-74,1.7990942607157082e-79
5.11e-13,0.5430863500374519,3.76,0.0,0.8428201222995712,0.9999999999999934,3.719916346824309e-30,3.4261403132071714e-47,2.3298694680257915e-33,6.6405416954989176e-15,6.625437278618409e-15,6.073635163841632e-23,4.874724220354551e-24,1.510447269209905e-17,1.4762674833738828e-23,3.6164848333367046e-24,4.335545013584204e-24,1.674718995004018e-25,3.662602323890449e-33,3.850943323525938e-38,9.927801889103701e-34,4.361179493144463e-36,5.6479731975033886e-34,8.989116219373546e-25,5.648614748619973e-54,2.4600131287477952e-52,1.7297709413966907e-59,3.54722134926523e-79,1.1935839857197481e-23,5.103622786360627e-28,2.9995620872023064e-39,9.032236898114753e-44,1.1951024131114745e-37,1.564597479188867e-32,6.668642181867242e-34,1.8270148104533606e-65,1.8119739648843307e-60,1.332077412550222e-72,1.1614769536034e-77
