Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16)
0.0,0.8351122447245657,3.76,0.0,0.6851668098220961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0620019255486966e-18,0.8351122447245657,3.76,0.0,0.685166809822096,0.9999999999999998,9.550573097692513e-40,2.7043235964463286e-50,1.3845044246421299e-33,1.823109085619199e-16,9.964364987809647e-17,7.178600233375703e-31,1.6236880767384834e-28,8.266725868293373e-17,3.6795866204288496e-28,3.526621059862749e-30,4.386843718728205e-22,8.342284316638317e-31,3.790770506088754e-44,4.0330038615118296e-44,5.274368932739634e-44,2.256585273815994e-44
2.9736053915363507e-18,0.8351122447245658,3.76,0.0,0.6851668098220955,0.9999999999999997,1.1338495771202616e-38,3.210572976703457e-49,8.362406724555587e-33,5.104705439745511e-16,2.790022196586442e-16,4.335874540557915e-30,9.807075983454808e-28,2.3146832431053325e-16,2.222470318725557e-27,2.1300791202338432e-29,1.2283167585748267e-21,5.038739726535028e-30,5.728612388555327e-43,4.787982184573515e-43,7.97062633119186e-43,2.6790180370837904e-43
6.796812323511659e-18,0.8351122447245657,3.76,0.0,0.6851668098220949,0.9999999999999993,1.1132226655852567e-37,3.152159592980104e-48,4.0261388664350074e-32,1.1667898148045161e-15,6.377193592196363e-16,2.0875369472641402e-29,4.7216849270870614e-27,5.290704555590078e-16,1.070023789200508e-26,1.025541404323202e-28,2.8075836013025584e-21,2.425936278206589e-29,6.162579795487463e-42,4.700869301537737e-42,8.574436086694297e-42,2.6302757951887413e-42
1.4443226187462274e-17,0.8351122447245658,3.76,0.0,0.6851668098220935,0.9999999999999987,9.846338047711214e-37,2.7880494735336875e-47,1.7583206188570552e-31,2.479428356483254e-15,1.3551536383412064e-15,9.116822290171494e-29,2.062083857387142e-26,1.1242747180290586e-15,4.673075007735892e-26,4.478808747215203e-28,5.966125564052895e-21,1.0594701071054754e-28,5.664472549971664e-41,4.1578656622201433e-41,7.881384009069566e-41,2.326449153953487e-41
2.9736053915363506e-17,0.835112244724566,3.76,0.0,0.6851668098220909,0.9999999999999972,8.276444236991224e-36,2.343523592921059e-46,7.340642455506532e-31,5.104705439915965e-15,2.7900221965826908e-15,3.8060938381417122e-28,8.608794182230837e-26,2.3146832428615675e-15,1.9509168259635042e-25,1.8698144870097904e-27,1.2283242598733053e-20,4.423079134713193e-28,4.846075522283971e-40,3.494936620404561e-40,6.742689951656962e-40,1.9555206930333967e-40
6.032170937116596e-17,0.8351122447245666,3.76,0.0,0.6851668098220857,0.9999999999999943,6.785530547538985e-35,1.921362260445822e-45,2.998891960610859e-30,1.0355259607082325e-14,5.659759313059036e-15,1.5549135202137847e-27,3.5169733211996295e-25,4.6955002920962115e-15,7.970131801723057e-25,7.638802289569187e-27,2.4917609104811255e-20,1.806972143681126e-27,4.006828952665579e-39,2.8653601984009797e-39,5.5749864432846384e-39,1.6032540118282098e-39
1.214930202827709e-16,0.835112244724567,3.76,0.0,0.6851668098220751,0.9999999999999886,5.495099170035941e-34,1.5559690205427307e-44,1.2122000772383423e-29,2.0856367942618794e-14,1.1399233545985233e-14,6.2852090381715286e-27,1.4216168477688578e-24,9.457134388844013e-15,3.2216547050348034e-24,3.087726023176645e-26,5.018687186383879e-20,7.304070279438028e-27,3.2582867555819425e-38,2.3204429810868236e-38,4.533486389323318e-38,1.2983566661005378e-38
2.4383564210598077e-16,0.8351122447245686,3.76,0.0,0.6851668098220541,0.9999999999999771,4.422934115899699e-33,1.2523793102055612e-43,4.874203184838445e-29,4.185858461850673e-14,2.2878182011731648e-14,2.5272548949598774e-26,5.7162588180846914e-24,1.8980402575453664e-14,1.2954131870071724e-23,1.2415610566565111e-25,1.0072751636937512e-19,2.9369345064974875e-26,2.627926299864261e-37,1.8676943898910423e-37,3.656421010902886e-37,1.045030399603988e-37
4.885208857524005e-16,0.8351122447245714,3.76,0.0,0.6851668098220122,0.9999999999999541,3.5491261761154977e-32,1.0049556466810406e-42,1.9547734721698849e-28,8.386301798954264e-14,4.583607894280058e-14,1.0135422343352195e-25,2.2924754505218133e-23,3.802693892112915e-14,5.195186263314991e-23,4.979215163407913e-25,2.0181728133034642e-19,1.17784207193532e-25,2.1108933038710815e-36,1.4987071322031614e-36,2.9370362024137464e-36,8.385710823663344e-37
9.778913730452399e-16,0.8351122447245771,3.76,0.0,0.6851668098219281,0.9999999999999082,2.843619885868596e-31,8.051876376660295e-42,7.829289860748312e-28,1.678718848086545e-13,9.175187280324284e-14,4.059455443178164e-25,9.181859278892895e-23,7.612001150230485e-14,2.080784296653766e-22,1.9942832297958366e-24,4.040307150516727e-19,4.7175116969171e-25,1.692142238482084e-35,1.2007894853454169e-35,2.3543980512018734e-35,6.718773184778852e-36
1.956632347630919e-15,0.835112244724589,3.76,0.0,0.6851668098217601,0.9999999999998164,2.2766249614219e-30,6.446400125796415e-41,3.1337562583068694e-27,3.3588961875503854e-13,1.8358346051734485e-13,1.624840019929588e-24,3.675136563816207e-22,1.523061562239552e-13,8.328559839465354e-22,7.98233032812722e-24,8.085931976901732e-19,1.888233951741377e-24,1.3550861452936329e-34,9.613617391898857e-35,1.8854279463002618e-34,5.379103859815268e-35
3.914114296802277e-15,0.8351122447246124,3.76,0.0,0.6851668098214241,0.9999999999996327,1.8219918795051294e-29,5.159084317422365e-40,1.2539106477106899e-26,6.719250878804477e-13,3.6724663591841906e-13,6.501475875945068e-24,1.4705333267680422e-21,3.0467844390445173e-13,3.3325087589150674e-21,3.193972003449286e-23,1.6182606237370698e-18,7.555394176766612e-24,1.0846180864000353e-33,7.693816000217172e-34,1.5091065378615869e-33,4.30491792374981e-34
7.829078195144992e-15,0.835112244724659,3.76,0.0,0.6851668098207521,0.9999999999992654,1.4578703165405664e-28,4.128059339448259e-39,5.016458718221542e-26,1.3439960310618304e-12,7.345729866120479e-13,2.6010131762498666e-23,5.8830908011446815e-21,6.094230122142281e-13,1.3332204858792133e-20,1.2777968807817367e-22,3.2397653188024794e-18,3.0226487132225316e-23,8.679141269702302e-33,6.156222259303648e-33,1.2075909859231903e-32,3.444588432827465e-33
1.5659005991830423e-14,0.8351122447247527,3.76,0.0,0.6851668098194079,0.9999999999985307,1.1664069736601033e-27,3.3027739093559657e-38,2.0067465022378883e-25,2.688137937146853e-12,1.469225687565228e-12,1.0404895267655534e-22,2.3534277970710338e-20,1.218912120628916e-12,5.3333158332827456e-20,5.111604314263841e-22,6.491454079956024e-18,1.2091571395846673e-22,6.944190732485357e-32,4.925446240534731e-32,9.661951197575589e-32,2.755932443285755e-32
3.131886158520129e-14,0.8351122447249395,3.76,0.0,0.6851668098167196,0.9999999999970615,9.33169842942114e-27,2.642365149448297e-37,8.027310273230262e-25,5.376421828205929e-12,2.9385310877352766e-12,4.162124106116562e-22,9.414093868426842e-20,2.4378902246388435e-12,2.133413029741932e-19,2.04472556906174e-21,1.302954907944414e-17,4.836819384226393e-22,5.5557020589470025e-31,3.9405453348315876e-31,7.730050533332461e-31,2.2048506894949353e-31
6.263857277194301e-14,0.8351122447253133,3.76,0.0,0.685166809811343,0.9999999999941228,7.465535379956712e-26,2.1139752338870128e-36,3.210987541512542e-24,1.0752989925880196e-11,5.877141881130125e-12,1.6648808272604081e-21,3.7657138553850655e-19,4.875845981380992e-12,8.533824837994791e-19,8.179073823238671e-21,2.6244608931865458e-17,1.934762327814731e-21,4.444698824325799e-30,3.152513141504475e-30,6.184236616877589e-30,1.7639225274060594e-30
1.2527799514542646e-13,0.8351122447260612,3.76,0.0,0.6851668098005899,0.9999999999882456,5.972498280490213e-25,1.6912529597330108e-35,1.2844065657290885e-23,2.1506127383453162e-11,1.1754363440138818e-11,6.65956955455828e-21,1.506300620390735e-18,9.751755689755183e-12,3.413563937775448e-18,3.271666924819978e-20,5.323020760825652e-17,7.739089726411212e-21,3.5558097451056103e-29,2.5220437185381666e-29,4.9474683373889915e-29,1.4111549416618354e-29
2.505568398923933e-13,0.8351122447275569,3.76,0.0,0.6851668097790836,0.9999999999764911,4.778025528807581e-24,1.3530947191842427e-34,5.137640261827351e-23,4.30124073474966e-11,2.3508806447032117e-11,2.6638241713546565e-20,6.0252311701514675e-18,1.9503567886068836e-11,1.3654319424273404e-17,1.3086767176886713e-19,1.0942331730938127e-16,3.09562098700543e-20,2.8446613728237462e-28,2.0176521857856605e-28,3.9580071942769116e-28,1.1289309279606192e-28
5.011145293863271e-13,0.8351122447305481,3.76,0.0,0.685166809736071,0.9999999999529822,3.8224294466339196e-23,1.0826139026034075e-33,2.0550516250213276e-22,8.602498747117174e-11,4.7017692016321703e-11,1.0655186189704961e-19,2.410097031373455e-17,3.900716339700288e-11,5.4617370385456765e-17,5.234746514710262e-19,2.3069715780226216e-16,1.2382270253742642e-19,2.275723812809061e-27,1.6141349189312485e-27,3.1664202157301018e-27,9.031478629003264e-28
1e-12,0.8351122447365306,3.76,0.0,0.6851668096504285,0.9999999999061735,3.0460378081898713e-22,8.629350432188426e-33,8.192705342837247e-22,1.7166742563068804e-10,9.382623746954165e-11,4.2477459677905165e-19,9.608213857049805e-17,7.78406616925858e-11,2.1774026617160112e-16,2.086934012814193e-18,5.075575914587746e-16,4.936189184676805e-19,1.813471171650526e-26,1.2862952861397741e-26,2.523281086046952e-26,7.197068234567195e-27
