Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002)
0.0,0.86563265643029,3.76,0.0,0.5810925726971649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6722943073592765e-19,0.86563265643029,3.76,0.0,0.5810925726971646,1.0,8.482326662796489e-40,1.2579125345395912e-49,5.538037457074371e-33,2.879670505765833e-16,1.2648400408823992e-16,5.765519995537332e-31,2.3989666957517037e-28,1.6148304648713399e-16,9.677953060220193e-21,4.5619223752899674e-30,1.4084466414018777e-21,1.208931789606015e-30,7.646426497573288e-35,8.608556505612843e-44,7.505651843254598e-37,5.141481764121364e-43,1.1555953399054791e-42,2.007605557800126e-30,9.800985902671219e-60,6.858450440103148e-59,2.1447804347120877e-69,4.17136833575152e-88,9.677952571473461e-21,5.345248628399342e-31,8.76151402277009e-48,3.9511392758059566e-49,1.3701452807676474e-46,2.84399903510164e-41,1.2153274411069081e-42,2.365022797433048e-75,2.474659519647142e-72,4.5955404747465405e-86,1.0676329997522088e-89,6.374406651727711e-64,4.347782690415574e-46,-8.483568435982409e-91,2.7540335231864875e-92,5.678060197649291e-77,9.84625352442262e-48,-8.196119084154769e-101,2.3149565097498108e-91,2.153492502887667e-77,5.8844725084956406e-43,3.604524247867085e-58,9.023709297504432e-90,7.835750162063771e-103
1.8682424060605975e-18,0.8656326564302901,3.76,0.0,0.581092572697164,0.9999999999999997,1.0070301461172468e-38,1.493393762364751e-48,3.344974623944472e-32,8.063077416160005e-16,3.541552114470189e-16,3.4823740770521026e-30,1.4489758842295223e-27,4.521525301616767e-16,2.7098270150135393e-20,2.7554011147610416e-29,3.943651362284704e-21,7.301948008419641e-30,4.6184416101430335e-34,1.0221186088217419e-42,4.5334142471344854e-36,6.10396714970672e-42,1.3719252022815514e-41,1.212593756909308e-29,2.193306023259372e-58,1.8757464031241503e-57,9.840464535115116e-68,3.4862080358003174e-86,2.7098267198105117e-20,3.228530171160539e-30,1.0401669445579112e-46,4.690792549723118e-48,1.6266364737214417e-45,3.376395650246806e-40,1.4428367763490943e-41,1.438834292304197e-73,1.2225290926250757e-70,4.159746271329779e-84,9.920294007219406e-88,1.4259320209436932e-62,5.161687607063011e-45,9.698108444294799e-89,3.1427342685793134e-90,3.454241198882021e-75,1.1689546920556448e-46,1.2885878567146216e-97,2.0816885211422855e-89,1.3101237099810624e-75,6.986045761215944e-42,8.064011497737203e-57,1.0297304022076751e-87,1.6173376118464337e-100
4.270268356709937e-18,0.8656326564302902,3.76,0.0,0.581092572697163,0.9999999999999992,9.88711816898975e-38,1.4662228543098854e-47,1.6104612923245556e-31,1.8429891237011048e-15,8.094976261643663e-16,1.6766132143235875e-29,6.976195151178352e-27,1.0334914975015687e-15,6.193891065604122e-20,1.3266070268631743e-28,9.01406386948814e-21,3.515573642973184e-29,2.223580833732955e-33,1.0035706545887287e-41,2.1826443414759088e-35,5.992911142219453e-41,1.346965356918614e-40,5.83811696205323e-29,4.3343857601177654e-57,4.0081421012059807e-56,4.07861320308337e-66,2.8957299915395424e-84,6.193889644328616e-20,1.5543983005495248e-29,1.0212420737954801e-45,4.605447944161723e-47,1.597041328084443e-44,3.3149652622142865e-39,1.4165857839818222e-40,6.49559633158289e-72,6.225909593228376e-69,4.21483317315971e-82,9.897850317469597e-86,2.8174051115503604e-61,5.067775494653452e-44,9.652903632042404e-87,2.8453287024431e-88,1.5594096861003696e-73,1.1477024790788283e-45,3.161358734534742e-95,2.1174994914813193e-87,5.914511188470529e-74,6.85894115312854e-41,1.593393283662336e-55,9.322841917835208e-86,2.93055333148482e-98
9.074320258008617e-18,0.8656326564302902,3.76,0.0,0.5810925726971609,0.9999999999999983,8.745058539483648e-37,1.2968575149827564e-46,7.03330756849351e-31,3.916351887896394e-15,1.7201824555982185e-15,7.322210390419511e-29,3.046687703534807e-26,2.19616943214458e-15,1.3162021697215456e-19,5.793641417949732e-28,1.9154901145646164e-20,1.535343371558462e-28,9.710961736236352e-33,8.876661576410475e-41,9.532185886134459e-35,5.300662035253605e-40,1.1913760240677267e-39,2.5496590583756318e-28,7.71344615412045e-56,7.379039565003206e-55,1.4861271168235108e-64,2.115775540975261e-82,1.3162015490131923e-19,6.788465751980743e-29,9.032770482244361e-45,4.073466556452658e-46,1.4125649551857193e-43,2.9320492177179823e-38,1.2529542278015512e-39,2.452614509805846e-70,2.4650427390111087e-67,3.341981864467249e-80,7.801813603423783e-84,5.013428767162258e-60,4.4823900229914365e-43,7.573249854730808e-85,2.1565568329875462e-86,5.888034964519976e-72,1.0151580067250807e-44,5.430577896481112e-93,1.6814664418492295e-85,2.2332043536673238e-72,6.066655771462516e-40,2.835423541285214e-54,7.066051292727143e-84,4.447089214080485e-96
1.8682424060605973e-17,0.8656326564302909,3.76,0.0,0.5810925726971568,0.9999999999999966,7.35075437551316e-36,1.0900868909192215e-45,2.9362674579489858e-30,8.063077416387292e-15,3.5415521144625524e-15,3.056878698112283e-28,1.2719321420246815e-25,4.52152530128351e-15,2.7098293082158807e-19,2.4187312445770666e-27,3.943662474496679e-20,6.40975633732035e-28,4.05413540455079e-32,7.461445351915373e-40,3.979503817463417e-34,4.455525825305137e-39,1.0014234998347575e-38,1.064432466718148e-27,1.3010371237431755e-54,1.2646659073010608e-53,5.071098086420274e-63,1.4459952304923716e-80,2.709826716880694e-19,2.8340508172995335e-28,7.592587841291323e-44,3.423994093622911e-45,1.1873459353993042e-42,2.46456400992277e-37,1.0531837671953582e-38,8.509260538224018e-69,8.732042084074919e-66,2.3698098856978145e-78,5.518335513493746e-82,8.455898850368518e-59,3.7677188795772913e-42,5.352080356403851e-83,1.499552510927408e-84,2.0428333441367742e-70,8.53348847536222e-44,7.999487806926879e-91,1.1930810629536293e-83,7.748019401141457e-71,5.099389713544548e-39,4.782408496130273e-53,4.9133484069990875e-82,6.188239437639705e-94
3.789863166580069e-17,0.8656326564302914,3.76,0.0,0.5810925726971484,0.9999999999999929,6.026594836369196e-35,8.937191066478191e-45,1.1995610638350409e-29,1.6356528473770365e-14,7.184291432177738e-15,1.2488346901317393e-27,5.196257821133706e-25,9.172237038972999e-15,5.497087633892822e-19,9.881306351918915e-27,8.000026813162632e-20,2.618594604100257e-27,1.6562466288911312e-31,6.117374119680561e-39,1.625760303855486e-33,3.6529092562746576e-38,8.210275536048501e-38,4.34855394218472e-27,2.1369990068725507e-53,2.0934591643497053e-52,1.675341053649571e-61,9.561291727840059e-79,5.497077047443052e-19,1.1578022292679353e-27,6.224862213699802e-43,2.8071972403075124e-44,9.734578967755508e-42,2.0205984340910336e-36,8.634640808275252e-38,2.833939264025137e-67,2.9366771969320218e-64,1.5947540847251546e-76,3.7091927341524804e-80,1.388889614791056e-57,3.089003542294983e-41,3.597097923104438e-81,9.999119228696397e-83,6.803491205111051e-69,6.997046332754578e-43,1.0967501922130901e-88,8.031122197876968e-82,2.580413352701377e-69,4.18078776979545e-38,7.855162076564675e-52,3.2762545695104024e-80,8.255282762247792e-92
7.633104687619013e-17,0.865632656430293,3.76,0.0,0.5810925726971319,0.9999999999999856,4.880493659848274e-34,7.237569251688032e-44,4.8488176069872136e-29,3.2943430590141647e-14,1.4469770067554183e-14,5.04798947652642e-27,2.100410492094141e-24,1.8473660511998498e-14,1.1071620479999786e-18,3.99418202018615e-26,1.6112833965701807e-19,1.0584778027460118e-26,6.6948139514059685e-31,4.954020301660381e-38,6.571608520405145e-33,2.958220612716642e-37,6.648894237899775e-37,1.757755030729393e-26,3.464200788175809e-52,3.4066592267585817e-51,5.446943450580249e-60,6.219523008123514e-77,1.1071577687877195e-18,4.6800217079474885e-27,5.041054773161781e-42,2.2733411283110354e-43,7.883313826956158e-41,1.636332928327133e-35,6.992562437814299e-37,9.250450092732114e-66,9.631344645035118e-63,1.046316029240128e-74,2.432221134005054e-78,2.251468069443646e-56,2.50155510589131e-40,2.3587891104289883e-79,6.531349861620285e-81,2.2207749666218446e-67,5.667647883217507e-42,1.4523617649504633e-86,5.2699457555441895e-80,8.422898132244728e-68,3.385710314805458e-37,1.2733589611120134e-50,2.140025068427622e-78,1.0786252307769254e-89
1.53195877296969e-16,0.8656326564302961,3.76,0.0,0.5810925726970987,0.999999999999971,3.928246254238356e-33,5.8254257321044e-43,1.94968822879073e-28,6.611723482930467e-14,2.9040727338091354e-14,2.029774356615347e-26,8.44565820751007e-24,3.707650744863557e-14,2.2220750951226015e-18,1.6060430266796808e-25,3.2338762171608907e-19,4.2560926594753766e-26,2.691955459212853e-30,3.9874313787825455e-37,2.64243533786282e-32,2.3810332906505296e-36,5.351608594488041e-36,7.06785566890523e-26,5.579014860327842e-51,5.4968101072820465e-50,1.756895817280617e-58,4.0129250906371446e-75,2.2220578885983183e-18,1.8818161296783575e-26,4.057479382212728e-41,1.8297827510513376e-42,6.34517582338093e-40,1.3170629839259772e-34,5.628232961113888e-36,2.989585655277209e-64,3.1199621761758765e-61,6.779697786582427e-73,1.575541697936452e-76,3.625978152883708e-55,2.0134690983282027e-39,1.5280358842034484e-77,4.22280648279796e-79,7.177174669545685e-66,4.56384176419485e-41,1.8907056854081251e-84,3.414942943562248e-78,2.722135081383229e-66,2.7251141866761388e-36,2.0507080209868363e-49,1.3836209594562368e-76,1.3948599044732585e-87
3.0692553813852675e-16,0.865632656430302,3.76,0.0,0.5810925726970323,0.9999999999999419,3.152170371049564e-32,4.6745378296741966e-42,7.8191217758836075e-28,1.3246484333331276e-13,5.818264187830285e-14,8.14030292833428e-26,3.387086681070773e-23,7.428220128425401e-14,4.451927100972739e-18,6.440950884665545e-25,6.479187418673556e-19,1.7068834893227916e-25,1.0795947116132082e-29,3.1996645042050484e-36,1.0597511628195622e-31,1.9106292348760918e-35,4.294328851316147e-35,2.834526240174147e-25,8.955574125386787e-50,8.832003501823995e-49,5.644375312205725e-57,2.578703905752765e-73,4.451858095114598e-18,7.546924217686479e-26,3.2558715750716162e-40,1.4682854778395341e-41,5.091602424512965e-39,1.0568599150500907e-33,4.516319143297978e-35,9.614059339588118e-63,1.0044969439753392e-59,4.36583490020154e-71,1.0144417181038166e-74,5.820684746602682e-54,1.61568201712746e-38,9.838935260422768e-76,2.7163587436910406e-77,2.30808063914408e-64,3.6654465493678733e-40,2.4405837519424857e-82,2.199152005767007e-76,8.75397892295056e-65,2.1867324732780113e-35,3.291842672540604e-48,8.90026951668592e-75,1.7945605209125597e-85
6.143848598216421e-16,0.8656326564303143,3.76,0.0,0.5810925726968996,0.9999999999998836,2.525572209596207e-31,3.7453195646003504e-41,3.13172710982053e-27,2.6516006044405676e-13,1.1646647095527443e-13,3.2603670663413793e-25,1.356601366309521e-22,1.486935888048681e-13,8.911734759092374e-18,2.5797399579411165e-24,1.2970312063021786e-18,6.836436809842212e-25,4.32401135890497e-29,2.5636260379276143e-35,4.244663707272522e-31,1.5308283748741065e-34,3.440688751193901e-34,1.1352889766030064e-24,1.4352281291190478e-48,1.416096480622948e-47,1.8097783385419033e-55,1.6537176774044766e-71,8.911458375727485e-18,3.0227060415867217e-25,2.6086591528797253e-39,1.1764152191907526e-40,4.0794753655188246e-38,8.467737237484496e-33,3.6185778690486284e-34,3.084102899206779e-61,3.2241967996628036e-58,2.802747777108964e-69,6.511995282713835e-73,9.328871260120435e-53,1.294511518118493e-37,6.3162250809848956e-74,1.7428868261606451e-75,7.404169901449351e-63,2.9420271367013156e-39,3.137120185993204e-80,1.411820222141159e-74,2.808197425947224e-63,1.752046935963848e-34,5.27553330322963e-47,5.710647838129792e-73,2.30285825302333e-83
