Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7)
0.0,0.519155826511248,3.76,0.0,0.8693856785576767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.519155826511248,3.76,0.0,0.8693856785576767,1.0,1.2280287465647108e-38,9.531585447100937e-57,4.237207989272458e-40,3.847015095414443e-18,3.8435470452394224e-18,1.2752349783203308e-28,5.12969306132384e-30,3.4680503034715706e-21,1.4684878418803537e-30,4.4968911957191045e-30,4.519184251321129e-28
3.0000000000000002e-15,0.519155826511248,3.76,0.0,0.8693856785576767,1.0,1.0375589896891006e-37,8.053217092764361e-56,2.1272513578303414e-39,9.499771969976095e-18,9.49120800967643e-18,6.402200083549673e-28,2.575315287827173e-29,8.563960944548174e-21,7.372408343954278e-30,2.2576229267798812e-29,1.1175761126874962e-27
7e-15,0.519155826511248,3.76,0.0,0.8693856785576767,1.0,1.621499172494063e-36,1.2585583234060275e-54,1.3092107949073187e-38,2.4887832348777714e-17,2.4865396190664663e-17,3.9402157964844725e-27,1.5849704559916123e-28,2.243616208191563e-20,4.5373277250347567e-29,1.3894476060384456e-28,2.9390939415236612e-27
1.5e-14,0.519155826511248,3.76,0.0,0.8693856785576767,1.0,1.6029032919136944e-35,1.2441247798400146e-53,6.213995225050701e-38,5.566395309802562e-17,5.56137725527305e-17,1.8701710940044128e-26,7.522851764449074e-28,5.0180564132804415e-20,2.153582356667962e-28,6.594828596749239e-28,6.622628839351572e-27
3.1e-14,0.519155826511248,3.76,0.0,0.8693856785576766,0.9999999999999999,1.4063234322920878e-34,1.0915454944542914e-52,2.6870816527026943e-37,1.1721619456310016e-16,1.171105252772196e-16,8.087071409966073e-26,3.253062769762726e-27,1.0566936733919751e-19,9.312610288481745e-28,2.8517632028094273e-27,1.4151695589487756e-26
6.300000000000001e-14,0.5191558265112479,3.76,0.0,0.8693856785576765,0.9999999999999998,1.1753923366275295e-33,9.123038358892364e-52,1.1157346885061903e-36,2.403206773595641e-16,2.401040307276276e-16,3.3579276073524186e-25,1.3507422882987363e-26,2.166469701704459e-19,3.8667980720755204e-27,1.1841140464218954e-26,2.9857816858545895e-26
1.2700000000000001e-13,0.519155826511248,3.76,0.0,0.8693856785576762,0.9999999999999996,9.606328536444499e-33,7.45614108389182e-51,4.545348119994156e-36,4.865296424177513e-16,4.860910416341628e-16,1.3679729258826798e-24,5.502735961646264e-26,4.386021615067924e-19,1.5752797597753915e-26,4.823916124896919e-26,6.386201007871979e-26
2.55e-13,0.519155826511248,3.76,0.0,0.8693856785576758,0.9999999999999991,7.766747972053294e-32,6.028315387845727e-50,1.8346816492878904e-35,9.789475703951646e-16,9.780650634701098e-16,5.521676828569981e-24,2.2211207351688497e-25,8.825124868748933e-19,6.358449530012874e-26,1.9471226755714772e-25,1.422381961026155e-25
5.11e-13,0.519155826511248,3.76,0.0,0.8693856785576748,0.9999999999999981,6.246156831993823e-31,4.8480800237419374e-49,7.371871903703841e-35,1.963783417794151e-15,1.96201310723351e-15,2.2186453202616773e-23,8.9246065829468e-25,1.770332908392788e-18,2.5548666046194305e-25,7.823667366558434e-25,3.4046174132714856e-25
1e-12,0.5191558265112479,3.76,0.0,0.8693856785576729,0.9999999999999962,4.813042313078825e-30,3.735741854339363e-48,2.8557383006455536e-34,3.844973734241437e-15,3.841507613053024e-15,8.59464958471873e-23,3.4572390683560306e-24,3.4662077597477568e-18,9.897117658752913e-25,3.0307562108473846e-24,8.775323341932585e-25
1.023e-12,0.5191558265112479,3.76,0.0,0.8693856785576728,0.9999999999999961,5.010043974606897e-30,3.888648763531999e-48,2.95538385388958e-34,3.933455078368814e-15,3.929909195126335e-15,8.894543445828163e-23,3.5778728177045194e-24,3.5459728345558635e-18,1.0242458710378823e-24,3.136508681003633e-24,9.02793323223771e-25
2.047e-12,0.519155826511248,3.76,0.0,0.8693856785576689,0.9999999999999922,4.0132822210942994e-29,3.114995696028841e-47,1.1834811477075666e-33,7.872798262625272e-15,7.865701372376082e-15,3.561807448639594e-22,1.4327543991543875e-23,7.097249019395253e-18,4.101582222993193e-24,1.2560124436069586e-23,2.6909928427349694e-24
4.095e-12,0.519155826511248,3.76,0.0,0.869385678557661,0.9999999999999843,3.2127190423654926e-28,2.4936278319307722e-46,4.7365802672874856e-33,1.5751484083569754e-14,1.5737285732731947e-14,1.4255178281812538e-21,5.734216892461997e-23,1.4199786719159758e-17,1.6415513928499483e-23,5.026868214584023e-23,8.921524424099157e-24
8.191e-12,0.5191558265112479,3.76,0.0,0.8693856785576453,0.9999999999999686,2.5710026582975283e-27,1.9955549609371164e-45,1.8951631898098042e-32,3.150885353520922e-14,3.148045447686906e-14,5.703634412524646e-21,2.294317104628687e-22,2.840480343929378e-17,6.568031157340488e-23,2.0113109223730664e-22,3.199901471272489e-23
1e-11,0.519155826511248,3.76,0.0,0.8693856785576383,0.9999999999999616,6.545893315315435e-27,5.080813496355692e-45,3.1508969012661017e-32,3.8468099974141967e-14,3.843343112308395e-14,9.48279603748344e-21,3.814507650075562e-22,3.467840279148327e-17,1.0919977216390793e-22,3.3440040442085572e-22,5.156851365369707e-23
1.6383e-11,0.519155826511248,3.76,0.0,0.8693856785576137,0.999999999999937,2.057117085193527e-26,1.596705187754793e-44,7.581714082153632e-32,6.302358367768411e-14,6.296679205884382e-14,2.2817449797633777e-20,9.178452509991207e-22,5.681460216407887e-17,2.627568296261416e-22,8.04637010096695e-22,1.206188794581334e-22
3.2767e-11,0.519155826511248,3.76,0.0,0.8693856785575507,0.9999999999998741,1.6457939943446154e-25,1.277468831978591e-43,3.0328971808019598e-31,1.2605300892096925e-13,1.2593946759758808e-13,9.127390986394377e-20,3.671556490118532e-21,1.1363326076849265e-16,1.051091043518538e-21,3.2187725884600394e-21,4.677115511353323e-22
6.5535e-11,0.519155826511248,3.76,0.0,0.8693856785574247,0.9999999999997482,1.3166342691524206e-24,1.0220172427382677e-42,1.2132006044055551e-30,2.521117192532919e-13,2.518848201741961e-13,3.650901516753408e-19,1.4686086258796644e-20,2.2726682273089364e-16,4.204432078194792e-21,1.2875533531734201e-20,1.8412559105005218e-21
9.999999999999999e-11,0.5191558265112481,3.76,0.0,0.8693856785572921,0.9999999999996158,6.163158852427509e-24,4.784418852614435e-42,3.1272874228901265e-30,3.8469850491252853e-13,3.843526753951088e-13,9.410230534920792e-19,3.785385645954084e-20,3.467773782239754e-16,1.0837511880860208e-20,3.3189478610859245e-20,4.7147956961756136e-21
1.31071e-10,0.5191558265112481,3.76,0.0,0.8693856785571725,0.9999999999994963,1.0532413613110531e-23,8.176311509526155e-42,4.852881258292249e-30,5.042285794002159e-13,5.037755313234123e-13,1.4602399747846338e-18,5.874014074526036e-20,4.545189267435038e-16,1.6817387770853455e-20,5.150297309957228e-20,7.305358721874464e-21
2.62143e-10,0.519155826511248,3.76,0.0,0.8693856785566683,0.9999999999989925,8.424616023634119e-23,6.541126406514765e-41,1.9411645734501056e-29,1.0084600584170599e-12,1.00755697760203e-12,5.8398416700838585e-18,2.3492076415227165e-19,9.089630637068475e-16,6.726505969189223e-20,2.060131913587071e-19,2.909824575147921e-20
5.24287e-10,0.5191558265112483,3.76,0.0,0.8693856785556597,0.999999999997985,6.737486751651032e-22,5.232944442293529e-40,7.764652869183926e-29,2.0169140576893285e-12,2.0151199660494805e-12,2.3350119086483424e-17,9.393524791441513e-19,1.8176111220615154e-15,2.6902078163984057e-19,8.240523334358977e-19,1.1611575864250007e-19
9.999999999999999e-10,0.5191558265112484,3.76,0.0,0.8693856785538296,0.9999999999961565,4.949795113996317e-21,3.8470087051421566e-39,2.8900214627490574e-28,3.8469241506802905e-12,3.843545957480512e-12,8.684274100861382e-17,3.4938987670448165e-18,3.465664394491408e-15,1.0010165440183851e-18,3.0671425744981173e-18,4.3146207550213684e-19
1.0485750000000002e-09,0.5191558265112484,3.76,0.0,0.8693856785536428,0.9999999999959698,5.386421726609863e-21,4.1863927880321356e-39,3.1058364420348354e-28,4.033786271890005e-12,4.030246326261191e-12,9.332596536840114e-17,3.754743196216976e-18,3.6339469255727165e-15,1.0757605475615677e-18,3.2961842623636962e-18,4.636620518354659e-19
2.0971510000000003e-09,0.5191558265112485,3.76,0.0,0.8693856785496089,0.9999999999919392,4.303423317500554e-20,3.349160999811339e-38,1.24231078894779e-27,8.067387967397993e-12,8.060500578001636e-12,3.7270788278321766e-16,1.4997631104297978e-17,7.262781667504476e-15,4.300449792474741e-18,1.3184493758546587e-17,1.851077502045833e-18
3.1457270000000003e-09,0.519155826511249,3.76,0.0,0.869385678545575,0.9999999999879086,1.2295723820397928e-19,9.576608194775722e-38,2.6398744093305647e-27,1.2100847333365377e-11,1.2090756359111075e-11,7.911301773248536e-16,3.183865674118951e-17,1.088778392703436e-14,9.134647121532784e-18,2.801668042987539e-17,3.9290969021375616e-18
4.194303e-09,0.5191558265112493,3.76,0.0,0.8693856785415411,0.9999999999838778,2.5917318496120663e-19,2.02001137176976e-37,4.5032581137236346e-27,1.6134164772018794e-11,1.61210136676437e-11,1.3482040914337558e-15,5.426388520698662e-17,1.4508958081844964e-14,1.557665284950913e-17,4.7792576289430936e-17,6.6960046243722284e-18
