Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167)
0.0,0.709879716473641,3.76,0.0,0.7938487327017415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3252072572698524e-17,0.709879716473641,3.76,0.0,0.7938487327017413,0.9999999999999998,4.099642294138898e-37,6.379038260284624e-50,5.250369125098538e-34,2.795296004360229e-16,2.465234151447662e-16,1.1878707620610277e-28,1.7341331932247885e-27,3.30061852821959e-17,3.1931088227134203e-22,1.1118797650385928e-28,4.6498064361769884e-23,1.6125185925818497e-29,7.551147096511792e-35,1.1224697741146111e-42,3.307810633798034e-36,1.1690129193651522e-40,2.8939171684365783e-40,6.721558167703267e-29,7.569707851799179e-59,3.983942963674263e-58,1.0136108768641202e-66,6.464335417738736e-87,3.1930710585475315e-22,1.6768058110700875e-30,1.6732449740198025e-45,5.3619509763821614e-48,4.460691617124342e-44,8.072629666790145e-39,3.3393956294356313e-40,3.824554064568447e-73,8.540613305586726e-70,3.817005641743639e-83,3.1153060791926125e-87,2.268482265857801e-62,2.4322065693377746e-43,-4.478535056215975e-89,7.558279239179787e-91,2.253741407715245e-74,4.048017213935135e-45,-1.8212964743566567e-90,1.6130537059701233e-89,9.684374053884775e-76,3.1387625702496195e-40,4.3420574921492195e-57,4.040404528819002e-88,3.3451407434525045e-99,4.7370569183204194e-79,7.395261978191644e-59,9.325711645834983e-111,-2.3400933559165122e-94,3.4826286264918495e-107,-1.4517467458483655e-93
1.4910580320355587e-16,0.709879716473641,3.76,0.0,0.7938487327017406,0.9999999999999993,4.867098558408424e-36,7.57319419844246e-49,3.1712229401888594e-33,7.826828812325155e-16,6.902655624053489e-16,7.174739389502925e-28,1.0474164485389324e-26,9.241731877243955e-17,8.940826991653293e-22,6.715753784312867e-28,1.3019989073016508e-22,9.739612265319286e-29,4.560893076934008e-34,1.3326318514760392e-41,1.9979343910425263e-35,1.3878521228047321e-39,3.435658502044927e-39,4.059821133250179e-28,1.69394226974765e-57,1.1970238754827542e-56,4.305835894792912e-65,5.0103353405005166e-85,8.940598896091362e-22,1.0127906981113388e-29,1.9864767759896905e-44,6.365708251010646e-47,5.295732000264889e-43,9.58382492436861e-38,3.964539582030427e-39,2.326664368320887e-71,4.538496401989485e-68,3.7174552220357653e-81,3.165135959365474e-85,5.074966400521183e-61,2.887515550226555e-42,2.8072031025420126e-87,8.603919121501893e-89,1.371064446238701e-72,4.806524579836137e-44,1.1385731614488862e-88,1.559053579070944e-87,5.8914752933157526e-74,3.726338905622108e-39,9.713257744597667e-56,4.599369224663423e-86,6.887692920298277e-97,3.6553252508404064e-77,1.6542908654855327e-57,1.4871315626564535e-108,2.0378499971591706e-92,3.711021979628205e-105,1.3341582909103606e-91
3.4081326446527055e-16,0.709879716473641,3.76,0.0,0.7938487327017396,0.9999999999999984,4.778547638897042e-35,7.435406918186322e-48,1.526807324522662e-32,1.7889894428721065e-15,1.5777498569265286e-15,3.454328156054947e-27,5.042859323365049e-26,2.1123958568209103e-16,2.043675248175561e-21,3.2333463619518844e-27,2.976247855357627e-22,4.689204016413958e-28,2.1958739141209918e-33,1.3084015111515051e-40,9.61936005205759e-35,1.3626014121086965e-38,3.373149848006296e-38,1.954629115104181e-27,3.3475032023293946e-56,2.6355245493204695e-55,1.726854243362532e-63,4.107496485689841e-83,2.0435654299812126e-21,4.876151121966838e-29,1.950335404500335e-43,6.249890199505636e-46,5.1993787774075515e-42,9.409453989872696e-37,3.892427727033603e-38,1.0503674983119772e-69,2.2139542810465819e-66,3.610571947990242e-79,3.0006378764064764e-83,1.002913421362782e-59,2.834979701657212e-41,2.898451714056844e-85,7.789244864130122e-87,6.189685109175991e-71,4.720596348768732e-43,1.1759000165620468e-86,1.5209177044019627e-85,2.6596925168761007e-72,3.6585415967687867e-38,1.9192000321562412e-54,4.163872283719388e-84,1.2479296296667248e-94,3.983752023501099e-75,3.268601457262316e-56,6.816064807764444e-106,2.488841788512813e-90,8.445494666217858e-103,1.6629499555064428e-89
7.242281869886999e-16,0.709879716473641,3.76,0.0,0.7938487327017376,0.9999999999999967,4.226571830219667e-34,6.576533118524779e-47,6.667968612629856e-32,3.8016025663377105e-15,3.3527184459689445e-15,1.5085958471317e-26,2.20234915277841e-25,4.488841192180508e-16,4.34305600708482e-21,1.4120873069926593e-26,6.325595434219427e-22,2.047898560070419e-27,9.589960274914216e-33,1.1572725337037398e-39,4.201172220783294e-34,1.2052054612716827e-37,2.983512719690123e-37,8.536378872322363e-27,5.957156676881538e-55,4.910737827707007e-54,6.201660724476051e-62,2.988290212131288e-81,4.342576402178613e-21,2.1295431975465085e-28,1.7250508702568976e-42,5.527957256345289e-45,4.59878754941983e-41,8.322551666826934e-36,3.4428424989596357e-37,3.965987565872995e-68,8.626214704423689e-65,2.8158490375482704e-77,2.3171026440243214e-81,1.785289656084954e-58,2.5075071060424033e-40,2.3024330458844086e-83,5.903586349982978e-85,2.3371412252668873e-69,4.178021541626648e-42,9.342638523275379e-85,1.1882482651231912e-83,1.0042488425032796e-70,3.235938543683251e-37,3.415133356915374e-53,3.1558629841497406e-82,1.8936709918224534e-92,3.25895610869895e-73,5.816306939807596e-55,2.334568346452523e-103,2.620912606831712e-88,1.427277781816826e-100,1.7986916033705113e-87
1.4910580320355587e-15,0.7098797164736411,3.76,0.0,0.7938487327017336,0.9999999999999931,3.552688511461405e-33,5.527972188062715e-46,2.78374555150648e-31,7.826828814014612e-15,6.9026556240540036e-15,6.298090594275329e-26,9.194374166924127e-25,9.24173185156597e-16,8.942600168456658e-21,5.895186562777441e-26,1.3027689322922888e-21,8.549573105289345e-27,4.0036212916684346e-32,9.727597530448108e-39,1.7540276834226277e-33,1.0130477137753858e-36,2.507821990342562e-36,3.563770139921487e-26,1.00479750186534e-53,8.462508745420639e-53,2.101713925452564e-60,2.038716322432209e-79,8.940597912386438e-21,8.89042276768105e-28,1.4500113717548393e-41,4.646581411739955e-44,3.865551138902592e-40,6.995599706678504e-35,2.8939741929892565e-36,1.3759851409684766e-66,3.0347755902726943e-63,1.9825515134212952e-75,1.6243298798244074e-79,3.0133733761908565e-57,2.10771024778856e-39,1.6369691559338105e-81,4.1049956067292874e-83,8.108863764607533e-68,3.5164336528005434e-41,6.64403691889781e-83,8.372526068215109e-82,3.484203135811816e-69,2.7200012131880918e-36,5.760137055322703e-52,2.1943973410142305e-80,2.635021993929115e-90,2.345493806496071e-71,9.810069626665068e-54,6.888499123895212e-101,2.7823629885298514e-86,2.0899268856459734e-98,1.9606412904036965e-85
3.0247177221292764e-15,0.7098797164736413,3.76,0.0,0.7938487327017255,0.999999999999986,2.912708767185473e-32,4.532165316932988e-45,1.1372508196739316e-30,1.5877281312351184e-14,1.400252998022503e-14,2.5729754278288444e-25,3.756201841910461e-24,1.874751312500197e-15,1.8144819065398676e-20,2.408376087363782e-25,2.6445472024093014e-21,3.4927793721574136e-26,1.6356112850841211e-31,7.975281849392769e-38,7.166763758058936e-33,8.305575649061294e-36,2.0560636155495023e-35,1.455916384853581e-25,1.650408992419582e-52,1.4045129819178116e-51,6.920210932915964e-59,1.3469775357485641e-77,1.8136639196054537e-20,3.63202706826509e-27,1.1888104923819475e-40,3.809548590107782e-43,3.16920106473407e-39,5.735404733796058e-34,2.372749390977475e-35,4.582603774090222e-65,1.0173698569201832e-61,1.3297302452873237e-73,1.0872453692002728e-77,4.956771689794001e-56,1.7280272795735215e-38,1.104198547804697e-79,2.737223485406199e-81,2.700746796213278e-66,2.8904542204818805e-40,4.483688768403323e-81,5.617620288729927e-80,1.1603834401382044e-67,2.230021145302246e-35,9.461054552592496e-51,1.4632331563241427e-78,3.515050013506814e-88,1.58985129741628e-69,1.6113127438727845e-52,1.8912402879539706e-98,3.115807110559631e-84,2.858011110656483e-96,2.2417966195792852e-83
6.092037102316711e-15,0.7098797164736415,3.76,0.0,0.7938487327017094,0.9999999999999718,2.3587870998979283e-31,3.670264542492517e-44,4.5969490820250234e-30,3.197818632095539e-14,2.820227869257072e-14,1.0400377403210647e-24,1.518316832657533e-23,3.775907549053427e-15,3.65617791559567e-20,9.735041383277332e-25,5.333541712023628e-21,1.411837099567612e-25,6.611413259442477e-31,6.4585937101214905e-37,2.8977194747393785e-32,6.726067960574292e-35,1.6650530237739479e-34,5.885046806473468e-25,2.6753954570461196e-51,2.288480812861397e-50,2.2462035107002404e-57,8.758631618508667e-76,3.652871481640318e-20,1.4681228302710374e-26,9.6273533093284e-40,3.085071887715843e-42,2.566482877748353e-38,4.644662346631369e-33,1.921667036088831e-34,1.4958373833018555e-63,3.331495819537681e-60,8.710343347628841e-72,7.114904797699835e-76,8.058797211627232e-55,1.3993997964528493e-37,7.26441154998428e-78,1.7879241907821854e-79,8.816709683988328e-65,2.3528629154941255e-39,2.952371059934043e-79,3.680450877314185e-78,3.78767398347275e-66,1.805928641315796e-34,1.5336786099860422e-49,9.557708588972986e-77,4.5923782166087124e-86,1.0468284601972937e-67,2.6120263988020233e-51,5.0125604303471514e-96,3.675614823876708e-82,3.780556407697349e-94,2.681079937488823e-81
1.2226675862691582e-14,0.709879716473642,3.76,0.0,0.7938487327016772,0.9999999999999434,1.8985570623274747e-30,2.954147508559386e-43,1.8484125559196068e-29,6.417999638588808e-14,5.660177611727662e-14,4.181945480980246e-24,6.105085139020533e-23,7.57821994962401e-15,7.344578852281341e-20,3.914417462227112e-24,1.0733282607773591e-20,5.6769335363148025e-25,2.6584289859825945e-30,5.198439313888687e-36,1.1658027794465935e-31,5.413720565944585e-34,1.3401785643782175e-33,2.366351435812289e-24,4.30862007806315e-50,3.694920599700488e-49,7.239092814128602e-56,5.650161732651948e-74,7.331283826917153e-20,5.903252651000651e-26,7.749024421652217e-39,2.483135329123328e-41,2.0656992219236284e-37,3.738400794442229e-32,1.546971205167543e-33,4.834282685196141e-62,1.0783810816190352e-58,5.639461349912296e-70,4.604244907504006e-74,1.3054640758495211e-53,1.1263562918942273e-36,4.727424439795039e-76,1.1559629740730694e-77,2.850069003186737e-63,1.91326395024738e-38,1.9246388791919233e-77,2.3831051435315772e-76,1.224103797659529e-64,1.4535680008795403e-33,2.4699425995284226e-48,6.179472802395941e-75,5.937915670585879e-84,6.795039698892279e-66,4.206649202685254e-50,1.3055975705507728e-93,4.495593458112935e-80,4.9200727993347075e-92,3.3055340135756086e-79
2.4495953383441323e-14,0.709879716473643,3.76,0.0,0.7938487327016128,0.9999999999998865,1.5234724497090866e-29,2.3705162048268012e-42,7.412957447744019e-29,1.2858361670665062e-13,1.1340077096674653e-13,1.6771467545840334e-23,2.448412143537474e-22,1.5182844460621673e-14,1.4741416399184747e-19,1.5698565898652594e-23,2.161977189735968e-20,2.2767031753498897e-24,1.0661559767985158e-29,4.171420222336686e-35,4.6805441608316495e-31,4.3441632565961236e-33,1.0754073465221913e-32,9.490127620563273e-24,6.916172680646433e-49,5.938690261062522e-48,2.3247450753982932e-54,3.6304813792969593e-72,1.4688097402316303e-19,2.367464589395423e-25,6.218253194840021e-38,1.992561450302273e-40,1.6575462272473307e-36,2.999787006067549e-31,1.241742389486713e-32,1.554629478969974e-60,3.4706306737633713e-57,3.6301045248285227e-68,2.9630024895876953e-72,2.120021171667422e-52,9.038261221579591e-36,3.0687350913977643e-74,7.43573154984485e-76,9.169644688538648e-62,1.5665284121656849e-37,1.2536278017812313e-75,1.534081367237417e-74,3.936489474538731e-63,1.1663960048136548e-32,3.9648045014313474e-47,3.974997295635338e-73,7.637213848680902e-82,4.3795644562371384e-64,6.752800107945069e-49,3.371351945822205e-91,5.61750126063268e-78,6.352874958250724e-90,4.148433960132549e-77
