Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167)
4.9034508424940806e-14,0.7098797164736449,3.76,0.0,0.793848732701484,0.999999999999773,1.2206318157041962e-28,1.8992958274477317e-41,2.969046654020769e-28,2.573908581117642e-13,2.2699876066591895e-13,6.717331561943095e-23,9.80641899298608e-22,3.0392092322043105e-14,2.961523418100619e-19,6.287615576408137e-23,4.3740780404883855e-20,9.118679272684818e-24,4.270241438979775e-29,3.3422116965348735e-34,1.8787872743378474e-30,3.480606489275446e-32,8.616320499882142e-32,3.8010010616207586e-23,1.108349831835249e-47,9.5234072787114e-47,7.452387461500771e-53,2.3281444907971456e-70,2.9401680092632927e-19,9.48217692357251e-25,4.982408427384862e-37,1.5964766697680886e-39,1.327978242085098e-35,2.4034092098596727e-30,9.955385910440837e-32,4.987088605029404e-59,1.113782655718239e-55,2.3299135647203276e-66,1.90149245984627e-70,3.4759673923908513e-51,7.241545621335337e-35,2.0008870948182405e-72,4.770827916223039e-74,2.9442654023879755e-60,1.3052103054257805e-36,8.22843098126233e-74,9.846654760601359e-73,1.2627613129757055e-61,9.345349446239034e-32,6.354022484545115e-46,2.5504578747040085e-71,9.794703826316453e-80,2.812780375253425e-62,1.0822717535346947e-47,8.668316128287174e-89,7.101848873397034e-76,8.174479216162721e-88,5.256489995848275e-75
9.811161850793976e-14,0.7098797164736488,3.76,0.0,0.7938487327012265,0.9999999999995458,9.772475690271321e-28,1.5205886283590442e-40,1.1883900934695117e-27,5.15005343976346e-13,4.5419474006519377e-13,2.688680484200426e-22,3.925122878640588e-21,6.081058340259112e-14,5.96834404477987e-19,2.516685541696658e-22,8.937491662139906e-20,3.6498411814476595e-23,1.709254655459746e-28,2.6758002132961415e-33,7.553092879492784e-30,2.7865847344311254e-31,6.898255720996966e-31,1.521390985397291e-22,1.774669030647805e-46,1.5254655556885793e-45,2.3868768578827308e-51,1.4915279816184904e-68,5.882866763243061e-19,3.795317829550817e-24,3.989338735532211e-36,1.2781565033908531e-38,1.063068712351412e-34,1.9240753587641543e-29,7.980506637284636e-31,1.5978246866167073e-57,3.56920795955902e-54,1.4932149161348786e-64,1.2185391003686423e-68,5.81717290911313e-50,5.797540457419929e-34,1.3218877188631334e-70,3.057035399948527e-72,9.4507519099592e-59,1.1251459607604304e-35,5.50489505701124e-72,6.310978313827816e-71,4.0456404941829447e-60,7.481942085979848e-31,1.0174704628325314e-44,1.6343587969895457e-69,1.2537993379822903e-77,1.8033194307129794e-60,1.7332465454616681e-46,2.224077855136024e-86,9.033376620893937e-74,1.0509514333473473e-85,6.693837231492753e-73
1.9626583867393766e-13,0.7098797164736566,3.76,0.0,0.7938487327007112,0.9999999999990914,7.820949316775422e-27,1.216928420045308e-39,4.7550897254854746e-27,1.0302343279229293e-12,9.085866988674633e-13,1.0758202276636997e-21,1.5705601462182346e-20,1.216475469945142e-13,1.2110213540271085e-18,1.0070025993126387e-21,1.8621166176477086e-19,1.4604063454121128e-22,6.839606929669483e-28,2.141451117405904e-32,3.0486676141795277e-29,2.2300877740682404e-30,5.520637440865122e-30,6.0875455753701165e-22,2.84019245271716e-45,2.4421155026055637e-44,7.64137545955487e-50,9.551014746035402e-67,1.1768193135741282e-18,1.518602235648243e-23,3.193295358204114e-35,1.0229207690984136e-37,8.505838873075667e-34,1.5396635963283194e-28,6.403065498795685e-30,5.11610458441956e-56,1.1429675995583025e-52,9.562435189054941e-63,7.802783260805761e-67,1.0115060318774545e-48,4.639635567212424e-33,8.970028339522736e-69,1.9575261122535328e-70,3.037293497806349e-57,1.0287800572516708e-34,3.8209806306082395e-70,4.041912576823752e-69,1.2952855892745015e-58,5.987795822163322e-30,1.628612056055524e-43,1.0466453918625896e-67,1.601992631573606e-75,1.1551030860614805e-58,2.774968464184319e-45,5.700832298031837e-84,1.152613059431122e-71,1.352971110340063e-83,8.545900355253617e-71
3.925742790059335e-13,0.7098797164736722,3.76,0.0,0.7938487326996807,0.9999999999981826,6.257945659853847e-26,9.73720235770416e-39,1.9023306422451877e-26,2.0606923446857975e-12,1.8173706164868786e-12,4.3039639770324356e-21,6.28326106250797e-20,2.4332139990171885e-13,2.4906865186767497e-18,4.028670671950152e-21,4.0215901012870704e-19,5.842532006434347e-22,2.7365777080360985e-27,1.7134825530096684e-31,1.240826310381531e-28,1.784365978938638e-29,4.4172468629404445e-29,2.435414571502998e-21,4.543843061472389e-44,3.908460567202819e-43,2.445771111377802e-48,6.114815505309465e-65,2.3538561345875607e-18,6.075243702338723e-23,2.5560998809157263e-34,8.18503407151118e-37,6.802858066715392e-33,1.2316745104209075e-27,5.149396857148554e-29,1.6376013546083674e-54,3.658835144111782e-51,6.1208484442941025e-61,4.993902166245267e-65,1.8759803606591406e-47,3.7121592833092533e-32,6.387476306072004e-67,1.2529354588920534e-68,9.793940101811587e-56,1.0284632336454937e-33,2.8242142926098465e-68,2.587704420050426e-67,4.1454362862380167e-57,4.79109558573055e-29,2.6062988514295348e-42,6.700555600621442e-66,2.041299406045106e-73,7.395445509181049e-57,4.442916195366552e-44,1.4607428504241245e-81,1.4729948577857702e-69,1.7490400768216256e-81,1.0924289585962217e-68
7.851911596699252e-13,0.7098797164737033,3.76,0.0,0.7938487326976198,0.999999999996365,5.006828575971412e-25,7.790383218698099e-38,7.609822820488351e-26,4.1216085736904946e-12,3.6349384517851977e-12,1.7217117331100833e-20,2.5135072090507256e-19,4.86668808609966e-13,5.255181659768471e-18,1.6116030658205007e-20,9.231488770525646e-19,2.3371675366735427e-21,1.0949518459431152e-26,1.370910257674411e-30,5.133008985801135e-28,1.4275594128694405e-28,3.5339700339866985e-28,9.74245069028435e-21,7.266443961625608e-43,6.254330188674478e-42,7.827264035007977e-47,3.914802555331256e-63,4.707815968255818e-18,2.4301719817573617e-22,2.0466369750793258e-33,6.548830966662294e-36,5.437840405142898e-32,9.849689392454287e-27,4.1614386172935e-28,5.24076725547525e-53,1.1710572339816234e-49,3.9163666378050583e-59,3.194598783515583e-63,3.8249674179333275e-46,2.969602877348053e-31,4.913753696894138e-65,8.016495147379106e-67,3.180357592197617e-54,1.1511078514109439e-32,2.2915677033974057e-66,1.6563566718992535e-65,1.3262606043431071e-55,3.8331590759864175e-28,4.1704681925985005e-41,4.288908817015993e-64,2.5882782164283894e-71,4.733532053371994e-55,7.1159797165145815e-43,3.743291115642308e-79,1.8839161277287572e-67,2.2812083543828352e-79,1.397324465463333e-66
1e-12,0.7098797164737655,3.76,0.0,0.7938487326964923,0.9999999999953706,1.4595023496073608e-24,2.270865568417501e-37,1.3855139014924314e-25,5.249178810616085e-12,4.629367520364535e-12,3.1347341238032055e-20,4.576403164311559e-19,6.198088991018205e-13,6.99219360289928e-18,2.934295004469549e-20,1.3056842994870348e-18,4.255263244744779e-21,1.9941139402682027e-26,3.996213705031486e-30,9.716326043179577e-28,4.161071911690933e-28,1.0300902922956938e-27,1.7738328836354877e-20,3.704638554593013e-42,3.191952915970077e-41,7.420792656990338e-46,7.141722869877453e-62,5.995591705038031e-18,4.424406671845685e-22,5.9728184272318505e-33,1.9090811945219295e-35,1.5829780471579572e-31,2.869181073520375e-26,1.2312238278309988e-27,4.968156600125326e-52,1.1103339053794775e-48,7.135957016926745e-58,5.818444768608123e-62,2.6724034483750237e-45,8.654692157139543e-31,1.1849604771954466e-63,1.460617252017091e-65,3.0954589111928305e-53,4.79039328881932e-32,5.87291781342179e-65,3.0202526978194104e-64,1.2565883869492475e-54,1.1173404321882367e-27,2.128421960660408e-40,7.820678489958177e-63,9.081588999640841e-70,8.630100438966754e-54,3.637479691763521e-42,2.6529105697348185e-77,6.730780615586127e-66,8.447522472790886e-78,4.992207561064245e-65
1.5704249209979084e-12,0.7098797164737655,3.76,0.0,0.793848732693498,0.9999999999927299,4.005647713740259e-24,6.232413137627812e-37,3.0439577492148918e-25,8.24344181361699e-12,7.270074122619642e-12,6.887015381599049e-20,1.0054423810474951e-18,9.733624376050382e-13,1.1604829185821756e-17,6.446703727728313e-20,2.3215071947914673e-18,9.348766803824214e-21,4.3818390722114406e-26,1.0967707565587139e-29,2.1887325459898756e-27,1.1419914931331482e-27,2.8270494643007596e-27,3.8971384946953897e-20,1.1612702673111923e-41,1.0007347046373351e-40,2.504817899922512e-45,2.5066993562123617e-61,9.415280446843366e-18,9.72009731379946e-22,1.639879410507735e-32,5.239604509045404e-35,4.342557951925124e-31,7.87270679520645e-26,3.395668850466389e-27,1.67694116484238e-51,3.747851553019162e-48,2.504550114330692e-57,2.0421000309494407e-61,8.753251192756992e-45,2.3751447943856966e-30,4.201138535560045e-63,5.1264086285209975e-65,1.0470906679578661e-52,1.4454516538740633e-31,2.085992645880303e-64,1.0600688827328774e-63,4.241270583090428e-54,3.066542712718983e-27,6.67297901115774e-40,2.7449572049432133e-62,3.2510433176675874e-69,3.0290344445654484e-53,1.1407159219289352e-41,9.598312046107362e-77,2.4104095998383397e-65,3.0274145261836796e-77,1.787795625553108e-64
3.140892443653875e-12,0.7098797164738898,3.76,0.0,0.7938487326852544,0.9999999999854596,3.204585751909605e-23,4.9857459808472435e-36,1.2175316832416e-24,1.648711142114844e-11,1.4540345465238549e-11,2.754772770719914e-19,4.021840033756882e-18,1.946744941935322e-12,2.758673718709405e-17,2.5787572720389294e-19,6.543721390844535e-18,3.7393558115855165e-20,1.7542540979879824e-25,8.774222081561128e-29,9.838694496420315e-27,9.134385046901908e-27,2.261276079975968e-26,1.558886827823917e-19,1.853552018234508e-40,1.6011400080486046e-39,8.0179299140818e-44,1.6589040212204933e-59,1.8828389006435282e-17,3.8873292494657e-21,1.3158945545506078e-31,4.1922482953612416e-34,3.4615186048901235e-30,6.286473955892252e-25,2.8224868903935216e-26,5.364594237632235e-50,1.3109720467606056e-46,1.7389161320933205e-55,1.3805135564983236e-59,2.2424690310715627e-43,1.8991210487453299e-29,4.041472607552256e-61,3.2749607649350927e-63,3.5776889983373616e-51,1.9933525180892173e-30,2.140596375679091e-62,7.404381369574044e-62,1.3554306857831375e-52,2.4530842119292643e-26,1.0676687694062382e-38,1.7564978171848373e-60,4.010515301368446e-67,2.5601450479063865e-51,1.831866104359017e-40,5.331505341688033e-74,3.085624340063406e-63,7.495641154230802e-75,2.2882281863809193e-62
6.281827488965808e-12,0.7098797164741387,3.76,0.0,0.793848732668767,0.999999999970919,2.5636854545776965e-22,3.9881595880985335e-35,4.8695668656167826e-24,3.2974463147005616e-11,2.908088815426687e-11,1.1018487795343763e-18,1.6087433261146545e-17,3.893490936163057e-12,7.268087677716148e-17,1.031532052084712e-18,2.0690005827776294e-17,1.4955759757427966e-19,7.02895046440269e-25,7.019217512446018e-28,4.8023970760394675e-26,7.304773881470371e-26,1.808375110595999e-25,6.235608457069777e-19,2.951335247203056e-39,2.561574394269365e-38,2.5656119515258685e-42,1.0639801113403727e-57,3.764732739345235e-17,1.5543167581132648e-20,1.0589768489555903e-30,3.354581330810752e-33,2.7492720961633024e-29,5.010386572856905e-24,2.4265119696564696e-25,1.715638432641862e-48,4.2068217834834086e-45,1.1132644979634229e-53,8.814210538657058e-58,6.27789714120807e-42,1.517652947030149e-28,4.317288626670038e-59,2.088447049404437e-61,1.2774147275620832e-49,2.9265696585991304e-29,2.3932583171868091e-60,4.7556708838820056e-60,4.3254106493397884e-51,1.9621576176828377e-25,1.7081796814772899e-37,1.123826594473529e-58,4.78636390780693e-65,1.6429639250592651e-49,2.952064279676126e-39,1.3766833969454575e-71,3.9489775485904643e-61,1.1146327763045455e-72,2.9274257381476376e-60
1e-11,0.7098797164746365,3.76,0.0,0.7938487326492495,0.9999999999537061,1.3185557218064587e-21,2.0507530962770313e-34,1.3513476359824608e-23,5.249187121760938e-11,4.629367522880508e-11,3.0580413074791224e-18,4.465314347230032e-17,6.197962675461518e-12,1.5714855792283577e-16,2.863291512493983e-18,5.093491620218396e-17,4.1503813839075187e-19,1.9566292010638105e-24,3.609931626355559e-27,1.7434727247568818e-25,3.7543615613116146e-25,9.294618938757916e-25,1.7308044938529834e-18,2.8885842740682476e-38,2.529873126638516e-37,4.963419968461783e-41,4.087009325296946e-56,5.990756955062717e-17,4.3113022898822494e-20,5.504151462000792e-30,1.7260472734625128e-32,1.3954749904274633e-28,2.5592906157775556e-23,1.4058527102982394e-24,3.315523966069126e-47,8.142087712540546e-44,4.234509817812534e-52,3.342138382457762e-56,1.1280311561707686e-40,7.789972133391668e-28,2.9640078508175395e-57,7.939801563995539e-60,2.970126503747742e-48,2.752876452866087e-28,1.691845151322856e-58,1.8197617759668578e-58,8.323917961235956e-50,1.0088722440297718e-24,1.6871963679594076e-36,4.30038913264829e-57,3.213253646424339e-63,6.277626037636328e-48,2.9548468102798523e-38,2.1177955338578315e-69,3.007366084473716e-59,1.0778810169835217e-70,2.2277546126373445e-58
1.2563697579589676e-11,0.7098797164746365,3.76,0.0,0.7938487326357921,0.9999999999418379,2.0509388172639913e-21,3.189771586782987e-34,1.9473492949353165e-23,6.594921664254056e-11,5.8161973547408915e-11,4.40684533263406e-18,6.434933613422321e-17,7.786906868540125e-12,2.1538942465617768e-16,4.126298347466132e-18,7.178892534018616e-17,5.980882303107847e-19,2.821084846443016e-24,5.6150182263237776e-27,2.614477880897945e-25,5.839344039315382e-25,1.4456419561381144e-24,2.494254240292641e-18,4.676780865043262e-38,4.0976108759443075e-37,8.208821414681086e-41,6.831659704245672e-56,7.52561120859911e-17,6.212256888891415e-20,8.569120438695124e-30,2.68486508054914e-32,2.168097999433854e-28,3.9784651023060486e-23,2.2078856701611913e-24,5.483299380803605e-47,1.3466033446713301e-43,7.077464304033336e-52,5.58578424739932e-56,1.8625275894626315e-40,1.2114765958521705e-27,4.977937410776848e-57,1.3270332981957899e-59,4.929964462473352e-48,4.449209456614412e-28,2.8418787770479122e-58,3.0417055743381136e-58,1.3765059755663372e-49,1.5692027425283875e-24,2.7327464659719304e-36,7.188039457314038e-57,5.395805068180132e-63,1.0492795820088228e-47,4.788681467084498e-38,3.5685333006729344e-69,5.053730874513343e-59,1.8133996441324845e-70,3.743617243760188e-58
