Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290)
1.7542406794459886e-13,0.6843002282967003,3.76,0.0,1.0061906576763056,0.9999999999997653,5.26176563629499e-28,7.516397690906396e-42,8.606146844673907e-29,2.4762323803627856e-13,2.3473183190099447e-13,3.0896803431080264e-22,1.1239006410568155e-21,1.2891399883455387e-14,6.918771690411725e-20,1.419181892613948e-22,9.880828132861321e-21,1.594879715121391e-23,2.759217057348259e-29,4.572163208219952e-34,1.9284064171742808e-30,1.006349521662848e-31,2.5847638707758524e-31,9.043294721467086e-23,8.586317505629738e-48,9.473668860050011e-47,2.307492668378487e-52,2.0320988511936608e-70,6.64090200119058e-20,7.895578720870889e-25,1.3694104116209978e-36,1.853033062931865e-39,4.173425524499799e-35,7.243812087240021e-30,3.0081854005868257e-31,7.121000047957202e-59,3.295074129337307e-55,6.501518646967869e-66,3.6138006555298443e-70,5.2754160559362e-51,2.730862099160093e-34,2.194783981660284e-72,3.3575766557902522e-74,5.861139065318741e-60,4.995668190619522e-36,1.6484910027363277e-74,1.2854312598505946e-72,1.410220465534576e-61,4.283505275847914e-31,6.016301694800424e-46,2.12262618325978e-71,2.9945427745994546e-79,5.908100060991499e-61,1.1093922969147845e-47,8.909186434563934e-88,6.966902484144101e-75,1.4856031477367152e-87
3.5100054602642157e-13,0.684300228296702,3.76,0.0,1.0061906576760578,0.9999999999995304,4.212610623055593e-27,6.017613379411521e-41,3.444674120382902e-28,4.954616183588523e-13,4.696676012097995e-13,1.2366745322525591e-21,4.498530093498e-21,2.5793992125445962e-14,1.4399567417806264e-19,5.680429106368967e-22,2.1767816594088703e-20,6.383645290494282e-23,1.1045253662498056e-28,3.6605001519869046e-33,7.877264985616478e-30,8.056732552714729e-31,2.069337516333714e-30,3.619674611449586e-22,1.374538970307796e-46,1.5175087073800348e-45,7.390357297150025e-51,1.30194133661531e-68,1.3287364805967244e-19,3.1602136806892564e-24,1.0970232547434962e-35,1.4836154585948727e-38,3.339850048792878e-34,5.798222544939049e-29,2.4193410883671156e-30,2.281457262073829e-57,1.0559091689675212e-53,4.166076116459232e-64,2.3151773204082164e-68,1.0638175033142175e-49,2.1862323296735133e-33,1.6921263982951844e-70,2.151173340510926e-72,1.894317697827141e-58,4.7129937358704515e-35,2.1128518503711845e-72,8.238377138254403e-71,4.517401806540654e-60,3.429384051691811e-30,9.63387697944701e-45,1.3601844067265838e-69,3.827742172042244e-77,3.787651821687311e-59,1.776870782316969e-46,2.28605664820402e-85,8.929310769502123e-73,1.9274592967585932e-85
7.021535021900669e-13,0.684300228296705,3.76,0.0,1.0061906576755622,0.9999999999990605,3.3713667706824137e-26,4.815799433191538e-40,1.3782963758098507e-27,9.911383934329336e-13,9.395391401520202e-13,4.948286573626398e-21,1.7999968454390793e-20,5.159915315389615e-14,3.102992035020166e-19,2.272913986393422e-21,5.1537107146176284e-20,2.554265659830532e-22,4.420496254557501e-28,2.9294957420187624e-32,3.278864376744208e-29,6.447542300328336e-30,1.6560265390385285e-29,1.4483413068183742e-21,2.19890595488014e-45,2.4293638031577964e-44,2.3659186105535996e-49,8.337717446201247e-67,2.6579663547456624e-19,1.2644367286833949e-23,8.790104818834346e-35,1.1874429448850015e-37,2.670612127491001e-33,4.638369906875292e-28,1.9537458170777277e-29,7.304680719664828e-56,3.381348500861754e-52,2.6671901048486015e-62,1.4817146051848247e-66,2.403979633239683e-48,1.749461724389922e-32,1.4491877054455996e-68,1.377108192992785e-70,6.17079338162846e-57,4.913031661251007e-34,2.7062127950272536e-70,5.276224677168996e-69,1.4459004854457843e-58,2.7445099290602964e-29,1.542033452001901e-43,8.710438371863428e-68,4.87677951312745e-75,2.4259892425683489e-57,2.8454209147297863e-45,5.860603532279159e-83,1.143691312627172e-70,2.526060647361351e-83
1e-12,0.6843002282967111,3.76,0.0,1.0061906576751416,0.9999999999986621,1.3382053524164505e-25,1.911468182019358e-39,3.1322004828831815e-27,1.4115694264212282e-12,1.338082253719461e-12,1.1245251645969957e-20,4.090614931458656e-20,7.348694515612662e-14,4.796658567146337e-19,5.165364410967999e-21,8.695765021988599e-20,5.804666209146089e-22,1.0049131516388912e-27,1.1628020628957498e-31,7.882172906732301e-29,2.5590439178463894e-29,6.57282458838634e-29,3.2914569376859424e-21,1.6173246432785817e-44,1.788788313124438e-43,3.3477086173987714e-48,2.3122243470558734e-65,3.7853073533602676e-19,2.8733161142137406e-23,3.496245293291553e-34,4.714029178076287e-37,1.058508321340148e-32,1.839786339670415e-27,7.873940168095493e-29,1.0335693951238131e-54,4.785425939151232e-51,7.390210825967171e-61,4.10298132834965e-65,2.7214883818059527e-47,6.942911330926282e-32,6.00253059615108e-67,3.815478145645514e-69,9.01799304422781e-56,2.7237090329532845e-33,1.4850966508806357e-68,1.4629391953451577e-67,2.044607498261015e-57,1.0893597046710188e-28,1.1353567153257275e-42,2.414980717979174e-66,2.6486172429045124e-73,6.725992222491298e-56,2.0967582430601647e-44,6.404300966340904e-81,6.276258647619459e-69,1.447705540915466e-81
1.4044594145173577e-12,0.6843002282967111,3.76,0.0,1.0061906576745707,0.9999999999981208,2.697602401903935e-25,3.8531789763460233e-39,5.5139072797821414e-27,1.982492001296986e-12,1.8792822193348905e-12,1.9796189209860932e-20,7.20115024668522e-20,1.0320938138886385e-13,7.096565999358387e-19,9.093155450466673e-21,1.3505682955830323e-19,1.0218534133696938e-21,1.7692513390178284e-27,2.3440146367568673e-31,1.413321660397886e-28,5.158545647907912e-29,1.324957007628639e-28,5.794308152757796e-21,3.5149644038665107e-44,3.887971524180024e-43,7.572436693834905e-48,5.338878106977698e-65,5.316175379722101e-19,5.058087192891666e-23,7.050308434071152e-34,9.50294230483642e-37,2.133250634967968e-32,3.70825104275479e-27,1.5913243495978233e-28,2.337907053616712e-54,1.0824606400555763e-50,1.7063526947507546e-60,9.473398961029694e-65,6.090674809722995e-47,1.3995334651765631e-31,1.3956850243604574e-66,8.809687009885043e-69,2.0425978915977635e-55,5.755195306928637e-33,3.465028574964663e-68,3.37788312512024e-67,4.6247283018820433e-57,2.195961604874963e-28,2.467709858809535e-42,5.576110716642637e-66,6.179072001350799e-73,1.5530089221352235e-55,4.557649638592324e-44,1.5021411039406725e-80,1.4643770921329926e-68,3.3793087311422213e-81
2.809071239171939e-12,0.6843002282967233,3.76,0.0,1.006190657672588,0.9999999999962413,2.1582816447766986e-24,3.08252826676279e-38,2.205601845709008e-26,3.965199447889877e-12,3.758768382894241e-12,7.918976769842609e-20,2.880687153866748e-19,2.064294625725983e-13,1.7753717734043187e-18,3.637573786653675e-20,3.9801993393638327e-19,4.087592919280114e-21,7.083701838720938e-27,1.8753464741417008e-30,6.466312359101812e-28,4.126479961700722e-28,1.0598809372014419e-27,2.3179117529736474e-20,5.611751605592308e-43,6.221255515582881e-42,2.4233488332729207e-46,3.419095822744076e-63,1.0631590727585651e-18,2.0230131314712929e-22,5.6676492109933725e-33,7.605625614187915e-36,1.700957662241187e-31,2.961853859184959e-26,1.3179231186854435e-27,7.480461405571896e-53,3.4648075541117586e-49,1.0906608995257456e-58,6.047704039439261e-63,1.6921576460888138e-45,1.1192504993941507e-30,1.4923292941315238e-64,5.63066263338446e-67,6.967855370464277e-54,7.516125384616686e-32,4.4357918118186425e-66,2.1621025662266258e-65,1.477855635642551e-55,1.7568347679424878e-27,3.9485911598709415e-41,3.568844670376633e-64,7.748619733226143e-71,9.937517712848879e-54,7.305836305302722e-43,3.8516898120117773e-78,1.8746376735830843e-66,4.695268347889001e-79
5.6182948884811015e-12,0.6843002282967479,3.76,0.0,1.0061906576686226,0.9999999999924823,1.7266989810458544e-23,2.465647608218763e-37,8.821641964666855e-26,7.930615264544654e-12,7.517740730786543e-12,3.16760490036208e-19,1.1523158466494682e-18,4.128681238075006e-13,4.974795878464293e-18,1.4551011844589278e-19,1.307633535590483e-18,1.6349809891486932e-20,2.838492747263325e-26,1.5002791623118863e-29,3.2367095521954505e-27,3.300143644936994e-27,8.476485966517419e-27,9.272023155792281e-20,8.938682516303005e-42,9.953479763624799e-41,7.754535867242369e-45,2.1906415257614883e-61,2.1258412143939023e-18,8.089291637539265e-22,4.576823182801878e-32,6.088863991234873e-35,1.3516291674768377e-30,2.361585006877594e-25,1.1256273870742355e-26,2.3926561066580055e-51,1.1090445629822295e-47,6.960487015956977e-57,3.8501548260844996e-61,5.000988616979305e-44,8.946714188410888e-30,1.7217817494983397e-62,3.593164459770283e-65,2.50484138511961e-52,1.0648989099740892e-30,5.677826804657472e-64,1.3837057084709375e-63,4.714951356741667e-54,1.4053724321656777e-26,6.317599168493735e-40,2.2836889510681142e-62,9.528898899106287e-69,6.355692081432022e-52,1.1730401558647778e-41,9.887676184948186e-76,2.399547208598871e-64,6.95009205204349e-77
1e-11,0.6843002282967967,3.76,0.0,1.0061906576624375,0.9999999999866193,1.1153156494764529e-22,1.5920210763596565e-36,2.9454610278480665e-25,1.4115701614048027e-11,1.3380822702526736e-11,1.057812931169547e-18,3.848350511177024e-18,7.348575042345588e-13,1.3296690896654583e-17,4.859676773330944e-19,3.9232820288709896e-18,5.45957787294165e-20,9.510262293544678e-26,9.689884210568465e-29,1.486558358045497e-26,2.130167960742515e-26,5.471517430313348e-26,3.0965753423438985e-19,1.1250838736508675e-40,1.2636452282483384e-39,1.9524427274288984e-43,1.1508744342131135e-59,3.782116945536193e-18,2.699652957931768e-21,3.008102148621865e-31,3.938048604953668e-34,8.61787084242816e-30,1.5155099500150245e-24,8.15098383769976e-26,6.016244443175196e-50,3.0071232473685615e-46,3.717684475345687e-55,1.9957627634692297e-59,1.2059733552846446e-42,5.769337725477295e-29,1.628633995059151e-60,1.790231827518552e-63,8.111482500444194e-51,1.2606718963728191e-29,5.708813359867377e-62,7.460379273781954e-62,1.1801747381229294e-52,9.075694484108606e-26,8.021230993267192e-39,1.144013629310765e-60,8.83654746107014e-67,4.198038136303175e-50,1.4993563009292449e-40,4.2965298863537725e-73,2.400834177916688e-62,1.6986345117668237e-74
1.1236742187099428e-11,0.6843002282967967,3.76,0.0,1.0061906576606918,0.9999999999849644,1.3813786862487985e-22,1.9717779390363696e-36,3.5278293458733236e-25,1.586145059180888e-11,1.5035685509658828e-11,1.2669759837887863e-18,4.60930993739178e-18,8.257394418449402e-13,1.5645557007829466e-17,5.820622832630522e-19,4.6615523496552425e-18,6.53907551015168e-20,1.139337826107064e-25,1.200141129901518e-28,1.8147848984716277e-26,2.6382637451637346e-26,6.77661065513359e-26,3.708883809817515e-19,1.4174107647399068e-40,1.592216969919331e-39,2.4816350426139472e-43,1.4695271827191243e-59,4.249603008162292e-18,3.233312303072377e-21,3.7279615911723313e-31,4.87770913501155e-34,1.0668777371360957e-29,1.876608624900828e-24,1.0133900186647726e-25,7.646804522940154e-50,3.8245849137345924e-46,4.747359872206597e-55,2.548202385583052e-59,1.5322456060670736e-42,7.145218875854239e-29,2.083458388085746e-60,2.28538542408324e-63,1.0330259907751506e-50,1.5864413266081594e-29,7.304107900032836e-62,9.52702612170041e-62,1.4999726383905415e-52,1.124065324533125e-25,1.01069191872381e-38,1.4604672787496936e-60,1.1303779473635453e-66,5.365001044766154e-50,1.8894424255219784e-40,5.5064404411238977e-73,3.0717001135781272e-62,2.176114724577138e-74
2.247363678433608e-11,0.6843002282968947,3.76,0.0,1.00619065764483,0.9999999999699285,1.1050948047740501e-21,1.5761831030605533e-35,1.4104272138965326e-24,3.172313602278558e-11,3.007157539970028e-11,5.067221591274388e-18,1.8437049480351097e-17,1.6514580609736106e-12,5.407423405350031e-17,2.3283525257890096e-18,1.7507692761388312e-17,2.6148719312027906e-19,4.58874183667847e-25,9.599475177654295e-28,1.1419864363110723e-25,2.10757859688665e-25,5.413781563622138e-25,1.4835678874619965e-18,2.2279347581612685e-39,2.5463231670931025e-38,7.938922653519403e-42,9.44744735303271e-58,8.490726400656266e-18,1.2913651081013733e-20,3.083868361002264e-30,3.9125625392049764e-33,8.312232223989306e-29,1.481332110062697e-23,9.878042051121117e-25,2.441212620799419e-48,1.2273864982723342e-44,3.0128079716012982e-53,1.6006400102424006e-57,4.782544824852328e-41,5.696596290483285e-28,2.5889324598277804e-58,1.4450811023763861e-61,4.604173953445144e-49,2.4216677540467577e-28,9.346741851194686e-60,6.113891668798629e-60,4.743431298386099e-51,8.988482461779771e-25,1.6166492877831214e-37,9.335260084655701e-59,1.2619190590590104e-64,3.434918049339765e-48,3.060660536480942e-39,1.4273015326523594e-70,3.9306679477519965e-60,4.093915134862559e-72
