Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209)
0.0,0.5558150329637718,3.76,0.0,0.9224949717220597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5558150329637718,3.76,0.0,0.9224949717220597,1.0,1.1825488701659118e-37,1.5396078717468452e-54,2.695524477766341e-38,1.749423421910155e-17,1.7446788884412824e-17,4.449508091957912e-28,4.114070848191145e-29,4.7445335076530864e-20,4.101081652012374e-26,2.9114990849543445e-29,9.023558053931e-27,1.411949941507416e-30,4.210655646211368e-38,1.6282693862508324e-45,8.486015914113993e-39,6.743277461233963e-42,1.8673275376441391e-41,8.243930377430349e-30,1.172839610217105e-63,2.750197309909692e-62,4.176084959056859e-70,5.722950971737037e-93,4.098123409017535e-26,5.02875652746414e-33,8.584350928836841e-47,3.889565304466328e-51,3.3926619253550995e-45,5.285135016384343e-40,2.1708459582261314e-41,8.337888004807387e-78,6.938572318357767e-73,2.5622825249321292e-87,4.399730298975344e-92,2.188485396657188e-66,3.6495236900164273e-44,-1.4522685891905957e-95,4.3548017567589645e-98,2.2891692215296916e-78,4.165077654511344e-46,-4.784402540807471e-97,2.9479296288254632e-95,1.2283665716012438e-80,1.2757217212481163e-40,1.2794193554671448e-61,4.3354314515128005e-95,8.224957188326421e-105,9.551651270592452e-80,1.3475519988662241e-58,1.7548730680917032e-110,6.603079575160107e-99,3.0200945292609204e-113,1.178744005968767e-97,2.683361575115184e-109,4.958896458019968e-47
3.0000000000000002e-15,0.5558150329637718,3.76,0.0,0.9224949717220597,1.0,9.991331787173222e-37,1.300811435573452e-53,1.3532632320235605e-37,4.320004776442002e-17,4.3082886837035816e-17,2.2338346674727164e-27,2.0654314833379943e-28,1.1716092933118366e-19,1.0134705669159992e-25,1.461691378008356e-28,2.2316943445489557e-26,7.0885649433738e-30,2.1139438181692833e-37,1.3757705707123098e-44,4.272883405737855e-38,5.697380563054401e-41,1.5777010090885305e-40,4.138789536416017e-29,1.4996072047092023e-62,9.6471346876492e-61,7.703534585312883e-69,1.7800813003571057e-91,1.0119854081892166e-25,2.5246405517416016e-32,7.252975161785234e-46,3.286330736201035e-50,2.8664458687515124e-44,4.465394745542165e-39,1.8341872413943976e-40,3.847096050139476e-76,3.3833852453646797e-71,1.697936826056537e-85,2.8859082632614855e-90,2.9617721272117775e-65,3.083474416971025e-43,1.3384235541971333e-93,2.398808317615354e-96,1.0567208267241476e-76,3.519959914209972e-45,4.402573816227676e-95,1.9557358645416856e-93,5.66767006381401e-79,1.0778546565794276e-39,1.624166419583472e-60,2.388139438013568e-93,6.007892660952136e-103,7.461426008233608e-78,1.7105609447628087e-57,2.4513948755335106e-108,4.975283182129797e-97,3.289041841234469e-111,8.561219520433396e-96,1.9600557334183095e-107,4.1897520609036475e-46
7e-15,0.5558150329637718,3.76,0.0,0.9224949717220597,1.0,1.561447184813671e-35,2.032909706817332e-52,8.328618251200687e-37,1.1317698463125138e-16,1.128700423748274e-16,1.3748071726946582e-26,1.2711639205042608e-27,3.0694226840652204e-19,2.6603736953509883e-25,8.995938008608138e-28,5.870515819131002e-26,4.3626369620270686e-29,1.3010212083909898e-36,2.1499948693441243e-43,2.63030285871143e-37,8.903870881556773e-40,2.4656324244253793e-39,2.5472062431204414e-28,6.356752758796472e-61,2.2540800556693456e-59,9.201199971167184e-67,5.584704567645487e-89,2.651233328256539e-25,1.5537817220736918e-31,1.1335565305097415e-44,5.135868841762966e-49,4.479628504164125e-43,6.978486844017292e-38,2.8668257203780042e-39,2.8874338772353856e-74,2.4721783734121684e-69,3.6632139570554505e-83,6.2067935493291e-88,1.3441859735545885e-63,4.8188541238492637e-42,1.26261268534876e-91,6.119683182724819e-94,7.948426587011456e-75,5.508215317085191e-44,4.144168153024466e-93,4.22088655137352e-91,4.253837870349892e-77,1.684473160838987e-38,6.919885335488605e-59,6.092488496864416e-91,4.629260888261709e-100,1.5662091530726273e-75,7.288167185516671e-56,5.0153197118763615e-105,4.1606005992076734e-94,2.1097876759319995e-108,7.2900768526339065e-93,1.5103077202831323e-104,6.547676486333233e-45
1.5e-14,0.5558150329637718,3.76,0.0,0.9224949717220595,0.9999999999999998,1.5435399965931825e-34,2.009594147218208e-51,3.9530665531349e-36,2.5313085833690424e-16,2.5244435345082087e-16,6.525339580771157e-26,6.0334107142979374e-27,6.865049429566932e-19,5.9731084841904235e-25,4.26980255804465e-27,1.3234159625596047e-25,2.070667578272353e-28,6.175205172140276e-36,2.1253360531370546e-42,1.253086817464294e-36,8.801747831699333e-39,2.4373528787040997e-38,1.2089976263390011e-27,1.291201343753504e-59,4.7945535973514625e-58,3.802484483334938e-65,4.454006213805774e-87,5.929724945505105e-25,7.374809154420525e-31,1.1206555713260423e-43,5.077023594849215e-48,4.428158208649252e-42,6.898388385361027e-37,2.8345312429628446e-38,1.288651365034284e-72,1.0524695702270707e-67,3.1489839276401174e-81,5.4538756733236586e-86,3.1923075392182956e-62,4.763580681115781e-41,1.3398598013863883e-89,5.598194657254081e-92,3.55330757064157e-73,5.456919796522231e-43,4.3929616969092245e-91,3.6194344398502524e-89,1.8984535464524409e-75,1.6651547965196392e-37,1.405191845214152e-57,5.573349171165922e-89,8.504687169201654e-98,1.0254943116644112e-73,1.4799345396560828e-54,7.973485896910147e-103,7.717176555729651e-92,2.0660527031501608e-106,1.3534978927697012e-90,2.774745517505918e-102,6.472460376802238e-44
3.1e-14,0.5558150329637719,3.76,0.0,0.9224949717220592,0.9999999999999994,1.3542404416798454e-33,1.7631351860363628e-50,1.7094001680398037e-35,5.330386056361697e-16,5.315929756044493e-16,2.821714351368549e-25,2.608992485595482e-26,1.4456302776550138e-18,1.2674292188311122e-24,1.8463657875985323e-26,2.830545065173766e-25,8.95406566962312e-28,2.6703827690979917e-35,1.8646856289450643e-41,5.4615813644457886e-36,7.722284241489891e-38,2.1384312422568117e-37,5.22799780680202e-27,2.283728527908591e-58,8.790124244852285e-57,1.351748273792232e-63,3.234829319087533e-85,1.2486691288501678e-24,3.1890375019854034e-30,9.833904343430688e-43,4.454486370215703e-47,3.8849219902417227e-41,6.052254753319956e-36,2.487917157833058e-37,4.783799478171812e-71,3.9433629051960445e-66,2.3625441492732828e-79,4.075015388396117e-84,7.295458573152051e-61,4.179359672828495e-40,1.2223627633129913e-87,4.179525303217586e-90,1.3265686411540733e-71,4.808298251152442e-42,4.001406080704034e-89,2.716802094332e-87,7.047403306869494e-74,1.4609399375922319e-36,2.484813330503762e-56,4.161023463112622e-87,1.2714349936096044e-95,8.149599478587591e-72,2.616821095447347e-53,2.69694976411102e-100,1.156114678365553e-89,3.419854913532051e-104,2.0287146928213317e-88,4.1484036730417477e-100,5.678461255833469e-43
6.300000000000001e-14,0.5558150329637718,3.76,0.0,0.9224949717220586,0.9999999999999989,1.1318618419981697e-32,1.4736080384747453e-49,7.097790081618245e-35,1.0928540997865418e-15,1.0898902199182716e-15,1.1716370090283612e-24,1.0833103180561535e-25,2.963880889443571e-18,2.6379516090831905e-24,7.666512036069832e-26,5.982404622892871e-25,3.7179216545850755e-27,1.1088635788653354e-34,1.5584874875326986e-40,2.303663216882774e-35,6.454184335476082e-37,1.787273065972459e-36,2.1707782872439248e-26,3.8302201000709933e-57,1.5020106121533126e-55,4.544162186132049e-62,2.1985294570160356e-83,2.560055640884264e-24,1.3241509160917396e-29,8.221958019691556e-42,3.723202782493544e-46,3.2467029191046503e-40,5.058225577567741e-35,2.081068959302081e-36,1.643135025441822e-69,1.361195166850676e-64,1.632446831650614e-77,2.808899861510124e-82,1.7774946195245244e-59,3.4930439821303324e-39,1.1171014893631674e-85,2.87735930182969e-88,4.6079459965039195e-70,4.0531497444875237e-41,3.6491896008576783e-87,1.8777844388488444e-85,2.4205422180442387e-72,1.2210395095418633e-35,4.167159716599694e-55,2.864687141691112e-85,1.7514817845197585e-93,5.7826989835323816e-70,4.388006893733646e-52,7.845632160617645e-98,1.594017107466084e-87,4.939361213857915e-102,2.7978790259874918e-86,5.7152671888177993e-98,4.7456433489418656e-42
1.2700000000000001e-13,0.5558150329637718,3.76,0.0,0.9224949717220575,0.9999999999999978,9.250559390453907e-32,1.2043536084148744e-48,2.891532241865348e-34,2.212485086294651e-15,2.2064847085721798e-15,4.773085582246554e-24,4.413255319708762e-25,6.000381882588372e-18,5.5001389781087494e-24,3.123230578017631e-25,1.2836529045943635e-24,1.5146288414990042e-26,4.5178669326551905e-34,1.2737313760906821e-39,9.67752668175982e-35,5.274870797153356e-36,1.4607014085493335e-35,8.843449181515667e-26,6.270235403675777e-56,2.4820812302999462e-54,1.4894725058995815e-60,1.448983239571246e-81,5.182801638971639e-24,5.394351911152235e-29,6.724388777969556e-41,3.0432257811659117e-45,2.6530312566453148e-39,4.133705030813175e-34,1.703592929222338e-35,5.443390283682747e-68,4.520521753332148e-63,1.084698598781815e-75,1.863994908153694e-80,4.7240369214101176e-58,2.8547755238128806e-38,1.0954825848440567e-83,1.9082733416127457e-86,1.5605865262348202e-68,3.3688295590952747e-40,3.570664194866246e-85,1.2479523971830357e-83,8.0181722716354e-71,9.979383773029095e-35,6.822079710559408e-54,1.8999557093288906e-83,2.3234545501803732e-91,3.890381937477618e-68,7.181876014681751e-51,2.1352245494573072e-95,2.1157524374826444e-85,6.707530960116607e-100,3.7141561598056462e-84,7.583212183511866e-96,3.8779595026960757e-41
2.55e-13,0.5558150329637718,3.76,0.0,0.9224949717220553,0.9999999999999956,7.479107323778295e-31,9.73712414209525e-48,1.1671292479629002e-33,4.451747052140332e-15,4.439673685985045e-15,1.9266047986444767e-23,1.781363450169651e-24,1.2073382947148918e-17,1.1709083996722687e-23,1.2606590231808706e-24,2.8746398303690933e-24,6.113632593850713e-26,1.824001539086842e-33,1.029815508982442e-38,4.14256957804611e-34,4.2646693600223794e-35,1.1809598676321388e-34,3.5695646488714895e-25,1.0144939860781877e-54,4.035363466735158e-53,4.82320572004479e-59,9.409236873941613e-80,1.0428185533463472e-23,2.1773286713801383e-28,5.4442690352991586e-40,2.460944200941384e-44,2.1442462029113969e-38,3.341601730243506e-33,1.3818260761336863e-34,1.771975403847664e-66,1.4735868709365799e-61,7.072456949883198e-74,1.2142956009285552e-78,1.351567960636173e-56,2.3080244343317194e-37,1.171891133397692e-81,1.2429067177660743e-84,5.301863147619548e-67,2.8146322147549906e-39,3.812636397519612e-83,8.138414685558646e-82,2.6097362090010955e-69,8.068343062168066e-34,1.1039701705613375e-52,1.237602018336904e-81,3.0261001618418905e-89,2.55172671027915e-66,1.1616264781004182e-49,5.630978149822514e-93,2.7572098721269252e-83,8.85622117643563e-98,4.840552425237258e-82,9.880490298467683e-94,3.134384424113292e-40
5.11e-13,0.5558150329637718,3.76,0.0,0.9224949717220509,0.9999999999999911,6.0148308934421866e-30,7.830584892150005e-47,4.689545017590734e-33,8.930270955149578e-15,8.906051641230979e-15,7.74121982741007e-23,7.157633140477267e-24,2.4219381389355335e-17,2.6065254568019738e-23,5.0654116408091614e-24,6.937261191533717e-24,2.4564927829416404e-25,7.332272536050091e-33,8.281951090380085e-38,1.8544403418568554e-33,3.42959282951278e-34,9.49713561110038e-34,1.4342746313036471e-24,1.6317139188377395e-53,6.508133361402468e-52,1.5525543335834318e-57,6.06566888544793e-78,2.091852093363756e-23,8.748293697176217e-28,4.390554907074454e-39,1.9799171462160537e-43,1.7232546695241117e-37,2.6865518988981184e-32,1.1184685321507996e-33,5.718601173361204e-65,4.760525007370008e-60,4.568958430270806e-72,7.83734193866314e-77,4.063929103489821e-55,1.8560402730187816e-36,1.3472352027634764e-79,8.02307987539496e-83,1.8541486465287636e-65,2.4097543346614355e-38,4.377497571460676e-81,5.259047080716213e-80,8.41966491015014e-68,6.488670729812992e-33,1.7763261376767452e-51,7.990293577550264e-80,3.9045202234473846e-87,1.653049504608058e-64,1.8672744842314667e-48,1.4619370017239637e-90,3.560865674603435e-81,1.1557055695115909e-95,6.2516568104002316e-80,1.2758951762406757e-91,2.5191873187687866e-39
