Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171)
0.0,0.8736983129774564,3.76,0.0,0.7422501206471082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.697838504926174e-19,0.8736983129774564,3.76,0.0,0.7422501206471079,1.0,7.468344374177788e-40,5.15302096052964e-50,2.8972825246759517e-33,2.448202330825225e-16,1.1553333967424493e-16,5.200491772992403e-31,1.7614348410894996e-28,1.2928689340720926e-16,6.6960043922367606e-21,3.453434177869134e-30,7.951026899872383e-22,8.789880200226694e-31,5.947774245866728e-35,5.743467744174809e-44,6.655798279908811e-37,2.5478522379884e-44,7.621253675128993e-43,1.9789307533518448e-30,4.538912266136415e-60,2.940466906822358e-59,4.1901892489047433e-70,4.441372113804958e-89,6.6960039435889734e-21,3.6681123550192404e-31,4.552744354918857e-48,2.6338579083837563e-49,7.344155294063913e-47,1.9254333458880797e-41,8.17258504018021e-43,9.453924924306551e-76,9.908770323016337e-73,8.848281751025574e-87
1.875394781379329e-18,0.8736983129774564,3.76,0.0,0.7422501206471075,0.9999999999999997,8.866478989047537e-39,6.117666489997678e-49,1.7499586448322392e-32,6.854966526325063e-16,3.2349335108784757e-16,3.141097030677141e-30,1.0639066440145153e-27,3.620033015382058e-16,1.874881375043543e-20,2.0858742434911642e-29,2.2262880943000182e-21,5.309087640404698e-30,3.5924556482658076e-34,6.819294710690638e-43,4.020102590937209e-36,3.0248101768930967e-43,9.047963889046276e-42,1.1952741750228865e-29,1.015712416957024e-58,8.088462517093895e-58,2.1162832890015642e-68,4.071389719644804e-87,1.8748811040602798e-20,2.215539862160811e-30,5.405018100278212e-47,3.126916109406546e-48,8.718981161156885e-46,2.285874465194691e-40,9.702493237412209e-42,5.751502346175176e-74,4.910660450205647e-71,7.981659066724868e-85
4.286616643152752e-18,0.8736983129774565,3.76,0.0,0.7422501206471066,0.9999999999999992,8.705188180689587e-38,6.006361248448826e-48,8.425297580677115e-32,1.566849491738246e-15,7.394133739148991e-16,1.5123030072707845e-29,5.122252517835127e-27,8.274361177922791e-16,4.2854438275522784e-20,1.004258659011654e-28,5.0886611522685776e-21,2.556097161427525e-29,1.7296127562231927e-33,6.695508725484735e-42,1.9355067723199931e-35,2.969776568453944e-42,8.883349649050051e-41,5.754730630722727e-29,2.007216316072079e-57,1.7317222282405057e-56,9.099164160227916e-67,3.5165084337354765e-85,4.285442522884513e-20,1.0666870724333735e-29,5.3066788266608736e-46,3.070024779600524e-47,8.560347398497883e-45,2.2442850985318568e-39,9.525965983735806e-41,2.596506141175535e-72,2.496110051202818e-69,8.104085842203109e-83
9.109060366699599e-18,0.8736983129774567,3.76,0.0,0.7422501206471048,0.9999999999999984,7.69965089953814e-37,5.312558524312957e-47,3.679548805221882e-31,3.3295551699728136e-15,1.5712534195683882e-15,6.604624548441147e-29,2.2370222481287524e-26,1.758301750268745e-15,9.106571056045752e-20,4.385861406795994e-28,1.0813416265577708e-20,1.1163147846037514e-28,7.553673348791835e-33,5.92221472655619e-41,8.452870294215849e-35,2.626733742970937e-41,7.857224166443662e-40,2.5132420567315804e-28,3.5720112890269335e-56,3.1906603938970966e-55,3.366816634399247e-65,2.6119088562430648e-83,9.106565358218852e-20,4.658502686676785e-29,4.69369733393877e-45,2.7154021523740944e-46,7.57153031621576e-44,1.985044742462656e-38,8.425610080917812e-40,9.80391582877932e-71,9.876157835086045e-68,6.430836293841408e-81
1.875394781379329e-17,0.8736983129774569,3.76,0.0,0.7422501206471013,0.9999999999999968,6.472024697404166e-36,4.465525578842669e-46,1.5361391935782688e-30,6.854966526534306e-15,3.2349335108729113e-15,2.757300735107287e-28,9.33912752696231e-26,3.620033015094956e-15,1.8748834806936713e-19,1.831010801918189e-27,2.2262962481683988e-20,4.660394474734728e-28,3.153509955808907e-32,4.9780231538339715e-40,3.5289100542943077e-34,2.2079279832502243e-40,6.604471134825302e-39,1.049229085404409e-27,6.0249435916572234e-55,5.470349839729091e-54,1.1570702354965677e-63,1.7987465799472573e-81,1.8748811019631027e-19,1.9448331668533042e-28,3.945335439084928e-44,2.2824591272207e-45,6.364327424628887e-43,1.6685496946645938e-37,7.082234714495023e-39,3.4014342567020265e-69,3.497465288095972e-66,4.561641913053189e-79
3.804372270798067e-17,0.8736983129774575,3.76,0.0,0.7422501206470942,0.9999999999999934,5.306158532404321e-35,3.6611077201389357e-45,6.2756298312407606e-30,1.3905789240026716e-14,6.562293693472135e-15,1.1264473175137315e-27,3.81533832277506e-25,7.343495544240494e-15,3.803339948433468e-19,7.480276573506373e-27,4.5162198871848607e-20,1.9039232046029617e-27,1.288311735537893e-31,4.081301983261513e-39,1.4416774364543784e-33,1.8101927575700907e-39,5.414744768851687e-38,4.28644316879769e-27,9.896168718063802e-54,9.056908784927687e-53,3.8358047196966484e-62,1.1937785095078635e-79,3.803330230542936e-19,7.945278053479634e-28,3.234624382111746e-43,1.871297897604716e-44,5.21786009805576e-42,1.3679778175727783e-36,5.806446796430538e-38,1.132819688349447e-67,1.1760763027442203e-64,3.0702109760089895e-77
7.662327249635544e-17,0.8736983129774587,3.76,0.0,0.7422501206470801,0.9999999999999868,4.297065413726805e-34,2.9648600413318206e-44,2.5367099129161834e-29,2.8007434668489232e-14,1.3217014058631294e-14,4.553280150431039e-27,1.5422207519020278e-24,1.479042060050403e-14,7.660267754159478e-19,3.0236473932199713e-26,9.09612474839857e-20,7.695961977832726e-27,5.207562196973413e-31,3.305151278856361e-38,5.827511185529748e-33,1.4659410267056704e-38,4.385000811724236e-37,1.7326488630773153e-26,1.6042260573396495e-52,1.473946050786453e-51,1.249229031368888e-60,7.7795435506225375e-78,7.660228472892196e-19,3.211608409901103e-27,2.6194827236045363e-42,1.5154255618219063e-43,4.22555832295911e-41,1.1078238526439399e-35,4.702215833915841e-37,3.697712227786512e-66,3.856897686882632e-63,2.0145106954311902e-75
1.5378237207310499e-16,0.873698312977461,3.76,0.0,0.7422501206470519,0.9999999999999735,3.458652345382759e-33,2.3863774414232795e-43,1.019999896265465e-28,5.6210725531325054e-14,2.6526454788792457e-14,1.830853914078949e-26,6.2012018126573645e-24,2.9684270704920956e-14,1.5374182846597124e-18,1.215795320642378e-25,1.8256164803548873e-19,3.09451244206363e-26,2.093937999342876e-30,2.6602761346983663e-37,2.3432330894373328e-32,1.1799168710061093e-37,3.529430165872129e-36,6.966904873120598e-26,2.5835680076845854e-51,2.3783849935938344e-50,4.032741190167206e-59,5.024005535697505e-76,1.5374024898349084e-18,1.2913736056925617e-26,2.1083876432245167e-41,1.2197463435390447e-42,3.401096846363623e-40,8.916729326090809e-35,3.784759913796824e-36,1.1950367013885583e-64,1.2493575000620263e-61,1.3053676856803967e-73
3.0810057122660407e-16,0.8736983129774658,3.76,0.0,0.7422501206469955,0.9999999999999468,2.775350793561101e-32,1.9149178377023756e-42,4.090655767167505e-28,1.1261730728063986e-13,5.3145336248486174e-14,7.34254299786307e-26,2.4869592812763367e-23,5.947197088131419e-14,3.0802250955414677e-18,4.87588303207588e-25,3.657716624473886e-19,1.2410378777530685e-25,8.397629066066271e-30,2.134705197433769e-36,9.397544845556033e-32,9.468089783694521e-37,2.8321454135496017e-35,2.794040456038096e-25,4.147207319035188e-50,3.821552901089689e-49,1.2961405658307006e-57,3.2298759435157417e-74,3.080161751229635e-18,5.178985653470151e-26,1.6918483942255758e-40,9.787696435526992e-42,2.72916585353482e-39,7.155112404235706e-34,3.0370435550751e-35,3.843058885082591e-63,4.0223437499370825e-60,8.40616077821651e-72
