Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26)
0.0,0.8834016196682932,3.76,0.0,0.9824554467669735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.423864471968935e-19,0.8834016196682932,3.76,0.0,0.9824554467669733,0.9999999999999998,4.270407976234136e-40,9.81321030722155e-51,8.434827525479139e-34,1.6322093387360319e-16,8.59916835593667e-17,3.639092244865473e-31,8.777860350634741e-29,7.722925031358064e-17,2.862885061611896e-28,1.8361372675233198e-30,3.031315134613524e-22,4.372536664904499e-31
1.7986820521513015e-18,0.8834016196682934,3.76,0.0,0.982455446766973,0.9999999999999998,5.069853884707452e-39,1.1650243286846312e-49,5.094635825397947e-33,4.570186148470079e-16,2.407767139662125e-16,2.1980117157752748e-30,5.301827651765222e-28,2.1624190087683385e-16,1.7291825772056326e-27,1.109026909609229e-29,8.487685175502372e-22,2.641012145374937e-30
4.111273262060118e-18,0.8834016196682932,3.76,0.0,0.9824554467669725,0.9999999999999994,4.977623797229437e-38,1.143827796432425e-48,2.4528478444221554e-32,1.0446139767974928e-15,5.503467747798474e-16,1.0582480246216731e-29,2.5526017899373385e-27,4.942672019985725e-16,8.325269759048106e-27,5.339487174334972e-29,1.94004364516181e-21,1.2715336618131305e-29
8.736455681877751e-18,0.8834016196682934,3.76,0.0,0.9824554467669713,0.9999999999999988,4.402656322608419e-37,1.0117027360900213e-47,1.0712230957490993e-31,2.2198047007131656e-15,1.16948689640689e-15,4.621647149065348e-29,1.1147882645024587e-26,1.0503178042229788e-15,3.635864028123843e-26,2.3318943301443457e-28,4.1225983781201645e-21,5.553121560903908e-29
1.7986820521513017e-17,0.8834016196682936,3.76,0.0,0.9824554467669689,0.9999999999999976,3.700699680903875e-36,8.503971153668117e-47,4.472145554128278e-31,4.570186148603322e-15,2.407767139660067e-15,1.9294467065052514e-28,4.6540215576531556e-26,2.1624190085955076e-15,1.5179016595556892e-25,9.73519979591621e-28,8.487725754977718e-21,2.3183189365599856e-28
3.648755020078355e-17,0.8834016196682939,3.76,0.0,0.9824554467669643,0.9999999999999951,3.0340578862310906e-35,6.9720694387782e-46,1.8270173814298374e-30,9.270949044618874e-15,4.884327626162786e-15,7.882419351485229e-28,1.9013196631743544e-25,4.3866214170354276e-15,6.201123557914556e-25,3.977146769915951e-27,1.7218052152456158e-20,9.47108929079003e-28
7.348900955932462e-17,0.8834016196682946,3.76,0.0,0.9824554467669548,0.9999999999999901,2.457059018957894e-34,5.646162754492907e-45,7.385096371108635e-30,1.8672474837590948e-14,9.83744859915369e-15,3.1861999248116333e-27,7.685438072512834e-25,8.83502623269472e-15,2.5065932891515412e-24,1.6076263147483582e-26,3.467899152246619e-20,3.828365709789433e-27
1.4749192827640674e-16,0.883401619668296,3.76,0.0,0.9824554467669361,0.9999999999999802,1.9776549690520136e-33,4.54452324721613e-44,2.9695147703286003e-29,3.7475526427298985e-14,1.9743690545077356e-14,1.281156971443909e-26,3.0902808464509817e-24,1.7731835859131118e-14,1.0078901368540245e-23,6.464194715620783e-26,6.96020165626975e-20,1.539369005105262e-26
2.9549776571057097e-16,0.8834016196682988,3.76,0.0,0.9824554467668984,0.9999999999999605,1.5869436082705063e-32,3.646694114814824e-43,1.190908237968451e-28,7.508162962177053e-14,3.955617443669213e-14,5.138012427596112e-26,1.2393408350369133e-23,3.552545509247516e-14,4.042090236131405e-23,2.5924312071531695e-25,1.3945265184399365e-19,6.173558137602538e-26
5.915094405788995e-16,0.8834016196683042,3.76,0.0,0.9824554467668233,0.9999999999999208,1.2714860451893215e-31,2.921793593087124e-42,4.76984469844183e-28,1.5029383607093563e-13,7.918114221899138e-14,2.0578849125657132e-25,4.963827702980641e-23,7.111269348104824e-14,1.6189444354942534e-22,1.038324694218616e-24,2.7917226320982926e-19,2.472643307803735e-25
1.1835327903155566e-15,0.8834016196683152,3.76,0.0,0.9824554467666728,0.9999999999998416,1.017961959466585e-30,2.3392125097538235e-41,1.9091809385269555e-27,3.007182492101539e-13,1.5843107777986884e-13,8.236902400760376e-25,1.9868246883129238e-22,1.4228716994573433e-13,6.479996816685273e-22,4.156004780513038e-24,5.586848491537464e-19,9.897016660836189e-25
2.3675794897888706e-15,0.8834016196683371,3.76,0.0,0.982455446766372,0.999999999999683,8.146789470091533e-30,1.8720826383954697e-40,7.639210591422622e-27,6.015670764521423e-13,3.169309488867395e-13,3.295833664571822e-24,7.949886682543701e-22,2.8463612162526635e-13,2.5928427723392476e-21,1.6629432980233147e-23,1.1180034738847454e-18,3.960095438483858e-24
4.735672888735499e-15,0.8834016196683809,3.76,0.0,0.9824554467657702,0.9999999999993661,6.518669324189448e-29,1.4979532598893514e-39,3.0561816832756373e-26,1.2032647347903271e-12,6.339306910409437e-13,1.318547916038197e-23,3.180472314778231e-21,5.693340199849696e-13,1.0373059343098737e-20,6.652856364803751e-23,2.2378145346728523e-18,1.5842957436984387e-23
9.471859686628755e-15,0.8834016196684683,3.76,0.0,0.9824554467645669,0.999999999998732,5.215430556920482e-28,1.1984807375929277e-38,1.222572176449688e-25,2.4066600668835287e-12,1.2679301751112036e-12,5.274619625440975e-23,1.2722924473715026e-20,1.138729796706934e-12,4.1495613495793846e-20,2.66135939335805e-22,4.4821319011810946e-18,6.337696362099668e-23
1.8944233282415266e-14,0.8834016196686434,3.76,0.0,0.9824554467621601,0.999999999997464,4.172542407825374e-27,9.588370569493176e-38,4.890487772865756e-25,4.813450792737257e-12,2.535929142299131e-12,2.109932669732203e-22,5.0893767256570814e-20,2.277521270161101e-12,1.6598920147392026e-19,1.0645872863494246e-21,8.989547610946466e-18,2.5351797971492263e-22
3.788898047398829e-14,0.8834016196689941,3.76,0.0,0.9824554467573465,0.9999999999949281,3.338112973583274e-26,7.670989729091654e-37,1.9562349662305333e-24,9.627032491114007e-12,5.071927072864611e-12,8.439894115038205e-22,2.0357919869361675e-19,4.555103897110434e-12,6.63970261145376e-19,4.258437468761899e-21,1.8079502913638867e-17,1.0140910266319226e-21
