Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749)
0.0,0.7587605699606756,3.76,0.0,0.8273277782985624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6396418761990544e-17,0.7587605699606756,3.76,0.0,0.8273277782985622,0.9999999999999998,1.0572179707306113e-37,8.781377902059596e-50,1.1560312972675804e-33,2.998329549387966e-16,2.369518113836892e-16,2.992326921662995e-29,1.2451385061976529e-27,6.288114354788972e-17,9.956661245617629e-22,4.930327308896301e-29,1.2795578219192758e-22,8.588482816981825e-30,1.0495369056039093e-34,7.38589020711901e-43,3.1630512196553755e-36,3.2216844055507596e-41,7.734248140113502e-41,3.3804006997219e-29,6.144537448208693e-59,2.9745378437824664e-58,2.4661921758437332e-67,3.87835352261731e-87,9.956631020509444e-22,1.514140290397697e-30,4.8469472618423794e-46,3.720190640846879e-48,1.1430161350718328e-44,2.14136735211913e-39,8.867029301423147e-41,1.4225669867743907e-73,2.0659496560355356e-70,7.708337811126302e-84,8.345660091968119e-88,1.2151376030819093e-62,5.395059944437883e-44,-2.4664242233888786e-89,5.346223479312153e-91,6.400622636140881e-75,9.739035644518846e-46,-1.0431902637031433e-90,7.124196547004082e-90,4.523541228628972e-76,6.396173356555827e-41,3.113831909005374e-57,2.5038053638023488e-88,6.00738757047635e-100,1.718767162691551e-80,8.108149638549969e-58,8.550216123757585e-111,-1.1987451839628577e-94,6.599035445245853e-108,-8.500449554362996e-94,8.654366701895494e-102,1.3483749765214369e-45,3.4390974304953547e-69,2.4038802362265036e-64
4.590997253357352e-17,0.7587605699606758,3.76,0.0,0.8273277782985615,0.9999999999999993,1.2551308772952865e-36,1.0425251857449977e-48,6.982429027808539e-33,8.395322738382439e-16,6.634650718742015e-16,1.8073654592321893e-28,7.520636576999033e-27,1.760672019204479e-16,2.787874935550239e-21,2.9779176953341336e-28,3.5828009239444633e-22,5.187443614185404e-29,6.339203003359153e-34,8.768869895742879e-42,1.910487081344115e-35,3.824783714105757e-40,9.182100004700418e-40,2.0417620226182956e-28,1.374958457570845e-57,8.734640276880495e-57,1.060560072790471e-65,3.0418426333480915e-85,2.787856679584896e-21,9.145407322845984e-30,5.754295963590448e-45,4.416610326990448e-47,1.356988672993766e-43,2.542231238373503e-38,1.0526944558789147e-39,8.654187158237144e-72,1.0736765490209865e-68,7.347488279540507e-82,8.293047041202346e-86,2.718259324991912e-61,6.405015098497919e-43,1.7307115508637315e-87,6.088047410632326e-89,3.893814014678333e-73,1.1563008070193721e-44,7.3028229997217e-89,6.735658434114813e-88,2.7518905263087766e-74,7.593536995169944e-40,6.965776230245993e-56,2.8512250309037194e-86,1.2373776911576052e-97,1.326277732627971e-78,1.8137604971279735e-56,1.3634672330750167e-108,8.843887441867369e-93,7.031787104621257e-106,6.245510297066822e-92,1.782593545168504e-99,1.6007906840934557e-44,1.0989349453530895e-67,5.377750417890082e-63
1.0493708007673948e-16,0.7587605699606756,3.76,0.0,0.8273277782985604,0.9999999999999984,1.2322956840415533e-35,1.0235574116503029e-47,3.361739000922643e-32,1.918930911675594e-15,1.516491592854714e-15,8.701686666412112e-28,3.6208627753705744e-26,4.024393186109912e-16,6.3723317046363906e-21,1.4337391825681983e-27,8.189443218276715e-22,2.4975307922704697e-28,3.052053458694366e-33,8.609477900561002e-41,9.198213931701616e-35,3.755195305401145e-39,9.01504045583553e-39,9.830205234585192e-28,2.717087987711474e-56,1.9097887204182022e-55,4.277011259101448e-64,2.4848504640341403e-83,6.372243810021804e-21,4.403119917742299e-29,5.649602268829965e-44,4.336254201387342e-46,1.332299351092854e-42,2.495977531236834e-37,1.033543220736989e-38,3.9069139751274356e-70,5.306507381579924e-67,7.2251103143355e-80,7.961488725344424e-84,5.371002926017723e-60,6.288481661866657e-42,1.7716369410719065e-85,5.511641039028703e-87,1.7578571246542877e-71,1.1354377301442521e-43,7.4768681210498635e-87,6.654959670248928e-86,1.2423342461657968e-72,7.455379621824498e-39,1.376344951442681e-54,2.581275876419606e-84,2.2419415557375154e-95,1.4454423204256612e-76,3.5836844730566535e-55,6.249263221072734e-106,9.369495717694342e-91,1.6002721358440706e-103,6.599636942346062e-90,3.229797142666936e-97,1.5716655997317398e-43,2.534877628865239e-66,1.0627113337910875e-61
2.229912951630714e-16,0.758760569960676,3.76,0.0,0.8273277782985583,0.9999999999999968,1.089951873259362e-34,9.05324943000316e-47,1.4681597356139585e-31,4.077728187504114e-15,3.222544634813691e-15,3.800255168001995e-27,1.5813259021970737e-25,8.551835517737857e-16,1.3541401831245425e-20,6.261515694090229e-27,1.740335216806801e-21,1.090737306485056e-27,1.3329120104561815e-32,7.615045044789641e-40,4.01713751367213e-34,3.321427675557998e-38,7.973701198480671e-38,4.293108888433795e-27,4.835240273999759e-55,3.548698592336674e-54,1.5398333384465487e-62,1.803880280254749e-81,1.3541017972371652e-20,1.922958120513041e-28,4.997009883964141e-43,3.835367719032063e-45,1.1784033771253374e-41,2.2076635511150084e-36,9.141600521213815e-38,1.475176372004726e-68,2.077885759939514e-65,5.662701861632587e-78,6.17987814239863e-82,9.558053286757861e-59,5.562090560640338e-41,1.4031282516078488e-83,4.177368223326173e-85,6.637359396697726e-70,1.0045926631146282e-42,5.92211210105679e-85,5.225606321567286e-84,4.690816362372086e-71,6.594198794259228e-38,2.4491525471907274e-53,1.9563939582457073e-82,3.4020616095272875e-93,1.1824615163629125e-74,6.376972811664584e-54,2.1404310776218183e-103,7.943175874419809e-89,2.7043957619032567e-101,5.567646651427655e-88,4.901115728692197e-95,1.3901200927011908e-42,5.0605928275958595e-65,1.8916046040516847e-60
4.590997253357352e-16,0.758760569960676,3.76,0.0,0.827327778298554,0.9999999999999933,9.161703410486914e-34,7.609801709036858e-46,6.129277830869876e-31,8.395322739776437e-15,6.634650718723449e-15,1.586531713606714e-26,6.601724353794424e-25,1.760672017226205e-15,2.7880168438209806e-20,2.614059549789556e-26,3.58336675121521e-21,4.553613488118208e-27,5.564645930426645e-32,6.40092771645844e-39,1.6771057378720667e-33,2.7918600152289624e-37,6.702376177984719e-37,1.792288450800812e-26,8.155603146035025e-54,6.107747062743548e-53,5.224636844958856e-61,1.2292747286876687e-79,2.787856590297548e-20,8.027971385060194e-28,4.200289004978766e-42,3.2238576391850514e-44,9.90518519238173e-41,1.8556737162309128e-35,7.684112792442998e-37,5.11807195540304e-67,7.3258981884223e-64,3.995489675877555e-76,4.3421104998019935e-80,1.6123213427028384e-57,4.675271829190436e-40,9.959308700274288e-82,2.9046936032408853e-83,2.3028259111822675e-68,8.449435980472842e-42,4.2037729404288064e-83,3.690061675102948e-82,1.6274616756406225e-69,5.542821329788853e-37,4.1308699258216424e-52,1.3603604459327114e-80,4.733986634579344e-91,8.510260698792635e-73,1.0755689190273489e-52,6.315654247184984e-101,6.382217147615027e-87,3.9598504713423916e-99,4.437137287806724e-86,6.819985629838914e-93,1.1684791408992162e-41,9.823098858337983e-64,3.1923796741633734e-59
9.313165856810628e-16,0.7587605699606761,3.76,0.0,0.8273277782985453,0.9999999999999866,7.511318443233434e-33,6.238975310667224e-45,2.504009940334531e-30,1.7030511846782213e-14,1.3458862886510193e-14,6.481499633872674e-26,2.6970198048288718e-24,3.571648944638367e-15,5.6560207067119e-20,1.0679286254016264e-25,7.270428797828089e-21,1.860299646198617e-26,2.273339980664951e-31,5.247876607274437e-38,6.851768458357909e-33,2.288935391111668e-36,5.495012661720811e-36,7.322083130002138e-26,1.3395808457337163e-52,1.0130938837739642e-51,1.7212950018406269e-59,8.117105501430279e-78,5.655366018779975e-20,3.279688066627628e-27,3.4436525092759553e-41,2.6431132254819443e-43,8.120860684071214e-40,1.5213925745858893e-34,6.299976557480935e-36,1.7045315201574103e-65,2.4583768766460354e-62,2.6825299312477827e-74,2.9095193208314125e-78,2.648951973943111e-56,3.833069611509126e-39,6.708457602798742e-80,1.9368619321663834e-81,7.669488976745728e-67,6.935933754890101e-41,2.8318978883566715e-81,2.4784022751100483e-80,5.420124768971981e-68,4.544339666533633e-36,6.784979137497997e-51,9.070945500790621e-79,6.315151080462367e-89,5.768530843312067e-71,1.7666227039708025e-51,1.7339581480259907e-98,5.301914826162234e-85,5.414813529460538e-97,3.6427562982981335e-84,9.098032304605928e-91,9.579888811176516e-41,1.991783157289438e-62,5.2497746355934235e-58
1.8757503063717184e-15,0.7587605699606766,3.76,0.0,0.827327778298528,0.9999999999999729,6.08286059462689e-32,5.052484132564105e-44,1.0121608155705841e-29,3.430089007063826e-14,2.7107287221952557e-14,2.61992571051403e-25,1.0901785245999817e-23,7.193602785491982e-15,1.1393030598482035e-19,4.316738288562127e-25,1.4648548802201772e-20,7.519628246919385e-26,9.189208108897492e-31,4.249870229329844e-37,2.76979184721024e-32,1.85363901956918e-35,4.45000326330832e-35,2.95970307050462e-25,2.17153251655726e-51,1.6502322634501082e-50,5.5886989493002034e-58,5.2765502943043523e-76,1.139038424519154e-19,1.3257022002794625e-26,2.788762019957052e-40,2.140461545313294e-42,6.576469628170567e-39,1.2320617699682386e-33,5.102008480099319e-35,5.563873906549067e-64,8.05414406472754e-61,1.758036351003673e-72,1.904981282974238e-76,4.296364944496169e-55,3.104118013276593e-38,4.404983026823367e-78,1.2651402163948488e-79,2.5035254660107886e-65,5.630788851157435e-40,1.859862601876107e-79,1.6245551787236154e-78,1.7692177434409544e-66,3.680123850650829e-35,1.0998753704763515e-49,5.925063497994115e-77,8.251034311701952e-87,3.798258462970388e-69,2.8637635069816706e-50,4.595659471471169e-96,4.798022813644191e-83,7.161749343731675e-95,3.2504389106717427e-82,1.1887395650689865e-88,7.758027512480911e-40,4.4198167702265095e-61,8.530476095434227e-57
3.764617747753029e-15,0.7587605699606779,3.76,0.0,0.8273277782984935,0.9999999999999456,4.896015459822776e-31,4.066679059126325e-43,4.0698538174679954e-29,6.88416465577284e-14,5.4404135892312863e-14,1.0534605476361087e-24,4.3835598823448086e-23,1.4437510411316386e-14,2.2871059045944605e-19,1.7357415103574957e-24,2.942077245525029e-20,3.0236091565802094e-25,3.694943728511588e-30,3.4206667135957356e-36,1.1138799345365957e-31,1.491969616198865e-34,3.581749022111664e-34,1.1900835868566464e-24,3.4971901624954236e-50,2.664038956514928e-49,1.8013924885153998e-56,3.403379242889496e-74,2.2860418175802096e-19,5.33058900274269e-26,2.2446430155039953e-39,1.7228295516330179e-41,5.293292518701081e-38,9.916682751955362e-33,4.106740104618678e-34,1.798147337180082e-62,2.607689548573074e-59,1.1385073157315547e-70,1.2330900654506393e-74,6.926570255242176e-54,2.4984623986629194e-37,2.856943679380642e-76,8.179666573212099e-78,8.09145633821101e-64,4.554508335954519e-39,1.206695359849099e-77,1.0521606762362294e-76,5.717798103772161e-65,2.9620834662479866e-34,1.7713161368863873e-48,3.83081214297832e-75,1.066943904700018e-84,2.465480375506758e-67,4.6119769948424534e-49,1.1969890857647194e-93,4.817979298013503e-81,9.31799677127742e-93,3.2206011996984927e-80,1.5372662744606448e-86,6.244311614787363e-39,1.0925889917044315e-59,1.3803663708589284e-55
7.54235263051565e-15,0.7587605699606795,3.76,0.0,0.8273277782984244,0.999999999999891,3.9287440668978586e-30,3.263254272660317e-42,1.6321931644337135e-28,1.379231596894207e-13,1.0899783323093574e-13,4.224847504882382e-24,1.7580035584691437e-22,2.892532543943386e-14,4.58431505963116e-19,6.961100028381698e-24,5.90291543362277e-20,1.212602274225569e-24,1.4818405537897367e-29,2.744870096557911e-35,4.468430565373531e-31,1.1972111269069768e-33,2.874126819384875e-33,4.7727674568074044e-24,5.613744068615092e-49,4.281493010528808e-48,5.785365928155246e-55,2.1866548857920944e-72,4.580047594817738e-19,2.137803613467498e-25,1.8011922402084e-38,1.3824620290177176e-40,4.247497972876362e-37,7.957477681711971e-32,3.2957209769315964e-33,5.782568704580627e-61,8.393502721577273e-58,7.329473169812575e-69,7.936521795001419e-73,1.1142458809730367e-52,2.004855789402202e-36,1.8425408184560663e-74,5.2616204402714154e-76,2.6024092289867013e-62,3.690590262847973e-38,7.788055204026181e-76,6.773915831449758e-75,1.8387531123052636e-63,2.3768848386761344e-33,2.8433551323231304e-47,2.4642035794160596e-73,1.3725116023085547e-82,1.5890647421428953e-65,7.403161492297596e-48,3.0907951707982775e-91,5.303395014066233e-79,1.202532202628467e-90,3.5090310797009654e-78,1.9777978827715248e-84,5.01062852527766e-38,2.9740852576699855e-58,2.2368524606988803e-54
