Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128)
0.0,0.9368473709877821,3.76,0.0,0.8555801754269814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.520364056691036e-19,0.9368473709877821,3.76,0.0,0.8555801754269811,0.9999999999999998,1.95776513991842e-40,4.703592749993154e-50,4.1748232151775e-33,2.7402868834133704e-16,1.0264563288532139e-16,1.7492134221432598e-31,9.935051683758789e-29,1.7138305545530407e-16,1.258448202695103e-20,1.7686882667390175e-30,1.2623162860131351e-21,4.9456367627143534e-31,6.061634187849935e-35,3.312567828923204e-44,4.941789752865255e-37,8.799409322870554e-44,1.9878289310397603e-43,1.0506339935651184e-30,2.3641991683540086e-60,1.8164924817741326e-59,1.3104713118504693e-70,2.255945672132909e-89,1.2584481719508538e-20,2.437921224393407e-31,1.487599382660811e-48,1.341829412710549e-49,2.1620472939243557e-47,4.5643779446181996e-42,2.0002235950523362e-43,2.2021873051280644e-76,2.447832863650853e-73,2.406165356238518e-87,6.41480617159738e-91,1.1702589145132697e-64,6.452037414297835e-47,-8.889864611596692e-92,-7.41064890005449e-105,4.461709345513142e-78,1.514003744197958e-48,2.490218450860871e-118,2.3485822832507035e-92,2.4120243204611737e-78
7.057019358734901e-19,0.9368473709877824,3.76,0.0,0.8555801754269807,0.9999999999999997,2.3242837987547158e-39,5.584105316738662e-49,2.521593221927575e-32,7.672803273567343e-16,2.87407772078876e-16,1.0565249069427389e-30,6.000771216981027e-28,4.798725552735603e-16,3.5236550670594776e-20,1.0682877131250296e-29,3.534485918582709e-21,2.987164604548651e-30,3.6612270513949212e-34,3.93315721137469e-43,2.9848411541723384e-36,1.0446658747714692e-42,2.3599576953032076e-42,6.345829321128304e-30,5.290815776706534e-59,4.918589692935045e-58,6.517776083523209e-69,2.04013400816495e-87,3.5236548813642103e-20,1.4725044194685686e-30,1.7660779868611888e-47,1.5930198790440022e-48,2.566782545234865e-46,5.418829493315928e-41,2.3746654750378884e-42,1.3398196837249958e-74,1.201525016566708e-71,2.1526794362135442e-85,5.896233602980981e-89,2.617830210952371e-63,7.65985881650435e-46,1.1176668053654377e-89,1.6889645020976472e-102,2.714275552369766e-76,1.7974324449600878e-47,1.4752310631014063e-115,2.0985395304192337e-90,1.4674565529654298e-76
1.6130329962822631e-18,0.9368473709877825,3.76,0.0,0.8555801754269797,0.9999999999999993,2.2820065820772288e-38,5.48250772117067e-48,1.2140385909141638e-31,1.7537836053914916e-15,6.5693205046588945e-16,5.0867126311157496e-30,2.8891130296231333e-27,1.0968515549049083e-15,8.054069193840975e-20,5.143345479897008e-29,8.078826454705577e-21,1.4381911704010869e-29,1.7627232246672945e-33,3.8618059539448446e-42,1.437072671197554e-35,1.0256591505506344e-41,2.317023609387016e-41,3.0552436532798444e-29,1.0455751686780278e-57,1.0474435706103654e-56,2.786322169174968e-67,1.7482196022755377e-85,8.054068299798197e-20,7.089474919560252e-30,1.7339458397048835e-46,1.5640363642571997e-47,2.5200823192506146e-45,5.320238924389073e-40,2.3314606936674343e-41,6.048603516849005e-73,6.142410753022284e-70,2.196238870979612e-83,5.920182258913049e-87,5.17239955056874e-62,7.520494804680407e-45,1.107894876433153e-87,3.36040096107801e-100,1.2253537556803764e-74,1.7647450837667544e-46,6.688418367765724e-113,2.1425945212333538e-88,6.624785047306482e-75
3.4276951170998093e-18,0.9368473709877825,3.76,0.0,0.8555801754269777,0.9999999999999986,2.0184133338738208e-37,4.849216005898645e-47,5.302025482661074e-31,3.726790161476858e-15,1.3959806072395342e-15,2.221501045629196e-29,1.2617515638229795e-26,2.330809554146947e-15,1.7114899039614975e-19,2.2462340989858296e-28,1.7167512610886206e-20,6.280958686619252e-29,7.6982754476425e-33,3.4158065883607485e-41,6.276075148011875e-35,9.07183903292018e-41,2.0493823937480595e-40,1.3343051718199272e-28,1.8607075295127995e-56,1.925656914078266e-55,1.0285442334185029e-65,1.2940907050757396e-83,1.711489513509527e-19,3.096159953971307e-29,1.5336554580264092e-45,1.3833724529640945e-46,2.2289842643942506e-44,4.70569106928196e-39,2.0621506672314503e-40,2.283839097777974e-71,2.4353484898777305e-68,1.7459511882102636e-81,4.677885475022858e-85,9.204017622368288e-61,6.651792481251644e-44,8.679832586685495e-86,5.275199527841815e-98,4.6267028289253e-73,1.5609241711304153e-45,2.228801704794066e-110,1.7037808980333973e-86,2.5013894570005085e-73
7.0570193587349e-18,0.936847370987783,3.76,0.0,0.8555801754269737,0.9999999999999971,1.6965997522982313e-36,4.076058263573944e-46,2.2134912681341926e-30,7.672803273710993e-15,2.8740777207852933e-15,9.274329559768862e-29,5.267564402599428e-26,4.798725552548394e-15,3.523656510000698e-19,9.377585192295766e-28,3.534490525898703e-20,2.6221766097659313e-28,3.213878472444198e-32,2.8712241461037223e-40,2.6201388644583607e-34,7.625427323957781e-40,1.7226298820307695e-39,5.570461433812288e-28,3.1384866942099216e-55,3.2981873640239274e-54,3.530949874318876e-64,8.897841975536864e-82,3.523654879940582e-19,1.292585832265888e-28,1.2891298206631458e-44,1.1628079027103176e-45,1.873595567211697e-43,3.955416866820339e-38,1.733362035450383e-39,7.92370112990434e-70,8.631902863155649e-67,1.2394260963015128e-79,3.312194305379519e-83,1.55239359663013e-59,5.5912323699619516e-43,6.130151655782265e-84,7.4587960176376275e-96,1.6052182815809465e-71,1.3120964580693466e-44,6.4844104913341486e-108,1.2096330016913577e-84,8.678476875512893e-72
1.4315667842005085e-17,0.9368473709877839,3.76,0.0,0.8555801754269658,0.9999999999999941,1.390975668251266e-35,3.341798867964041e-45,9.042834072321696e-30,1.556482949843288e-14,5.8302719478706944e-15,3.788866237144473e-28,2.1519719347992584e-25,9.734557549020765e-15,7.147992269616702e-19,3.831049535019234e-27,7.169977189814688e-20,1.0712447038056112e-27,1.3129742336280253e-31,2.3540161157262664e-39,1.0704130646492654e-33,6.251786024964038e-39,1.4123162508219932e-38,2.2757152553625444e-27,5.1550797454196415e-54,5.457949690818863e-53,1.1699337759685277e-62,5.900685632195395e-80,7.147985610289255e-19,5.280634881201593e-28,1.0569065104931268e-43,9.533401750760464e-45,1.536086821920036e-42,3.2428896972904396e-37,1.4211151609921283e-38,2.6389236820898003e-68,2.903784886894999e-65,8.344927632455593e-78,2.2273980927475558e-81,2.549814872471818e-58,4.584030086733608e-42,4.1187475485654803e-82,1.002812862917961e-93,5.3460480041517596e-70,1.0758107946412493e-43,1.768011958837474e-105,8.14477899698618e-83,2.8902943472630527e-70
2.8832964808545456e-17,0.9368473709877854,3.76,0.0,0.8555801754269501,0.9999999999999882,1.1264484336730728e-34,2.7062754274867654e-44,3.6552581125514183e-29,3.134888194889111e-14,1.1742660402017027e-14,1.5315203102421333e-27,8.698614630709838e-25,1.9606221540643423e-14,1.439667397899912e-18,1.5485714759914022e-26,1.4440983054829937e-19,4.330142363609062e-27,5.307251870694924e-31,1.906348503979032e-38,4.326787586578266e-33,5.062858404824561e-38,1.1437303941979095e-37,9.198804917492174e-27,8.356691383665282e-53,8.88030161679608e-52,3.80921389556546e-61,3.8438563566578754e-78,1.4396647060932849e-18,2.1345170458548886e-27,8.55910290413699e-43,7.720395949020188e-44,1.243962898568609e-41,2.62617611177971e-36,1.150856289387171e-37,8.6138870166336e-67,9.524709842925064e-64,5.476442930670016e-76,1.4609091913150124e-79,4.133370944419998e-57,3.712266383776589e-41,2.700437345199753e-80,1.3153274721968607e-91,1.7450397098791257e-68,8.713406991893808e-43,4.669962376152254e-103,5.345234108384536e-81,9.434401005356319e-69
5.786755874162619e-17,0.9368473709877889,3.76,0.0,0.8555801754269186,0.9999999999999764,9.066638076173105e-34,2.1782460048466275e-43,1.4697632090726623e-28,6.29169868538654e-14,2.3567437310211796e-14,6.158175796140627e-27,3.4976746847425525e-24,3.93495495186004e-14,2.8894078158365596e-18,6.226737802140374e-26,2.898312493359348e-19,1.7411311945497948e-26,2.134022708930127e-30,1.5343972105898117e-37,1.7397877551998176e-32,4.075028892160279e-37,9.205737530239998e-37,3.6987989993104403e-26,1.345826159582864e-51,1.4327718788611356e-50,1.22952787132056e-59,2.4818803464437307e-76,2.8893969922005027e-18,8.58279913606117e-27,6.889110579022108e-42,6.214046385232245e-43,1.0012495058463852e-40,2.1137749382141552e-35,9.263098871075157e-37,2.7838595264161297e-65,3.085616500485276e-62,3.5489387107709315e-74,9.464552155641107e-78,6.656701680242057e-56,2.987954898105653e-40,1.7492114812104708e-78,1.7042358386901077e-89,5.6396706894863225e-67,7.015259462033285e-42,1.214293208927206e-100,3.4639553282882994e-79,3.0490352826989156e-67
1.1593674660778768e-16,0.9368473709877952,3.76,0.0,0.8555801754268554,0.9999999999999527,7.275406495416072e-33,1.747905398498318e-42,5.894407823410159e-28,1.2605319668004531e-13,4.721699112620979e-14,2.469703915264173e-26,1.4027239856096896e-23,7.883620545336095e-14,5.788904955950498e-18,2.497200360986903e-25,5.806792928605213e-19,6.982714788400646e-26,8.558386120259459e-30,1.2312579628718243e-36,6.977371124487251e-32,3.269954032320024e-36,7.387024704972295e-36,1.483383831392207e-25,2.160354346883763e-50,2.3020209191124273e-49,3.9515057360381036e-58,1.5954218203387096e-74,5.788861548328936e-18,3.442086307899289e-26,5.528077276964865e-41,4.986380983406609e-42,8.034395800745633e-40,1.6961711567592315e-34,7.433063475623289e-36,8.952475131134458e-64,9.934705726871507e-61,2.285501496256744e-72,6.09427550302986e-76,1.0685592850965312e-54,2.3976455547773483e-39,1.1262471999140613e-76,2.1947210603044235e-87,1.8136360745061493e-65,5.63243577306245e-41,3.132882109233714e-98,2.2307869085729254e-77,9.80524090031333e-66
