Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33)
1.7184838896790775e-15,0.8112036226094389,3.76,0.0,0.5298971179941825,0.9999999999998719,9.750797454343785e-31,3.429823680133496e-41,1.8490841461256275e-27,2.3128095095739324e-13,1.2812213424857693e-13,1.0121937051690083e-24,2.2505593427763367e-22,1.0315881570278524e-13,4.146740876626252e-18,4.9674871255531165e-24,6.914038174017597e-19,1.1747647260352658e-24,3.924000946780198e-29,4.166215836234359e-35,5.488257852736892e-31,2.9316504647436735e-35,1.3015563236689192e-33,2.1748943612837787e-24,2.3540725200428367e-48,2.0214070616980456e-47,3.0566944579563172e-55,1.4667306229804143e-71,4.146346083217048e-18,4.169275945678606e-25,7.817358024679156e-39,2.1133018958473175e-40,1.3731699952558413e-37,3.4182845278647277e-32,1.435810983174954e-33,1.1442630714155659e-60,1.1697482896335086e-57,1.382473999235909e-68,2.286828214378633e-72,2.2409074725191985e-52
3.438460814883506e-15,0.8112036226094547,3.76,0.0,0.529897117993951,0.9999999999997436,7.80656689009619e-30,2.745945984403082e-40,7.401155008390567e-27,4.62762841834941e-13,2.563555822276771e-13,4.051412313031683e-24,9.008102462868639e-22,2.0640725558051776e-13,8.297873789435024e-18,1.988289482778137e-23,1.3838512267045607e-18,4.702119788222752e-24,1.570625093791363e-28,3.335506308985495e-34,2.1970572989235233e-30,2.347102901447278e-34,1.0420362875143765e-32,8.705245370431259e-24,3.7695763887097764e-47,3.237712788079741e-46,9.79226421815832e-54,9.397896274217226e-70,8.296293586945006e-18,1.6687966007628655e-24,6.258645121746551e-38,1.691926672751977e-39,1.099370206935581e-36,2.736700338603108e-31,1.149574155082955e-32,3.666161539580894e-59,3.748834837367602e-56,8.861363992551845e-67,1.4658088653369616e-70,3.588456947003772e-51
6.878414665292363e-15,0.8112036226094863,3.76,0.0,0.529897117993488,0.9999999999994872,6.24762606238962e-29,2.197593834576769e-39,2.961425705552676e-26,9.257266259293853e-13,5.128224781065652e-13,1.6210923575556448e-23,3.604414316699088e-21,4.1290413171059026e-13,1.6602508565409974e-17,7.955748342679897e-23,2.7700753028782845e-18,1.8814598816675426e-23,6.284562941890455e-28,2.6694189658628206e-33,8.793682851435276e-30,1.878395590682579e-33,8.33945447463835e-32,3.4832320484991944e-23,6.0337506022532945e-46,5.1831111315020715e-45,3.135260268257424e-52,6.018130215397217e-68,1.6596185697205743e-17,6.677357533024643e-24,5.0088268925362475e-37,1.3540558342430385e-38,8.798291094920889e-36,2.190182811308616e-30,9.200924688152963e-32,1.1738949335629553e-57,1.200530467209767e-54,5.675590992861699e-65,9.388328013907435e-69,5.744141157603991e-50
1.3758322366110077e-14,0.8112036226095496,3.76,0.0,0.5298971179925621,0.9999999999989743,4.999050017706585e-28,1.7584129565756524e-38,1.184762844327959e-25,1.851654203475668e-12,1.0257562695470925e-12,6.485422713406425e-23,1.4420004095362588e-20,8.258978694691659e-13,3.322125391845698e-17,3.182817820029327e-22,5.547840485113757e-18,7.527060554407595e-23,2.5142477913351908e-27,2.1359408736728977e-32,3.5201195732411055e-29,1.5030017657526627e-32,6.672826170707614e-31,1.3935196255337407e-22,9.655876540508048e-45,8.295194244361537e-44,1.0035609943483825e-50,3.8527311581344065e-66,3.3195958328954844e-17,2.671375753677368e-23,4.007836396707026e-36,1.083450851877233e-37,7.03995080676539e-35,1.752464293881193e-29,7.363478181939441e-31,3.757618550394566e-56,3.8431442538463946e-53,3.6337409577565116e-63,6.010795051096652e-67,9.193369978809338e-49
2.7518137767745503e-14,0.8112036226096764,3.76,0.0,0.5298971179907103,0.9999999999979484,3.9996196335987124e-27,1.4068703330859948e-37,4.739434882600136e-25,3.70350939599781e-12,2.05162385115915e-12,2.594378371551512e-22,5.768470902215771e-20,1.6518852869800441e-12,6.649664782627918e-17,1.2732310934660082e-21,1.1124638966061108e-17,3.011065981147494e-22,1.0057916796313403e-26,1.7089150715995674e-31,1.409821620044218e-28,1.2025154211470689e-31,5.3387606678489876e-30,5.574532096807634e-22,1.5450686752823475e-43,1.3274081675264164e-42,3.211838953837306e-49,2.4661279981811202e-64,6.639545723743032e-17,1.068635617793033e-22,3.2065957459729846e-35,8.668437114479382e-37,5.632465266113317e-34,1.4020809998193605e-28,5.8934868179486345e-30,1.2026209093519118e-54,1.230038239767471e-51,2.326005246756302e-61,3.847602783798485e-65,1.471368544059371e-47
5.5037768571016357e-14,0.8112036226099297,3.76,0.0,0.5298971179870064,0.9999999999958967,3.199847421566112e-26,1.1255599332110493e-36,1.8958493397326227e-24,7.407219930760404e-12,4.103359009307279e-12,1.0377920989779735e-21,2.3074821089851484e-19,3.303859889976744e-12,1.3319904842755468e-16,5.0931344040159995e-21,2.236330836925578e-17,1.2044727751973894e-21,4.0234161253045583e-26,1.3671971297031645e-30,5.652790039253773e-28,9.62057749280767e-31,4.271199862833943e-29,2.2299035209667024e-21,2.4721433975167764e-42,2.123993937223616e-41,1.0278590675981426e-47,1.5784679844035937e-62,1.3279426963482419e-16,4.274703206330836e-22,2.565433882873735e-34,6.935090586362626e-36,4.506137899107897e-33,1.1216803621610833e-27,4.7184451724213234e-29,3.848668027649509e-53,3.936497250544485e-50,1.4887427377698714e-59,2.462648137359382e-63,2.3552044999712042e-46
1.1007703017755806e-13,0.8112036226104364,3.76,0.0,0.5298971179795989,0.9999999999917932,2.559938398831577e-25,9.004856965610979e-36,7.583537598200907e-24,1.4814641599158857e-11,8.206829305299583e-12,4.151241031100418e-21,9.230115071014408e-19,6.607808167870206e-12,2.672103006023774e-16,2.037297441854895e-20,4.518093674400002e-17,4.81796810105699e-21,1.6094677517606451e-25,1.0937839252532624e-29,2.27178150535574e-27,7.696640552667621e-30,3.4170227042966866e-28,8.91979513221252e-21,3.9552347331688564e-41,3.398500398719118e-40,3.2892593793032812e-46,1.0102975324086228e-60,2.6559115275565407e-16,1.7099055073012144e-21,2.05245262491217e-33,5.548222841186639e-35,3.604918720145055e-32,8.973052936747173e-27,3.780336352640689e-28,1.2316112832450101e-51,1.2597413568796735e-48,9.527859877286383e-58,1.5761023101842765e-61,3.7712872926740536e-45
2.201555533906415e-13,0.81120362261145,3.76,0.0,0.5298971179647838,0.9999999999835862,2.0479745425511834e-24,7.204233094291064e-35,3.0334346579724015e-23,2.962948733144897e-11,1.6413769816068332e-11,1.6605038460714925e-20,3.6920826641810926e-18,1.321570101125967e-11,5.376586074790873e-16,8.14929051631312e-20,9.217735019214963e-17,1.927190027269406e-20,6.438484966830513e-25,8.750379358653321e-29,9.172175241410231e-27,6.157378913009172e-29,2.7336213385156582e-27,3.567954007379458e-20,6.327511132240199e-40,5.437680508905447e-39,1.0534852776295363e-44,6.55409968136788e-59,5.311819523356463e-16,6.83960709727604e-21,1.6420724653130248e-32,4.438660835753094e-34,2.8838457407927626e-31,7.177562973037682e-26,3.0330883437854756e-27,3.941154386995911e-50,4.554929665415673e-47,6.876903883229046e-56,1.1376133899450629e-59,6.043301589447978e-44
4.4031259981680833e-13,0.8112036226134763,3.76,0.0,0.5298971179351536,0.9999999999671723,1.6383885851479378e-23,5.763839908366795e-34,1.2133710434893231e-22,5.925918837800349e-11,3.2827650512742144e-11,6.641973504318243e-20,1.476839839601607e-17,2.6431471848467106e-11,1.0882584204446041e-15,3.259747066211772e-19,1.9161479128504768e-16,7.70866477880824e-20,2.575845860812585e-24,7.000351580794719e-28,3.7368545704121447e-26,4.9259217933564595e-28,2.1868632204284853e-26,1.4271885894848286e-19,1.0121059653244222e-38,8.700326169729055e-38,3.371258247321801e-43,4.196328024149509e-57,1.062351685122267e-15,2.735789148472276e-20,1.313811148596478e-31,3.5509975429030926e-33,2.3068927618756295e-30,5.740541683266333e-25,2.4405330469657985e-26,1.2611361747618154e-48,1.4628405042885225e-45,4.423626359943681e-54,7.318221136637432e-58,9.69866932362919e-43
8.806266926691421e-13,0.8112036226175299,3.76,0.0,0.5298971178758931,0.9999999999343444,1.3107135232099515e-22,4.6117563489786514e-33,4.853424588203038e-22,1.1851862879902047e-10,6.565541060663266e-11,2.6567356295611256e-19,5.907368480218219e-17,5.286295412474289e-11,2.228270756054939e-15,1.303913565827988e-18,4.1226802947323443e-16,3.083366126839167e-19,1.0306919805147184e-23,5.600308360069814e-27,1.549118487362819e-25,3.940732218804959e-27,1.7494208467460873e-25,5.708766695853319e-19,1.6184083256862018e-37,1.3920466882488023e-36,1.0787989761547263e-41,2.6865521209501223e-55,2.124643687388399e-15,1.0942643605029301e-19,1.0512845668096849e-30,2.8408829035751696e-32,1.845203713097229e-29,4.589980305565383e-24,1.9748914647808548e-25,4.035365213866585e-47,4.68171038284735e-44,2.8303676003340557e-52,4.6829611635967915e-56,1.5611739127987533e-41
