Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207)
1e-12,0.5124377605813699,3.76,0.0,0.7145744979345996,0.9999999999999953,6.06123544736401e-30,1.1700012916061593e-47,6.822819159795008e-34,4.7401226520920005e-15,4.734598243948112e-15,1.0218206284835093e-22,4.9794336556474484e-24,5.524509518173165e-18,4.535892264764806e-24,4.216504974528884e-24,1.8808983936267655e-24,1.6237221377707558e-25,1.3030602154102629e-33,2.0245900202630693e-38,5.926173213030879e-34,5.610486603019762e-36,6.322688195772679e-34,7.582015528807493e-25,1.8405553024662233e-54,1.1046366820430948e-52,1.1149140036289173e-59,1.416091203897323e-79,3.0819605922894156e-24,2.7526266060119034e-28,1.9899509370323828e-41
1.023e-12,0.5124377605813699,3.76,0.0,0.7145744979345995,0.9999999999999952,6.30932665299985e-30,1.217890064090061e-47,7.060886844086916e-34,4.849203351405754e-15,4.843551815666398e-15,1.0574751036542456e-22,5.153181481599856e-24,5.6516406509025356e-18,4.657543092428799e-24,4.363631897048283e-24,1.935175472153044e-24,1.680378773429566e-25,1.3485482556202451e-33,2.1074582037589884e-38,6.148968400013317e-34,5.8401282478931853e-36,6.581479092143233e-34,7.846575532211883e-25,1.9214882530190032e-54,1.1532163109092544e-52,1.1656474184695022e-59,1.481614151840376e-79,3.1528792462683013e-24,2.8486726108085453e-28,2.0714006570392182e-41
2.047e-12,0.51243776058137,3.76,0.0,0.7145744979345946,0.9999999999999903,5.054070032428845e-29,9.75501335623671e-47,2.8274157045238837e-33,9.705665628069796e-15,9.694354314111457e-15,4.2346431436997562e-22,2.0635850608775094e-23,1.13117340750163e-17,1.2335179001507127e-23,1.747413377863655e-23,5.791297043017026e-24,6.729023408552498e-25,5.4142255717034616e-33,1.688200844782275e-37,3.568269729213504e-33,4.6782059066082677e-35,5.271588228032501e-33,3.142155081011138e-24,3.0738029260712433e-53,1.848738613002518e-51,3.737601143259564e-58,9.508725884882476e-78,6.309767910161307e-24,1.1406339365612355e-27,1.659136216572689e-40
4.095e-12,0.51243776058137,3.76,0.0,0.7145744979345849,0.9999999999999807,4.045893629616183e-28,7.807718642344986e-46,1.1315119826880892e-32,1.941858953200884e-14,1.9395959315299228e-14,1.694801392370138e-21,8.258951428460853e-23,2.263189811283512e-17,3.6736550570849156e-23,6.993577868324739e-23,1.9261962638290312e-23,2.6930871329845446e-24,2.1780912534486014e-32,1.3514846525417556e-36,2.3133411767852622e-32,3.7449838567016433e-34,4.219239284376389e-32,1.2575671651158493e-23,4.905889439441827e-52,2.9606799976120286e-50,1.197165062851218e-56,6.092643392956866e-76,1.2621413369660836e-23,4.5641767904189376e-27,1.3279283433220079e-39
8.191e-12,0.51243776058137,3.76,0.0,0.7145744979345655,0.9999999999999613,3.2377592771745454e-27,6.245977751894607e-45,4.526606516783373e-32,3.884443474236424e-14,3.879916933486517e-14,6.7810570361592e-21,3.304491068420298e-22,4.527213494740604e-17,1.2172354689040826e-22,2.798217888030041e-22,6.923679079423824e-23,1.0775110522205371e-23,8.804322669601445e-32,1.0816053466093941e-35,1.6339804117546694e-31,2.9969180660351666e-33,3.3752289305466736e-31,5.031679073591904e-23,7.802531341982978e-51,4.738676507933002e-49,3.832272905417651e-55,3.8997626744076424e-74,2.5236182602460166e-23,1.8254478741266067e-26,1.0622911429075689e-38
1e-11,0.5124377605813699,3.76,0.0,0.714574497934557,0.9999999999999526,8.243495296953714e-27,1.589475578974554e-44,7.524678506922713e-32,4.742386457340375e-14,4.736860463456938e-14,1.1274094120783835e-20,5.4940169439165505e-22,5.527112379693489e-17,1.912194085071394e-22,4.652319551259273e-22,1.1165335835322786e-22,1.7914235584078534e-23,1.4796226390693466e-31,2.754063972684651e-35,3.968262935390179e-31,7.630175444450774e-33,8.589081585947632e-31,8.365666538140765e-23,3.3307904964560317e-50,2.043373730704295e-48,3.0064541710406206e-54,5.810603591361227e-73,3.079998335905193e-23,3.0336917627168586e-26,2.703253866916034e-38
1.6383e-11,0.5124377605813699,3.76,0.0,0.7145744979345267,0.9999999999999224,2.5906078499966657e-26,4.994016773866896e-44,1.810328188617058e-31,7.769611477325178e-14,7.760558944275729e-14,2.7127635144088984e-20,1.3219690610744948e-21,9.055224365682577e-17,4.364333856766222e-22,1.1194459361315757e-21,2.6131889220012146e-22,4.310441539056631e-23,3.593847152708393e-31,8.65528199935041e-35,1.2204705914033324e-30,2.397847939493546e-32,2.698599783770236e-30,2.0129537177286905e-22,1.233028191894973e-49,7.581326913718041e-48,1.2262428288356366e-53,2.4937117802850604e-72,5.043168055602551e-23,7.296942586858135e-26,8.493339586841974e-38
3.2767e-11,0.5124377605813701,3.76,0.0,0.7145744979344489,0.9999999999998448,2.0726186878007374e-25,3.989816561527969e-43,7.237278227156614e-31,1.5539943327787338e-13,1.5521842993357108e-13,1.0851498570053534e-19,5.288145714543092e-21,1.811110012731321e-16,1.644787115458614e-21,4.478112704137176e-21,1.014000533608844e-21,1.7241320226679294e-22,1.4949473095938264e-30,6.926434377524282e-34,9.416833380265646e-30,1.9183094609461925e-31,2.15582300690955e-29,8.052378980329641e-22,1.9249192177215364e-48,1.2123839365684427e-46,3.9219257900722205e-52,1.5923734330021996e-70,1.0068688327500656e-22,2.914293551905168e-25,6.785040950008045e-37
6.5535e-11,0.51243776058137,3.76,0.0,0.7145744979342935,0.9999999999996896,1.6581034845765236e-24,3.182854617661839e-42,2.891385398570998e-30,3.108059040756197e-13,3.104441120152264e-13,4.340498823387484e-19,2.1152515384580836e-20,3.6222267758641627e-16,6.377156128548465e-21,1.7913199824960747e-20,3.9933348423737615e-21,6.895446719143793e-22,6.438542155825279e-30,5.544014425802696e-33,7.394674169030224e-29,1.5345091801810931e-30,1.7195770665640356e-28,3.221064349029073e-21,2.936757809747161e-47,1.937446888927738e-45,1.2534645014184595e-50,1.0142541444043131e-68,2.0065705089263331e-22,1.1620239573582286e-24,5.412024315204358e-36
9.999999999999999e-11,0.5124377605813701,3.76,0.0,0.71457449793413,0.9999999999995264,7.761656271557594e-24,1.4823706696033206e-41,7.437972557219505e-30,4.742602669126876e-13,4.737086752707412e-13,1.1187524880481782e-18,5.45218466632275e-20,5.527015437823204e-16,1.6225464171889813e-20,4.61757123561415e-20,1.0227159630716408e-20,1.7768963250337448e-21,1.8526497176558585e-29,2.597586402594996e-32,3.432436458643953e-28,7.181875442858674e-30,8.006945173267035e-28,8.30299950519935e-21,2.399942037860615e-46,1.7179617656276494e-44,2.163429126717295e-49,3.428922626105974e-67,3.046802898436047e-22,2.9797958662004054e-24,2.520012228453426e-35
