Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520),CO3(1196),C2HO2(133),CO3(268),CH3O2(53)
0.0,0.8909138125848157,3.76,0.0,0.7368807502469898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.159481584572635e-19,0.8909138125848156,3.76,0.0,0.7368807502469895,0.9999999999999999,1.0138369377125025e-39,1.2376043934587127e-49,6.048337970791467e-33,3.33143029156232e-16,1.4394870608145717e-16,5.981959260877729e-31,2.5207619447858787e-28,1.8919432307322749e-16,1.1341670200182383e-20,4.734651624893885e-30,1.331221766467658e-21,1.2547939640911297e-30,1.0194479285217347e-34,1.0689548344145773e-43,1.0004452396040502e-36,4.8573054405871794e-43,1.093488276673531e-42,2.5995303652850127e-30,1.124207094590906e-59,7.812977280847452e-59,2.3135159332824707e-69,4.1528547143140095e-88,1.1341669548911044e-20,5.618993696164646e-31,8.261742818945321e-48,4.726175270278935e-49,1.2918717784754828e-46,2.6815845885534363e-41,1.1475432232408563e-42,2.352885840278189e-75,2.5056061842465733e-72,4.293702277082399e-86,9.942139746639944e-90,6.867090662598753e-64,4.099083004252625e-46,-1.1332521749509942e-90,3.396396032975533e-92,5.475307367564211e-77,9.283460863054892e-48,-5.2904169616890244e-92,2.6683505086745974e-91,2.116311719278279e-77,5.638801957964302e-43,4.228505965037445e-58,1.1127673249174902e-89,8.666983713812578e-103,4.024183385951177e-85,4.702140787674623e-60,2.826785637834157e-116,-3.993725067890614e-96,4.2343631972671975e-110,-4.001755439948197e-95,1.5394151759920316e-103,4.551615598281955e-47,1.1760982136065145e-69,6.997728925080111e-66,-1.1215293006829028e-96,3.8245655384182813e-113,2.8910645251557706e-76,7.256963600918587e-82,6.420656026346851e-102,1.5998922577016714e-81,5.434814791117424e-63
1.7246548436803378e-18,0.8909138125848157,3.76,0.0,0.736880750246989,0.9999999999999997,1.2036371685544377e-38,1.4692839374992944e-48,3.653196134221066e-32,9.32800481639545e-16,4.0305637702802314e-16,3.6131033933296856e-30,1.5225402146457575e-27,5.297441046021757e-16,3.175667866842183e-20,2.859729581519296e-29,3.727421751516337e-21,7.578955542346583e-30,6.157465494985906e-34,1.2691978924185803e-42,6.042689887920774e-36,5.766593018495735e-42,1.2981916503809354e-41,1.5701163406297872e-29,2.51578395467291e-58,2.1347877419944934e-57,1.058231886438589e-67,3.4607631451330324e-86,3.175667473474296e-20,3.393872192105478e-30,9.808341072692665e-47,5.610915282358741e-48,1.5337101722630583e-45,3.1835772198534753e-40,1.3623633479411358e-41,1.4314531414070766e-73,1.2366101013815587e-70,3.8821753775997243e-84,9.22307661445581e-88,1.536143736034464e-62,4.8664313400315474e-45,1.3066901052889552e-88,3.875497330952668e-90,3.330896749064072e-75,1.10214049057865e-46,6.0937978896418755e-90,2.3971583955193325e-89,1.287506191502785e-75,6.694385683737427e-42,9.459957904438013e-57,1.2697361441091402e-87,1.7887881536552738e-100,3.1052401827268314e-83,1.0518500864019799e-58,4.50812558167436e-114,4.601480242339106e-94,4.5120426453171105e-108,4.610088056757639e-93,3.177215928464979e-101,5.403678028708585e-46,3.6987383496332566e-68,1.565374846132704e-64,1.2919219691048092e-94,4.0754878846865705e-111,1.7588700247545547e-74,4.414765433998189e-80,6.841895474876817e-100,9.732925902681054e-80,1.7087922378521594e-61
3.942068214126486e-18,0.890913812584816,3.76,0.0,0.7368807502469877,0.9999999999999991,1.1817424722567471e-37,1.4425516857417333e-47,1.7588566817006873e-31,2.132115386614551e-15,9.212717189209272e-16,1.739553752702547e-29,7.330375735363625e-27,1.2108436676486272e-15,7.258670403654537e-20,1.3768366926442257e-28,8.519824943241273e-21,3.648940846431156e-29,2.9645545860036353e-33,1.24616504747115e-41,2.9092956995272516e-35,5.661675219783252e-41,1.2745732981123484e-40,7.559434302213388e-29,4.971649933530551e-57,4.560209980530487e-56,4.3805679837647704e-66,2.870690133824987e-84,7.258668509757484e-20,1.6340033662777123e-29,9.629887423689015e-46,5.508829899285977e-47,1.505805735247603e-44,3.125654985018651e-39,1.3375764842692629e-40,6.46227461735233e-72,6.301239056312339e-69,3.936143630716909e-82,9.210873685589274e-86,3.0351651299877137e-61,4.7778911416436e-44,1.3000968160111628e-86,3.508742687378986e-88,1.503726096313459e-73,1.0821050506396066e-45,6.06333122708929e-88,2.4397579227920035e-87,5.812405182472608e-74,6.57258755977867e-41,1.8692207511154318e-55,1.1495756652287956e-85,3.241208859006933e-98,3.3842426466389015e-81,2.0782785221274234e-57,2.066234015714625e-111,4.5797015813459425e-92,1.0268353886978356e-105,4.5876530026266336e-91,5.756982686436705e-99,5.3053631116849745e-45,8.255909440929567e-67,3.092963939579922e-63,1.2855410138490367e-92,9.274901915883228e-109,7.940380482610308e-73,1.9930369265938672e-78,1.5570577617342685e-97,4.393909529667612e-78,3.8122211647156097e-60
8.376894955018783e-18,0.8909138125848161,3.76,0.0,0.7368807502469853,0.9999999999999981,1.0452395665120059e-36,1.2759206352534808e-46,7.6813892207819514e-31,4.530745196598088e-15,1.9577024027058235e-15,7.597088257587516e-29,3.201367669801896e-26,2.5730427936957494e-15,1.54246788499371e-19,6.013007564907767e-28,1.810464421320145e-20,1.5935883332116521e-28,1.29469887931601e-32,1.102242315726215e-40,1.2705664199365375e-34,5.0076876133208104e-40,1.127346059851073e-39,3.301403563875346e-28,8.847506997073336e-56,8.394301649557739e-55,1.595284223401773e-64,2.0962412775915762e-82,1.5424670578791096e-19,7.136121988270388e-29,8.517526363865131e-45,4.872497665219195e-46,1.331868108275892e-43,2.764606423476639e-38,1.1830713782777977e-39,2.4400328936454524e-70,2.495387324789204e-67,3.1217766084178523e-80,7.262965122803144e-84,5.400921205005365e-60,4.225990597026411e-43,1.0198649404877965e-84,2.6593761624042994e-86,5.67778425516365e-72,9.571398712652967e-45,4.756475755228017e-86,1.9377744701938653e-85,2.1946510997204802e-72,5.813379261421864e-40,3.326253504975636e-54,8.71296190563004e-84,4.918503999357059e-96,2.7685206073269886e-79,3.6981855999153334e-56,7.077023230519775e-109,3.5945864810555695e-90,1.7353065896463283e-103,3.5998406293043885e-89,8.736170576052557e-97,4.692533554892541e-44,1.5478308371651778e-65,5.503932219244347e-62,1.0085882400468114e-90,1.5674287843606644e-106,2.998127964433617e-71,7.525334082693486e-77,2.6313601844593584e-95,1.659057787861714e-76,7.1398680721851035e-59
1.7246548436803376e-17,0.8909138125848166,3.76,0.0,0.7368807502469805,0.999999999999996,8.785875229988181e-36,1.072488183312351e-45,3.206828790202742e-30,9.32800481669925e-15,4.0305637702719715e-15,3.1716347967628887e-28,1.3365079830569187e-25,5.297441045606872e-15,3.175670923313364e-19,2.5103122926820158e-27,3.727433429916303e-20,6.6529175869542495e-28,5.405113007443876e-32,9.265103765462924e-40,5.304369314515635e-34,4.209263171200253e-39,9.476024537235128e-39,1.3782709996411515e-27,1.4923198085519656e-54,1.4385811992214683e-53,5.44218759215127e-63,1.4322462499086547e-80,3.1756674702727254e-19,2.9791904524336282e-28,7.159494115872118e-44,4.095627885662128e-45,1.1195153761559416e-42,2.323818255655854e-37,9.944429899884619e-39,8.465609113432264e-69,8.840311762588058e-66,2.213893918577555e-78,5.1380036932175225e-82,9.109461325680595e-59,3.552199715245658e-42,7.207036161168916e-83,1.8491853448523434e-84,1.96988755775726e-70,8.04584552657305e-44,3.361265364734479e-84,1.3750669397586737e-83,7.614260302012209e-71,4.886495546517739e-39,5.610272748815435e-53,6.058519236424325e-82,6.844224147312828e-94,1.9925243796032585e-77,6.2375305921995506e-55,2.0881762776073046e-106,2.5429764634135903e-88,2.5408716167632206e-101,2.5452972316555515e-87,1.2156614387173256e-94,3.944357138569363e-43,2.6789906384389003e-64,9.283753610028662e-61,7.129178739770004e-89,2.295092429090347e-104,1.0401832511618593e-69,2.610892044891355e-75,3.852891826098835e-93,5.756050163737963e-75,1.2332346222431287e-57
3.498585540037257e-17,0.8909138125848175,3.76,0.0,0.736880750246971,0.9999999999999919,7.203194067084618e-35,8.792906250914039e-45,1.3100941962074236e-29,1.8922524057437947e-14,8.176286505389686e-15,1.2957163009030304e-27,5.460071202303578e-25,1.0746237548696627e-14,6.442082396205239e-19,1.0255444815434243e-26,7.561392065525104e-20,2.7179339089570207e-27,2.20816506747901e-31,7.596128830550261e-39,2.1670117188234648e-33,3.4510082547995654e-38,7.769018071814365e-38,5.630686752142853e-27,2.451186828911773e-53,2.3812801034573117e-52,1.797715510462094e-61,9.469096627988784e-79,6.442068289407533e-19,1.2170965060996768e-27,5.86978581423981e-43,3.35784320123539e-44,9.178463109697817e-42,1.9052065669465556e-36,8.153047911714033e-38,2.819401525017584e-67,2.9732105662070768e-64,1.489903448256628e-76,3.4538007474350686e-80,1.4962373521608616e-57,2.912307914219017e-41,4.843659089764979e-81,1.2330493645527489e-82,6.560550959474998e-69,6.597303656993267e-43,2.2590292230067283e-82,9.256527641564471e-82,2.5358659957039644e-69,4.0062442703188193e-38,9.214937812367894e-52,4.039861917393222e-80,9.130384696031384e-92,1.350597893031547e-75,1.0245162858477788e-53,5.73307413660602e-104,1.7128206037171086e-86,3.474428438736803e-99,1.71250849348261e-85,1.6217285930890676e-92,3.23382219071815e-42,4.4694547497229496e-63,1.5250457385610366e-59,4.793742622838068e-87,3.138429559988922e-102,3.464199512832427e-68,8.695387661887669e-74,5.268504158826795e-91,1.9170103468978736e-73,2.0490377090603085e-56
7.046446932751094e-17,0.8909138125848193,3.76,0.0,0.7368807502469518,0.9999999999999836,5.833334400850408e-34,7.120723702982128e-44,5.295610200342061e-29,3.8111562541060804e-14,1.6467731975566794e-14,5.23749244358062e-27,2.2070480787559376e-24,2.1643830551946183e-14,1.2974926926999244e-18,4.1454147689742625e-26,1.5229391810408592e-19,1.0986323382499436e-26,8.925756576827815e-31,6.151556826776703e-38,8.759438372283537e-33,2.7947159485800684e-37,6.291552500893037e-37,2.2760136120349776e-26,3.973517147901556e-52,3.874971462951918e-51,5.844455734724387e-60,6.159138766906013e-77,1.2974869905067448e-18,4.919698655966476e-27,4.7535047038570725e-42,2.719268503621926e-43,7.432956864758625e-41,1.542885611815807e-35,6.602555189354557e-37,9.202996507161989e-66,9.751353605298753e-63,9.775465602658675e-75,2.2648329692617023e-78,2.42548303403556e-56,2.358462411549996e-40,3.176171417349377e-79,8.054185770771056e-81,2.1414750147020866e-67,5.344017373695355e-42,1.4813384504261941e-80,6.074166270050682e-80,8.277488151105596e-68,3.2443604654878378e-37,1.4937849642406353e-50,2.6388075518316184e-78,1.1929652335511142e-89,8.892942846944112e-74,1.6607850911241838e-52,1.5194895418434325e-101,1.1280781481074011e-84,4.5952679873149923e-97,1.1254184618263745e-83,2.1189379862031113e-90,2.618832891383672e-41,7.345916013212753e-62,2.4727692597842994e-58,3.1465829304103744e-85,4.1510971297714863e-100,1.1307428897217339e-66,2.838337021638513e-72,6.96810118874924e-89,6.257475766971137e-72,3.3404484527034424e-55
1.414216971817877e-16,0.8909138125848227,3.76,0.0,0.7368807502469134,0.999999999999967,4.6951754490585615e-33,5.731378326761277e-43,2.1293415651743703e-28,7.648963951688839e-14,3.305062291568773e-14,2.1059726666795833e-26,8.874443253223833e-24,4.3439016546725474e-14,2.6040702328628236e-18,1.6668530497217465e-25,3.0565721194838757e-19,4.4175522821396557e-26,3.589007719059053e-30,4.951314003936235e-37,3.5221561953204377e-32,2.24943051477561e-36,5.063988879297626e-36,9.151750630338283e-26,6.399256627177148e-51,6.252410607413754e-50,1.8850550466967218e-58,3.9738321291910425e-75,2.6040473045948486e-18,1.9781891769230295e-26,3.826034078122665e-41,2.1887038970085015e-42,5.982689485492314e-40,1.2418484687367741e-34,5.314319854027736e-36,2.9742494809076778e-64,3.158868128099974e-61,6.334172777152502e-73,1.4671364786368997e-76,3.906222754964904e-55,1.8982956594710448e-39,2.057523093795872e-77,5.2073871275902004e-79,6.920889573654819e-66,4.303503027119778e-41,9.596174338847644e-79,3.936119153872881e-78,2.675141089534471e-66,2.611343533851994e-36,2.4056977004678232e-49,1.706105872544966e-76,1.542723226411585e-87,5.77248500604669e-72,2.6746433265465796e-51,3.957694357471701e-99,7.371367993214709e-83,5.97857944647541e-95,7.322331169659357e-82,2.740193305432663e-88,2.107864284862144e-40,1.2056108366748758e-60,3.984265398644372e-57,2.0424233551984774e-83,5.4012725323096584e-98,3.654174547733548e-65,9.173128969172001e-71,9.065690146220297e-87,2.0223304751348284e-70,5.394832672077788e-54
2.833361528903412e-16,0.8909138125848298,3.76,0.0,0.7368807502468366,0.9999999999999338,3.767582778611379e-32,4.599070802207016e-42,8.539612003980475e-28,1.532457935028711e-13,6.621640479499644e-14,8.445892236037525e-26,3.5590486621520493e-23,8.70293884894048e-14,5.217259849204978e-18,6.684826274210967e-25,6.123969954234882e-19,1.7716360206432299e-25,1.439352823307512e-29,3.973120025139398e-36,1.4125618588413525e-31,1.8050262991519113e-35,4.0635321504453317e-35,3.67026132406367e-25,1.0272246514735658e-49,1.0046029917172025e-48,6.056020583210437e-57,2.553540475538934e-73,5.217167896595537e-18,7.93342324571869e-26,3.070151307257587e-40,1.756297092606734e-41,4.800730168294209e-39,9.965050273230314e-34,4.264421488008084e-35,9.564740520932438e-63,1.0170278849063255e-59,4.078959178567667e-71,9.446510963511121e-75,6.270535736183816e-54,1.52326260239565e-38,1.3248190820352735e-75,3.3496992153558775e-77,2.225662322150012e-64,3.456777429985059e-40,6.17896208061378e-77,2.5347909236500747e-76,8.602853287225362e-65,2.095438694332058e-35,3.86168004262605e-48,1.0974683331889562e-74,1.984796498713215e-85,3.7205179838507406e-70,4.29339532129394e-50,1.0219433609398024e-96,4.828350649917549e-81,7.715065386995453e-93,4.755816301447452e-80,3.5254504495149325e-86,1.6914279235838144e-39,1.9998508268516574e-59,6.401878236673975e-56,1.3203329954625298e-81,6.971556219002608e-96,1.1750048549852352e-63,2.9500142365847525e-69,1.1698791015428036e-84,6.503656026791596e-69,8.672034365651104e-53
