Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6)
0.0,0.8066799636995016,3.76,0.0,0.6579546707602066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3665549756180633e-18,0.8066799636995016,3.76,0.0,0.6579546707602064,0.9999999999999999,6.268436831048928e-54,0.0,0.0,1.412271846816059e-16,7.702933315387063e-17,8.15327260206577e-31,9.067500790697937e-43,6.419785152773609e-17
3.8263539317305775e-18,0.8066799636995016,3.76,0.0,0.6579546707602063,0.9999999999999998,1.767799481334901e-52,0.0,0.0,3.954361171084939e-16,2.1568213283082967e-16,4.924576651122561e-30,1.3702807194820756e-41,1.797539842776691e-16
8.745951843955604e-18,0.8066799636995016,3.76,0.0,0.6579546707602058,0.9999999999999996,3.845350007563104e-51,0.0,0.0,9.038539819622587e-16,4.92987732184715e-16,2.370971671892979e-29,1.4740854685139485e-40,4.108662497775674e-16
1.8585147668405658e-17,0.8066799636995017,3.76,0.0,0.6579546707602048,0.999999999999999,7.12863084773632e-50,0.0,0.0,1.920689711669744e-15,1.0475989308923548e-15,1.0354656196483474e-28,1.3549385080905546e-39,8.730907807774929e-16
3.8263539317305766e-17,0.8066799636995017,3.76,0.0,0.6579546707602028,0.9999999999999979,1.225229505357721e-48,0.0,0.0,3.954361171084539e-15,2.1568213283071116e-15,4.322865126289221e-28,1.1591784199674817e-38,1.7975398427778593e-15
7.762032261510598e-17,0.8066799636995021,3.76,0.0,0.6579546707601986,0.9999999999999957,2.0307280508416655e-47,0.0,0.0,8.02170408991342e-15,4.3752661231345314e-15,1.76603145249513e-27,9.584311338402001e-38,3.646437966780656e-15
1.5633388921070641e-16,0.8066799636995027,3.76,0.0,0.6579546707601905,0.9999999999999912,3.306514198226692e-46,0.0,0.0,1.6156389927568354e-14,8.812155712780996e-15,7.138581469171071e-27,7.793802806520443e-37,7.3442342147945e-15
3.137610224019073e-16,0.806679963699504,3.76,0.0,0.6579546707601742,0.9999999999999823,5.3367272446084446e-45,0.0,0.0,3.242576160286691e-14,1.7685934892040433e-14,2.8703921912628186e-26,6.285984310688108e-36,1.4739826710855182e-14
6.286152887843091e-16,0.8066799636995059,3.76,0.0,0.6579546707601417,0.9999999999999646,8.575977406736648e-44,0.0,0.0,6.496450495341877e-14,3.5433493250425336e-14,1.1511556333861249e-25,5.049244440551234e-35,2.9531011703108547e-14
1.2583238215491126e-15,0.8066799636995104,3.76,0.0,0.6579546707600766,0.9999999999999291,1.3751402999756587e-42,0.0,0.0,1.3004199165434144e-13,7.092860996665922e-14,4.610626795360545e-25,4.047594383326753e-34,5.91133816881433e-14
