Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93)
0.0,0.7974310143932046,3.76,0.0,0.7370531056448778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.037986691275237e-18,0.7974310143932046,3.76,0.0,0.7370531056448775,0.9999999999999998,2.1453435738619936e-38,1.2303396414187025e-49,2.46381937005257e-33,3.081274482843133e-16,2.0449294883862626e-16,7.223104951246483e-30,8.0048312921819e-28,1.0363449944122042e-16,2.7467712489671026e-21,2.1681884545645482e-29,3.6027133644860757e-22,4.503065993344915e-30,1.1468746753151449e-34,4.064996109194888e-43,2.2830506372614685e-36,8.199202246396465e-42,1.9058453633393533e-41,1.354709209717789e-29,4.218059988909294e-59,2.1623862164219558e-58,5.259637970411943e-68,2.352359169726763e-87,2.7467694006909936e-21,1.228349263802484e-30,1.3059170432450684e-46,2.0770812291413456e-48,2.6640556074670185e-45,5.184367405397775e-40,2.153529980755792e-41,4.4514936516790624e-74,4.968210429572172e-71,1.5509094511306679e-84,2.2474485108835972e-88,5.453623235481065e-63,1.079596085488196e-44,-1.115507526507018e-89,2.85240942825844e-91,1.568789776467622e-75,2.1249725098487915e-46,-4.9077731451971505e-91,2.8263024062044984e-90,1.985139565070417e-76,1.2620928888303039e-41,1.8688613202409247e-57,1.1628405899693973e-88,8.20401499979107e-101,4.9429821395928846e-82,1.4491380840443172e-58,1.2019569861600952e-112,-4.7624927807471966e-95,1.1187236335244529e-108,-3.860499853428307e-94,3.151113270991092e-102,4.7476560496852684e-46,2.9650404946113644e-69
1.4106362735570665e-17,0.7974310143932049,3.76,0.0,0.7370531056448769,0.9999999999999994,2.546958970492303e-37,1.4606592248546103e-48,1.4881468990379518e-32,8.627568552019978e-16,5.725802567480223e-16,4.362755389056755e-29,4.834918100383089e-27,2.9017659842699724e-16,7.690965480654657e-21,1.309585826719024e-28,1.0087622798892648e-21,2.719851858452495e-29,6.927123075170717e-34,4.826243307033385e-42,1.3789634981647428e-35,9.7340928979096e-41,2.2626201551359e-40,8.182443626660635e-29,9.438695765116762e-58,6.169586135241958e-57,2.310054910454975e-66,1.8832212615245477e-85,7.69095431706696e-21,7.419229545969021e-30,1.5503847198732952e-45,2.4659108347837936e-47,3.1627667604851826e-44,6.154880923563592e-39,2.556671335113421e-40,2.7080801501315694e-72,2.5250814032008635e-69,1.4459143097601397e-82,2.1756504859381992e-86,1.2199579317034782e-61,1.2816964680178073e-43,9.246490869806451e-88,3.250065691870057e-89,9.543715860734661e-74,2.522843802941017e-45,4.06070850199713e-89,2.613893950640123e-88,1.2076599380053371e-74,1.4983566765771152e-40,4.18079966896705e-56,1.3249529692701606e-86,1.6907969023942323e-98,3.8142264536970164e-80,3.2416638679969613e-57,1.9167155309907498e-110,3.969319856292308e-93,1.19208698574788e-106,3.2109248710652086e-92,6.494252837987368e-100,5.636417170217739e-45,9.3518812124709e-68
3.224311482416152e-17,0.7974310143932049,3.76,0.0,0.7370531056448758,0.9999999999999987,2.500622522652944e-36,1.4340838935983611e-47,7.164786721005846e-32,1.972015669061048e-15,1.308754872566289e-15,2.100478917578295e-28,2.3278049396243227e-26,6.632607963648712e-16,1.757937787821685e-20,6.305092028304261e-28,2.3057543181032317e-21,1.3094915885728427e-28,3.335111609042173e-33,4.738556959721192e-41,6.639124690927639e-35,9.556990110461415e-40,2.2214541187251087e-39,3.9394943818070816e-28,1.8652023044731173e-56,1.336814850788109e-55,9.402539027907145e-65,1.543315994199695e-83,1.757932413034762e-20,3.5720396480406184e-29,1.5221769246179623e-44,2.4210458785150175e-46,3.105223040294584e-43,6.042898461345194e-38,2.510156225645344e-39,1.2225570956191522e-70,1.2644794317343533e-67,1.4401296561802961e-80,2.1200261997865217e-84,2.4104474171285478e-60,1.2583771827563153e-42,9.361071268608353e-86,2.9423956441244726e-87,4.3084917794269734e-72,2.4771049191453145e-44,4.111494448065913e-87,2.6157402914258943e-86,5.4519483932787195e-73,1.4710954679875854e-39,8.260778968874952e-55,1.1995252699154735e-84,3.0635229650005507e-96,4.156930539837866e-78,6.404981274524808e-56,8.785002618048221e-108,4.0407765950176123e-91,2.7129120480163644e-104,3.263749050768449e-90,1.1766824983882066e-97,5.533867606410416e-44,2.1001859757206382e-66
6.851661900134323e-17,0.797431014393205,3.76,0.0,0.7370531056448736,0.9999999999999972,2.2117735345076713e-35,1.2684309722849036e-46,3.129050592622827e-31,4.190533296873877e-15,2.7811041042007212e-15,9.173343264893152e-28,1.0166135739601862e-25,1.4094291921059001e-15,3.7356298410089553e-20,2.753599339808551e-27,4.89977899986176e-21,5.718893787865003e-28,1.4565308921017613e-32,4.191248682114145e-40,2.899488073167287e-34,8.453049489274263e-39,1.9648510977850912e-38,1.7204806962875857e-27,3.319252205696198e-55,2.4750576867449323e-54,3.3990904823368284e-63,1.121477635949445e-81,3.735606367902382e-20,1.5600035535622345e-28,1.3463482748280894e-43,2.1413876586660866e-45,2.7465343999593586e-42,5.344875028857311e-37,2.220206797120251e-38,4.6161431855174275e-69,4.975723110020778e-66,1.134383263856049e-78,1.6555728072097012e-82,4.289318896268571e-59,1.1130203498685772e-41,7.386590128604627e-84,2.2301021222132353e-85,1.6268062148471426e-70,2.191259278230945e-43,3.24441442077055e-85,2.064172230871612e-84,2.0585510263299664e-71,1.3011672778772008e-38,1.4699796045292414e-53,9.091448889701826e-83,4.648810958460932e-94,3.400627236922761e-76,1.1397321026085277e-54,3.008946448070532e-105,3.2242946594203264e-89,4.584704813802428e-102,2.5961717271490517e-88,1.7855863174928733e-95,4.894642882267787e-43,3.985453406638877e-65
1.4106362735570665e-16,0.7974310143932051,3.76,0.0,0.7370531056448691,0.9999999999999942,1.859129413302236e-34,1.0661926758186565e-45,1.3063170233923269e-30,8.627568552878438e-15,5.7258025674611786e-15,3.829690224279991e-27,4.244161549792598e-25,2.901765983049082e-15,7.691052242082808e-20,1.1495735208705407e-26,1.0087990784701064e-20,2.387525568356521e-27,6.080730016234374e-32,3.523016372233443e-39,1.210485783114542e-33,7.105297373045771e-38,1.6515757638885272e-37,7.182668229437593e-27,5.598585588882885e-54,4.252894008067907e-53,1.15556357770232e-61,7.645392852144901e-80,7.690954246483575e-20,6.512707693478427e-28,1.1316868874372708e-42,1.7999653495249815e-44,2.308627294861494e-41,4.4926891335068e-36,1.8662210259334883e-37,1.6015545317560025e-67,1.7579601760207588e-64,8.021302528977238e-77,1.1663085507368935e-80,7.234753234818002e-58,9.355606389446338e-41,5.233904507118622e-82,1.5506838062987936e-83,5.644158270043079e-69,1.8423700013093512e-42,2.298950015661612e-83,1.4607334442319787e-82,7.142068148878093e-70,1.0937094916511201e-37,2.4793499563946408e-52,6.321667335217249e-81,6.46888814665624e-92,2.447456049265023e-74,1.922324462222852e-53,8.878340233367537e-103,2.335411800994205e-87,6.713027689301158e-100,1.869063523063273e-86,2.484678626766695e-93,4.114241683919148e-42,7.063769555631034e-64
2.861576440644335e-16,0.7974310143932057,3.76,0.0,0.7370531056448603,0.9999999999999883,1.5242268108034746e-33,8.741291967335728e-45,5.336731252347838e-30,1.75016390664032e-14,1.1615199493948474e-14,1.5645534071891032e-26,1.733878476092262e-24,5.886439562779942e-15,1.5602050223027655e-19,4.696382939263196e-26,2.0465064039667608e-20,9.753820883757328e-27,2.484176833678916e-31,2.8883893574668297e-38,4.945283224834864e-33,5.8253519767216644e-37,1.3540615898814188e-36,2.934354336205507e-26,9.195838753172747e-53,7.048752689256564e-52,3.810731137823603e-60,5.049243706104243e-78,1.5601649879029778e-19,2.6606535519887222e-27,9.278253477146511e-42,1.4757203331865018e-43,1.8927515483023115e-40,3.6833773634778284e-35,1.530046383236563e-36,5.333845206411903e-66,5.905023242199344e-63,5.390845062436189e-75,7.824742540020947e-79,1.1883727507946092e-56,7.670290874142747e-40,3.522192770520737e-80,1.0340038721859105e-81,1.8797482055451477e-67,1.5112808491212091e-41,1.5471362355320119e-81,9.820666487862144e-81,2.3786065150648613e-68,8.966891095524792e-37,4.072351326218729e-51,4.2153207267506194e-79,8.629604083947929e-90,1.658965307392898e-72,3.157422664852844e-52,2.4375441233014114e-100,1.6399719351735022e-85,9.179524716428534e-98,1.297490775259661e-84,3.3146272159110616e-91,3.3731029484460205e-41,1.2334417879336013e-62
5.763456774818871e-16,0.7974310143932064,3.76,0.0,0.7370531056448425,0.9999999999999766,1.2343584664068503e-32,7.078925264421183e-44,2.1571920757784877e-29,3.5249780099515235e-14,2.339399334678858e-14,6.324174948498288e-26,7.008614018998421e-24,1.185578671361965e-14,3.1424658900105023e-19,1.8983530807597965e-25,4.122180929074406e-20,3.94265027589173e-26,1.004144166697725e-30,2.3390956507003846e-37,1.9990060630319039e-32,4.717520911454417e-36,1.0965541550650099e-35,1.1861129388113945e-25,1.4906962914176445e-51,1.1477326980624821e-50,1.2378536217881223e-58,3.2825401069136695e-76,3.1423040645657473e-19,1.0754786693482686e-26,7.513771253338443e-41,1.1950765707474688e-42,1.532798322049727e-39,2.982893474620029e-34,1.2390803553685412e-35,1.7410558432104147e-64,1.9355206363814813e-61,3.5346933953139135e-73,5.126249128192853e-77,1.9266055774357102e-55,6.211599628665821e-39,2.31122559476452e-78,6.754025521281119e-80,6.135862458470533e-66,1.2251614372967517e-40,1.0152567455088964e-79,6.440391053013893e-79,7.764166527598669e-67,7.261620715813555e-36,6.601466223344289e-50,2.753412631740408e-77,1.1275191228700147e-87,1.09233712566207e-70,5.118314841105529e-51,6.460447222660968e-98,1.165811391628614e-83,1.214087209308499e-95,9.03481796863353e-83,4.33086068565754e-89,2.7316246727575397e-40,2.2057590802109596e-61
1.1567217443167945e-15,0.7974310143932083,3.76,0.0,0.737053105644807,0.999999999999953,9.935191102508804e-32,5.697735542807416e-43,8.673974271671764e-29,7.07460621899894e-14,4.6951581051930824e-14,2.542922872606534e-25,2.818132868268391e-23,2.3794480980811003e-14,6.30723271150034e-19,7.633194309523584e-25,8.274569475740327e-20,1.5853222748119304e-25,4.037620913249575e-30,1.882708895329581e-36,8.038265402182334e-32,3.797071000307404e-35,8.826021316660895e-35,4.769307958433426e-25,2.4007279167520294e-50,1.8524806244492017e-49,3.9908851675777064e-57,2.117321862901307e-74,6.306582018505413e-19,4.3244521341972675e-26,6.047738450233751e-40,9.619015681666242e-42,1.2337279032280313e-38,2.4008905446093033e-33,9.973343569569861e-35,5.6267911413337e-63,6.268089535733316e-60,2.289624516974972e-71,3.3191933973755076e-75,3.103389933053337e-54,4.999634511310244e-38,1.497852477675213e-76,4.366770815918976e-78,1.9830378383966927e-64,9.881883369065919e-40,6.580156326628854e-78,4.172174418326674e-77,2.5092437940624788e-65,5.84478381598262e-35,1.0631465157239514e-48,1.7802020257879634e-75,1.4580539490172513e-85,7.090451991184665e-69,8.242877436515518e-50,1.6826998762997366e-95,8.717517187538655e-82,1.5795794538928651e-93,6.530186217926573e-81,5.600629502540854e-87,2.198646689876262e-39,4.191960347077884e-60
2.317473877986609e-15,0.7974310143932116,3.76,0.0,0.737053105644736,0.999999999999906,7.972365267069978e-31,4.57207496523128e-42,3.478651484904558e-28,1.4173862646793814e-13,9.406675646006357e-14,1.0198257592340082e-24,1.1301973212276822e-22,4.767186937724148e-14,1.2637746698771803e-18,3.0612523727254888e-24,1.6583504554820974e-19,6.357850887697529e-25,1.6192676823659693e-29,1.510755799863118e-35,3.2239846306593335e-31,3.0469099545370625e-34,7.0823254260215244e-34,1.9127058027329817e-24,3.853701213463397e-49,2.9769208935295346e-48,1.2818664289701185e-55,1.360392750677939e-72,1.2635137128841355e-18,1.7342984858618976e-25,4.852931900686988e-39,7.718653894296542e-41,9.899864785094421e-38,1.9265608438907656e-32,8.0032158615765e-34,1.8094913805509762e-61,2.0177740424279872e-58,1.4741917995976e-69,2.1366488520437274e-73,4.98371825649483e-53,4.0118897962960226e-37,9.648260906516584e-75,2.808960852185721e-76,6.377365506767918e-63,7.962839232270524e-39,4.2391828133519694e-76,2.6864031509664813e-75,8.069348001192205e-64,4.690070466793703e-34,1.7065861726893412e-47,1.1451309575944936e-73,1.875775419017872e-83,4.569980463987366e-67,1.3231609050705585e-48,4.345003753764784e-93,7.111923189487101e-80,2.0384118947682432e-91,5.075516631956044e-79,7.205597441380453e-85,1.764271502175908e-38,8.762755604990532e-59
