Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24)
0.0,0.6554408764791276,3.76,0.0,0.5580160647759378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0366289024597211e-16,0.6554408764791276,3.76,0.0,0.5580160647759377,0.9999999999999999,4.3263776275827e-37,3.211606985343764e-50,2.0325460897737487e-34,1.90537733574302e-16,1.7602485147946925e-16,1.9322407932602106e-28,1.3773493661975822e-27,1.4512882089821932e-17,1.0063101951580788e-22,1.278994076001711e-28,2.197621471498541e-23,1.6439307759260444e-29,3.154682641230869e-35,6.479563114951752e-43,1.1979383975188399e-36,2.538231921352349e-42,2.5774841618437883e-42,5.0333266810918785e-29,3.515698213915272e-59,2.127465890925964e-58,6.645455496974315e-68,2.2276614917570188e-88,1.0062902036553843e-22
2.9025609268872193e-16,0.6554408764791276,3.76,0.0,0.5580160647759372,0.9999999999999994,5.13627765473722e-36,3.812819776452567e-49,1.2276578318784801e-33,5.335056540135925e-16,4.928695841426945e-16,1.1670734357432762e-27,8.319190169836259e-27,4.063606984063246e-17,2.817733312550774e-22,7.725124224685871e-28,6.153750264085523e-23,9.929341831078985e-29,1.9054285352942266e-34,7.692700168194366e-42,7.23574228800514e-36,3.0133889358999157e-41,3.059994315944527e-41,3.040129315341162e-28,7.867879470323039e-58,6.460518346297156e-57,3.698924647567312e-66,2.254165253918483e-86,2.8176125638745255e-22
6.634424975742215e-16,0.6554408764791276,3.76,0.0,0.5580160647759366,0.9999999999999988,5.042828792898259e-35,3.743448987713098e-48,5.910643933889082e-33,1.2194414949143617e-15,1.126559049469868e-15,5.618956176012324e-27,4.0053319539068366e-26,9.288244529877772e-17,6.4408386117685635e-22,3.719314781466283e-27,1.406764842481481e-22,4.780550613119975e-28,9.173820356142212e-34,7.552810004167397e-41,3.483890856776238e-35,2.9585631240242276e-40,3.0043228144677816e-40,1.463691398803983e-27,1.5548618446674642e-56,1.4269275692895798e-55,1.6415886016052213e-64,2.0035733516138702e-84,6.440257258870607e-22
1.4098153073452207e-15,0.6554408764791276,3.76,0.0,0.5580160647759352,0.9999999999999976,4.460325326634046e-34,3.311038096466978e-47,2.5813334356672393e-32,2.5913131768046508e-15,2.393937980127107e-15,2.4539457549591524e-26,1.7492336919753284e-25,1.973751960411652e-16,1.3688085467932019e-21,1.6243224852572588e-26,2.990200704846988e-22,2.0877919993766584e-27,4.006450267591986e-33,6.6804032692321755e-40,1.521674703142181e-34,2.6168155742769832e-39,2.65729041115823e-39,6.392324884391987e-27,2.7670373059830205e-55,2.662071535165097e-54,6.15122980399481e-63,1.5046689334540358e-82,1.3685546547093965e-21
2.902560926887219e-15,0.6554408764791276,3.76,0.0,0.5580160647759325,0.999999999999995,3.74917233204913e-33,2.7831267895759503e-46,1.0776558482871618e-31,5.335056540940236e-15,4.928695841453154e-15,1.0244740213533816e-25,7.3027063117191235e-25,4.063606968303277e-16,2.818672421115662e-21,6.781226669576845e-26,6.159697350436742e-22,8.716120199512196e-27,1.6726157054027129e-32,5.615292734552525e-39,6.354094720893456e-34,2.199591157977777e-38,2.2336130816190738e-38,2.668669805779614e-26,4.6672027082476506e-54,4.590020047600604e-53,2.1261281716644638e-61,1.0413527615453015e-80,2.8176124716465487e-21
5.888052165971216e-15,0.6554408764791277,3.76,0.0,0.558016064775927,0.9999999999999899,3.0737980401871827e-32,2.2817751052838528e-45,4.402575382901459e-31,1.0822543270631426e-14,9.99821156415152e-15,4.185310447925755e-25,2.9833937975700698e-24,8.243316956262032e-16,5.7200581821086265e-21,2.770352394944095e-25,1.2509190324892398e-21,3.5608191621866383e-26,6.833193872678899e-32,4.6037607605880237e-38,2.597000681044557e-33,1.8033577132546065e-37,1.8312511339025514e-37,1.0902386919779745e-25,7.666020705505281e-53,7.620032020828221e-52,7.067676162427878e-60,6.927437103905609e-79,5.715727942690784e-21
1.185903464413921e-14,0.6554408764791277,3.76,0.0,0.558016064775916,0.9999999999999798,2.4892413509276784e-31,1.8478400136623603e-44,1.7795910473739054e-30,2.1797516735693903e-14,2.0137243009733326e-14,1.6917692331011773e-24,1.205935463472075e-23,1.6602736820881554e-15,1.1529461753398425e-20,1.1198207600072156e-24,2.5250175005637687e-21,1.4393397636337927e-25,2.76209668951625e-31,3.7282466794535286e-37,1.0506753458791257e-32,1.4604058123588381e-36,1.4829947673198494e-36,4.406919105248154e-25,1.2426963530220137e-51,1.2417517698536053e-50,2.3048634486289537e-58,4.519623814704482e-77,1.1511958233459044e-20
2.3800999600475197e-14,0.655440876479128,3.76,0.0,0.558016064775894,0.9999999999999595,2.003557977071539e-30,1.4873013943433703e-43,7.155654810918317e-30,4.374746368853924e-14,4.0415305901637274e-14,6.802528334104398e-24,4.8490133802893755e-23,3.3321576104928686e-15,2.3174797092487133e-20,4.502750248427029e-24,5.090013928429948e-21,5.787519679014968e-25,1.1106353527558933e-30,3.0008181051554984e-36,4.2321672759484803e-32,1.175461619569003e-35,1.1936433328476288e-35,1.7720027883608604e-24,2.0012969661151133e-50,2.0050283163679885e-49,7.445467119448963e-57,2.920427692013353e-75,2.3104416209715334e-20
4.768492951314717e-14,0.6554408764791283,3.76,0.0,0.5580160647758502,0.999999999999919,1.6077290515442592e-29,1.1934640857212545e-42,2.869735601339745e-29,8.764735768511143e-14,8.09714316884065e-14,2.7281170332935927e-23,1.9446711792635957e-22,6.675925289225538e-15,4.6571580551049994e-20,1.8058044196698766e-23,1.0287204742899012e-20,2.3210524749426477e-24,4.454212060471653e-30,2.4079680137478837e-35,1.7032622479048778e-31,9.432338725249927e-35,9.578237775923045e-35,7.106523716712568e-24,3.212412285837307e-49,3.222699934848981e-48,2.3937952896457428e-55,1.8780546674571997e-73,4.628932174111166e-20
