Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9)
0.0,0.5353448871540822,3.76,0.0,0.5007497405381122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5353448871540822,3.76,0.0,0.5007497405381122,1.0,1.2231202018907284e-51,7.105776951048813e-57,2.05620133370436e-37,2.6294772844639594e-17,2.6164059262852007e-17,6.0714555448110235e-28,6.649994152562464e-43,1.3071358227582885e-19,5.944957757627652e-29
3.0000000000000002e-15,0.5353448871540822,3.76,0.0,0.5007497405381122,1.0,7.594756278876089e-50,6.003671721123151e-56,1.0322969960899538e-36,6.493199008434554e-17,6.46092075675432e-17,3.04811848378821e-27,2.0120594510644366e-41,3.22782519253466e-19,2.9846114441747395e-28
7e-15,0.5353448871540822,3.76,0.0,0.500749740538112,0.9999999999999999,1.0430367575414712e-48,9.38256437763734e-55,6.353242487788043e-36,1.7011108145092163e-16,1.6926544461974303e-16,1.8759558141446645e-26,1.3144941683103633e-40,8.456368462643304e-19,1.8368706170387698e-27
1.5e-14,0.5353448871540822,3.76,0.0,0.5007497405381118,0.9999999999999997,1.9366100394749443e-47,9.27501437355499e-54,3.0154822003200094e-35,3.804692641490211e-16,3.78577918726459e-16,8.903974936850192e-26,1.2452605420148596e-39,1.891345494164858e-18,8.718462489664794e-27
3.1e-14,0.5353448871540823,3.76,0.0,0.5007497405381114,0.9999999999999992,3.4670654377024787e-46,8.137621259951597e-53,1.3039673514454493e-34,8.011856294050094e-16,7.972028669491561e-16,3.850293624826537e-25,1.112325280346153e-38,3.982762765481112e-18,3.770073776627701e-26
6.300000000000001e-14,0.5353448871540823,3.76,0.0,0.5007497405381105,0.9999999999999983,5.889076313418877e-45,6.801506380347309e-52,5.414355777289754e-34,1.6426183593561433e-15,1.6344527634316109e-15,1.5987253754558543e-24,9.416676326692824e-38,8.16559721017441e-18,1.5654165301955363e-25
1.2700000000000001e-13,0.5353448871540823,3.76,0.0,0.5007497405381088,0.9999999999999967,9.71046817122024e-44,5.559038522327646e-51,2.205733326982066e-33,3.325483817015042e-15,3.308952556544763e-15,6.512983461220175e-24,7.748922100862578e-37,1.6531265707804206e-17,6.377289309232084e-25
2.55e-13,0.5353448871540823,3.76,0.0,0.5007497405381055,0.9999999999999933,1.577193146991599e-42,4.494914609966146e-50,8.903209072843299e-33,6.691214723359372e-15,6.6579521433640394e-15,2.628895517473475e-23,6.286802663696224e-36,3.326260113603673e-17,2.5741251850940763e-24
5.11e-13,0.5353448871540822,3.76,0.0,0.5007497405380987,0.9999999999999867,2.542495052949215e-41,3.6155558724358e-49,3.5773681482131185e-32,1.3422676500154232e-14,1.3355951319374478e-14,1.056306511915434e-22,5.064769713179585e-35,6.672526572439488e-17,1.0343003757091415e-23
1e-12,0.5353448871540822,3.76,0.0,0.5007497405380859,0.9999999999999738,3.9112376480818766e-40,2.787024688156524e-48,1.385811827515581e-31,2.6280820147610018e-14,2.615017631698701e-14,4.0919444529549093e-22,3.9060945697217525e-34,1.3064415968338375e-16,4.0067036430827206e-23
1.023e-12,0.5353448871540822,3.76,0.0,0.5007497405380853,0.9999999999999732,4.083243225349975e-40,2.9011060569111205e-48,1.4341670939613236e-31,2.6885599910169288e-14,2.6751949680882895e-14,4.2347249696091177e-22,4.065994783961604e-34,1.3365056982869408e-16,4.1465099317321936e-23
2.047e-12,0.5353448871540823,3.76,0.0,0.5007497405380583,0.9999999999999465,6.545408002992184e-39,2.325633869865824e-47,5.743110930071824e-31,5.3811446155905185e-14,5.354394644184983e-14,1.695785550486874e-21,3.258473643188178e-33,2.6750107774770904e-16,1.6604659739567319e-22
4.095e-12,0.5353448871540823,3.76,0.0,0.5007497405380045,0.9999999999998929,1.0482415285556694e-37,1.8644589950452537e-46,2.2985331345728036e-30,1.0766313635023533e-13,1.0712794011558385e-13,6.786893482339954e-21,2.609046221801067e-32,5.352016924280838e-16,6.64558447728144e-22
8.191e-12,0.5353448871540823,3.76,0.0,0.5007497405378968,0.9999999999997857,1.6779606687724857e-36,1.4964310302254263e-45,9.196710020777817e-30,2.1536650755061113e-13,2.1429592807025e-13,2.715475166804433e-20,2.0881350740593415e-31,1.0706013171636404e-15,2.6589745758599296e-21
1e-11,0.5353448871540825,3.76,0.0,0.5007497405378493,0.9999999999997383,7.237318020169462e-36,3.825474423888755e-45,1.5290443697349937e-29,2.6293373539736566e-13,2.616267123492579e-13,4.514670659950886e-20,5.316685836401791e-31,1.3070593532114795e-15,4.420801467558759e-21
1.6383e-11,0.5353448871540825,3.76,0.0,0.5007497405376814,0.9999999999995713,2.685333680069289e-35,1.204343129605737e-44,3.67919926512249e-29,4.3077321320048014e-13,4.286319064083552e-13,1.086307576373961e-19,1.6708526364888163e-30,2.141394148177403e-15,1.063735262826281e-20
3.2767e-11,0.5353448871540828,3.76,0.0,0.5007497405372506,0.9999999999991427,4.296937886521206e-34,9.747581368851926e-44,1.4717825451251482e-28,8.615864775147325e-13,8.573038727995013e-13,4.345256924888685e-19,1.336796375015432e-29,4.282954136722901e-15,4.255210061038981e-20
6.5535e-11,0.5353448871540832,3.76,0.0,0.500749740536389,0.9999999999982854,6.875189132146145e-33,7.977665341338995e-43,5.887334140196387e-28,1.7232124183456142e-12,1.7146478444402866e-12,1.7379414026658845e-18,1.0694450831156713e-28,8.565971422664691e-15,1.7021203366745492e-19
9.999999999999999e-11,0.5353448871540839,3.76,0.0,0.5007497405354827,0.9999999999973835,6.110593994608511e-32,3.8854677942793375e-42,1.5175885441212118e-27,2.629459291933666e-12,2.6163923104114623e-12,4.4789904014292775e-18,5.006048981907196e-28,1.3070583014527131e-14,4.387490408031445e-19
1.31071e-10,0.5353448871540839,3.76,0.0,0.5007497405346657,0.9999999999965706,1.0999622454030818e-31,6.669102375854238e-42,2.354973071827174e-27,3.4464619499709313e-12,3.4293359431458426e-12,6.950109897746626e-18,8.55498905848783e-28,1.7131595252181504e-14,6.808414054836324e-19
2.62143e-10,0.5353448871540858,3.76,0.0,0.5007497405312192,0.9999999999931413,1.759644926723879e-30,5.79424259990857e-41,9.419960117310489e-27,6.892951622299775e-12,6.8587127621729825e-12,2.778647323792466e-17,6.842797175645045e-27,3.4261200119569297e-14,2.7232402411709485e-18
5.24287e-10,0.5353448871540891,3.76,0.0,0.5007497405243262,0.9999999999862824,2.8144277176531714e-29,5.3695320086746155e-40,3.767988827630538e-26,1.3785893476929171e-11,1.3717468886052258e-11,1.1103286306385483e-16,5.472216199184488e-26,6.85138401100233e-14,1.0891815004308453e-17
9.999999999999999e-10,0.5353448871540961,3.76,0.0,0.5007497405118174,0.9999999999738356,4.108993673263182e-28,5.0127526529667736e-39,1.4024594059515392e-25,2.6294386973482854e-11,2.6164070051144255e-11,4.1244928652097634e-16,4.0199016023667405e-25,1.306483089798059e-13,4.0531322662240343e-17
1.0485750000000002e-09,0.5353448871540961,3.76,0.0,0.5007497405105401,0.9999999999725646,4.49982445787546e-28,5.4697760229098395e-39,1.5071894846205707e-25,2.757162781322257e-11,2.7434991072e-11,4.432268830328013e-16,4.374496558038389e-25,1.3699285248681477e-13,4.355780939790671e-17
1.5728630000000002e-09,0.535344887154103,3.76,0.0,0.500749740496754,0.9999999999588466,1.7017931846236808e-27,1.7878195898781182e-38,3.2027660250968985e-25,4.13572133615826e-11,4.1152523191028035e-11,9.405308492350384e-16,1.2981380479820465e-24,2.0544560862770062e-13,9.25463878764727e-17
2.0971510000000003e-09,0.53534488715411,3.76,0.0,0.5007497404829679,0.9999999999451283,4.428337634526977e-27,4.2911554852745724e-38,5.463522428032124e-25,5.514265070493336e-11,5.487006523802966e-11,1.60235557820825e-15,2.827449053983826e-24,2.738721198959717e-13,1.5785129236721137e-16
3.1457270000000003e-09,0.5353448871541238,3.76,0.0,0.5007497404553958,0.9999999999176915,1.6241945681603642e-26,1.4880449997928913e-37,1.1311459012983905e-24,8.271317936358134e-11,8.230517261654547e-11,3.3103057570668715e-15,8.201387500353828e-24,4.1066358255331947e-13,3.267351173763553e-16
4.194303e-09,0.5353448871541375,3.76,0.0,0.5007497404278234,0.999999999890254,4.209659262527782e-26,3.7131025342086507e-37,1.9237713396788716e-24,1.102831678315682e-10,1.0974031646136907e-10,5.618393481855505e-15,1.7924426299109156e-23,5.473586277780632e-13,5.555679453562372e-16
5.2428790000000005e-09,0.5353448871541511,3.76,0.0,0.500749740400251,0.9999999998628158,9.199846296920567e-26,7.881442215613383e-37,2.939069676807795e-24,1.3785258137333919e-10,1.3717549934315195e-10,8.565594449653907e-15,3.3606981412963774e-23,6.839504444545894e-13,8.485900786640241e-16
7.340031000000001e-09,0.5353448871541782,3.76,0.0,0.5007497403451061,0.9999999998079376,3.532971077323717e-25,2.8122506868698707e-36,5.651645243938381e-24,1.929896733499045e-10,1.9204598443900309e-10,1.639141356635434e-14,9.179330088011817e-23,9.568184212205807e-13,1.6309515858267806e-15
9.999999999999999e-09,0.5353448871542313,3.76,0.0,0.5007497402751614,0.9999999997383275,1.378797604412695e-24,1.0116569480757942e-35,1.0392227346919347e-23,2.6292078137310474e-10,2.616424014525329e-10,2.9929778168304686e-14,2.399065531487033e-22,1.3023161829326454e-12,2.996757798023693e-15
1.1534335e-08,0.5353448871542313,3.76,0.0,0.5007497402348154,0.9999999996981729,2.323324817131604e-24,1.6739021781873637e-35,1.3787878558800406e-23,3.032571029968277e-10,3.017874277284707e-10,3.957618809089128e-14,3.631351603596147e-22,1.5013023901447507e-12,3.974532988367356e-15
1.53092086e-08,0.5353448871542784,3.76,0.0,0.500749740135553,0.9999999995993757,6.797012628787563e-24,4.785513255593716e-35,2.4203647573801368e-23,4.024902292591124e-10,4.0055526513368393e-10,6.888988092141241e-14,8.336769673729818e-22,1.989912476173921e-12,6.970764700628031e-15
1.9084082199999997e-08,0.5353448871543245,3.76,0.0,0.5007497400362896,0.9999999995005702,1.5773568125780348e-23,1.0976949166366232e-34,3.7548903010318075e-23,5.017164090542425e-10,4.993236105108525e-10,1.0598767074901928e-13,1.5920724949838504e-21,2.477176897267283e-12,1.0804657680308536e-14
2.2858955799999996e-08,0.5353448871543699,3.76,0.0,0.5007497399370255,0.9999999994017568,3.1399986330463133e-23,2.1748215738872066e-34,5.382323564404491e-23,6.009358285520727e-10,5.980924620356329e-10,1.5068113562177842e-13,2.7027697732759312e-21,2.963099728894015e-12,1.5473960281643897e-14
2.6633829399999994e-08,0.5353448871544148,3.76,0.0,0.5007497398377605,0.9999999993029354,5.63500376751063e-23,3.8955350547017595e-34,7.302636284600389e-23,7.001486771685726e-10,6.96861817832836e-10,2.0277855467662444e-13,4.232382109647946e-21,3.4476851501208135e-12,2.0976368083251265e-14
3.418357659999999e-08,0.5353448871545013,3.76,0.0,0.5007497396392282,0.9999999991052693,1.4613045361246864e-22,1.0111606992150129e-33,1.2021827155826343e-22,8.985553172021329e-10,8.944020355829937e-10,3.2852164146414013e-13,8.783753322771396e-21,4.412858588557332e-12,3.447233166534219e-14
4.173332379999999e-08,0.5353448871545852,3.76,0.0,0.5007497394406925,0.9999999989075737,3.1403886255241283e-22,2.1790868435597964e-33,1.7912301750793943e-22,1.0969377643221418e-09,1.0919442489522698e-09,4.817636017563031e-13,1.5766599530577234e-20,5.372730175645318e-12,5.1274390062836246e-14
