Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520),CO3(1196),C2HO2(133),CO3(268),CH3O2(53),C2HO3(631),CO3(131),C2O2(813),C2HO3(230),C2HO2(812),S(1029)
0.0,0.874912737583573,3.76,0.0,0.7668765967309883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.825897485869139e-19,0.874912737583573,3.76,0.0,0.766876596730988,0.9999999999999999,2.2872879374622394e-39,1.4132898383278742e-49,5.617505733439041e-33,3.4868444506790556e-16,1.6631924052307619e-16,1.0957399674835843e-30,3.595292383475159e-28,1.8236520454259384e-16,9.238247996974912e-21,7.086060078928971e-30,1.0683542278050678e-21,1.7923565022108172e-30,1.219294626939294e-34,1.6865129941771607e-43,1.3915854413512481e-36,9.946741393860166e-43,2.245381560723462e-42,4.2065856235488684e-30,1.8482197698234827e-59,1.183788483931664e-58,5.545405260445264e-69,7.787199850139728e-88,9.238247053855483e-21,7.4111213113563565e-31,1.6811380443411303e-47,7.73258140088194e-49,2.787297384443538e-46,5.70660607429548e-41,2.4141033993364182e-42,5.522295419942145e-75,5.790704381784977e-72,1.1704570787778595e-85,2.4511510569315655e-89,1.2946900114359523e-63,9.304487871734477e-46,-2.5005560411699467e-90,7.413850281976818e-92,2.611732397402461e-73,2.0464776668172717e-47,-1.1534978137605868e-91,5.851727815178503e-91,4.213367649516209e-77,1.2210683961797505e-42,7.197118569384566e-58,2.5403510784009868e-89,3.2082336821497658e-102,4.36617442907405e-81,1.0979574878972772e-59,2.136666982233533e-115,-9.218558442641268e-96,1.6570012632667663e-109,-8.773411609582472e-95,4.196888882501977e-103,8.508045464974109e-47,1.864145999098067e-69,1.4687294774936066e-65,-2.455085156821556e-96,4.723680119525021e-110,1.0484428693774606e-75,2.2456169414474004e-73,1.2016764330475823e-98,8.388451885047152e-73,1.0944561894064131e-62,6.134982294614115e-103,2.5711305669550103e-63,1.0993493487334844e-101,7.1549358758686e-95,4.2918838812622195e-104,2.301178891689839e-100
2.7512512960433586e-18,0.8749127375835731,3.76,0.0,0.7668765967309873,0.9999999999999996,2.715486251143261e-38,1.6778576983278023e-48,3.392973462790236e-32,9.763164461931702e-16,4.656938734645351e-16,6.618269402959146e-30,2.1715565996083074e-27,5.106225727151322e-16,2.5867097444296066e-20,4.279980287848706e-29,2.991392985521174e-21,1.0825833271740793e-29,7.364539557775712e-34,2.00241536022639e-42,8.405177365093865e-36,1.180877138086408e-41,2.665720220133744e-41,2.5407777166185756e-29,4.1359103968600786e-58,3.259260588569949e-57,2.513814961608514e-67,6.432103205146412e-86,2.5867091747854707e-20,4.476317271249328e-30,1.995847085971462e-46,9.180120641355645e-48,3.309079443844377e-45,6.774882718823266e-40,2.866023669550993e-41,3.359603223552674e-73,2.8712743735264646e-70,1.0635495114232629e-83,2.290996326502729e-87,2.8961742720250063e-62,1.1046287992201438e-44,2.694967216750544e-88,8.45643116380982e-90,1.5888442682713368e-71,2.429603658159563e-46,1.2417100600133686e-89,5.281275512382299e-89,2.5632583564460423e-75,1.4496523996924724e-41,1.6101103805916896e-56,2.8975907591143353e-87,6.618992673028077e-100,2.6565675377888802e-79,2.456086981743516e-58,3.4075553272215343e-113,9.92906513550844e-94,1.765671389280411e-107,9.447183576824109e-93,8.658714728459604e-101,1.0100751547035163e-45,5.863594624371678e-68,3.2855218657694136e-64,2.643172150685946e-94,5.033448164975279e-108,6.378413140454622e-74,9.266630541904695e-72,1.2804795682951925e-96,3.4615181548290273e-71,3.4411444397747226e-61,6.537419206257805e-101,5.75151622463024e-62,1.1714978028159077e-99,5.521070067257518e-93,4.5734189371056884e-102,2.543256228976453e-98
6.2885743909562485e-18,0.8749127375835734,3.76,0.0,0.7668765967309861,0.999999999999999,2.6660883966244108e-37,1.6473306423035197e-47,1.6335706669736545e-31,2.2315804484558377e-15,1.0644431393471401e-15,3.186411824479709e-29,1.0455110250985422e-26,1.1671373090436862e-15,5.912480855000359e-20,2.060626271215955e-28,6.837475091621324e-21,5.212172706010068e-29,3.545708791384578e-33,1.9660652756549782e-41,4.046732375312105e-35,1.1593921762710327e-40,2.6172213349016902e-40,1.223275099320595e-28,8.173232482946178e-57,6.9801378556609065e-56,1.0368066275474966e-65,5.318839480329448e-84,5.912478112409057e-20,2.1551540761275441e-29,1.9595345036459904e-45,9.013096886979584e-47,3.2488737973096887e-44,6.651620001199747e-39,2.8138792752287746e-40,1.516687185106907e-71,1.4590257396364942e-68,1.0752059601843939e-81,2.2780100966800313e-85,5.722360164847916e-61,1.0845311035016253e-43,2.689768062553945e-86,7.65609309633928e-88,7.172802494582416e-70,2.3854530219955903e-45,1.2393849823942965e-87,5.3606570732799375e-87,1.1571749421385049e-73,1.4232773217949826e-40,3.181445379686949e-55,2.6233554403667757e-85,1.1993203518610103e-97,1.200484474997467e-77,4.852813988213653e-57,1.5618012839250356e-110,9.915430216660012e-92,4.0182536900447894e-105,9.43203659957043e-91,1.5689057564740612e-98,9.916977704129232e-45,1.3092768492581247e-66,6.491779268357284e-63,2.638525395456331e-92,1.1454951303888075e-105,2.879516730380959e-72,3.665792011927685e-70,2.9140718998376066e-94,1.369342150023046e-69,7.67700333044072e-60,1.487765189649783e-98,1.1364026810058975e-60,2.6660546347663355e-97,6.017136317912671e-91,1.0408042267707882e-99,2.3031945713963374e-96
1.3363220580782028e-17,0.8749127375835735,3.76,0.0,0.7668765967309835,0.9999999999999978,2.358128128800555e-36,1.457045305673625e-46,7.134232278259915e-31,4.7421084530297256e-15,2.2619416711110983e-15,1.3915897577095119e-28,4.566021326847759e-26,2.4801667816347036e-15,1.2564027960567961e-19,8.999296302961696e-28,1.4529657666493382e-20,2.2762927553080366e-28,1.548504192836906e-32,1.7389950374868202e-40,1.7673154687774705e-34,1.0254692494870369e-39,2.3149031925782525e-39,5.342363741830411e-28,1.4544948298066465e-55,1.2862359262519209e-54,3.769830765686882e-64,3.878920550176802e-82,1.2564015982951201e-19,9.412124052868689e-29,1.7331860764340528e-44,7.971982133090807e-46,2.8735920400707206e-43,5.883282516457587e-38,2.4888447818005637e-39,5.726723716703369e-70,5.772155694456375e-67,8.518098804045421e-80,1.7932172531086626e-83,1.0182653182310368e-59,9.592554756860649e-43,2.1122494283821677e-84,5.802755283592558e-86,2.70831373093847e-68,2.110001787842723e-44,9.732966586241929e-86,4.253354784264779e-85,4.369268127497437e-72,1.2588726720522772e-39,5.661324539005186e-54,1.9883104317465628e-83,1.819951954358188e-95,4.541697790511786e-76,8.635323201245757e-56,5.349291993449454e-108,7.794625678802143e-90,6.790670221794589e-103,7.411128339418208e-89,2.380794002379645e-96,8.771454363896003e-44,2.4564234510338195e-65,1.1552281019528481e-61,2.072537104954969e-90,1.9358364504187504e-103,1.0872456527817818e-70,1.3082960046425253e-68,4.924652647144455e-92,4.887084799517215e-68,1.4378177053182025e-58,2.5142582576741738e-96,2.02216784006231e-59,4.5055131732052217e-95,4.922397933758084e-89,1.758913757696868e-97,1.7464872306968345e-94
2.7512512960433588e-17,0.8749127375835738,3.76,0.0,0.7668765967309785,0.9999999999999953,1.9821500228507973e-35,1.2247343863940275e-45,2.9784015369824763e-30,9.763164462371713e-15,4.6569387346340085e-15,5.809613298646198e-28,1.9062240215694032e-25,5.106225726552377e-15,2.586714170940754e-19,3.757029056297851e-27,2.991409626692448e-20,9.503074152224093e-28,6.464700260951255e-32,1.4617430233750587e-39,7.3782035601251586e-34,8.61968692129885e-39,1.9458158372974562e-38,2.2303316975366146e-27,2.4533086597580544e-54,2.205362784626024e-53,1.285098239188189e-62,2.6486696296421667e-80,2.5867091705215353e-19,3.9293765079826075e-28,1.4568473278243781e-43,6.700931341835839e-45,2.4154271870693268e-42,4.9452533697007115e-37,2.0920247249966205e-38,1.98686672140535e-68,2.0440078959491323e-65,6.038005307840689e-78,1.2676448003704244e-81,1.717459028219188e-58,8.063120210101845e-42,1.493383866741355e-82,4.0349147274467217e-84,9.396398387784139e-67,1.7737444724524866e-43,6.881385200088305e-84,3.016922637176673e-83,1.5159014233280898e-70,1.0581583319910964e-38,9.548741282306763e-53,1.382561005274262e-81,2.5325055342073006e-93,1.581885549489498e-74,1.4564734724282408e-54,1.5783834587090092e-105,5.522243633528111e-88,9.943038730245173e-101,5.245599891589243e-87,3.312934026879448e-94,7.37293572891106e-43,4.2577005775264384e-64,1.9486320335093094e-60,1.4660113084695893e-88,2.8344919196359374e-101,3.772123497435061e-69,4.4204380723881846e-67,7.210776141966987e-90,1.651235452496124e-66,2.48347244740355e-57,3.6814283945991764e-94,3.410681584572482e-58,6.597062848338466e-93,3.542695383369216e-87,2.5754375956300255e-95,1.2180330621863942e-92
5.58110977197367e-17,0.8749127375835747,3.76,0.0,0.7668765967309685,0.9999999999999906,1.6250868396228092e-34,1.004111267285854e-44,1.2167742094415836e-29,1.9805276481832525e-14,9.446932861659806e-15,2.37341659158898e-27,7.787547113039922e-25,1.0358343615330274e-14,5.247344735790416e-19,1.534868959410418e-26,6.068326727053454e-20,3.8823158590005565e-27,2.641041059532386e-31,1.1984303836571696e-38,3.0142445577539642e-33,7.066940097598801e-38,1.5952974694149037e-37,9.111632723447591e-27,4.0296397228624607e-53,3.651378823210941e-52,4.243534255021452e-61,1.75062557356181e-78,5.247324307446316e-19,1.6052785109589263e-27,1.1944114555483511e-42,5.493828385264357e-44,1.9803130279176828e-41,4.0544173613276344e-36,1.7151694479617003e-37,6.617096086422933e-67,6.873136981475688e-64,4.062564086379388e-76,8.518313244259518e-80,2.820949931474549e-57,6.610633006621666e-41,1.0039011435172102e-80,2.690506848385509e-82,3.129392923124545e-65,1.4544866350840946e-42,4.625922263364975e-82,2.03049255692441e-81,5.048583639582125e-69,8.675421291140128e-38,1.568390812331423e-51,9.219005180910058e-80,3.3784281174394903e-91,5.309344688903888e-73,2.3922620454116454e-53,4.3334396579786294e-103,3.7274556478924134e-86,1.3596272136286208e-98,3.534082886988841e-85,4.419549908816196e-92,6.044777863296502e-42,7.123553298888905e-63,3.201195700284451e-59,9.864347577135683e-87,3.875930497538325e-99,1.2562499143570344e-67,1.4533436554194904e-65,9.860126099856707e-88,5.428900583750287e-65,4.126326436433016e-56,5.034041990390117e-92,5.602054599884856e-57,9.020924812338527e-91,2.4013676321873262e-85,3.5216933141339507e-93,8.180831408265633e-91
1.1240826723834293e-16,0.8749127375835763,3.76,0.0,0.7668765967309484,0.999999999999981,1.3160376530273512e-33,8.131553731978151e-44,4.918395889795183e-29,3.988950052386153e-14,1.902692111563131e-14,9.593729308158444e-27,3.1478510547283054e-24,2.086257938865627e-14,1.0568637125816717e-18,6.204185747047142e-26,1.2222278448874502e-19,1.5692941351289696e-26,1.0675510753883757e-30,9.70522045956973e-38,1.2184120350563267e-32,5.722991281387416e-37,1.2919132805707925e-36,3.683067629046397e-26,6.5322778279116385e-52,5.94243381217267e-51,1.3793478158920776e-59,1.1385261775869086e-76,1.0568554551183677e-18,6.488792363226441e-27,9.67265359359521e-42,4.449044692651742e-43,1.6037086484363433e-40,3.2833720852535983e-35,1.3889906047951144e-36,2.159930416820552e-65,2.253995089192997e-62,2.665225444223259e-74,5.584979588582367e-78,4.572940387657491e-56,5.35346184741157e-40,6.583741201575467e-79,1.7574182579039498e-80,1.0214859349595956e-63,1.1783081829464052e-41,3.0337745076730637e-80,1.3322877571671906e-79,1.6479416462081678e-67,7.025581043545905e-37,2.5424348397214905e-50,6.021783263814503e-78,4.414206698636659e-89,1.7598245535454135e-71,3.87795984388849e-52,1.1485312503275953e-100,2.464478126686313e-84,1.7982393922563797e-96,2.327950232700761e-83,5.774547735410335e-90,4.895217347168369e-41,1.177400269264236e-61,5.191097392581177e-58,6.481408562710156e-85,5.126295885249031e-97,4.100447338447881e-66,4.7138863350827615e-64,1.3040959764366435e-85,1.7608506864112832e-63,6.726953004147451e-55,6.658001830355158e-90,9.081171447134846e-56,1.1931036169033207e-88,1.5811858548525234e-83,4.657776661096627e-91,5.4242658320718175e-89
2.2560260627555543e-16,0.8749127375835797,3.76,0.0,0.7668765967309082,0.9999999999999618,1.0592616743164699e-32,6.544982445872141e-43,1.9776653471720246e-28,8.005794862034897e-14,3.818689762325394e-14,3.857596334556151e-26,1.2657370639295389e-23,4.187105091838908e-14,2.1211346947177126e-18,2.494675808865655e-25,2.453065197691193e-19,6.310062633202412e-26,4.292576343824815e-30,7.811613950997845e-37,4.899230993699786e-32,4.6063612200231606e-36,1.0398442058939692e-35,1.4809452947230743e-25,1.0520077530919226e-50,9.588878760019536e-50,4.448519316426313e-58,7.345171756586267e-75,2.121101491820959e-18,2.60911483832271e-26,7.785393040696629e-41,3.5809782736947737e-42,1.2908039425083082e-39,2.6427431601465193e-34,1.1179835642480398e-35,6.980521866275767e-64,7.301284827658307e-61,1.7268872885309556e-72,3.61760424216677e-76,7.364769182579942e-55,4.308931588212412e-39,4.265216937306794e-77,1.1362483539485346e-78,3.3012657975473477e-62,9.490926283484924e-41,1.9654257733275938e-78,8.632945518477746e-78,5.325862558641557e-66,5.654798765547592e-36,4.094517523452727e-49,3.89334878476853e-76,5.708363815394985e-87,5.860449336211573e-70,6.245334709155805e-51,2.991488131161074e-98,1.6224390771356567e-82,2.33956472471095e-94,1.5214086458649148e-81,7.467596715804122e-88,3.940096009745989e-40,1.95344756287324e-60,8.365968350390537e-57,4.214734844809708e-83,6.669469077822751e-95,1.3250892187193408e-64,1.5186417557420707e-62,1.6966643809768462e-83,5.672813721766156e-62,1.0864045446110338e-53,8.662240846789623e-88,1.462494515064781e-54,1.5522604668079814e-86,1.0263840681677651e-81,6.0598951132215094e-89,3.612460525211201e-87
4.519912843499804e-16,0.8749127375835862,3.76,0.0,0.7668765967308279,0.9999999999999235,8.499908146338729e-32,5.251937144111169e-42,7.931322508644313e-28,1.6039484486304177e-13,7.650685063721772e-14,1.547068644916738e-25,5.076171737688439e-23,8.388799391017795e-14,4.249726675512837e-18,1.0004765820549246e-24,4.91492793705616e-19,2.530617288959161e-25,1.7215154427565712e-29,6.26833151423859e-36,1.9648506866121774e-31,3.6963146967550995e-35,8.344094771485151e-35,5.9392529992350025e-25,1.6887086888917202e-49,1.5407316119821358e-48,1.4290904195949748e-56,4.71976067165235e-73,4.2495935170466195e-18,1.046371719865381e-25,6.2472874906368754e-40,2.873509617783809e-41,1.0357883948170308e-38,2.1206344046343763e-33,8.971163549014012e-35,2.244831165317214e-62,2.3506643124833945e-59,1.1120192609023086e-70,2.3291885973230916e-74,1.1822694235268557e-53,3.457645835719567e-38,2.7464449853493335e-75,7.309019743054807e-77,1.0616374558767882e-60,7.626907228941137e-40,1.2655977799413738e-76,5.559333024935775e-76,1.7127176608166375e-64,4.537619770166816e-35,6.572611090776917e-48,2.504432298308818e-74,7.344076801049895e-85,1.995900452495233e-68,1.0025145121004221e-49,7.724524977987305e-96,1.0780024990510717e-80,3.0190998465137196e-92,9.967444239241572e-80,9.607584738292236e-86,3.1616776485491766e-39,3.3071037940710645e-59,1.3448064549541524e-55,2.734298452913924e-81,8.6066419290157e-93,4.2606162581384177e-63,4.8760429926544915e-61,2.189454891221997e-81,1.8214206689010894e-60,1.746363057576916e-52,1.1178157288080676e-85,2.347627106206858e-53,2.0031098226203059e-84,6.615609084948738e-80,7.819973358442083e-87,2.4597770002095526e-85
