Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346)
0.0,0.8900801467463878,3.76,0.0,0.7369224666548767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.141688917950502e-19,0.8900801467463878,3.76,0.0,0.7369224666548764,1.0,5.746888009157058e-40,6.835290879771049e-50,4.042970403672287e-33,2.7306674506564754e-16,1.1848027115640945e-16,4.109032960532096e-31,1.714577419585814e-28,1.5458647390818636e-16,9.205229307219019e-21,3.2261760090623584e-30,1.081279863966483e-21,8.534601116980551e-31,6.875084098623377e-35,5.971757609049832e-44,6.7878785235654785e-37,2.7464552383782304e-43,6.183110391674699e-43,1.774509163304248e-30,5.155203586352773e-60,3.570899513130319e-59,4.4059950086664743e-70,6.448597299157601e-89,9.205228864653587e-21,3.809993588037842e-31,4.670910535511601e-48,2.6450887793970906e-49,7.321095854072644e-47,1.518828063290642e-41,6.495950168616234e-43,8.970063744535724e-76,9.544005108682853e-73,1.3686130605240672e-86,2.966635366195927e-90,3.167072280425328e-64,2.327664987547466e-46,-3.132953884277726e-91,-4.068178604299374e-104,2.095255962165214e-77,5.265463493962556e-48,1.712982750038852e-117,8.300836586337337e-92
1.4396728970261407e-18,0.8900801467463879,3.76,0.0,0.736922466654876,0.9999999999999997,6.822761389209674e-39,8.114857339692806e-49,2.4419541237415995e-32,7.645868861852365e-16,3.317447592379077e-16,2.4818559080239863e-30,1.0356047614270489e-27,4.3284212694097703e-16,2.5774643492627948e-20,1.9486103095200216e-29,3.0275841669110427e-21,5.154899074234092e-30,4.152550799326471e-34,7.090419537234717e-43,4.099878989803342e-36,3.260591658733423e-42,7.340601831556395e-42,1.0718035346344318e-29,1.1536456888088078e-58,9.759878200251754e-58,2.211434707889931e-68,5.879783303183033e-87,2.577464081953274e-20,2.301236126960751e-30,5.545304986856758e-47,3.140249399580492e-48,8.69160498310571e-46,1.8031526749995602e-40,7.711992197709971e-42,5.457219547778451e-74,4.711164407236162e-71,1.2297346652525191e-84,2.6655987742493745e-88,7.084627492702314e-63,2.7634038719834925e-45,3.5988779905614524e-89,8.481096120713256e-102,1.27464647623438e-75,6.25119600796406e-47,8.575168840105428e-115,7.458516839611153e-90
3.2906809074883216e-18,0.890080146746388,3.76,0.0,0.736922466654875,0.9999999999999992,6.698652104973675e-38,7.967215071013807e-48,1.1756957932732072e-31,1.7476271684301099e-15,7.582737354007492e-16,1.194906784716635e-29,4.985991136113803e-27,9.893534329987786e-16,5.891347759310457e-20,9.381719835048709e-29,6.920194964019723e-21,2.481862004184653e-29,1.999274461399307e-33,6.961744112532649e-42,1.9739156066748063e-35,3.201268225019049e-41,7.207052179538464e-41,5.160272646868729e-29,2.2798142335533826e-57,2.0850578699805866e-56,9.486197253352097e-67,5.0614004120615035e-85,5.89134647233018e-20,1.1079461350802376e-29,5.4444133173941925e-46,3.083115483211327e-47,8.53346928147409e-45,1.770345985180384e-39,7.571680004878246e-41,2.463653848171928e-72,2.40035322170922e-69,1.251458303452598e-82,2.7126878569187506e-86,1.399804714314021e-61,2.7131263056634456e-44,3.5813228992235883e-87,1.6932677974855114e-99,5.754363751197093e-74,6.13754126715079e-46,3.9017378926167986e-112,7.59027512608114e-88
6.992696928412683e-18,0.8900801467463882,3.76,0.0,0.736922466654873,0.9999999999999983,5.9248916628108e-37,7.046911529976391e-47,5.134572411478632e-31,3.713707732942637e-15,1.611331687725814e-15,5.218471857746078e-29,2.1775133228308476e-26,2.1023760450832635e-15,1.251911687126929e-19,4.0972435322277425e-28,1.470542532311533e-20,1.0838943412021056e-28,8.731356861740462e-33,6.157714157227773e-41,8.620611174269086e-35,2.8314854908056785e-40,6.374558326382276e-40,2.2536266373757e-28,4.0571377184372976e-56,3.838271884605245e-55,3.5066777659199296e-65,3.753926959771456e-83,1.2519111250688297e-19,4.8386918534893023e-29,4.8155219198149395e-45,2.726980731931295e-46,7.547756885045416e-44,1.565850968808616e-38,6.6970658113487905e-40,9.302291756854735e-71,9.505400372706336e-68,9.939301610252282e-81,2.1544644745290095e-84,2.490880553755507e-60,2.399729487535971e-43,2.8095410926142444e-85,2.6619120265142063e-97,2.1727384624609427e-72,5.428727982769479e-45,1.3019277489911872e-109,6.028330199119529e-86
1.4396728970261407e-17,0.8900801467463885,3.76,0.0,0.7369224666548692,0.9999999999999967,4.980232304112093e-36,5.923353792065366e-46,2.1435829069603894e-30,7.645868862058812e-15,3.317447592373468e-15,2.1786092737574024e-28,9.090689478255755e-26,4.328421269127759e-15,2.5774664262640985e-19,1.7105185206515565e-27,3.0275921100819533e-20,4.525045506333172e-28,3.6451696396954193e-32,5.17598145300712e-40,3.5989380769358092e-34,2.380034163114748e-39,5.358201275048239e-39,9.408447583652844e-28,6.84322310508109e-55,6.577998296419902e-54,1.2046084953277127e-63,2.583459915677127e-81,2.5774640797821764e-19,2.020058597390771e-28,4.0477363248448404e-44,2.2921916217803576e-45,6.344344354219896e-43,1.3161920778582074e-37,5.6292883414922153e-39,3.227397707036003e-69,3.3673862990290163e-66,7.05292495772575e-79,1.5288072857736387e-82,4.201241314095493e-59,2.0171172210074297e-42,1.9854578247857897e-83,3.766274438426549e-95,7.538240453094937e-71,4.56341225726695e-44,3.790113264281211e-107,4.277701144886112e-84
2.920479305395886e-17,0.8900801467463892,3.76,0.0,0.7369224666548613,0.9999999999999932,4.083096871795931e-35,4.856323382946746e-45,8.757235604139281e-30,1.551019112065564e-14,6.729679401658876e-15,8.900329737602757e-28,3.713843273590954e-25,8.780511716718854e-15,5.228579571520051e-19,6.988026288144775e-27,6.14170528942798e-20,1.848628735355618e-27,1.4891707588470768e-31,4.243602878185762e-39,1.4702857660777052e-33,1.9512957997300155e-38,4.392977490522138e-38,3.843657827925808e-27,1.1240229839211018e-53,1.0888644251381923e-52,3.99255752063784e-62,1.7140033701309014e-79,5.22856998537576e-19,8.252598486144408e-28,3.318578783652741e-43,1.8792771859383937e-44,5.2014766563662854e-42,1.079093768325592e-36,4.6152323271945774e-38,1.0748582749146496e-67,1.1325248668866612e-64,4.747775584687176e-77,1.0291381343902535e-80,6.90057318659599e-58,1.6537545540551538e-41,1.3343894348610556e-81,5.0652692708315026e-93,2.5105497297880487e-69,3.741753480399471e-43,1.0337018805947504e-104,2.8795947243668346e-82
5.882092122135376e-17,0.8900801467463908,3.76,0.0,0.7369224666548455,0.9999999999999865,3.3065983207040197e-34,3.9327766979723185e-44,3.5398146435657034e-29,3.123883563930722e-14,1.3554143020190082e-14,3.597655577178964e-27,1.5011948302931346e-24,1.768469260990946e-14,1.05308205299584e-18,2.824671956886444e-26,1.236998774334077e-19,7.47245289774916e-27,6.019466483631219e-31,3.4365878371510323e-38,5.9431473734659465e-33,1.5802099248480239e-37,3.557547203017816e-37,1.5536679487829612e-26,1.8221069409609663e-52,1.7718778225956435e-51,1.300145126337545e-60,1.116788888664902e-77,1.0530781781230492e-18,3.335832245217025e-27,2.6874711237694207e-42,1.5218873984672933e-43,4.2122904036926806e-41,8.738780817037846e-36,3.7375374488864197e-37,3.5085165637530267e-66,3.7143720598946874e-63,3.1154955902303745e-75,6.753215929125198e-79,1.118619541058448e-56,1.3392532935980318e-40,8.750134990569114e-80,6.64485149506329e-91,8.194858494903735e-68,3.0308045500389313e-42,2.7307814727603685e-102,1.889593289733391e-80
1.1805317755614356e-16,0.8900801467463936,3.76,0.0,0.7369224666548141,0.9999999999999728,2.661438240367339e-33,3.1654410135201935e-43,1.4233438964688924e-28,6.269612468244206e-14,2.7203070257094076e-14,1.446601479059651e-26,6.036238386555508e-24,3.549305438832434e-14,2.113536111854086e-18,1.1357881723476143e-25,2.4826777032049056e-19,3.0046404283648735e-26,2.4204011420004054e-30,2.7660681454395155e-37,2.389727274824738e-32,1.2718904153764605e-36,2.8634235321606477e-36,6.247230488726733e-26,2.9344607133040513e-51,2.858997104275501e-50,4.196892531235879e-59,7.211603347091254e-76,2.113520531161021e-18,1.3413234657700632e-26,2.1631105406481385e-41,1.2249473951801488e-42,3.39041737539384e-40,7.033730586931961e-35,3.0082995669730862e-36,1.133891941890637e-64,1.2032371117005942e-61,2.0188678788451482e-73,4.376141975839216e-77,1.801524363326378e-55,1.0779475296749939e-39,5.668328991528037e-78,8.610245700273425e-89,2.6484405623287526e-66,2.4404783056079174e-41,7.101160537732013e-100,1.224472716659207e-78
2.3651769022572315e-16,0.8900801467463992,3.76,0.0,0.7369224666547511,0.9999999999999455,2.1356366734745871e-32,2.5400673547735636e-42,5.708245606585952e-28,1.256107027920385e-13,5.4500924730268374e-14,5.801518895560592e-26,2.4208015694820957e-23,7.110977791328876e-14,4.2344676982528586e-18,4.555018579565845e-25,4.974125313299477e-19,1.2049951841443173e-25,9.706892281347392e-30,2.2195967973380402e-36,9.583986331803056e-32,1.0206119457672585e-35,2.297717052882815e-35,2.505418839766557e-25,4.710469721773704e-50,4.593684559253516e-49,1.3488650931645884e-57,4.63607002451902e-74,4.234405212705068e-18,5.37930695107497e-26,1.735759941663091e-40,9.8294316530721e-42,2.720595776793592e-39,5.644125070644521e-34,2.413977798745027e-35,3.6464265366978686e-63,3.873933828921107e-60,1.3001138521217318e-71,2.818155211674154e-75,2.8919163657027165e-54,8.649849521714708e-39,3.6497566515840475e-76,1.1088762225495978e-86,8.517013038241643e-65,1.9599721404063104e-40,1.8321765839282007e-97,7.885380104102797e-77
