Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29)
0.0,0.818591706857928,3.76,0.0,0.8950940344807795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4377236996639475e-18,0.818591706857928,3.76,0.0,0.8950940344807794,1.0,3.164196993188405e-39,1.4517830041426e-50,6.3246386930297815e-34,1.7025540894737748e-16,1.126925696690251e-16,1.894612885116793e-30,2.0756757423964684e-28,5.756283927699797e-17,5.80557236609849e-28,5.578350745036448e-30,1.6595915830410434e-22,1.1523577309840955e-30,6.480213486826799e-44,5.672549522834668e-44
6.825626359059053e-18,0.8185917068579283,3.76,0.0,0.895094034480779,0.9999999999999997,3.7565448848400246e-38,1.7235567846970174e-49,3.820081770271554e-33,4.767151450545098e-16,3.155391950732479e-16,1.1443461824231648e-29,1.2537081483942419e-27,1.6117594997308099e-16,3.5065657090778625e-27,3.3693238501990897e-29,4.646863014111829e-22,6.960240693311037e-30,9.792898620549972e-43,6.7344507940103925e-43
1.5601431677849264e-17,0.818591706857928,3.76,0.0,0.8950940344807783,0.9999999999999992,3.6882025198274282e-37,1.6921982761262163e-48,1.8392049314554106e-32,1.0896346172761864e-15,7.212324458816045e-16,5.509534267108972e-29,6.036065058690549e-27,3.684021713551937e-16,1.6882604439930043e-26,1.6221843969522149e-28,1.0621432202641035e-21,3.3510562789522506e-29,1.0534753458696177e-41,6.611923725311422e-42
3.3153042315429685e-17,0.8185917068579283,3.76,0.0,0.8950940344807771,0.9999999999999984,3.262175138686429e-36,1.4967302193877216e-47,8.032291135212103e-32,2.3154735617491857e-15,1.5326189474979612e-15,2.406158361193979e-28,2.63610819263852e-26,7.828546140792062e-16,7.373076904237909e-26,7.084505449250986e-28,2.2570675885249963e-21,1.4634943155085797e-28,9.683253403461527e-41,5.848171659143823e-41
6.825626359059053e-17,0.8185917068579283,3.76,0.0,0.8950940344807746,0.9999999999999968,2.742055469426204e-35,1.2580919470754975e-46,3.3533234306022432e-31,4.767151450813771e-15,3.1553919507292497e-15,1.0045237490750105e-27,1.1005232784341115e-25,1.6117594993663781e-15,3.0781144678689664e-25,2.957641567767551e-27,4.646958447266966e-21,6.10980066410637e-28,8.284227148573242e-40,4.9157406612367596e-40
1.3846270614091221e-16,0.8185917068579285,3.76,0.0,0.8950940344807697,0.9999999999999936,2.2481030219373028e-34,1.031459810107145e-45,1.3699420357040044e-30,9.670507229417289e-15,6.400937957186127e-15,4.1038072715472496e-27,4.495996683498374e-25,3.269569269297312e-15,1.2575101962475341e-24,1.2082930871055536e-26,9.426908653631492e-21,2.496052917970292e-27,6.84955919841757e-39,4.030221195456432e-39
2.788755912415556e-16,0.8185917068579291,3.76,0.0,0.89509403448076,0.9999999999999871,1.8205722244425754e-33,8.353029309307379e-45,5.5375247274674295e-30,1.947721878852171e-14,1.2892029970077078e-14,1.6588245041335992e-26,1.8173537436188106e-24,6.585188806585539e-15,5.0830572695602174e-24,4.88411385726221e-26,1.898748302188169e-20,1.0089444888383304e-26,5.56994777047881e-38,3.263777622448203e-38
5.597013614428423e-16,0.8185917068579299,3.76,0.0,0.8950940344807403,0.9999999999999741,1.465354956142488e-32,6.723245237477633e-44,2.2266143253422283e-29,3.909064191432009e-14,2.587421399576778e-14,6.670060298909236e-26,7.307499467714225e-24,1.3216427870867429e-14,2.0438749701791218e-23,1.9638807087234379e-25,3.8111327580457e-20,4.056921341785067e-26,4.492364637790954e-37,2.62697218538113e-37
1.1213529018454159e-15,0.818591706857932,3.76,0.0,0.8950940344807011,0.9999999999999482,1.1758550837579705e-31,5.394981774123885e-43,8.929719220724047e-29,7.831748819627502e-14,5.183858204678434e-14,2.6749924458773476e-25,2.930634118239881e-23,2.647890595825295e-14,8.196852761299568e-23,7.876040071911502e-25,7.636979998583015e-20,1.6270068498708325e-25,3.608511543279941e-36,2.107979758058306e-36
