Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983)
0.0,0.8741567545941121,3.76,0.0,0.7451402330615684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.397368991346551e-19,0.874156754594112,3.76,0.0,0.7451402330615681,0.9999999999999999,1.4817002661794087e-39,1.0200163250638383e-49,4.57238744054718e-33,3.080572052880654e-16,1.4533558064990542e-16,8.199926789323095e-31,2.7780179518625465e-28,1.6272162463646959e-16,8.427617278547218e-21,5.4452108750325165e-30,9.972373941775478e-22,1.385945002759732e-30,9.416957297572119e-35,1.1402295570799549e-43,1.0537990487270797e-36,6.677020668819977e-43,1.5062508212237337e-42,3.1315676399791785e-30,1.1297284317944654e-59,7.3177084838363225e-59,2.9214851607457005e-69,3.852242935698968e-88,8.42761656821386e-21,5.785124879752682e-31,1.1300036316974614e-47,5.225495349380942e-49,1.859366022424312e-46,3.813635638366913e-41,1.6151686529034093e-42,2.946804659460504e-75,3.0895118524022484e-72,5.5547513483183406e-86,1.1790829929495027e-89,7.823218511459837e-64,6.16566748782942e-46,-1.1921958492225476e-90,3.525532476444037e-92,7.404613577125859e-77,1.3613210316104423e-47,-5.508222912711783e-92,2.8001139274068924e-91,2.3000043301227123e-77,8.124644943491249e-43,4.368128260896254e-58,1.2009124363993948e-89,1.2975780886754612e-102,1.0136716010089494e-84,2.188536720182917e-60,2.452559089469855e-116,-4.252020881242377e-96,1.751619763015624e-110,-4.183768149032801e-95,1.7616206721761277e-103
2.3512633175770343e-18,0.8741567545941122,3.76,0.0,0.7451402330615675,0.9999999999999997,1.7590865685817798e-38,1.2109633825240929e-48,2.761722013947818e-32,8.625601748088681e-16,4.0693962581967463e-16,4.9527557803355124e-30,1.6779228429179637e-27,4.556205489789831e-16,2.3597330679129623e-20,3.2889073686367494e-29,2.7922655905788573e-21,8.371107815591805e-30,5.6878422151976156e-34,1.3538094847636552e-42,6.3649471071955e-36,7.926958936921534e-42,1.78822325429343e-41,1.8914668545441932e-29,2.528092660148139e-58,2.0128757699961727e-57,1.3264120503392669e-67,3.1867141775266935e-86,2.3597326388716133e-20,3.4942154268311194e-30,1.3415403113669912e-46,6.203708080207013e-48,2.2074393355808372e-45,4.527548222691094e-40,1.9175282896974413e-41,1.792753215950912e-73,1.531088865632066e-70,5.04455761409931e-84,1.101113395821484e-87,1.7500254061924211e-62,7.319880436355509e-45,1.2951549933693258e-88,4.0215320872819545e-90,4.504587936824807e-75,1.6161746598799829e-46,5.976998035119254e-90,2.5258073387253978e-89,1.399240422983182e-75,9.645578475472206e-42,9.772217420934515e-57,1.3698662363708991e-87,2.6772123197355206e-100,7.821944193947176e-83,4.895669141053417e-59,3.911064418114177e-114,4.616055127769045e-94,1.8664868185533432e-108,4.540942371083824e-93,3.6346429695393564e-101
5.374316154461793e-18,0.8741567545941122,3.76,0.0,0.7451402330615664,0.9999999999999991,1.7270868881018404e-37,1.1889310326906838e-47,1.3296502674970992e-31,1.971566113859613e-15,9.301477161589705e-16,2.384538709711704e-29,8.078476203911062e-27,1.0414183976514837e-15,5.3936766677084047e-20,1.58346732263512e-28,6.382325530908375e-21,4.0303280664097234e-29,2.7384511930953328e-33,1.329234687274187e-41,3.064448888648519e-35,7.78273528816162e-41,1.755689193510259e-40,9.106598697010958e-29,4.9959304510351463e-57,4.309497192180449e-56,5.474190328114421e-66,2.6366686744062666e-84,5.393674602058999e-20,1.682314314222817e-29,1.3171322325354253e-45,6.090837383176706e-47,2.1672770163897136e-44,4.445173677828322e-39,1.8826407832327936e-40,8.093354497110534e-72,7.782648384928537e-69,5.101519872008621e-82,1.0954089777702869e-85,3.457759709039128e-61,7.186702007707631e-44,1.2921661430200182e-86,3.6409288494019456e-88,2.0335864747006855e-73,1.586800221016378e-45,5.963533781307837e-88,2.5645682070099446e-87,6.316826798619173e-74,9.47008614159363e-41,1.930911222819414e-55,1.2402202467677698e-85,4.850950135155124e-98,8.524737396753575e-81,9.673017402600871e-58,1.7925845036477518e-111,4.6076197647267364e-92,4.2476875406796687e-106,4.5317238721473696e-91,6.585759358880006e-99
1.142042182823131e-17,0.8741567545941125,3.76,0.0,0.7451402330615642,0.9999999999999981,1.5275908843661667e-36,1.0515960391628011e-46,5.8069320472833625e-31,4.18957799199766e-15,1.9765638968365944e-15,1.041390701599799e-28,3.528082798756696e-26,2.2130140949463777e-15,1.1461567546015139e-19,6.915417813106493e-28,1.356245960167499e-20,1.7601501518353756e-28,1.1959535880088588e-32,1.1757154692791962e-40,1.3383260772898896e-34,6.883741221555114e-40,1.5528876049931584e-39,3.977090902723432e-28,8.890680797241898e-56,7.940134842200987e-55,1.990965602293035e-64,1.9233321763909485e-82,1.146155852478149e-19,7.34710858892346e-29,1.1649885429354214e-44,5.387276693198537e-46,1.916931953847618e-43,3.9317057510012046e-38,1.665174697355301e-39,3.0558975002886725e-70,3.07930630648025e-67,4.0420799389209086e-80,8.624552039810204e-84,6.152908686771741e-60,6.3565565194292564e-43,1.0145946998874421e-84,2.7595572776048066e-86,7.678436776431787e-72,1.4035608265480872e-44,4.6825914806869175e-86,2.0350680026656068e-85,2.385111224544212e-72,8.376183941340061e-40,3.4360229281992585e-54,9.399960762473238e-84,7.361252846231284e-96,6.973764473401209e-79,1.7212618250824047e-56,6.139774194443346e-109,3.621079749053722e-90,7.178405007751817e-104,3.5599542023634785e-89,9.99380782484145e-97
2.3512633175770342e-17,0.8741567545941129,3.76,0.0,0.7451402330615597,0.999999999999996,1.2840330113765038e-35,8.839298426694272e-46,2.4242798189877113e-30,8.625601748419989e-15,4.069396258187966e-15,4.3476011779010015e-28,1.4729051179796565e-25,4.556205489335737e-15,2.3597364017491997e-19,2.8870508075759153e-27,2.792278450363854e-20,7.348280389606514e-28,4.992870859658079e-32,9.882685918622967e-40,5.587254076257982e-34,5.786199266257369e-39,1.3052957563993854e-38,1.6603571626718423e-27,1.4995991119275587e-54,1.3613252665129676e-53,6.787885900834042e-63,1.3134693523980189e-80,2.3597326355617343e-19,3.0672732037186457e-28,9.792430649948625e-44,4.528330675584852e-45,1.611296771460386e-42,3.304835541257775e-37,1.3996800792742892e-38,1.0602329336032812e-68,1.0904827168504553e-65,2.865357648496498e-78,6.097290247232783e-82,1.0377809366486803e-58,5.343068732907888e-42,7.172872072957657e-83,1.9188436928330901e-84,2.6640072392093682e-70,1.1798682900901406e-43,3.3104799028488715e-84,1.4435545333649455e-83,8.275055136008637e-71,7.040687296232171e-39,5.795410545287475e-53,6.53621355387226e-82,1.0243358227348721e-93,5.0190689116387486e-77,2.903159858858026e-55,1.8116315966696654e-106,2.5644892645497616e-88,1.0510768657654895e-101,2.5191052155364825e-87,1.3906634562193922e-94
4.7697055870848406e-17,0.8741567545941137,3.76,0.0,0.7451402330615509,0.9999999999999918,1.052728170497378e-34,7.246991034828618e-45,9.90397407487072e-30,1.749764926184957e-14,8.255060980875208e-15,1.776136937365479e-27,6.01729800362375e-25,9.242588277312745e-15,4.78690158198993e-19,1.1794544577587215e-26,5.664366134928687e-20,3.002012301055932e-27,2.0397507033668606e-31,8.102458411149934e-39,2.282580624875459e-33,4.743875734460886e-38,1.070160384069538e-37,6.783100770518476e-27,2.4631410110323996e-53,2.253858054403106e-52,2.2415751818720637e-61,8.681785051126704e-79,4.786886195885258e-19,1.2530811830817352e-27,8.028426261415657e-43,3.7125990898012863e-44,1.3210383788132144e-41,2.709503771857457e-36,1.147542969487262e-37,3.531018535303873e-67,3.666917226913748e-64,1.9279523151052595e-76,4.0974105646766885e-80,1.7045676757806997e-57,4.38057050784366e-41,4.821697871359514e-81,1.2794973212101012e-82,8.872261850921155e-69,9.674762858793267e-43,2.2253616907490602e-82,9.715842638475444e-82,2.755938290444349e-69,5.772380810429303e-38,9.519023698244862e-52,4.358389380072785e-80,1.36649110939143e-91,3.4020882993977882e-75,4.768449462374427e-54,4.9738285439905073e-104,1.729909120345554e-86,1.437259387814451e-99,1.6964831456728005e-85,1.8551854836190193e-92
9.606590126100454e-17,0.874156754594115,3.76,0.0,0.7451402330615331,0.9999999999999835,8.525266977516303e-34,5.868801452347366e-44,4.0033446649339905e-29,3.5241744291048443e-14,1.66263904261877e-14,7.179429460157279e-27,2.4322880610357572e-24,1.861535385005992e-14,9.641255486252809e-19,4.767543502590728e-26,1.1408632320746767e-19,1.2134613648115678e-26,8.24499882542164e-31,6.561595017583438e-38,9.226596478069634e-33,3.841713544502053e-37,8.666436461005203e-37,2.741837783734236e-26,3.992893658376169e-52,3.6679891214449794e-51,7.286398364860355e-60,5.646383995367096e-77,9.641193293157705e-19,5.0651544658010526e-27,6.501627706480703e-42,3.0065590175561933e-43,1.0698110243094546e-40,2.1942262822197315e-35,9.293111426738358e-37,1.1525832868591521e-65,1.2025519267890231e-62,1.2648388105387872e-74,2.6864915610865346e-78,2.763207778277418e-56,3.54749948373226e-40,3.162097282587438e-79,8.357577966042471e-81,2.8960576137990036e-67,7.837286765181056e-42,1.4594144244589225e-80,6.375025863261868e-80,8.995840799002672e-68,4.6746236143694455e-37,1.5430783166822684e-50,2.8468665417004983e-78,1.7854392313120428e-89,2.240087652583901e-73,7.729864258430029e-53,1.318260695321071e-101,1.1423817987084106e-84,1.9009149289643395e-97,1.1166331368357131e-83,2.4239702827774357e-90
1.9280359204131682e-16,0.8741567545941181,3.76,0.0,0.7451402330614976,0.9999999999999667,6.8618770687096e-33,4.7237223394575335e-43,1.6097272767506019e-28,7.072993435880504e-14,3.336904931656469e-14,2.8868169931348947e-26,9.780123314721691e-24,3.7360884982726884e-14,1.9350057469904186e-18,1.9170082786273242e-25,2.2897527959136065e-19,4.879274735135168e-26,3.315278049828461e-30,5.281348159963294e-37,3.710006545020302e-32,3.092145252280995e-36,6.975502067421845e-36,1.102480913670331e-25,6.430460337105234e-51,5.918730281943856e-50,2.3499646028936015e-58,3.6427981864188047e-75,1.9349807394204226e-18,2.0366763119007087e-26,5.233075557065631e-41,2.4199402926385605e-42,8.610768146537243e-40,1.7661040107450362e-34,7.479922168432819e-36,3.7249500254828476e-64,3.895403982875935e-61,8.195354982523102e-73,1.7401588287891763e-76,4.4501577533189455e-55,2.8553360691646067e-39,2.048516970196338e-77,5.403542705194808e-79,9.359580885468007e-66,6.312014569183861e-41,9.454688905074824e-79,4.1309058289818404e-78,2.9073002457475426e-66,3.7625437276703844e-36,2.4850829003213926e-49,1.8406249706730672e-76,2.308897129065332e-87,1.4540599737240207e-71,1.2448715154859513e-51,3.4335719513562602e-99,7.503050084827927e-83,2.4731471215984178e-95,7.286647154528843e-82,3.134658134399401e-88
3.862789736019414e-16,0.8741567545941241,3.76,0.0,0.7451402330614266,0.9999999999999332,5.506224408854839e-32,3.790490259783124e-42,6.455726302413814e-28,1.4170631453175365e-13,6.685436709632667e-14,1.1577427170451575e-25,3.9222668736737606e-23,7.485194719675133e-14,3.876803813770889e-18,7.6880606375308365e-25,4.587677230292294e-19,1.9568073653540798e-25,1.329575005969658e-29,4.2379515490028665e-36,1.4879047718517717e-31,2.4812517805294853e-35,5.597401052408786e-35,4.421441559427508e-25,1.0322333569582366e-49,9.510125330312408e-49,7.54933848047813e-57,2.3407551788704538e-73,3.8767035222303755e-18,8.167982764504152e-26,4.1992134868153044e-40,1.941849731411245e-41,6.909596435453977e-39,1.4171869310364761e-33,6.002194732616648e-35,1.1978880818065292e-62,1.2541370162202466e-59,5.277367755247723e-71,1.1204034967454404e-74,7.143799398149568e-54,2.2912271467164674e-38,1.3190637306910875e-75,3.475877628994763e-77,3.0099158094595915e-64,5.071228076822648e-40,6.0880939270868754e-77,2.6601747602500166e-76,9.34944226370348e-65,3.0192043201521064e-35,3.9891106877233896e-48,1.1839989014131588e-74,2.9705112222295574e-85,9.371797683899688e-70,1.998296748016778e-50,8.866070346719291e-97,4.963036034202415e-81,3.19147743527879e-93,4.759825531238808e-80,4.0329567181132944e-86
