Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983)
7.732297367231905e-16,0.8741567545941359,3.76,0.0,0.7451402330612846,0.9999999999998662,4.411680096668606e-31,3.03700574849939e-41,2.585657773495575e-27,2.8365907502739243e-13,1.3382500265188277e-13,4.637009516007934e-25,1.5709525912164459e-22,1.4983407141956218e-13,7.760550627532194e-18,3.079234356048278e-24,9.184107325849576e-19,7.837435839428047e-25,5.325236881096795e-29,3.3955192828606926e-35,5.959589936398092e-31,1.9880207675223023e-34,4.4847321485673045e-34,1.770882834616846e-24,1.654265881462678e-48,1.524840562960193e-47,2.420512153130084e-55,1.5010880808692407e-71,7.760148938252885e-18,3.271453365240222e-25,3.364480657850115e-39,1.555842888666385e-40,5.536081042915008e-38,1.1354736104621237e-32,4.8091051067572465e-34,3.842716093821182e-61,4.025450779962811e-58,3.3878982899216373e-69,7.192098274078098e-73,1.1449701687782392e-52,1.8357695353076254e-37,8.468073202360463e-74,2.2302137040725085e-75,9.65563218726801e-63,4.0731430191393195e-39,3.9085495145776643e-75,1.707775839067869e-74,2.999216605750928e-63,2.4190374036356987e-34,6.392980316176674e-47,7.59684910968164e-73,3.811874004398478e-83,6.0190940188582825e-68,3.2024925273407197e-49,2.279514404792379e-94,3.35527708849763e-79,4.1017400757649374e-91,3.1428259608633395e-78,5.175406040473753e-84
1.5471312629656888e-15,0.8741567545941598,3.76,0.0,0.7451402330610007,0.9999999999997323,3.532026593742277e-30,2.431452695998588e-40,1.0349369220986393e-26,5.675645966176364e-13,2.677662737471234e-13,1.856012161007609e-24,6.287904371133503e-22,2.9979831904423187e-13,1.5528646975852976e-17,1.2324962379878112e-23,1.8379292424136526e-18,3.1370166103463292e-24,2.1314840148247195e-28,2.718480415955361e-34,2.385557181063214e-30,1.5916252927978462e-33,3.590512391159802e-33,7.08814638571419e-24,2.648979534539199e-47,2.442324473845274e-46,7.753206239749975e-54,9.616597516847709e-70,1.5527039171908357e-17,1.3094338011770188e-24,2.6936300689186463e-38,1.2456204559590667e-39,4.432224042607924e-37,9.09068503775525e-32,3.8502807416290974e-33,1.231187161979736e-59,1.2901014471768377e-56,2.1715817416177126e-67,4.609837302745206e-71,1.833762880062845e-51,1.4697312748247477e-36,5.428344021737314e-72,1.429147203772694e-73,3.093678050062339e-61,3.2769862481563924e-38,2.5057002045715097e-73,1.0946636249916354e-72,9.609344583228999e-62,1.9367006355183255e-33,1.0237099362262588e-45,4.868154834608119e-71,4.885135542048225e-81,3.858998495298945e-66,5.1281838686967844e-48,5.8481517427576195e-92,2.3676537817379124e-77,5.260968874871276e-89,2.1263575653632257e-76,6.632993361508423e-82
3.094934315450685e-15,0.8741567545942073,3.76,0.0,0.7451402330604329,0.9999999999994644,2.8266947313261635e-29,1.9459034741019324e-39,4.1410955227867736e-26,1.1353756421939897e-12,5.356488158741184e-13,7.42646553199423e-24,2.5159807744514584e-21,5.997268110097629e-13,3.106725055566083e-17,4.93159054419471e-23,3.677896224918203e-18,1.2552150832961346e-23,8.528724174438308e-28,2.175610691400368e-33,9.54668123457904e-30,1.2737837648539275e-32,2.873500756207885e-32,2.836181822817362e-23,4.240084895000144e-46,3.909784011572868e-45,2.4822374786600974e-52,6.157715172445953e-68,3.1060817245661513e-17,5.2394399387623865e-24,2.1557223751503115e-37,9.968751358372309e-39,3.5471151276658046e-36,7.275298051572808e-31,3.081510839103129e-32,3.942228899929798e-58,4.13145888141339e-55,1.3908761279558175e-65,2.952501145867641e-69,2.9362354808410646e-50,1.17623077302331e-35,3.4774901907548326e-70,9.152326910591565e-72,9.906269115797438e-60,2.6481868990812673e-37,1.605421274840975e-71,7.0112473915232766e-71,3.076889102753001e-60,1.5499488460661375e-32,1.638602689153171e-44,3.1175953150954384e-69,6.256188598169056e-79,2.4719289141948624e-64,8.208508440059831e-47,1.4987495186656449e-89,1.7944432501012975e-75,6.741076548454416e-87,1.5052389702721377e-74,8.495655215577307e-80
6.190540420420678e-15,0.8741567545943026,3.76,0.0,0.7451402330592972,0.9999999999989286,2.261785244845907e-28,1.5570221894736575e-38,1.6567076743299158e-25,2.2709977429301582e-12,1.071413899874163e-12,2.971069251238821e-23,1.0065561314283497e-20,1.1995837818055927e-12,6.21541012477306e-17,1.972957496833301e-22,7.361550041141593e-18,5.021676270505225e-23,3.4120544113790505e-27,1.740819182462637e-32,3.8203704541333573e-29,1.019220229227897e-31,2.299236568245179e-31,1.1346574059629649e-22,6.785489420952874e-45,6.257306549652289e-44,7.945098670207999e-51,3.941937916702607e-66,6.21283638189397e-17,2.096116441264656e-23,1.7249049029543938e-36,7.976518914522528e-38,2.8382131900437926e-35,5.821323292165218e-30,2.4658626018437358e-31,1.261901788227492e-56,1.3225686381125958e-53,8.904991456454454e-64,1.890303158274405e-67,4.702199425261053e-49,9.411618436387855e-35,2.2273558799028347e-68,5.859324344161877e-70,3.1712343176626497e-58,2.1599225736881336e-36,1.0285733823473283e-69,4.4889232146645536e-69,9.849092127281352e-59,1.2401941438597908e-31,2.6222978369566103e-43,1.9958934329061827e-67,8.008476465272617e-77,1.5827274948005026e-62,1.313652452681053e-45,3.8389199220165937e-87,1.5048491695787904e-73,8.633476514328003e-85,1.1472601050928626e-72,1.0877901789103422e-77
1.2381752630360662e-14,0.8741567545944932,3.76,0.0,0.7451402330570259,0.999999999997857,1.809599974919247e-27,1.245742040445219e-37,6.627368545588234e-25,4.5422419827363405e-12,2.1429440668584705e-12,1.1885239886470797e-22,4.026552137246712e-20,2.399297670856325e-12,1.2436637675999798e-16,7.892473511118632e-22,1.4743737077050702e-17,2.0088328613778358e-22,1.3649403523597113e-26,1.3927876362199223e-31,1.5291336783646402e-28,8.154531005851054e-31,1.839562910855208e-30,4.538998978425184e-22,1.0857799307686208e-43,1.0013011548639503e-42,2.5427416756097434e-49,2.5231734482687142e-64,1.24263418668608e-16,8.385142508006945e-23,1.3800541051813705e-35,6.381826199308528e-37,2.270757595184808e-34,4.6574679914791463e-29,1.9731746025706324e-30,4.03870494225327e-55,4.2330233902150144e-52,5.700250323430369e-62,1.2100142917754056e-65,7.534738922433007e-48,7.529985898746874e-34,1.426954610164482e-66,3.750533512214543e-68,1.0151118054558715e-56,1.7936608062036942e-35,6.5932651017704785e-68,2.8734579354216103e-67,3.1522020461775583e-57,9.92248842560534e-31,4.196103318444242e-42,1.277573952447289e-65,1.0247359543103814e-74,1.013165212287283e-60,2.102134097233021e-44,9.83056977179629e-85,1.4190142959558517e-71,1.1054990756634196e-82,9.693612348728084e-71,1.392590697658429e-75
2.476417705024063e-14,0.8741567545948741,3.76,0.0,0.7451402330524833,0.999999999995714,1.447748658063217e-26,9.966505698662566e-37,2.651054095274586e-24,9.084730615684089e-12,4.2860043967639614e-12,4.754285926385664e-22,1.610686335460824e-19,4.798725238794099e-12,2.4894522428353484e-16,3.1571188495651126e-21,2.9567628751559683e-17,8.035649396074818e-22,5.460043645556178e-26,1.1142830669150265e-30,6.123672882527327e-28,6.523926441954229e-30,1.4717185985857878e-29,1.8156734445921485e-21,1.7373078261332663e-42,1.6021872726521528e-41,8.13726863711556e-48,1.6149543563710598e-62,2.4853337518058737e-16,3.354188966924727e-22,1.1040943481675656e-34,5.1057115942925346e-36,1.8166466353311463e-33,3.726098738827756e-28,1.5790901721300177e-29,1.2924830281627083e-53,1.3546965524465165e-50,3.6484630325277713e-60,7.744738135407669e-64,1.2089651118141221e-46,6.0242366701790636e-33,9.148440556342771e-65,2.4004951450959383e-66,3.2496345112085146e-55,1.539893482019121e-34,4.231801075681958e-66,1.8391817601191707e-65,1.0087866444299918e-55,7.938356720221494e-30,6.714106429935858e-41,8.177116904200726e-64,1.3104558195608574e-72,6.484932104670325e-59,3.363829940892654e-43,2.5171135878629495e-82,1.4916425620026552e-69,1.4155611035528681e-80,9.212399259403818e-69,1.7826502581939686e-73
4.952902589000057e-14,0.8741567545956364,3.76,0.0,0.7451402330433982,0.9999999999914279,1.1582263389800297e-25,7.973547824641704e-36,1.0604422567386946e-23,1.8169708494921085e-11,8.572125040322442e-12,1.9017502764926994e-21,6.442875952676576e-19,9.59757953401504e-12,4.987201052185465e-16,1.2628740179342245e-20,5.94534824220721e-17,3.214317935783116e-21,2.184109948268238e-25,8.914476996941543e-30,2.4550305217884176e-27,5.219252134885908e-29,1.1774002734480758e-28,7.262841324858413e-21,2.7796721019167195e-41,2.563583119076021e-40,2.6040046191570618e-46,1.0336316670662362e-60,4.970726754566788e-16,1.3416992682275455e-21,8.832942850034275e-34,4.084679443319902e-35,1.453278717014561e-32,2.980865682927577e-27,1.2640629913890402e-28,4.1360911308183754e-52,4.3352383965434934e-49,2.3350683702997628e-58,4.956764765521185e-62,1.9450992592147807e-45,4.8194428821088393e-32,5.874565238292552e-63,1.53633098429142e-64,1.0405799667905904e-53,1.3997758841999826e-33,2.7234730030599983e-64,1.1771221127792728e-63,3.2282687518110796e-54,6.350818731699432e-29,1.0742842154959653e-39,5.2335564936194344e-62,1.6741041972660197e-70,4.1505364967265336e-57,5.383046509982553e-42,6.445008574478221e-80,1.7014671145929677e-67,1.8129110065891913e-78,9.746318944206776e-67,2.281862378186796e-71
9.905872356952046e-14,0.8741567545971604,3.76,0.0,0.7451402330252277,0.9999999999828556,9.265919412133146e-25,6.379160382782816e-35,4.241804527309607e-23,3.6339666706760947e-11,1.714436626242939e-11,7.607056205739873e-21,2.5771762213709186e-18,1.9195284761839762e-11,1.0007386097757568e-15,5.0515537373962516e-20,1.201774703349268e-16,1.2857344787937768e-20,8.736913109542567e-25,7.131667582077154e-29,9.864314708512346e-27,4.175430618165537e-28,9.419273141546396e-28,2.905165909436514e-20,4.447240263742155e-40,4.101797092488901e-39,8.335546297004869e-45,6.641595706894359e-59,9.941488250298825e-16,5.3668227422753955e-21,7.066403570938929e-33,3.267803479347657e-34,1.1625198461734757e-31,2.3845863550491716e-26,1.0124796981728608e-27,1.323563657085032e-50,1.5759206622907412e-47,1.6883728708136e-56,3.5302400826540856e-60,3.146456446376053e-44,3.8555027069963834e-31,3.784518948176879e-61,9.832094676290372e-63,3.3343066378329357e-52,1.3883461694398514e-32,1.7634482497464984e-62,8.541838223760501e-62,1.0331027708709806e-52,5.080687463899108e-28,1.7188761639848374e-38,3.34952853801397e-60,2.134376312998903e-68,3.509909537116933e-55,8.615485025375435e-41,3.567547134904133e-77,2.045643857334864e-65,4.0680753839183707e-76,1.1168617735993366e-64,2.920782405554119e-69
1.9811811892856024e-13,0.8741567546002084,3.76,0.0,0.7451402329888868,0.9999999999657111,7.412777488047317e-24,5.103752857092828e-34,1.6967243212318886e-22,7.267959294390271e-11,3.428884844660312e-11,3.042820132212636e-20,1.0308754309518295e-17,3.839068176703058e-11,2.0146505827224075e-15,2.0206367952727317e-19,2.454345627347774e-16,5.1429178759192707e-20,3.4950905745986464e-24,5.705370057702145e-28,3.981020330564255e-26,3.340331286387381e-27,7.535397894374378e-27,1.1620721356452638e-19,7.114696455430528e-39,6.5629178788473e-38,2.667418009587122e-43,4.2514224254001615e-57,1.988291320360298e-15,2.1467168758356732e-20,5.65310100877146e-32,2.614292120996788e-33,9.298343657237972e-31,1.9074652463945203e-25,8.119359419994786e-27,4.23538045011735e-49,5.061874370881806e-46,1.0862775056505727e-54,2.269938547987436e-58,5.1439810226204214e-43,3.0842647056574045e-30,2.45373486257171e-59,6.291823801902251e-61,1.0697386736581027e-50,1.5402352048230406e-31,1.1539614844607544e-60,5.4968730544621e-60,3.306139941045022e-51,4.064529580056833e-27,2.750217936597e-37,2.143705799549785e-58,2.7104804784011486e-66,2.254789480382551e-53,1.3792864219689285e-39,9.157176654439393e-75,2.533312774607645e-63,5.237085350931032e-74,1.3456480878330275e-62,3.738493011422601e-67
3.9623690964663974e-13,0.8741567546063049,3.76,0.0,0.7451402329162049,0.999999999931422,5.930236338517963e-23,4.0836452161334294e-33,6.786865587623419e-22,1.453594846720234e-10,6.85778117747891e-11,1.2171168870004916e-19,4.123509803195676e-17,7.67814219756581e-11,4.081974328612579e-15,8.082607918028439e-19,5.111851681257257e-16,2.0571354246917323e-19,1.398285828232902e-23,4.564312999871535e-27,1.62063178624845e-25,2.672220111075044e-26,6.028231668778075e-26,4.648299253914727e-19,1.1380565330228786e-37,1.0500674688198514e-36,8.535752046612952e-42,2.7215250098924167e-55,3.976537096556535e-15,8.58670422499659e-20,4.522405350893566e-31,2.0914940080726323e-32,7.43570617219511e-30,1.5256325745587555e-24,6.526654693140564e-26,1.3552873381143053e-47,1.6200062370792626e-44,6.952141989661317e-53,1.452791425614565e-56,8.5811269741931e-42,2.4671698923229005e-29,1.610865332254479e-57,4.0257904269255985e-59,3.4407709461138725e-49,1.9192515142237648e-30,7.709705579123237e-59,3.518457090678926e-58,1.0580828173453848e-49,3.2515620970929996e-26,4.4003581636304645e-36,1.37196101097612e-56,3.41554969113335e-64,1.443013267252238e-51,2.209423550954976e-38,2.346817249433386e-72,3.188139662516829e-61,6.735571284894647e-72,1.6683826277153194e-60,4.784921951908826e-65
