Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295)
0.0,0.8272986880018242,3.76,0.0,0.6171611369365015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9377283692388574e-18,0.827298688001824,3.76,0.0,0.6171611369365012,0.9999999999999999,5.296435918985184e-39,1.7887932926993464e-49,4.7906326204649736e-33,3.2106035058448437e-16,1.7432105726353445e-16,2.3048339369398176e-30,5.377860341877757e-28,1.467392933182258e-16,6.0421681563985254e-21,1.1640647893932678e-29,8.734090931370224e-22,2.7727559945024963e-30,1.1263729187905814e-34,2.4285156123276708e-43,1.5424695337816146e-36,2.6908963065575193e-42,6.109958749496409e-42,5.8696969948718834e-30,3.084251904014176e-59,1.825349527484414e-58,1.6283386779003136e-68,1.8679742606204526e-87,6.042167053931209e-21,1.0075391776933946e-30,4.48392707789953e-47,1.2027928697168238e-48,7.968666944927111e-46,1.6045987916350004e-40,6.722466525775298e-42,1.7111318133893505e-74,1.760523558781138e-71,4.817503720080672e-85,8.981682994286914e-89,2.773191324032443e-63,2.831001064457742e-45,-5.9957683775061754e-90,1.6543077163440865e-91,4.956275740586855e-76,6.007730832894492e-47,-2.724870722457838e-91,1.458263168743624e-90,1.0978175499405423e-76,3.486367333042669e-42,1.2237457140460169e-57,5.991379588261947e-89,1.574551987080135e-101,2.518021047918256e-83,3.956479685445572e-59,4.211620724208514e-114,-2.336399404173632e-95,9.922504030328038e-109,-2.090783101828164e-94,1.3617141549899176e-102,2.0428466704435635e-46,2.355350509787569e-69,3.5459655010715937e-65,-5.837666733158014e-96,1.3192375334045303e-111
5.425639433868801e-18,0.8272986880018242,3.76,0.0,0.6171611369365007,0.9999999999999994,6.287960403470571e-38,2.123655400134062e-48,2.8935421024295685e-32,8.989689816400894e-16,4.880989603377907e-16,1.3921196976731645e-29,3.2482276464679994e-27,4.1087002128584545e-16,1.691807440604944e-20,7.03095132841338e-29,2.4455471744093768e-21,1.674744620230821e-29,6.803292447364055e-34,2.8833696638057475e-42,9.316518669312844e-36,3.1946320940702887e-41,7.253748098564734e-41,3.545296984892219e-29,6.9017782348351e-58,5.0840934347155025e-57,7.32565074608729e-67,1.5310916776423682e-85,1.691806774714685e-20,6.0855366310289225e-30,5.3233182280874435e-46,1.4279556953125545e-47,9.460401334098558e-45,1.9049796783878502e-39,7.980912895656929e-41,1.0409866928686311e-72,8.799967120223671e-70,4.415167618681243e-83,8.498580103997739e-87,6.203527854279437e-62,3.3609644584987107e-44,5.882476952702301e-88,1.8862864953845762e-89,3.015144641539327e-74,7.132480379497871e-46,2.669835188626349e-89,1.3266242768377824e-88,6.678637891604597e-75,4.1390152964532094e-41,2.737684207518336e-56,6.831533417629005e-87,3.2473691616401017e-99,1.9430178455772594e-81,8.850486770451029e-58,6.716387953187871e-112,2.292450107289327e-93,1.0573198721481114e-106,2.050274634457982e-92,2.8084112447588947e-100,2.425267553162105e-45,7.41233147932415e-68,7.932291698061936e-64,5.721642055102685e-94,1.4057647928826898e-109
1.2401461563128687e-17,0.8272986880018244,3.76,0.0,0.6171611369364995,0.9999999999999988,6.173570693331547e-37,2.0850174710082924e-47,1.3931159655343012e-31,2.0547862437654338e-15,1.1156547664858803e-15,6.702457085043719e-29,1.5638817873788022e-26,9.391314772003378e-16,3.8669901177885545e-20,3.38510040827269e-28,5.589830191456939e-21,8.063174425282611e-29,3.275492474079837e-33,2.831012816738096e-41,4.4855053553855377e-35,3.136508731591499e-40,7.121775115759371e-40,1.7069078860931376e-28,1.3638942372926788e-56,1.0930250493169188e-55,3.012137370016846e-65,1.2636317274575964e-83,3.866986911813598e-20,2.929923925373595e-29,5.226465405735532e-45,1.4019753699163361e-46,9.288277995958371e-44,1.870320329701954e-38,7.835708954838749e-40,4.69951456496639e-71,4.450376752109879e-68,4.44135113206395e-81,8.390610657536553e-85,1.2257152315346643e-60,3.299814824532804e-43,5.898769829033611e-86,1.7077491728230895e-87,1.3611806694590985e-72,7.002928296344447e-45,2.6774176478403336e-87,1.3403347512680752e-86,3.015051122589032e-73,4.063709759238713e-40,5.409408981885126e-55,6.184927722740181e-85,5.883970772309032e-97,2.1175958882568733e-79,1.7487070308363845e-56,3.078359641432376e-109,2.3017290260519025e-91,2.4062131374003715e-104,2.057566915030007e-90,5.0886169196877224e-98,2.3811420357046727e-44,1.656824488744138e-66,1.5673341773518525e-62,5.739498933512125e-92,3.199193697949883e-107
2.635310582164846e-17,0.8272986880018245,3.76,0.0,0.6171611369364972,0.9999999999999976,5.46045887784499e-36,1.8441743517049415e-46,6.084103422855745e-31,4.366420768072659e-15,2.3707663787803685e-15,2.9271390962170596e-28,6.829882633779157e-26,1.995654388946334e-15,8.217361181169485e-20,1.478362283270422e-27,1.187842364356348e-20,3.5214001060630088e-28,1.4304936337110174e-32,2.5040398340652082e-40,1.9589403549352304e-34,2.7742064492113997e-39,6.299130312941776e-39,7.454515183325985e-28,2.427155682726816e-55,2.01729224367399e-54,1.0937566628908929e-63,9.20851268360375e-82,8.217347179834566e-20,1.2795747521998452e-28,4.622749468076529e-44,1.2400313387913103e-45,8.215376463939808e-43,1.6542771243856258e-37,6.93059823144282e-39,1.7744475445115732e-69,1.7575855410741796e-66,3.511865548254576e-79,6.586623744861231e-83,2.181103134609904e-59,2.9186488233951414e-42,4.639639575703516e-84,1.2943449398049265e-85,5.1395611173894745e-71,6.194396378268039e-44,2.105958057167776e-85,1.0616006308152087e-84,1.1384250500415678e-71,3.594305256930636e-39,9.625921694311862e-54,4.68770833522972e-83,8.928817218253031e-95,1.7323249078577526e-77,3.1117306870332084e-55,1.0543649524095666e-106,1.8149313256456486e-89,4.066395520401969e-102,1.6207822648157435e-88,7.721889868651194e-96,2.1060931122953604e-43,3.1149894980794053e-65,2.7891554874900695e-61,4.517077039441253e-90,5.40649710035851e-105
5.4256394338688007e-17,0.8272986880018249,3.76,0.0,0.6171611369364925,0.999999999999995,4.589846889778934e-35,1.55013968037154e-45,2.539993410749233e-30,8.989689816913255e-15,4.880989603362582e-15,1.2220229500386348e-27,2.851341552898551e-25,4.108700212106373e-15,1.6918126143986182e-19,6.17187152003186e-27,2.4455720219822187e-20,1.470115222025509e-27,5.972029455917292e-32,2.1048126392175994e-39,8.178209737884876e-34,2.3318876722269803e-38,5.294798915180474e-38,3.1121133465358768e-27,4.093897600908967e-54,3.4613101105108026e-53,3.7261747500695137e-62,6.2858064698533805e-80,1.6918067691169067e-19,5.341972688893439e-28,3.885699477107938e-43,1.0423210593340699e-44,6.905518532667199e-42,1.3905195560862728e-36,5.825589446597165e-38,6.1563832407873606e-68,6.2192842946226505e-65,2.487342408299142e-77,4.650584072493297e-81,3.678776621462013e-58,2.4533001647232724e-41,3.2826708870192324e-82,9.000147185400928e-84,1.7831538307768956e-69,5.207412090997816e-43,1.490042575487951e-83,7.524333099464006e-83,3.9497239653004736e-70,3.0212301330616263e-38,1.623565783040107e-52,3.2595689960319474e-81,1.2424632119546926e-92,1.2467668022170586e-75,5.24838848448328e-54,3.111055664399121e-104,1.290477977781831e-87,5.954103744593906e-100,1.150132215450219e-86,1.0745188758504212e-93,1.7702980738414844e-42,5.421647473442039e-64,4.7048855684637835e-60,3.199682863945528e-88,7.916303610632319e-103
1.100629713727671e-16,0.8272986880018256,3.76,0.0,0.6171611369364833,0.99999999999999,3.7630346564881962e-34,1.2708981948473813e-44,1.0376701842104969e-29,1.823622791549903e-14,9.901436052499953e-15,4.9923624726017424e-27,1.1648660611830262e-24,8.334791857098635e-15,3.4319747413838886e-19,2.5214109020636083e-26,4.9610752060521817e-20,6.005900341332987e-27,2.4397690001633234e-31,1.7256590472988275e-38,3.3410813539073254e-33,1.9118223892373655e-37,4.3409961653211895e-37,1.2713998477542895e-26,6.724355483240674e-53,5.732807188704997e-52,1.2300485004069904e-60,4.1539125498268324e-78,3.4319508615008334e-19,2.1823701340037073e-27,3.185731207934554e-42,8.545577814147001e-44,5.661560652874281e-41,1.1400318705366288e-35,4.776176809703624e-37,2.0503327098679322e-66,2.090568244154352e-63,1.6729330760773437e-75,3.1233551648900694e-79,6.042490966672271e-57,2.011363642871792e-40,2.2074996370012615e-80,6.001351812413773e-82,5.938655562410972e-68,4.270414853285151e-42,1.0020205614212838e-81,5.062375588431091e-81,1.3154227685538931e-68,2.476986984136117e-37,2.6667223762707402e-51,2.1735001860587136e-79,1.6574745053824803e-90,8.450991145990771e-74,8.620493387999888e-53,8.541385199348619e-102,8.763581246724746e-86,8.141746827868312e-98,7.779716780041727e-85,1.433438441245642e-91,1.4513971724247765e-41,9.145333844787305e-63,7.729651946823794e-59,2.1566739730362205e-86,1.0824876588019251e-100
2.2167612544092527e-16,0.8272986880018267,3.76,0.0,0.6171611369364648,0.99999999999998,3.047403374301055e-33,1.0292063560385625e-43,4.194428777397765e-29,3.6729304116288924e-14,1.994232895066647e-14,2.0179927206498453e-26,4.708574864068086e-24,1.6786975141771907e-14,6.912335533042129e-19,1.019194602868165e-25,9.992257049464763e-20,2.427680921878441e-26,9.86193723214991e-31,1.3974860218091979e-37,1.3505312975191814e-32,1.5482433200498566e-36,3.515451261046661e-36,5.1392014634547765e-26,1.0900562290403459e-51,9.33143325424726e-51,3.99763333537879e-59,2.7013033103262334e-76,6.9122390067367925e-19,8.821488901960575e-27,2.5798877481350436e-41,6.920430514797785e-43,4.5848775431906155e-40,9.232272475281192e-35,3.867882524029023e-36,6.692627455930481e-65,6.854736118091126e-62,1.0973200381316303e-73,2.047256808344541e-77,9.79542731576762e-56,1.6288543381381052e-39,1.4479745092608836e-78,3.9200351926539015e-80,1.938481836750677e-66,3.4600156969760333e-41,6.572685537033542e-80,3.3210718081100484e-79,4.2937586531855215e-67,2.0059282573276312e-36,4.322880441602529e-50,1.4197131916156624e-77,2.165625209363211e-88,5.564511778451467e-72,1.3974189780343238e-51,2.2638022413353926e-99,5.860456086615665e-84,1.0768275542971784e-95,5.1625266139613906e-83,1.8729183614179486e-89,1.1753788247150772e-40,1.5356508670173105e-61,1.2536139868487098e-57,1.4211605726202952e-84,1.4316937274613886e-98
4.449024335772416e-16,0.8272986880018295,3.76,0.0,0.6171611369364278,0.9999999999999599,2.4528154910810086e-32,8.283948908782345e-43,1.6865613504594817e-28,7.371545653234207e-14,4.002411474656662e-14,8.114259880420173e-26,1.893297242737341e-23,3.369134168987342e-14,1.387320326710923e-18,4.098136691322377e-25,2.0055322637378673e-19,9.76159803527149e-26,3.9654422686072964e-30,1.1248193617768322e-36,5.430529843739812e-32,1.2461608889681332e-35,2.829540974670479e-35,2.0664503050123265e-25,1.7555089530823498e-50,1.5058727096524338e-49,1.2891758614529518e-57,1.7426718820068734e-74,1.3872815139081138e-18,3.547081800179142e-26,2.076518137523549e-40,5.5701646094773407e-42,3.6903066167217926e-39,7.4309341691869e-34,3.113225598763355e-35,2.1629414946323912e-63,2.2202501871076332e-60,7.109261882876665e-72,1.325910481289452e-75,1.5776164388723305e-54,1.3110435368240644e-38,9.381540173069737e-77,2.5344748124958836e-78,6.264875503627307e-65,2.787695351758374e-40,4.2585948296639606e-78,2.1518078981990676e-77,1.387668544448655e-65,1.614545536849676e-35,6.961872515688562e-49,9.179071334989778e-76,2.8005245411713388e-86,3.611971794692465e-70,2.2504997061467873e-50,5.896345777584299e-97,3.9423085823329685e-82,1.4009915261472835e-93,3.4219851790003947e-81,2.4220418885424756e-87,9.460467546297555e-40,2.624561332958382e-60,2.0208524427881426e-56,9.292317096864815e-83,1.8626731792483758e-96
8.913550498498743e-16,0.8272986880018347,3.76,0.0,0.6171611369363539,0.9999999999999197,1.9682300120402131e-31,6.647348523894761e-42,6.763865242754326e-28,1.4768776142234178e-13,8.01876863366354e-14,3.2541810551787117e-25,7.592968732924764e-23,6.750007470109634e-14,2.779552333824445e-18,1.6435361221007012e-24,4.0184261417546597e-19,3.914837267261413e-25,1.5903202554232837e-29,9.02597112830269e-36,2.177967884439711e-31,9.99965586171084e-35,2.2705283468648327e-34,8.287389962269989e-25,2.8179849839358873e-49,2.4197224846742482e-48,4.141333433480748e-56,1.1197611772525943e-72,2.779396677125957e-18,1.422538377611581e-25,1.666275083237595e-39,4.469706410422295e-41,2.961235915623113e-38,5.9628536240254874e-33,2.498195155377509e-34,6.955695279306216e-62,7.147856435246775e-59,4.5777650763491605e-70,8.536290298613379e-74,2.532722528684275e-53,1.0520296443580075e-37,6.041408033632676e-75,1.6303231712148583e-76,2.0147139819650597e-63,2.2414014053124536e-39,2.7425213320928103e-76,1.3856369602472275e-75,4.462533978958019e-64,1.2955710542786698e-34,1.1175352648887798e-47,5.904521302626392e-74,3.602958438739427e-84,2.328010254064559e-68,3.61254890443514e-49,1.5225350628270471e-94,2.7257992563830104e-80,1.807929494245764e-91,2.302990318903641e-79,3.116125607729101e-85,7.591423321625121e-39,4.683404546245491e-59,3.2501624832778677e-55,6.092768742940939e-81,2.403682029308769e-94
