Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520),CO3(1196),C2HO2(133),CO3(268),CH3O2(53),C2HO3(631)
0.0,0.8581712124823182,3.76,0.0,0.6716950963375224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1156247794835122e-18,0.8581712124823182,3.76,0.0,0.6716950963375221,0.9999999999999999,2.5170417215180014e-39,1.6432725014737699e-49,5.785435453201572e-33,3.366015017747918e-16,1.6334376822316328e-16,1.2320221973814768e-30,3.9237954275493145e-28,1.7325773354944892e-16,8.654462603182819e-21,7.834601980072964e-30,1.1295452498901396e-21,1.9738222759205223e-30,1.1445910626481364e-34,1.7620757321197604e-43,1.3227264812554511e-36,1.2430845361477552e-42,2.8049691607162238e-42,4.123392374859551e-30,2.1154413338355544e-59,1.3530013584935419e-58,7.06574344017499e-69,1.0624099912706e-87,8.654461703511139e-21,8.034443121015788e-31,2.100764375045201e-47,8.282123678965861e-49,3.4997805024001677e-46,7.157172544697648e-41,3.023753932425334e-42,7.389865653790399e-75,7.670548544831575e-72,1.7171840182521486e-85,3.574741353021132e-89,1.5580721153019886e-63,1.1732378405166248e-45,-3.1429198713278646e-90,9.079991722615918e-92,3.743810622899699e-73,2.574207070663448e-47,-1.448345559024447e-91,7.487821993600985e-91,5.611420154110159e-77,1.520093837196112e-42,8.150080196930159e-58,3.122934422209274e-89,4.5646367023802566e-102,3.7708870707494138e-84,1.516890745629731e-59,4.257364589210257e-115,-1.1630264086424911e-95,2.553222932610721e-109,-1.1021827217573996e-94,5.717407565789484e-103,1.0556479996508675e-46,1.8979921704322977e-69,1.7851102220487987e-65,-3.0838302961885555e-96,2.7741112115892993e-112,1.481379707061755e-75,2.812884344569841e-81,7.500498430810415e-101,6.018177689942504e-81,1.3379000536993056e-62,1.1167152055628187e-102
3.123749382553834e-18,0.8581712124823184,3.76,0.0,0.6716950963375216,0.9999999999999996,2.988251385577551e-38,1.950893116281714e-48,3.4944030134999266e-32,9.424842049723064e-16,4.573625510247737e-16,7.441414071368586e-30,2.3699724382274633e-27,4.851216539343687e-16,2.4232498200733465e-20,4.7320995961805253e-29,3.16272795195344e-21,1.1921886544551653e-29,6.913330030276989e-34,2.0921322539209718e-42,7.989269363488347e-36,1.4757899610392026e-41,3.3300632049935114e-41,2.490528994409778e-29,4.73390231111876e-58,3.729967155085827e-57,3.206802126315256e-67,8.784745766969431e-86,2.4232492766716527e-20,4.852803644090288e-30,2.4940274657134315e-46,9.832537234534833e-48,4.1549393967929184e-45,8.496995227135621e-40,3.589800830797431e-41,4.495769582694327e-73,3.8074881337239895e-70,1.5622008080354706e-83,3.3468946841909715e-87,3.4853504162091436e-62,1.3928679629587143e-44,3.3500661656115015e-88,1.0356939156131926e-89,2.277542697252569e-71,3.056130554757557e-46,1.5419997777437086e-89,6.765094410402117e-89,3.4137766346818247e-75,1.804655403161623e-41,1.8233034733121852e-56,3.56212239570219e-87,9.417481383473408e-100,2.909785397426542e-82,3.39322392134793e-58,6.789452968050945e-113,1.2390150430678063e-93,2.7206572526735258e-107,1.1738561361022222e-92,1.179580991818694e-100,1.2532653010963111e-45,5.970419294848685e-68,3.9932600025083654e-64,3.283716611003698e-94,2.9560882575880703e-110,9.012252523466401e-74,1.7112150545975623e-79,7.992501291745605e-99,3.6611515563805656e-79,4.206570707275602e-61,1.1899672788445318e-100
7.139998588694478e-18,0.8581712124823182,3.76,0.0,0.6716950963375203,0.999999999999999,2.933891454961097e-37,1.9153984352582265e-47,1.6824046294402817e-31,2.1542496113788957e-15,1.0454001166276616e-15,3.5827205487620394e-29,1.1410397103128564e-26,1.1088494946878548e-15,5.538858104312104e-20,2.278302256129905e-28,7.22909836512424e-21,5.739875175364247e-29,3.328470827630388e-33,2.0541537149319674e-41,3.8464906920572867e-35,1.4489393344800143e-40,3.2694774735041143e-40,1.1990825026010662e-28,9.354969625493181e-57,7.9916821200359285e-56,1.3232936306722155e-65,7.268962818106892e-84,5.538855488066862e-20,2.3364160580865015e-29,2.448650954497954e-45,9.653643368113439e-47,4.079344105062274e-44,8.342400262518298e-39,3.524488086523379e-40,2.029607440150527e-71,1.9335247741089767e-68,1.5782294838601928e-81,3.3246331512400417e-85,6.886475193581503e-61,1.3675260228680393e-43,3.345376908386446e-86,9.376733577721948e-88,1.0281916397843464e-69,3.0005947150091825e-45,1.5399289306265054e-87,6.8625237175146695e-87,1.5411387863127385e-73,1.771821375514752e-40,3.602697698563327e-55,3.224994598378166e-85,1.706389361628231e-97,3.1712264582938905e-80,6.704438657141489e-57,3.1118473783539215e-110,1.2380586850858902e-91,6.191579977706325e-105,1.1726434479052889e-90,2.1373284519550225e-98,1.230463295716527e-44,1.3333006003654647e-66,7.890181118764933e-63,3.279737045606813e-92,6.727416236836595e-108,4.068554579340188e-72,7.725248276439201e-78,1.8189080722123233e-96,1.6528198766110587e-77,9.384627093831912e-60,2.708089747073577e-98
1.5172497000975764e-17,0.8581712124823186,3.76,0.0,0.6716950963375179,0.9999999999999978,2.5949971520651575e-36,1.694148233704116e-46,7.347503021941711e-31,4.577780424238309e-15,2.2214752478321026e-15,1.5646681894104049e-28,4.9832201927966196e-26,2.3563051761294136e-15,1.1770079331704129e-19,9.949944518047753e-28,1.5361859227642635e-20,2.5067542873059214e-28,1.4536306674199726e-32,1.8169097978677902e-40,1.6798647663502765e-34,1.2815704315938598e-39,2.891816462012855e-39,5.236708315987991e-28,1.6647954319348776e-55,1.4728951827851673e-54,4.812554057307335e-64,5.302634974539128e-82,1.1770067905873811e-19,1.0203742748139423e-28,2.165804037881642e-44,8.538538243704227e-46,3.6081336048301835e-43,7.378758489960725e-38,3.117370410238843e-39,7.663413399213641e-70,7.647581568714801e-67,1.2499899816987918e-79,2.616094607510601e-83,1.2254140450767376e-59,1.2095612755789162e-42,2.62756708237518e-84,7.106874482889512e-86,3.882255975289849e-68,2.654112323801442e-44,1.2095340564726032e-85,5.443714743139716e-85,5.819041234117112e-72,1.5671559400300272e-39,6.410935703107192e-54,2.4443087613159682e-83,2.5894220586448854e-95,2.5942601353320804e-78,1.1930190358203103e-55,1.065834177566633e-107,9.735696555037065e-90,1.046349860263119e-102,9.216359410928466e-89,3.2433681668661732e-96,1.0883308350993483e-43,2.5021386302357295e-65,1.404077163885388e-61,2.5767555182166054e-90,1.1369192851862818e-105,1.5362006118423933e-70,2.916910931353421e-76,3.073875240487186e-94,6.240741321209087e-76,1.75763672372342e-58,4.576553416800542e-96
3.1237493825538336e-17,0.858171212482319,3.76,0.0,0.671695096337513,0.9999999999999954,2.1812528088179307e-35,1.424033685494283e-45,3.0674378740256134e-30,9.424842050142082e-15,4.5736255102356495e-15,6.532181679139954e-28,2.0803963355147366e-25,4.85121653875088e-15,2.4232540422146226e-19,4.153905972854267e-27,3.162746109738656e-20,1.0465205678911955e-27,6.068621974124454e-32,1.5272356822074067e-39,7.013114939035682e-34,1.0772371664199732e-38,2.430746241288692e-38,2.186222637075247e-27,2.8080249599093327e-54,2.5256114626325215e-53,1.6407217643716565e-62,3.62133218042372e-80,2.423249272155382e-19,4.259861728766964e-28,1.820488791165585e-43,7.177155893720434e-45,3.0328536019721347e-42,6.2022910007093995e-37,2.6203386937815905e-38,2.658794400890593e-68,2.7078584494985223e-65,8.859486214723662e-78,1.8490391789058938e-81,2.0668478241918926e-58,1.016709125400919e-41,1.8578727848079017e-82,4.9417271015867145e-84,1.3469349332492306e-66,2.2311436727348517e-43,8.55233527298751e-84,3.860864397607051e-83,2.018894859295344e-70,1.3172889935109468e-38,1.081308221151914e-52,1.6996370358315666e-81,3.6032406736331795e-93,1.86710784695563e-76,2.0122009740428868e-54,3.1448962441952117e-105,6.900022023634988e-88,1.5320873164424748e-100,6.524969764710484e-87,4.5132275071229455e-94,9.148076178318664e-43,4.339155841734805e-64,2.368389215902923e-60,1.8229455612964687e-88,1.6647454081964533e-103,5.329734724120353e-69,1.0120147961882774e-74,4.500831050033896e-92,2.1652085831173487e-74,3.0358802437119393e-57,6.701083083462988e-94
6.336748747466348e-17,0.8581712124823199,3.76,0.0,0.6716950963375034,0.9999999999999908,1.7883233724151121e-34,1.1675088764145156e-44,1.2531484581435631e-29,1.9118965302689418e-14,9.277926035021398e-15,2.6686093507839575e-27,8.499097846433406e-25,9.841039262947201e-15,4.915753714566259e-19,1.6970061298483047e-26,6.415898541570282e-20,4.275377978812273e-27,2.4792301604656106e-31,1.252125464287434e-38,2.865094635307077e-33,8.831841100961447e-38,1.9928727272352165e-37,8.931432819003301e-27,4.612273239948242e-53,4.181771973974717e-52,5.418114126214898e-61,2.393663438319991e-78,4.915734227317831e-19,1.7402925059348744e-27,1.492546696760603e-42,5.884266050651795e-44,2.4865164574381435e-41,5.085012702637587e-36,2.148313661709253e-37,8.854895887449076e-67,9.10497221741043e-64,5.960636659223675e-76,1.242420583247947e-79,3.3948292017318484e-57,8.335595544404588e-41,1.2489725830867181e-80,3.2951751353451596e-82,4.485855605610656e-65,1.8295582066302714e-42,5.749429749465932e-82,2.598374197045276e-81,6.723761477463781e-69,1.0799931003347652e-37,1.7760601593748777e-51,1.1333288539510248e-79,4.8068152780532785e-91,1.2655864761738318e-74,3.305046125056025e-53,8.634293165699475e-103,4.660341506374543e-86,2.0950015462359792e-98,4.397661363469043e-85,6.020776216360072e-92,7.500145129382191e-42,7.267180050187783e-63,3.8907692489239153e-59,1.2268211809925776e-86,2.27652148101171e-101,1.7749846983790116e-67,3.370451044848122e-73,6.154505952174703e-90,7.21108525523946e-73,5.04416018711168e-56,9.16316428676757e-92
1.276274747729138e-16,0.8581712124823213,3.76,0.0,0.6716950963374839,0.9999999999999813,1.44823084523609e-33,9.454789976013184e-44,5.065426417462432e-29,3.850721181074322e-14,1.8686527084507517e-14,1.0786945629496834e-26,3.435471237802667e-24,1.9820684707153398e-14,9.900782876322382e-19,6.85957011547886e-26,1.292233163676479e-19,1.7281761265238346e-26,1.002144526746921e-30,1.0140058110417944e-37,1.158123810964305e-32,7.15225385812724e-37,1.6138800358060847e-36,3.6102279464991306e-26,7.476760537014433e-52,6.805752120213379e-51,1.7611851076423633e-59,1.5567802768452102e-76,9.900704105748518e-19,7.034540508246315e-27,1.2087030061942968e-41,4.765231245728397e-43,2.013645230912896e-40,4.1179748225709384e-35,1.7397628334128152e-36,2.890385550526157e-65,2.985843678845655e-62,3.9103485135910085e-74,8.145550420506549e-78,5.5032464536748985e-56,6.750381167441083e-40,8.191126013339032e-79,2.15238289569727e-80,1.4642579242227615e-63,1.4821611219664733e-41,3.77067369596673e-80,1.7048597261972335e-79,2.1947475497732438e-67,8.746064072173192e-37,2.879076575593403e-50,7.402816924120451e-78,6.280513774088894e-89,8.333189409462911e-73,5.357622137476524e-52,2.288426508447365e-100,3.084880844178692e-84,2.7708446870670064e-96,2.8987727037163467e-83,7.866696941321133e-90,6.073811291659614e-41,1.2035173094339679e-61,6.309318504637352e-58,8.063229341982032e-85,3.0112425037124472e-99,5.793587421253119e-66,1.1001839162817593e-71,8.139922934031223e-88,2.3538422615652032e-71,8.223253468625263e-55,1.211916061125514e-89
2.5614744936941437e-16,0.8581712124823245,3.76,0.0,0.6716950963374452,0.9999999999999626,1.1656622622083416e-32,7.610038161021463e-43,2.0367856746151714e-28,7.72837048386874e-14,3.750372918313827e-14,4.337383362502834e-26,1.3813878744793178e-23,3.977997557882002e-14,1.9870960468045955e-18,2.7582029825502246e-25,2.5935710753277907e-19,6.948920116990165e-26,4.029579519745095e-30,8.161609510196338e-37,4.656819193693705e-32,5.756756062390162e-36,1.2989910590329998e-35,1.4516567787134506e-25,1.2041144413426623e-50,1.0982057730170265e-49,5.680048568945625e-58,1.0043693794828645e-74,1.9870643735033046e-18,2.8285577594647824e-26,9.72869324948099e-41,3.8354727334893514e-42,1.6207564406548312e-39,3.3145039069530993e-34,1.4003168811840738e-35,9.341226606384974e-64,9.671831359929561e-61,2.533612215865366e-72,5.2760868811894015e-76,8.863072583602471e-55,5.433293680377665e-39,5.306608767391352e-77,1.3916103762328059e-78,4.732228210693298e-62,1.193837396425689e-40,2.4428568325145845e-78,1.1047012872484279e-77,7.093044723905996e-66,7.039593156728053e-36,4.636669280998671e-49,4.786248038262768e-76,8.121825646881922e-87,5.409144142072857e-71,8.628285107853482e-51,5.960483520502814e-98,2.0354475109000057e-82,3.6049568415278316e-94,1.896952313348364e-81,1.0173146499651176e-87,4.8887306288196915e-40,2.0043550037695073e-60,1.0168093760306161e-56,5.2462522058584265e-83,3.918554299284725e-97,1.872220356546055e-64,3.5556854852365384e-70,1.0590261412222766e-85,7.607366129942452e-70,1.32805740624332e-53,1.5767355879446702e-87
5.131873985624156e-16,0.8581712124823307,3.76,0.0,0.6716950963373676,0.999999999999925,9.353705879763878e-32,6.106577388176274e-42,8.168421455336914e-28,1.54836690941922e-13,7.513813337903378e-14,1.73948469658226e-25,5.539983213561752e-23,7.969855725517015e-14,3.9811792724337564e-18,1.1061627665454259e-24,5.196452069079332e-19,2.786827700942771e-25,1.616041978603962e-29,6.549181066279382e-36,1.8676363200606733e-31,4.6194340724252407e-35,1.042358500074442e-34,5.821792950283644e-25,1.93287402420996e-49,1.7645945722887558e-48,1.82473140314062e-56,6.453793742213392e-73,3.981052248329472e-18,1.1343781399055188e-25,7.806663493005306e-40,3.07772541716856e-41,1.300554290905881e-38,2.6596798652520046e-33,1.1236731647625518e-34,3.00399839862375e-62,3.113850239832161e-59,1.6314951698952292e-70,3.3969689926652144e-74,1.4228041073186686e-53,4.359875434989018e-38,3.417045307187871e-75,8.9516586007921e-77,1.5218134288968678e-60,9.593678320990739e-40,1.573048864293166e-76,7.113874364951579e-76,2.2810169831470686e-64,5.648830011404514e-35,7.442885226342031e-48,3.078797929686646e-74,1.04490846435646e-84,3.4863350917912885e-69,1.3850307902701818e-49,1.5390970565547133e-95,1.3582034514969235e-80,4.652036645674634e-92,1.2459394231411861e-79,1.308846337905306e-85,3.922896669366792e-39,3.416997195295793e-59,1.634493545173134e-55,3.407151744367735e-81,5.058868102942897e-95,6.019706246998757e-63,1.143507375671767e-68,1.3666167144626306e-83,2.4465144244001215e-68,2.1348127729743388e-52,2.0346925784799395e-85
